-0.008491-0.039508i,-0.013272-0.043722i,0.00082955-0.046233i,-0.027077-0.027827i,-0.01997+0.014366i,-0.032891-0.031166i,-0.061081-0.059199i,-0.023574-0.070961i,-0.044127-0.057627i,0.0022651+0.015143i,-0.0075608+0.010133i,-0.014147+0.012902i,0.0018794+0.016232i,-0.0037827-0.0032036i,0.00077599+0.0064545i,0.0017317+0.037619i,0.018673+0.059426i,0.0011052-0.0004384i,-0.0054292-0.0085893i,0.0070961+0.0044881i,0.0017864+0.00088955i,-0.001276+0.0035736i,2.5613e-06-0.0013371i,-0.033848-0.0083097i,-0.00233-0.0076336i,-2.4837e-05+0.0043838i,0.0045238+0.00023183i,0.00025503+0.00095439i,-4.8219e-05-0.00090422i,-0.00016662-0.0029602i,-0.00076011-0.0055115i,-0.0027567-0.0040105i,0.00010155-0.0078959i,0.0030479-0.001068i,0.0030086-0.0028651i,-0.0030135+0.035002i,0.0061858-0.0047442i,0.0030226-0.0020204i,0.0050726-0.00031822i,-0.010036+0.015707i,-0.00032292+0.00012929i,0.0080258+0.00020121i,0.0061363-0.00011731i,-0.0033428+0.0040188i,0.002935+0.0017599i,-0.0030534+0.0068825i,0.012783-0.088167i,-0.0077341-0.048872i,-0.025039-0.03935i,-0.020609-0.041235i,0.062189-0.018571i,0.026582-0.062344i,0.037693-0.04566i,0.02925-0.05762i,0.018584-0.015875i,0.0085227+0.0095405i,0.022408-0.032967i,-0.0069871-0.005561i,0.0020193-0.0034275i,-0.0043872-0.0059576i,0.00040671-0.031751i,-0.023739+0.030429i,0.0079738-0.01097i,-0.011338-0.0016471i,-0.0051764-0.001034i,-0.0014119-0.013807i,-0.010198+0.0044859i,0.0038014+0.0080462i,-0.0092739+0.029928i,0.0055673+0.0069611i,-0.0058833-0.0016079i,-0.0016859-0.0016312i,-0.012026-0.0062236i,0.00099858-0.0034425i,-0.041964+0.013212i,0.0019076-0.012244i,-0.0098345-0.0016368i,-0.0064818-0.00233i,0.0063579+0.0019272i,-0.0093137+0.0015605i,0.00086956+0.00072024i,0.0056799+0.0086942i,0.004461+0.00065946i,-0.008796-0.0093929i,0.0026434+0.0087655i,-0.017075+0.0075617i,0.006759+0.00312i,-0.029435-0.0084823i,-0.033939+0.0032912i,0.019564-0.081236i,0.011642-0.01006i,-0.044469-0.027702i,-0.023209-0.0035585i,0.018312+0.01232i,-0.026647+0.012169i,-0.012492-0.0087969i
-0.016609-0.038385i,-0.019386-0.037131i,-0.0064404-0.049341i,-0.029633-0.025158i,-0.010236+0.011999i,-0.040457-0.023848i,-0.068858-0.045584i,-0.033111-0.068211i,-0.040769-0.043329i,0.0037253+0.012821i,-0.0072451+0.0086728i,-0.006941+0.019235i,0.0095606+0.011951i,-0.0079755+0.0003392i,0.0017499+0.005838i,0.010378+0.030981i,0.032391+0.041039i,0.0018181+0.0017607i,-0.0085442-0.0030999i,0.007817+0.00074005i,0.00048975+0.0016727i,-0.0020632+0.003456i,-0.00063554-2.2425e-08i,-0.023332+0.0095884i,-0.00513-0.0056115i,0.0031799+0.0023021i,0.0031321-0.00013967i,0.0010532+0.0029773i,0.0011762-0.0012265i,-0.0015587-0.0027342i,-0.0012098-0.0045595i,-0.0031295-0.0031946i,-0.0022112-0.0074072i,0.0021465-0.0028711i,0.0018608-0.0020313i,0.0089048+0.031621i,0.0049444-0.0074276i,0.0018037-0.0026937i,0.0067283-0.0015902i,-0.0097326+0.0013969i,-0.00010487+0.0017241i,0.0088908-0.0034226i,0.0049637-0.00012193i,-0.0045014+0.0050364i,0.010289+0.00012219i,0.0085421+0.0091857i,-0.0025599-0.090215i,-0.022179-0.050038i,-0.018968-0.033008i,-0.020489-0.027791i,0.064452-0.046852i,0.024757-0.082013i,0.04077-0.046688i,0.01917-0.06607i,0.0087222-0.0092073i,0.0081138+0.00027147i,0.007679-0.034981i,-0.0067191+0.00074128i,-0.00062423-0.011657i,-0.0057017-0.0063944i,-0.023194-0.032194i,-0.0091509+0.02886i,0.0020209-0.013328i,-0.011477+0.0016231i,-0.0043491+0.00064541i,-0.0074508-0.012427i,-0.010798+0.0089767i,0.0075775+0.0086138i,0.0076729+0.025782i,0.0068738+0.0016214i,-0.0046332+0.0015819i,-0.0041693-0.0016005i,-0.015596+0.0023566i,0.0004847-0.0030025i,-0.038485+0.0099128i,-0.0046397-0.0101i,-0.0096964+0.0026453i,-0.0081859+0.0012118i,0.0041817-0.0039283i,-0.007968+0.0045059i,0.0022665-0.00098188i,0.0046051+0.0033011i,0.0034525-0.00056172i,-0.012592-0.0015007i,0.0042903+0.0056868i,-0.010977+0.012541i,0.0064392-0.00090815i,-0.02984+0.002239i,-0.031777+0.012976i,0.010857-0.084288i,0.0075488-0.016153i,-0.051532-0.013888i,-0.016963-0.0055934i,0.018532+0.0054192i,-0.021249+0.019367i,-0.017997-0.013848i
-0.022058-0.034237i,-0.021318-0.035732i,-0.014024-0.052637i,-0.033451-0.021855i,-0.0038566+0.0053807i,-0.045755-0.014876i,-0.078819-0.029294i,-0.047479-0.064073i,-0.044535-0.03529i,0.0048247+0.011843i,-0.0067922+0.012559i,0.0026702+0.018008i,0.012288+0.0041695i,-0.0083832+0.0044239i,0.0032164+0.0055236i,0.015599+0.023043i,0.042337+0.02746i,0.0046659+0.0019714i,-0.0076052+0.0019889i,0.0073137-0.0017975i,9.2161e-06+0.0024066i,-7.6777e-05+0.0041819i,-0.00028502+0.00075798i,-0.012074+0.017335i,-0.0052086-0.0024585i,0.0042036-0.00027406i,0.0027282-0.0010677i,0.0033968+0.0031987i,-0.0006773-0.002306i,-0.0018369-0.0021806i,-0.0018232-0.0041807i,-0.0039334-0.0022569i,-0.0047795-0.0064245i,0.00083886-0.0040163i,0.0038552-0.0049111i,0.019115+0.023476i,0.0023343-0.0080696i,0.00081686-0.003013i,0.0066093-0.0058619i,-0.0096678+0.0024434i,0.00065292+0.0022386i,0.0060485-0.0056682i,0.0060066-0.00029154i,-0.0033171+0.0072757i,0.014712-0.0078224i,0.019196+0.0041757i,-0.017469-0.088747i,-0.034126-0.041764i,-0.012246-0.035984i,-0.013043-0.027273i,0.057261-0.07282i,0.0051079-0.1011i,0.046666-0.054378i,0.0067982-0.067957i,0.0075243-0.0074007i,0.0052932-0.0031693i,0.0051644-0.040332i,0.0026123-0.00017041i,-0.0098185-0.013177i,-0.0058616-0.0084103i,-0.040766-0.020427i,-0.0007332+0.027155i,-0.0043848-0.012313i,-0.0089331+0.0042477i,-0.0056589+0.001694i,-0.014002-0.0096951i,-0.0053132+0.014977i,0.013796+0.0034319i,0.01741+0.015767i,0.006163-0.00068135i,-0.0039454+0.0012402i,-0.0051761+0.00011316i,-0.013131+0.010229i,-0.0025897-0.0026917i,-0.030638+0.017156i,-0.007286-0.005512i,-0.0074031+0.0069597i,-0.0083669+0.0067958i,-0.00099612-0.0049666i,-0.0060369+0.0061336i,0.001252-0.0023481i,0.002725+0.0021812i,0.0027364-0.0022136i,-0.0083883+0.005204i,0.0040051+0.0025827i,-0.0068838+0.015735i,0.0033897-0.0041773i,-0.025783+0.011024i,-0.025901+0.020435i,0.001912-0.082822i,0.0007377-0.017093i,-0.050097+8.4725e-05i,-0.022021-0.011881i,0.01731-0.0023048i,-0.0098889+0.020551i,-0.021629-0.010852i
-0.025585-0.029819i,-0.026071-0.036872i,-0.02444-0.055094i,-0.032692-0.0083087i,-0.0025341-0.0039413i,-0.047374-0.0041276i,-0.081153-0.0021725i,-0.062042-0.049819i,-0.050306-0.024814i,0.0071812+0.011007i,-0.0015857+0.015577i,0.0066548+0.012724i,0.011326-0.0032665i,-0.0063175+0.0094116i,0.0036219+0.0038838i,0.016928+0.013606i,0.047525+0.0065976i,0.0062082-0.00085693i,-0.0061284+0.0058999i,0.0052217-0.0039678i,0.0015635+0.0039423i,0.0037293+0.0054135i,-0.00017822+0.0011971i,-0.00059285+0.022199i,-0.0041463-0.00097149i,0.0032874-0.0024596i,0.0026163-0.0017374i,0.0044085+0.00058759i,-0.0010353-0.00055106i,-0.0034314-0.0016955i,-0.0026581-0.003613i,-0.0042489-0.0012877i,-0.0066389-0.0034252i,-0.00093281-0.0048555i,-0.00027891-0.0071243i,0.021092+0.013576i,-0.00047072-0.0083683i,-0.00015494-0.003606i,0.0030893-0.0082862i,-0.006173+0.0065625i,0.0017115+0.0018628i,0.0027998-0.0067184i,0.0057306-0.0023497i,-0.00044897+0.0072819i,0.017067-0.01482i,0.027395-0.0051813i,-0.031692-0.082999i,-0.037421-0.030314i,-0.01323-0.040668i,-0.011984-0.02964i,0.039451-0.10047i,-0.023807-0.10462i,0.04569-0.074394i,-0.0031255-0.067013i,0.0069219-0.0057093i,0.0007824-0.0062792i,-0.011481-0.032826i,0.0022988-0.0094987i,-0.013815-0.0076472i,-0.01191-0.011681i,-0.04736+0.00053609i,0.010394+0.022102i,-0.0089411-0.0093872i,-0.0057398+0.0052152i,-0.0049489+0.0043898i,-0.019372-0.0029351i,0.0032543+0.01375i,0.016189-0.0036638i,0.021158-0.0021422i,0.0063933-0.0029074i,-0.0049168+0.0010161i,-0.0052591+0.0029719i,-0.0082725+0.016892i,-0.0045528+0.00043413i,-0.026189+0.023498i,-0.0076014-0.0026242i,-0.0022647+0.0093553i,-0.0028263+0.011953i,-0.0051317-0.0025068i,-0.0020886+0.0056895i,0.00053594-0.0027668i,0.0018339+0.0023881i,-4.5639e-05-0.0043451i,-0.0029909+0.0044697i,0.00071053-0.00054042i,-0.0023009+0.018904i,-0.000814-0.003815i,-0.018381+0.017837i,-0.017618+0.0242i,-0.0071499-0.083014i,0.0014549-0.014194i,-0.045617+0.013526i,-0.029712-0.0086399i,0.014243-0.0080885i,-0.00080314+0.016068i,-0.022139-0.0057073i
-0.028122-0.0251i,-0.033959-0.034438i,-0.038497-0.054708i,-0.0288-0.0087306i,-0.008696-0.012036i,-0.046156+0.0059414i,-0.064508+0.016923i,-0.064184-0.032975i,-0.046902-0.013659i,0.0094548+0.0091645i,0.0046091+0.013139i,0.0083963+0.0095272i,0.0061707-0.0084816i,-0.00029531+0.011503i,0.0031362+0.0022415i,0.014124+0.009434i,0.037848-0.014378i,0.0052595-0.0038713i,-0.0015701+0.010523i,0.0030195-0.0045818i,0.0031626+0.0044788i,0.0058309+0.0033223i,4.539e-05+0.0023133i,0.011302+0.017851i,-0.0043205+0.00061702i,0.0019365-0.0034468i,0.0013221-0.0026633i,-0.001522+0.001762i,-8.4337e-05+0.00019048i,-0.0044777+0.00067679i,-0.0036767-0.0025924i,-0.0041121-1.8287e-05i,-0.0064649-0.00039968i,-0.0035054-0.00426i,-0.0031147-0.0053469i,0.022221+0.0077282i,-0.0028626-0.0074362i,-0.0022912-0.003588i,-0.0006359-0.0077125i,-0.0019451+0.0021507i,0.0018516+0.0011132i,-0.00066713-0.0052327i,0.0054217-0.003165i,0.00050439+0.0061752i,0.016076-0.027345i,0.032394-0.019603i,-0.039589-0.073872i,-0.036694-0.020902i,-0.016196-0.043819i,-0.012568-0.030626i,0.0049415-0.11983i,-0.049175-0.095958i,0.028098-0.091217i,-0.0149-0.061353i,0.0077952-0.0035139i,-0.0037308-0.0061489i,-0.023053-0.02283i,-0.0047445-0.013663i,-0.01535-0.0044353i,-0.021526-0.0068721i,-0.043053+0.018228i,0.01478+0.011317i,-0.01246-0.003967i,-0.0041534+0.0054131i,-0.0034488+0.0070385i,-0.019594+0.0080105i,0.0043884+0.0088584i,0.015215-0.011252i,0.024731-0.0053939i,0.0047544-0.0069764i,-0.0072385+0.0036046i,-0.0032783+0.0060272i,0.00072421+0.018948i,-0.0045156+0.0043431i,-0.015254+0.043275i,-0.0093993-0.001534i,0.0016388+0.0070739i,0.0042893+0.011433i,-0.0073869+0.0017645i,-0.0023452+0.0023407i,-0.0011881-0.0032305i,0.0011124+0.0042674i,-0.0051023-0.0036203i,-0.0022355+0.001489i,-0.0030972+0.001693i,0.0050903+0.019413i,-0.0032686-0.0024494i,-0.009282+0.020371i,-0.010373+0.02552i,-0.020262-0.080159i,0.0058667-0.020284i,-0.036789+0.027147i,-0.033968+0.0013369i,0.0088335-0.01244i,0.001111+0.0083457i,-0.020787-0.0040111i
-0.028758-0.021561i,-0.038267-0.03061i,-0.054209-0.047842i,-0.02922-0.0081134i,-0.020444-0.013222i,-0.040955+0.014803i,-0.047919+0.022205i,-0.062043-0.021972i,-0.044265-0.0095137i,0.010179+0.0070563i,0.0067012+0.010356i,0.010255+0.0051494i,-0.00046425-0.01055i,0.0050334+0.0089704i,0.0023654+0.001601i,0.013014+0.0075037i,0.021663-0.023872i,0.0044574-0.0052646i,0.0046852+0.010306i,0.00090936-0.0041446i,0.0054788+0.0026912i,0.0061917+0.0008218i,0.0021522+0.0031039i,0.026837+0.0067033i,-0.0021758+0.0029792i,-0.00038603-0.0040754i,9.7792e-06-0.00083332i,0.0062858-0.0037182i,0.0001638-0.00067741i,-0.0026269+0.0036825i,-0.0034821-0.0015278i,-0.0039328+0.0010046i,-0.0069796+0.0019436i,-0.0052187-0.0012107i,-0.0035088-0.0032292i,0.02411-0.0001233i,-0.0054582-0.0058298i,-0.0044403-0.0029952i,-0.0025376-0.0065262i,-0.0044924-0.001023i,0.0028873+0.00070215i,-0.0020914-0.0023225i,0.0035529-0.0048076i,0.00097296+0.0056565i,0.0066775-0.036396i,0.022331-0.038314i,-0.041911-0.067141i,-0.035213-0.014058i,-0.021159-0.044285i,-0.012511-0.034382i,-0.034127-0.11548i,-0.070681-0.079422i,0.0083174-0.096626i,-0.017134-0.046963i,0.014758+0.00050118i,-0.0062892-0.0035967i,-0.024246-0.0089795i,-0.010554-0.013417i,-0.019577+0.00028324i,-0.020624+0.002189i,-0.03445+0.034213i,0.013074+0.0039302i,-0.0094752+0.0028873i,-0.0047801+0.0061613i,0.0016639+0.0092203i,-0.013+0.015257i,0.0058581+0.0093867i,0.010592-0.022891i,0.014269-0.019351i,-0.0022169-0.010845i,-0.0073501+0.0085251i,-0.0012984+0.006712i,0.008441+0.016083i,-0.0013284+0.0068894i,-0.00020143+0.056201i,-0.011521+0.0015214i,0.0021927+0.0061325i,0.0083256+0.0064995i,-0.0043896+0.0075056i,-0.0036827+0.0040878i,-0.0044057-0.0024315i,0.0047618+0.0053864i,-0.0044392+0.0041098i,-0.0046775+0.00086876i,-0.00082802+0.0072283i,0.0108+0.014212i,-0.0048003-0.0015452i,-0.0027873+0.017437i,-0.0034554+0.026403i,-0.026517-0.071578i,-0.0028094-0.033475i,-0.016083+0.032334i,-0.029609+0.009385i,0.010716-0.018723i,0.0008021+0.0018091i,-0.021086+0.0002054i
-0.029245-0.018842i,-0.046432-0.028273i,-0.067994-0.03548i,-0.02825-0.003348i,-0.029236-0.004713i,-0.034764+0.020169i,-0.036769+0.020946i,-0.06014-0.015044i,-0.047213-0.005679i,0.012469+0.0040865i,0.010642+0.0090952i,0.0079423-0.00062031i,-0.0083187-0.0072806i,0.0074419+0.0037235i,0.0021489+0.0011041i,0.012716+0.0062055i,0.00691-0.023488i,0.0023481-0.0074593i,0.0078087+0.0052578i,-0.00023892-0.0027252i,0.0059478-0.00075833i,0.0072182+0.00020162i,0.0041097+0.0018004i,0.022621-0.0093763i,0.0020391+0.0017357i,-0.00019323-0.0026854i,0.0011322-0.0019224i,0.008459-0.012664i,-5.9893e-05-0.00028729i,3.053e-05+0.0037414i,-0.0036793-0.0012899i,-0.0029879+0.0024042i,-0.0049316+0.0044953i,-0.0040154+0.0014738i,-0.0042732-0.0034537i,0.021903-0.0090831i,-0.0063325-0.0023834i,-0.0051472-0.0010272i,-0.0059207-0.0031066i,-0.0093598+0.0012381i,0.0024702-0.00033748i,-0.0010718-0.00164i,0.0015967-0.0052005i,0.0021229+0.0037905i,-0.006225-0.039433i,0.0048439-0.040586i,-0.04915-0.066968i,-0.027671-0.008158i,-0.024924-0.042762i,-0.020466-0.040636i,-0.061559-0.1004i,-0.078633-0.054187i,-0.015937-0.097832i,-0.010766-0.043295i,0.021777-0.01333i,-0.0074596-0.00015082i,-0.020738-0.0047708i,-0.0195-0.0095156i,-0.017607+0.0095503i,-0.018386+0.0065628i,-0.014097+0.044519i,0.011482-0.00028416i,-0.0081572+0.0027829i,-0.0011267+0.0059153i,0.0043215+0.0056183i,-0.0055684+0.019254i,0.010596+0.0070504i,-0.0048571-0.028231i,-0.0045173-0.02193i,-0.0059928-0.0044716i,-0.0034539+0.012332i,0.0024444+0.0055511i,0.014811+0.0085517i,0.0026874+0.0054207i,0.025544+0.053102i,-0.0085438+0.0072499i,0.0029368+0.0045127i,0.0084651+0.001052i,0.00088734+0.0092072i,-0.0051205+0.0059155i,-0.0060134+0.0022973i,0.0076303+0.0047255i,-0.0013066+0.0060311i,-0.0063749+0.0033576i,0.0030429+0.0073461i,0.012529+0.0083739i,-0.0048996+0.00089807i,0.0028605+0.014417i,0.0048622+0.023964i,-0.031927-0.070756i,-0.021402-0.034479i,-0.0018798+0.023182i,-0.026041+0.01477i,-0.0049522-0.024878i,-0.0029402-0.0022366i,-0.014548+0.0018227i
-0.031132-0.016475i,-0.054662-0.018841i,-0.077366-0.016073i,-0.025612-0.0024267i,-0.028868+0.0063125i,-0.029832+0.023796i,-0.030692+0.018289i,-0.059198-0.0086855i,-0.047338+0.0042389i,0.013598-1.4815e-05i,0.015798-0.00033965i,0.0024923-0.00082465i,-0.010809-0.00043021i,0.0052872-0.00053525i,0.0012571+0.00052737i,0.015105+0.0031076i,-0.0022288-0.017184i,-0.0015628-0.0077073i,0.0068853+0.0011372i,-0.00043414-0.0017774i,0.0033094-0.0024601i,0.0069063-0.0022146i,0.0040608-0.00017347i,0.013953-0.017145i,0.0012212-0.0011302i,-0.00028055-0.0030479i,0.00075728-0.0028556i,0.00052559-0.0047647i,0.0018082+0.00028314i,0.0009319+0.0025668i,-0.0041013-0.00099889i,-0.0016827+0.0029783i,-0.0025212+0.0061049i,-0.0024518+0.001342i,-0.0058792+0.00011954i,0.016282-0.01544i,-0.0049539-0.00020695i,-0.0043274+0.0011697i,-0.0059768+4.4209e-06i,-0.0089193+0.006302i,0.0021911-0.00033812i,-0.00086261-0.0012972i,0.00096191-0.0047593i,0.0013266+0.0015765i,-0.01717-0.034425i,-0.0011142-0.031008i,-0.059362-0.063184i,-0.020867-0.0098558i,-0.028548-0.042011i,-0.031922-0.037394i,-0.084325-0.082459i,-0.074134-0.034159i,-0.042232-0.085874i,-0.008702-0.047191i,0.017711-0.025482i,-0.0056754+0.0020854i,-0.019364+0.0009094i,-0.025634+0.001025i,-0.010763+0.016273i,-0.014138+0.012592i,0.0079876+0.038622i,0.0092263-0.0056612i,-0.0089125+0.0053443i,-0.0013548+0.0036662i,0.0065334+0.0038901i,0.0027234+0.016932i,0.012046-0.00073374i,-0.020447-0.018678i,-0.015625-0.011936i,-0.0050308-0.00032404i,0.0033129+0.01221i,0.003538+0.0035539i,0.017424+0.0018435i,0.0054299+0.0045211i,0.043465+0.034767i,-0.0036425+0.007184i,0.0024977+0.0042936i,0.006598-0.0032912i,0.005968+0.0066122i,-0.0039972+0.01168i,-0.0035068+0.0073455i,0.010154+0.00069187i,0.0032287+0.0058801i,-0.005139+0.0064329i,0.005574+0.0042097i,0.013482+0.0042028i,-0.0046132+0.0012824i,0.0055898+0.0097415i,0.0096532+0.018928i,-0.040198-0.068103i,-0.032826-0.021606i,0.0043188+0.011364i,-0.014231+0.019799i,-0.01381-0.026936i,-0.010535-0.0018401i,-0.014784-0.0033464i
-0.033418-0.012872i,-0.056816-0.0064614i,-0.075833+0.0049141i,-0.025761-0.0014601i,-0.024042+0.013219i,-0.024326+0.027174i,-0.027556+0.015177i,-0.059716-0.0031033i,-0.040824+0.013247i,0.012305-0.004647i,0.0060906-0.0033873i,0.0017535+0.00204i,-0.0094092+0.0050896i,0.0036204-0.0027114i,0.0002439+0.00093843i,0.015653-0.0025423i,-0.0031547-0.0092543i,-0.0043238-0.0058499i,0.0055894+0.00023339i,-0.00031029-0.00089432i,0.0026387-0.0013127i,0.0050883-0.0039578i,0.0037789-0.0010754i,0.0054744-0.018468i,-0.00024163-0.0021499i,-0.0015544-0.0039545i,-0.00016802-0.0032345i,-0.0010301-0.0049838i,0.0015522-0.0014426i,0.0018403+0.0023192i,-0.0042692-0.00042717i,-0.00033134+0.0030699i,5.3814e-05+0.004286i,-0.0026364+0.0030618i,-0.0036771+0.0012677i,0.0081706-0.019526i,-0.0033395+0.00055621i,-0.0025161+0.0028313i,-0.0068465+0.0015186i,-0.0060095+0.010072i,0.0022516-0.000645i,-0.0015237-0.0010118i,-0.0014701-0.0054401i,-0.0014957+0.0017378i,-0.023486-0.026885i,0.0048578-0.026262i,-0.069499-0.057362i,-0.019247-0.01353i,-0.032382-0.039063i,-0.038061-0.029649i,-0.1013-0.054989i,-0.070665-0.025309i,-0.052504-0.059698i,-0.011286-0.050047i,0.007549-0.035607i,-0.0043701+0.0024281i,-0.015809+0.0017539i,-0.021689+0.014264i,-0.0031386+0.016061i,-0.0029811+0.013705i,0.016771+0.024315i,0.0049388-0.0080828i,-0.0066405+0.0080503i,-0.0022138+0.003495i,0.006477-0.00086258i,0.0073759+0.01317i,0.0064991-0.0040155i,-0.025101-0.0040527i,-0.017504-0.0020893i,-0.0020048+0.0012158i,0.0063822+0.01031i,0.0027678+0.0024146i,0.014854-0.0092372i,0.0066308-0.00011206i,0.053693+0.012707i,-0.0035864+0.0085542i,0.0040906+0.0029511i,0.002515-0.0056674i,0.0066323+0.0024604i,0.0012762+0.015461i,0.0035666+0.0060937i,0.0077256-0.0036208i,0.006122+0.0016615i,-0.0032039+0.008469i,0.0042752+0.0033217i,0.01158+0.00095788i,-0.0061385+0.0026192i,0.0033574+0.0067435i,0.012066+0.015124i,-0.046831-0.062311i,-0.033776-0.0086763i,0.0025681+0.0017905i,-0.0039586+0.014337i,-0.026352-0.021709i,-0.013338+0.0069697i,-0.019848-0.0013461i
-0.035026-0.0080117i,-0.055334+0.0032109i,-0.070543+0.020765i,-0.027343+9.8068e-05i,-0.017452+0.017265i,-0.018586+0.029568i,-0.027899+0.013047i,-0.060897+0.0048267i,-0.033932+0.017438i,0.0086256-0.0077841i,0.0043957-0.002976i,0.0028143+0.0021965i,-0.0052316+0.0079938i,4.8477e-05-0.0036055i,0.00066849+0.002125i,0.011336-0.0069645i,-0.0016411-0.0083172i,-0.0055599-0.0023633i,0.0045754-0.0028447i,0.00059778-0.00023427i,0.0034898-0.001746i,0.0031969-0.0038455i,0.003593-0.0018316i,-0.0014922-0.017314i,-0.0011645-0.0017808i,-0.0031271-0.002743i,-0.0012349-0.0033696i,-0.0027311-0.0050025i,0.00066902-0.0020482i,0.0029713+0.001031i,-0.0045276+0.00079226i,0.0007588+0.0026568i,0.0011038+0.0030784i,-0.0007574+0.0038123i,-0.0036808+0.0021149i,0.00061608-0.016354i,-0.0032761+5.938e-05i,-0.00030523+0.0026271i,-0.0052156+0.0053726i,-0.0001964+0.012912i,0.0024907-0.00034526i,-0.00074447+0.00037304i,-0.0020195-0.0046467i,-0.0011985+0.0051181i,-0.023397-0.019478i,0.013497-0.033781i,-0.082497-0.044931i,-0.020526-0.015498i,-0.0342-0.03699i,-0.042366-0.022338i,-0.10301-0.025885i,-0.068795-0.01393i,-0.046938-0.043348i,-0.014349-0.054284i,-0.0055121-0.039831i,-0.0028172+0.0028386i,-0.016991+0.00048517i,-0.011567+0.020021i,0.0013346+0.012537i,0.0035064+0.0054681i,0.016731+0.012579i,0.00015057-0.0089719i,-0.0041149+0.009545i,-0.0028797+0.0046193i,0.0034798-0.0035415i,0.0098641+0.0072175i,0.0044785-0.0023021i,-0.022599+0.0094144i,-0.014537+0.0067013i,-0.00048336+0.0012371i,0.010974+0.0073419i,0.0024969+0.0020123i,0.0057764-0.013727i,0.0037327-0.0030092i,0.052827-0.0080837i,-0.00032287+0.010464i,0.0032253+0.0011669i,-0.001445-0.0040826i,0.0058658+0.0012395i,0.009635+0.01633i,0.0043599+0.0017629i,0.0053471-0.0052864i,0.004692-0.0010638i,0.00089008+0.012182i,0.0048172+0.0023518i,0.011209-0.0022156i,-0.0046299+0.0075335i,0.0040671+0.006174i,0.014265+0.011567i,-0.053757-0.058939i,-0.028768-0.0014907i,-0.0002831-0.0019983i,-0.0024392+0.006583i,-0.034144-0.011944i,-0.0080435+0.010046i,-0.019051+0.0020009i
-0.034824-0.0029212i,-0.051936+0.011476i,-0.061082+0.034541i,-0.027361+0.004161i,-0.0097537+0.017376i,-0.013083+0.030772i,-0.029064+0.014355i,-0.059718+0.014343i,-0.028538+0.019975i,0.0050698-0.00878i,0.0023935-0.00274i,0.0043368+0.0013189i,-0.0011764+0.0091361i,-0.0027852-0.0019615i,0.0012223+0.0021696i,0.0064532-0.0088908i,-0.0039923-0.010528i,-0.0048037-0.00011891i,0.0036968-0.0025016i,0.0012622-0.00069979i,0.0035784-0.0030329i,0.0029295-0.0033431i,0.0032401-0.0027709i,-0.0074742-0.014499i,-0.0019049-0.0014472i,-0.0036965-0.0013248i,-0.0028889-0.0025771i,-0.0040987-0.0032527i,0.00027416-0.0024933i,0.0024122-0.0012178i,-0.0044059+0.0024488i,0.0011999+0.002056i,0.002023+0.0022592i,0.0016703+0.0028514i,-0.0027547+0.0029239i,-0.0026237-0.012194i,-0.0036175+0.00034788i,0.0010058+0.0012441i,-0.0010255+0.0058626i,0.0066993+0.011978i,0.0010395-0.0015399i,0.00010069+0.00039946i,-0.0032742-0.0046859i,0.0014765+0.0047988i,-0.02116-0.01708i,0.011378-0.050079i,-0.089965-0.027369i,-0.020742-0.016515i,-0.037052-0.038742i,-0.044119-0.014029i,-0.098721-0.0045055i,-0.063869-0.0055298i,-0.042588-0.034765i,-0.02167-0.05692i,-0.023119-0.037043i,-0.0021433+0.0022355i,-0.022623+0.0028997i,-0.0026681+0.019066i,0.0032827+0.0083727i,0.0027141-0.0018013i,0.012121+0.0060628i,-0.004859-0.009699i,-0.00091608+0.010274i,-0.0018558+0.0059773i,0.00045144-0.0035763i,0.0073474+0.0024662i,0.0040962-0.0014461i,-0.013553+0.017378i,-0.0087506+0.012484i,0.0018033-2.7429e-05i,0.013743+1.6624e-05i,0.0022268+0.0024736i,-0.0017747-0.012059i,0.00092209-0.0031442i,0.045044-0.020478i,0.0044292+0.010831i,0.002391+0.0015782i,-0.003869-0.001318i,0.0058027-0.0017818i,0.017179+0.011306i,0.0032106-0.0014712i,0.0022945-0.0070488i,0.002892-0.0025363i,0.0077651+0.0073531i,0.005059+0.0020713i,0.0072038-0.005694i,-1.2526e-05+0.0091672i,0.0048768+0.0041533i,0.016847+0.0071306i,-0.062826-0.050942i,-0.024574+0.0077615i,-0.0026277-0.0041997i,-0.0048043+0.0037837i,-0.037092+0.00026986i,-0.0056203+0.0088518i,-0.016962+0.004224i
