-0.0087978-0.039093i,-0.013526-0.042925i,0.00032572-0.046407i,-0.027054-0.026924i,-0.020278+0.014374i,-0.032872-0.031019i,-0.06061-0.059751i,-0.023679-0.07245i,-0.022974-0.057327i,0.0013437+0.013985i,-0.0072432+0.010165i,-0.014982+0.013352i,0.002698+0.016498i,-0.0036795-0.0035174i,0.0007027+0.0061088i,0.0012307+0.036827i,0.015019+0.060958i,0.00093629-0.00031454i,-0.0051336-0.008034i,0.0086721+0.0035001i,0.001547+0.00086067i,-0.0010969+0.0035086i,1.9173e-05-0.0014582i,-0.034445-0.0082647i,-0.0021668-0.0072899i,-0.00017665+0.004344i,0.0072532-4.7222e-05i,6.7985e-05+0.00072229i,5.4484e-05-0.0012248i,-0.00038781-0.0025195i,-0.0011588-0.0055803i,-0.0024364-0.0041582i,-0.00070288-0.0075521i,0.0034535-0.00093719i,0.0029097-0.0026073i,-0.0028288+0.032872i,0.0060692-0.0047193i,0.0035965-0.001979i,0.0046783-0.00013209i,-0.011726+0.0030345i,-0.00034641+0.00021136i,0.014978-0.0015297i,0.0059676-0.00024804i,-0.0026697+0.0039391i,0.0031698+0.0017884i,-0.0031481+0.0073913i,0.014386-0.086773i,-0.0061367-0.049399i,-0.025284-0.039642i,-0.020246-0.041699i,0.06202-0.018836i,0.026943-0.061146i,0.038022-0.045376i,0.029008-0.058049i,0.018902-0.015042i,0.0090076+0.0099499i,0.024118-0.031768i,-0.0089801-0.0049171i,0.0023117-0.0027912i,-0.0050585-0.0060867i,0.0016491-0.032181i,-0.023436+0.030492i,0.0074265-0.010158i,-0.010587-0.0014412i,-0.0053038-0.00098295i,-0.0016652-0.013647i,-0.0099364+0.0038781i,0.0042883+0.0083945i,-0.0086048+0.030793i,0.0058991+0.0075896i,-0.0044885-0.001287i,-0.0019069-0.0020293i,-0.012408-0.0082699i,0.00074883-0.0038047i,-0.028095+0.0027349i,0.0023748-0.013059i,-0.0092712-0.0016046i,-0.0060562-0.0030273i,0.0063021+0.0015042i,-0.009278+0.0012531i,0.0014521+0.00053722i,0.0060512+0.0087949i,0.0043823+0.00068592i,-0.0095099-0.0082145i,0.0021841+0.008804i,-0.019174+0.0069174i,0.006591+0.0030878i,-0.029412-0.00796i,-0.033568+0.0020117i,0.026463-0.079759i,0.012716-0.010734i,-0.043052-0.026437i,-0.022522-0.0037123i,0.018256+0.012372i,-0.026484+0.012641i,-0.011201-0.007964i
-0.016707-0.037975i,-0.019119-0.03613i,-0.0068802-0.048971i,-0.029166-0.022936i,-0.010669+0.012107i,-0.040154-0.02364i,-0.06868-0.045734i,-0.034145-0.069117i,-0.03355-0.042317i,0.0021024+0.012866i,-0.0064985+0.0085379i,-0.007195+0.019758i,0.010293+0.012019i,-0.0078465-0.00030829i,0.0017535+0.0058117i,0.0095014+0.030676i,0.032922+0.047254i,0.0020096+0.0021141i,-0.0080685-0.0029549i,0.008629-0.0001829i,0.00040964+0.0016968i,-0.0011996+0.0044032i,-0.00066182-0.00021867i,-0.022615+0.01112i,-0.0051339-0.0050483i,0.0030701+0.0026256i,0.0033639-0.0003284i,0.00033365+0.0026002i,0.0011984-0.0011493i,-0.001693-0.0027737i,-0.0016212-0.0043882i,-0.0027605-0.0037338i,-0.0027401-0.0067618i,0.0025706-0.0031018i,0.0018685-0.0020317i,0.0081276+0.031119i,0.004595-0.0065412i,0.0019479-0.0028946i,0.0065109-0.0014398i,-0.0088098+0.000632i,-8.0717e-05+0.0017039i,0.0078998-0.005071i,0.0047545-0.0002631i,-0.0043245+0.0049017i,0.010209-0.00037724i,0.0084777+0.0097866i,-0.00078344-0.088935i,-0.021211-0.052232i,-0.019194-0.033269i,-0.020616-0.028099i,0.064548-0.046507i,0.025171-0.081383i,0.040672-0.046431i,0.018601-0.066692i,0.0085479-0.0092948i,0.0082224-0.00020074i,0.0091961-0.035345i,-0.0068561+0.0011406i,-0.00017041-0.010994i,-0.0062614-0.0064787i,-0.021865-0.032642i,-0.0090808+0.029207i,0.0021823-0.013019i,-0.011534+0.0012526i,-0.0041859+0.00067043i,-0.0078308-0.012495i,-0.010744+0.0086562i,0.0079715+0.0087856i,0.010446+0.026793i,0.0075672+0.0013382i,-0.004209+0.00084737i,-0.0040166-0.0018781i,-0.018215+0.0019016i,0.0003504-0.0033022i,-0.039507+0.01952i,-0.0042629-0.010764i,-0.0091607+0.002734i,-0.007234+0.00027391i,0.0042622-0.0038332i,-0.0079886+0.0043014i,0.0025715-0.00077414i,0.0051125+0.0036586i,0.0033206-0.00054364i,-0.011986-6.8616e-05i,0.00414+0.0056244i,-0.013615+0.012544i,0.0062557-0.00068544i,-0.029581+0.002997i,-0.034243+0.010468i,0.011982-0.081117i,0.0083993-0.016593i,-0.049843-0.014042i,-0.016291-0.0059684i,0.019933+0.0061802i,-0.019328+0.018713i,-0.017442-0.013259i
-0.02214-0.033897i,-0.021025-0.034939i,-0.014413-0.052308i,-0.03117-0.017564i,-0.0041855+0.0056859i,-0.045337-0.014953i,-0.078603-0.029764i,-0.048948-0.063983i,-0.039591-0.034648i,0.0038822+0.012333i,-0.0060703+0.012107i,0.0027853+0.018357i,0.013232+0.004393i,-0.008508+0.0039744i,0.0030768+0.0055036i,0.015135+0.023558i,0.046836+0.02969i,0.0051982+0.0020252i,-0.0071936+0.0019512i,0.0071226-0.0021959i,5.3848e-05+0.0024979i,-0.00033374+0.0059652i,-0.00040249+0.00050499i,-0.010457+0.017267i,-0.0049435-0.0019617i,0.0043676-0.00020821i,0.0028888-0.0010071i,0.0028888+0.0031857i,-0.00042488-0.0019842i,-0.0023362-0.0023357i,-0.0021121-0.0041768i,-0.0039335-0.0028329i,-0.0054852-0.0059186i,0.00091061-0.0041431i,0.0039671-0.0045118i,0.018577+0.023826i,0.0024164-0.007515i,0.00077093-0.0031561i,0.0070115-0.0060934i,-0.0087314+0.0014628i,0.000814+0.0021057i,0.0056865-0.0056821i,0.0058836-7.6865e-05i,-0.0028711+0.0072359i,0.014244-0.008483i,0.019248+0.0049025i,-0.014889-0.088358i,-0.035523-0.042594i,-0.01218-0.036665i,-0.013207-0.026938i,0.05741-0.07159i,0.0051536-0.10068i,0.04675-0.054332i,0.0066283-0.067571i,0.0072975-0.0070626i,0.0047723-0.0036896i,-0.0019876-0.039036i,0.0026645-4.2993e-05i,-0.010025-0.012936i,-0.0059449-0.0087769i,-0.039378-0.021439i,-0.00062968+0.027497i,-0.0040112-0.012306i,-0.0090456+0.004362i,-0.0053841+0.0015007i,-0.014374-0.0098913i,-0.0051665+0.015216i,0.013934+0.0038528i,0.020321+0.014985i,0.0067252-0.00044782i,-0.0037159+0.00077284i,-0.0053518-0.00028749i,-0.012856+0.011012i,-0.0028242-0.0029156i,-0.031891+0.030883i,-0.0065227-0.005875i,-0.007648+0.0070401i,-0.0074889+0.0068493i,-0.00047021-0.0051933i,-0.0061027+0.0059802i,0.0017351-0.0024894i,0.0032226+0.0023586i,0.0027649-0.0020055i,-0.0070514+0.0051775i,0.0038183+0.0023812i,-0.0087437+0.015691i,0.0035693-0.0039477i,-0.02537+0.011903i,-0.02909+0.020707i,0.00077957-0.080198i,0.0014732-0.017569i,-0.048868-0.0015977i,-0.021217-0.012659i,0.01788-0.0022682i,-0.0094473+0.019985i,-0.021387-0.010805i
-0.025919-0.029706i,-0.02579-0.035788i,-0.024067-0.054264i,-0.029826-0.014023i,-0.0027235-0.0035073i,-0.04709-0.0042352i,-0.081361-0.0024178i,-0.063524-0.048433i,-0.046568-0.024864i,0.0063436+0.011552i,-0.0011188+0.014804i,0.0070694+0.012935i,0.01201-0.0033726i,-0.0070824+0.0091584i,0.0035138+0.0037276i,0.016908+0.013981i,0.055631+0.0059622i,0.0065803-0.0013969i,-0.0056405+0.0056826i,0.0053216-0.0037945i,0.0015516+0.0039539i,0.0025877+0.0073079i,-0.00018194+0.0010707i,0.00072777+0.022001i,-0.0040359-0.00063867i,0.0034279-0.0024189i,0.0029198-0.0019734i,0.0034403+0.00071654i,-0.00088701-0.00052123i,-0.0037906-0.0015965i,-0.0026414-0.0039187i,-0.0043377-0.0013038i,-0.0073735-0.0032668i,-0.00079181-0.0045656i,-9.8479e-05-0.0071899i,0.021114+0.013915i,-0.00060419-0.0078144i,-0.0002379-0.0034245i,0.003887-0.0088392i,-0.0050276+0.0043612i,0.0019677+0.0017885i,0.0025762-0.0066968i,0.0058774-0.0020295i,-1.8469e-05+0.0069524i,0.016495-0.015333i,0.027592-0.0042336i,-0.028914-0.084996i,-0.0378-0.029407i,-0.013012-0.040844i,-0.011712-0.029166i,0.040076-0.099044i,-0.023956-0.10405i,0.04567-0.074839i,-0.0029576-0.066236i,0.0063342-0.0057358i,0.00038831-0.0061573i,-0.015684-0.034481i,0.0020818-0.0089218i,-0.013886-0.0078329i,-0.012059-0.011808i,-0.047512-0.00074112i,0.009954+0.022211i,-0.0085739-0.0097879i,-0.0064183+0.0052643i,-0.0047933+0.0042249i,-0.019605-0.0023942i,0.0034848+0.013765i,0.01667-0.0030924i,0.016758+0.0033666i,0.0070936-0.0023707i,-0.0045979+0.0008556i,-0.0058248+0.0029039i,-0.0069691+0.016724i,-0.0048077+0.00042688i,-0.024106+0.0347i,-0.0071716-0.0029101i,-0.0028707+0.0095442i,-0.0016145+0.011956i,-0.0052803-0.0033832i,-0.002651+0.0053751i,0.0007882-0.0029087i,0.0019539+0.0026555i,0.00064055-0.0037955i,-0.0023041+0.0044259i,0.00047818-0.00079407i,-0.0039256+0.019795i,-0.00029795-0.0038811i,-0.01779+0.018241i,-0.020676+0.027147i,-0.0083076-0.080791i,0.0019035-0.014634i,-0.045502+0.011195i,-0.02987-0.010132i,0.01486-0.007836i,-0.00052101+0.015626i,-0.021751-0.0062722i
-0.028292-0.024547i,-0.03328-0.033631i,-0.037325-0.05459i,-0.028888-0.0099484i,-0.0084552-0.011667i,-0.04595+0.0057577i,-0.064803+0.016922i,-0.06404-0.031284i,-0.044991-0.014746i,0.0087808+0.0096844i,0.0045504+0.012649i,0.0090521+0.0095964i,0.0065301-0.0088735i,-0.0009244+0.011794i,0.0030345+0.0023598i,0.014511+0.0098594i,0.043262-0.020262i,0.0055384-0.0043212i,-0.0012333+0.010261i,0.0031944-0.004461i,0.0029736+0.004488i,0.0061551+0.0045286i,7.5377e-05+0.0022082i,0.014244+0.016783i,-0.0041275+0.0011294i,0.0022712-0.0035191i,0.0013546-0.0027373i,-0.00074506+0.0010017i,-0.00010963+0.00021162i,-0.0044651+0.00066558i,-0.003642-0.0028562i,-0.0039948+8.4535e-05i,-0.0069783-0.00041974i,-0.0033006-0.0037831i,-0.0029336-0.0056444i,0.022413+0.0078332i,-0.0026616-0.0069308i,-0.0023853-0.0031194i,0.00038085-0.0083266i,-0.0017348+0.0011732i,0.0021214+0.0011295i,-0.00099424-0.0049585i,0.0054705-0.0027163i,0.00085066+0.0058682i,0.014819-0.027919i,0.03273-0.01868i,-0.03938-0.077829i,-0.035487-0.02005i,-0.015692-0.044541i,-0.012087-0.030081i,0.0058473-0.11784i,-0.049002-0.09561i,0.026995-0.091863i,-0.014607-0.060852i,0.0072044-0.003818i,-0.0038257-0.006004i,-0.024778-0.023656i,-0.004352-0.012652i,-0.015729-0.0049697i,-0.021585-0.0068206i,-0.044203+0.017427i,0.014376+0.011233i,-0.012579-0.0053761i,-0.0045823+0.0055626i,-0.0032434+0.0070988i,-0.019249+0.0084759i,0.0044368+0.0089171i,0.015005-0.010997i,0.023934-0.0074684i,0.0056494-0.0072407i,-0.0068227+0.0035945i,-0.0038182+0.0060084i,0.0016022+0.018821i,-0.00468+0.0044414i,-0.019028+0.045342i,-0.008839-0.0012242i,0.0010297+0.0073103i,0.004426+0.011543i,-0.0080116+0.0022328i,-0.0032179+0.0027178i,-0.0010755-0.0033481i,0.001342+0.0043522i,-0.0030514-0.0038784i,-0.0019313+0.0017482i,-0.0029946+0.0014537i,0.0029111+0.022627i,-0.0029275-0.0026541i,-0.0086598+0.020225i,-0.011327+0.029394i,-0.020557-0.078862i,0.0060664-0.020403i,-0.037776+0.02614i,-0.034298+0.00062301i,0.0093919-0.012159i,0.00097314+0.0080849i,-0.021013-0.0054738i
-0.028835-0.020914i,-0.037577-0.029791i,-0.054645-0.047647i,-0.028814-0.0088676i,-0.019966-0.01319i,-0.040896+0.014444i,-0.048033+0.022658i,-0.061118-0.020551i,-0.042766-0.01112i,0.010029+0.0075635i,0.0064235+0.0096794i,0.010734+0.0049678i,-0.00073339-0.010909i,0.0049053+0.0099024i,0.0023404+0.0016648i,0.013726+0.007821i,0.021764-0.029577i,0.004722-0.0057685i,0.0049263+0.0098381i,0.0009108-0.0042561i,0.00547+0.0028745i,0.0061723+0.0012379i,0.0022062+0.0029257i,0.024211+0.0065353i,-0.0017499+0.0030323i,0.0010356-0.0043472i,-0.00016946-0.00078573i,0.006272-0.0017272i,-1.6701e-05-0.00071161i,-0.0027932+0.0035554i,-0.0032597-0.0018409i,-0.0040419+0.00097431i,-0.0065075+0.0017353i,-0.0048447-0.00084969i,-0.0037125-0.003733i,0.024341+0.00020313i,-0.0051237-0.005317i,-0.0043752-0.0025175i,-0.0027588-0.0081024i,-0.0043622-0.0013581i,0.0028213+0.00095723i,-0.0023176-0.0021337i,0.0038516-0.0044069i,0.0010021+0.005496i,0.0045148-0.036807i,0.022832-0.037587i,-0.042881-0.070617i,-0.033725-0.01379i,-0.020414-0.044937i,-0.011735-0.03425i,-0.0324-0.11391i,-0.070967-0.079216i,0.0069658-0.096996i,-0.016542-0.046961i,0.014487+0.00013315i,-0.0064216-0.0031799i,-0.025589-0.0095683i,-0.010445-0.012696i,-0.020167-0.00029553i,-0.0204+0.0022136i,-0.034719+0.034623i,0.012356+0.0041717i,-0.0107+0.0025374i,-0.0051515+0.0055468i,0.0019945+0.0090626i,-0.012938+0.015537i,0.005901+0.0097912i,0.010074-0.022007i,0.016002-0.021006i,-0.0019646-0.011155i,-0.0069389+0.0079881i,-0.0018087+0.0068179i,0.0093491+0.017232i,-0.0012341+0.0070097i,-0.0040298+0.055248i,-0.010998+0.0021821i,0.0011226+0.0062819i,0.0083612+0.0062958i,-0.0046253+0.008263i,-0.003865+0.0046662i,-0.0046749-0.0025158i,0.0040276+0.0049449i,-0.0050166+0.0027109i,-0.0045732+0.0016142i,-0.00023199+0.0068004i,0.0095426+0.016363i,-0.0047777-0.0017347i,-0.0027443+0.017182i,-0.0014229+0.026881i,-0.026631-0.070322i,-0.0025946-0.03358i,-0.016581+0.031562i,-0.030234+0.0095149i,0.0080206-0.017751i,0.00044389+0.0020783i,-0.02201-0.00063968i
-0.02936-0.018363i,-0.045605-0.027717i,-0.067002-0.034217i,-0.028305-0.0043489i,-0.028984-0.005162i,-0.03496+0.019863i,-0.036361+0.021615i,-0.058718-0.014034i,-0.046299-0.0071571i,0.012782+0.0039391i,0.0094751+0.008408i,0.0084462-0.00076019i,-0.008714-0.0076434i,0.0086939+0.0043538i,0.0019526+0.00099892i,0.013661+0.0065471i,0.0055625-0.026762i,0.0024741-0.0081328i,0.0079167+0.0052299i,-0.00038864-0.0028559i,0.0060043-0.00070348i,0.0075094+0.00042059i,0.0040666+0.0016135i,0.022202-0.0088294i,0.0022478+0.0015317i,-0.00031937-0.0030922i,0.0012258-0.0016578i,0.010992-0.0057828i,-0.00023578-0.00020089i,-0.00018965+0.0038803i,-0.0034457-0.0014949i,-0.0031195+0.002554i,-0.004654+0.0036763i,-0.0036574+0.0016702i,-0.0045747-0.0036456i,0.022105-0.0086961i,-0.0057565-0.0023093i,-0.0049955-0.00026397i,-0.0053028-0.0049057i,-0.008791+0.0015829i,0.0030524-6.6577e-05i,-0.00095939-0.0014795i,0.0021416-0.0049195i,0.0023672+0.0036832i,-0.0080668-0.038583i,0.0055524-0.040145i,-0.052445-0.070937i,-0.026419-0.0082745i,-0.024398-0.043848i,-0.019709-0.041025i,-0.059761-0.09935i,-0.078812-0.053849i,-0.017695-0.09722i,-0.010114-0.043524i,0.021547-0.014641i,-0.0066692+0.00025255i,-0.021445-0.0054985i,-0.019313-0.0087546i,-0.018682+0.0089622i,-0.018015+0.0066205i,-0.014214+0.043519i,0.011275+2.4384e-05i,-0.0084245+0.0031565i,-0.0020631+0.0059977i,0.0045436+0.005481i,-0.0059115+0.019281i,0.01068+0.0072715i,-0.0054625-0.027175i,-0.0024754-0.023446i,-0.0055417-0.0045042i,-0.0031997+0.012391i,0.0017173+0.0058839i,0.016642+0.01012i,0.0026621+0.0051291i,0.025265+0.054845i,-0.0074719+0.0077815i,0.0023175+0.0044708i,0.0086109+0.0015676i,0.0010307+0.0097797i,-0.0056807+0.0061652i,-0.0061482+0.0019621i,0.0073572+0.004408i,-0.0022762+0.0056697i,-0.0055916+0.0038634i,0.0034962+0.0067281i,0.0112+0.01105i,-0.0053903+0.00089255i,0.0024794+0.014258i,0.0055656+0.023545i,-0.031795-0.068974i,-0.020827-0.034827i,-0.0021274+0.022943i,-0.026532+0.014745i,-0.0001017-0.026883i,-0.0031354-0.0015573i,-0.014905+0.001914i
-0.031113-0.015989i,-0.054093-0.018546i,-0.075192-0.016769i,-0.02593-0.0031413i,-0.028895+0.0059181i,-0.029964+0.023624i,-0.030096+0.01878i,-0.057552-0.0088195i,-0.047441+0.0034996i,0.013409-0.00054208i,0.012074+0.0015956i,0.0029102-0.001429i,-0.011861-0.00063681i,0.0058631-0.00066842i,0.001086+0.00053506i,0.016014+0.0033425i,-0.0036771-0.018416i,-0.0019348-0.0083505i,0.0070864+0.00087269i,-0.00036911-0.0017729i,0.003334-0.0027703i,0.0072279-0.0023203i,0.0040696-0.00033356i,0.013975-0.016996i,0.0014123-0.0011849i,-0.00055787-0.0033472i,0.0010202-0.0028308i,0.0013082-0.0049135i,0.001483+0.00020305i,0.00088509+0.0027424i,-0.0039738-0.0011298i,-0.0016232+0.003268i,-0.0030247+0.0058555i,-0.0022552+0.0013254i,-0.0064789-0.00013985i,0.015433-0.01579i,-0.0046446-0.00058609i,-0.0037571+0.0020094i,-0.0065989-0.0013173i,-0.007939+0.0070831i,0.0023715-0.00065578i,-0.00067693-0.0014346i,0.0003387-0.005009i,0.0014185+0.0015002i,-0.018028-0.033028i,-0.00065451-0.030881i,-0.068825-0.064271i,-0.019645-0.010146i,-0.028116-0.042692i,-0.031348-0.037852i,-0.082632-0.082263i,-0.073948-0.034213i,-0.043137-0.08422i,-0.0087025-0.047713i,0.015805-0.026719i,-0.0050638+0.0020865i,-0.019871+0.00062024i,-0.024641+0.00071888i,-0.011378+0.016101i,-0.014158+0.012811i,0.008065+0.03961i,0.0093795-0.0056329i,-0.0083141+0.0051469i,-0.001714+0.0038247i,0.0066198+0.0038057i,0.002875+0.017131i,0.012345-0.0007066i,-0.019806-0.018064i,-0.014717-0.013393i,-0.0042436-0.0003782i,0.0048646+0.012842i,0.0033298+0.0041308i,0.018885+0.00081302i,0.0050333+0.0043773i,0.046588+0.03642i,-0.0038098+0.0068685i,0.0021554+0.0043005i,0.006843-0.0032556i,0.0062663+0.0066625i,-0.0043894+0.012857i,-0.0033986+0.0075026i,0.010714-0.00012648i,0.0024543+0.0059916i,-0.005+0.0059822i,0.0056452+0.0038756i,0.013228+0.0057755i,-0.0050863+0.0020545i,0.004957+0.0097249i,0.010063+0.018476i,-0.038775-0.06542i,-0.032845-0.022685i,0.0040909+0.011131i,-0.014934+0.021454i,-0.013934-0.028174i,-0.0099832-0.0016819i,-0.014344-0.0035022i
-0.0332-0.012247i,-0.056315-0.0062873i,-0.075918+0.0024839i,-0.026194-0.0020571i,-0.023873+0.012996i,-0.024547+0.027126i,-0.02694+0.015073i,-0.058458-0.0042261i,-0.040993+0.013118i,0.011809-0.0049146i,0.0082997-0.00054081i,0.0016324+0.0015333i,-0.010296+0.0050203i,0.0030636-0.0036058i,0.00010799+0.0010104i,0.016014-0.0022932i,-0.0050469-0.0094982i,-0.0049833-0.0057641i,0.0056079+0.00016954i,-0.00023427-0.0010337i,0.0025141-0.0015048i,0.0054456-0.0040363i,0.0037156-0.0012011i,0.0059006-0.018468i,-0.00012229-0.0022311i,-0.0016959-0.0039804i,-0.0002758-0.0032997i,-0.00045696-0.0048838i,0.0015178-0.0015896i,0.0017996+0.0022022i,-0.0043182-0.00048349i,-0.0002347+0.0032404i,-0.00017789+0.0047032i,-0.0023235+0.0023737i,-0.0041227+0.0013389i,0.0066989-0.018565i,-0.003226+0.00011198i,-0.0021256+0.0028861i,-0.0088257+0.00022764i,-0.0048346+0.010525i,0.0025857-0.00056253i,-0.00131-0.00095063i,-0.00023995-0.0040913i,-0.001429+0.0018424i,-0.023975-0.025395i,0.0049814-0.026295i,-0.077412-0.046214i,-0.017866-0.01425i,-0.032405-0.040436i,-0.037592-0.030317i,-0.10017-0.055558i,-0.07026-0.025462i,-0.051845-0.059118i,-0.011829-0.050354i,0.004822-0.034184i,-0.0041081+0.0018179i,-0.016117+0.0016103i,-0.021287+0.013378i,-0.0033437+0.016407i,-0.0027521+0.013524i,0.017638+0.025243i,0.0047805-0.0080523i,-0.0067243+0.0074418i,-0.0024949+0.0036954i,0.0065169-0.0010758i,0.00805+0.012349i,0.0066815-0.0039538i,-0.026069-0.0045965i,-0.016817-0.0029996i,-0.0016445+0.00075061i,0.009987+0.0098785i,0.0025493+0.0025984i,0.014702-0.0093268i,0.0064745-0.00013917i,0.054483+0.011321i,-0.0037717+0.0085344i,0.0040754+0.0033224i,0.0020996-0.0055503i,0.0068429+0.0025481i,0.002411+0.016185i,0.0036172+0.006173i,0.0077707-0.0045018i,0.0058584+0.0022523i,-0.0047228+0.0054701i,0.0046183+0.0030667i,0.011674+0.0010392i,-0.0062033+0.0032734i,0.0031264+0.0067552i,0.011836+0.014343i,-0.043743-0.060981i,-0.033712-0.010491i,0.0024948+0.0019594i,-0.0028064+0.015486i,-0.025666-0.021722i,-0.013499+0.0066495i,-0.018849-0.001703i
-0.034711-0.0075675i,-0.054703+0.0037001i,-0.071934+0.018761i,-0.027405-0.00011222i,-0.017663+0.017004i,-0.018615+0.029413i,-0.027592+0.012852i,-0.06086+0.0035798i,-0.034075+0.017036i,0.0084412-0.0076684i,0.0051918-0.0029593i,0.0026328+0.0023867i,-0.005522+0.0081371i,-0.00021304-0.003169i,0.00059899+0.0022023i,0.011613-0.0078483i,-0.0032169-0.0072388i,-0.0054999-0.0016876i,0.0054468-0.0016664i,0.00048375-0.00047848i,0.0036023-0.0015303i,0.0033538-0.0039281i,0.003593-0.0018288i,-0.00098689-0.017554i,-0.0011471-0.0020416i,-0.0033124-0.0028156i,-0.0015546-0.0033456i,-0.0019918-0.004882i,0.00080871-0.0022125i,0.0028234+0.00094397i,-0.0047218+0.00085449i,0.00086533+0.0025332i,0.00095662+0.0036844i,-0.00077986+0.002966i,-0.0040702+0.001919i,9.4919e-05-0.014766i,-0.0031819-0.00024466i,-0.00028309+0.002736i,-0.0062696+0.0052774i,0.00031518+0.01292i,0.0034957+0.0002543i,-0.00048906+0.00025281i,-0.00080759-0.0045466i,-0.000994+0.0049732i,-0.023811-0.017777i,0.013863-0.033659i,-0.078459-0.033779i,-0.019589-0.016841i,-0.034796-0.03824i,-0.041765-0.023115i,-0.10246-0.027015i,-0.068055-0.013934i,-0.046421-0.043816i,-0.015084-0.053688i,-0.0093298-0.035525i,-0.0032877+0.0025768i,-0.017203+0.00047367i,-0.013349+0.020403i,0.0015772+0.013009i,0.0035321+0.0051476i,0.01661+0.013122i,-0.00015203-0.0088211i,-0.0042178+0.0092955i,-0.0033237+0.0046385i,0.0031868-0.0037317i,0.0087603+0.0068553i,0.0045214-0.0023556i,-0.02309+0.0099256i,-0.014767+0.006145i,-0.0006345+0.00086294i,0.01258+0.0031807i,0.0023935+0.0022599i,0.0053342-0.013052i,0.003747-0.0031683i,0.0509-0.0094675i,-0.00062157+0.01122i,0.0032883+0.001752i,-0.0013922-0.0038199i,0.0061232+0.0011067i,0.010538+0.015601i,0.0043808+0.001619i,0.0053549-0.0058404i,0.0047284-0.00075825i,-0.005105+0.0052378i,0.0051224+0.0020703i,0.010988-0.0026429i,-0.0045305+0.0081309i,0.0036291+0.0060808i,0.013875+0.011262i,-0.051361-0.058186i,-0.029741+0.0036675i,-0.00028656-0.0020376i,-0.0014937+0.0062795i,-0.034975-0.010489i,-0.0085264+0.0096558i,-0.018234+0.0020658i
-0.034382-0.0026176i,-0.050918+0.011889i,-0.062711+0.032314i,-0.027431+0.0036918i,-0.01001+0.01744i,-0.01297+0.03043i,-0.028885+0.014158i,-0.060353+0.013141i,-0.029136+0.020043i,0.0054915-0.0086559i,0.0025401-0.0025513i,0.0043054+0.0016534i,-0.00035563+0.0094593i,-0.002761-0.0015904i,0.0010964+0.0022586i,0.0058534-0.0092559i,-0.0049001-0.0084299i,-0.0044601+0.00012394i,0.0044258-0.0023097i,0.0010878-0.00089865i,0.003842-0.0032947i,0.0031732-0.0033427i,0.0032464-0.0027111i,-0.0069361-0.014924i,-0.0020371-0.0015268i,-0.0038305-0.0012667i,-0.0029874-0.0024961i,-0.0038921-0.0037468i,0.00038203-0.0025706i,0.0022914-0.0011492i,-0.0045521+0.0029236i,0.0011307+0.0020332i,0.0014129+0.0026811i,0.0011086+0.0022751i,-0.0031984+0.0031525i,-0.0026308-0.010505i,-0.0034744+0.00047036i,0.00098629+0.0015364i,-0.002312+0.0053459i,0.0069372+0.01156i,0.0016883+0.00047798i,0.00036946+0.00022489i,-0.0021936-0.0050174i,0.0014936+0.0044975i,-0.020889-0.014816i,0.011569-0.049995i,-0.080307-0.022581i,-0.020599-0.018073i,-0.037627-0.039854i,-0.043886-0.014641i,-0.098951-0.0060038i,-0.063253-0.0058215i,-0.042421-0.035529i,-0.022063-0.055839i,-0.021961-0.031256i,-0.0024418+0.0022013i,-0.022845+0.0030496i,-0.0034014+0.021403i,0.0026561+0.0086343i,0.0025013-0.0023812i,0.012197+0.0063494i,-0.0059432-0.0092101i,-0.00083233+0.010051i,-0.0029006+0.0059232i,0.00030403-0.0035168i,0.0068282+0.0029846i,0.0040845-0.0015022i,-0.01389+0.017395i,-0.0075181+0.012385i,0.001649-0.00038114i,0.011793-0.0010339i,0.0022724+0.002573i,-0.002007-0.011288i,0.0009367-0.0034519i,0.039156-0.024118i,0.0051264+0.011039i,0.0022942+0.0024455i,-0.0034782-0.0011179i,0.0060072-0.0020311i,0.017455+0.010312i,0.0030495-0.0013494i,0.0024609-0.006919i,0.0030613-0.0025774i,0.010485+0.0024667i,0.004982+0.0018333i,0.0072765-0.0062489i,0.00053619+0.0093399i,0.0042657+0.0042322i,0.01661+0.0071324i,-0.060331-0.051216i,-0.022541+0.0085648i,-0.0022589-0.0047493i,-0.0044229+0.0026213i,-0.036141+0.0018676i,-0.0060693+0.008689i,-0.015892+0.004803i
