-0.0078471-0.038882i,-0.012956-0.042816i,0.0016168-0.045791i,-0.027417-0.027313i,-0.020169+0.014326i,-0.03297-0.031349i,-0.060916-0.059002i,-0.022758-0.072427i,-0.034268-0.049738i,0.0014945+0.014998i,-0.007469+0.010302i,-0.014686+0.013223i,0.001871+0.016175i,-0.0039869-0.0034691i,0.00077858+0.0061746i,0.00064812+0.037358i,0.019324+0.058256i,0.00093377-0.00058138i,-0.0051726-0.0082201i,0.0082004+0.0046092i,0.0019263+0.00076735i,-0.00086984+0.0036766i,1.8967e-06-0.00133i,-0.034908-0.008656i,-0.0023975-0.0073497i,-0.0001885+0.0043254i,0.0046137+0.00022072i,0.00014024+0.0010503i,-0.00026976-0.0010078i,-0.00012871-0.0026154i,-0.0011759-0.005946i,-0.0024774-0.0038168i,-0.00061581-0.0082411i,0.0032694-0.0015769i,0.0030889-0.0024101i,-0.00030749+0.034126i,0.0061579-0.0041621i,0.003633-0.002342i,0.0049601+0.00033112i,-0.013614-0.004278i,-0.00029494+0.00038735i,0.0098574-0.00084094i,0.0059577-0.00052555i,-0.0033389+0.0041054i,0.0031711+0.0027665i,-0.0041466+0.0079883i,0.013453-0.087078i,-0.007178-0.048877i,-0.024935-0.038913i,-0.020324-0.041306i,0.062558-0.018178i,0.026235-0.061898i,0.038222-0.045768i,0.02885-0.057579i,0.019063-0.015707i,0.0087695+0.0097767i,0.024141-0.033368i,-0.0076936-0.0049638i,0.0020417-0.0032673i,-0.0051922-0.0062198i,0.0011953-0.031894i,-0.024047+0.031106i,0.0077804-0.010391i,-0.011022-0.0014465i,-0.0051489-0.0011399i,-0.0011147-0.014087i,-0.010488+0.0044542i,0.0040194+0.0079745i,-0.010332+0.031198i,0.0059289+0.0074899i,-0.005414-0.0016488i,-0.0017416-0.0017494i,-0.010972-0.0074312i,0.0010545-0.0034624i,-0.034729+0.0053917i,0.0022245-0.012633i,-0.0090642-0.0022776i,-0.0060402-0.0029501i,0.0063429+0.0015655i,-0.0096711+0.0015544i,0.00086061+0.00011026i,0.0051486+0.0088474i,0.0044316+0.00060513i,-0.0091084-0.0098955i,0.0024227+0.0087283i,-0.018953+0.0066434i,0.0068185+0.0032824i,-0.028948-0.0080508i,-0.033723+0.0030136i,0.024196-0.077787i,0.011872-0.010166i,-0.044055-0.026537i,-0.022202-0.0028678i,0.017869+0.012406i,-0.026706+0.012718i,-0.011286-0.008056i
-0.01591-0.037705i,-0.018915-0.036178i,-0.0055162-0.049312i,-0.030016-0.023832i,-0.010205+0.011813i,-0.040455-0.023774i,-0.068271-0.045207i,-0.033092-0.069861i,-0.039474-0.039268i,0.0029647+0.013562i,-0.0065459+0.0087715i,-0.0072378+0.019191i,0.0098444+0.012037i,-0.0086253-0.00039612i,0.0016115+0.0056308i,0.0092786+0.031179i,0.033349+0.042769i,0.0020717+0.0018582i,-0.0082587-0.0030446i,0.0086212+0.0004329i,0.00080256+0.001649i,-0.00077709+0.0045008i,-0.00062639-0.00021033i,-0.023662+0.011622i,-0.0049564-0.0051697i,0.0031202+0.0025389i,0.0035084-8.7432e-05i,0.00075578+0.0026859i,0.00099381-0.0012348i,-0.0014234-0.0029761i,-0.0016747-0.0048234i,-0.0029319-0.0032217i,-0.0027152-0.0074138i,0.0023041-0.0034553i,0.0022008-0.0019587i,0.010915+0.030181i,0.0051655-0.0065963i,0.0019874-0.0031105i,0.0066841-0.0014129i,-0.0090431-0.00041711i,7.6113e-05+0.0018037i,0.0077871-0.0026232i,0.0046969-0.00043713i,-0.0046876+0.005213i,0.010376+0.00096628i,0.0077294+0.010584i,-0.0018712-0.089265i,-0.02157-0.050729i,-0.018813-0.032716i,-0.020275-0.027651i,0.064972-0.04644i,0.024124-0.082225i,0.040848-0.046606i,0.018853-0.066437i,0.0089665-0.0096123i,0.0080847+0.00015752i,0.010175-0.036019i,-0.0069002+0.00081671i,-0.00011288-0.011149i,-0.0066783-0.0067062i,-0.022336-0.032363i,-0.0094587+0.029522i,0.0018793-0.01292i,-0.011607+0.0018135i,-0.0044243+0.000526i,-0.0074159-0.012715i,-0.010613+0.0089813i,0.0078009+0.0083893i,0.0083372+0.02894i,0.007636+0.0021038i,-0.0043981+0.0013769i,-0.0041539-0.0020114i,-0.015304+0.0013738i,0.00045738-0.0031095i,-0.037623+0.012083i,-0.0043586-0.010251i,-0.0094921+0.0022878i,-0.0077315+0.00026545i,0.0041515-0.0040346i,-0.0080961+0.0046453i,0.0021576-0.00092455i,0.0046602+0.0034372i,0.0033967-0.00039304i,-0.012914-0.001454i,0.0041196+0.0054878i,-0.013496+0.013212i,0.0064023-0.00099576i,-0.029264+0.0029694i,-0.032393+0.012581i,0.0099316-0.079531i,0.0077966-0.016359i,-0.050388-0.013265i,-0.015813-0.0058722i,0.018434+0.0055784i,-0.020469+0.019404i,-0.017675-0.013566i
-0.021196-0.033586i,-0.020895-0.034787i,-0.0139-0.05233i,-0.032646-0.018692i,-0.0037337+0.0052408i,-0.045491-0.014976i,-0.078141-0.02973i,-0.048549-0.065157i,-0.043381-0.032694i,0.0049435+0.012175i,-0.0061835+0.012007i,0.0021929+0.018093i,0.012818+0.0041329i,-0.0092755+0.0042332i,0.0028169+0.0054578i,0.014985+0.023668i,0.043412+0.029483i,0.0050462+0.0018152i,-0.0071886+0.0018482i,0.007737-0.0022175i,0.00022988+0.0024165i,0.00061755+0.0062773i,-0.00046807+0.00050002i,-0.010603+0.018586i,-0.0047605-0.00235i,0.004182-0.00024623i,0.0029864-0.0015739i,0.0033605+0.0028071i,-0.00053387-0.001958i,-0.0020361-0.0023757i,-0.0025041-0.0045327i,-0.0038661-0.0022118i,-0.0049463-0.0065418i,0.00072463-0.0045835i,0.0040158-0.0042909i,0.019734+0.02188i,0.0023397-0.0076196i,0.00094564-0.003365i,0.0068076-0.0060645i,-0.0085563+0.00055863i,0.0010666+0.0022919i,0.0061037-0.0047726i,0.005662-0.00080506i,-0.0031156+0.0073669i,0.014925-0.0072437i,0.018986+0.0057608i,-0.016995-0.088056i,-0.033554-0.042182i,-0.01148-0.036111i,-0.012727-0.027041i,0.057589-0.072219i,0.004477-0.10082i,0.046803-0.054498i,0.0063139-0.067516i,0.0077399-0.0072824i,0.004905-0.0034151i,-0.00091886-0.038011i,0.0027637-0.00012678i,-0.0098777-0.012747i,-0.0062724-0.0090222i,-0.039922-0.021002i,-0.00043137+0.02771i,-0.0041207-0.011848i,-0.0093635+0.0049455i,-0.0055737+0.0014099i,-0.014184-0.010093i,-0.0049827+0.015214i,0.013595+0.0033237i,0.019912+0.017916i,0.0069727-0.00029162i,-0.0038412+0.00099788i,-0.0054286-0.00023991i,-0.012196+0.01032i,-0.0027929-0.0025819i,-0.032141+0.024039i,-0.0068548-0.0057122i,-0.0074384+0.0069597i,-0.0083528+0.0068178i,-0.0011894-0.0053466i,-0.0061635+0.0064393i,0.0013445-0.0026799i,0.0023911+0.0022527i,0.002719-0.0020689i,-0.0088161+0.0048725i,0.0036602+0.0023108i,-0.0078536+0.01542i,0.0032093-0.0046619i,-0.024785+0.011489i,-0.026055+0.021226i,2.5575e-05-0.078676i,0.0011816-0.017336i,-0.050014-0.00071344i,-0.020613-0.012787i,0.017142-0.0022341i,-0.010055+0.020264i,-0.02175-0.010486i
-0.024819-0.029271i,-0.025277-0.03563i,-0.024025-0.0547i,-0.031115-0.01261i,-0.0022302-0.0040496i,-0.047094-0.0042446i,-0.080989-0.0022938i,-0.063453-0.049816i,-0.048944-0.022541i,0.0069148+0.011073i,-0.0016408+0.014634i,0.0065265+0.012874i,0.011627-0.0036424i,-0.007234+0.0098197i,0.0030844+0.0038086i,0.016732+0.013839i,0.051502+0.0081296i,0.0066179-0.0011617i,-0.0059015+0.0055367i,0.0054278-0.0043024i,0.0017169+0.0041289i,0.0041342+0.0069988i,-0.00034006+0.0010642i,0.00066198+0.023846i,-0.003991-0.0011379i,0.0032324-0.0024467i,0.0026257-0.0020847i,0.0040404-0.00025951i,-0.00084454-0.00041859i,-0.0033231-0.0017687i,-0.0032009-0.003707i,-0.0040099-0.0011655i,-0.0072213-0.0039377i,-0.0013149-0.0048816i,0.00022951-0.0067158i,0.021119+0.012187i,-0.00052762-0.0078325i,-0.00011666-0.003752i,0.0028185-0.0086669i,-0.0056118+0.0040937i,0.0022116+0.0017484i,0.0028457-0.0063423i,0.0050901-0.0027992i,-0.00014024+0.0072564i,0.017237-0.014376i,0.027465-0.0034153i,-0.030797-0.082568i,-0.03725-0.030937i,-0.012772-0.040844i,-0.011165-0.029457i,0.040353-0.099894i,-0.024078-0.10444i,0.045399-0.074388i,-0.0033378-0.066402i,0.0069713-0.0057124i,0.000592-0.0060687i,-0.014491-0.03371i,0.002391-0.0092851i,-0.013554-0.0074353i,-0.012198-0.01217i,-0.047963-0.00068072i,0.010859+0.022067i,-0.0088649-0.0089503i,-0.0062121+0.0059347i,-0.0049977+0.0040451i,-0.019463-0.0028873i,0.0036224+0.013658i,0.016013-0.0037292i,0.023553+0.0066145i,0.0073219-0.002611i,-0.0047201+0.0010471i,-0.0059033+0.0029341i,-0.0073576+0.016599i,-0.0047713+0.00096253i,-0.02617+0.032498i,-0.0076053-0.0028134i,-0.0022636+0.0093057i,-0.0023411+0.011917i,-0.005648-0.0027395i,-0.0023601+0.0057353i,0.00038432-0.0028524i,0.0014958+0.0022696i,0.00026102-0.0039057i,-0.0035028+0.0045173i,0.00030351-0.00074263i,-0.0036427+0.01747i,-0.0011319-0.0041025i,-0.017425+0.017526i,-0.017736+0.02424i,-0.0085937-0.079i,0.0018775-0.014587i,-0.045817+0.013192i,-0.02912-0.010408i,0.014369-0.0083457i,-0.0011039+0.016079i,-0.022088-0.0056628i
-0.027226-0.024777i,-0.032728-0.033672i,-0.038178-0.054958i,-0.029154-0.0096908i,-0.0082792-0.012301i,-0.045945+0.005789i,-0.064274+0.017098i,-0.064698-0.032886i,-0.045198-0.012485i,0.0090073+0.0093243i,0.0040042+0.012909i,0.0085073+0.0094946i,0.0061054-0.0090028i,-0.00086604+0.012323i,0.0027025+0.0024748i,0.013977+0.0097872i,0.041509-0.0171i,0.0056481-0.0041398i,-0.0015665+0.010537i,0.0031406-0.0049518i,0.0032956+0.004666i,0.0064246+0.0043134i,-0.00010417+0.0022212i,0.018537+0.017969i,-0.0041813+0.00068526i,0.0020204-0.0034692i,0.001368-0.0027454i,0.0036726-0.00018292i,0.00011465+0.00011899i,-0.0043179+0.00039617i,-0.0040142-0.0024009i,-0.0039871+0.00013685i,-0.0068623-0.00031151i,-0.0037801-0.0038824i,-0.0026096-0.0051998i,0.022158+0.0067209i,-0.0028185-0.0071431i,-0.0022138-0.0035385i,-0.00070867-0.0079446i,-0.0021961+0.00096167i,0.0024152+0.0008674i,-0.00072932-0.0049353i,0.0044545-0.0030437i,0.00077329+0.0057954i,0.015986-0.027262i,0.032968-0.017657i,-0.039182-0.073644i,-0.036407-0.021105i,-0.015913-0.044759i,-0.011598-0.030482i,0.0057321-0.11939i,-0.04916-0.09596i,0.027091-0.090848i,-0.014842-0.060895i,0.0078163-0.0034522i,-0.0036499-0.0061715i,-0.023902-0.023756i,-0.0044921-0.013397i,-0.015401-0.0044374i,-0.021536-0.0073878i,-0.044929+0.018263i,0.014636+0.01074i,-0.012267-0.0040464i,-0.004185+0.0060191i,-0.0033748+0.0067433i,-0.019859+0.0076194i,0.0045659+0.0086375i,0.014994-0.01127i,0.024598-0.0055879i,0.0055008-0.0071793i,-0.0067487+0.0036991i,-0.0036204+0.0061675i,0.0011186+0.018695i,-0.0044369+0.0048679i,-0.018864+0.042731i,-0.0093428-0.0013354i,0.0013812+0.0069303i,0.0041277+0.011243i,-0.0073949+0.0012355i,-0.0027973+0.0029563i,-0.0010295-0.0032353i,0.0010209+0.0042264i,-0.0040969-0.0035637i,-0.0025723+0.0016083i,-0.0035116+0.0015256i,0.0033894+0.018508i,-0.0036193-0.0028524i,-0.008833+0.019548i,-0.011961+0.025415i,-0.020136-0.077102i,0.0062698-0.020802i,-0.036893+0.02687i,-0.033482-0.00028781i,0.0094579-0.012959i,0.0010197+0.0083854i,-0.021271-0.0048522i
-0.027778-0.021412i,-0.03729-0.030025i,-0.054471-0.0484i,-0.029098-0.0084634i,-0.019958-0.01372i,-0.040806+0.014551i,-0.047773+0.022412i,-0.06261-0.021813i,-0.04242-0.0088002i,0.010279+0.0072846i,0.0060526+0.010081i,0.010447+0.004981i,-0.00083919-0.010783i,0.0052575+0.009924i,0.002035+0.0017879i,0.01323+0.007863i,0.02255-0.026615i,0.004691-0.0056004i,0.004992+0.010086i,0.00073501-0.0044363i,0.005939+0.0026382i,0.006353+0.0015281i,0.0020154+0.00299i,0.025408+0.0029117i,-0.0019829+0.002775i,0.00052748-0.0037709i,-0.00014187-0.00094939i,0.0050077-0.0018697i,0.00024571-0.0010457i,-0.0027423+0.0034058i,-0.0036112-0.001376i,-0.0039728+0.0010284i,-0.0063287+0.0021607i,-0.0049194-0.00079235i,-0.0031442-0.0036188i,0.023515-0.00060041i,-0.0054307-0.0055818i,-0.0043495-0.0029167i,-0.003559-0.0077802i,-0.0049424-0.0020082i,0.0032007+0.00033997i,-0.0019462-0.0023931i,0.0033071-0.0043382i,0.0012327+0.00524i,0.0063198-0.036311i,0.023221-0.036854i,-0.041338-0.066735i,-0.034696-0.013975i,-0.020951-0.044862i,-0.011389-0.034625i,-0.033311-0.11533i,-0.07044-0.079459i,0.0078554-0.095559i,-0.017251-0.047037i,0.014341+0.00033528i,-0.0065962-0.0037436i,-0.02503-0.0099721i,-0.010491-0.01305i,-0.019811+0.00035451i,-0.020427+0.0016269i,-0.03552+0.035308i,0.012932+0.0037566i,-0.0097245+0.0029805i,-0.0047781+0.0060299i,0.0017291+0.0088996i,-0.0131+0.015094i,0.0060511+0.0095823i,0.010313-0.022203i,0.014252-0.020262i,-0.0021188-0.011135i,-0.0065546+0.0083167i,-0.0016394+0.0066378i,0.0085476+0.016338i,-0.0012259+0.007237i,-0.0012883+0.055229i,-0.011318+0.0018458i,0.0017868+0.006004i,0.0080949+0.0062809i,-0.0056175+0.0074578i,-0.0035582+0.0049568i,-0.0042516-0.0024501i,0.0042495+0.004973i,-0.0048407+0.0028171i,-0.0051992+0.0015088i,-0.00092059+0.0071585i,0.0093939+0.01467i,-0.0052074-0.0017077i,-0.0030892+0.016792i,-0.0040532+0.027137i,-0.026235-0.069757i,-0.0020395-0.034272i,-0.01637+0.031896i,-0.030665+0.0084098i,0.0073721-0.01972i,0.00062342+0.0022274i,-0.021961+3.4134e-05i
-0.02843-0.019073i,-0.045469-0.027838i,-0.068287-0.034795i,-0.0279-0.0038242i,-0.029158-0.0054678i,-0.034672+0.019818i,-0.036462+0.021378i,-0.060229-0.014481i,-0.045338-0.0052079i,0.012646+0.0037245i,0.0091415+0.0088108i,0.0079261-0.00075312i,-0.0083964-0.0073921i,0.0088561+0.0037968i,0.001936+0.0013439i,0.013213+0.0066045i,0.0068273-0.024798i,0.0024488-0.0079743i,0.0081171+0.0049819i,-0.00051677-0.0028391i,0.0060118-0.0010021i,0.0074664+0.00078643i,0.0039564+0.0016849i,0.021514-0.010396i,0.0015474+0.0016871i,-0.00011757-0.0030827i,0.0011783-0.0020757i,0.0045639-0.0048575i,-0.00017613-0.00079575i,-0.00014278+0.0037888i,-0.0037967-0.0009754i,-0.0031285+0.0024395i,-0.0040835+0.0042563i,-0.0037504+0.0014405i,-0.0042125-0.0035521i,0.020768-0.0084454i,-0.0063974-0.0022016i,-0.0050999-0.00078061i,-0.0070355-0.0050664i,-0.0099833+0.00089966i,0.00283-0.00073904i,-0.00075714-0.0018445i,0.002017-0.0049854i,0.002337+0.003342i,-0.0062271-0.038751i,0.0060401-0.039358i,-0.048025-0.066299i,-0.026792-0.0081855i,-0.024421-0.043473i,-0.01959-0.041362i,-0.060327-0.1i,-0.078629-0.053941i,-0.015766-0.097302i,-0.011175-0.042988i,0.021188-0.013618i,-0.007504-2.8262e-05i,-0.02101-0.0056056i,-0.01934-0.0095276i,-0.018327+0.0095703i,-0.01817+0.0061953i,-0.014865+0.044217i,0.011692-0.00056838i,-0.0077142+0.0029859i,-0.0013035+0.0057372i,0.0044285+0.0054029i,-0.0059513+0.018844i,0.010754+0.0072102i,-0.0051513-0.027145i,-0.0038873-0.021928i,-0.0058956-0.0044628i,-0.0026686+0.011663i,0.0019859+0.0058623i,0.015112+0.0084205i,0.0026526+0.0056669i,0.025038+0.052355i,-0.0078754+0.0069452i,0.0028117+0.0044988i,0.0083283+0.0016245i,0.00061892+0.0095737i,-0.0052691+0.0064749i,-0.0061166+0.0018712i,0.007224+0.0041821i,-0.0020484+0.0056239i,-0.0067558+0.0042067i,0.0030436+0.0070476i,0.011833+0.0098151i,-0.0052065+0.0011255i,0.0020621+0.013799i,0.004404+0.024552i,-0.030867-0.068482i,-0.021016-0.035103i,-0.0021507+0.023265i,-0.027329+0.014414i,-0.0019829-0.026757i,-0.0029839-0.001572i,-0.014993+0.0021203i
-0.030532-0.01702i,-0.053657-0.018461i,-0.076209-0.016949i,-0.025616-0.0026467i,-0.029184+0.0056233i,-0.029795+0.023516i,-0.030163+0.018838i,-0.058607-0.0091567i,-0.045662+0.0046399i,0.012858-0.00036463i,0.012084+0.0029302i,0.0024247-0.0011013i,-0.01126-0.00057581i,0.006008-0.0006037i,0.0012362+0.00061298i,0.01565+0.0032951i,-0.0027583-0.018i,-0.0017447-0.0079852i,0.006966+0.0011635i,-0.0006766-0.0017172i,0.0033749-0.0026127i,0.0071067-0.0019971i,0.0040251-0.00017124i,0.013009-0.017921i,0.0010967-0.0011311i,-0.00032931-0.0033058i,0.00056229-0.0028864i,0.0014927-0.0056577i,0.0015998-0.00032256i,0.00082268+0.0026545i,-0.0040785-0.00056722i,-0.0018825+0.003043i,-0.0020208+0.0054204i,-0.0025171+0.0014765i,-0.0060159-0.00050125i,0.015443-0.014191i,-0.0050985-0.00012052i,-0.0040751+0.0015886i,-0.0067786-0.0019617i,-0.0091203+0.0069159i,0.0021985-0.00098i,-0.00050469-0.0016889i,0.00031059-0.0050081i,0.0011036+0.001358i,-0.016926-0.033733i,-9.4717e-05-0.030213i,-0.057812-0.063537i,-0.020214-0.0099953i,-0.028583-0.042604i,-0.031257-0.037861i,-0.082887-0.082662i,-0.073849-0.034447i,-0.042993-0.085164i,-0.0091765-0.047125i,0.016901-0.025527i,-0.0055844+0.0023243i,-0.01963+0.00031451i,-0.02606+0.00098478i,-0.010986+0.016347i,-0.014275+0.012493i,0.0064789+0.039689i,0.0091157-0.0061225i,-0.0078794+0.0044988i,-0.0015374+0.0038019i,0.0064052+0.0037601i,0.0027729+0.016954i,0.012232-0.00068031i,-0.019691-0.017897i,-0.015012-0.011898i,-0.0045546-0.00030553i,0.0040167+0.011812i,0.0034313+0.0039719i,0.017384+0.0011475i,0.0052116+0.004637i,0.044122+0.035841i,-0.0037592+0.006689i,0.0025072+0.0044459i,0.0066331-0.0032454i,0.0058729+0.0065626i,-0.004023+0.012284i,-0.0033982+0.0077393i,0.010098-0.00037004i,0.0028062+0.0059444i,-0.0059383+0.0078588i,0.0055386+0.0040058i,0.012484+0.0055509i,-0.0048149+0.0022227i,0.0046862+0.0095874i,0.0095244+0.019132i,-0.037393-0.065786i,-0.032367-0.022102i,0.0042113+0.011589i,-0.015124+0.021602i,-0.013838-0.027245i,-0.010146-0.0018457i,-0.014555-0.0037861i
-0.03295-0.013435i,-0.055777-0.0061555i,-0.077137+0.0025671i,-0.025735-0.0018509i,-0.024323+0.012756i,-0.024454+0.026812i,-0.026962+0.015143i,-0.059587-0.004778i,-0.039232+0.013569i,0.011392-0.0045459i,0.0090659-0.0025786i,0.0014383+0.0016898i,-0.010078+0.0055595i,0.0033093-0.0024915i,0.00020447+0.0011441i,0.0157-0.0023299i,-0.0042919-0.0098429i,-0.0047646-0.005645i,0.0055096-3.904e-05i,-0.00046376-0.00085496i,0.0024919-0.0013389i,0.0053218-0.0039682i,0.003696-0.0010425i,0.0048419-0.018895i,-0.00036654-0.002224i,-0.001475-0.0041546i,-0.00036506-0.0031642i,-0.00064348-0.0053061i,0.0013429-0.0020374i,0.0018014+0.0021488i,-0.0042699-7.8296e-05i,-0.00050179+0.0031505i,0.000104+0.0042625i,-0.0022643+0.0027212i,-0.0042459+0.00081258i,0.0081201-0.017444i,-0.0034891+0.00044601i,-0.0024007+0.0028175i,-0.0081918-0.00012633i,-0.0053936+0.010298i,0.0020882-0.00098501i,-0.001259-0.0013736i,-0.00042674-0.0041667i,-0.0018219+0.0017302i,-0.023152-0.026436i,0.0057943-0.025203i,-0.070007-0.057065i,-0.018331-0.013566i,-0.032399-0.039871i,-0.037624-0.030005i,-0.10039-0.05605i,-0.07018-0.025461i,-0.052315-0.059099i,-0.011885-0.049995i,0.0067221-0.034773i,-0.0043507+0.0023172i,-0.015974+0.0011783i,-0.021876+0.014388i,-0.003137+0.01608i,-0.0030097+0.013557i,0.015862+0.026164i,0.0043216-0.0084661i,-0.0068753+0.0070639i,-0.0024999+0.003765i,0.0065192-0.00071767i,0.0077157+0.012828i,0.0064955-0.0037222i,-0.025492-0.0041624i,-0.016871-0.0021011i,-0.0019412+0.00081541i,0.0068888+0.0096929i,0.0026417+0.002598i,0.014521-0.0095083i,0.0063626-4.1614e-06i,0.053391+0.013945i,-0.0035125+0.0079233i,0.004329+0.0032989i,0.0019801-0.0052607i,0.0064874+0.0027085i,0.0021099+0.015765i,0.0039742+0.005874i,0.0074327-0.0046412i,0.005763+0.0020448i,-0.0025086+0.011982i,0.0045701+0.0030552i,0.011358+0.0020629i,-0.0058745+0.0034139i,0.002546+0.0068212i,0.011621+0.015078i,-0.044175-0.062247i,-0.032558-0.0079573i,0.002613+0.0019281i,-0.0033787+0.01569i,-0.025874-0.021623i,-0.01365+0.0067968i,-0.019583-0.0015929i
-0.034496-0.0087236i,-0.05421+0.0036014i,-0.071996+0.020123i,-0.027006-0.00031839i,-0.017844+0.016918i,-0.018752+0.029329i,-0.027621+0.012776i,-0.062164+0.0033997i,-0.03246+0.017307i,0.0082577-0.0073535i,0.0046429-0.0037261i,0.002422+0.0024568i,-0.0055117+0.0091644i,0.00050463-0.0032014i,0.00071373+0.0022891i,0.011437-0.0076898i,-0.003155-0.0077268i,-0.005178-0.0018942i,0.0054337-0.0013827i,0.00034368-0.00035755i,0.0035695-0.0017195i,0.003161-0.003969i,0.0036057-0.0017352i,-0.0018237-0.017579i,-0.0013723-0.0019197i,-0.0034716-0.0030468i,-0.0014572-0.0032822i,-0.0022583-0.0050181i,0.00052908-0.0025624i,0.0027281+0.00087548i,-0.0046563+0.00093578i,0.0006192+0.0026405i,0.0012616+0.0031779i,-0.00064562+0.0031523i,-0.0042554+0.001579i,0.0008616-0.015446i,-0.0034113+4.6372e-05i,-0.00033978+0.0028353i,-0.0067942+0.0040302i,-0.00085761+0.012295i,0.002044-0.0011976i,-0.00055656-0.00015266i,-0.0007951-0.0043813i,-0.0015821+0.0050306i,-0.023404-0.018752i,0.014846-0.032843i,-0.081958-0.044494i,-0.019534-0.015779i,-0.034359-0.037393i,-0.041855-0.022765i,-0.10248-0.026949i,-0.067847-0.014419i,-0.046613-0.043126i,-0.015469-0.053698i,-0.006901-0.037934i,-0.0032107+0.0027638i,-0.017077+0.00027069i,-0.012282+0.020464i,0.0016526+0.012577i,0.0035167+0.005345i,0.016184+0.013231i,-0.00080875-0.0088132i,-0.0047289+0.0092409i,-0.0029773+0.0048503i,0.0037177-0.0034848i,0.0097787+0.0072385i,0.0045526-0.0021005i,-0.022925+0.0098343i,-0.013841+0.0065957i,-0.00094143+0.00093398i,0.010969+0.0070857i,0.0024635+0.0021313i,0.0054268-0.013908i,0.0036629-0.0028624i,0.05083-0.0077275i,-0.00046398+0.010006i,0.003401+0.0015879i,-0.0013421-0.0036036i,0.0061127+0.0013096i,0.009895+0.015696i,0.0046395+0.0014623i,0.0049052-0.0057754i,0.0047551-0.00072757i,0.0038372+0.013042i,0.0052929+0.0023015i,0.011124-0.0015097i,-0.0038337+0.0079391i,0.003079+0.0064215i,0.013806+0.011789i,-0.051875-0.058267i,-0.028367+0.00014301i,-0.00025197-0.0020264i,-0.0016863+0.0067785i,-0.033856-0.011668i,-0.0085573+0.010022i,-0.018592+0.0020119i
-0.034609-0.0039451i,-0.050451+0.011639i,-0.061281+0.034541i,-0.026911+0.0033925i,-0.010192+0.01731i,-0.013144+0.030378i,-0.029111+0.01418i,-0.0615+0.013686i,-0.027158+0.01959i,0.0047633-0.0087637i,0.0021314-0.0028161i,0.004026+0.0017544i,-0.0013377+0.01011i,-0.002316-0.0016252i,0.0011936+0.0022846i,0.0060002-0.0092078i,-0.0050918-0.0093344i,-0.004187-0.00025159i,0.0043392-0.0025473i,0.0010523-0.00066723i,0.0034249-0.0031873i,0.0029501-0.0033766i,0.0032113-0.0027757i,-0.0076048-0.01513i,-0.0022007-0.0014361i,-0.0040695-0.0013312i,-0.0030551-0.0024792i,-0.0038285-0.0036894i,4.4562e-05-0.0027444i,0.0023091-0.0011977i,-0.0046278+0.002727i,0.0010076+0.0022039i,0.0018162+0.0023295i,0.0013282+0.0023317i,-0.0034009+0.0028612i,-0.0025364-0.011393i,-0.0034505+0.00057135i,0.0011509+0.0015605i,-0.0027432+0.0051064i,0.0054605+0.011853i,0.0018781-0.0017082i,0.00020501+3.4249e-05i,-0.0021123-0.0047395i,0.00090112+0.0048744i,-0.020898-0.01584i,0.012803-0.049447i,-0.088251-0.027071i,-0.01996-0.017046i,-0.037079-0.039258i,-0.043885-0.014506i,-0.098645-0.0060631i,-0.063778-0.0061841i,-0.042357-0.034677i,-0.022577-0.055944i,-0.021654-0.035627i,-0.0023851+0.0022672i,-0.022688+0.0025336i,-0.0032034+0.01983i,0.0036824+0.0084457i,0.0025721-0.0022362i,0.011959+0.0066987i,-0.0056813-0.0085801i,-0.0014392+0.010203i,-0.0020966+0.0060095i,0.00084534-0.0035977i,0.0076223+0.0028729i,0.0041089-0.0014618i,-0.013959+0.017228i,-0.0077777+0.011568i,0.0011993-0.00044435i,0.013658+0.00064056i,0.0021956+0.0025404i,-0.0024275-0.012154i,0.00088615-0.0032484i,0.040398-0.023966i,0.0039844+0.010532i,0.00264+0.0020483i,-0.0036183-0.0010326i,0.0060153-0.0019911i,0.016998+0.010799i,0.0032234-0.0011649i,0.0022882-0.006805i,0.0030627-0.0024941i,0.0091513+0.010061i,0.0058721+0.0017415i,0.007433-0.0053038i,0.00081532+0.0089079i,0.004085+0.0045792i,0.016463+0.0073389i,-0.060505-0.05081i,-0.022971+0.0070408i,-0.0025823-0.004786i,-0.0043936+0.0028365i,-0.036984-0.00049366i,-0.0062496+0.008905i,-0.016443+0.0041366i
