-0.0079358-0.039278i,-0.013689-0.042948i,0.0010109-0.045491i,-0.026948-0.027362i,-0.020543+0.014073i,-0.032737-0.03047i,-0.059984-0.0594i,-0.022138-0.071127i,-0.033417-0.050228i,0.0013497+0.015193i,-0.0066518+0.010646i,-0.014567+0.013759i,0.0016948+0.015962i,-0.0035119-0.0036641i,0.0010268+0.0062102i,0.00025825+0.036962i,0.01909+0.059284i,0.00077443-0.00016171i,-0.0046592-0.0078679i,0.0082346+0.0044833i,0.0016432+0.0011111i,-0.0010593+0.0036034i,0.0001643-0.0013593i,-0.035263-0.00966i,-0.0026079-0.0071542i,-0.00010137+0.0045857i,0.0052289-0.00018438i,0.00023094+0.00050053i,-0.00029154-0.0011433i,3.823e-05-0.0024957i,-0.0015272-0.0054377i,-0.0022468-0.0038196i,-0.00059849-0.0074204i,0.0032362-0.0014709i,0.0031225-0.0023633i,-0.00096412+0.033355i,0.0060694-0.0041123i,0.0033523-0.0023257i,0.0048605+0.00023137i,-0.013428-0.0040385i,-6.844e-05+0.00031799i,0.0094941-0.000832i,0.0059095-0.00060999i,-0.0035651+0.0034939i,0.0025141+0.0016686i,-0.0032167+0.0073569i,0.012748-0.087451i,-0.0074676-0.04881i,-0.024974-0.040289i,-0.020511-0.041885i,0.061528-0.017889i,0.026229-0.06162i,0.038549-0.046064i,0.029054-0.057244i,0.019127-0.015897i,0.0084063+0.010066i,0.024188-0.031216i,-0.0075497-0.0048291i,0.0024188-0.0027276i,-0.0051311-0.0062396i,0.00093723-0.032151i,-0.023764+0.031554i,0.0076684-0.010119i,-0.010832-0.0012165i,-0.0049814-0.0010431i,-0.0012872-0.013894i,-0.01035+0.0040674i,0.003777+0.0078764i,-0.010431+0.031559i,0.005447+0.0079251i,-0.0052075-0.0013036i,-0.0019681-0.0022961i,-0.011518-0.0074794i,0.00054468-0.0036401i,-0.034723+0.0049572i,0.0021959-0.01236i,-0.008695-0.0021086i,-0.006588-0.0027691i,0.0066268+0.0013448i,-0.0096042+0.0019543i,0.0013266+0.000857i,0.0052755+0.0085527i,0.0047259+0.0002283i,-0.0092343-0.0094462i,0.0022938+0.0084633i,-0.01891+0.0067112i,0.0064745+0.0025522i,-0.029338-0.0079268i,-0.033641+0.0031723i,0.023793-0.078881i,0.012768-0.01076i,-0.042913-0.026199i,-0.023259-0.0030424i,0.017972+0.012229i,-0.026299+0.012552i,-0.011749-0.0079965i
-0.016142-0.03851i,-0.019602-0.036075i,-0.0059168-0.049039i,-0.02955-0.023754i,-0.011068+0.012059i,-0.040209-0.023298i,-0.068044-0.045721i,-0.031959-0.069246i,-0.039266-0.039842i,0.0030089+0.01393i,-0.0055369+0.0085239i,-0.0070487+0.019933i,0.0097085+0.012i,-0.0080363-0.00059012i,0.0017461+0.0052176i,0.0092491+0.03081i,0.033924+0.043548i,0.0020154+0.002128i,-0.0076525-0.0031722i,0.0087786+0.00035739i,0.00049821+0.0018177i,-0.00097238+0.0044225i,-0.000477-0.00013413i,-0.024519+0.01082i,-0.0048494-0.0048274i,0.0032763+0.0027823i,0.0035888-0.00012921i,0.00048507+0.0025849i,0.00092137-0.001141i,-0.0013314-0.0027438i,-0.0016269-0.0044086i,-0.0027184-0.0032537i,-0.0026509-0.0070773i,0.0020359-0.0032173i,0.0019806-0.0019021i,0.0098368+0.029702i,0.0049201-0.0063061i,0.0018499-0.003047i,0.0068371-0.0014794i,-0.0089885-0.00038099i,0.00010247+0.0016734i,0.007466-0.0025578i,0.0042834+1.2568e-05i,-0.0046953+0.0051652i,0.0095312+5.3364e-05i,0.007936+0.0099973i,-0.0025011-0.089566i,-0.021808-0.050487i,-0.019099-0.033211i,-0.020825-0.028225i,0.064503-0.046099i,0.02427-0.081332i,0.041206-0.04693i,0.019035-0.066047i,0.0092596-0.010178i,0.007821+0.00059895i,0.011137-0.034255i,-0.0068613+0.0009845i,0.00023813-0.011257i,-0.0063301-0.0065746i,-0.022486-0.032691i,-0.0093872+0.029861i,0.0020731-0.012386i,-0.011271+0.0019244i,-0.0042872+0.00063608i,-0.0075965-0.012828i,-0.010784+0.0087741i,0.0073041+0.0085279i,0.0084115+0.029243i,0.0073344+0.0022239i,-0.0041915+0.0014457i,-0.004412-0.0019005i,-0.01596+0.0022517i,0.00046777-0.0029775i,-0.037881+0.01224i,-0.0044964-0.010206i,-0.0093082+0.0020827i,-0.0078547+0.00058419i,0.0041793-0.004381i,-0.0081291+0.0050297i,0.0022143-0.00070671i,0.0047182+0.0032686i,0.0029192-0.00078421i,-0.013415-0.0012607i,0.003961+0.0053936i,-0.013353+0.013267i,0.0056207-0.0014948i,-0.029058+0.002736i,-0.032308+0.013031i,0.010075-0.079952i,0.0083143-0.017228i,-0.049414-0.013216i,-0.016498-0.005522i,0.019099+0.0055894i,-0.020094+0.019223i,-0.017766-0.012952i
-0.022111-0.03415i,-0.021483-0.034534i,-0.013832-0.05242i,-0.032405-0.018703i,-0.0044366+0.0057159i,-0.045482-0.014449i,-0.077949-0.02986i,-0.047008-0.065205i,-0.043368-0.032939i,0.0052192+0.012371i,-0.0058754+0.011413i,0.0025722+0.018717i,0.012876+0.004103i,-0.008689+0.0037631i,0.002623+0.0052407i,0.015041+0.023217i,0.044158+0.029927i,0.0051638+0.0020724i,-0.0071745+0.0016257i,0.0078301-0.0024406i,0.00033403+0.002551i,0.00055843+0.0061544i,-6.9239e-05+0.00053611i,-0.011659+0.01826i,-0.0043778-0.0023691i,0.0044579-0.00017404i,0.0033154-0.0010141i,0.0030697+0.0028659i,-0.00037367-0.0019572i,-0.0017937-0.0023789i,-0.0023513-0.0042661i,-0.003627-0.0024087i,-0.0048917-0.0058594i,0.00051515-0.0042854i,0.0038535-0.004352i,0.018726+0.021781i,0.0024339-0.0074402i,0.00084727-0.0034312i,0.0068903-0.006235i,-0.008881+0.00089715i,0.00094836+0.0022229i,0.0059574-0.0047283i,0.0055683-8.5434e-05i,-0.0032267+0.0073805i,0.013905-0.0080423i,0.019057+0.0055786i,-0.017437-0.088384i,-0.034079-0.042i,-0.01115-0.036481i,-0.013314-0.027205i,0.057448-0.071518i,0.0047928-0.10044i,0.04703-0.054908i,0.0069751-0.06705i,0.0080607-0.0077672i,0.0052472-0.0031238i,0.00051858-0.036984i,0.0025685+0.00022168i,-0.0095088-0.013274i,-0.0062141-0.0087117i,-0.040867-0.021311i,-0.00042576+0.027628i,-0.0037821-0.011814i,-0.0093745+0.0048643i,-0.0056442+0.0016907i,-0.014506-0.010127i,-0.0053378+0.015255i,0.013397+0.003827i,0.020653+0.018723i,0.0067278-0.00041916i,-0.0036265+0.001037i,-0.0054913-0.00016212i,-0.012184+0.011254i,-0.0025946-0.0026619i,-0.032545+0.023902i,-0.0068275-0.0056409i,-0.0074138+0.0069212i,-0.008429+0.006727i,-0.0010125-0.0052112i,-0.0057546+0.0065036i,0.0014028-0.0021396i,0.0024938+0.0021424i,0.0026432-0.0020329i,-0.0091006+0.0061148i,0.0037689+0.0025601i,-0.0077566+0.015203i,0.0025597-0.004002i,-0.025071+0.011326i,-0.025683+0.021483i,0.00017913-0.079464i,0.0011393-0.018123i,-0.048997-0.00086437i,-0.021035-0.011812i,0.017672-0.0029689i,-0.0097489+0.020126i,-0.02161-0.010103i
-0.025684-0.029566i,-0.025989-0.035192i,-0.02443-0.055227i,-0.031332-0.012402i,-0.0029491-0.0030986i,-0.046856-0.0038526i,-0.081079-0.0030219i,-0.062032-0.050713i,-0.04863-0.022857i,0.007079+0.010995i,-0.0015364+0.014277i,0.0072149+0.013133i,0.011571-0.0034574i,-0.0071537+0.0090065i,0.003285+0.0037913i,0.016452+0.013672i,0.052268+0.0083573i,0.0068228-0.0010198i,-0.0059673+0.0052945i,0.0053916-0.0044042i,0.0018304+0.0039524i,0.0037555+0.0067807i,2.8682e-05+0.00090769i,-0.00024253+0.023975i,-0.003569-0.0012819i,0.0032804-0.0025013i,0.0030585-0.0018648i,0.0037096-8.8917e-05i,-0.00089784-0.00073159i,-0.0033951-0.0018032i,-0.0030096-0.0035877i,-0.0038808-0.0013708i,-0.0067137-0.0034244i,-0.0013375-0.0045997i,0.00030565-0.0068464i,0.02071+0.012346i,-0.00036988-0.0078014i,-0.00025691-0.0038273i,0.0030944-0.0086479i,-0.0057014+0.0048656i,0.0021338+0.0017538i,0.0029115-0.0063768i,0.0052022-0.0021036i,-0.00034846+0.0071992i,0.016204-0.015174i,0.027863-0.0037883i,-0.031458-0.082958i,-0.037595-0.030221i,-0.012434-0.041709i,-0.012218-0.029269i,0.040331-0.099449i,-0.024062-0.104i,0.045364-0.074654i,-0.0025669-0.066335i,0.0070806-0.0064457i,0.00090697-0.006336i,-0.013277-0.033139i,0.0024528-0.009233i,-0.014062-0.0083539i,-0.012362-0.011507i,-0.04879-0.00013171i,0.010242+0.021853i,-0.0084869-0.0095116i,-0.006274+0.0060132i,-0.0046743+0.0042891i,-0.01996-0.0025787i,0.0033199+0.013781i,0.016046-0.0033098i,0.024774+0.0068901i,0.006918-0.0029019i,-0.0043032+0.0010204i,-0.0059257+0.0029702i,-0.0071088+0.01693i,-0.0046896+0.00043229i,-0.026776+0.032241i,-0.0073439-0.0026733i,-0.00236+0.0094225i,-0.0024915+0.012008i,-0.0052861-0.0022634i,-0.0019619+0.0058177i,0.00063164-0.002515i,0.0017457+0.0022819i,0.00031965-0.0041139i,-0.00301+0.0058179i,0.00060591-0.00044498i,-0.0039078+0.017319i,-0.001021-0.003577i,-0.017845+0.017652i,-0.017398+0.024434i,-0.0087675-0.07984i,0.0016614-0.014992i,-0.045113+0.012975i,-0.028769-0.0091202i,0.013997-0.0089139i,-0.0010603+0.01573i,-0.021744-0.0052124i
-0.027992-0.024889i,-0.033185-0.033177i,-0.038797-0.055031i,-0.029253-0.0093203i,-0.0084382-0.011246i,-0.04557+0.0059777i,-0.064913+0.016573i,-0.064182-0.034225i,-0.044698-0.013075i,0.0092418+0.0091918i,0.0040825+0.012533i,0.0091557+0.009293i,0.0060375-0.008563i,-0.0012777+0.011907i,0.0029958+0.0020543i,0.013868+0.0095431i,0.042406-0.016774i,0.0057782-0.0041553i,-0.0019371+0.010244i,0.0029703-0.0049892i,0.0032344+0.0041868i,0.006199+0.0043412i,9.0891e-05+0.0019273i,0.017792+0.018788i,-0.0038201+0.00016909i,0.0020129-0.0035656i,0.001579-0.0028097i,0.0033739-0.00039882i,-0.00019895-8.3952e-05i,-0.0043983+0.00030545i,-0.0036127-0.0024447i,-0.0039479+5.8203e-05i,-0.0065885-0.00037631i,-0.0038403-0.0037868i,-0.0027211-0.0055467i,0.021664+0.0070265i,-0.0027455-0.0070924i,-0.0022714-0.0036079i,-0.00037686-0.0080569i,-0.0015482+0.0016364i,0.0022829+0.00085097i,-0.0004634-0.0049515i,0.0051504-0.0023986i,0.00054642+0.0060665i,0.01424-0.027315i,0.033128-0.01903i,-0.039953-0.074061i,-0.036354-0.020774i,-0.016032-0.04554i,-0.01225-0.029898i,0.0059399-0.1189i,-0.049148-0.095637i,0.027453-0.091171i,-0.014526-0.061087i,0.0076204-0.0042375i,-0.0037447-0.0064014i,-0.022742-0.023781i,-0.0046194-0.013462i,-0.016334-0.0048566i,-0.021698-0.0067407i,-0.04493+0.018687i,0.014355+0.011108i,-0.012761-0.0045886i,-0.0044711+0.0062092i,-0.0034084+0.0066111i,-0.019999+0.0081199i,0.0045684+0.0090098i,0.015071-0.010649i,0.025879-0.006288i,0.0052366-0.0069871i,-0.0062789+0.0032741i,-0.0036608+0.0063208i,0.0014815+0.018991i,-0.0045172+0.0044539i,-0.019423+0.042475i,-0.0087553-0.0011786i,0.0012947+0.0072051i,0.004318+0.011067i,-0.0068839+0.0014542i,-0.0021302+0.0030056i,-0.0016638-0.0032313i,0.0011552+0.0041108i,-0.0040642-0.003876i,-0.0017902+0.0023364i,-0.0029748+0.00183i,0.0032124+0.018658i,-0.0033473-0.0022528i,-0.0088011+0.020108i,-0.011665+0.02561i,-0.020678-0.077287i,0.0058613-0.02124i,-0.03655+0.026795i,-0.032171+0.00061363i,0.0085881-0.013256i,0.00080524+0.0081681i,-0.021109-0.004453i
-0.028746-0.021447i,-0.037639-0.029566i,-0.054843-0.048129i,-0.029329-0.0079788i,-0.019531-0.012845i,-0.040453+0.014826i,-0.048302+0.022326i,-0.062813-0.023152i,-0.042026-0.0095966i,0.010112+0.0069555i,0.0059141+0.0097172i,0.010768+0.0042376i,-0.00052823-0.010462i,0.0048763+0.0097372i,0.0020661+0.001514i,0.012816+0.0075582i,0.023447-0.02655i,0.0048722-0.0055394i,0.0043935+0.0098333i,0.00072094-0.0042899i,0.0054685+0.0023462i,0.0061869+0.0014733i,0.0020864+0.0027579i,0.025223+0.0041066i,-0.0019765+0.0022177i,0.00040896-0.0038825i,-0.00024677-0.00097696i,0.0045289-0.0020914i,0.00014429-0.00096699i,-0.0029345+0.0032313i,-0.0033595-0.00152i,-0.0040353+0.00099829i,-0.0064409+0.0018045i,-0.0051666-0.00049373i,-0.0031333-0.0038729i,0.023278-0.00032927i,-0.0053707-0.0056941i,-0.004233-0.0030559i,-0.0031908-0.0078434i,-0.0040383-0.0016187i,0.0030034+0.00033576i,-0.001767-0.0021971i,0.0041661-0.0041097i,0.00098195+0.0055864i,0.0048998-0.036157i,0.022443-0.037757i,-0.042307-0.066803i,-0.034887-0.013655i,-0.021258-0.045768i,-0.011805-0.034006i,-0.032783-0.11496i,-0.070734-0.079561i,0.0082428-0.095806i,-0.017415-0.047393i,0.013817-0.00012342i,-0.0065498-0.003992i,-0.02447-0.010899i,-0.010644-0.01306i,-0.020579-4.4526e-05i,-0.020692+0.0022507i,-0.035595+0.035118i,0.012659+0.0035843i,-0.0099541+0.0027406i,-0.0050981+0.0064051i,0.001465+0.0088595i,-0.013388+0.015254i,0.0062593+0.0098617i,0.010637-0.021961i,0.014672-0.021527i,-0.0017773-0.0108i,-0.0066617+0.0077911i,-0.0018454+0.0070381i,0.0089956+0.016256i,-0.0015401+0.0067458i,-0.001738+0.055613i,-0.011119+0.0015928i,0.0014719+0.0061627i,0.0079046+0.0059904i,-0.0055363+0.0076912i,-0.0031784+0.0044383i,-0.0049787-0.0024063i,0.0043834+0.0050712i,-0.0052426+0.0029425i,-0.0047318+0.0016401i,-0.00045765+0.0072805i,0.0092343+0.014822i,-0.0049634-0.0012575i,-0.0027497+0.017078i,-0.0033466+0.027067i,-0.025453-0.069491i,-0.0025718-0.034474i,-0.015981+0.031741i,-0.029374+0.0085136i,0.0069159-0.019656i,0.0005057+0.0019276i,-0.021286+0.00047226i
-0.02944-0.018776i,-0.045876-0.027297i,-0.06859-0.034558i,-0.028621-0.0036511i,-0.028525-0.005171i,-0.034255+0.020143i,-0.036824+0.021581i,-0.06097-0.015361i,-0.044911-0.0059637i,0.012322+0.0036419i,0.0088341+0.0089435i,0.0081079-0.0016597i,-0.0081469-0.0076854i,0.0083908+0.0034965i,0.0019628+0.0011872i,0.012536+0.0064565i,0.0074006-0.024971i,0.0025192-0.007694i,0.0073324+0.0053569i,-0.00041795-0.0026162i,0.0059091-0.00092043i,0.0072086+0.00070869i,0.0039743+0.0015264i,0.021749-0.0093046i,0.001308+0.0013308i,-0.00031292-0.0030602i,0.0011205-0.0019161i,0.0042975-0.0049877i,-0.00019592-0.00069301i,-0.00041737+0.003451i,-0.0036809-0.00092559i,-0.003227+0.0023076i,-0.0045525+0.004131i,-0.0034563+0.0017221i,-0.0041621-0.003852i,0.020554-0.00846i,-0.0061555-0.0023404i,-0.0050939-0.0009528i,-0.006923-0.0052289i,-0.0090166+0.00097653i,0.0027591-0.00069674i,-0.00035323-0.0017414i,0.0026978-0.0054206i,0.0018904+0.0034974i,-0.0074371-0.038574i,0.0057153-0.040213i,-0.048977-0.066179i,-0.02706-0.008057i,-0.025173-0.044646i,-0.019985-0.040587i,-0.060212-0.10002i,-0.078878-0.054309i,-0.015315-0.097772i,-0.011539-0.043233i,0.020608-0.01365i,-0.0075506-0.0003697i,-0.021035-0.0065032i,-0.019768-0.0093616i,-0.01883+0.0097038i,-0.018135+0.0063859i,-0.015485+0.044069i,0.011253-0.0010869i,-0.008126+0.0024825i,-0.0016829+0.0065518i,0.0040753+0.0054987i,-0.0059825+0.019429i,0.011209+0.0073498i,-0.0048331-0.027292i,-0.0036444-0.022761i,-0.0056805-0.0043319i,-0.0025061+0.011571i,0.0019572+0.0060352i,0.015221+0.0083106i,0.0021707+0.0056165i,0.02476+0.05199i,-0.0075234+0.0067985i,0.0027367+0.0049044i,0.0081718+0.0015079i,0.00062078+0.010086i,-0.005095+0.0059168i,-0.0062816+0.0024041i,0.0074538+0.0041685i,-0.0020786+0.0058974i,-0.0067897+0.0041772i,0.003615+0.0070161i,0.011552+0.0095509i,-0.0048399+0.0015115i,0.0021727+0.014247i,0.0051327+0.023602i,-0.030577-0.069018i,-0.021522-0.035406i,-0.0017162+0.023105i,-0.026383+0.013847i,-0.0028495-0.026626i,-0.0036262-0.0017923i,-0.014688+0.0019606i
-0.031201-0.016567i,-0.054008-0.017604i,-0.076944-0.016676i,-0.026091-0.002332i,-0.02878+0.0059552i,-0.029278+0.023623i,-0.030517+0.019029i,-0.059792-0.0093516i,-0.045274+0.0036386i,0.012577-0.00039778i,0.012602+0.003155i,0.002528-0.0020242i,-0.011324-0.0007666i,0.005494-0.00076144i,0.0012784+0.00033848i,0.014906+0.0036692i,-0.0022252-0.018221i,-0.0015972-0.0079608i,0.0069128+0.0016318i,-0.0006207-0.0016646i,0.0032387-0.0027012i,0.0069483-0.0020906i,0.0039169-0.00028815i,0.013537-0.016912i,0.00069288-0.0011117i,-0.00056209-0.0030546i,0.00065514-0.002815i,0.0015221-0.0057987i,0.0014997+2.3732e-05i,0.00048467+0.002658i,-0.0039174-0.00043394i,-0.0018494+0.0028911i,-0.002593+0.0053882i,-0.0020864+0.0011276i,-0.0060181-0.00051121i,0.015069-0.014026i,-0.005073-0.00010867i,-0.0040746+0.0014899i,-0.0066892-0.0019981i,-0.008232+0.0064623i,0.0023073-0.00091157i,-0.0002404-0.0017586i,0.00047511-0.0054022i,0.00092646+0.0016844i,-0.017836-0.033465i,-0.00085506-0.031317i,-0.058925-0.06335i,-0.020314-0.0098642i,-0.029394-0.043043i,-0.031249-0.037264i,-0.083173-0.082875i,-0.074177-0.03454i,-0.042522-0.086113i,-0.0097388-0.047088i,0.016-0.025716i,-0.0061176+0.0021059i,-0.020244-0.000333i,-0.026131+0.0011794i,-0.011393+0.016368i,-0.014698+0.012385i,0.0058094+0.039782i,0.0085654-0.0062349i,-0.0088434+0.0043145i,-0.0010822+0.0046362i,0.0064713+0.0041431i,0.0028509+0.017328i,0.012913-0.0006578i,-0.019749-0.018469i,-0.015155-0.013251i,-0.0042049-3.6335e-05i,0.0041787+0.011374i,0.0034073+0.0039979i,0.017258+0.0011901i,0.0051015+0.0047769i,0.043609+0.035761i,-0.0037556+0.0064208i,0.0024686+0.0044102i,0.0065243-0.0030648i,0.0060519+0.0068398i,-0.0041412+0.012109i,-0.0032866+0.0074826i,0.01013+4.4656e-05i,0.002596+0.0062991i,-0.0059889+0.0077026i,0.0059131+0.004186i,0.012265+0.0053155i,-0.0044362+0.0020215i,0.0047941+0.0098042i,0.0095268+0.018029i,-0.037589-0.066278i,-0.032627-0.021936i,0.0047632+0.011271i,-0.014525+0.020401i,-0.014728-0.026463i,-0.010677-0.0018136i,-0.014433-0.0034902i
-0.033447-0.012907i,-0.055881-0.0052983i,-0.077227+0.0035547i,-0.025796-0.0016071i,-0.023831+0.012996i,-0.024069+0.026932i,-0.027107+0.016084i,-0.06064-0.004304i,-0.039472+0.012289i,0.011179-0.0045304i,0.0094642-0.0026364i,0.0012667+0.0010703i,-0.010013+0.0053143i,0.0031403-0.0023883i,0.00022805+0.00095252i,0.015427-0.0015066i,-0.0039085-0.010647i,-0.0046583-0.005714i,0.0056331+0.00024937i,-0.00041281-0.00094127i,0.0021533-0.0014425i,0.0054154-0.0037053i,0.0035561-0.0010611i,0.0055916-0.01824i,-0.00075968-0.0019806i,-0.0014295-0.0037676i,-0.00044924-0.0031247i,-0.00033249-0.0056244i,0.0015789-0.0015077i,0.001593+0.0021564i,-0.0039882+8.0103e-05i,-0.00064868+0.0029309i,-0.00031134+0.0044909i,-0.0023094+0.0021663i,-0.0043031+0.00098787i,0.0079547-0.017052i,-0.0033399+0.00062i,-0.0022661+0.0027231i,-0.008217-0.00017421i,-0.0049368+0.009516i,0.0022735-0.00099284i,-0.0012143-0.0014672i,-0.00055602-0.0044629i,-0.0016305+0.0024447i,-0.023954-0.025955i,0.0047102-0.02616i,-0.071009-0.0566i,-0.018194-0.014032i,-0.032915-0.040054i,-0.037059-0.029801i,-0.10091-0.055646i,-0.070615-0.025628i,-0.052211-0.060298i,-0.01198-0.049313i,0.0055683-0.034573i,-0.0048335+0.0026614i,-0.016516+0.00097015i,-0.021847+0.014485i,-0.0034833+0.01641i,-0.0036898+0.013697i,0.015355+0.026439i,0.0037257-0.0083497i,-0.0078731+0.007706i,-0.0018854+0.0041484i,0.0065942-0.0005409i,0.0078339+0.013153i,0.0070484-0.0038027i,-0.025803-0.0042301i,-0.017424-0.0028757i,-0.0012941+0.00077852i,0.0068881+0.0094588i,0.0026916+0.0025184i,0.014526-0.0096333i,0.0063723+0.00022386i,0.053039+0.014134i,-0.0037684+0.0078086i,0.0041886+0.0032629i,0.0019965-0.0053258i,0.0066727+0.0026904i,0.0018406+0.015421i,0.0036969+0.0058141i,0.0075938-0.0043679i,0.0058337+0.002657i,-0.0028303+0.011642i,0.004922+0.0030728i,0.011281+0.0017284i,-0.0056703+0.0031506i,0.0027048+0.0069645i,0.011501+0.014425i,-0.044601-0.062506i,-0.032771-0.0082621i,0.0027716+0.0014341i,-0.0038944+0.014689i,-0.025709-0.021024i,-0.014127+0.007201i,-0.01969-0.0016541i
-0.034955-0.0082864i,-0.054065+0.004469i,-0.071601+0.021014i,-0.027375-0.00017044i,-0.017412+0.017147i,-0.018307+0.029459i,-0.026919+0.013986i,-0.062806+0.0041082i,-0.033202+0.016117i,0.0080404-0.0073603i,0.0050908-0.0039357i,0.0020056+0.0019304i,-0.0053286+0.0088895i,0.00047168-0.003058i,0.00068058+0.0021569i,0.011747-0.0068861i,-0.0030331-0.0088451i,-0.0052121-0.0021055i,0.0056953-0.0012358i,0.00027823-0.00039638i,0.003443-0.0013309i,0.0034166-0.0040424i,0.003513-0.0016951i,-0.0010326-0.017289i,-0.0014672-0.0013899i,-0.0031514-0.0029844i,-0.0014752-0.0030559i,-0.0023254-0.0051412i,0.00092627-0.0023433i,0.0024845+0.00086732i,-0.0044024+0.00093125i,0.00053734+0.0024698i,0.0011461+0.0034517i,-0.00078903+0.0028079i,-0.0039829+0.0018033i,0.0007937-0.015116i,-0.0031674-4.8063e-05i,-0.00034348+0.0025958i,-0.0068988+0.0041975i,-0.0010965+0.011373i,0.0021735-0.0014055i,-0.00067336-0.00022728i,-0.0012343-0.004546i,-0.0010125+0.0056166i,-0.024087-0.018617i,0.013294-0.033265i,-0.082619-0.043714i,-0.02004-0.016479i,-0.034446-0.037658i,-0.041483-0.022931i,-0.10282-0.026191i,-0.068679-0.014095i,-0.047459-0.044061i,-0.015052-0.053523i,-0.0076251-0.037164i,-0.0032496+0.0030626i,-0.017255+7.7685e-05i,-0.011859+0.020611i,0.0016343+0.012645i,0.0029443+0.0057569i,0.01596+0.013726i,-0.0011816-0.0087305i,-0.0047684+0.010154i,-0.0023718+0.0049695i,0.0037787-0.003218i,0.0099475+0.0074642i,0.0048468-0.0022365i,-0.02287+0.0097908i,-0.01424+0.0064912i,-0.00083759+0.00070398i,0.011059+0.0068131i,0.0024318+0.0020321i,0.0050715-0.0142i,0.0038331-0.002777i,0.050494-0.0075841i,-0.00083367+0.0099018i,0.0033182+0.0012736i,-0.0015724-0.003673i,0.0059834+0.0013114i,0.0096828+0.015728i,0.0045571+0.0014261i,0.0051672-0.0057348i,0.0046937-0.00034692i,0.0033504+0.012784i,0.0054213+0.0020042i,0.010875-0.0018567i,-0.0038654+0.0075915i,0.0035373+0.0066144i,0.013691+0.011141i,-0.051986-0.058107i,-0.028853-0.00039652i,-0.00053556-0.0026859i,-0.0025932+0.0064146i,-0.033799-0.011128i,-0.0085092+0.010229i,-0.018753+0.0019717i
-0.035143-0.0033275i,-0.050039+0.012382i,-0.061005+0.035041i,-0.027498+0.0036392i,-0.0098222+0.017558i,-0.012648+0.030442i,-0.027691+0.014885i,-0.061806+0.014597i,-0.028356+0.018668i,0.0048432-0.0088269i,0.0022008-0.0031462i,0.0035871+0.0016291i,-0.0013995+0.0097288i,-0.0025011-0.0015701i,0.0011734+0.0021575i,0.0067223-0.0086076i,-0.0054806-0.010462i,-0.0046459-0.00040361i,0.0047696-0.0026058i,0.00089467-0.00060914i,0.0038854-0.0028567i,0.0030175-0.0034534i,0.0031454-0.002722i,-0.006794-0.01505i,-0.0020859-0.0010287i,-0.0038424-0.0014404i,-0.0027653-0.0022648i,-0.0037936-0.0035829i,0.00022691-0.0026759i,0.0021472-0.0010368i,-0.0044023+0.0026596i,0.0010134+0.0021284i,0.0018493+0.0026015i,0.0012094+0.0020224i,-0.0031882+0.0029616i,-0.0025859-0.010938i,-0.0033275+0.00042741i,0.00089416+0.0014962i,-0.0028325+0.0053336i,0.00483+0.011189i,0.0019911-0.001933i,8.9834e-05-6.3171e-05i,-0.0026286-0.0046231i,0.0017554+0.005307i,-0.022064-0.015525i,0.011256-0.049407i,-0.088876-0.026178i,-0.020665-0.017561i,-0.03662-0.039781i,-0.043392-0.01455i,-0.098487-0.0050813i,-0.063895-0.0053344i,-0.043408-0.034967i,-0.022382-0.055566i,-0.021819-0.035053i,-0.002391+0.0026341i,-0.022523+0.0024057i,-0.0026207+0.019695i,0.0037095+0.0084015i,0.0023348-0.0014011i,0.01219+0.0072717i,-0.0061816-0.0079375i,-0.0010486+0.010769i,-0.0013757+0.0058602i,0.00088465-0.0034393i,0.0080119+0.0029197i,0.0042403-0.0014495i,-0.013828+0.017164i,-0.0077335+0.011896i,0.00097545-0.00025953i,0.013807+0.00046634i,0.0023571+0.0024163i,-0.0025773-0.012214i,0.0012016-0.0030135i,0.040219-0.023733i,0.0037869+0.010581i,0.0026175+0.0016664i,-0.0036575-0.00097199i,0.0061329-0.0019072i,0.017059+0.010924i,0.0032982-0.0016987i,0.0024605-0.0070799i,0.0029125-0.0022144i,0.0088151+0.010094i,0.0055602+0.0018608i,0.0073073-0.0054753i,0.00047557+0.0090393i,0.0045444+0.0044662i,0.016131+0.0071229i,-0.060328-0.051091i,-0.02403+0.006716i,-0.0034979-0.0049079i,-0.0051435+0.0033093i,-0.036668-8.9193e-05i,-0.0058634+0.0089699i,-0.016471+0.0042883i
