-0.00090825-0.041671i,1.88e-05-0.047078i,-0.0082882-0.048054i,-0.030739-0.023431i,-0.023179+0.01066i,-0.036882-0.033794i,-0.064383-0.058601i,-0.019096-0.071474i,-0.026729-0.050047i,-0.00050848+0.01613i,-0.011352+0.012429i,-0.014664+0.013019i,0.0030394+0.013798i,-0.0028688-0.0017819i,0.0020082+0.0060047i,6.9555e-05+0.033975i,0.017282+0.057792i,0.00094049-0.0006857i,-0.0043431-0.0096583i,0.0082673+0.0050678i,0.001486+0.0011599i,-0.001239+0.0030782i,-0.00013453-0.00055259i,-0.037082-0.010101i,-0.0029805-0.0077261i,-0.0011023+0.0046261i,0.0026299-0.0033849i,-0.00021839+0.00040087i,0.00074741-0.00078168i,9.2305e-05-0.0022068i,-0.001577-0.0055406i,-0.003473-0.0062858i,-0.0012004-0.0068091i,0.0034671-0.00017349i,0.0030365-0.0016191i,-0.0020148+0.040743i,0.0063714-0.0040903i,0.0033464-0.00058137i,0.0049176-0.00058097i,-0.012552-0.0036819i,-0.0010237-6.9341e-05i,0.010615+0.0027048i,0.0041842+0.0010292i,-0.0043542+0.0019402i,-0.00027594+0.0092979i,-0.0048922+0.016596i,0.024947-0.08227i,-0.0002709-0.05451i,-0.02376-0.042572i,-0.01981-0.03783i,0.062703-0.01712i,0.030546-0.058298i,0.03873-0.044199i,0.033593-0.053116i,0.01893-0.015912i,0.0073627+0.01187i,0.023146-0.034365i,-0.0084833-0.0046129i,0.0031025-0.0012705i,-0.002693-0.0051595i,0.0044504-0.031727i,-0.025928+0.030189i,0.0086542-0.010623i,-0.012919-0.0025716i,-0.0043109-0.0017603i,0.00023102-0.014388i,-0.010468+0.0050167i,0.0033647+0.0066583i,-0.014356+0.029765i,0.005314+0.0070945i,-0.0063988-0.0012478i,-0.0010764-0.0025315i,-0.011473-0.0069513i,0.0003407-0.0035348i,-0.040866+0.0033229i,0.0015761-0.012768i,-0.0094883-0.0028329i,-0.0066001-0.0030649i,0.0067343+0.0020814i,-0.0086999+0.0018285i,2.6796e-05+0.0016471i,0.0058952+0.0098138i,0.0050841+0.00075719i,-0.009774-0.0096015i,0.0023019+0.0085606i,-0.017863+0.005946i,0.0064566+0.0040462i,-0.028669-0.008833i,-0.036415-0.0021725i,0.028463-0.083818i,0.013785-0.0092559i,-0.043475-0.028778i,-0.024517-0.0065544i,0.017585+0.011893i,-0.027342+0.010648i,-0.01229-0.0097243i
-0.0087292-0.043049i,-0.0070958-0.042271i,-0.016345-0.04907i,-0.034133-0.017516i,-0.014385+0.0094266i,-0.045469-0.025685i,-0.070215-0.043278i,-0.028893-0.068648i,-0.030785-0.040879i,0.00087797+0.014576i,-0.0093683+0.011943i,-0.0065309+0.019669i,0.010213+0.0092514i,-0.006812+0.0014052i,0.0032646+0.0050871i,0.0078927+0.028317i,0.034933+0.04293i,0.0016219+0.0017063i,-0.0087598-0.0037937i,0.0079381+0.00020261i,0.000714+0.002185i,-0.00070382+0.0038518i,-0.00042489+0.00050637i,-0.025094+0.012062i,-0.0056076-0.004834i,0.0034338+0.0030135i,0.0033029-0.00066108i,0.00023237+0.0024665i,0.0015035-0.0013412i,-0.00092415-0.0026389i,-0.0018935-0.0040704i,-0.0042874-0.0051451i,-0.0029577-0.0061264i,0.0028004-0.0021256i,0.0025391-0.0013407i,0.010183+0.036687i,0.005415-0.0067729i,0.0023325-0.0017474i,0.0065259-0.0024167i,-0.0096155-0.0016192i,-0.0009408+0.0014468i,0.0091479-0.0040629i,0.002677+0.0017146i,-0.0064327+0.0034167i,0.0086772+0.0087796i,0.0086953+0.020841i,0.0097658-0.087027i,-0.016498-0.058005i,-0.018584-0.035831i,-0.017521-0.025819i,0.06543-0.04579i,0.029876-0.078689i,0.041499-0.045472i,0.024423-0.063434i,0.0087119-0.010436i,0.0082384+0.0017316i,0.0084794-0.037587i,-0.0070443+0.0009027i,0.0018214-0.011219i,-0.0035344-0.0064615i,-0.018088-0.035249i,-0.010775+0.029455i,0.002455-0.01373i,-0.01365+0.0020936i,-0.003875+0.0003161i,-0.0073789-0.013996i,-0.010343+0.0097888i,0.0072833+0.0076556i,0.0057133+0.030749i,0.0069034+0.0018566i,-0.0048999+0.0017055i,-0.0042909-0.0028651i,-0.015699+0.00033832i,0.00049419-0.002685i,-0.040667+0.0080345i,-0.0053591-0.0099996i,-0.0096042+0.0015048i,-0.008344+0.00063694i,0.0047342-0.0039871i,-0.0072131+0.0042829i,0.0018242+0.00013587i,0.0052578+0.0032249i,0.0035718-0.00058461i,-0.014958-0.0020393i,0.0037811+0.0055284i,-0.014335+0.01268i,0.0063984-0.00049172i,-0.029411+0.0024771i,-0.036623+0.0083468i,0.014168-0.084431i,0.01049-0.016104i,-0.050307-0.01498i,-0.019791-0.0059535i,0.018604+0.006238i,-0.021402+0.018176i,-0.018071-0.014476i
-0.01547-0.040935i,-0.0095223-0.042733i,-0.024119-0.049796i,-0.034953-0.0095692i,-0.0089859+0.0048628i,-0.051701-0.01568i,-0.078105-0.027525i,-0.041543-0.06506i,-0.03308-0.033797i,0.0028995+0.014321i,-0.0079003+0.015721i,0.003148+0.018007i,0.012659+0.0014006i,-0.00698+0.0050353i,0.0043042+0.0042926i,0.012829+0.021755i,0.04253+0.025506i,0.0044738+0.0017044i,-0.0070521+0.0013018i,0.0073935-0.0019867i,0.00064298+0.002568i,0.0011611+0.0054515i,0.00022323+0.0010857i,-0.011664+0.018803i,-0.0053613-0.001703i,0.004607-0.00015892i,0.0029344-0.0016335i,0.0031203+0.0030541i,0.00026357-0.0019935i,-0.001329-0.0021686i,-0.0022844-0.0038362i,-0.0058876-0.0036733i,-0.0050143-0.0052405i,0.0016974-0.0034432i,0.0039192-0.0040399i,0.021584+0.029268i,0.0024578-0.0076791i,0.0015382-0.0025218i,0.0057612-0.0064047i,-0.0089621-0.00093854i,-0.00013073+0.0024229i,0.0062362-0.0059615i,0.0042184+0.0025749i,-0.0053554+0.0065712i,0.015474+0.00023948i,0.023096+0.017156i,-0.0051118-0.087913i,-0.030968-0.049848i,-0.010524-0.038378i,-0.011827-0.028045i,0.058773-0.071999i,0.011047-0.099007i,0.04791-0.052203i,0.011681-0.065903i,0.0069275-0.0078011i,0.0056456-0.0024996i,0.00055102-0.041504i,0.0022884-0.00033854i,-0.0086709-0.012739i,-0.0040324-0.010066i,-0.037024-0.026703i,-0.0011342+0.02755i,-0.0041068-0.012951i,-0.010121+0.0056299i,-0.0047557+0.0019094i,-0.013972-0.010671i,-0.004086+0.015576i,0.013141+0.0025896i,0.01797+0.019564i,0.0058057-0.00081618i,-0.0044017+0.0012176i,-0.0055502-0.0011941i,-0.012756+0.010376i,-0.0025002-0.0029747i,-0.032834+0.018193i,-0.0076013-0.0050683i,-0.0087042+0.0065145i,-0.0090423+0.0075131i,-0.00070259-0.0052029i,-0.0060755+0.0059634i,0.0013041-0.0012276i,0.0031842+0.0021448i,0.0028345-0.0017668i,-0.0097842+0.0065658i,0.0037192+0.0026878i,-0.0091581+0.015054i,0.0034915-0.0043767i,-0.02497+0.011286i,-0.031783+0.018644i,0.0032565-0.082646i,0.0039475-0.017952i,-0.049777-0.0015953i,-0.023242-0.01043i,0.017729-0.0015497i,-0.010593+0.019431i,-0.022204-0.011746i
-0.020379-0.037754i,-0.014555-0.04604i,-0.034559-0.050131i,-0.030924-0.0051613i,-0.0067103-0.0022259i,-0.053796-0.0029659i,-0.080221-0.0010898i,-0.054716-0.05439i,-0.039637-0.025122i,0.0062414+0.01356i,-0.001566+0.018747i,0.0074848+0.012699i,0.010529-0.0053893i,-0.0054283+0.0095804i,0.0044477+0.0023558i,0.014731+0.013489i,0.046678+0.006729i,0.0059259-0.0015661i,-0.0063546+0.0050774i,0.0053219-0.0044479i,0.0023401+0.0039186i,0.003918+0.005259i,0.00056676+0.0013306i,9.32e-05+0.024738i,-0.0041571+0.00029741i,0.0032817-0.0024301i,0.002582-0.0022832i,0.004309+7.7197e-06i,-6.0295e-05-0.0010924i,-0.0027561-0.0020622i,-0.0027511-0.0032623i,-0.0063472-0.0018473i,-0.0067577-0.0029344i,0.00012389-0.0043967i,0.00049963-0.006467i,0.026026+0.017491i,-0.00034305-0.0080868i,0.0004709-0.0029925i,0.0030886-0.0078773i,-0.007134+0.0025296i,0.0011948+0.0021779i,0.0028446-0.0070506i,0.0058292+0.00089802i,-0.0022434+0.0069257i,0.018884-0.0070042i,0.03521+0.0075304i,-0.019312-0.083857i,-0.037059-0.038199i,-0.01188-0.043195i,-0.011972-0.02952i,0.040722-0.10083i,-0.017141-0.1042i,0.047824-0.072772i,0.0021043-0.065273i,0.0064084-0.0059691i,0.0016331-0.0065242i,-0.016518-0.033592i,0.0017034-0.0096096i,-0.012466-0.0078888i,-0.011043-0.013726i,-0.047515-0.0062051i,0.010245+0.022373i,-0.0088196-0.0099152i,-0.0068566+0.006199i,-0.003998+0.004177i,-0.019499-0.0044504i,0.0041305+0.013416i,0.015244-0.0039768i,0.021997+0.014647i,0.0055635-0.0028609i,-0.0053637+0.001333i,-0.0064187+0.0017372i,-0.0068503+0.017636i,-0.0046406+7.6116e-05i,-0.024658+0.028865i,-0.008033-0.0021245i,-0.0038512+0.0098104i,-0.0021373+0.013163i,-0.005127-0.00269i,-0.002874+0.0060702i,0.0014036-0.0017156i,0.0022752+0.0023259i,0.00045823-0.0036398i,-0.0033681+0.0054829i,0.00029769-0.00039659i,-0.005021+0.017484i,-0.0010048-0.0041549i,-0.018179+0.01733i,-0.023696+0.023437i,-0.0064906-0.083122i,0.0034371-0.016008i,-0.045579+0.012585i,-0.02979-0.0076086i,0.014483-0.0082006i,-0.0019101+0.015553i,-0.022145-0.0068876i
-0.024143-0.03383i,-0.023911-0.046896i,-0.047306-0.046541i,-0.028466-0.0017368i,-0.011163-0.0094239i,-0.051971+0.0087983i,-0.063065+0.018269i,-0.059317-0.040867i,-0.038051-0.01484i,0.008812+0.011714i,0.0051657+0.01619i,0.0095212+0.0092134i,0.0049595-0.0098138i,-0.00025975+0.011577i,0.0037258+0.00047709i,0.012685+0.0091197i,0.039849-0.01293i,0.0048854-0.0041982i,-0.0022481+0.010958i,0.0027944-0.0052293i,0.0045912+0.0042565i,0.0051559+0.0029643i,0.00078012+0.0018057i,0.019349+0.021232i,-0.0034974+0.0019525i,0.0020521-0.0034069i,0.00086091-0.0028471i,0.0047909-0.00060312i,-0.0001147-0.00062193i,-0.0040785-0.00014242i,-0.0031201-0.002368i,-0.0064273+0.00066934i,-0.0059145+7.2967e-05i,-0.0024789-0.004283i,-0.0019663-0.0052496i,0.027403+0.010185i,-0.0032656-0.0074478i,-0.0010901-0.0031645i,-0.00020836-0.0072715i,-0.0033065+0.0004356i,0.0014664+0.001403i,-0.0011371-0.0052012i,0.006296-0.0010679i,-0.0013387+0.0059635i,0.019797-0.019986i,0.043715-0.0085329i,-0.027657-0.075857i,-0.037839-0.027809i,-0.014889-0.047809i,-0.011895-0.029587i,0.005409-0.12034i,-0.042463-0.096883i,0.029986-0.090772i,-0.0093689-0.060783i,0.0072674-0.0038571i,-0.0032973-0.0073607i,-0.025904-0.022143i,-0.0056236-0.01371i,-0.014942-0.0064523i,-0.021143-0.0087894i,-0.046112+0.012968i,0.015343+0.011388i,-0.012916-0.0057856i,-0.0049743+0.0062869i,-0.0028088+0.006442i,-0.02126+0.0060796i,0.0048648+0.0083579i,0.014414-0.01051i,0.026162-0.0067807i,0.0040502-0.007235i,-0.0073818+0.0043849i,-0.004729+0.0052571i,0.0019471+0.020403i,-0.0041638+0.0033369i,-0.013796+0.038761i,-0.010001-0.0004975i,0.00055785+0.0073818i,0.0046272+0.011727i,-0.0069412+0.00073921i,-0.0025153+0.0031815i,0.00036658-0.0030017i,0.0015213+0.0043819i,-0.0035052-0.0036695i,-0.0024416+0.0017674i,-0.0029065+0.0017193i,0.003972+0.01983i,-0.0033091-0.0027523i,-0.0095139+0.020066i,-0.016677+0.027419i,-0.019133-0.080422i,0.0072123-0.020695i,-0.036721+0.026908i,-0.033229+0.002247i,0.009163-0.012606i,-2.7684e-05+0.0084149i,-0.022169-0.0054151i
-0.02593-0.031254i,-0.030451-0.044988i,-0.060789-0.037038i,-0.0261-0.00088394i,-0.021177-0.011244i,-0.046183+0.019199i,-0.045672+0.022481i,-0.060902-0.031056i,-0.036184-0.010629i,0.010247+0.0096572i,0.0078136+0.01276i,0.011416+0.0042459i,-0.0020365-0.010816i,0.0060479+0.0097373i,0.0023492-0.00029566i,0.01136+0.0072631i,0.023668-0.023342i,0.0045524-0.0050976i,0.0048872+0.011192i,0.0007142-0.0046789i,0.0069992+0.0013804i,0.0053927+0.00070576i,0.0022519+0.0023107i,0.027808+0.003648i,-0.00072572+0.0033106i,0.00080832-0.0047665i,-0.00056206-0.00056797i,0.0050764-0.0024681i,6.5914e-05-0.00094484i,-0.0027082+0.0029982i,-0.0026193-0.0016888i,-0.0059633+0.0021484i,-0.0056183+0.0020582i,-0.0042872-0.0017329i,-0.002628-0.0037116i,0.02955+0.001382i,-0.0057328-0.0057408i,-0.0031268-0.0027893i,-0.002481-0.0065171i,-0.0059735-0.0022614i,0.0021376+0.0015495i,-0.0027627-0.0022257i,0.005412-0.0026183i,-0.00043365+0.0061201i,0.011124-0.029868i,0.036325-0.029967i,-0.029248-0.069728i,-0.037617-0.019573i,-0.020435-0.04861i,-0.010723-0.034047i,-0.034562-0.11556i,-0.063951-0.082037i,0.0098293-0.096935i,-0.012442-0.047221i,0.014156+0.00056619i,-0.0069746-0.0049091i,-0.026392-0.0078254i,-0.011666-0.013195i,-0.021043-0.0019952i,-0.020938+0.0007987i,-0.039057+0.030918i,0.014445+0.0033828i,-0.011465+0.0022097i,-0.0056856+0.0062308i,0.0017974+0.0086605i,-0.015291+0.014626i,0.00635+0.0094855i,0.010211-0.021905i,0.017098-0.021917i,-0.0033385-0.010714i,-0.0069929+0.0096938i,-0.0030713+0.0062986i,0.0099658+0.017739i,-0.0017571+0.0057467i,0.0014271+0.054115i,-0.011892+0.0028211i,0.0010521+0.0064111i,0.0084461+0.0066714i,-0.0057427+0.0075363i,-0.0033407+0.004553i,-0.003011-0.0032535i,0.0042383+0.0054818i,-0.0055439+0.0030994i,-0.0051081+0.00098681i,-0.0010308+0.0069745i,0.009835+0.015329i,-0.0048567-0.0022269i,-0.0030776+0.017222i,-0.0070381+0.029328i,-0.025367-0.072191i,0.00045545-0.035203i,-0.015845+0.032232i,-0.028312+0.01077i,0.0072849-0.018985i,0.00027612+0.0024027i,-0.021514-0.0010177i
-0.028413-0.029126i,-0.041431-0.045624i,-0.070997-0.023044i,-0.025638+0.0015228i,-0.030024-0.0037696i,-0.038759+0.025609i,-0.034773+0.020289i,-0.062391-0.023356i,-0.038282-0.0067491i,0.013323+0.0066092i,0.011603+0.010439i,0.0081334-0.0017059i,-0.009153-0.0074581i,0.0086658+0.0035847i,0.0014408-0.00071565i,0.011027+0.0065607i,0.0093889-0.023018i,0.0027659-0.0071199i,0.0094018+0.0057535i,-0.00095483-0.0032295i,0.006876-0.0017884i,0.0058623-4.6754e-05i,0.0037827+0.0010757i,0.023439-0.010111i,0.0029787+0.0015847i,-0.00043505-0.0024653i,0.00076346-0.0016522i,0.0014788-0.0067466i,0.00010507-0.00037174i,-0.00034292+0.0033614i,-0.0029912-0.0014806i,-0.0046506+0.0041958i,-0.0035917+0.0036235i,-0.0036666+0.00043085i,-0.003738-0.0040066i,0.026973-0.0088072i,-0.0064343-0.0021932i,-0.0039929-0.0011937i,-0.0067602-0.0034356i,-0.011397+0.0011664i,0.0023458+0.0007666i,-0.0014391-0.0011193i,0.0045453-0.0042719i,0.0010409+0.004105i,0.00028426-0.033408i,0.021072-0.035409i,-0.034416-0.071624i,-0.03097-0.01211i,-0.024734-0.046961i,-0.020023-0.040996i,-0.061585-0.099682i,-0.073249-0.058032i,-0.014255-0.098244i,-0.0068252-0.043224i,0.022273-0.012538i,-0.0083888-0.00077875i,-0.021079-0.0025757i,-0.021382-0.0089359i,-0.019748+0.0094945i,-0.01879+0.0057787i,-0.019856+0.042767i,0.012947-0.0018216i,-0.0092684+0.0029579i,-0.0021928+0.0068485i,0.0041479+0.0050301i,-0.0070111+0.019714i,0.010946+0.0070191i,-0.0059004-0.027159i,-0.0022666-0.024189i,-0.0070318-0.0031893i,-0.0025149+0.013029i,0.0010168+0.0061282i,0.016663+0.010711i,0.001302+0.0050909i,0.02813+0.051234i,-0.007619+0.0079496i,0.0019866+0.0050697i,0.0089182+0.001627i,0.00039253+0.010016i,-0.0052292+0.0053719i,-0.0052631+0.0012105i,0.00758+0.0050761i,-0.0024959+0.0063281i,-0.0074938+0.0038642i,0.0028584+0.0071603i,0.013046+0.010684i,-0.0055202+0.00090251i,0.0026363+0.013563i,0.0016359+0.027656i,-0.030998-0.070659i,-0.019127-0.03872i,-0.0011557+0.023395i,-0.023234+0.013035i,-0.0024909-0.026508i,-0.0031045-0.0016593i,-0.015285+0.0010889i
-0.031449-0.027122i,-0.054186-0.037297i,-0.076823-0.0041244i,-0.022073+0.0039177i,-0.029908+0.0070385i,-0.032262+0.029855i,-0.029506+0.017213i,-0.06426-0.015561i,-0.038537+0.0011835i,0.014719+0.001869i,0.014541+0.0023368i,0.0025911-0.0019259i,-0.011565-0.00020367i,0.0057787-0.00094265i,0.00023609-0.00088572i,0.013385+0.0039381i,0.00056464-0.017978i,-0.0012095-0.00762i,0.0076944+0.0012903i,-0.0013601-0.0020529i,0.0039279-0.0034986i,0.0059363-0.0020928i,0.0035598-0.00068687i,0.014499-0.018541i,0.0020725-0.0012327i,-0.00037276-0.0030361i,0.00062089-0.0024429i,0.0012692-0.0045065i,0.0015169-0.00015267i,0.00029267+0.0024593i,-0.0036114-0.0011169i,-0.0023203+0.004995i,-0.0020442+0.0046416i,-0.0028993+0.00081397i,-0.0054118-0.0007657i,0.020914-0.017652i,-0.0050052-0.00029473i,-0.0034319+0.00088875i,-0.0067374-0.00064051i,-0.011025+0.0079967i,0.0020845+0.00042813i,-0.00097636-0.00060962i,0.0024908-0.0057304i,4.7039e-05+0.0019234i,-0.0097345-0.029252i,0.015721-0.029118i,-0.044508-0.071702i,-0.024184-0.012651i,-0.029972-0.04662i,-0.030365-0.03616i,-0.085126-0.081253i,-0.069874-0.039321i,-0.041529-0.087676i,-0.0042203-0.047327i,0.017894-0.026245i,-0.0071223+0.0019668i,-0.017045+0.0012671i,-0.027945+0.0024715i,-0.012754+0.014765i,-0.014378+0.011705i,0.0027423+0.041146i,0.0097258-0.0076689i,-0.0089897+0.005823i,-0.001142+0.0046852i,0.0059117+0.0034009i,0.0026279+0.016918i,0.011889-0.00010948i,-0.020892-0.017414i,-0.014972-0.014542i,-0.0037762+0.0011189i,0.0050577+0.013044i,0.0028577+0.0047535i,0.018356+0.0024167i,0.004948+0.0049918i,0.043991+0.033291i,-0.0037805+0.007283i,0.0019265+0.0051743i,0.0073332-0.0032274i,0.0055604+0.0070499i,-0.0050079+0.01255i,-0.0034811+0.0064721i,0.010797+0.00054762i,0.0027728+0.0067334i,-0.0066692+0.007969i,0.0051764+0.0044604i,0.013028+0.0061102i,-0.005137+0.0022918i,0.0042745+0.0088488i,0.0078847+0.022762i,-0.037258-0.067136i,-0.033229-0.025284i,0.0047299+0.010474i,-0.013696+0.017683i,-0.014033-0.028684i,-0.01027-0.0021162i,-0.014616-0.0042672i
-0.03572-0.023985i,-0.060343-0.023926i,-0.072079+0.014276i,-0.020177+0.0038634i,-0.025853+0.01429i,-0.025762+0.033433i,-0.026722+0.014187i,-0.066099-0.0078415i,-0.033796+0.0086482i,0.013544-0.0032566i,0.0094436-0.0012668i,0.0016507+0.00073877i,-0.0098823+0.004632i,0.0024868-0.0032427i,-0.00099895-0.00012824i,0.013709-0.0010088i,-0.00163-0.011802i,-0.0042016-0.0055639i,0.0065678+7.0887e-05i,-0.0016034-0.00089439i,0.0026365-0.0024734i,0.0049474-0.0036449i,0.0031043-0.001365i,0.0056855-0.019746i,0.00069069-0.003127i,-0.0016798-0.0037976i,-0.0001189-0.0027448i,-0.00047727-0.0046774i,0.0015017-0.0013254i,0.0014717+0.0025394i,-0.0039806-0.00052884i,-0.00037645+0.0047412i,-0.00015533+0.0040143i,-0.0024118+0.0021834i,-0.0039861+0.00011555i,0.010361-0.023521i,-0.0036071-2.1628e-06i,-0.0020363+0.0020196i,-0.0076476+0.00034893i,-0.0058901+0.013438i,0.0018024+0.00041799i,-0.0014062-0.00035432i,0.00019959-0.0052369i,-0.0031391+0.0023135i,-0.015264-0.022834i,0.022893-0.02671i,-0.057646-0.068813i,-0.021617-0.015827i,-0.035783-0.042535i,-0.035407-0.030324i,-0.10175-0.05326i,-0.067371-0.030928i,-0.051993-0.061509i,-0.0070405-0.050799i,0.0078067-0.036083i,-0.0057801+0.003178i,-0.014082-0.00023863i,-0.02241+0.016549i,-0.0060461+0.016425i,-0.0041688+0.012539i,0.012876+0.028143i,0.0045226-0.0096124i,-0.007404+0.0076225i,-0.0014404+0.0045549i,0.0057988-0.00066025i,0.0066799+0.01268i,0.0066715-0.0033815i,-0.026241-0.0026248i,-0.01801-0.0043727i,-0.00024131+0.0012365i,0.00823+0.010302i,0.0027699+0.0035491i,0.015579-0.009315i,0.0063057+0.00022679i,0.053134+0.0137i,-0.0033071+0.0085834i,0.0044292+0.0040593i,0.0021359-0.0057859i,0.0066114+0.0038253i,0.0023303+0.01631i,0.0035657+0.0057921i,0.0083739-0.0047184i,0.006282+0.0029056i,-0.0051016+0.011507i,0.0047046+0.0034983i,0.012466+0.0025227i,-0.0062086+0.0038807i,0.0021032+0.0065513i,0.011007+0.018761i,-0.045038-0.064185i,-0.033492-0.0043588i,0.0016241+0.0013576i,-0.0043575+0.012102i,-0.025582-0.022967i,-0.013955+0.0070292i,-0.019962-0.0030977i
-0.039789-0.019i,-0.06126-0.013106i,-0.066546+0.028058i,-0.020871+0.0039794i,-0.019584+0.019362i,-0.018848+0.03624i,-0.02696+0.012365i,-0.067533+0.0016524i,-0.029049+0.011392i,0.010507-0.0068038i,0.0067349-0.0027455i,0.0020237+0.0011918i,-0.0059254+0.0078121i,-0.00012726-0.0035119i,-0.00076078+0.0012614i,0.010694-0.0053068i,-0.0018474-0.010983i,-0.0048985-0.0020327i,0.0071721-0.0013443i,-0.00079307+0.00040165i,0.003155-0.0027753i,0.0033481-0.003776i,0.0029517-0.0017927i,-0.0015959-0.018207i,-0.00076103-0.0035451i,-0.0035245-0.0028194i,-0.0012681-0.0028519i,-0.0023224-0.0041209i,0.0011874-0.0020729i,0.0026498+0.0013265i,-0.0047231+0.00050498i,0.0013364+0.0036756i,0.00095876+0.0032443i,-0.0011175+0.0026805i,-0.0044303+0.0012153i,-0.00021742-0.019199i,-0.0037773-0.00075774i,-0.00044491+0.0020114i,-0.0053467+0.0041984i,-0.00034715+0.015272i,0.0013625+8.1334e-05i,-0.0001737+0.00074699i,-0.00097856-0.0047638i,-0.0028696+0.0064534i,-0.014845-0.016369i,0.033289-0.038053i,-0.073659-0.059962i,-0.023019-0.01742i,-0.037429-0.038883i,-0.040512-0.024487i,-0.10303-0.023481i,-0.066279-0.019914i,-0.047423-0.045381i,-0.010929-0.054981i,-0.0070404-0.03909i,-0.0039591+0.0042886i,-0.01623-0.001852i,-0.011554+0.023119i,-0.00037985+0.01404i,0.0016857+0.0051872i,0.014414+0.015946i,-0.00081294-0.010415i,-0.0045813+0.010028i,-0.0017493+0.005394i,0.0028716-0.0031467i,0.0094872+0.0081636i,0.0043383-0.001651i,-0.022402+0.011222i,-0.015981+0.0053223i,0.00094279+0.00057644i,0.01242+0.0074648i,0.0028679+0.0029287i,0.005801-0.014635i,0.0036681-0.0024086i,0.053696-0.0074797i,-0.00019931+0.010408i,0.0037628+0.0018565i,-0.0012462-0.0038863i,0.0064722+0.0022497i,0.010274+0.015662i,0.0045222+0.001435i,0.005983-0.0063617i,0.0054108-0.00023242i,-0.00012577+0.012042i,0.0052524+0.0021137i,0.012532-0.0017321i,-0.0040609+0.0092153i,0.0029384+0.0059333i,0.013765+0.015132i,-0.053385-0.059537i,-0.034551+0.00028423i,-0.0016328-0.0017276i,-0.0042895+0.0046596i,-0.033878-0.014077i,-0.0080726+0.010294i,-0.019995+0.00087157i
-0.04204-0.012647i,-0.059984-0.0039044i,-0.056717+0.040643i,-0.020966+0.0072346i,-0.01168+0.021092i,-0.011608+0.037413i,-0.027763+0.013366i,-0.06664+0.012687i,-0.02599+0.013647i,0.0072169-0.0087134i,0.0042146-0.0025844i,0.0032491+0.0011344i,-0.0012693+0.008799i,-0.0025579-0.0018602i,-0.0003942+0.0014248i,0.0066059-0.0073244i,-0.0058628-0.012199i,-0.0043005-0.00033641i,0.0052964-0.0025152i,0.00013502+0.00058684i,0.0029302-0.0038477i,0.0028564-0.0033813i,0.0025717-0.0025441i,-0.0072752-0.015654i,-0.0025267-0.0030407i,-0.0040285-0.0011338i,-0.0026846-0.0020805i,-0.0033999-0.0030912i,0.00045734-0.0025361i,0.0022588-0.00066338i,-0.0048317+0.0024458i,0.0018987+0.0026764i,0.0015753+0.0024124i,0.0005292+0.0023242i,-0.0035213+0.0023397i,-0.0033642-0.013485i,-0.0040848-0.00026944i,0.00051869+0.0010417i,-0.0022303+0.0042909i,0.0067908+0.013549i,0.0014444-0.00058606i,0.00070968+0.00054304i,-0.002319-0.004366i,0.00012698+0.0064032i,-0.011502-0.014964i,0.0308-0.059765i,-0.084347-0.042115i,-0.02286-0.01815i,-0.039968-0.040144i,-0.043566-0.016355i,-0.097784-0.0022546i,-0.063002-0.011076i,-0.044286-0.035455i,-0.017982-0.057274i,-0.022764-0.034761i,-0.0027069+0.0039602i,-0.022376+9.1411e-05i,-0.0012443+0.021824i,0.003025+0.0084902i,0.0010231-0.0015107i,0.011395+0.008786i,-0.0064672-0.0095879i,-0.0011982+0.010647i,-0.00049471+0.0068923i,8.9554e-05-0.0029065i,0.0082239+0.0030235i,0.0045341-0.00079946i,-0.013384+0.018468i,-0.00953+0.01252i,0.0023134-0.00087224i,0.014858+0.00018857i,0.002749+0.0031519i,-0.0027318-0.012607i,0.0012699-0.00263i,0.043845-0.026771i,0.0050046+0.010691i,0.0027593+0.0022057i,-0.0035615-0.0015966i,0.0066442-0.0012931i,0.016799+0.010662i,0.0032806-0.0011056i,0.002917-0.0083552i,0.0040753-0.0024634i,0.0070513+0.012264i,0.005243+0.0020989i,0.0084806-0.0065051i,0.0013218+0.010541i,0.0036408+0.0042284i,0.017304+0.01103i,-0.06245-0.051411i,-0.023471+0.0070091i,-0.0037818-0.0037197i,-0.0074026+0.0028092i,-0.037521-0.002597i,-0.0054518+0.0086374i,-0.018127+0.0037894i
