-0.0007752-0.042083i,-6.421e-06-0.046475i,-0.0077429-0.048097i,-0.030944-0.02337i,-0.022968+0.010602i,-0.0368-0.033803i,-0.064309-0.058689i,-0.019226-0.071624i,-0.024319-0.04442i,-0.0010704+0.016756i,-0.010228+0.012727i,-0.014512+0.013399i,0.0035207+0.013732i,-0.0028039-0.0019092i,0.0017753+0.0059796i,0.00016572+0.033956i,0.019847+0.057036i,0.0012983-0.00051091i,-0.0030595-0.0095036i,0.0075492+0.004132i,0.0015362+0.0014712i,-0.00056929+0.0031643i,-6.9756e-05-0.00058928i,-0.038344-0.0098926i,-0.0027104-0.0074312i,-0.00097916+0.0045935i,0.0055577-0.00017934i,0.00010366+0.0003262i,0.00059597-0.00084589i,0.00035603-0.0023161i,-0.0015567-0.0057485i,-0.00333-0.0060994i,-0.00104-0.0070257i,0.0031702-0.00035945i,0.0032417-0.0016582i,-0.0018455+0.038979i,0.0066898-0.004041i,0.0031097-0.00084407i,0.0053928-0.00031112i,-0.012833-0.0061399i,-0.00089556+0.00010028i,0.0097399-0.00056328i,0.0038183+0.0014744i,-0.0043816+0.002342i,-0.00032056+0.0105i,-0.0051537+0.017745i,0.02582-0.082229i,-0.00059642-0.054254i,-0.023447-0.042538i,-0.020025-0.037459i,0.062892-0.016792i,0.03068-0.058718i,0.038772-0.044746i,0.033954-0.052625i,0.019516-0.015418i,0.0076594+0.011848i,0.023679-0.034911i,-0.00818-0.0051712i,0.0028667-0.0014775i,-0.002637-0.0053211i,0.004671-0.031787i,-0.025402+0.030749i,0.0088822-0.010123i,-0.012741-0.0027095i,-0.0044947-0.0018114i,0.00025161-0.014255i,-0.010527+0.0051689i,0.0032106+0.0065579i,-0.0143+0.030306i,0.005801+0.0065448i,-0.0059728-0.0018859i,-0.0012737-0.0026197i,-0.012092-0.0076715i,8.36e-05-0.0033369i,-0.036486+0.006478i,0.0016737-0.012516i,-0.0093838-0.0027089i,-0.0068085-0.0033399i,0.0062725+0.0019307i,-0.0092211+0.002138i,-0.0001517+0.0017999i,0.0058586+0.010269i,0.0047928+0.00056249i,-0.0093947-0.010547i,0.0023193+0.0084289i,-0.020351+0.0052546i,0.0061858+0.0030273i,-0.028037-0.0087961i,-0.036369-0.0019255i,0.026274-0.078537i,0.013767-0.008946i,-0.043554-0.028474i,-0.025029-0.0061359i,0.01747+0.012317i,-0.026942+0.011103i,-0.012152-0.0098412i
-0.0090171-0.043287i,-0.0070335-0.041865i,-0.015669-0.049525i,-0.033597-0.017575i,-0.014173+0.0096097i,-0.045496-0.025814i,-0.070301-0.043645i,-0.028948-0.068921i,-0.030272-0.036269i,0.00089744+0.015611i,-0.0085192+0.01139i,-0.0061601+0.019736i,0.01044+0.0093827i,-0.0069942+0.0013496i,0.002992+0.004972i,0.0081047+0.028262i,0.033312+0.04063i,0.0024927+0.0018586i,-0.0074499-0.0044021i,0.0082779+0.00050575i,0.00078516+0.0022507i,-0.000535+0.0037983i,-0.00041573+0.00048013i,-0.026066+0.012457i,-0.0050334-0.0049118i,0.0032221+0.0029015i,0.0040267-0.00069022i,0.00040286+0.0021408i,0.0014935-0.0013679i,-0.00089499-0.0027292i,-0.0018509-0.0043244i,-0.0042254-0.0048912i,-0.0028901-0.0062324i,0.002589-0.0020906i,0.002626-0.0013886i,0.010671+0.035434i,0.0055862-0.0066239i,0.0022279-0.001891i,0.0068971-0.0022102i,-0.0088165-0.0023797i,-0.00074466+0.0015929i,0.0078816-0.0026392i,0.0026578+0.0019784i,-0.0062718+0.0038178i,0.009045+0.0099621i,0.0088151+0.021877i,0.010817-0.087009i,-0.016743-0.058315i,-0.01846-0.035602i,-0.017494-0.025507i,0.0657-0.045662i,0.029745-0.079219i,0.041387-0.045598i,0.024872-0.063558i,0.0087013-0.010128i,0.0085352+0.0017601i,0.0094651-0.037162i,-0.0070513+0.00087958i,0.0012689-0.011045i,-0.0034578-0.0067106i,-0.018074-0.035221i,-0.01012+0.02962i,0.0027938-0.013131i,-0.013416+0.0021666i,-0.0039952+0.00023939i,-0.0070051-0.014138i,-0.010099+0.01025i,0.0069996+0.0074944i,0.0052958+0.030934i,0.0071023+0.0014105i,-0.0053142+0.0015219i,-0.004052-0.0028647i,-0.016537+0.0016648i,0.00057013-0.0025266i,-0.038653+0.014345i,-0.0052839-0.0098966i,-0.0099371+0.0014639i,-0.0083965+0.00042604i,0.004445-0.0038505i,-0.0072935+0.0045533i,0.0017736+0.00043256i,0.0055142+0.0040258i,0.0031148-0.00072317i,-0.01473-0.0020898i,0.0039222+0.0055082i,-0.015376+0.013351i,0.0061937-0.00079064i,-0.029029+0.0019153i,-0.03656+0.0089537i,0.011963-0.080798i,0.0098986-0.015864i,-0.05023-0.0148i,-0.019411-0.0062532i,0.018555+0.0063223i,-0.021334+0.018297i,-0.018824-0.015169i
-0.015902-0.040795i,-0.0093678-0.042524i,-0.024425-0.050486i,-0.034781-0.011029i,-0.0086069+0.0049672i,-0.051602-0.015758i,-0.078449-0.027589i,-0.041826-0.065542i,-0.034409-0.030747i,0.00364+0.014604i,-0.0080143+0.014987i,0.0034449+0.018041i,0.012687+0.0016353i,-0.0069612+0.0054299i,0.0039677+0.0043807i,0.013056+0.021469i,0.041786+0.027443i,0.0055063+0.0014419i,-0.0066408+0.00054462i,0.0074193-0.0021035i,0.00061498+0.0026791i,0.00092604+0.0055031i,0.00027123+0.0010241i,-0.011689+0.019939i,-0.004686-0.0021393i,0.0045398-0.00030561i,0.0031077-0.0018502i,0.0029259+0.0026571i,0.00024524-0.0020454i,-0.0013633-0.002372i,-0.0023246-0.0039938i,-0.005731-0.0035106i,-0.004665-0.0049244i,0.0016511-0.0036872i,0.0040922-0.0039738i,0.021665+0.026967i,0.0026789-0.0077403i,0.0014647-0.0025306i,0.0062232-0.0068818i,-0.0085774-0.001518i,0.00011809+0.0023782i,0.0060671-0.0050131i,0.004058+0.0025501i,-0.0052486+0.0069413i,0.015851+0.0012032i,0.023401+0.017849i,-0.0042767-0.088086i,-0.0317-0.05043i,-0.010379-0.037829i,-0.011731-0.027858i,0.058862-0.071934i,0.011074-0.099398i,0.047896-0.052417i,0.011989-0.065982i,0.0073373-0.0072579i,0.0057861-0.0028239i,-0.0027177-0.038155i,0.0025119-0.00015968i,-0.008345-0.012848i,-0.0041266-0.010033i,-0.037328-0.026426i,-0.00063362+0.027516i,-0.0036932-0.012417i,-0.010133+0.0056838i,-0.0048603+0.0017741i,-0.014175-0.011139i,-0.0038326+0.015383i,0.012817+0.002458i,0.019022+0.02063i,0.0061126-0.0012959i,-0.0044031+0.0011534i,-0.0054578-0.0014886i,-0.013413+0.010992i,-0.0024801-0.0027444i,-0.032318+0.02596i,-0.0076268-0.0050614i,-0.0089743+0.0064705i,-0.0091067+0.0072424i,-0.00091578-0.0051317i,-0.0060992+0.0059206i,0.0013718-0.00086987i,0.0030755+0.0024951i,0.002516-0.0018381i,-0.0095647+0.0063665i,0.0035865+0.0025792i,-0.0093693+0.01623i,0.0033309-0.0043112i,-0.024951+0.010598i,-0.03058+0.019382i,0.0015133-0.080578i,0.0035143-0.017693i,-0.049839-0.0014163i,-0.023152-0.0114i,0.017444-0.0015587i,-0.010804+0.019723i,-0.022447-0.01154i
-0.020717-0.037399i,-0.014215-0.045975i,-0.034817-0.050207i,-0.032005-0.0043957i,-0.0064074-0.0024021i,-0.053813-0.0032559i,-0.080409-0.0010168i,-0.055187-0.05485i,-0.039829-0.022849i,0.0066674+0.013428i,-0.0022914+0.018444i,0.007854+0.012506i,0.010709-0.0054905i,-0.0052353+0.010066i,0.0041361+0.0025134i,0.014604+0.013138i,0.048237+0.0085223i,0.006646-0.0017068i,-0.0063213+0.0046566i,0.0052818-0.0044002i,0.0024316+0.0039837i,0.0041089+0.0056433i,0.00054121+0.0012339i,0.00087172+0.025196i,-0.0037013-0.000702i,0.0032027-0.0028559i,0.0025504-0.0022596i,0.0037959+3.0465e-05i,-0.00018983-0.0012357i,-0.0026861-0.0022809i,-0.0028573-0.00335i,-0.0063062-0.0017882i,-0.0062141-0.0028448i,9.8083e-06-0.0045841i,0.0006279-0.006533i,0.025044+0.015547i,-0.00015187-0.0082557i,0.00045437-0.0031079i,0.0022061-0.008521i,-0.0069859+0.00256i,0.001176+0.0021448i,0.0026694-0.0065759i,0.0053858+0.00090767i,-0.0020582+0.0073989i,0.01945-0.0063943i,0.035673+0.008029i,-0.018562-0.084377i,-0.037564-0.038045i,-0.011942-0.042916i,-0.011789-0.029416i,0.041115-0.10062i,-0.017291-0.10443i,0.047785-0.072704i,0.0023462-0.065837i,0.0068118-0.0056242i,0.0015006-0.0068012i,-0.016003-0.03305i,0.0016267-0.0097241i,-0.012384-0.0083194i,-0.011115-0.013483i,-0.048028-0.0060939i,0.010813+0.022177i,-0.0083704-0.010135i,-0.0064221+0.0063432i,-0.0042111+0.0040204i,-0.019724-0.0045269i,0.0040814+0.013385i,0.01494-0.0041875i,0.024497+0.0087135i,0.0055804-0.0032653i,-0.0053675+0.0010771i,-0.006651+0.0015265i,-0.0076899+0.017543i,-0.0045155+0.00034225i,-0.025748+0.034414i,-0.0081059-0.0021663i,-0.0040803+0.0098528i,-0.0027828+0.012914i,-0.0052026-0.0023657i,-0.0027786+0.0061238i,0.0013564-0.0013725i,0.0021765+0.0025858i,0.00017578-0.0034928i,-0.0030938+0.0055627i,0.00039421-0.00032298i,-0.0052651+0.01855i,-0.0010435-0.0039721i,-0.018146+0.016608i,-0.022165+0.023557i,-0.0079086-0.081111i,0.0034749-0.01565i,-0.045857+0.012664i,-0.030237-0.0077082i,0.014247-0.0080593i,-0.0019366+0.015813i,-0.022196-0.0067448i
-0.024433-0.033284i,-0.023748-0.047125i,-0.047604-0.046845i,-0.02805-0.0011107i,-0.011003-0.009778i,-0.052235+0.0085605i,-0.063097+0.018277i,-0.060057-0.041279i,-0.037955-0.013644i,0.0093705+0.0116i,0.0047631+0.01609i,0.0096571+0.0090355i,0.0048513-0.0098622i,0.00064185+0.01226i,0.0034725+0.00082982i,0.012482+0.0089023i,0.04012-0.014315i,0.0054443-0.0043565i,-0.0024983+0.010649i,0.0028785-0.0053282i,0.0044311+0.0042153i,0.005632+0.0029684i,0.00072882+0.0017095i,0.020125+0.019658i,-0.0033943+0.00067107i,0.0016923-0.0037298i,0.0010514-0.002927i,0.0035122-0.00013892i,-0.00026647-0.00077691i,-0.0041328-0.00041247i,-0.0034193-0.0023751i,-0.0061648+0.00031665i,-0.0058701+0.00024028i,-0.0024133-0.0042645i,-0.0019272-0.0052646i,0.026338+0.0089932i,-0.003101-0.0075211i,-0.0013174-0.0033134i,-0.0012656-0.007782i,-0.0032372+0.00051846i,0.0014205+0.0014514i,-0.0010624-0.0050644i,0.0061159-0.0005063i,-0.0011089+0.0062242i,0.020375-0.019485i,0.04412-0.0080576i,-0.02722-0.076885i,-0.038069-0.02763i,-0.015113-0.046937i,-0.01167-0.029767i,0.0053267-0.12026i,-0.042466-0.09704i,0.030228-0.090558i,-0.0097674-0.061584i,0.007571-0.0038229i,-0.003618-0.0074532i,-0.025323-0.022511i,-0.0055616-0.013407i,-0.015239-0.0064239i,-0.021145-0.0087561i,-0.046164+0.013336i,0.015814+0.011345i,-0.012697-0.0055472i,-0.0048906+0.0064135i,-0.0031254+0.0063588i,-0.021034+0.0062819i,0.0047836+0.0083839i,0.014178-0.010779i,0.026586-0.0041791i,0.0041707-0.0072108i,-0.007643+0.0041446i,-0.0047927+0.0053863i,0.00079861+0.019597i,-0.004107+0.0036811i,-0.017373+0.04377i,-0.0095972-0.00058437i,0.00047112+0.0077776i,0.0043456+0.011753i,-0.0067871+0.0010563i,-0.0025467+0.0032181i,0.0002551-0.0027345i,0.0012692+0.0040731i,-0.003945-0.0034912i,-0.0023956+0.0017352i,-0.0027522+0.0019649i,0.0018009+0.020765i,-0.0035766-0.0023187i,-0.0097474+0.019311i,-0.016109+0.026242i,-0.019817-0.078638i,0.0072304-0.021279i,-0.036708+0.026913i,-0.033145+0.0021522i,0.008695-0.012733i,-0.00027936+0.0085014i,-0.02165-0.005412i
-0.025938-0.03049i,-0.030536-0.045462i,-0.060695-0.037239i,-0.025779-0.00073833i,-0.021291-0.011482i,-0.046352+0.018965i,-0.045803+0.02264i,-0.061668-0.031206i,-0.035991-0.0099967i,0.010783+0.0094943i,0.0071782+0.012613i,0.011511+0.0038636i,-0.0018772-0.0109i,0.0069826+0.0094928i,0.0023415-6.5101e-05i,0.011164+0.0070813i,0.023041-0.023776i,0.0049739-0.0055775i,0.004298+0.011063i,0.00064957-0.0048502i,0.0067164+0.0015717i,0.005587+0.00054295i,0.0021471+0.0022529i,0.027507+0.0030746i,-0.0012445+0.0023817i,7.2513e-05-0.0038254i,-0.00074165-0.00085376i,0.0044603-0.0016014i,-0.00015504-0.0010591i,-0.0029413+0.0027753i,-0.0028532-0.0015812i,-0.0058619+0.0018576i,-0.0057446+0.0021865i,-0.0040801-0.0017799i,-0.0025587-0.0037357i,0.028502+0.00072742i,-0.0057395-0.0058013i,-0.0032421-0.0028516i,-0.0040055-0.0072623i,-0.0059564-0.0022435i,0.0022567+0.0013016i,-0.0024865-0.0024017i,0.0056049-0.002363i,-0.00027418+0.006155i,0.011709-0.029757i,0.036934-0.029752i,-0.029006-0.070664i,-0.037508-0.019523i,-0.02053-0.047749i,-0.010581-0.034213i,-0.034756-0.11562i,-0.064149-0.082136i,0.010636-0.096487i,-0.013202-0.047709i,0.013665+0.00057213i,-0.0073197-0.0049996i,-0.02641-0.0082173i,-0.011671-0.012919i,-0.020863-0.0018511i,-0.021076+0.00087505i,-0.038846+0.030624i,0.014786+0.003117i,-0.011029+0.0022308i,-0.0058101+0.0064994i,0.0015282+0.0086496i,-0.01489+0.014674i,0.0063443+0.0095752i,0.010154-0.021903i,0.017118-0.021153i,-0.0031543-0.010704i,-0.0076011+0.0095514i,-0.0029633+0.0064703i,0.0086673+0.017035i,-0.0015311+0.0060637i,0.00060124+0.055838i,-0.011474+0.0024595i,0.0010126+0.0066954i,0.0086453+0.006632i,-0.0055302+0.0073588i,-0.0033338+0.0046699i,-0.003005-0.0031171i,0.0041424+0.0051602i,-0.0057031+0.0031161i,-0.0051263+0.0010781i,-0.00092514+0.0070803i,0.0089025+0.01747i,-0.0048178-0.0016586i,-0.0034569+0.017019i,-0.0075173+0.029275i,-0.025723-0.070761i,8.2049e-05-0.035236i,-0.016275+0.032107i,-0.028156+0.0098829i,0.0069308-0.0189i,0.00024322+0.0024318i,-0.021795-0.00042641i
-0.028098-0.028734i,-0.041596-0.04553i,-0.071464-0.022919i,-0.025372+0.0014761i,-0.03027-0.0040132i,-0.038827+0.025301i,-0.034802+0.020522i,-0.063123-0.023298i,-0.038206-0.0066073i,0.01376+0.0061394i,0.011055+0.011037i,0.0078856-0.0019386i,-0.0088849-0.0074871i,0.010272+0.0024112i,0.0014387-0.0004294i,0.01076+0.0064169i,0.0084994-0.02302i,0.0025973-0.0077687i,0.0084099+0.0060268i,-0.0011078-0.0034034i,0.0064644-0.0018743i,0.0061026+0.00030076i,0.0036652+0.0011156i,0.022855-0.011118i,0.0023567+0.0016891i,-0.00058901-0.0027459i,0.00045294-0.0016909i,0.0040314-0.0042063i,-0.00012732-0.00044466i,-0.00046624+0.0032759i,-0.0032298-0.0013082i,-0.0045404+0.0036319i,-0.0038508+0.0040417i,-0.0034266+0.00020238i,-0.0038905-0.0039844i,0.025667-0.009532i,-0.0064354-0.0023617i,-0.0041473-0.0011817i,-0.0071832-0.0044176i,-0.010951+0.00067358i,0.0022995+0.00026932i,-0.0013483-0.0014505i,0.0046797-0.0042487i,0.00098651+0.0041128i,0.00047682-0.033376i,0.021445-0.035415i,-0.034863-0.072839i,-0.030474-0.012242i,-0.024975-0.046522i,-0.019841-0.041001i,-0.062084-0.099773i,-0.072972-0.057904i,-0.013617-0.099243i,-0.0073882-0.043082i,0.021213-0.012585i,-0.0087619-0.0010241i,-0.021216-0.0027472i,-0.021304-0.0089588i,-0.019093+0.0094741i,-0.019043+0.0059883i,-0.020036+0.041568i,0.013175-0.0021137i,-0.0091593+0.0028852i,-0.0023755+0.0068291i,0.0041263+0.00508i,-0.0069359+0.019701i,0.010995+0.0068478i,-0.0056455-0.026971i,-0.0022452-0.024593i,-0.0068786-0.0034594i,-0.0028379+0.013485i,0.0010194+0.0061903i,0.015253+0.0094061i,0.0013346+0.0055334i,0.026828+0.050921i,-0.0078143+0.0074875i,0.0021242+0.0052625i,0.0089507+0.0015824i,0.00014994+0.0099282i,-0.0048662+0.0055363i,-0.0053292+0.001355i,0.0074847+0.0048186i,-0.0026441+0.0067202i,-0.0069329+0.0038331i,0.0028457+0.007042i,0.012741+0.011912i,-0.005323+0.0013772i,0.0025075+0.013892i,0.0016027+0.027027i,-0.031146-0.069821i,-0.018813-0.038207i,-0.001294+0.023488i,-0.024538+0.012451i,-0.0021294-0.02615i,-0.0031709-0.0016445i,-0.014877+0.0017906i
-0.031101-0.027042i,-0.05404-0.03693i,-0.076373-0.005162i,-0.021924+0.0042893i,-0.030359+0.0070978i,-0.032723+0.029532i,-0.029381+0.017369i,-0.064749-0.015256i,-0.03875+0.0015621i,0.014657+0.0016381i,0.01504+0.0039624i,0.0022705-0.0020789i,-0.011537-0.00065245i,0.0063113-0.0022565i,0.00032811-0.00075726i,0.013104+0.0041205i,-0.00030945-0.017194i,-0.0015207-0.0076212i,0.0071504+0.0018054i,-0.0015252-0.0022457i,0.0035897-0.0034166i,0.0061853-0.0019722i,0.0035253-0.00051809i,0.013477-0.018844i,0.0022754-0.0013691i,-0.00041105-0.0028133i,0.00030133-0.0023973i,0.0016337-0.0050332i,0.0013121-0.00017826i,0.00025567+0.0025461i,-0.00381-0.0008085i,-0.0025773+0.0046112i,-0.0019985+0.0049369i,-0.00268+0.00062685i,-0.0057077-0.0008159i,0.018912-0.016723i,-0.0051739-0.00020455i,-0.0036412+0.00085987i,-0.0065769-0.0016073i,-0.010602+0.0069107i,0.0019466-0.00014385i,-0.00097723-0.00093373i,0.0025069-0.0053749i,2.7737e-05+0.0020967i,-0.0093513-0.029141i,0.016049-0.028575i,-0.045747-0.07353i,-0.023635-0.012685i,-0.03026-0.046013i,-0.030042-0.036201i,-0.085619-0.081598i,-0.069496-0.03917i,-0.041992-0.088401i,-0.0044158-0.04736i,0.017095-0.025154i,-0.0074719+0.0019976i,-0.017077+0.001408i,-0.027614+0.0028355i,-0.012708+0.0147i,-0.014476+0.011978i,0.0012168+0.040214i,0.0098649-0.0080626i,-0.0093809+0.0050282i,-0.0010018+0.004952i,0.0057661+0.0032226i,0.0026156+0.017353i,0.011538-0.0002729i,-0.020498-0.017641i,-0.015676-0.014527i,-0.0037329+0.001121i,0.0044711+0.013241i,0.0029834+0.0048363i,0.018126+0.0019777i,0.0049739+0.0050608i,0.04484+0.034279i,-0.0041487+0.00735i,0.0018468+0.0051705i,0.0073977-0.0033655i,0.0057549+0.0069651i,-0.0046303+0.012083i,-0.0033101+0.006459i,0.010588+0.00034559i,0.0028807+0.0071228i,-0.0064555+0.0074641i,0.0049433+0.0044375i,0.013965+0.0065152i,-0.0047606+0.0023059i,0.004602+0.0089321i,0.006999+0.022328i,-0.038412-0.066612i,-0.032558-0.024826i,0.0044318+0.010618i,-0.013977+0.01881i,-0.013918-0.027532i,-0.010601-0.0023285i,-0.014251-0.0040064i
-0.03548-0.023927i,-0.060003-0.02371i,-0.0743+0.013364i,-0.019305+0.0040692i,-0.026128+0.014491i,-0.026267+0.033537i,-0.026562+0.014278i,-0.066502-0.0075005i,-0.033856+0.009055i,0.013478-0.0033153i,0.011464-0.0028538i,0.0012836+0.00073101i,-0.010173+0.0054807i,0.0031541-0.0033522i,-0.00085796-6.0254e-05i,0.013827-0.00051523i,-0.0021111-0.010936i,-0.0043023-0.0055621i,0.0063367+0.00043572i,-0.0018026-0.00094956i,0.0025648-0.0023979i,0.0048281-0.0037111i,0.0031682-0.0011905i,0.0048564-0.019736i,0.00070176-0.0034236i,-0.0012253-0.0037752i,-0.00033058-0.0025354i,-0.00038959-0.0048809i,0.001351-0.0014039i,0.0013509+0.0026339i,-0.0039068-0.00031582i,-0.00040322+0.0047344i,-0.00022264+0.004088i,-0.0024875+0.0018713i,-0.0041797+0.00038868i,0.0099288-0.020738i,-0.0037417+0.00039866i,-0.0021784+0.0019901i,-0.0080133+6.1466e-05i,-0.0070935+0.010841i,0.0020039-0.00032115i,-0.00129-0.00062117i,0.00097498-0.0055053i,-0.0028277+0.0025151i,-0.014872-0.02301i,0.023596-0.026378i,-0.060309-0.069711i,-0.020972-0.015984i,-0.03555-0.041844i,-0.035158-0.030498i,-0.10256-0.053608i,-0.066977-0.030931i,-0.053224-0.061902i,-0.0071748-0.05068i,0.0067406-0.034378i,-0.006167+0.0031621i,-0.014125-5.8778e-05i,-0.022169+0.016829i,-0.0057416+0.016491i,-0.0041915+0.012666i,0.012319+0.027966i,0.0044272-0.010327i,-0.0079218+0.0081406i,-0.0014406+0.004531i,0.005701-0.00060244i,0.0069642+0.013212i,0.0062961-0.0032501i,-0.026463-0.0027129i,-0.018932-0.0033915i,-0.0004163+0.0010966i,0.0076678+0.010906i,0.0028546+0.0034781i,0.015383-0.009569i,0.0063373+0.00024804i,0.053404+0.012789i,-0.0035574+0.008893i,0.0044165+0.0040429i,0.0024481-0.0058672i,0.006613+0.0033147i,0.0021501+0.015754i,0.0034516+0.0058197i,0.008311-0.0046985i,0.0065534+0.0028549i,-0.0035758+0.012479i,0.004219+0.0036283i,0.012925+0.0023424i,-0.0058832+0.0036359i,0.0019401+0.0063833i,0.010051+0.018839i,-0.045303-0.062365i,-0.033507-0.0094124i,0.0016787+0.0011153i,-0.0043866+0.01248i,-0.02539-0.022239i,-0.014301+0.006985i,-0.019862-0.0025479i
-0.039476-0.018954i,-0.060671-0.013197i,-0.06735+0.029257i,-0.020371+0.0035627i,-0.019712+0.01964i,-0.019035+0.036522i,-0.026863+0.012266i,-0.06798+0.0023417i,-0.028967+0.011965i,0.010521-0.0067614i,0.0062937-0.0039211i,0.0017743+0.0014294i,-0.0053584+0.0088466i,0.00054227-0.0036644i,-0.0005779+0.0012083i,0.010892-0.0052239i,-0.0019662-0.0098895i,-0.0048588-0.0022048i,0.0063114-0.0016163i,-0.00097383+0.00043797i,0.0032406-0.002723i,0.0031822-0.0036929i,0.0030071-0.0016553i,-0.0021521-0.018292i,-0.00098359-0.0033877i,-0.0030812-0.0030559i,-0.0013675-0.0027541i,-0.0023078-0.004389i,0.00099041-0.002091i,0.0025737+0.0014249i,-0.0044341+0.00051959i,0.0013722+0.0038125i,0.0010186+0.0032442i,-0.001202+0.0026523i,-0.0044994+0.0012637i,0.00090761-0.018445i,-0.0036604-0.00017027i,-0.0005819+0.0020749i,-0.0062418+0.0044102i,-0.0022867+0.01351i,0.0019442-0.00058044i,-0.00021784+0.00051237i,-0.00068502-0.005343i,-0.0026994+0.0064244i,-0.014537-0.016664i,0.034127-0.037897i,-0.075295-0.058641i,-0.022647-0.017875i,-0.03717-0.03859i,-0.040357-0.024623i,-0.10356-0.023947i,-0.066339-0.020079i,-0.048672-0.044846i,-0.010748-0.054752i,-0.0068705-0.036965i,-0.0042034+0.0045111i,-0.016276-0.0017376i,-0.011187+0.022731i,0.0001757+0.014284i,0.001598+0.005183i,0.014206+0.015527i,-0.001021-0.010429i,-0.0048279+0.01032i,-0.0015173+0.0054266i,0.0030206-0.0032044i,0.0095649+0.0082284i,0.0042011-0.0016276i,-0.022711+0.011381i,-0.015901+0.0066455i,0.00061879+0.00061255i,0.012326+0.0076778i,0.002887+0.0029785i,0.0059119-0.014662i,0.003597-0.0024618i,0.05056-0.0083575i,-0.00028002+0.010716i,0.0038538+0.0018562i,-0.0011558-0.0040812i,0.006229+0.0019452i,0.0098871+0.015056i,0.0047526+0.0016846i,0.005881-0.006369i,0.0055302-0.00023873i,0.0034294+0.014325i,0.0048825+0.0024455i,0.012746-0.0019275i,-0.0040708+0.0085942i,0.0028536+0.0061911i,0.01313+0.015561i,-0.052897-0.058327i,-0.028851-0.00070846i,-0.0019814-0.002056i,-0.004266+0.0047926i,-0.033461-0.013497i,-0.0083165+0.010381i,-0.019712+0.00096536i
-0.041757-0.012997i,-0.059528-0.0041293i,-0.055976+0.041598i,-0.021082+0.0067694i,-0.011609+0.021223i,-0.011695+0.037658i,-0.027718+0.013226i,-0.066929+0.0134i,-0.025687+0.014282i,0.0073668-0.0090588i,0.0038949-0.0027686i,0.0030896+0.00128i,-0.0013855+0.0094175i,-0.002555-0.002011i,-0.00029345+0.0013481i,0.006683-0.007155i,-0.0053187-0.011155i,-0.0043325-0.00064889i,0.0048184-0.0033931i,4.7521e-05+0.00063555i,0.0030163-0.0040177i,0.0028544-0.003266i,0.0025795-0.0024286i,-0.0077454-0.015712i,-0.0022412-0.0025958i,-0.003814-0.0013838i,-0.0027966-0.0019698i,-0.0034723-0.0032028i,0.00037879-0.0025881i,0.0022194-0.00052925i,-0.0046651+0.0022928i,0.0018613+0.0027297i,0.0017625+0.0024608i,0.0005327+0.0022049i,-0.0037086+0.0023293i,-0.0034556-0.013607i,-0.0037629+0.00035488i,0.00045321+0.001152i,-0.0028405+0.0049327i,0.0047366+0.013317i,0.0018302-0.00090067i,0.00057158+0.00033762i,-0.0022597-0.005091i,0.00047834+0.0062854i,-0.011242-0.015146i,0.031574-0.05994i,-0.084925-0.041575i,-0.022798-0.018208i,-0.039614-0.039935i,-0.043506-0.016544i,-0.098402-0.0025524i,-0.063252-0.011218i,-0.044822-0.034749i,-0.017867-0.05727i,-0.020684-0.034916i,-0.0025784+0.0041426i,-0.022751+0.00029482i,-0.0012214+0.021151i,0.0034557+0.010356i,0.00079743-0.0012854i,0.011337+0.0087971i,-0.0061319-0.0097271i,-0.0012587+0.011322i,-0.00022652+0.0063865i,0.00014585-0.0031822i,0.008539+0.0033669i,0.0041984-0.00090222i,-0.013461+0.018413i,-0.0093291+0.012928i,0.0022808-0.00045471i,0.01519+0.00021003i,0.0027293+0.0031918i,-0.0022529-0.012791i,0.0011118-0.0026205i,0.040233-0.024256i,0.0043483+0.011193i,0.0030368+0.0020566i,-0.0035325-0.0017045i,0.006429-0.0012762i,0.016479+0.010172i,0.0036465-0.0012i,0.0027312-0.0083963i,0.0041152-0.0025039i,0.0091253+0.011398i,0.005093+0.0021735i,0.0086501-0.0064798i,0.0010114+0.0099965i,0.0039098+0.0042535i,0.01689+0.011349i,-0.061668-0.050721i,-0.023843+0.0061095i,-0.0039153-0.0034454i,-0.0075855+0.0028423i,-0.037154-0.0027332i,-0.0054663+0.0087438i,-0.01798+0.0035415i
