-0.0077643-0.039872i,-0.012942-0.042179i,0.00040455-0.045955i,-0.02772-0.027574i,-0.020192+0.014056i,-0.033004-0.030787i,-0.060139-0.059262i,-0.022287-0.072086i,-0.033013-0.051086i,0.0024441+0.014759i,-0.0066762+0.010688i,-0.014535+0.012878i,0.001556+0.01579i,-0.0034929-0.0035583i,0.00086128+0.0060662i,0.00046684+0.037438i,0.019058+0.059929i,0.00052248-0.00039955i,-0.0044297-0.0084396i,0.0079588+0.0046205i,0.0016166+0.00080766i,-0.00066856+0.0038323i,0.0001101-0.0012422i,-0.03589-0.0091651i,-0.0024043-0.0075726i,1.3285e-05+0.0044196i,0.0046438-0.00022832i,-0.00013932+0.00052426i,4.6711e-05-0.00088253i,-9.7448e-06-0.0025013i,-0.00098383-0.006174i,-0.0025019-0.0036134i,4.7587e-05-0.0076607i,0.0032879-0.0013909i,0.003342-0.002212i,-0.00059977+0.033003i,0.0059949-0.0039486i,0.0036188-0.0025784i,0.0050302-5.1365e-05i,-0.013165-0.0039373i,-0.00016556+8.4979e-05i,0.0094235-0.00077992i,0.0057391-0.0012282i,-0.0034428+0.0030717i,0.0035173+0.002953i,-0.0026075+0.0080349i,0.012079-0.087788i,-0.0072076-0.049627i,-0.025383-0.040233i,-0.020748-0.041274i,0.061971-0.017951i,0.026401-0.062279i,0.038697-0.045476i,0.028821-0.057002i,0.019121-0.015594i,0.0084022+0.0097077i,0.024498-0.032523i,-0.0077429-0.0045205i,0.0023593-0.0026422i,-0.0045849-0.006587i,0.00066278-0.03158i,-0.024011+0.031407i,0.0070699-0.01075i,-0.011232-0.0015286i,-0.0045092-0.00072027i,-0.0012232-0.013926i,-0.0097495+0.0041573i,0.0034235+0.0077362i,-0.010135+0.031668i,0.0066065+0.0072345i,-0.0055399-0.0014773i,-0.0019012-0.0023743i,-0.011686-0.0073964i,4.8666e-05-0.0038071i,-0.035095+0.0049658i,0.0032708-0.01276i,-0.0086131-0.0021363i,-0.0067573-0.0023719i,0.0065654+0.001345i,-0.010052+0.0016727i,0.0013773+0.00052178i,0.0058525+0.0086365i,0.0051391+0.00038329i,-0.0096224-0.010125i,0.0027005+0.0084212i,-0.01866+0.0064152i,0.006599+0.0022483i,-0.029812-0.008021i,-0.033163+0.0033283i,0.025065-0.080069i,0.012177-0.011266i,-0.043552-0.026837i,-0.023546-0.0032854i,0.018738+0.011762i,-0.026357+0.012233i,-0.011874-0.0083i
-0.015936-0.039087i,-0.018534-0.035515i,-0.0068455-0.049384i,-0.030337-0.023679i,-0.010675+0.011684i,-0.040527-0.023348i,-0.068325-0.045586i,-0.031917-0.069987i,-0.038828-0.040786i,0.0034067+0.013093i,-0.0057081+0.0086866i,-0.0072393+0.019144i,0.0096968+0.011777i,-0.008022-0.00051164i,0.0016585+0.0054147i,0.0094577+0.031169i,0.034172+0.044074i,0.0020142+0.0023603i,-0.0080267-0.0033864i,0.0085834+0.00071022i,0.00046874+0.0017908i,-0.00081768+0.003826i,-0.00047179+5.6205e-05i,-0.024979+0.011403i,-0.0048246-0.0053031i,0.0032256+0.0025926i,0.0029833-0.00041075i,4.8678e-05+0.0028001i,0.0014361-0.0012295i,-0.0012744-0.002549i,-0.0015551-0.0051342i,-0.0025964-0.0030113i,-0.0020115-0.0074522i,0.0021963-0.0032698i,0.0022408-0.0018135i,0.0098629+0.029602i,0.0050663-0.0060759i,0.0018311-0.0034035i,0.0067611-0.0020351i,-0.0089734-0.00057894i,-0.00031087+0.0016881i,0.0073323-0.0023932i,0.0037781-0.00077677i,-0.0050968+0.0041666i,0.010527+0.00088765i,0.0091255+0.0097268i,-0.0034664-0.089303i,-0.021769-0.051121i,-0.019239-0.033406i,-0.020605-0.027789i,0.064814-0.045932i,0.024278-0.082302i,0.041628-0.046979i,0.019607-0.065553i,0.0087009-0.0097919i,0.0077659+0.00023044i,0.010846-0.035129i,-0.0067346+0.0013145i,0.00036374-0.011318i,-0.0063934-0.0068796i,-0.022599-0.032404i,-0.0088119+0.030239i,0.0012989-0.012774i,-0.011333+0.0021101i,-0.0034809+0.00012408i,-0.0077244-0.012979i,-0.010754+0.0084583i,0.0072169+0.0086293i,0.0088018+0.028951i,0.008067+0.0018578i,-0.0045971+0.0019082i,-0.0044105-0.0014346i,-0.015635+0.0016634i,-0.00012999-0.003106i,-0.038569+0.012543i,-0.0039742-0.011238i,-0.0094636+0.0021093i,-0.0077802+0.0009276i,0.003793-0.0044863i,-0.0081883+0.0045729i,0.0021598-0.00080737i,0.0050064+0.0030988i,0.0035695-0.0010124i,-0.013941-0.0015209i,0.0042699+0.0055449i,-0.01317+0.01281i,0.0053971-0.0019525i,-0.029402+0.0031043i,-0.031888+0.01239i,0.0097307-0.082048i,0.0081087-0.017017i,-0.050149-0.013434i,-0.01715-0.0059026i,0.019289+0.0047016i,-0.019951+0.019096i,-0.018645-0.01311i
-0.021605-0.035109i,-0.02011-0.034753i,-0.01534-0.051858i,-0.032533-0.018173i,-0.0043305+0.0053816i,-0.045508-0.014654i,-0.078093-0.029776i,-0.046942-0.066021i,-0.043018-0.034178i,0.0055246+0.011752i,-0.0056797+0.011676i,0.0021148+0.018061i,0.012743+0.0039155i,-0.0085643+0.0037806i,0.0029193+0.0052325i,0.015417+0.02349i,0.044472+0.029911i,0.0054501+0.001745i,-0.0071176+0.0014377i,0.0076783-0.0022098i,0.00043342+0.0025826i,0.00041418+0.0059883i,-4.9103e-05+0.00064117i,-0.011696+0.019181i,-0.0048582-0.0024827i,0.0044245-0.00021009i,0.0030195-0.00090225i,0.0027979+0.0031545i,-0.00010298-0.0023718i,-0.0018113-0.0022574i,-0.0026485-0.004598i,-0.0033535-0.0022835i,-0.0046852-0.0067863i,0.00091355-0.0043921i,0.003835-0.0043139i,0.01858+0.022257i,0.0025599-0.0074676i,0.00086519-0.0035778i,0.0063629-0.0067926i,-0.0085175+0.00042986i,0.00050711+0.0025963i,0.0055605-0.0043062i,0.0048603-0.00020692i,-0.0041068+0.006622i,0.015376-0.0068132i,0.019999+0.0045614i,-0.018163-0.087672i,-0.033791-0.042671i,-0.011436-0.036651i,-0.013177-0.027366i,0.057459-0.071573i,0.0044313-0.10134i,0.047102-0.055162i,0.008102-0.067577i,0.0076942-0.0074417i,0.0047938-0.0031416i,0.00011523-0.036778i,0.0029149+0.00033987i,-0.0096907-0.013051i,-0.006232-0.0082061i,-0.04067-0.020877i,-0.0002856+0.027509i,-0.0046552-0.011722i,-0.0094002+0.0048476i,-0.0052012+0.0013141i,-0.014719-0.0099737i,-0.005544+0.015442i,0.013674+0.0041957i,0.020124+0.018197i,0.0071839-0.00074274i,-0.0034914+0.0016464i,-0.0051861-1.3217e-06i,-0.012581+0.010485i,-0.0030713-0.0031248i,-0.032408+0.025094i,-0.0070219-0.0061112i,-0.0076319+0.0068859i,-0.0081717+0.0067262i,-0.0013684-0.0052712i,-0.006352+0.0059472i,0.0018654-0.0021274i,0.0026979+0.0022358i,0.0026057-0.0021477i,-0.0090538+0.0056732i,0.0044146+0.0026999i,-0.0082252+0.014948i,0.0019916-0.0046889i,-0.025191+0.011831i,-0.025721+0.021i,-0.00092421-0.080746i,0.0011712-0.018431i,-0.049946-0.00035622i,-0.021845-0.01195i,0.01741-0.0037127i,-0.0095399+0.019732i,-0.022215-0.0094396i
-0.025395-0.030813i,-0.024909-0.036164i,-0.024853-0.053914i,-0.031359-0.012483i,-0.0027401-0.0034454i,-0.047328-0.0040624i,-0.08095-0.0031153i,-0.062075-0.051729i,-0.048509-0.024232i,0.0075393+0.010267i,-0.0012919+0.014335i,0.0065655+0.012791i,0.011521-0.003719i,-0.0072608+0.0093748i,0.0034129+0.003618i,0.016859+0.013971i,0.052129+0.0086578i,0.006713-0.0015715i,-0.006069+0.0052402i,0.0054093-0.0042221i,0.0018728+0.0038685i,0.0042026+0.0065169i,-0.00014486+0.00109i,0.0004133+0.024515i,-0.0041477-0.0011359i,0.0033589-0.0025086i,0.0029497-0.0013764i,0.0041724-0.00013577i,-0.00084689-0.00084707i,-0.0029865-0.0017782i,-0.0033986-0.0033512i,-0.0036909-0.0013881i,-0.0072159-0.0044408i,-0.0011829-0.0047949i,0.00040127-0.0067997i,0.020876+0.012299i,-0.00019355-0.0081699i,-0.00044667-0.003835i,0.0022445-0.0086021i,-0.005933+0.0041084i,0.0019641+0.0023597i,0.002783-0.0053067i,0.0048376-0.0020808i,-0.0016823+0.0069861i,0.018459-0.014056i,0.028212-0.0050039i,-0.031706-0.082283i,-0.037667-0.030943i,-0.012285-0.041665i,-0.012123-0.029761i,0.040572-0.099477i,-0.023846-0.10489i,0.045436-0.074616i,-0.0018967-0.067485i,0.0069742-0.0061193i,0.00087543-0.0062519i,-0.013359-0.033432i,0.0027172-0.0092893i,-0.013722-0.007343i,-0.011963-0.01155i,-0.048579+0.00011742i,0.010699+0.021706i,-0.0087743-0.0094879i,-0.0062781+0.0061129i,-0.0042528+0.0040882i,-0.019914-0.0025302i,0.0033727+0.014026i,0.016488-0.003042i,0.023954+0.0073931i,0.007266-0.0030656i,-0.0041529+0.0012072i,-0.0058804+0.0027296i,-0.0070924+0.017058i,-0.0047334+0.00026441i,-0.025774+0.033167i,-0.0074318-0.0029004i,-0.0026326+0.00943i,-0.0023665+0.01188i,-0.0056758-0.0023262i,-0.0024815+0.0054752i,0.0014604-0.0030069i,0.0018618+0.0022219i,-3.276e-06-0.003677i,-0.0034275+0.0053385i,0.0012049-0.00058529i,-0.0043778+0.017237i,-0.0023905-0.0036171i,-0.018167+0.018016i,-0.017439+0.024078i,-0.010365-0.080805i,0.00066489-0.015485i,-0.045378+0.013648i,-0.0295-0.0087529i,0.013737-0.0095968i,-0.001224+0.016026i,-0.021632-0.005156i
-0.027898-0.026353i,-0.032907-0.034251i,-0.038358-0.053706i,-0.029729-0.0090264i,-0.0084202-0.011713i,-0.045866+0.0061013i,-0.064823+0.016474i,-0.064546-0.034905i,-0.044941-0.014686i,0.0093969+0.0082958i,0.004045+0.012708i,0.0085302+0.00932i,0.0060087-0.0088707i,-0.00095389+0.012134i,0.0029959+0.0021436i,0.014359+0.0095441i,0.042885-0.016457i,0.0056756-0.0042452i,-0.0020037+0.010243i,0.0031989-0.004877i,0.0031419+0.0042216i,0.0060743+0.00328i,0.00023802+0.0022751i,0.018561+0.018636i,-0.0044973+0.00057568i,0.002053-0.003572i,0.0021513-0.0022072i,0.0038109-0.0006222i,-4.5298e-05-0.00023547i,-0.0040582+5.6737e-05i,-0.0041316-0.0022347i,-0.003721+3.4054e-05i,-0.0071891-0.00065276i,-0.003802-0.0039844i,-0.0026054-0.0057149i,0.021878+0.0071716i,-0.002702-0.0075265i,-0.0023938-0.0034324i,-0.00077364-0.0078853i,-0.0025236+0.00064294i,0.0023282+0.0015064i,-0.00036998-0.003852i,0.0047691-0.0025677i,-0.0004826+0.0057787i,0.017072-0.027866i,0.033135-0.020185i,-0.039909-0.073623i,-0.036544-0.021172i,-0.015943-0.045866i,-0.012237-0.030261i,0.0062469-0.11876i,-0.049334-0.096418i,0.027842-0.091376i,-0.014001-0.062339i,0.0074949-0.0043257i,-0.0038051-0.0062499i,-0.023614-0.023872i,-0.004606-0.013268i,-0.015339-0.0047223i,-0.021753-0.0068907i,-0.044483+0.01903i,0.01458+0.010745i,-0.012765-0.0048331i,-0.004078+0.0060983i,-0.003054+0.0068712i,-0.019755+0.0077749i,0.0047565+0.0087247i,0.015485-0.010738i,0.025687-0.0056064i,0.0053347-0.0074331i,-0.006438+0.0033963i,-0.0040197+0.006067i,0.0018166+0.018998i,-0.0047035+0.0041188i,-0.018217+0.042526i,-0.0089562-0.0012906i,0.0011323+0.0070999i,0.0043433+0.011294i,-0.0072759+0.0015814i,-0.0026398+0.0030305i,-0.00080817-0.0040929i,0.0010857+0.0038165i,-0.0042341-0.0031854i,-0.0026084+0.0025077i,-0.0025266+0.0012983i,0.0026499+0.018994i,-0.0042041-0.0014248i,-0.0091979+0.020934i,-0.011723+0.025027i,-0.02225-0.077574i,0.0052879-0.020089i,-0.036758+0.027046i,-0.032815+0.00072881i,0.008331-0.01372i,0.0013046+0.008445i,-0.021365-0.0044321i
-0.029176-0.022679i,-0.037689-0.030471i,-0.053796-0.047038i,-0.029205-0.0076066i,-0.019734-0.013064i,-0.040559+0.014818i,-0.048385+0.022033i,-0.062892-0.023571i,-0.042568-0.011323i,0.0099747+0.0061822i,0.0060296+0.010009i,0.010641+0.0047057i,-0.00057424-0.01068i,0.004856+0.0095148i,0.0022262+0.0017206i,0.013218+0.0074042i,0.024016-0.026689i,0.0049208-0.0058269i,0.0044108+0.010062i,0.0007713-0.0043651i,0.0054752+0.0025068i,0.0054147+0.00083275i,0.0023512+0.0028265i,0.025704+0.0032757i,-0.0025462+0.0027019i,0.0004194-0.0038824i,0.00064909-0.0010115i,0.0048162-0.0023085i,9.2005e-05-0.0012587i,-0.0028333+0.0029591i,-0.0037594-0.0011108i,-0.0038432+0.0010559i,-0.0069721+0.0019069i,-0.0051733-0.00088546i,-0.0034431-0.003978i,0.023714+0.00020747i,-0.0053759-0.0059326i,-0.0042352-0.00279i,-0.0035167-0.0076922i,-0.0053945-0.0021548i,0.003323+0.0010444i,-0.0012847-0.0016238i,0.003677-0.0042892i,0.00026323+0.0056804i,0.0068877-0.03748i,0.021929-0.039394i,-0.042111-0.0665i,-0.035213-0.014139i,-0.021592-0.045636i,-0.012026-0.034373i,-0.032681-0.11511i,-0.070696-0.080052i,0.0082182-0.096184i,-0.016859-0.04934i,0.01362-0.00042697i,-0.0063009-0.0037763i,-0.025097-0.0098189i,-0.010501-0.013015i,-0.019994-9.9456e-06i,-0.020906+0.0023255i,-0.034733+0.035175i,0.012675+0.0031883i,-0.0097821+0.0025421i,-0.0042076+0.0062219i,0.001636+0.0090429i,-0.01356+0.015535i,0.0061775+0.009859i,0.010928-0.02187i,0.014557-0.020992i,-0.0021157-0.011187i,-0.0066757+0.00783i,-0.0018875+0.007079i,0.0093742+0.016226i,-0.0010353+0.0069004i,-0.0007265+0.055168i,-0.011871+0.0020348i,0.001419+0.0063974i,0.0086246+0.0056157i,-0.0057031+0.0078927i,-0.0031452+0.0049555i,-0.0045083-0.0032874i,0.0039613+0.0050307i,-0.0054605+0.0035953i,-0.0049514+0.002463i,-0.00047801+0.0069956i,0.0087445+0.015183i,-0.0050753-0.00051573i,-0.0024495+0.017764i,-0.0039304+0.026775i,-0.026879-0.068662i,-0.0024362-0.034013i,-0.015942+0.032092i,-0.029606+0.008464i,0.0063565-0.019441i,0.00068846+0.0021718i,-0.021264+0.00059739i
-0.029955-0.019872i,-0.046112-0.028176i,-0.066943-0.034021i,-0.027985-0.0034388i,-0.028729-0.0049864i,-0.034084+0.020063i,-0.037033+0.021147i,-0.06119-0.016134i,-0.045886-0.0077585i,0.012192+0.0030137i,0.0090584+0.00903i,0.0084425-0.0013639i,-0.0081987-0.0075586i,0.0083534+0.003609i,0.002026+0.0012533i,0.012593+0.006384i,0.0075618-0.025384i,0.0022683-0.0083889i,0.0078413+0.0052904i,-0.00034066-0.0026735i,0.0058694-0.00068787i,0.0068512+0.0010882i,0.0040594+0.0012834i,0.021727-0.0099379i,0.0010639+0.0019909i,-0.00037958-0.0031019i,0.0015909-0.0022534i,0.0043719-0.0053819i,-0.00048853-0.0009639i,-0.00035642+0.0032906i,-0.0038177-0.00049215i,-0.0031302+0.002204i,-0.0050168+0.0045581i,-0.0037584+0.0014657i,-0.0044813-0.0037745i,0.021161-0.0083405i,-0.0062609-0.0028095i,-0.0047869-0.00077932i,-0.0068842-0.0047004i,-0.01014+0.0011326i,0.003413-0.00026937i,0.00020622-0.0016539i,0.0021058-0.0053035i,0.0016189+0.0039241i,-0.0058677-0.040304i,0.0043242-0.04149i,-0.048845-0.06613i,-0.027356-0.0082415i,-0.024977-0.043855i,-0.020296-0.040794i,-0.060308-0.1006i,-0.079127-0.054836i,-0.015491-0.09764i,-0.011808-0.045354i,0.020547-0.013791i,-0.0075108-0.00034854i,-0.021115-0.0056394i,-0.019688-0.0093748i,-0.018802+0.0095733i,-0.01805+0.0064843i,-0.014711+0.043959i,0.01103-0.001208i,-0.0081831+0.0019566i,-0.00081475+0.0054653i,0.004243+0.006345i,-0.0059489+0.019916i,0.011051+0.007421i,-0.0047027-0.027133i,-0.003782-0.022357i,-0.005962-0.0044558i,-0.0030652+0.011297i,0.0017821+0.0056746i,0.015543+0.0083784i,0.0027077+0.0053844i,0.025774+0.051588i,-0.0079886+0.0080114i,0.0031061+0.004662i,0.008364+0.0010023i,0.00038467+0.010296i,-0.0049727+0.0061373i,-0.0059624+0.00137i,0.0072275+0.0044041i,-0.0020298+0.0067749i,-0.0066424+0.0046318i,0.0028167+0.0072831i,0.011341+0.010161i,-0.0042038+0.0021419i,0.0025075+0.014728i,0.0042538+0.024238i,-0.030968-0.067782i,-0.022096-0.034882i,-0.001443+0.023523i,-0.026437+0.01402i,-0.0030854-0.026178i,-0.0031753-0.0020649i,-0.014051+0.0019231i
-0.031987-0.017506i,-0.054517-0.018267i,-0.075026-0.01732i,-0.026055-0.0025699i,-0.028693+0.0059385i,-0.029253+0.023534i,-0.030722+0.018852i,-0.060149-0.0099632i,-0.046866+0.0024375i,0.011923-0.00090448i,0.012519+0.0030323i,0.0027458-0.0020171i,-0.011114-0.00074116i,0.0055206-0.00075784i,0.0012328+0.00065375i,0.014942+0.003735i,-0.0025784-0.018398i,-0.0022647-0.0082814i,0.006977+0.0016143i,-0.00055715-0.0018282i,0.0034559-0.0023614i,0.0070996-0.0020284i,0.0037605-0.00031442i,0.013123-0.017559i,0.00086469-0.00046007i,-0.00063319-0.0031019i,0.00076739-0.0032743i,0.00113-0.0061571i,0.0011774-2.7685e-05i,0.00049846+0.0024478i,-0.0040179+6.3898e-05i,-0.0020268+0.0028184i,-0.0023807+0.0061147i,-0.0025632+0.0011773i,-0.0061181-0.00031327i,0.015351-0.014349i,-0.0051608-0.00052659i,-0.0036865+0.0013458i,-0.0058175-0.0016105i,-0.0090981+0.0068389i,0.0030006-0.00099663i,0.00023233-0.0017198i,-0.00012571-0.0052543i,0.00066617+0.0021718i,-0.016969-0.036057i,-0.0025696-0.031655i,-0.058802-0.063434i,-0.020595-0.010215i,-0.029272-0.042868i,-0.031554-0.036719i,-0.083611-0.082956i,-0.074081-0.034878i,-0.042627-0.085931i,-0.010941-0.048347i,0.016045-0.02578i,-0.0058206+0.0021062i,-0.020041-0.00010587i,-0.026496+0.0012216i,-0.011687+0.016334i,-0.01438+0.011724i,0.006288+0.039365i,0.008472-0.0065419i,-0.0090876+0.0038202i,-0.0011322+0.003973i,0.0067597+0.0042965i,0.0029823+0.017446i,0.012784-0.00078998i,-0.020103-0.018461i,-0.015128-0.012558i,-0.0047976+0.00018046i,0.0035565+0.011576i,0.0032871+0.0040699i,0.017664+0.0013423i,0.0053516+0.0047646i,0.044135+0.034813i,-0.0030024+0.0072948i,0.0026376+0.0041859i,0.0065898-0.0030753i,0.0058147+0.0070925i,-0.0036281+0.012284i,-0.0034096+0.0069047i,0.010096-0.00018309i,0.0032075+0.006551i,-0.0057797+0.0083704i,0.005579+0.004438i,0.012489+0.0056425i,-0.0036803+0.0023659i,0.0054561+0.010088i,0.0094323+0.018993i,-0.037135-0.065618i,-0.033451-0.020921i,0.0053055+0.011081i,-0.014506+0.020525i,-0.014217-0.025549i,-0.01075-0.0014965i,-0.014191-0.0038954i
-0.034401-0.013479i,-0.056331-0.0056771i,-0.076833+0.0020512i,-0.025882-0.0014578i,-0.023816+0.013026i,-0.02399+0.026801i,-0.027236+0.015946i,-0.061148-0.0048953i,-0.041107+0.011747i,0.0099814-0.0044517i,0.0093706-0.0027756i,0.001369+0.001159i,-0.0099213+0.0052319i,0.0028403-0.0025084i,0.00019007+0.0011137i,0.015528-0.0014221i,-0.004326-0.010659i,-0.0049355-0.0056339i,0.0056396+0.00035615i,-0.00054436-0.0010284i,0.002592-0.0012334i,0.0054257-0.0038227i,0.0035623-0.00094919i,0.0047879-0.018638i,-0.00042124-0.0013787i,-0.0014323-0.0037806i,-0.00045415-0.0035204i,-0.0012356-0.0055071i,0.001266-0.0015882i,0.001458+0.0020832i,-0.0038794+0.00047023i,-0.00078162+0.0031841i,0.00043067+0.0050202i,-0.0023131+0.0025433i,-0.0042338+0.00083365i,0.0079461-0.017273i,-0.0037148+0.00052105i,-0.0021083+0.002478i,-0.0068141-0.00065486i,-0.005409+0.010168i,0.0026706-0.0014504i,-0.00063194-0.0016927i,-0.0013254-0.0040304i,-0.0017879+0.0026861i,-0.024552-0.028619i,0.0032795-0.025896i,-0.071098-0.056652i,-0.018811-0.014117i,-0.033043-0.039915i,-0.037174-0.029162i,-0.1013-0.055734i,-0.070671-0.026228i,-0.052689-0.059941i,-0.013716-0.049842i,0.0056129-0.034698i,-0.0047535+0.0024071i,-0.016461+0.0011763i,-0.022188+0.014932i,-0.0036999+0.016499i,-0.003899+0.01369i,0.015797+0.026219i,0.0030515-0.0080296i,-0.0084478+0.0075814i,-0.0018914+0.0040337i,0.0065418-0.00036644i,0.0077811+0.013131i,0.0064846-0.0043171i,-0.02635-0.0041145i,-0.0171-0.0019638i,-0.0016943+0.0018942i,0.0065582+0.0097273i,0.0026426+0.0027015i,0.014693-0.0097142i,0.0065538-0.00039971i,0.052727+0.013216i,-0.002783+0.0078714i,0.0047142+0.0032325i,0.0020782-0.005342i,0.006951+0.0028336i,0.0026461+0.015387i,0.0033783+0.0060734i,0.007601-0.0041696i,0.0064073+0.0024657i,-0.0018769+0.011745i,0.0048209+0.0037161i,0.011897+0.0019198i,-0.0046869+0.0031534i,0.0037309+0.0068135i,0.011561+0.015031i,-0.04365-0.06257i,-0.032834-0.0072324i,0.0027654+0.0013759i,-0.0040855+0.014495i,-0.024965-0.020564i,-0.013439+0.0072412i,-0.019427-0.0017378i
-0.035759-0.0084198i,-0.054209+0.0040517i,-0.072372+0.019733i,-0.026873-0.00025036i,-0.017234+0.017143i,-0.018213+0.029321i,-0.027107+0.013721i,-0.063423+0.0034194i,-0.034579+0.015928i,0.007113-0.006578i,0.0049224-0.0040125i,0.0025022+0.0022354i,-0.0053678+0.0089414i,0.00016707-0.0030361i,0.0005714+0.0022199i,0.011812-0.0067661i,-0.0033706-0.0089224i,-0.0052166-0.0024566i,0.0056932-0.00090589i,0.00017884-0.00039066i,0.0037768-0.0013543i,0.0035056-0.0036908i,0.0035685-0.0017251i,-0.0021241-0.017255i,-0.0011034-0.0010645i,-0.003135-0.0030012i,-0.0017549-0.0033104i,-0.0027623-0.0047837i,0.00068714-0.0021779i,0.0024193+0.00082946i,-0.0042832+0.0012055i,0.00041535+0.0027357i,0.0018525+0.0034199i,-0.00071808+0.0031633i,-0.0042801+0.0018819i,0.00079596-0.015262i,-0.0034228+6.3293e-05i,-0.00038285+0.0024967i,-0.0061369+0.0034311i,-0.00092128+0.012314i,0.0024499-0.0018713i,-0.0003494-0.00081417i,-0.0018309-0.0037739i,-0.0011618+0.0059568i,-0.025171-0.02015i,0.011965-0.032876i,-0.082889-0.043676i,-0.020655-0.016333i,-0.034842-0.037415i,-0.041404-0.02239i,-0.10326-0.026513i,-0.069008-0.014472i,-0.047574-0.043804i,-0.016686-0.053065i,-0.0081704-0.037032i,-0.0034556+0.0032282i,-0.017081+0.0005088i,-0.011821+0.020734i,0.0014693+0.013191i,0.0031202+0.0061457i,0.0159+0.01322i,-0.0014105-0.007618i,-0.0053399+0.010684i,-0.0022552+0.0049564i,0.0039462-0.0033042i,0.0097514+0.0076274i,0.0040223-0.0021717i,-0.023263+0.010125i,-0.01381+0.0066788i,0.00026208+0.0016746i,0.010897+0.0071809i,0.0024105+0.0021278i,0.0053338-0.014504i,0.0032817-0.0031882i,0.050079-0.0075552i,-0.0001304+0.009598i,0.0036998+0.0013031i,-0.00114-0.0036733i,0.0060931+0.0011345i,0.010035+0.014817i,0.0047323+0.0022469i,0.0056195-0.0059332i,0.005264-0.0005314i,0.0038769+0.011896i,0.0058469+0.0021397i,0.011585-0.0021661i,-0.0030997+0.0069259i,0.0041549+0.0056166i,0.013946+0.011759i,-0.051729-0.059948i,-0.028653+0.00047358i,-0.00018369-0.0025574i,-0.0028311+0.0065182i,-0.032802-0.01139i,-0.0081881+0.0099191i,-0.018236+0.0018817i
-0.035434-0.0035864i,-0.050246+0.011911i,-0.06182+0.034347i,-0.027436+0.0032564i,-0.0096546+0.017448i,-0.01258+0.030298i,-0.028022+0.014696i,-0.06273+0.013954i,-0.029628+0.018914i,0.0041799-0.0077974i,0.0021524-0.003111i,0.0041907+0.0015265i,-0.0012726+0.0099531i,-0.0025547-0.0013793i,0.00099152+0.0022568i,0.0066939-0.0084435i,-0.0059183-0.010447i,-0.0046657-0.00066216i,0.0049351-0.0022454i,0.00089825-0.00060745i,0.0039317-0.0030414i,0.0034344-0.0031651i,0.0031264-0.0027221i,-0.0075844-0.014561i,-0.0016822-0.00060243i,-0.0038234-0.0014272i,-0.0033024-0.0021409i,-0.003985-0.0032991i,0.00018059-0.002534i,0.0020074-0.0010802i,-0.0042524+0.0028208i,0.00088308+0.0023217i,0.0021067+0.0021651i,0.0013852+0.0023117i,-0.0032453+0.0031868i,-0.0026775-0.011227i,-0.0033577+0.00054442i,0.00078302+0.0013178i,-0.0026299+0.0046698i,0.0052916+0.011868i,0.0019263-0.0024385i,9.5652e-05-0.00051379i,-0.0027576-0.0037728i,0.0017586+0.0056948i,-0.022957-0.016634i,0.010092-0.048285i,-0.089349-0.026176i,-0.021017-0.017208i,-0.037075-0.039352i,-0.043217-0.014164i,-0.099041-0.0050848i,-0.064341-0.0056424i,-0.043227-0.03488i,-0.023393-0.054849i,-0.02191-0.034385i,-0.0026491+0.0029556i,-0.022146+0.0022793i,-0.0027737+0.019693i,0.0038382+0.0087196i,0.0027413-0.00098601i,0.011786+0.0070285i,-0.0052133-0.0069548i,-0.0012788+0.011534i,-0.0016394+0.0059031i,0.00077558-0.0036901i,0.0080175+0.0029623i,0.0041489-0.0014895i,-0.014162+0.017507i,-0.0076536+0.011736i,0.0023008-0.00051767i,0.013825+0.00081276i,0.0021959+0.0024211i,-0.0026772-0.012458i,0.0007354-0.0033588i,0.040052-0.023603i,0.004333+0.010039i,0.0027645+0.0015744i,-0.0031938-0.0014674i,0.0060436-0.001974i,0.01648+0.010025i,0.0035789-0.00065841i,0.0025523-0.0078789i,0.0033907-0.0026743i,0.0085637+0.009142i,0.0057502+0.0013864i,0.0077726-0.0061344i,0.00062167+0.0078044i,0.0046177+0.0038018i,0.017269+0.0072493i,-0.061473-0.053112i,-0.023379+0.0077191i,-0.0033688-0.005695i,-0.0051055+0.0035078i,-0.03588-0.00052893i,-0.0056335+0.0086897i,-0.016171+0.0040832i
