-0.0098732-0.039153i,-0.012812-0.043058i,0.0011358-0.045218i,-0.02673-0.0271i,-0.020339+0.01453i,-0.03303-0.03055i,-0.06002-0.059711i,-0.023232-0.070489i,-0.042575-0.047208i,0.0013092+0.015882i,-0.0063639+0.010065i,-0.014418+0.014189i,0.00093+0.016123i,-0.0034072-0.0032282i,0.00054681+0.0065051i,0.00053672+0.037269i,0.017042+0.055291i,0.00067022-2.4651e-05i,-0.0053959-0.0082586i,0.0094382+0.0051127i,0.0013915+0.00082597i,-0.0021869+0.0030251i,-0.00017105-0.0011338i,-0.035057-0.010354i,-0.0028834-0.0066208i,-0.00051559+0.0044653i,0.0051356+0.00097712i,-1.0094e-05+0.00063758i,-1.7523e-05-0.00088803i,-0.00036663-0.0027089i,-0.0016361-0.0054106i,-0.0020194-0.0037592i,-0.0010205-0.0083122i,0.0029903-0.0010355i,0.0030914-0.0026894i,-0.0026869+0.032207i,0.0062102-0.003953i,0.0035394-0.0021565i,0.0049426+1.3257e-05i,-0.11676-0.080213i,-3.2303e-05+3.2105e-05i,0.011084-0.013049i,0.0070058-2.8519e-05i,-0.0031109+0.0035812i,0.0023729+0.0005945i,-0.002518+0.0071074i,0.01307-0.088172i,-0.0078417-0.049596i,-0.025467-0.040621i,-0.020297-0.041865i,0.061931-0.017693i,0.026183-0.061744i,0.03859-0.04656i,0.027615-0.056703i,0.019275-0.016144i,0.0083884+0.010084i,0.024432-0.031515i,-0.0082049-0.0059428i,0.0026584-0.0028089i,-0.00511-0.0061371i,0.00077501-0.03202i,-0.023325+0.03157i,0.0083828-0.010737i,-0.010535-0.0012881i,-0.0051471-0.00099065i,-0.00073903-0.013936i,-0.010287+0.0041896i,0.0035972+0.0076896i,-0.011838+0.032887i,0.0052864+0.0076022i,-0.0046863-0.00079059i,-0.0019794-0.0023061i,-0.011622-0.0069447i,0.00037079-0.0034909i,-0.034489+0.0070702i,0.002115-0.012889i,-0.0085318-0.00205i,-0.0061716-0.0025326i,0.0063133+0.0018541i,-0.0097211+0.0018225i,0.001419+0.00060527i,0.0052472+0.0090491i,0.0045851+0.00012901i,-0.0094759-0.0097111i,0.0028987+0.0086493i,-0.020913+0.0069431i,0.0063992+0.0026507i,-0.029804-0.0070926i,-0.032854+0.0034932i,0.030769-0.080361i,0.012235-0.010885i,-0.042783-0.026227i,-0.022969-0.0023318i,0.018094+0.011931i,-0.026867+0.012373i,-0.011996-0.0078003i
-0.017893-0.037554i,-0.019249-0.036783i,-0.0049462-0.050059i,-0.029076-0.023294i,-0.010825+0.012259i,-0.040195-0.023136i,-0.067778-0.045911i,-0.03249-0.067934i,-0.043673-0.038946i,0.0034259+0.014721i,-0.0057043+0.0080401i,-0.006456+0.019994i,0.009281+0.012331i,-0.00787-0.00029321i,0.0016079+0.005713i,0.009725+0.030942i,0.029241+0.042942i,0.0021065+0.0023281i,-0.0086007-0.0029047i,0.0083901+0.00054983i,0.00049624+0.0018457i,-0.0011105+0.0015607i,-0.0005185+0.00021283i,-0.025332+0.010147i,-0.0050847-0.004502i,0.0033995+0.0026826i,0.0033505-0.00037531i,0.00067635+0.0027983i,0.0011222-0.00097522i,-0.0016306-0.0025883i,-0.0014122-0.0039255i,-0.0027565-0.0035207i,-0.0037242-0.0075018i,0.0025633-0.0027921i,0.0018667-0.0019795i,0.0093027+0.029128i,0.0055092-0.0061778i,0.0018049-0.0031616i,0.0065905-0.0015997i,-0.013602-0.0014537i,-7.0186e-05+0.0012084i,0.0060442-0.0030711i,0.0046754+8.7663e-05i,-0.0043009+0.0046792i,0.0089489-0.00096697i,0.0088669+0.0091574i,-0.0026038-0.089765i,-0.022042-0.051153i,-0.0191-0.033946i,-0.020889-0.028261i,0.065038-0.045399i,0.023908-0.081212i,0.040807-0.047977i,0.018521-0.064057i,0.0085895-0.010689i,0.0078846+0.00054918i,0.011261-0.033299i,-0.0071207+0.00067887i,0.0002976-0.011724i,-0.0061595-0.0062752i,-0.022622-0.032966i,-0.0096004+0.029999i,0.0016557-0.013435i,-0.010968+0.0021662i,-0.004332+0.00064871i,-0.0078756-0.01346i,-0.010625+0.0089023i,0.0070187+0.0084222i,0.010211+0.031976i,0.0074772+0.0018383i,-0.0040972+0.0018539i,-0.0044001-0.0022i,-0.016408+0.0036351i,0.00029197-0.0029547i,-0.042284+0.009502i,-0.004948-0.01069i,-0.0094467+0.0017038i,-0.007803+0.00070522i,0.0045853-0.0039333i,-0.0084476+0.0050265i,0.0021596-0.0010983i,0.0052671+0.004053i,0.0029477-0.00061039i,-0.014105-0.0011506i,0.0040712+0.0053631i,-0.015746+0.014211i,0.0061558-0.0010098i,-0.028616+0.0038813i,-0.031538+0.012265i,0.013342-0.080654i,0.0083774-0.016785i,-0.049409-0.011571i,-0.016211-0.0057617i,0.018888+0.0049276i,-0.020704+0.01876i,-0.018067-0.01313i
-0.022991-0.033125i,-0.022106-0.035115i,-0.014319-0.054099i,-0.03004-0.01935i,-0.0043271+0.0059866i,-0.04512-0.014523i,-0.077705-0.029896i,-0.046761-0.064259i,-0.046427-0.033012i,0.0064881+0.012915i,-0.0056753+0.011121i,0.0029363+0.018613i,0.012564+0.0042907i,-0.0083981+0.0043643i,0.0028233+0.0055092i,0.01506+0.023241i,0.038924+0.031295i,0.0054077+0.0016773i,-0.007434+0.002162i,0.0082598-0.0023742i,0.00026434+0.0024719i,0.0013867+0.0055465i,-2.8125e-05+0.00068614i,-0.012355+0.018014i,-0.0050219-0.0021832i,0.0039799-0.00044773i,0.0030053-0.0013383i,0.0032913+0.0032138i,-1.3164e-05-0.0019377i,-0.0021223-0.0022256i,-0.0019025-0.003767i,-0.0039636-0.0025045i,-0.0054198-0.0052082i,0.0013496-0.004295i,0.0036404-0.0043243i,0.01817+0.022715i,0.002632-0.0079111i,0.00075058-0.0033299i,0.0066057-0.0063328i,-0.011495+0.0022612i,0.00049116+0.0019537i,0.0054364-0.0045466i,0.0059407+3.9887e-05i,-0.0032831+0.0065524i,0.013104-0.0085967i,0.019454+0.0041936i,-0.017498-0.087957i,-0.034063-0.04281i,-0.011431-0.037751i,-0.013699-0.026873i,0.058838-0.071391i,0.0049043-0.10021i,0.046086-0.055521i,0.0081234-0.06581i,0.0070476-0.0080902i,0.0051706-0.0030722i,-0.0022049-0.036631i,0.0027381-9.4365e-05i,-0.0094264-0.013455i,-0.0061437-0.0082163i,-0.04072-0.021845i,-0.00013291+0.028537i,-0.0045213-0.012083i,-0.0085722+0.0054285i,-0.0055869+0.0015551i,-0.014869-0.010472i,-0.005782+0.015267i,0.013222+0.0038452i,0.025398+0.018664i,0.0062813-0.00040383i,-0.0038834+0.0015132i,-0.0054811-0.00043364i,-0.013846+0.012967i,-0.0025227-0.0028954i,-0.030955+0.028043i,-0.0072124-0.0060472i,-0.0076726+0.0066978i,-0.0093352+0.0069661i,-0.00050722-0.0051384i,-0.0057636+0.006634i,0.0012772-0.0023201i,0.0027116+0.0028377i,0.0026873-0.0017933i,-0.0085988+0.0067926i,0.0035914+0.0029128i,-0.010642+0.014896i,0.00316-0.0046699i,-0.023991+0.011701i,-0.026773+0.021619i,0.00038822-0.07982i,0.0012565-0.018134i,-0.048874+0.00011215i,-0.021083-0.013161i,0.017631-0.0030149i,-0.009662+0.019478i,-0.021265-0.010127i
-0.026097-0.028588i,-0.026609-0.035322i,-0.025186-0.055862i,-0.034927-0.012398i,-0.0027811-0.0029826i,-0.046879-0.0039452i,-0.080868-0.0030727i,-0.060936-0.050202i,-0.051971-0.021498i,0.008422+0.010829i,-0.001077+0.013674i,0.0072758+0.013189i,0.011507-0.0033132i,-0.00604+0.0092784i,0.0033727+0.0039071i,0.016245+0.013701i,0.048246+0.011797i,0.0070445-0.0015812i,-0.0059777+0.0062315i,0.0052363-0.0043843i,0.0017936+0.0040099i,0.0052195+0.0071613i,-4.8937e-05+0.0010432i,-0.00041625+0.023346i,-0.0041555-0.0013762i,0.0029373-0.0023121i,0.0027122-0.0022117i,0.004032+9.6469e-05i,-0.00079722-0.0007504i,-0.0034715-0.0016784i,-0.0025043-0.0033565i,-0.0040637-0.0013937i,-0.0066727-0.0026438i,-0.00055437-0.0048973i,-0.000139-0.0067145i,0.021572+0.014105i,-0.00052409-0.0080245i,-0.0003002-0.003652i,0.0023731-0.0092879i,-0.0068381+0.0072091i,0.0015201+0.0016885i,0.0026106-0.0059979i,0.006248-0.0022199i,-0.00080073+0.0068273i,0.015499-0.014673i,0.027725-0.0051013i,-0.030974-0.083078i,-0.038249-0.031131i,-0.012915-0.042101i,-0.012013-0.029108i,0.042013-0.10025i,-0.023166-0.10412i,0.043924-0.075094i,-0.00065651-0.06585i,0.0061788-0.0066552i,0.00092035-0.0062633i,-0.013805-0.032412i,0.0026413-0.0092056i,-0.014141-0.0089244i,-0.011849-0.011078i,-0.048619-0.00011861i,0.011344+0.022747i,-0.0091352-0.010089i,-0.0055502+0.0061249i,-0.0047944+0.0042204i,-0.020565-0.0028327i,0.003037+0.013803i,0.016352-0.0032005i,0.046779+0.0037459i,0.007279-0.0027551i,-0.0048214+0.0014777i,-0.0059823+0.0027599i,-0.0080459+0.017494i,-0.0047165+0.00020814i,-0.021623+0.033617i,-0.0074813-0.0028908i,-0.0026467+0.00943i,-0.0037291+0.011491i,-0.0055675-0.0027244i,-0.00194+0.0052146i,0.00055048-0.0024878i,0.0016618+0.0024636i,0.00050555-0.0039311i,-0.0025933+0.0052381i,0.00061467+1.0532e-05i,-0.0078799+0.014995i,-0.001613-0.0037696i,-0.017066+0.017511i,-0.016946+0.024898i,-0.0096676-0.079776i,0.0013972-0.015123i,-0.044879+0.013611i,-0.029751-0.010579i,0.014817-0.0088626i,-0.00098929+0.015102i,-0.021554-0.0059539i
-0.028289-0.023861i,-0.033879-0.033444i,-0.039393-0.055029i,-0.029827-0.0091365i,-0.0083518-0.011009i,-0.045504+0.0059931i,-0.064665+0.016458i,-0.063335-0.034172i,-0.047013-0.012012i,0.010555+0.008874i,0.0038579+0.011764i,0.0094412+0.0096799i,0.0059785-0.0083391i,-0.00084408+0.011174i,0.003166+0.0023092i,0.013927+0.0096096i,0.040482-0.013504i,0.0060606-0.0050125i,-0.0014598+0.010886i,0.0030678-0.0047461i,0.0035843+0.0040573i,0.0059427+0.004427i,0.00019654+0.0021753i,0.011574+0.020036i,-0.0042032+1.6147e-05i,0.0020306-0.0032967i,0.0015289-0.0025708i,0.0025739-0.000418i,-0.00024804-3.3135e-06i,-0.0044875+0.00047866i,-0.0033982-0.0025724i,-0.003942-4.723e-05i,-0.0065507+0.00050204i,-0.0031989-0.0041293i,-0.0030545-0.005066i,0.022901+0.008948i,-0.0030011-0.0071519i,-0.0023399-0.0035948i,-0.0023628-0.0084974i,-0.0019323+0.0030723i,0.0015522+0.00096833i,-0.00057517-0.0049448i,0.0057541-0.0032956i,-2.9842e-06+0.0057689i,0.014474-0.026614i,0.032582-0.019935i,-0.039659-0.074337i,-0.037095-0.020963i,-0.016151-0.045845i,-0.01253-0.029858i,0.0072598-0.11961i,-0.048386-0.096439i,0.025929-0.091156i,-0.012334-0.06101i,0.006952-0.0042045i,-0.0036519-0.0061937i,-0.022314-0.02362i,-0.0043719-0.013198i,-0.016681-0.0060342i,-0.021232-0.0061042i,-0.044419+0.018208i,0.01535+0.010914i,-0.013495-0.0047774i,-0.0041846+0.0062852i,-0.0033636+0.0066922i,-0.020122+0.007612i,0.004407+0.008826i,0.01532-0.010679i,0.02396-0.0062275i,0.0056012-0.0077547i,-0.0065556+0.0033375i,-0.0036521+0.0065345i,0.0003641+0.019408i,-0.0045318+0.004159i,-0.014642+0.041904i,-0.0085277-0.0012435i,0.0014029+0.0073797i,0.0031911+0.011161i,-0.0067255+0.001685i,-0.0026835+0.0025892i,-0.00091035-0.0034225i,0.0014283+0.0036798i,-0.0033592-0.0043259i,-0.0018583+0.0020332i,-0.002551+0.0020629i,0.00046168+0.017624i,-0.003468-0.0020916i,-0.0085593+0.020046i,-0.010667+0.025482i,-0.021016-0.077857i,0.0061483-0.020352i,-0.037143+0.027429i,-0.032993-0.00098811i,0.0090389-0.013916i,0.00079258+0.0077688i,-0.021177-0.0044028i
-0.028539-0.020212i,-0.038571-0.029742i,-0.055213-0.048577i,-0.029276-0.0078507i,-0.019522-0.012637i,-0.040206+0.014681i,-0.048061+0.022127i,-0.062347-0.023158i,-0.044532-0.0084687i,0.011414+0.006375i,0.0054627+0.0094832i,0.011198+0.0042451i,-0.00043689-0.010323i,0.0040208+0.0095951i,0.0024608+0.0014771i,0.012711+0.0075521i,0.022101-0.024428i,0.0049716-0.0064014i,0.0049488+0.010256i,0.00070865-0.0041993i,0.0054365+0.0020605i,0.0062765+0.0017355i,0.0023374+0.0028373i,0.02786+0.0058402i,-0.0024297+0.0019814i,0.0010745-0.004756i,-1.9422e-05-0.00090949i,0.0051303-0.0014602i,5.2641e-05-0.00077783i,-0.0027894+0.0033163i,-0.0030668-0.0016317i,-0.0041552+0.00090211i,-0.0065938+0.0028461i,-0.0046116-0.0013901i,-0.0036415-0.0027764i,0.025301+0.00091476i,-0.0051968-0.0053533i,-0.0044383-0.0030337i,-0.0063625-0.0083715i,-0.004877-0.0012222i,0.0019749+0.00072325i,-0.0021492-0.0023547i,0.0043538-0.005268i,0.00046297+0.0055014i,0.0058316-0.035649i,0.021483-0.038822i,-0.042946-0.066924i,-0.035262-0.014161i,-0.021278-0.046172i,-0.012041-0.033633i,-0.031955-0.11585i,-0.070372-0.080139i,0.0073001-0.095548i,-0.015559-0.048729i,0.013039+0.0004746i,-0.0066761-0.003947i,-0.024356-0.010527i,-0.01035-0.013248i,-0.021342-0.00023494i,-0.020047+0.0024228i,-0.035846+0.034789i,0.013248+0.003585i,-0.010209+0.0027404i,-0.0050815+0.0065896i,0.0015539+0.0087859i,-0.013891+0.015152i,0.0063001+0.0097522i,0.011388-0.02179i,0.012595-0.02193i,-0.0021938-0.01123i,-0.0069921+0.0078196i,-0.0016985+0.0071537i,0.0090137+0.017184i,-0.0014116+0.0065594i,-0.003494+0.053972i,-0.010964+0.0018177i,0.0020048+0.0062353i,0.0077084+0.0059908i,-0.0061606+0.0077192i,-0.0032366+0.0043206i,-0.0047633-0.0024451i,0.0047756+0.0044062i,-0.0054379+0.0027358i,-0.0049605+0.0016026i,-0.00047019+0.0072421i,0.0074717+0.014639i,-0.0047521-0.0012717i,-0.0023807+0.016871i,-0.0033321+0.027825i,-0.026079-0.069946i,-0.0018104-0.033955i,-0.016532+0.032625i,-0.030839+0.0061511i,0.011162-0.018839i,0.00051373+0.0017884i,-0.021198+0.00015877i
-0.028838-0.017909i,-0.046491-0.027046i,-0.069506-0.033428i,-0.028341-0.0038929i,-0.028344-0.0047714i,-0.034106+0.019966i,-0.03699+0.021223i,-0.060441-0.015635i,-0.047253-0.0043665i,0.013588+0.0026025i,0.0085593+0.0089872i,0.008297-0.0019017i,-0.0080268-0.0077442i,0.0085882+0.0038457i,0.0020017+0.00098073i,0.012137+0.0063479i,0.006083-0.023456i,0.0020309-0.008944i,0.0082839+0.0048226i,-0.00040301-0.0026938i,0.0058271-0.00066058i,0.0074184+0.00089587i,0.0041556+0.001439i,0.0225-0.008813i,0.0011468+0.0014498i,-0.00031853-0.0028527i,0.0012279-0.0019802i,0.006131-0.003594i,-0.00020197-0.00045212i,-0.00034646+0.0034889i,-0.0033524-0.0011781i,-0.0032854+0.0024866i,-0.0033525+0.0051686i,-0.0036107+0.00064688i,-0.0043398-0.0025963i,0.022019-0.006997i,-0.0061418-0.002495i,-0.0049956-0.00071775i,-0.010678-0.0090267i,-0.011109+0.0021216i,0.0021235+0.00058271i,-0.00090642-0.0017277i,0.0030904-0.0067054i,0.0017808+0.0035656i,-0.0063975-0.039214i,0.0043395-0.040517i,-0.049551-0.066617i,-0.02769-0.0084243i,-0.024876-0.044807i,-0.020052-0.040168i,-0.059463-0.10131i,-0.078891-0.054834i,-0.015509-0.096123i,-0.010923-0.045583i,0.020721-0.014045i,-0.0076774-8.7171e-05i,-0.020831-0.0061183i,-0.019949-0.0097358i,-0.0191+0.0094924i,-0.017981+0.006823i,-0.015272+0.04495i,0.012164-0.00089615i,-0.0079319+0.002973i,-0.0016617+0.0064372i,0.0044545+0.0056407i,-0.0061198+0.019453i,0.010844+0.0071457i,-0.0039325-0.027436i,-0.0047321-0.023377i,-0.0057437-0.0041641i,-0.0027789+0.011488i,0.0021029+0.0063971i,0.016198+0.0078152i,0.0020919+0.0055757i,0.022597+0.050624i,-0.0071974+0.0077594i,0.0028809+0.0046712i,0.0080805+0.001491i,8.2939e-05+0.010185i,-0.0049398+0.0057583i,-0.0057932+0.0024529i,0.0077403+0.0040134i,-0.0021993+0.0058412i,-0.0069002+0.0042176i,0.0034066+0.0070276i,0.010986+0.009806i,-0.0048845+0.0013206i,0.0021038+0.014021i,0.0049481+0.024165i,-0.030632-0.06892i,-0.02099-0.036176i,-0.0014393+0.023067i,-0.029072+0.012923i,-0.003912-0.026456i,-0.003633-0.0019148i,-0.014445+0.0015849i
-0.030764-0.015783i,-0.054065-0.017538i,-0.075161-0.016061i,-0.026218-0.0025035i,-0.028385+0.0061835i,-0.029282+0.023475i,-0.030775+0.018825i,-0.059389-0.0094469i,-0.047435+0.0055723i,0.013062-0.0016001i,0.012515+0.0042046i,0.0024137-0.0021693i,-0.010509-0.0012853i,0.0051654-0.0010142i,0.0011449+0.0004535i,0.014896+0.0037884i,-0.0033007-0.016493i,-0.0029089-0.0087247i,0.00694+0.00087398i,-0.00061665-0.0017839i,0.0036731-0.0026089i,0.0068039-0.0022973i,0.0040424-0.00046433i,0.014051-0.016611i,0.0011995-0.001203i,-0.00028209-0.0028924i,0.00063151-0.0028014i,0.00066546-0.0064881i,0.0012774+0.00019568i,0.00068336+0.0027437i,-0.0038447-0.0008196i,-0.0016968+0.0031504i,-0.0014948+0.0047664i,-0.0028773+0.00099313i,-0.0050932+0.00044011i,0.017221-0.01369i,-0.0048852-0.0002914i,-0.0037905+0.0013711i,-0.0045478-0.0056303i,-0.0084643+0.0084929i,0.0021279+0.00020826i,-0.00072137-0.0016524i,9.7346e-05-0.007713i,0.0008238+0.0015785i,-0.017517-0.034536i,-0.0016807-0.031064i,-0.059689-0.063603i,-0.020805-0.010243i,-0.029519-0.043499i,-0.030952-0.036939i,-0.083249-0.084354i,-0.074341-0.034573i,-0.040994-0.085657i,-0.010338-0.048544i,0.014574-0.026012i,-0.0059444+0.0023029i,-0.019735-0.00057258i,-0.02711+0.0019081i,-0.012223+0.01596i,-0.014013+0.012477i,0.006038+0.040895i,0.0093866-0.0065328i,-0.008121+0.0040439i,-0.0012041+0.0044752i,0.0067676+0.004168i,0.0030612+0.01705i,0.012818-0.00049692i,-0.019152-0.018825i,-0.016152-0.012162i,-0.0042345-0.0002726i,0.0036798+0.011033i,0.003632+0.0042456i,0.017523+0.00083641i,0.0050546+0.0051769i,0.044056+0.032873i,-0.0031031+0.0070015i,0.0024955+0.0045267i,0.0066099-0.0029053i,0.0054889+0.0073132i,-0.0036527+0.011679i,-0.002992+0.0073651i,0.010244-0.00036782i,0.0027476+0.0062079i,-0.0061253+0.0072739i,0.0061543+0.0039369i,0.012189+0.005501i,-0.0047149+0.0021897i,0.0047229+0.0097653i,0.0097078+0.018385i,-0.0376-0.067002i,-0.034105-0.02255i,0.0044786+0.010701i,-0.016371+0.021061i,-0.013866-0.026918i,-0.010882-0.0015959i,-0.014782-0.004083i
-0.032954-0.012348i,-0.05596-0.0056488i,-0.078136+0.0031379i,-0.025913-0.0015781i,-0.023386+0.013187i,-0.023804+0.027128i,-0.027358+0.015808i,-0.060641-0.0040797i,-0.040564+0.014516i,0.01118-0.0055133i,0.010432-0.0029167i,0.001168+0.0010547i,-0.0092171+0.0045652i,0.0029757-0.0024178i,0.00016849+0.0010085i,0.015604-0.0020903i,-0.0030595-0.0088872i,-0.006222-0.0057139i,0.0046314-0.00030369i,-0.00032832-0.00097923i,0.0026262-0.0017023i,0.0049555-0.0040448i,0.0036108-0.0011855i,0.005945-0.018229i,-0.00037649-0.0023233i,-0.0013783-0.003555i,-0.00025861-0.0029995i,-0.0012389-0.0062162i,0.0014105-0.0013649i,0.001663+0.0023325i,-0.0042835-0.00017127i,-0.00056581+0.0032657i,-0.00031794+0.0038619i,-0.002521+0.0025511i,-0.0033352+0.0012291i,0.0088326-0.018167i,-0.0033555+0.00029708i,-0.0020463+0.0025937i,-0.0053445-0.00265i,-0.0048811+0.0099121i,0.0019309-8.0195e-05i,-0.0014386-0.0012679i,-0.0019731-0.0050613i,-0.0014388+0.0018555i,-0.024266-0.027239i,0.0038698-0.025953i,-0.07243-0.055537i,-0.018776-0.014459i,-0.033272-0.040448i,-0.037238-0.029617i,-0.10184-0.056504i,-0.071203-0.02514i,-0.051671-0.060869i,-0.013231-0.050183i,0.0033691-0.032054i,-0.0046978+0.0026573i,-0.016543+0.00075629i,-0.02233+0.015095i,-0.0040266+0.016656i,-0.0033517+0.013796i,0.014853+0.026614i,0.0041876-0.0091833i,-0.0077067+0.0070309i,-0.0016676+0.0040527i,0.0069175-0.00051026i,0.008118+0.012816i,0.0067167-0.0037426i,-0.025918-0.0040989i,-0.018136-0.0014154i,-0.0015789+0.0008914i,0.0065241+0.0094943i,0.0028929+0.0027447i,0.01452-0.010283i,0.0066432+0.0004871i,0.053621+0.010498i,-0.0034659+0.0083771i,0.0044766+0.0032648i,0.0022771-0.0052487i,0.0062251+0.0030961i,0.0026454+0.015037i,0.0037649+0.0058623i,0.0070629-0.004898i,0.0061765+0.0030017i,-0.0044825+0.0108i,0.0046461+0.0028595i,0.011569+0.0019789i,-0.0052825+0.0036475i,0.002607+0.0069073i,0.011363+0.014463i,-0.044522-0.063225i,-0.035492-0.0043527i,0.0022444+0.0019442i,-0.004704+0.016312i,-0.025182-0.020832i,-0.014263+0.0077329i,-0.020257-0.0016617i
-0.034383-0.0076399i,-0.054511+0.0043213i,-0.072363+0.021668i,-0.027254+7.3107e-05i,-0.016973+0.017008i,-0.017828+0.029369i,-0.027381+0.014101i,-0.062204+0.0043123i,-0.033802+0.018223i,0.0076257-0.0080649i,0.0054489-0.0044158i,0.0020466+0.0018979i,-0.0048252+0.0080321i,0.00020309-0.0031842i,0.00062227+0.0021135i,0.011193-0.0069764i,-0.0018004-0.0085786i,-0.0061335-0.001372i,0.0048398+0.00029043i,0.00037298-0.00051539i,0.0033022-0.0016932i,0.0034206-0.0041346i,0.0034832-0.0018274i,-0.00072287-0.017624i,-0.0013812-0.0018886i,-0.0028325-0.0025641i,-0.0011863-0.0032737i,-0.002961-0.0050646i,0.00067089-0.0020899i,0.0027441+0.00098414i,-0.0049008+0.00079418i,0.00054381+0.0027159i,0.00089983+0.0032269i,-0.00088485+0.0032982i,-0.0034374+0.0019251i,0.00048503-0.015556i,-0.0033465-0.0004231i,-5.4697e-05+0.0025185i,-0.0066703+0.0015344i,-0.0011795+0.012541i,0.0010174+0.00035719i,-0.00075997+0.00016734i,-0.0023894-0.0044037i,-0.0012983+0.005022i,-0.024863-0.019599i,0.012548-0.033474i,-0.083273-0.041814i,-0.020804-0.01699i,-0.034925-0.038159i,-0.041504-0.02269i,-0.10349-0.026889i,-0.069376-0.01342i,-0.047464-0.044143i,-0.016471-0.054529i,-0.0075398-0.033663i,-0.0031419+0.0031725i,-0.017543-0.00011067i,-0.011735+0.021276i,0.0011285+0.013881i,0.0031924+0.0055808i,0.016151+0.014536i,-0.0011168-0.0085683i,-0.0046533+0.01046i,-0.0022911+0.00469i,0.0039843-0.003484i,0.010185+0.0073752i,0.0042651-0.001905i,-0.02256+0.010118i,-0.01539+0.0070313i,-0.00064374+0.0010683i,0.010757+0.0072576i,0.0025902+0.0020447i,0.0052983-0.015427i,0.0039496-0.0024466i,0.050835-0.0092446i,-0.00095593+0.010398i,0.0036127+0.00086811i,-0.0010312-0.0039867i,0.0057595+0.0015643i,0.0098586+0.014838i,0.0047864+0.0014851i,0.0046325-0.0057352i,0.0050244-0.00046217i,0.0018521+0.01231i,0.0051274+0.001911i,0.011366-0.0016421i,-0.0031315+0.0074711i,0.003468+0.0066975i,0.013357+0.011424i,-0.052166-0.058967i,-0.032461+0.0094827i,-0.0001664-0.001776i,-0.0025544+0.0083593i,-0.032216-0.010491i,-0.0085481+0.010833i,-0.019123+0.002791i
-0.034277-0.0027865i,-0.050602+0.012401i,-0.060302+0.03658i,-0.02727+0.0036905i,-0.009514+0.017454i,-0.012547+0.030436i,-0.02784+0.015058i,-0.060879+0.014387i,-0.028107+0.020663i,0.0035691-0.0092395i,0.0024374-0.0030886i,0.0037061+0.0014967i,-0.001173+0.0093734i,-0.0026354-0.0014924i,0.0010054+0.0022005i,0.0069019-0.0083032i,-0.0045167-0.010258i,-0.0046597+0.00038493i,0.0045533-0.0018183i,0.0010749-0.0008111i,0.0035944-0.0029796i,0.0030305-0.0035149i,0.0031029-0.0028465i,-0.0062506-0.015637i,-0.0021124-0.0012487i,-0.0034732-0.0010232i,-0.0029449-0.002616i,-0.0039919-0.0033391i,-0.00015831-0.0024299i,0.0024901-0.00090335i,-0.0048424+0.0027867i,0.0010517+0.0021893i,0.0017991+0.0025455i,0.0012235+0.0028219i,-0.0025669+0.0030074i,-0.0030523-0.010509i,-0.0032437+4.4866e-06i,0.0011679+0.0013392i,-0.0040198+0.0041366i,0.0059217+0.012152i,-0.0026713-0.0021407i,0.00015369+0.00031732i,-0.003488-0.0042294i,0.0012564+0.0048582i,-0.022832-0.016454i,0.010205-0.049244i,-0.088254-0.024793i,-0.021478-0.017742i,-0.037761-0.040607i,-0.043546-0.014211i,-0.099062-0.0053092i,-0.064389-0.004599i,-0.043612-0.034878i,-0.023965-0.056759i,-0.018145-0.034199i,-0.002181+0.0026767i,-0.022697+0.0022573i,-0.0025703+0.020604i,0.0031171+0.0088153i,0.0025522-0.0013812i,0.012519+0.0073753i,-0.0055615-0.0075909i,-0.00062776+0.011223i,-0.0018144+0.0060046i,0.00080856-0.0035234i,0.0084764+0.0029951i,0.0039047-0.0010919i,-0.014049+0.017418i,-0.0079533+0.012926i,0.0014767-0.00024166i,0.013649+3.1652e-05i,0.0022073+0.0022777i,-0.0029416-0.014994i,0.0012179-0.002693i,0.040933-0.021777i,0.0038644+0.012056i,0.0026027+0.0012885i,-0.0037145-0.00144i,0.0060015-0.0016566i,0.01649+0.010186i,0.0033264-0.0017396i,0.0021871-0.0067913i,0.0031162-0.0025034i,0.0079201+0.012405i,0.0053667+0.0019217i,0.0081304-0.0059235i,0.00091462+0.0081757i,0.0047147+0.0046483i,0.016421+0.0071586i,-0.061324-0.05181i,-0.021862+0.0094684i,-0.0028785-0.0048842i,-0.0042816+0.0050706i,-0.035433-0.00083411i,-0.0054657+0.0089963i,-0.016176+0.0053022i
