-0.0090971-0.039652i,-0.013839-0.043058i,0.00065771-0.046216i,-0.02723-0.026783i,-0.020457+0.014265i,-0.033347-0.029883i,-0.060848-0.060156i,-0.023372-0.071688i,-0.039588-0.063223i,0.00061154+0.016041i,-0.006178+0.010087i,-0.013761+0.013671i,0.0018022+0.015111i,-0.0036522-0.0034595i,0.00070322+0.0064753i,0.0015537+0.037253i,0.017226+0.05583i,0.0010894-0.00046337i,-0.0051016-0.0078897i,0.0084644+0.0043117i,0.0014698+0.0010684i,-0.0012841+0.004132i,1.4804e-05-0.0012187i,-0.033956-0.010249i,-0.0025023-0.0068928i,-0.00013397+0.0045796i,0.0047936-0.00053158i,-3.8311e-05+0.00089587i,5.3417e-05-0.00096711i,-9.0848e-05-0.0027258i,-0.0016431-0.0052201i,-0.002093-0.0041799i,-0.00080779-0.0078651i,0.0032677-0.00099371i,0.0031251-0.0028724i,-0.0017439+0.03342i,0.0068229-0.0039744i,0.0036003-0.0023084i,0.0047507-8.2299e-05i,0.0099932+0.022361i,-6.8353e-05-9.3695e-05i,0.0083942-0.0024142i,0.005344-0.00027933i,-0.0033788+0.004107i,0.0029777+0.0013173i,-0.0029255+0.0064338i,0.0096916-0.087477i,-0.0079758-0.049706i,-0.026419-0.041162i,-0.021164-0.041411i,0.061667-0.019103i,0.025945-0.062314i,0.038278-0.04702i,0.028498-0.058219i,0.018008-0.015887i,0.0085575+0.01006i,0.023939-0.032096i,-0.0073501-0.0041442i,0.0027096-0.002965i,-0.0050067-0.0059307i,0.00011029-0.031746i,-0.023546+0.031378i,0.0073421-0.010699i,-0.010511-0.0015583i,-0.0050911-0.0010438i,-0.0006115-0.014182i,-0.0096632+0.0046005i,0.003573+0.007458i,-0.01043+0.031501i,0.0062808+0.0065833i,-0.0051415-0.0012794i,-0.0018882-0.0021626i,-0.011043-0.0078778i,0.00020973-0.0035608i,-0.029724-0.0037543i,0.0015682-0.012853i,-0.0087581-0.0022938i,-0.0062483-0.0022702i,0.0064285+0.001901i,-0.0093216+0.0017077i,0.0012465+0.00026259i,0.0058093+0.0087669i,0.0043932+0.00054989i,-0.009218-0.010278i,0.0030848+0.0085359i,-0.019583+0.0079431i,0.0063012+0.002339i,-0.029477-0.0072025i,-0.033904+0.0039335i,0.021936-0.070748i,0.012269-0.010553i,-0.04361-0.026768i,-0.023094-0.0031741i,0.018233+0.012198i,-0.025685+0.013096i,-0.011509-0.0069218i
-0.017573-0.038117i,-0.019609-0.03685i,-0.0065892-0.049572i,-0.029175-0.023579i,-0.010855+0.012182i,-0.040489-0.022668i,-0.0687-0.046402i,-0.032644-0.069129i,-0.043814-0.045302i,0.0032356+0.015109i,-0.0060024+0.0079165i,-0.0060327+0.019207i,0.0097311+0.011603i,-0.0079849-0.00041124i,0.0016492+0.0057598i,0.010437+0.030808i,0.029922+0.043258i,0.0024663+0.0021597i,-0.0081331-0.0029135i,0.0076924+2.4984e-05i,0.00057488+0.0021799i,-0.0032141+0.0046939i,-0.00047614-5.3779e-05i,-0.024483+0.010184i,-0.0047551-0.0044553i,0.003495+0.0027278i,0.0034337-0.00051132i,0.0002579+0.0029764i,0.001359-0.0011481i,-0.0015612-0.0025999i,-0.0012952-0.0040277i,-0.0030802-0.003344i,-0.0032046-0.0072118i,0.0024594-0.0029506i,0.0018182-0.0022817i,0.010122+0.030965i,0.0058811-0.0061992i,0.0017734-0.0031531i,0.0068528-0.0017229i,-0.012097+0.0014594i,-0.00014398+0.0012961i,0.0074795-0.0024596i,0.0039351+2.395e-05i,-0.0045595+0.0051529i,0.009766-0.0002931i,0.008623+0.0083109i,-0.0051188-0.088785i,-0.021932-0.051616i,-0.020214-0.03432i,-0.021159-0.027872i,0.063957-0.047582i,0.024013-0.081737i,0.040352-0.047823i,0.018669-0.066415i,0.0082524-0.01002i,0.0079685+0.00033273i,0.010271-0.033406i,-0.0064378+0.00092963i,0.00031228-0.011483i,-0.0061996-0.005945i,-0.022669-0.032325i,-0.0088062+0.029928i,0.0018733-0.013477i,-0.011121+0.0022123i,-0.0042374+0.00073155i,-0.0073192-0.012887i,-0.0099661+0.0093921i,0.0070308+0.0084372i,0.011093+0.027428i,0.0080934+0.0020131i,-0.0043462+0.0015719i,-0.0040997-0.001966i,-0.017165+0.0011316i,0.00025143-0.00318i,-0.035543+0.013905i,-0.0049345-0.010256i,-0.0095793+0.0019578i,-0.0075385+0.00060573i,0.0042443-0.0042582i,-0.0077973+0.0049789i,0.0021633-0.001052i,0.0050756+0.0030584i,0.002967-4.2391e-05i,-0.013321-0.0013178i,0.0040317+0.0052441i,-0.013182+0.014971i,0.0057598-0.0012296i,-0.029083+0.0038692i,-0.032655+0.01299i,0.0039127-0.078817i,0.0076703-0.01663i,-0.050226-0.013469i,-0.016821-0.0057003i,0.018979+0.0050593i,-0.019087+0.019555i,-0.01805-0.012678i
-0.022678-0.033332i,-0.022183-0.035338i,-0.015512-0.052477i,-0.030894-0.019674i,-0.00447+0.0059282i,-0.045287-0.013942i,-0.078645-0.030293i,-0.047428-0.064922i,-0.047397-0.036306i,0.006099+0.013026i,-0.0063389+0.011045i,0.0031333+0.017882i,0.012576+0.0042707i,-0.0084845+0.003939i,0.0029954+0.0055581i,0.01562+0.022662i,0.042038+0.030445i,0.0054445+0.0016734i,-0.00734+0.001986i,0.0073648-0.0022621i,0.00023067+0.0025419i,-0.00224+0.0053114i,-6.6947e-06+0.00060228i,-0.012721+0.017877i,-0.004584-0.0019431i,0.0039967-0.00030875i,0.0031667-0.0011746i,0.0030608+0.0036206i,-9.4716e-07-0.002323i,-0.0021265-0.002203i,-0.0019536-0.0043355i,-0.0036815-0.0020297i,-0.0056276-0.0056872i,0.00095397-0.0041846i,0.0032563-0.0046405i,0.018616+0.02254i,0.0029248-0.0079132i,0.00076777-0.0032672i,0.0069012-0.0063072i,-0.011286+0.0032762i,0.00060459+0.0018273i,0.0057894-0.0047555i,0.0052172+0.00015101i,-0.0031538+0.0069058i,0.014161-0.0081547i,0.019048+0.0029934i,-0.019615-0.087345i,-0.035257-0.043363i,-0.012297-0.037972i,-0.014015-0.02721i,0.05649-0.07312i,0.0049501-0.10112i,0.045924-0.055444i,0.0070179-0.067445i,0.0073519-0.0073252i,0.0051701-0.0031599i,-0.0042974-0.033508i,0.0029796-1.4981e-05i,-0.0091661-0.013261i,-0.0061025-0.0080801i,-0.040626-0.02073i,-3.1668e-05+0.027805i,-0.0045373-0.012546i,-0.0091396+0.0050819i,-0.0050921+0.0018076i,-0.014355-0.0097863i,-0.0049256+0.015315i,0.013496+0.004111i,0.020853+0.01562i,0.0075001-0.0009633i,-0.003598+0.0011981i,-0.0053936-0.00043625i,-0.012809+0.011027i,-0.0027927-0.0031283i,-0.027227+0.025407i,-0.0071944-0.0057454i,-0.0075276+0.0071067i,-0.0081858+0.0068474i,-0.0010975-0.0054683i,-0.0057678+0.0068357i,0.0014674-0.0023779i,0.0028715+0.0023873i,0.0027543-0.001251i,-0.0082514+0.006294i,0.0039233+0.0024574i,-0.0070923+0.018301i,0.0029631-0.0039124i,-0.024644+0.012205i,-0.025923+0.021136i,-0.0053077-0.079957i,0.00090931-0.017385i,-0.04918+0.00024651i,-0.021438-0.012607i,0.017365-0.0031689i,-0.008837+0.019859i,-0.021934-0.0097312i
-0.025726-0.028765i,-0.027013-0.035711i,-0.02544-0.054648i,-0.034508-0.011526i,-0.0028755-0.0030218i,-0.046742-0.003213i,-0.081668-0.0033286i,-0.061823-0.049834i,-0.052902-0.023699i,0.0079441+0.011233i,-0.0020328+0.01387i,0.0075964+0.012708i,0.011467-0.0036958i,-0.0069484+0.0085875i,0.0035639+0.0038286i,0.016458+0.013202i,0.053718+0.013666i,0.006959-0.0014055i,-0.0060046+0.0058882i,0.0049458-0.0042668i,0.001614+0.0039218i,0.003856+0.0068308i,0.00010767+0.0010366i,-0.00052179+0.023957i,-0.0037363-0.00089723i,0.003144-0.0024186i,0.0028588-0.0018089i,0.0039703+0.00050559i,-0.0010094-0.00096331i,-0.0034026-0.0016273i,-0.0029314-0.0035861i,-0.0037471-0.0011938i,-0.0068128-0.0029266i,-0.00097726-0.0048028i,-0.00053085-0.0069054i,0.020574+0.013558i,-0.00057511-0.0085177i,-0.00026825-0.0035054i,0.0032958-0.0092111i,-0.0069901+0.0069872i,0.0016034+0.0015811i,0.0026513-0.0060107i,0.0050275-0.0017962i,-0.00080033+0.006925i,0.01664-0.014924i,0.026886-0.006365i,-0.033393-0.081877i,-0.038547-0.030942i,-0.013413-0.042798i,-0.012745-0.029454i,0.038457-0.10079i,-0.023937-0.1049i,0.043856-0.074492i,-0.0019319-0.066914i,0.006187-0.0058893i,0.00095401-0.0064182i,-0.013886-0.030481i,0.002564-0.0096952i,-0.013672-0.0077931i,-0.012033-0.011402i,-0.047604+0.00049731i,0.011423+0.02204i,-0.0095432-0.0099242i,-0.0059673+0.005546i,-0.0041795+0.004284i,-0.019973-0.002033i,0.0035142+0.013909i,0.016136-0.00284i,0.039664+0.005866i,0.0076384-0.0030594i,-0.0043028+0.0012774i,-0.0061556+0.0026507i,-0.0069634+0.016722i,-0.0045558+3.3587e-05i,-0.023159+0.031802i,-0.0078557-0.0024586i,-0.0025044+0.0092242i,-0.0022406+0.011882i,-0.0052113-0.0026877i,-0.0017957+0.0056836i,0.0008976-0.0026694i,0.0021377+0.0023964i,0.00084309-0.0032844i,-0.0024358+0.0053474i,0.00069043-0.00050471i,-0.0050386+0.019803i,-0.0011201-0.0035672i,-0.017373+0.01811i,-0.017752+0.023389i,-0.013479-0.08038i,0.0013835-0.014838i,-0.045021+0.013536i,-0.029569-0.0095738i,0.014166-0.0090843i,-0.00073381+0.015595i,-0.02147-0.0052224i
-0.027777-0.024342i,-0.034432-0.033416i,-0.039744-0.054159i,-0.029873-0.0086267i,-0.0084153-0.010888i,-0.045521+0.0067713i,-0.065375+0.016435i,-0.06339-0.033954i,-0.048143-0.013127i,0.0099942+0.009206i,0.0034263+0.012209i,0.0094622+0.0089538i,0.0060003-0.0086747i,-0.0014423+0.011164i,0.0032348+0.0021719i,0.013854+0.0092122i,0.046255-0.016282i,0.0058056-0.0046238i,-0.0014029+0.010449i,0.00265-0.00468i,0.0030508+0.0046694i,0.0063967+0.0040445i,0.00033136+0.0020411i,0.016886+0.018114i,-0.0040621+0.0005655i,0.0020476-0.0034037i,0.0018154-0.0025412i,0.0024776+0.0028685i,-0.00019916-2.1469e-05i,-0.0043277+0.00048543i,-0.0037664-0.0023578i,-0.0041936+2.9693e-05i,-0.0056567+3.699e-05i,-0.0037884-0.0042219i,-0.0035736-0.0050341i,0.022393+0.008793i,-0.003286-0.0073798i,-0.0022689-0.003338i,-0.00058967-0.0079276i,-0.0023655+0.0026757i,0.0016654+0.00089639i,-0.00071738-0.0046118i,0.0051451-0.0026207i,-2.1314e-06+0.0057494i,0.015302-0.027662i,0.031545-0.020885i,-0.041874-0.073045i,-0.037419-0.021077i,-0.016686-0.046639i,-0.013128-0.030137i,0.0038654-0.11966i,-0.049181-0.096309i,0.026448-0.090289i,-0.014134-0.062064i,0.0064137-0.0041778i,-0.0038292-0.0064239i,-0.022056-0.021922i,-0.0050843-0.013472i,-0.016124-0.0046786i,-0.02124-0.0067363i,-0.04298+0.019068i,0.015274+0.010904i,-0.012637-0.0047067i,-0.0041555+0.0056808i,-0.0028631+0.0067669i,-0.019871+0.008405i,0.0046172+0.0089224i,0.015326-0.010028i,0.024204-0.0063393i,0.005621-0.0073575i,-0.0062124+0.0036636i,-0.0038956+0.0061171i,0.0014154+0.019054i,-0.0044719+0.0039995i,-0.018015+0.039069i,-0.0090155-0.00079569i,0.0012796+0.0071525i,0.004147+0.01116i,-0.006887+0.0014445i,-0.0026751+0.0027357i,-0.00097308-0.003629i,0.0013629+0.0040329i,-0.0048961-0.0038146i,-0.0021225+0.0018518i,-0.0027285+0.0015447i,0.00079492+0.02072i,-0.0036558-0.0019843i,-0.0087655+0.020209i,-0.014027+0.024239i,-0.023768-0.077556i,0.0053684-0.020277i,-0.036425+0.027305i,-0.033445-0.00049515i,0.008478-0.014163i,0.00093304+0.007934i,-0.02132-0.0046489i
-0.028527-0.020869i,-0.038847-0.029498i,-0.055933-0.04691i,-0.029601-0.0074115i,-0.019636-0.012347i,-0.040236+0.015214i,-0.048564+0.022264i,-0.061878-0.023353i,-0.045224-0.0097043i,0.011198+0.0066141i,0.0049894+0.0097084i,0.010915+0.0040002i,-0.0005057-0.010497i,0.0044057+0.0097566i,0.002387+0.0014576i,0.012531+0.0072245i,0.026-0.02726i,0.0043422-0.0060668i,0.0048071+0.0099005i,0.00071625-0.0039936i,0.0054677+0.002817i,0.0064909+0.0011445i,0.0023323+0.002719i,0.026031+0.0050051i,-0.0021124+0.0026345i,0.0012359-0.004643i,-9.448e-05-0.0009686i,0.0057168-0.0023398i,5.1694e-05-0.00083404i,-0.0026558+0.0033183i,-0.0032915-0.0013986i,-0.0043179+0.0013966i,-0.0059328+0.0016433i,-0.0055018-0.0010578i,-0.003812-0.0027506i,0.024849+0.0010562i,-0.005423-0.0056552i,-0.00439-0.0028703i,-0.0033266-0.006621i,-0.0050335-0.0010195i,0.0021399+0.00046156i,-0.0020672-0.0024387i,0.0040827-0.0045149i,0.0006078+0.0054772i,0.0054836-0.036539i,0.020312-0.039801i,-0.044033-0.065568i,-0.035682-0.014055i,-0.022272-0.04695i,-0.012819-0.033988i,-0.035091-0.11506i,-0.071071-0.079878i,0.0081753-0.09511i,-0.016786-0.048553i,0.012676-0.00070073i,-0.0065205-0.0038541i,-0.023948-0.009901i,-0.010772-0.012866i,-0.020562+0.00061282i,-0.020343+0.0021891i,-0.034009+0.034844i,0.012738+0.0036187i,-0.0099919+0.0022929i,-0.0048328+0.0058926i,0.0019737+0.0087954i,-0.012791+0.015847i,0.0061606+0.009753i,0.011012-0.02138i,0.013672-0.020687i,-0.0019715-0.011218i,-0.0063475+0.0079699i,-0.0017003+0.0069524i,0.0090887+0.01651i,-0.0011466+0.0067567i,-0.0019546+0.048994i,-0.010968+0.0024503i,0.0015832+0.0060094i,0.0082118+0.0058345i,-0.0050161+0.0078296i,-0.0038499+0.0045096i,-0.0046745-0.00265i,0.0043213+0.004991i,-0.0047191+0.0038545i,-0.0051833+0.0016472i,-0.00046283+0.0070301i,0.0090626+0.016516i,-0.0046835-0.00088353i,-0.0022398+0.017572i,-0.0040309+0.028529i,-0.027871-0.070967i,-0.0029981-0.033803i,-0.016275+0.032138i,-0.031185+0.0079828i,0.0083212-0.021112i,0.00054391+0.0019892i,-0.021485+5.9406e-05i
-0.029016-0.018425i,-0.046977-0.026631i,-0.069541-0.033028i,-0.02819-0.0029655i,-0.02845-0.0043211i,-0.033965+0.020248i,-0.03728+0.021351i,-0.0602-0.016013i,-0.048038-0.0056367i,0.012953+0.0026499i,0.0084077+0.0089881i,0.0080943-0.0016563i,-0.0078664-0.0077249i,0.0086896+0.0038636i,0.0019738+0.00092072i,0.01212+0.0063077i,0.0080162-0.026581i,0.0011866-0.0083696i,0.0077192+0.0049198i,-0.00027234-0.0025444i,0.0063432-0.0010603i,0.0074136+0.0007596i,0.0040176+0.0013132i,0.021899-0.0085191i,0.0017046+0.0017739i,-0.00081902-0.0027726i,0.0013262-0.0017072i,0.0067785-0.0062399i,-0.00020276-0.00057694i,-0.00014671+0.0034392i,-0.0034073-0.0011082i,-0.0031058+0.0025927i,-0.0041668+0.0043672i,-0.0039964+0.0014782i,-0.0044683-0.0027312i,0.021922-0.0080899i,-0.0062599-0.0026132i,-0.0048827-0.000677i,-0.0077298-0.0047074i,-0.010243+0.0023013i,0.0018836+0.00015612i,-0.00099653-0.0018677i,0.0025534-0.0056346i,0.0018737+0.0036927i,-0.0070095-0.039037i,0.0024095-0.041357i,-0.051008-0.064685i,-0.028226-0.0083975i,-0.026347-0.045096i,-0.020994-0.040408i,-0.062281-0.099501i,-0.079316-0.054816i,-0.014828-0.097189i,-0.011173-0.045016i,0.018445-0.013632i,-0.0074025-0.00015776i,-0.020572-0.0055255i,-0.019938-0.0097182i,-0.01862+0.010426i,-0.017931+0.0062274i,-0.014433+0.043429i,0.011822-0.00076028i,-0.0082355+0.0026542i,-0.0012038+0.0057382i,0.004555+0.005531i,-0.0053402+0.019483i,0.010685+0.0072749i,-0.0044897-0.026672i,-0.0029234-0.022718i,-0.0057417-0.004474i,-0.0023794+0.011871i,0.0018292+0.0060354i,0.015726+0.0083622i,0.0024506+0.0056559i,0.02469+0.04702i,-0.0073231+0.0072097i,0.0029588+0.0046162i,0.0080637+0.0014001i,0.0010112+0.0095761i,-0.0056972+0.0061009i,-0.0061227+0.0021638i,0.0072458+0.0040175i,-0.0019761+0.0063729i,-0.0063836+0.0040312i,0.0036768+0.0068451i,0.012218+0.010363i,-0.0042656+0.0016197i,0.0031134+0.014493i,0.0050908+0.02394i,-0.032896-0.071483i,-0.021563-0.034709i,-0.0016183+0.023342i,-0.02846+0.01445i,-0.0044627-0.024211i,-0.0036589-0.0020677i,-0.014739+0.0019568i
-0.031026-0.016347i,-0.054562-0.016831i,-0.076864-0.016003i,-0.025972-0.0020916i,-0.028224+0.0065999i,-0.029272+0.023877i,-0.030898+0.018701i,-0.059225-0.01019i,-0.048407+0.0048346i,0.01254-0.0011482i,0.011326+0.0031182i,0.0026749-0.0021177i,-0.010917-0.001496i,0.005699-0.0013956i,0.001032+0.0004358i,0.01446+0.0038428i,-0.0037372-0.019125i,-0.0029839-0.007857i,0.0063953+0.0013639i,-0.0004488-0.0016467i,0.0035871-0.0027042i,0.0072218-0.0022339i,0.0038557-0.00034417i,0.013848-0.016807i,0.0014712-0.0011515i,-0.00059442-0.0026845i,0.00089849-0.0027014i,0.00066706-0.0053774i,0.0012929+0.00019743i,0.00084333+0.0025074i,-0.0038209-0.00064471i,-0.001903+0.003048i,-0.0015846+0.00514i,-0.0025223+0.001206i,-0.0057931+0.0001212i,0.016936-0.014324i,-0.0047617-0.00033421i,-0.0038555+0.0015661i,-0.0063937-0.0019632i,-0.0076073+0.0085931i,0.0018879+0.00027793i,-0.00081191-0.0014011i,-0.00012305-0.0055707i,0.0008248+0.0017252i,-0.017172-0.034067i,-0.0035697-0.030684i,-0.061404-0.061674i,-0.021383-0.0098146i,-0.030878-0.043443i,-0.031741-0.036504i,-0.085526-0.081729i,-0.07482-0.034798i,-0.041623-0.086321i,-0.0099461-0.048803i,0.014323-0.023288i,-0.0055452+0.0023335i,-0.019455+6.5701e-05i,-0.026481+0.0015841i,-0.011214+0.01697i,-0.014281+0.011869i,0.0059056+0.038995i,0.0094618-0.006049i,-0.0088609+0.0044314i,-0.0012552+0.0039833i,0.0067133+0.0038365i,0.0030379+0.016786i,0.012403-0.00069335i,-0.019774-0.018021i,-0.014545-0.012526i,-0.0044228-0.00027082i,0.0039903+0.011302i,0.0034719+0.0041995i,0.017551+0.00069678i,0.0053346+0.0052504i,0.043999+0.033965i,-0.0040584+0.0070345i,0.0027536+0.0040257i,0.0065018-0.0028059i,0.0059123+0.0067705i,-0.0035288+0.012123i,-0.0029284+0.0075182i,0.0096564-0.00020984i,0.0033936+0.0062318i,-0.0055039+0.0069753i,0.0060405+0.0036845i,0.012999+0.0047845i,-0.0041121+0.0018958i,0.0056772+0.0097048i,0.0097348+0.01859i,-0.043218-0.069557i,-0.032658-0.022953i,0.0046859+0.010752i,-0.015755+0.022134i,-0.013842-0.02567i,-0.011316-0.0016694i,-0.014602-0.0036016i
-0.033416-0.012882i,-0.056112-0.0047852i,-0.078329+0.0046984i,-0.025963-0.0012778i,-0.023225+0.013489i,-0.023966+0.02717i,-0.027465+0.015779i,-0.060437-0.0053427i,-0.041556+0.013921i,0.011082-0.0046905i,0.010461-0.0017669i,0.0013525+0.00088053i,-0.010128+0.0044966i,0.0026023-0.0029521i,2.2812e-05+0.0010282i,0.01518-0.0016278i,-0.0054741-0.010241i,-0.0059119-0.005106i,0.0049398+0.00044573i,-0.00021798-0.00096099i,0.0026959-0.001435i,0.0054013-0.0041825i,0.0035531-0.001007i,0.0060206-0.018264i,-0.00028527-0.0023271i,-0.0013936-0.0034301i,-8.9029e-05-0.0030502i,-0.0010953-0.0050417i,0.0017948-0.0012908i,0.001762+0.0019949i,-0.0039532-0.00011086i,-0.00068121+0.0033417i,-3.6105e-05+0.0040124i,-0.0025639+0.0024094i,-0.0038261+0.0012302i,0.0085745-0.020164i,-0.0032376+0.00010841i,-0.0019861+0.002692i,-0.0065952+0.00046128i,-0.0038115+0.0099761i,0.0020814+1.3786e-06i,-0.0013304-0.00094779i,-0.00038703-0.0052144i,-0.001574+0.0021093i,-0.023675-0.027123i,0.0029637-0.025915i,-0.073583-0.053331i,-0.019565-0.013679i,-0.034523-0.04033i,-0.037822-0.028862i,-0.10253-0.054013i,-0.071248-0.025365i,-0.051859-0.061057i,-0.012988-0.051411i,0.006161-0.030534i,-0.0043441+0.00285i,-0.015644+0.001006i,-0.021916+0.015044i,-0.0033153+0.016505i,-0.0035918+0.013322i,0.015749+0.026146i,0.0045534-0.0082787i,-0.0075713+0.0077139i,-0.002013+0.0039052i,0.0065819-0.00088404i,0.007157+0.013177i,0.0062954-0.0038606i,-0.025682-0.003993i,-0.016817-0.0044625i,-0.0018207+0.00076423i,0.006639+0.0094863i,0.0028202+0.0028208i,0.013822-0.010033i,0.0067996+0.00055377i,0.054234+0.011147i,-0.003317+0.0085223i,0.0044742+0.0030196i,0.0021317-0.0051073i,0.0065914+0.0027777i,0.0025557+0.015367i,0.0035324+0.0056587i,0.0072785-0.0045757i,0.0061957+0.00187i,-0.00065687+0.009137i,0.0048437+0.0026024i,0.011423+0.0013243i,-0.0052179+0.0031998i,0.0034772+0.0067105i,0.011935+0.014504i,-0.051362-0.061118i,-0.037728-0.016024i,0.002223+0.0012996i,-0.0041892+0.016439i,-0.025795-0.020985i,-0.014314+0.0076768i,-0.019653-0.00097937i
-0.034889-0.0079594i,-0.054424+0.0046487i,-0.071883+0.022948i,-0.027246+0.00026279i,-0.016737+0.017327i,-0.018071+0.029407i,-0.027679+0.014127i,-0.062696+0.0026909i,-0.034591+0.017254i,0.0086852-0.0076269i,0.0050023-0.0034311i,0.0022347+0.0018195i,-0.00608+0.0086216i,-0.00010239-0.003164i,0.00044366+0.0020585i,0.011203-0.0066542i,-0.0038014-0.008379i,-0.0056422-0.0013965i,0.0058887+0.0011565i,0.00041197-0.00047009i,0.0036383-0.0018121i,0.0032622-0.0039723i,0.0035517-0.0017249i,-0.00099905-0.017452i,-0.0012585-0.0017219i,-0.003074-0.002773i,-0.0013675-0.0031835i,-0.0023348-0.0046024i,0.00096682-0.002266i,0.0026063+0.000761i,-0.0041967+0.00086183i,0.00081525+0.0030457i,0.0006876+0.0032667i,-0.00073004+0.0032265i,-0.0037686+0.001797i,-0.0016344-0.016061i,-0.00316-0.00075799i,-0.00016477+0.0025434i,-0.0063919+0.0050139i,-0.00069137+0.01201i,0.0011373+0.00080822i,-0.00062425+0.00012664i,-0.0012818-0.0049396i,-0.0013401+0.0054109i,-0.024589-0.019665i,0.01117-0.033486i,-0.082878-0.039707i,-0.021187-0.015858i,-0.036319-0.037545i,-0.042012-0.021937i,-0.10369-0.024757i,-0.069265-0.013784i,-0.047945-0.044604i,-0.016371-0.054745i,-0.0050012-0.033658i,-0.0027207+0.0034524i,-0.016683+4.3763e-06i,-0.011543+0.020834i,0.0020449+0.012954i,0.0027209+0.0054521i,0.016171+0.012862i,-0.00023951-0.008636i,-0.0052529+0.010372i,-0.0024212+0.0047905i,0.0035758-0.003503i,0.01034+0.0082428i,0.0039371-0.0020467i,-0.022911+0.0098726i,-0.015139+0.0067184i,-0.00091672+0.00087185i,0.011437+0.0067337i,0.0024645+0.0023011i,0.0052504-0.014484i,0.0040968-0.0026775i,0.049833-0.01091i,0.0001623+0.010513i,0.0033493+0.0011739i,-0.0013107-0.0039698i,0.0060923+0.0015188i,0.0098155+0.014659i,0.0043751+0.0018392i,0.0049892-0.0059448i,0.0047988-0.00090884i,0.0062619+0.0065214i,0.0050381+0.002052i,0.010799-0.0020769i,-0.0032466+0.0074369i,0.0042692+0.0061865i,0.013769+0.010886i,-0.057041-0.056893i,-0.021902-0.0016468i,-0.00099139-0.0020951i,-0.0023558+0.0081819i,-0.033857-0.01128i,-0.0081298+0.010473i,-0.018123+0.0028758i
-0.034662-0.0030285i,-0.050696+0.012627i,-0.059706+0.036782i,-0.027203+0.0039065i,-0.009212+0.017585i,-0.012652+0.030446i,-0.028219+0.01544i,-0.062208+0.012508i,-0.029529+0.020463i,0.0050052-0.0098189i,0.0023875-0.0026564i,0.0037969+0.0013866i,-0.0017422+0.009552i,-0.0028196-0.0015843i,0.00086161+0.002154i,0.0065749-0.0082897i,-0.0061178-0.0097924i,-0.0044423+0.00013852i,0.0056145-0.0023318i,0.00098917-0.00068417i,0.0038142-0.0031734i,0.0030634-0.0031821i,0.0030203-0.002833i,-0.0064015-0.01538i,-0.0018558-0.001302i,-0.003782-0.0011012i,-0.0027776-0.0022597i,-0.0037234-0.0034164i,7.7782e-05-0.0024719i,0.002319-0.0011037i,-0.004279+0.0022855i,0.0013534+0.0022081i,0.001413+0.0031716i,0.0014675+0.0024237i,-0.0027469+0.0028047i,-0.0043752-0.010627i,-0.0031945-0.00043283i,0.001059+0.0013342i,-0.0017771+0.0069376i,0.0060837+0.01161i,-0.002567-0.0021415i,0.00013718+0.00035414i,-0.0027959-0.0051155i,0.0013664+0.0049068i,-0.02219-0.016827i,0.0087756-0.048742i,-0.087143-0.023636i,-0.02206-0.016949i,-0.038687-0.03928i,-0.043755-0.013522i,-0.099179-0.0035151i,-0.064345-0.0048711i,-0.044164-0.034894i,-0.023492-0.056819i,-0.017831-0.032979i,-0.0020605+0.0027541i,-0.022231+0.0024823i,-0.0019955+0.019445i,0.0047927+0.0087032i,0.0022581-0.0013356i,0.012597+0.0063345i,-0.0043535-0.008745i,-0.0014602+0.011711i,-0.0017163+0.0060135i,0.00050827-0.0034275i,0.0087741+0.0030632i,0.0036706-0.0013813i,-0.013751+0.017296i,-0.0088206+0.01138i,0.0013568-0.00032354i,0.013972+9.0175e-05i,0.0021818+0.002422i,-0.0024191-0.01324i,0.0012177-0.003254i,0.039824-0.025695i,0.0052269+0.010315i,0.0024973+0.0014454i,-0.0035829-0.0013676i,0.0063146-0.0016401i,0.016333+0.010391i,0.0034845-0.0010684i,0.00182-0.0069135i,0.0031052-0.0026223i,0.011087+0.010983i,0.0055066+0.001666i,0.0073707-0.0058401i,0.00095653+0.0079557i,0.0049946+0.0037911i,0.01625+0.0070008i,-0.065671-0.04892i,-0.022657+0.0068514i,-0.0034278-0.0039827i,-0.0043819+0.0049378i,-0.037319-0.00044888i,-0.0052749+0.0085038i,-0.015985+0.0051137i
