-0.0084107-0.040004i,-0.014095-0.04273i,0.00037537-0.046013i,-0.027441-0.02724i,-0.020265+0.014037i,-0.033566-0.030018i,-0.060863-0.059853i,-0.022361-0.071486i,-0.034599-0.050984i,0.0012126+0.014706i,-0.0069417+0.010536i,-0.01391+0.013321i,0.0023308+0.01553i,-0.0034916-0.0034943i,0.00078613+0.0062466i,0.0014024+0.037125i,0.020191+0.059024i,0.00088769-0.00056762i,-0.0050495-0.0079625i,0.0078764+0.0041723i,0.001696+0.001175i,-0.00096226+0.0034682i,6.7363e-05-0.0013542i,-0.035808-0.0098092i,-0.0025946-0.0072262i,-0.00016407+0.0044961i,0.0047923+0.00012387i,1.7303e-05+0.00087152i,1.5372e-05-0.0010213i,-3.6642e-05-0.0026892i,-0.0013242-0.005775i,-0.002472-0.0038014i,-0.00042355-0.0076892i,0.0032474-0.0012328i,0.0031468-0.0025948i,-0.00038464+0.033568i,0.0062104-0.0039883i,0.0035826-0.0022022i,0.0050032+9.855e-05i,-0.014147-0.0048221i,-2.7519e-05+0.0001886i,0.0095352-0.00084722i,0.0051251-0.00058693i,-0.0038592+0.003831i,0.0036035+0.001666i,-0.0027131+0.0055976i,0.010959-0.088932i,-0.0084736-0.049758i,-0.025965-0.040378i,-0.021384-0.041643i,0.061466-0.01953i,0.025714-0.062418i,0.038139-0.047088i,0.028481-0.058312i,0.018286-0.016023i,0.0084538+0.0098643i,0.023513-0.031969i,-0.0076597-0.004861i,0.0023786-0.0029551i,-0.0049314-0.0059475i,0.00027082-0.03184i,-0.023289+0.031148i,0.0074606-0.010922i,-0.010774-0.00093397i,-0.0049026-0.0011292i,-0.0011553-0.014302i,-0.0096306+0.0039351i,0.0037327+0.0074422i,-0.010861+0.031341i,0.0061436+0.0073545i,-0.005164-0.0012437i,-0.0019414-0.002002i,-0.011039-0.007663i,0.00032378-0.0035096i,-0.034512+0.0057326i,0.0018438-0.012539i,-0.0088527-0.0019738i,-0.0065305-0.0026247i,0.0063985+0.0014753i,-0.0092184+0.001317i,0.00099912+0.00054104i,0.0054949+0.0084808i,0.0044789+0.00054801i,-0.0092852-0.0097378i,0.0031135+0.008767i,-0.018801+0.0070282i,0.006537+0.0023561i,-0.029765-0.0073362i,-0.03384+0.0038052i,0.023906-0.079974i,0.011486-0.010363i,-0.044111-0.026754i,-0.023194-0.0031102i,0.018012+0.011976i,-0.026088+0.013205i,-0.011656-0.0075334i
-0.016769-0.038938i,-0.01972-0.035946i,-0.0067753-0.049457i,-0.030278-0.023803i,-0.010918+0.0117i,-0.040689-0.022603i,-0.068556-0.046086i,-0.031982-0.069475i,-0.040239-0.040335i,0.0024421+0.013448i,-0.0063566+0.0087643i,-0.0065831+0.018998i,0.01002+0.011336i,-0.0080912-0.00050403i,0.0017086+0.0055008i,0.010027+0.030848i,0.034546+0.042896i,0.0022849+0.0021532i,-0.008179-0.0029242i,0.0083017+0.0003564i,0.000627+0.0018924i,-0.0011491+0.0044112i,-0.00054616-0.00029129i,-0.025054+0.010998i,-0.0051138-0.004897i,0.0031012+0.0027363i,0.0035274-0.00022397i,0.00064286+0.0029107i,0.0012324-0.001283i,-0.0013525-0.0028379i,-0.001573-0.0045348i,-0.0029199-0.0031797i,-0.0026555-0.0071725i,0.0020781-0.003169i,0.0019143-0.0020851i,0.010617+0.03009i,0.0050143-0.006397i,0.0019923-0.0030165i,0.0069585-0.001541i,-0.0097866-0.0006508i,0.00016015+0.0016472i,0.0074278-0.0024859i,0.0037619+1.652e-05i,-0.0051954+0.0052001i,0.010831-0.00039584i,0.0086292+0.0074986i,-0.0047176-0.090461i,-0.0225-0.051421i,-0.019733-0.033481i,-0.021312-0.028258i,0.063675-0.047535i,0.023415-0.082505i,0.040182-0.047834i,0.018645-0.066235i,0.0086491-0.0099492i,0.0079565+0.00031441i,0.0099079-0.034687i,-0.0064827+0.0009341i,0.00025687-0.011196i,-0.0060157-0.0059351i,-0.022993-0.031935i,-0.0089375+0.029633i,0.0013949-0.013452i,-0.011226+0.0020784i,-0.0042427+0.0007113i,-0.0075785-0.013039i,-0.0098776+0.0088238i,0.0073249+0.0082113i,0.0081369+0.029399i,0.0073444+0.001698i,-0.0044631+0.0016672i,-0.0043694-0.0020089i,-0.015471+0.0013907i,0.00046129-0.0033843i,-0.037435+0.012754i,-0.0049854-0.0099851i,-0.0094015+0.0022523i,-0.0079635+0.00054599i,0.0040521-0.0044007i,-0.0080115+0.0043004i,0.0021551-0.0011226i,0.0048367+0.0032821i,0.0029856-0.00032574i,-0.013316-0.0018382i,0.0044767+0.0049035i,-0.012904+0.013566i,0.0059587-0.001491i,-0.029552+0.0037271i,-0.031974+0.013302i,0.0095249-0.081675i,0.0074286-0.016525i,-0.050486-0.013046i,-0.016881-0.0055407i,0.018673+0.0049502i,-0.019432+0.019856i,-0.017822-0.013285i
-0.022282-0.034619i,-0.021567-0.034612i,-0.015283-0.05217i,-0.032968-0.018021i,-0.0047274+0.0055617i,-0.045508-0.013847i,-0.078421-0.030128i,-0.046916-0.065638i,-0.044556-0.03327i,0.0047539+0.012355i,-0.0060854+0.011861i,0.0026605+0.017838i,0.012778+0.0035334i,-0.0087157+0.0037183i,0.0028781+0.0053108i,0.015653+0.023059i,0.044398+0.028601i,0.0053096+0.0018646i,-0.0072161+0.0019627i,0.0072756-0.0021893i,0.00034672+0.0025417i,0.0004788+0.0063897i,-0.00027151+0.00049094i,-0.012177+0.01816i,-0.0048332-0.0021945i,0.0042364-7.4236e-05i,0.0030639-0.0010484i,0.0033061+0.0031642i,-0.00011409-0.002294i,-0.0019591-0.0025039i,-0.0023398-0.0041811i,-0.003856-0.0021495i,-0.0049765-0.0059579i,0.00071488-0.0041846i,0.0034384-0.004397i,0.019445+0.021848i,0.0022749-0.0074993i,0.00096178-0.0034023i,0.0065503-0.0060779i,-0.0092574+0.0010307i,0.0012492+0.0021835i,0.0057821-0.0044277i,0.0049187+0.0002977i,-0.0034686+0.0076837i,0.014993-0.008972i,0.01885+0.0021599i,-0.019602-0.08863i,-0.034922-0.04265i,-0.012221-0.037629i,-0.014126-0.027589i,0.056107-0.073247i,0.0034853-0.10166i,0.046196-0.055176i,0.0069231-0.067606i,0.0077527-0.00745i,0.0049693-0.0029039i,-0.00080349-0.036311i,0.0027412-0.00032299i,-0.0098567-0.013221i,-0.0057572-0.0081415i,-0.040516-0.020442i,-6.8028e-05+0.027826i,-0.0049239-0.011774i,-0.0089694+0.004909i,-0.0054653+0.0017802i,-0.014392-0.01019i,-0.0045976+0.01487i,0.013367+0.0037841i,0.020424+0.018252i,0.0068042-0.00079968i,-0.0038404+0.001467i,-0.0054071-0.00014619i,-0.01246+0.010309i,-0.0028334-0.0032151i,-0.03155+0.024443i,-0.0072768-0.0052372i,-0.0074409+0.0069364i,-0.008424+0.0069473i,-0.0013156-0.0055075i,-0.0062872+0.0064326i,0.0012539-0.0025163i,0.0027797+0.0022743i,0.0027403-0.0013146i,-0.008764+0.0055348i,0.0039962+0.0021382i,-0.0075412+0.015358i,0.0030802-0.0047761i,-0.024982+0.012237i,-0.025452+0.021973i,-0.00086843-0.080717i,0.00077043-0.01747i,-0.049848-0.00040728i,-0.021426-0.011651i,0.017024-0.003152i,-0.0090615+0.020224i,-0.021685-0.010367i
-0.025977-0.029945i,-0.025992-0.035448i,-0.025465-0.054489i,-0.031281-0.012038i,-0.0032924-0.0031212i,-0.046827-0.003252i,-0.081334-0.0029651i,-0.061931-0.051417i,-0.049591-0.022538i,0.0069066+0.011222i,-0.0015272+0.014359i,0.0069769+0.01253i,0.011452-0.0039494i,-0.0069232+0.0091194i,0.0031743+0.0037257i,0.016799+0.013353i,0.051846+0.0073111i,0.0068428-0.0011083i,-0.0059466+0.0055619i,0.0051013-0.0042905i,0.0019323+0.0038288i,0.0040952+0.0069162i,4.9354e-05+0.0010056i,-0.00049752+0.024067i,-0.0040184-0.001176i,0.0032016-0.0023509i,0.0029182-0.0018274i,0.0040948+0.00015347i,-0.00095319-0.00092851i,-0.0033129-0.0019873i,-0.0031528-0.0033291i,-0.0040715-0.0011107i,-0.0065879-0.0036752i,-0.0010902-0.0045291i,-0.00018128-0.0067428i,0.0211+0.012163i,-0.00045619-0.0079202i,-0.00031089-0.0037547i,0.0027697-0.0085891i,-0.0060639+0.0050182i,0.0023997+0.0017275i,0.0027898-0.0058415i,0.0053227-0.0012107i,-0.00046692+0.0075995i,0.016761-0.016233i,0.026568-0.0070045i,-0.033347-0.082912i,-0.038568-0.030799i,-0.013769-0.042267i,-0.012644-0.029633i,0.038325-0.10081i,-0.025192-0.10477i,0.044499-0.074734i,-0.0023411-0.06654i,0.0068642-0.0059567i,0.0009631-0.0057703i,-0.014108-0.032418i,0.0022772-0.0091461i,-0.014217-0.0077767i,-0.011829-0.011303i,-0.047936+0.00056591i,0.01125+0.02207i,-0.0089243-0.0089697i,-0.0059525+0.0057478i,-0.004489+0.0044422i,-0.01974-0.0027555i,0.0037268+0.013544i,0.016112-0.0032503i,0.023938+0.006431i,0.0072273-0.0030983i,-0.0047249+0.0014149i,-0.005751+0.0027554i,-0.0071466+0.016805i,-0.0044925+5.8679e-05i,-0.025601+0.03257i,-0.0078688-0.0024318i,-0.0022631+0.0093014i,-0.0023459+0.011794i,-0.0055623-0.0025036i,-0.0021314+0.0053369i,0.00079475-0.0027939i,0.0019636+0.0022472i,0.00053826-0.0033392i,-0.0032406+0.0048897i,0.0010287-0.00091609i,-0.003725+0.017382i,-0.0011283-0.0043189i,-0.017473+0.01818i,-0.016724+0.024987i,-0.0099865-0.080847i,0.0012201-0.014638i,-0.045628+0.013657i,-0.029237-0.0089281i,0.013992-0.0088782i,-0.00066962+0.015841i,-0.021719-0.0058682i
-0.028276-0.025175i,-0.033656-0.0333i,-0.039505-0.054291i,-0.02922-0.0091193i,-0.0088379-0.010836i,-0.045537+0.0066603i,-0.065016+0.016775i,-0.064605-0.035036i,-0.04522-0.012738i,0.0091045+0.0096863i,0.0039367+0.012414i,0.0089335+0.00902i,0.0059547-0.0089572i,-0.00086734+0.011532i,0.0028864+0.0022476i,0.014073+0.009074i,0.041774-0.017358i,0.0057485-0.0041011i,-0.0016265+0.010381i,0.0026842-0.0047798i,0.003557+0.0042611i,0.006325+0.0042143i,0.00017556+0.0020343i,0.017792+0.018741i,-0.0040558+0.00055929i,0.0020015-0.0033889i,0.0018857-0.002739i,0.0037744-6.8991e-06i,-0.00016879-0.00019487i,-0.0042924+0.00023684i,-0.0039693-0.0020638i,-0.0040543+0.00027201i,-0.0063092-0.00044108i,-0.0036-0.0037052i,-0.0030528-0.0054169i,0.022103+0.0069965i,-0.0029281-0.0072811i,-0.0022794-0.0034218i,-0.00081752-0.0079671i,-0.0020094+0.0018194i,0.0023615+0.00075943i,-0.00059787-0.0046644i,0.0055261-0.0022495i,0.00052288+0.0062003i,0.015025-0.028948i,0.031301-0.021164i,-0.041828-0.073742i,-0.037556-0.020933i,-0.017093-0.045889i,-0.012943-0.030206i,0.0036931-0.11988i,-0.050081-0.096336i,0.026754-0.09107i,-0.014043-0.061286i,0.0073479-0.0034909i,-0.003469-0.0059579i,-0.02322-0.022765i,-0.0046385-0.013049i,-0.016341-0.004521i,-0.020984-0.0065216i,-0.043885+0.019176i,0.015367+0.010793i,-0.012616-0.0045097i,-0.0038863+0.0056275i,-0.0031546+0.0068579i,-0.019764+0.0079613i,0.0046771+0.0088203i,0.014966-0.010603i,0.025044-0.0061541i,0.0054144-0.0075836i,-0.0066699+0.0038768i,-0.0035992+0.0058997i,0.0014992+0.018942i,-0.0044223+0.0039792i,-0.018085+0.042474i,-0.0094702-0.00073671i,0.0014235+0.0070285i,0.0041937+0.010873i,-0.0070619+0.0012902i,-0.0026317+0.0025841i,-0.00085131-0.0034103i,0.0013254+0.0040111i,-0.0036214-0.0034194i,-0.0025314+0.0023782i,-0.0026647+0.0014844i,0.0030604+0.018608i,-0.0037554-0.0027902i,-0.0087355+0.020158i,-0.010632+0.025993i,-0.02181-0.07835i,0.0052322-0.020485i,-0.036705+0.027207i,-0.033293+0.00061858i,0.0088441-0.013492i,0.0012855+0.0080727i,-0.020987-0.0053907i
-0.029037-0.021696i,-0.038014-0.029546i,-0.055585-0.04701i,-0.029584-0.0078193i,-0.019842-0.011977i,-0.040296+0.015335i,-0.048343+0.022182i,-0.063401-0.023645i,-0.042554-0.0095365i,0.01063+0.00747i,0.0057653+0.0096967i,0.010576+0.0044012i,-0.00082681-0.010521i,0.0049864+0.0094645i,0.0021953+0.0016295i,0.012658+0.0070477i,0.022714-0.026582i,0.0046548-0.0054508i,0.0047722+0.0098833i,0.00061447-0.0040947i,0.0058802+0.0021436i,0.0061767+0.0016333i,0.0021294+0.002823i,0.025169+0.0036665i,-0.0017487+0.0024584i,0.00042964-0.0037242i,8.4245e-05-0.0012328i,0.0050512-0.0018406i,8.1436e-05-0.0010451i,-0.0025166+0.0032087i,-0.0035051-0.0011042i,-0.0040148+0.0012505i,-0.0063213+0.0018148i,-0.0050427-0.00070675i,-0.0036389-0.0035425i,0.023694+8.5873e-06i,-0.0055555-0.0056986i,-0.0041271-0.002962i,-0.0036626-0.0076767i,-0.0043385-0.0013314i,0.0030768+0.00037413i,-0.0018895-0.0020837i,0.0044103-0.0040927i,0.0011241+0.0059014i,0.0047647-0.037652i,0.020696-0.03986i,-0.044082-0.066132i,-0.03599-0.013808i,-0.022155-0.045871i,-0.012613-0.034258i,-0.035437-0.11515i,-0.071928-0.079911i,0.0075074-0.095822i,-0.016265-0.048198i,0.01413+0.00041595i,-0.0062432-0.0034109i,-0.024299-0.0097243i,-0.010505-0.012922i,-0.020613+0.00057536i,-0.020143+0.0022295i,-0.034311+0.035359i,0.013077+0.0034855i,-0.0096601+0.0029622i,-0.0046203+0.0057272i,0.0017832+0.0091454i,-0.013184+0.015473i,0.0062162+0.0095481i,0.010421-0.02183i,0.014392-0.021267i,-0.0021957-0.011401i,-0.0067288+0.0082781i,-0.0016345+0.0067386i,0.0092453+0.016232i,-0.001211+0.0066775i,-0.00057308+0.054872i,-0.011228+0.0024188i,0.0018683+0.0060525i,0.0081161+0.005641i,-0.0056696+0.0075303i,-0.0035769+0.0044668i,-0.0041731-0.0024383i,0.0043718+0.0048288i,-0.0051307+0.0030993i,-0.0050526+0.0021307i,-0.00050349+0.006791i,0.0091585+0.014545i,-0.0051168-0.0015635i,-0.0024273+0.017151i,-0.0025329+0.027241i,-0.027279-0.070726i,-0.0029793-0.033709i,-0.016323+0.032232i,-0.030654+0.0089081i,0.0068402-0.019939i,0.00048896+0.0021653i,-0.021658-0.00063143i
-0.029665-0.019151i,-0.046245-0.02727i,-0.068789-0.033252i,-0.028396-0.0030087i,-0.028384-0.0040686i,-0.033951+0.02053i,-0.037126+0.021195i,-0.061671-0.015908i,-0.045297-0.0058094i,0.013154+0.0037197i,0.009139+0.0086073i,0.0080103-0.0013245i,-0.0082353-0.0073689i,0.0084461+0.0035263i,0.0019839+0.0010689i,0.011898+0.0060414i,0.0069002-0.024675i,0.0019706-0.0079255i,0.0080409+0.0049394i,-0.00049546-0.0025255i,0.0061415-0.0010315i,0.0075322+0.0007898i,0.0039353+0.0014965i,0.021389-0.0095112i,0.0018348+0.0015674i,-0.00020865-0.0031023i,0.0010833-0.0018867i,0.0044865-0.0047969i,-0.00018957-0.00081798i,-6.2025e-05+0.0032573i,-0.0035397-0.00071747i,-0.0030724+0.0024467i,-0.0043796+0.0040786i,-0.0036135+0.001824i,-0.0043701-0.0036327i,0.020913-0.0082521i,-0.0063388-0.0023084i,-0.0049281-0.00091853i,-0.0072916-0.0049577i,-0.0090287+0.0010444i,0.0027592-0.00068576i,-0.00049008-0.0015991i,0.0027672-0.0053344i,0.0023072+0.0039479i,-0.0080364-0.039637i,0.0032643-0.042158i,-0.050648-0.0653i,-0.028459-0.0080122i,-0.025905-0.044645i,-0.021053-0.040504i,-0.062593-0.099696i,-0.079913-0.054358i,-0.015773-0.097267i,-0.010663-0.045053i,0.020595-0.01335i,-0.0069439+0.00019999i,-0.020498-0.0055132i,-0.019766-0.0093598i,-0.018844+0.01017i,-0.018068+0.0062331i,-0.014163+0.043925i,0.011957-0.00080859i,-0.007624+0.0032619i,-0.0011149+0.0056783i,0.0044796+0.0055737i,-0.0057294+0.019457i,0.010578+0.0069452i,-0.0051213-0.026817i,-0.0040502-0.022423i,-0.0054261-0.0043179i,-0.0027674+0.011759i,0.0020765+0.0060814i,0.015533+0.008154i,0.0024065+0.0056328i,0.02559+0.051126i,-0.0075345+0.0073472i,0.0030102+0.0044373i,0.0081916+0.0012931i,0.00038265+0.0099728i,-0.0052377+0.0059599i,-0.0056455+0.002076i,0.0074129+0.0038506i,-0.0021191+0.005976i,-0.0069145+0.004654i,0.0033541+0.0071364i,0.011295+0.0093426i,-0.0051234+0.001254i,0.0030058+0.014137i,0.0053058+0.024108i,-0.032667-0.069549i,-0.021798-0.034124i,-0.0019848+0.023366i,-0.027374+0.014796i,-0.0025574-0.026869i,-0.0034895-0.0015871i,-0.015261+0.0016634i
-0.031761-0.016943i,-0.05426-0.017645i,-0.076408-0.015733i,-0.02606-0.0022572i,-0.02819+0.0066332i,-0.02903+0.023993i,-0.030932+0.018761i,-0.060405-0.0098248i,-0.045712+0.0037948i,0.012963-0.00058336i,0.012325+0.002714i,0.0025638-0.0018239i,-0.010984-0.00047982i,0.0055479-0.00070973i,0.0011012+0.00040337i,0.014258+0.0036929i,-0.0026073-0.017761i,-0.0022476-0.0077089i,0.0071267+0.0011101i,-0.00050387-0.0015345i,0.0036492-0.0026364i,0.0071103-0.0023125i,0.003822-0.0003111i,0.013295-0.016973i,0.0013485-0.0009448i,-0.00047428-0.00333i,0.000728-0.0027062i,0.0014558-0.0055877i,0.0012822-2.0309e-05i,0.00068477+0.002301i,-0.0039869-0.00033126i,-0.0017904+0.0028799i,-0.0023344+0.0051513i,-0.0021547+0.0015329i,-0.0059416-0.00066487i,0.015327-0.014148i,-0.0049463-0.00020265i,-0.0038666+0.0015643i,-0.0064844-0.0019631i,-0.0085487+0.0063948i,0.0020737-0.00083661i,-0.00022915-0.0014928i,0.00021874-0.0057435i,0.0010771+0.0016967i,-0.018307-0.034334i,-0.0038685-0.032413i,-0.060503-0.062198i,-0.021738-0.009705i,-0.030459-0.042877i,-0.032194-0.036495i,-0.085342-0.081692i,-0.075102-0.034339i,-0.042934-0.086114i,-0.0094793-0.048657i,0.016085-0.025289i,-0.0051421+0.002119i,-0.019448+9.9125e-05i,-0.026072+0.0017984i,-0.011118+0.016847i,-0.014441+0.01184i,0.0065949+0.039547i,0.0093366-0.0062618i,-0.0078102+0.004389i,-0.0012337+0.0038979i,0.0067172+0.003933i,0.0029505+0.01723i,0.012026-0.00070212i,-0.020121-0.017911i,-0.015237-0.011974i,-0.0040345-0.00027374i,0.0038845+0.0115i,0.0035139+0.004082i,0.017473+0.00086571i,0.0053025+0.0051095i,0.043753+0.034779i,-0.0036422+0.0069159i,0.002642+0.0041731i,0.0066157-0.0031988i,0.0056943+0.0069434i,-0.0036727+0.011945i,-0.0029658+0.0075809i,0.0097714-0.00067993i,0.0027086+0.0060392i,-0.0060363+0.0083873i,0.0058891+0.0039433i,0.011886+0.0048735i,-0.0049361+0.0022307i,0.0052625+0.0096075i,0.010047+0.018746i,-0.039648-0.066564i,-0.03288-0.020518i,0.0043929+0.011232i,-0.015409+0.021819i,-0.014397-0.026772i,-0.010859-0.0015889i,-0.014799-0.0039731i
-0.034301-0.013407i,-0.056173-0.0054132i,-0.076987+0.0039251i,-0.026345-0.0010006i,-0.023285+0.013372i,-0.023751+0.027229i,-0.027484+0.015868i,-0.061499-0.0045895i,-0.039834+0.012411i,0.011284-0.0044425i,0.0091627-0.0027157i,0.0013405+0.0011774i,-0.0096267+0.0053868i,0.0029986-0.0025552i,0.00010644+0.0010436i,0.014831-0.0010744i,-0.0043039-0.01025i,-0.0049537-0.005311i,0.0057516-0.00014194i,-0.00023784-0.00088213i,0.002763-0.0013322i,0.0050879-0.00403i,0.003492-0.0010145i,0.0053729-0.01846i,-0.00025537-0.0017728i,-0.0016226-0.0040016i,-0.000265-0.0030993i,-0.000623-0.0052834i,0.0015931-0.00147i,0.0015988+0.0019523i,-0.004101+0.00011596i,-0.00056525+0.0029778i,-0.00023767+0.0044457i,-0.0020231+0.0025798i,-0.0041779+0.00057193i,0.0079099-0.017294i,-0.0035222+0.00048191i,-0.0021754+0.0027575i,-0.007582-0.00027651i,-0.005261+0.0096333i,0.0020655-0.00082183i,-0.00095403-0.0012738i,-0.0012036-0.0047488i,-0.0018344+0.0023159i,-0.024344-0.026892i,0.0017313-0.026739i,-0.072355-0.055263i,-0.019975-0.013352i,-0.03408-0.039808i,-0.038283-0.028706i,-0.1025-0.054138i,-0.071479-0.024966i,-0.05262-0.060158i,-0.012479-0.051189i,0.0060307-0.034199i,-0.0040282+0.0024626i,-0.015871+0.0010138i,-0.021546+0.014733i,-0.0030966+0.016423i,-0.0036434+0.013239i,0.015864+0.026415i,0.0044417-0.0085915i,-0.0069926+0.0075182i,-0.0019593+0.00386i,0.0064672-0.00077392i,0.0077507+0.013191i,0.0064089-0.0035382i,-0.025877-0.0035582i,-0.01708-0.0017774i,-0.0012302+0.00081821i,0.0067427+0.0093996i,0.0028081+0.0028637i,0.014267-0.0098884i,0.0065348+0.00040683i,0.052866+0.013403i,-0.0031298+0.0082358i,0.0045496+0.0031293i,0.002067-0.0054298i,0.0062834+0.0026919i,0.0022076+0.015594i,0.0041668+0.0059153i,0.0069158-0.0045259i,0.0057842+0.0023403i,-0.0024683+0.012451i,0.0044234+0.0033996i,0.010772+0.0015088i,-0.0058831+0.0036553i,0.0031946+0.0066513i,0.011991+0.01431i,-0.04634-0.062994i,-0.032736-0.0065736i,0.002357+0.0019718i,-0.0042716+0.016405i,-0.02617-0.021133i,-0.014178+0.0075378i,-0.020198-0.0016486i
-0.036059-0.0085045i,-0.054211+0.0041599i,-0.071567+0.021375i,-0.027413+0.00086081i,-0.016865+0.017272i,-0.017961+0.029652i,-0.027481+0.01405i,-0.063631+0.0039127i,-0.033466+0.016023i,0.0084083-0.0072485i,0.0049813-0.0038084i,0.0021181+0.0020244i,-0.0051569+0.0088427i,0.00021086-0.0031742i,0.0005557+0.0021282i,0.011441-0.0062589i,-0.0031387-0.0085067i,-0.0050703-0.0019708i,0.0054758-0.001319i,0.00056378-0.00038525i,0.0037073-0.0014545i,0.003086-0.0039013i,0.0034605-0.0017227i,-0.0016189-0.01763i,-0.0012704-0.0015884i,-0.0033463-0.0029808i,-0.0014624-0.0031213i,-0.0023796-0.0050318i,0.00089926-0.0021725i,0.0025668+0.00066723i,-0.0044674+0.0010151i,0.00060824+0.002563i,0.0009888+0.0034676i,-0.00051954+0.0031017i,-0.0043088+0.0014558i,0.00046679-0.015333i,-0.0033078+1.213e-05i,-0.00039652+0.002696i,-0.0065015+0.0039556i,-0.0010293+0.011657i,0.0023056-0.0011006i,-0.00029094-0.00029007i,-0.0016293-0.0043517i,-0.0013917+0.0058757i,-0.02474-0.019428i,0.010204-0.033956i,-0.083863-0.042375i,-0.021191-0.015318i,-0.035877-0.037202i,-0.0423-0.021619i,-0.10379-0.02462i,-0.069444-0.013234i,-0.047762-0.04438i,-0.016338-0.054682i,-0.0077819-0.036932i,-0.0026322+0.0029587i,-0.017101+3.2577e-05i,-0.01148+0.020532i,0.0018364+0.012652i,0.0028681+0.0054346i,0.016247+0.013649i,-0.0008077-0.0087438i,-0.0042472+0.009851i,-0.002507+0.0048594i,0.0036963-0.0034016i,0.010069+0.0074572i,0.0042531-0.0020325i,-0.022711+0.010418i,-0.014073+0.0068146i,-0.00023918+0.00083311i,0.010765+0.0066482i,0.0026651+0.0023307i,0.0052719-0.01429i,0.0040567-0.0025968i,0.050165-0.0080124i,-7.0484e-06+0.009866i,0.0037289+0.0011239i,-0.0012028-0.0037455i,0.006+0.0015164i,0.010032+0.015538i,0.0049047+0.001367i,0.0047991-0.0055169i,0.0048464-0.00043053i,0.003951+0.013027i,0.0052498+0.0023677i,0.010525-0.0018065i,-0.0037064+0.0079719i,0.0038565+0.0061363i,0.0137+0.01093i,-0.054437-0.059157i,-0.027938+0.0012206i,-0.00055179-0.0016037i,-0.0024028+0.0084241i,-0.034004-0.011119i,-0.008167+0.010401i,-0.018955+0.0027833i
-0.035992-0.0032401i,-0.050489+0.011979i,-0.060781+0.035265i,-0.026957+0.0047397i,-0.0093834+0.0175i,-0.01228+0.030608i,-0.02824+0.015209i,-0.06279+0.014493i,-0.028828+0.018576i,0.0048552-0.0086911i,0.0023227-0.0029884i,0.0037536+0.0016246i,-0.0011606+0.0097097i,-0.0027149-0.0017798i,0.00099247+0.0021457i,0.006743-0.008001i,-0.0054971-0.010243i,-0.0041691-0.00036846i,0.0045317-0.0025579i,0.0011195-0.00077061i,0.0038953-0.0028073i,0.002975-0.0033657i,0.0030907-0.0026746i,-0.0073071-0.015021i,-0.0022629-0.0010139i,-0.0039038-0.0013706i,-0.0029059-0.0022201i,-0.0038215-0.0035362i,0.0002354-0.0025327i,0.0019996-0.001282i,-0.0044207+0.0027579i,0.00094486+0.0021564i,0.0017448+0.0026697i,0.0015558+0.0024801i,-0.0032689+0.0026954i,-0.0030911-0.011271i,-0.0032836+0.00049942i,0.00083909+0.0015429i,-0.0025947+0.0051581i,0.0049695+0.011491i,0.0020417-0.0017078i,0.00042022-0.00031372i,-0.0028847-0.0044398i,0.0015037+0.0054432i,-0.022582-0.016497i,0.0074317-0.049304i,-0.089791-0.024859i,-0.021574-0.016605i,-0.038385-0.038804i,-0.044014-0.013214i,-0.098921-0.0035456i,-0.064261-0.0042581i,-0.044098-0.035044i,-0.023598-0.05663i,-0.022076-0.034292i,-0.0020965+0.0023588i,-0.022551+0.0025087i,-0.002426+0.019696i,0.0039981+0.0082739i,0.0022491-0.0016315i,0.012286+0.0070738i,-0.0053337-0.0080044i,-0.00068607+0.010627i,-0.0016834+0.0058999i,0.00066407-0.0035522i,0.0080849+0.0027016i,0.0040486-0.0014484i,-0.013654+0.017575i,-0.0077666+0.012226i,0.0015827-0.00049462i,0.013226+0.00043751i,0.002367+0.0024166i,-0.0025501-0.012603i,0.0014085-0.0033132i,0.039774-0.024003i,0.0043775+0.010293i,0.0027882+0.0013933i,-0.003319-0.0013236i,0.006214-0.0016922i,0.01703+0.010594i,0.0034035-0.0015029i,0.0021607-0.007084i,0.0031793-0.0023268i,0.0091027+0.0098631i,0.0053234+0.0021076i,0.0071753-0.0054166i,0.0009151+0.0089053i,0.0046478+0.004232i,0.016344+0.0068823i,-0.063331-0.051407i,-0.022717+0.0076497i,-0.0029486-0.0042041i,-0.0040288+0.0051825i,-0.037007-0.00010449i,-0.0053982+0.0085262i,-0.016235+0.0052433i
