-0.00061178-0.041367i,-0.00057719-0.046252i,-0.0072742-0.0479i,-0.030292-0.023731i,-0.022669+0.010473i,-0.036191-0.033811i,-0.062896-0.059041i,-0.018827-0.071274i,-0.024285-0.043726i,-0.00086437+0.016268i,-0.010545+0.013154i,-0.014384+0.013266i,0.0034899+0.013754i,-0.0028105-0.0021961i,0.001749+0.0058411i,-0.00016703+0.033818i,0.019474+0.056796i,0.0013196-0.00073584i,-0.0034477-0.0092848i,0.0075447+0.0042779i,0.0018012+0.0014229i,-0.0004806+0.003025i,1.0299e-06-0.00065062i,-0.037759-0.0094188i,-0.0023372-0.0076294i,-0.0012063+0.0044202i,0.0055441-0.0004057i,7.4855e-05+0.00024934i,0.00062273-0.00085273i,0.00050103-0.0022219i,-0.0013708-0.0059558i,-0.003189-0.0059784i,-0.00080181-0.007118i,0.0032925-0.00047247i,0.0033092-0.0017116i,-0.0022661+0.038622i,0.0066866-0.0037445i,0.0032506-0.00085564i,0.0054269-0.00034988i,-0.012451-0.0062435i,-0.0010552+0.00025527i,0.0097241-0.00028254i,0.0033404+0.0015327i,-0.0048295+0.0021007i,-8.9854e-05+0.010491i,-0.0056044+0.018358i,0.026747-0.081744i,0.00027964-0.054721i,-0.023026-0.043447i,-0.019394-0.037403i,0.063315-0.015732i,0.030848-0.057989i,0.038985-0.044252i,0.034234-0.051804i,0.019852-0.015886i,0.0076721+0.012146i,0.024283-0.033905i,-0.0083959-0.0054876i,0.0030424-0.0014219i,-0.0029465-0.0057983i,0.0054071-0.032125i,-0.025754+0.030429i,0.0088636-0.010212i,-0.012674-0.0026602i,-0.0046622-0.0016817i,0.00052141-0.01472i,-0.010632+0.0049749i,0.0032132+0.0069317i,-0.01489+0.030421i,0.0052464+0.0069377i,-0.0060346-0.0019429i,-0.0012116-0.0026015i,-0.011968-0.0078186i,0.00031615-0.0035435i,-0.036438+0.0057938i,0.0017649-0.012574i,-0.0093564-0.0029075i,-0.0071844-0.003341i,0.0063066+0.0021236i,-0.0091953+0.0020398i,-7.2584e-05+0.0017175i,0.0058394+0.010227i,0.0049741+0.00058263i,-0.0088311-0.010366i,0.0018056+0.0084455i,-0.020288+0.0052323i,0.0064872+0.0032107i,-0.027795-0.0089605i,-0.035986-0.0027316i,0.027322-0.077019i,0.014144-0.0093714i,-0.042319-0.028554i,-0.02443-0.0062694i,0.017091+0.012158i,-0.02704+0.010833i,-0.01159-0.010073i
-0.0087515-0.042594i,-0.0076674-0.04142i,-0.015296-0.049432i,-0.033422-0.018025i,-0.014027+0.0093917i,-0.044979-0.025983i,-0.069972-0.04467i,-0.028797-0.069039i,-0.030114-0.035853i,0.00097436+0.015145i,-0.0083595+0.012064i,-0.0060988+0.019506i,0.010336+0.0093345i,-0.0071934+0.0010488i,0.0028308+0.0048952i,0.0080933+0.028284i,0.033103+0.040992i,0.0023728+0.0016094i,-0.0075689-0.0042065i,0.0083043+0.00046947i,0.00086527+0.0021002i,-0.00045961+0.0035905i,-0.00033247+0.00043492i,-0.025715+0.01241i,-0.0049218-0.0050971i,0.0030933+0.0029057i,0.0039797-0.00070085i,0.0004902+0.0020537i,0.0014641-0.0014121i,-0.00066124-0.0028858i,-0.0017318-0.0046301i,-0.0039896-0.0047999i,-0.0026279-0.0064072i,0.0024869-0.0023091i,0.0028626-0.0015134i,0.010475+0.035092i,0.0058182-0.0063508i,0.0024306-0.0019318i,0.0068909-0.0022988i,-0.0087622-0.0026892i,-0.00069443+0.0016952i,0.0080417-0.002401i,0.0024706+0.002299i,-0.0067015+0.0038579i,0.0091443+0.0096147i,0.0084915+0.022706i,0.011541-0.086716i,-0.015951-0.059385i,-0.018133-0.036101i,-0.017083-0.025493i,0.066467-0.044571i,0.030385-0.078651i,0.041674-0.045093i,0.025225-0.062341i,0.0089093-0.010523i,0.0085612+0.0017964i,0.010121-0.036523i,-0.0071883+0.00063769i,0.0017657-0.011213i,-0.0039057-0.0067043i,-0.017552-0.035774i,-0.010624+0.029589i,0.0028244-0.01319i,-0.013386+0.0021156i,-0.0041093+0.00024451i,-0.0069565-0.014622i,-0.010337+0.0098978i,0.0068952+0.0077938i,0.0050722+0.031097i,0.0068778+0.0017683i,-0.0054805+0.0015455i,-0.0041535-0.0030443i,-0.016766+0.0012851i,0.00054828-0.0026237i,-0.039053+0.013461i,-0.0051711-0.010053i,-0.010096+0.0014085i,-0.008949+0.00050815i,0.004886-0.003968i,-0.0074471+0.0044326i,0.0018383+0.00041305i,0.0055672+0.0039823i,0.0033883-0.00091686i,-0.013954-0.0025227i,0.0036927+0.005504i,-0.015351+0.013232i,0.0065627-0.001278i,-0.029058+0.001582i,-0.036455+0.007913i,0.01319-0.079579i,0.010442-0.016324i,-0.049326-0.015294i,-0.018836-0.0064258i,0.018095+0.0063937i,-0.021527+0.017908i,-0.017838-0.016025i
-0.015352-0.040258i,-0.0097999-0.041784i,-0.024227-0.050191i,-0.034688-0.01102i,-0.0086248+0.0048823i,-0.051301-0.016057i,-0.079022-0.028158i,-0.04218-0.065544i,-0.034383-0.030278i,0.0035219+0.014297i,-0.0071735+0.015371i,0.0034096+0.017813i,0.012452+0.0017178i,-0.0071489+0.0050496i,0.0037764+0.0043352i,0.013323+0.021317i,0.04227+0.027883i,0.0053415+0.0014157i,-0.0065374+0.0008545i,0.0074354-0.002349i,0.00066625+0.002638i,0.00090649+0.0054522i,0.00019444+0.00088032i,-0.011826+0.01996i,-0.0046431-0.0021615i,0.0045396-0.00018139i,0.0030784-0.0018665i,0.0029809+0.0023329i,0.00010252-0.0020326i,-0.001272-0.0026195i,-0.0023456-0.0041964i,-0.0054639-0.0035097i,-0.0045647-0.0050772i,0.0014149-0.0036501i,0.004142-0.0042788i,0.021263+0.026499i,0.0030894-0.0075415i,0.0015792-0.0027128i,0.0060988-0.0065916i,-0.0087349-0.0014532i,0.0003165+0.00238i,0.0063004-0.0049515i,0.0041066+0.0028412i,-0.0054599+0.0072106i,0.016101+0.00083348i,0.023296+0.018807i,-0.0035943-0.087702i,-0.031533-0.051678i,-0.0096731-0.038333i,-0.011259-0.02765i,0.060082-0.070985i,0.012125-0.09916i,0.0483-0.051839i,0.01253-0.065024i,0.0074477-0.0077096i,0.0057799-0.0026322i,-0.0018376-0.038021i,0.0023596-0.00020418i,-0.0080169-0.013331i,-0.0043899-0.010022i,-0.037044-0.027084i,-0.0011516+0.027926i,-0.0038634-0.012668i,-0.010057+0.0058182i,-0.0050163+0.0016801i,-0.014204-0.011677i,-0.0044351+0.015375i,0.012822+0.0029032i,0.019093+0.020974i,0.0059689-0.00095047i,-0.0044561+0.001266i,-0.0055241-0.0014811i,-0.013966+0.011091i,-0.0025198-0.0028869i,-0.033125+0.025313i,-0.0074845-0.0052509i,-0.009136+0.0064772i,-0.0093943+0.0073786i,-0.00073126-0.0054644i,-0.0064124+0.005916i,0.0014402-0.0010157i,0.0031003+0.0023529i,0.0026617-0.0019299i,-0.0095304+0.0057115i,0.0034651+0.0025082i,-0.0093472+0.016076i,0.0034601-0.0047716i,-0.025024+0.010234i,-0.030841+0.018086i,0.003178-0.079569i,0.0039264-0.018188i,-0.049232-0.0022929i,-0.022656-0.011479i,0.017307-0.0012183i,-0.011366+0.019411i,-0.021882-0.012524i
-0.020005-0.037092i,-0.014188-0.045084i,-0.034311-0.049919i,-0.031515-0.0043659i,-0.0063508-0.0022061i,-0.053604-0.003567i,-0.080753-0.00073191i,-0.055497-0.054485i,-0.039626-0.022164i,0.006411+0.013149i,-0.0015895+0.018373i,0.0076754+0.012394i,0.010541-0.005294i,-0.0054783+0.0096706i,0.0039586+0.0025123i,0.014383+0.012784i,0.049286+0.0080631i,0.0065592-0.0016203i,-0.0057381+0.0046695i,0.0052111-0.0046358i,0.0024184+0.0038442i,0.0040843+0.0055038i,0.00045517+0.001069i,0.00086262+0.025769i,-0.0036724-0.00079914i,0.0034962-0.0027318i,0.0026451-0.0023177i,0.0036243-0.00029808i,-0.00022611-0.0011543i,-0.0025701-0.0025158i,-0.0029308-0.0034517i,-0.0060045-0.0019434i,-0.0061589-0.0030259i,-0.00018308-0.004424i,0.00065677-0.0066759i,0.024241+0.015527i,0.00015989-0.0082682i,0.00046927-0.0032709i,0.0023549-0.0085627i,-0.0065947+0.0028399i,0.0014769+0.0020299i,0.0029916-0.006528i,0.0052893+0.0012997i,-0.0020291+0.0077464i,0.019874-0.0067132i,0.035785+0.0091329i,-0.017742-0.084105i,-0.037608-0.039028i,-0.011277-0.043584i,-0.011226-0.029192i,0.042692-0.10008i,-0.01581-0.10446i,0.048485-0.072191i,0.0030432-0.064762i,0.0067121-0.005952i,0.0017575-0.0067806i,-0.015204-0.033298i,0.001675-0.0096221i,-0.012191-0.0088219i,-0.011467-0.013741i,-0.048035-0.0069141i,0.010889+0.022674i,-0.0086546-0.010193i,-0.0064401+0.0064593i,-0.004206+0.0039676i,-0.019875-0.0050288i,0.0035412+0.013416i,0.015245-0.0037811i,0.024552+0.0090936i,0.0054055-0.0031163i,-0.0053665+0.0011977i,-0.0066688+0.0015004i,-0.008058+0.018103i,-0.0046678+0.00019967i,-0.026702+0.034134i,-0.0081482-0.0022891i,-0.004249+0.0099036i,-0.0029098+0.012888i,-0.0051374-0.002753i,-0.0028953+0.0061456i,0.0014112-0.0014336i,0.0020639+0.0023789i,0.00046464-0.0037388i,-0.0034121+0.005562i,0.00022268-0.00033646i,-0.0053149+0.018418i,-0.00091263-0.0044074i,-0.018301+0.016297i,-0.022738+0.022542i,-0.0061328-0.080565i,0.0035523-0.016308i,-0.04568+0.011716i,-0.029878-0.0081369i,0.014391-0.0077095i,-0.0025433+0.01584i,-0.021785-0.0073379i
-0.023666-0.033335i,-0.023419-0.046316i,-0.047139-0.046859i,-0.027577-0.001269i,-0.010748-0.0094909i,-0.052126+0.0082817i,-0.063158+0.018478i,-0.060356-0.040936i,-0.037693-0.013181i,0.0090396+0.011714i,0.0053866+0.015911i,0.0095706+0.0088887i,0.0047765-0.0096982i,0.00028799+0.012044i,0.0033135+0.00085684i,0.012176+0.0088422i,0.040734-0.015056i,0.0052183-0.0042796i,-0.0019014+0.010292i,0.0027714-0.0054916i,0.0043542+0.004013i,0.0055352+0.0029547i,0.00064227+0.0016153i,0.020389+0.019686i,-0.003534+0.00063775i,0.0021562-0.0037501i,0.0010581-0.0030538i,0.0034095-0.00023253i,-0.00019347-0.00080259i,-0.0041645-0.00066256i,-0.0035025-0.0023207i,-0.0060579+0.00011575i,-0.0059293+1.8667e-05i,-0.002539-0.0041008i,-0.0017656-0.0054963i,0.025824+0.0091739i,-0.0028082-0.0076411i,-0.0013008-0.0034308i,-0.0014622-0.0080242i,-0.0027616+0.00042063i,0.0017467+0.0011108i,-0.0006565-0.0050662i,0.0060313-0.00020259i,-0.00093121+0.0065522i,0.020494-0.020137i,0.044648-0.0069467i,-0.026415-0.076465i,-0.038264-0.028376i,-0.014153-0.047772i,-0.010873-0.029592i,0.0072899-0.12024i,-0.041175-0.097428i,0.031069-0.090349i,-0.0087656-0.060839i,0.0073094-0.0037238i,-0.003513-0.0077505i,-0.024808-0.023191i,-0.0053773-0.013563i,-0.015011-0.0068269i,-0.021637-0.0086594i,-0.046571+0.012621i,0.015556+0.011636i,-0.012801-0.0055179i,-0.0047734+0.0066048i,-0.0031486+0.0062943i,-0.021507+0.0060275i,0.0044788+0.0083805i,0.014665-0.010633i,0.027126-0.0037213i,0.0040655-0.0069491i,-0.0076226+0.0042594i,-0.0049745+0.0052608i,0.00079841+0.020142i,-0.0043561+0.0035518i,-0.0186+0.043947i,-0.0096043-0.00056459i,0.00033012+0.0077146i,0.0042234+0.011945i,-0.0068973+0.00072974i,-0.0025637+0.0035048i,0.00055621-0.0027725i,0.0013179+0.0040114i,-0.0037558-0.0037121i,-0.0025201+0.0020968i,-0.0027355+0.0019245i,0.0016293+0.020533i,-0.0036589-0.0029205i,-0.01008+0.019021i,-0.016923+0.025301i,-0.018069-0.078491i,0.0072366-0.021758i,-0.036991+0.026006i,-0.033128+0.0014962i,0.0092005-0.012415i,-0.00045356+0.0085464i,-0.021193-0.0063997i
-0.025301-0.030805i,-0.030006-0.044813i,-0.060449-0.0372i,-0.02544-0.00088399i,-0.020767-0.01127i,-0.046303+0.018756i,-0.04592+0.022877i,-0.062032-0.030632i,-0.035866-0.009574i,0.010701+0.0097683i,0.007662+0.012211i,0.011285+0.0038232i,-0.0019295-0.010655i,0.0063433+0.0095936i,0.0021566+5.7813e-05i,0.010995+0.0069945i,0.023345-0.02464i,0.0047271-0.0054918i,0.0048915+0.010502i,0.00055199-0.0049881i,0.0066368+0.0014309i,0.0053592+0.00058858i,0.0020691+0.0022054i,0.02765+0.0028592i,-0.001315+0.0024665i,0.00041487-0.0040127i,-0.0008638-0.00094149i,0.0043718-0.0017434i,-5.2802e-05-0.0011357i,-0.0030747+0.0026252i,-0.0028539-0.0015292i,-0.0057191+0.0016069i,-0.0058583+0.0021681i,-0.0041387-0.0016472i,-0.0024563-0.0041005i,0.028101+0.00094853i,-0.0055798-0.0060314i,-0.0032254-0.0029483i,-0.0042493-0.0074021i,-0.0055965-0.0023587i,0.0024842+0.0009559i,-0.0021058-0.0023743i,0.0055867-0.0020775i,-0.000138+0.0064533i,0.011774-0.030477i,0.037788-0.029008i,-0.028083-0.070209i,-0.037826-0.020166i,-0.01948-0.048951i,-0.0095206-0.034232i,-0.032973-0.11592i,-0.063014-0.082618i,0.011194-0.096478i,-0.01226-0.047147i,0.013589+0.00076239i,-0.007377-0.0051743i,-0.026216-0.0089952i,-0.011742-0.0134i,-0.020864-0.0023041i,-0.021563+0.0010144i,-0.039506+0.030182i,0.014549+0.0036513i,-0.011045+0.002458i,-0.0057594+0.0065183i,0.0014937+0.0086012i,-0.015373+0.014851i,0.0059858+0.0096439i,0.010584-0.021983i,0.017877-0.021224i,-0.0028653-0.010635i,-0.0076478+0.0094881i,-0.003168+0.0063668i,0.0086839+0.017594i,-0.0018865+0.0060725i,-0.00053715+0.056412i,-0.011452+0.00246i,0.00075664+0.0066957i,0.0086944+0.0066856i,-0.0058553+0.0073233i,-0.0032572+0.0048884i,-0.0028796-0.0029671i,0.0041928+0.0050931i,-0.0056207+0.0028524i,-0.0052267+0.0013372i,-0.00080409+0.0069918i,0.0086435+0.017447i,-0.0052749-0.0021037i,-0.0039085+0.016792i,-0.0083669+0.028888i,-0.023912-0.070469i,7.4426e-05-0.035254i,-0.016651+0.03176i,-0.028342+0.0092299i,0.0075135-0.018795i,6.9105e-05+0.0025708i,-0.021899-0.0012069i
-0.027544-0.029247i,-0.040846-0.045157i,-0.071004-0.022716i,-0.024905+0.0011566i,-0.029686-0.004147i,-0.03882+0.025169i,-0.034831+0.021037i,-0.063313-0.022571i,-0.038086-0.0061859i,0.013734+0.0063175i,0.011243+0.010497i,0.007775-0.0019369i,-0.0087369-0.0072465i,0.0097533+0.0027265i,0.001424-0.00033931i,0.010494+0.0062077i,0.0084333-0.023826i,0.002431-0.0076381i,0.0088617+0.0054312i,-0.0011808-0.0034802i,0.0062797-0.0018721i,0.0059692+0.00049488i,0.00352+0.0010601i,0.02298-0.01149i,0.0024143+0.0016306i,-0.00029804-0.0030738i,0.00035792-0.0016445i,0.0038126-0.0042592i,-0.00011264-0.00056417i,-0.00066184+0.0031768i,-0.0032276-0.001319i,-0.0044559+0.0034259i,-0.003938+0.0040394i,-0.0034176+0.00038494i,-0.0038251-0.0044022i,0.025489-0.0091765i,-0.006455-0.0026586i,-0.0041639-0.0012849i,-0.0072986-0.0045023i,-0.010633+0.00040096i,0.002292+1.2296e-05i,-0.00092142-0.0014464i,0.0046148-0.0039283i,0.0011362+0.004274i,0.0003441-0.034018i,0.022665-0.03497i,-0.033546-0.072552i,-0.030729-0.012522i,-0.023961-0.048256i,-0.018632-0.04162i,-0.060535-0.10026i,-0.07207-0.058437i,-0.013127-0.099126i,-0.0063631-0.042726i,0.021406-0.012472i,-0.0088381-0.0010492i,-0.021189-0.0033664i,-0.021782-0.0094788i,-0.01962+0.0092493i,-0.019472+0.0059056i,-0.020635+0.04138i,0.013059-0.0014958i,-0.00901+0.0029911i,-0.0023105+0.0069245i,0.0040603+0.0050976i,-0.0074433+0.020222i,0.010677+0.0071388i,-0.0051921-0.027202i,-0.001775-0.024972i,-0.0067037-0.0034225i,-0.0028839+0.013371i,0.00094844+0.0063735i,0.015506+0.0098739i,0.0011476+0.0055315i,0.026176+0.052084i,-0.0077114+0.0074526i,0.0018941+0.0053047i,0.0091014+0.0015599i,2.199e-06+0.010207i,-0.0046834+0.0055631i,-0.0052396+0.0012559i,0.0075142+0.0047728i,-0.0028673+0.0067097i,-0.0073456+0.0041157i,0.0028339+0.0071494i,0.012432+0.012042i,-0.0058074+0.0014927i,0.002136+0.013767i,0.00098897+0.027187i,-0.029108-0.069736i,-0.01866-0.038411i,-0.001459+0.023344i,-0.024807+0.0121i,-0.0013917-0.026207i,-0.0031349-0.0017129i,-0.015542+0.0016483i
-0.0308-0.027602i,-0.05328-0.036765i,-0.075777-0.0053879i,-0.021778+0.0036931i,-0.029874+0.0067327i,-0.03262+0.029435i,-0.029171+0.01798i,-0.064725-0.014526i,-0.038553+0.0018203i,0.014617+0.0016885i,0.014654+0.0037167i,0.0022963-0.0021019i,-0.0113-0.00053292i,0.0060399-0.0017593i,0.00040085-0.00076819i,0.012693+0.0040557i,-0.00053711-0.017731i,-0.0016498-0.0074411i,0.0073765+0.0010497i,-0.0016163-0.0022106i,0.0034466-0.0033156i,0.0062562-0.001974i,0.0033827-0.00049723i,0.013733-0.019261i,0.0024531-0.0015337i,-0.00037821-0.0033009i,0.00014109-0.0022616i,0.0015031-0.0048907i,0.0012596-0.0003358i,7.2505e-05+0.0024152i,-0.0037018-0.00089555i,-0.0025294+0.0043241i,-0.002009+0.0048449i,-0.0026579+0.00068191i,-0.0055923-0.0012075i,0.018968-0.016373i,-0.0052844-0.00046003i,-0.0035503+0.00078937i,-0.0067902-0.0016908i,-0.010406+0.0064993i,0.0018743-0.00020515i,-0.00045713-0.00099011i,0.0025238-0.0051117i,0.00014177+0.0021998i,-0.0098951-0.029543i,0.017289-0.028692i,-0.044312-0.073659i,-0.02362-0.012873i,-0.029857-0.047945i,-0.029233-0.036912i,-0.084192-0.082457i,-0.068905-0.039626i,-0.041558-0.088521i,-0.0034123-0.04695i,0.017475-0.025102i,-0.0075998+0.0018847i,-0.01723+0.0009843i,-0.028413+0.0025835i,-0.013035+0.014797i,-0.014827+0.012044i,0.00054628+0.040323i,0.0099398-0.0077665i,-0.0092807+0.0051991i,-0.0011703+0.0048904i,0.0058606+0.0033919i,0.0024983+0.018182i,0.011653-8.1788e-05i,-0.020291-0.017914i,-0.015413-0.014999i,-0.0036331+0.00084658i,0.004278+0.013201i,0.0027932+0.0048976i,0.018368+0.0023049i,0.004566+0.0054935i,0.044877+0.035434i,-0.0041065+0.0072211i,0.0015132+0.0051896i,0.007441-0.0033979i,0.0058787+0.0073947i,-0.0047298+0.012008i,-0.0034825+0.0064114i,0.010657+0.00039023i,0.0026296+0.007185i,-0.0069057+0.0079762i,0.0051398+0.004694i,0.013754+0.0068017i,-0.0049669+0.0026272i,0.004113+0.0088392i,0.0066633+0.022649i,-0.036353-0.066887i,-0.032664-0.024973i,0.0044229+0.010496i,-0.014193+0.018591i,-0.013395-0.027916i,-0.010512-0.0024538i,-0.014605-0.0040994i
-0.035516-0.024485i,-0.05944-0.023673i,-0.074037+0.013023i,-0.019653+0.0037973i,-0.026011+0.014013i,-0.026139+0.033289i,-0.026009+0.014759i,-0.06631-0.0067135i,-0.03378+0.0092306i,0.013574-0.0030938i,0.011319-0.0028105i,0.0012723+0.00065643i,-0.010034+0.0054541i,0.0030257-0.002995i,-0.0008313-5.0738e-05i,0.013397-0.0003776i,-0.0023544-0.01131i,-0.004218-0.0053759i,0.0060523-0.00017247i,-0.0018297-0.00092582i,0.002481-0.002221i,0.0048955-0.0035638i,0.0029929-0.001138i,0.0049655-0.020134i,0.00078074-0.0035513i,-0.0015994-0.0041575i,-0.00066047-0.002487i,-0.00038436-0.0046858i,0.0011241-0.0014932i,0.0011565+0.0024263i,-0.0037872-0.00047949i,-0.00049253+0.0044568i,-0.00018924+0.0040468i,-0.0025011+0.0019361i,-0.0041126-0.00025978i,0.010161-0.020471i,-0.0037985+0.00040121i,-0.0021243+0.0018946i,-0.0079443-8.369e-05i,-0.0071077+0.010432i,0.0019655-0.00030841i,-0.00086482-0.00083389i,0.00098486-0.005266i,-0.0028427+0.002695i,-0.015325-0.023178i,0.024641-0.026626i,-0.058972-0.070081i,-0.020881-0.016222i,-0.035577-0.043653i,-0.034333-0.031181i,-0.10158-0.054619i,-0.066493-0.031348i,-0.052979-0.062101i,-0.0062126-0.050511i,0.007269-0.03467i,-0.0063901+0.0029673i,-0.01429-0.00051533i,-0.023117+0.017142i,-0.0060245+0.016797i,-0.0043657+0.012897i,0.011889+0.028426i,0.0041299-0.010165i,-0.0077712+0.0080188i,-0.0015564+0.0046588i,0.0056384-0.00053664i,0.0070517+0.013832i,0.0063952-0.0031627i,-0.026397-0.0030025i,-0.018947-0.0038988i,-0.00020582+0.0010183i,0.0074126+0.010875i,0.0027377+0.0035767i,0.01568-0.0092904i,0.0062482+0.00063042i,0.053953+0.013542i,-0.003565+0.0085666i,0.0039809+0.0042643i,0.0023629-0.005858i,0.0067778+0.0038259i,0.0019471+0.015925i,0.0032151+0.0058819i,0.0084618-0.0044613i,0.0062376+0.0031498i,-0.0038246+0.012791i,0.0044483+0.003803i,0.012797+0.0027549i,-0.0059629+0.0036648i,0.001509+0.0065336i,0.009844+0.019139i,-0.043421-0.06301i,-0.033412-0.0092025i,0.0017757+0.00089388i,-0.00443+0.01227i,-0.025304-0.022638i,-0.01427+0.0067569i,-0.020157-0.0028687i
-0.039643-0.019262i,-0.06011-0.01312i,-0.067243+0.029034i,-0.020631+0.0038978i,-0.019804+0.019335i,-0.018963+0.036216i,-0.026197+0.012405i,-0.067698+0.0029766i,-0.028884+0.012233i,0.010794-0.0067557i,0.0063002-0.0041558i,0.0016923+0.0015257i,-0.0052332+0.0088528i,0.00044979-0.0034034i,-0.00059258+0.0012891i,0.010681-0.0050694i,-0.0022786-0.010014i,-0.0044313-0.0021322i,0.0058101-0.0019166i,-0.00091559+0.00037967i,0.0031373-0.0024392i,0.0032391-0.0036275i,0.0028644-0.0015786i,-0.0021708-0.018556i,-0.00095703-0.0035086i,-0.0034839-0.0030923i,-0.0016284-0.0026049i,-0.0022056-0.0043509i,0.00077231-0.0020603i,0.0024065+0.0012265i,-0.0044309+0.00033637i,0.0012082+0.0036072i,0.0011059+0.00325i,-0.0012634+0.0027377i,-0.0048691+0.00091802i,0.0011778-0.018353i,-0.0035322-8.441e-05i,-0.00058347+0.0019694i,-0.0063313+0.0040133i,-0.0025281+0.013186i,0.0019352-0.00059981i,0.00010321+0.00019463i,-0.00050249-0.0050175i,-0.0024593+0.006842i,-0.015082-0.016897i,0.035389-0.038257i,-0.074036-0.059332i,-0.022059-0.018331i,-0.03725-0.04008i,-0.03968-0.025475i,-0.10298-0.024903i,-0.065818-0.020498i,-0.048493-0.045012i,-0.0098162-0.054572i,-0.0066287-0.037699i,-0.0045353+0.0043213i,-0.016664-0.0019903i,-0.011953+0.023337i,-4.9622e-05+0.014655i,0.0015978+0.005278i,0.014021+0.016109i,-0.0012909-0.010185i,-0.0050502+0.0099961i,-0.0016834+0.0054708i,0.0030735-0.0031119i,0.0097748+0.0087633i,0.0042637-0.0015144i,-0.022862+0.011292i,-0.016273+0.0061577i,0.00082009+0.00013659i,0.012055+0.0077474i,0.0028986+0.0030967i,0.0061638-0.014698i,0.0035708-0.0021777i,0.051346-0.0080429i,-0.00034069+0.010392i,0.0034141+0.0021053i,-0.0011402-0.0040773i,0.0065519+0.0024684i,0.0097852+0.015276i,0.0044093+0.0016461i,0.0061466-0.0061852i,0.0054742+2.9409e-05i,0.0033803+0.014687i,0.004926+0.0027287i,0.012792-0.001529i,-0.0042001+0.0087631i,0.0023618+0.0065298i,0.012969+0.015818i,-0.051345-0.059158i,-0.028322-0.00078488i,-0.0019037-0.0022547i,-0.0042757+0.0046014i,-0.033842-0.013916i,-0.0084497+0.010245i,-0.019922+0.0009479i
-0.041843-0.013284i,-0.059014-0.0041566i,-0.0559+0.041434i,-0.020748+0.0072208i,-0.011786+0.021001i,-0.011672+0.037289i,-0.027091+0.013129i,-0.066521+0.013927i,-0.025471+0.014529i,0.0075403-0.0091277i,0.003738-0.0031708i,0.0030654+0.0014511i,-0.001257+0.0093063i,-0.0023729-0.0018376i,-0.00026331+0.00143i,0.0065103-0.0070935i,-0.0054254-0.011164i,-0.0038938-0.00078434i,0.0042386-0.0033269i,1.1379e-05+0.00057545i,0.0029232-0.0037865i,0.0029629-0.0032132i,0.0024833-0.0023372i,-0.0078572-0.015865i,-0.0023641-0.0026694i,-0.0040717-0.0012524i,-0.0029036-0.0018412i,-0.003459-0.0032284i,0.00011167-0.0025497i,0.0021358-0.00069327i,-0.0047169+0.0021492i,0.0016672+0.0026504i,0.0019239+0.0023979i,0.00045953+0.0022831i,-0.0040986+0.0022338i,-0.0032008-0.013646i,-0.0035464+0.00037429i,0.0003917+0.0010944i,-0.0028592+0.0047958i,0.0044481+0.013137i,0.0018503-0.00098965i,0.00073392-3.5091e-05i,-0.0018921-0.0047857i,0.0010036+0.0066013i,-0.011981-0.015219i,0.033118-0.06065i,-0.083895-0.04252i,-0.022033-0.019229i,-0.039691-0.041385i,-0.042922-0.017569i,-0.097806-0.0035495i,-0.062752-0.011746i,-0.044474-0.03485i,-0.016986-0.057211i,-0.020971-0.035684i,-0.0030589+0.0040574i,-0.023149+0.00010656i,-0.0015582+0.022084i,0.0034715+0.010708i,0.00079361-0.0013175i,0.011152+0.0093343i,-0.0062561-0.0096985i,-0.0015785+0.01091i,-0.00025813+0.0065226i,0.00029409-0.0031096i,0.0087917+0.0036017i,0.0043739-0.00084974i,-0.013587+0.018376i,-0.0096961+0.012604i,0.0020198-0.0011624i,0.015127+0.00043689i,0.0028449+0.0033153i,-0.0021857-0.012982i,0.0011881-0.0024653i,0.040876-0.024188i,0.0042627+0.010807i,0.0026551+0.0023498i,-0.0035654-0.0016334i,0.0068077-0.0010494i,0.016436+0.010614i,0.0032588-0.0012423i,0.0030329-0.008205i,0.0041326-0.0022042i,0.009301+0.011606i,0.0052729+0.0026404i,0.0087019-0.006252i,0.0011971+0.010263i,0.0035263+0.0048338i,0.016648+0.011631i,-0.060198-0.051661i,-0.02344+0.0055355i,-0.0038639-0.0042012i,-0.0075442+0.0027477i,-0.037784-0.0027702i,-0.0056387+0.008858i,-0.018007+0.0033057i
