-0.0018355-0.042059i,0.00010596-0.046441i,-0.0076746-0.047964i,-0.03051-0.022857i,-0.022943+0.010994i,-0.036679-0.033296i,-0.063045-0.057708i,-0.019488-0.070432i,-0.025756-0.051785i,-0.00095433+0.017223i,-0.0098911+0.01209i,-0.014024+0.013223i,0.0025568+0.013497i,-0.0028843-0.0018977i,0.0018536+0.0060468i,0.00023552+0.033621i,0.018423+0.050152i,0.001015-0.00048647i,-0.0034922-0.0095651i,0.0078497+0.0038135i,0.001468+0.0012848i,-0.00096647+0.0034427i,-7.2671e-05-0.00057847i,-0.036001-0.0093916i,-0.0022704-0.0076645i,-0.0012839+0.004495i,0.0025169-0.0015547i,-0.0001338+0.00040651i,0.00072774-0.00068658i,6.1798e-05-0.0021865i,-0.0017807-0.0053428i,-0.0030165-0.0070015i,-0.0019815-0.0067817i,0.0036004-5.0541e-05i,0.0030996-0.001516i,-0.0047907+0.039058i,0.0070774-0.0043185i,0.0031745-0.00077613i,0.0049581-0.00017039i,-0.018374-0.0011506i,-0.00093156-0.00011674i,0.0089885-0.0027339i,0.0039319+0.0018794i,-0.0041626+0.0017289i,0.00032416+0.0086993i,-0.0055348+0.018228i,0.026033-0.081506i,-0.00025415-0.05499i,-0.023343-0.043439i,-0.019578-0.03731i,0.062726-0.016389i,0.030268-0.058373i,0.038595-0.044875i,0.033708-0.051631i,0.019399-0.015318i,0.0077569+0.012168i,0.024442-0.035742i,-0.0088521-0.0052139i,0.0030917-0.0014714i,-0.0024824-0.0054804i,0.004985-0.031589i,-0.025172+0.030421i,0.0089146-0.010262i,-0.012722-0.0032149i,-0.0046791-0.0014882i,0.00013728-0.014779i,-0.010615+0.0053304i,0.0032814+0.006774i,-0.014054+0.030176i,0.0055831+0.007124i,-0.0059789-0.001997i,-0.0011579-0.0023539i,-0.012283-0.0080453i,0.00035504-0.0034659i,-0.03553+0.00040517i,0.0020316-0.012694i,-0.0095649-0.0029265i,-0.0066954-0.0033559i,0.0066859+0.0021944i,-0.0089334+0.0024218i,0.00028798+0.0017204i,0.0060096+0.0105i,0.0047662+0.0006121i,-0.0094839-0.010656i,0.0020067+0.0082938i,-0.021711+0.0066156i,0.0063424+0.0031575i,-0.027935-0.0087284i,-0.036576-0.0020413i,0.027976-0.078738i,0.013867-0.0088933i,-0.042846-0.028338i,-0.024442-0.005735i,0.017142+0.011949i,-0.026619+0.011864i,-0.012637-0.0095597i
-0.010267-0.042677i,-0.0073816-0.042041i,-0.016049-0.049643i,-0.033046-0.017806i,-0.013927+0.009906i,-0.045116-0.025492i,-0.069579-0.043429i,-0.029865-0.067847i,-0.029626-0.040875i,0.0019305+0.01586i,-0.0084897+0.011037i,-0.0057586+0.019209i,0.0095094+0.0096792i,-0.0067154+0.0015372i,0.0031243+0.0051279i,0.0081709+0.028067i,0.030628+0.043375i,0.0020668+0.0016695i,-0.00808-0.0043092i,0.0079162+0.00010449i,0.00064386+0.0020568i,-0.00062684+0.0031719i,-0.00041157+0.00054623i,-0.025107+0.010428i,-0.0048126-0.0053325i,0.0028944+0.0029662i,0.0034154-0.00068406i,0.00051329+0.002393i,0.0017353-0.0011301i,-0.0010653-0.0025733i,-0.0018445-0.0040287i,-0.0042535-0.0056183i,-0.0037243-0.0058938i,0.0030813-0.0022057i,0.002628-0.0012643i,0.0088796+0.0371i,0.0061165-0.0071038i,0.0022345-0.0019031i,0.006508-0.0020905i,-0.012015-0.0010465i,-0.00095761+0.0013209i,0.0068626-0.0032665i,0.0028746+0.0022652i,-0.0058364+0.0030242i,0.0089599+0.0079934i,0.0084601+0.022561i,0.011038-0.086224i,-0.01659-0.05923i,-0.018336-0.03629i,-0.017039-0.025362i,0.065805-0.045256i,0.029452-0.078642i,0.041286-0.045698i,0.024726-0.062265i,0.0085263-0.0097867i,0.0087615+0.0017678i,0.010865-0.037634i,-0.0075043+0.001129i,0.0018305-0.011169i,-0.003616-0.0065093i,-0.017679-0.03546i,-0.0098647+0.029737i,0.0026042-0.013147i,-0.013474+0.0012194i,-0.0041371+0.00048301i,-0.0071804-0.014531i,-0.0103+0.010118i,0.0071709+0.0076449i,0.005951+0.03039i,0.0070775+0.0014822i,-0.005321+0.0014951i,-0.0038395-0.00293i,-0.016968+0.001676i,0.00067565-0.0025872i,-0.032859+0.01171i,-0.0051158-0.010183i,-0.010345+0.0015162i,-0.0086749+0.00045696i,0.0051215-0.0038711i,-0.0070173+0.0046283i,0.0020893+0.00033682i,0.0064279+0.0039486i,0.0030185-0.00046753i,-0.014589-0.0021388i,0.0034945+0.0053187i,-0.016425+0.015615i,0.0062355-0.0010046i,-0.028735+0.0015156i,-0.037261+0.0095271i,0.012469-0.081141i,0.010101-0.015908i,-0.049761-0.015164i,-0.01901-0.0066833i,0.018414+0.0062767i,-0.021157+0.018351i,-0.019144-0.015113i
-0.016583-0.039605i,-0.0099869-0.042561i,-0.025037-0.050123i,-0.034946-0.011865i,-0.0082857+0.0051567i,-0.051319-0.015579i,-0.078268-0.027185i,-0.042793-0.063952i,-0.033852-0.033842i,0.0044908+0.01412i,-0.0079189+0.014555i,0.0034561+0.017365i,0.012327+0.0019983i,-0.0066256+0.005022i,0.0041784+0.0043501i,0.013232+0.02106i,0.043705+0.027668i,0.0049215+0.0012558i,-0.0069722+0.0010268i,0.0068589-0.0021334i,0.00058294+0.0027509i,0.0014134+0.0051984i,0.00021553+0.0010444i,-0.01268+0.018747i,-0.0047737-0.0024259i,0.0043549+7.6455e-05i,0.0026689-0.0019501i,0.0030779+0.0027902i,0.00049157-0.0021782i,-0.0014789-0.0021388i,-0.0021716-0.0036407i,-0.0059344-0.0040204i,-0.0051855-0.0043709i,0.0019157-0.0035883i,0.0042151-0.0041059i,0.02104+0.029253i,0.0028702-0.0081947i,0.001438-0.0024576i,0.0057814-0.0061589i,-0.010955+0.00017216i,-0.00024003+0.0022265i,0.0055942-0.0056139i,0.0044638+0.0028732i,-0.0054978+0.0059376i,0.015078-0.00024056i,0.023079+0.018753i,-0.0039304-0.08726i,-0.031695-0.051778i,-0.010391-0.038779i,-0.011388-0.027659i,0.059068-0.071694i,0.011378-0.098688i,0.047654-0.052789i,0.012507-0.06477i,0.0072206-0.0067295i,0.0060361-0.002953i,-0.0043583-0.037615i,0.0023234-2.5796e-05i,-0.008253-0.012707i,-0.0043448-0.0098645i,-0.036981-0.026363i,-0.00063604+0.02764i,-0.0039143-0.01275i,-0.010191+0.0057884i,-0.0049844+0.0018202i,-0.014622-0.01183i,-0.0042901+0.0154i,0.012998+0.0024496i,0.017126+0.019973i,0.0058148-0.0012837i,-0.004295+0.0010829i,-0.0054064-0.0016968i,-0.013877+0.011308i,-0.0024428-0.0028171i,-0.024599+0.020973i,-0.0075557-0.0053452i,-0.0090693+0.0063942i,-0.0095099+0.0080157i,-0.00041107-0.0053174i,-0.0060583+0.0059295i,0.00172-0.0011786i,0.003214+0.0026848i,0.0025763-0.0016954i,-0.0096555+0.0060598i,0.0033981+0.0025332i,-0.0096925+0.018168i,0.0033488-0.0041768i,-0.024869+0.010077i,-0.030712+0.020132i,0.0015708-0.081347i,0.0040489-0.017272i,-0.049349-0.0019807i,-0.023126-0.01171i,0.017571-0.001526i,-0.010994+0.019995i,-0.023095-0.011336i
-0.020909-0.036189i,-0.014642-0.045883i,-0.034669-0.049372i,-0.033613-0.0031605i,-0.0059345-0.0022517i,-0.053471-0.0030955i,-0.079703-1.2098e-05i,-0.055937-0.053045i,-0.039905-0.024744i,0.0071786+0.012871i,-0.0024404+0.017988i,0.0076365+0.012063i,0.010505-0.0050688i,-0.0050062+0.0093057i,0.0044167+0.0024314i,0.014262+0.012674i,0.051764+0.0064572i,0.0058125-0.0018049i,-0.006181+0.0050548i,0.0049766-0.0038979i,0.0024176+0.0038872i,0.0041891+0.0051424i,0.00048425+0.0012953i,-0.00026344+0.024547i,-0.003864-0.00070942i,0.0032593-0.0025793i,0.0022079-0.0023331i,0.0040379-0.00015376i,-3.175e-05-0.0012845i,-0.0025691-0.0019062i,-0.0024652-0.0031762i,-0.0064927-0.0019991i,-0.0065377-0.0024478i,0.00028698-0.0045981i,0.00035783-0.0068469i,0.025021+0.018228i,-0.00041078-0.0086386i,0.00048905-0.0030902i,0.0025224-0.0078594i,-0.0074863+0.0047891i,0.00081153+0.0021918i,0.0023348-0.0068293i,0.005906+0.0013155i,-0.0024536+0.0065296i,0.018738-0.0072922i,0.035427+0.0089542i,-0.018096-0.083883i,-0.037604-0.038909i,-0.012192-0.043869i,-0.011431-0.029168i,0.041855-0.10048i,-0.016634-0.10381i,0.047425-0.07281i,0.0027964-0.064785i,0.0066829-0.00516i,0.0016606-0.0071064i,-0.016956-0.033768i,0.0018122-0.0098513i,-0.012236-0.008507i,-0.011292-0.013445i,-0.047542-0.0058552i,0.010977+0.0224i,-0.0091937-0.01004i,-0.0065044+0.0062795i,-0.0042197+0.0041176i,-0.020125-0.0047668i,0.0035787+0.013377i,0.015362-0.0040274i,0.035936+0.00048732i,0.0055833-0.0032528i,-0.0051449+0.00095835i,-0.0067174+0.0015031i,-0.00779+0.018042i,-0.0045144+0.00020483i,-0.024739+0.027867i,-0.0078986-0.0022732i,-0.0043492+0.0098021i,-0.0040656+0.013879i,-0.0049913-0.0024381i,-0.0028497+0.0064631i,0.0013913-0.0016078i,0.0021819+0.0028525i,0.00074805-0.0036103i,-0.0030345+0.0056896i,0.00018884-0.00027818i,-0.0072545+0.021023i,-0.0010513-0.0037976i,-0.018385+0.016166i,-0.021703+0.023315i,-0.0073339-0.082753i,0.0038791-0.015502i,-0.045647+0.012248i,-0.030291-0.0082935i,0.014734-0.0077582i,-0.002198+0.016029i,-0.022531-0.0062504i
-0.024361-0.032097i,-0.024229-0.047078i,-0.047474-0.046255i,-0.027427-0.00022976i,-0.010505-0.0098133i,-0.051855+0.0087209i,-0.062175+0.018667i,-0.060322-0.039406i,-0.038712-0.014764i,0.009842+0.011098i,0.0044147+0.015848i,0.0096729+0.0087448i,0.0049972-0.0092437i,0.00053901+0.011472i,0.0036405+0.00061425i,0.012198+0.0086754i,0.042945-0.015519i,0.0046273-0.0042665i,-0.0020824+0.010677i,0.0028786-0.0048647i,0.0043467+0.0041699i,0.0054181+0.0030231i,0.00073324+0.0017071i,0.015379+0.021718i,-0.0039431+0.00071721i,0.0019487-0.0038364i,0.00078227-0.0027201i,0.0040072+5.105e-06i,-0.00013121-0.00076113i,-0.0039649-0.00021667i,-0.0030579-0.0023833i,-0.0063321+0.00047185i,-0.0058459+0.0002163i,-0.0023537-0.00425i,-0.0022991-0.0053229i,0.027184+0.011841i,-0.0033031-0.0075459i,-0.0013306-0.0033117i,-0.0011281-0.0074039i,-0.0032046+0.0017717i,0.0011537+0.001559i,-0.0013785-0.0049186i,0.0064362-0.00079114i,-0.0016295+0.0057109i,0.019559-0.019906i,0.044221-0.0071266i,-0.02675-0.076609i,-0.038279-0.028149i,-0.014836-0.047962i,-0.011346-0.029653i,0.0062036-0.12014i,-0.041975-0.096916i,0.030206-0.090671i,-0.009131-0.060334i,0.0075217-0.0033931i,-0.0036163-0.0077693i,-0.025572-0.02324i,-0.0056102-0.013934i,-0.015178-0.0064129i,-0.021453-0.0086085i,-0.045551+0.013488i,0.01552+0.011715i,-0.013303-0.0051648i,-0.0048191+0.0065263i,-0.0031049+0.00637i,-0.021457+0.0063368i,0.0043969+0.0082528i,0.014872-0.010805i,0.026916-0.0042487i,0.0042827-0.0073001i,-0.0074233+0.0038487i,-0.0047724+0.0053627i,0.000972+0.020111i,-0.0043621+0.0035747i,-0.013517+0.040796i,-0.0091659-0.00087144i,0.00037071+0.0078059i,0.003828+0.012559i,-0.0067433+0.0011845i,-0.0025368+0.003638i,0.00062292-0.0031101i,0.0012517+0.0042031i,-0.0040957-0.0041819i,-0.0022194+0.002161i,-0.0027745+0.0017753i,0.00035373+0.023284i,-0.0033867-0.002361i,-0.0099951+0.019612i,-0.016018+0.025566i,-0.01894-0.080502i,0.0076041-0.020852i,-0.036891+0.026285i,-0.033497+0.0010945i,0.0095144-0.012406i,-0.00026407+0.0087247i,-0.021886-0.0050675i
-0.02578-0.029544i,-0.031165-0.045119i,-0.060723-0.036473i,-0.025402-0.00034549i,-0.020818-0.011553i,-0.045931+0.019145i,-0.045337+0.022751i,-0.061383-0.029247i,-0.036814-0.011074i,0.011378+0.0085673i,0.0068757+0.012708i,0.011254+0.0035245i,-0.0013669-0.010503i,0.005357+0.0091202i,0.0023146-0.00021005i,0.011122+0.0069142i,0.02479-0.02513i,0.0040403-0.0055549i,0.0049139+0.01094i,0.00063988-0.0046087i,0.006403+0.0016249i,0.0054469+0.00070459i,0.0021567+0.0021724i,0.029196+0.0049686i,-0.0017604+0.0027493i,0.00075573-0.0046917i,-0.00069372-0.00051265i,0.00511-0.0016022i,0.0001-0.0010369i,-0.0028023+0.00289i,-0.0025998-0.0015506i,-0.0060757+0.0022786i,-0.0056699+0.00201i,-0.0040885-0.0018606i,-0.0027914-0.0039401i,0.030188+0.0031158i,-0.0056098-0.00571i,-0.0033291-0.0029359i,-0.0044973-0.0064718i,-0.0063426-0.0011282i,0.0017822+0.0013605i,-0.0025757-0.0021445i,0.0054704-0.0026963i,-0.00097717+0.0059444i,0.011145-0.030201i,0.037235-0.028823i,-0.028393-0.070472i,-0.0377-0.020083i,-0.020278-0.04917i,-0.010374-0.034109i,-0.033748-0.11563i,-0.063651-0.081896i,0.010271-0.096259i,-0.012269-0.046905i,0.013621+0.00063359i,-0.0073224-0.0052292i,-0.026554-0.0090492i,-0.011768-0.013588i,-0.020946-0.0016412i,-0.02144+0.00098133i,-0.03788+0.030744i,0.014512+0.0040344i,-0.011292+0.0024204i,-0.0057448+0.0066116i,0.0016702+0.0087472i,-0.015031+0.014764i,0.0060321+0.0095627i,0.010618-0.022223i,0.016825-0.021273i,-0.0030049-0.010509i,-0.0077076+0.0093884i,-0.0030062+0.0062829i,0.0089915+0.018218i,-0.0017991+0.0059442i,0.0014027+0.052912i,-0.011324+0.0022913i,0.00079693+0.0067089i,0.0084653+0.0072015i,-0.0055591+0.0078336i,-0.0032982+0.0048276i,-0.0030881-0.0032256i,0.0042293+0.0053085i,-0.0058459+0.0030509i,-0.0049642+0.0014739i,-0.00093952+0.0069279i,0.0087869+0.018695i,-0.0048384-0.0014887i,-0.003563+0.017084i,-0.007649+0.029331i,-0.024882-0.072311i,0.00019328-0.035169i,-0.016355+0.032052i,-0.02887+0.0089545i,0.0084137-0.017602i,0.00019004+0.0025673i,-0.021397-0.00053665i
-0.027889-0.027944i,-0.041816-0.044895i,-0.070633-0.022033i,-0.024933+0.0016073i,-0.029855-0.004025i,-0.038453+0.025619i,-0.034529+0.020847i,-0.062485-0.02142i,-0.038867-0.0074578i,0.013597+0.0050111i,0.01075+0.011086i,0.0077272-0.0020105i,-0.0082121-0.0075283i,0.0089752+0.0034639i,0.0013406-0.00060251i,0.011124+0.006116i,0.0089808-0.023915i,0.0015151-0.0074853i,0.0090027+0.0058494i,-0.00098228-0.0032465i,0.0064827-0.0015864i,0.0058141+0.0001914i,0.00358+0.0010853i,0.023828-0.010753i,0.0021592+0.0023999i,-0.00061862-0.0027846i,0.00046679-0.0015239i,0.0052029-0.0064931i,4.0228e-05-0.00036979i,-0.00045295+0.0032991i,-0.0028953-0.0013376i,-0.0045681+0.004283i,-0.0036682+0.0037564i,-0.0035763+0.00017392i,-0.0040127-0.0040441i,0.027931-0.0083918i,-0.0062801-0.0024498i,-0.0041054-0.0013164i,-0.0080379-0.0035109i,-0.012008+0.002872i,0.0015242+0.00087796i,-0.001387-0.0011326i,0.0041683-0.0047557i,0.00030595+0.0042443i,0.00012834-0.033842i,0.022144-0.034513i,-0.034056-0.072678i,-0.030872-0.012468i,-0.024719-0.048257i,-0.019536-0.041044i,-0.061286-0.099926i,-0.072425-0.057821i,-0.013731-0.098539i,-0.006313-0.042493i,0.02068-0.012499i,-0.0089559-0.0011908i,-0.021261-0.0031861i,-0.021645-0.0096975i,-0.019396+0.0097102i,-0.019284+0.0058112i,-0.019307+0.041173i,0.012734-0.0013669i,-0.0094324+0.0027563i,-0.0021093+0.0069813i,0.0042088+0.0051994i,-0.0072025+0.01998i,0.010814+0.0068614i,-0.0053612-0.027247i,-0.0017514-0.025138i,-0.0067655-0.0034861i,-0.0027023+0.013325i,0.00094816+0.0062202i,0.015439+0.010281i,0.001291+0.0053857i,0.028578+0.051298i,-0.0076269+0.0073774i,0.0020251+0.0052454i,0.0090039+0.0019881i,0.00034178+0.010228i,-0.0049781+0.0056169i,-0.0053023+0.0011178i,0.0077339+0.0052412i,-0.0024589+0.0068192i,-0.0071266+0.0040316i,0.0028714+0.0071165i,0.013143+0.012631i,-0.0049624+0.0016416i,0.0022161+0.014182i,0.0012954+0.026964i,-0.030481-0.071105i,-0.018817-0.038376i,-0.0011926+0.023395i,-0.025201+0.013014i,-0.0018667-0.026949i,-0.0031349-0.0016678i,-0.01487+0.0015712i
-0.030963-0.026344i,-0.05372-0.036307i,-0.076039-0.0054059i,-0.02155+0.0041704i,-0.029674+0.0070988i,-0.031966+0.029806i,-0.029157+0.017878i,-0.06362-0.013602i,-0.039635+0.0012874i,0.014259+0.00090232i,0.01414+0.0045883i,0.0022349-0.0020199i,-0.011017-0.00095851i,0.005725-0.00085686i,0.00022657-0.00078483i,0.013289+0.0036661i,-0.00057879-0.017492i,-0.0023284-0.0069813i,0.0076305+0.0013859i,-0.0014606-0.0020827i,0.00358-0.0034468i,0.0059903-0.0020171i,0.0034717-0.0004902i,0.014261-0.018762i,0.002719-0.0013482i,-0.00041251-0.0029398i,0.00019102-0.0021901i,0.00074431-0.0044463i,0.0013428-1.4416e-05i,0.00028182+0.0024999i,-0.0033771-0.001042i,-0.0023381+0.0052499i,-0.0020042+0.0044718i,-0.0028332+0.00056534i,-0.0053753-0.00072767i,0.021324-0.017237i,-0.0050249-0.00048055i,-0.0036082+0.00060806i,-0.0069529-0.00093411i,-0.0089382+0.0095426i,0.001409+0.0012273i,-0.00082059-0.0005358i,0.002173-0.0054578i,-9.6451e-05+0.0022026i,-0.0097077-0.029794i,0.017041-0.028051i,-0.045343-0.073615i,-0.023846-0.012869i,-0.030335-0.047495i,-0.029751-0.036289i,-0.084976-0.081847i,-0.069072-0.039077i,-0.041934-0.087695i,-0.0034746-0.046969i,0.016955-0.024391i,-0.0077707+0.0018919i,-0.01726+0.0011677i,-0.028797+0.0025659i,-0.012603+0.01461i,-0.014452+0.011904i,0.001431+0.040113i,0.0095656-0.0068278i,-0.0098891+0.0047965i,-0.00095128+0.0048642i,0.0059913+0.0034014i,0.0026172+0.017829i,0.01156-0.00025072i,-0.02038-0.017842i,-0.016378-0.01479i,-0.003727+0.0010043i,0.0043792+0.013418i,0.0028126+0.00484i,0.018536+0.0032061i,0.004939+0.005082i,0.045486+0.034776i,-0.0039434+0.0072172i,0.0016927+0.005065i,0.0076073-0.003232i,0.0058557+0.0072282i,-0.0048164+0.01212i,-0.0034904+0.0063805i,0.0108+0.00069735i,0.003218+0.0071233i,-0.0069362+0.0075255i,0.0049558+0.0046001i,0.014538+0.0063933i,-0.0044194+0.0023532i,0.0045158+0.0091343i,0.0069378+0.022504i,-0.03832-0.067366i,-0.033117-0.025719i,0.0046378+0.010714i,-0.013853+0.018528i,-0.013425-0.027319i,-0.010693-0.0022931i,-0.014303-0.0041577i
-0.035385-0.023358i,-0.059821-0.023413i,-0.0753+0.014074i,-0.019169+0.0038132i,-0.025522+0.014234i,-0.025326+0.033322i,-0.026142+0.014799i,-0.064893-0.0061693i,-0.034857+0.0092187i,0.013388-0.0037319i,0.011966-0.0028341i,0.0013985+0.00080534i,-0.0093042+0.0047508i,0.0027209-0.0030089i,-0.00096778-5.0817e-05i,0.013904-0.00072294i,-0.0025503-0.010543i,-0.0043831-0.0044926i,0.0063228+0.00023533i,-0.0016367-0.00095576i,0.0024823-0.0024195i,0.0047433-0.0034864i,0.0030843-0.0012333i,0.0053996-0.019677i,0.00039897-0.00376i,-0.0014412-0.0038175i,-0.00040781-0.0024994i,-0.00080048-0.004439i,0.0014147-0.0011501i,0.0014042+0.0025422i,-0.0036144-0.00059114i,0.00013451+0.0052122i,-0.0001333+0.0038495i,-0.0027907+0.0018973i,-0.003766+0.00028869i,0.010487-0.022898i,-0.0036574+4.1239e-05i,-0.0021197+0.0017812i,-0.0075141+0.00093863i,-0.0054887+0.011813i,0.0014681+0.00078534i,-0.0012026-0.00032482i,0.00055576-0.0058913i,-0.0030379+0.0024043i,-0.015401-0.023642i,0.0246-0.026064i,-0.059634-0.068575i,-0.021258-0.01639i,-0.035561-0.043006i,-0.034835-0.03067i,-0.10232-0.053504i,-0.06651-0.030633i,-0.052947-0.061213i,-0.0062671-0.050537i,0.007977-0.033561i,-0.0064326+0.0031802i,-0.014268-0.00036604i,-0.023146+0.017054i,-0.0058554+0.016653i,-0.0041489+0.012643i,0.013569+0.027761i,0.0048368-0.0089364i,-0.0084187+0.0077666i,-0.0013827+0.0046051i,0.0057779-0.00069526i,0.007241+0.013415i,0.006416-0.0031735i,-0.026163-0.0032392i,-0.019821-0.0040919i,-0.00052115+0.0010503i,0.0078781+0.011508i,0.0027161+0.0034287i,0.01602-0.0090155i,0.0062194+0.00018i,0.052181+0.014492i,-0.0034701+0.0083569i,0.0041728+0.0040152i,0.0027286-0.0060857i,0.0067716+0.003422i,0.0022425+0.015903i,0.0030953+0.0056952i,0.0085423-0.0045696i,0.0065716+0.0027403i,-0.0026096+0.013054i,0.0043089+0.0037458i,0.012797+0.0021239i,-0.00557+0.0034447i,0.0021356+0.0065266i,0.0099929+0.019055i,-0.045358-0.06211i,-0.039733-0.010888i,0.0017681+0.0010966i,-0.004025+0.012364i,-0.024705-0.022182i,-0.014405+0.0073797i,-0.01981-0.0025434i
-0.039412-0.018371i,-0.060637-0.012726i,-0.067362+0.030228i,-0.020482+0.0036052i,-0.019339+0.019384i,-0.01833+0.036028i,-0.026257+0.012725i,-0.066038+0.0029718i,-0.02986+0.012157i,0.01051-0.0075242i,0.006123-0.0037758i,0.0019622+0.0014351i,-0.0050387+0.0075009i,0.00022828-0.0039002i,-0.00065339+0.0012648i,0.010669-0.0054491i,-0.0025786-0.0094409i,-0.0044196-0.0014602i,0.0062185-0.0012449i,-0.00089336+0.00033672i,0.0030256-0.0026957i,0.0032161-0.0035081i,0.0028281-0.0016596i,-0.001994-0.018519i,-0.001185-0.0032974i,-0.0031395-0.0028664i,-0.0014251-0.0028452i,-0.0023451-0.003857i,0.00099389-0.0020094i,0.0026978+0.0013311i,-0.0041534+0.00024321i,0.0018604+0.0038646i,0.00080284+0.0031723i,-0.0012576+0.0028775i,-0.0041083+0.0013372i,-0.00037432-0.018704i,-0.003545-0.00076929i,-0.00055992+0.0018524i,-0.0058193+0.0050888i,-0.00068501+0.014948i,0.00010336-0.00056948i,-0.00017058+0.00076285i,-0.0010818-0.0053588i,-0.0031218+0.006363i,-0.015298-0.01701i,0.035263-0.037766i,-0.073023-0.057627i,-0.022725-0.018409i,-0.037327-0.039618i,-0.040155-0.024742i,-0.10294-0.024167i,-0.065694-0.019695i,-0.04853-0.044091i,-0.0097995-0.054756i,-0.0051734-0.037419i,-0.004448+0.0045708i,-0.016539-0.0018251i,-0.011937+0.023369i,8.3675e-05+0.015034i,0.0016209+0.0050771i,0.01493+0.014739i,-0.00032334-0.010068i,-0.0056237+0.010415i,-0.0017741+0.00542i,0.0030133-0.0032984i,0.0093223+0.0086139i,0.004354-0.0016327i,-0.023021+0.010942i,-0.016913+0.0057924i,0.00041996+0.00048987i,0.012842+0.0081041i,0.0027174+0.002912i,0.0064254-0.014773i,0.0034778-0.0025049i,0.050428-0.0054059i,-0.00073566+0.010359i,0.0035577+0.0016668i,-0.0012197-0.0043743i,0.006304+0.0021323i,0.010176+0.014828i,0.0044352+0.001758i,0.0064669-0.0062093i,0.0053896-0.00044691i,0.0077865+0.012024i,0.0051311+0.0026267i,0.012702-0.0020962i,-0.0039274+0.0082059i,0.0028819+0.0062328i,0.013245+0.015932i,-0.05287-0.058466i,-0.029385-0.0029674i,-0.0019201-0.0020748i,-0.0039447+0.0045752i,-0.032762-0.013804i,-0.0083926+0.010854i,-0.019759+0.00088581i
-0.041664-0.012267i,-0.059293-0.003563i,-0.055179+0.04174i,-0.020813+0.0069542i,-0.011294+0.020846i,-0.011395+0.037099i,-0.026948+0.013529i,-0.065062+0.013218i,-0.026902+0.014713i,0.0065113-0.010284i,0.0038965-0.0026026i,0.0032853+0.0012229i,-0.0012281+0.0085367i,-0.0026774-0.0020346i,-0.00030413+0.0014264i,0.0065668-0.0072737i,-0.0054878-0.010253i,-0.0038-8.3811e-05i,0.0046273-0.0028277i,4.7933e-05+0.00056329i,0.0028514-0.0039178i,0.0028789-0.0030993i,0.0023996-0.0024261i,-0.0077857-0.015717i,-0.0023915-0.0027292i,-0.0036452-0.0011488i,-0.0029097-0.0022004i,-0.0034565-0.0026508i,0.0001842-0.0024184i,0.0024316-0.0007266i,-0.0044418+0.0019311i,0.0023729+0.0026447i,0.0013985+0.0024826i,0.00059462+0.0025554i,-0.0032899+0.0025663i,-0.0037555-0.013281i,-0.0036863-0.00056237i,0.00041713+0.0010236i,-0.0019075+0.0056391i,0.0072931+0.013077i,0.00047588-0.001857i,0.00053881+0.00067176i,-0.0026921-0.0051034i,6.1366e-05+0.0062851i,-0.011828-0.015072i,0.033019-0.060028i,-0.082339-0.042239i,-0.022864-0.018835i,-0.039776-0.041074i,-0.04309-0.016624i,-0.097906-0.0026503i,-0.062627-0.010928i,-0.044438-0.034177i,-0.016949-0.057555i,-0.019666-0.037026i,-0.0028729+0.0041847i,-0.023051+0.00016237i,-0.0017513+0.022109i,0.0020386+0.010118i,0.00084028-0.0012709i,0.011412+0.0079278i,-0.0051302-0.010216i,-0.0016709+0.011555i,-0.0007484+0.0065688i,-6.8294e-06-0.0032292i,0.0088595+0.003742i,0.0042921-0.00089104i,-0.013813+0.018585i,-0.009932+0.013479i,0.0021632-0.00059039i,0.015846-0.00015234i,0.0026169+0.0032656i,-0.0018522-0.013715i,0.00098148-0.0025945i,0.038513-0.019366i,0.0041852+0.011128i,0.0027887+0.0020905i,-0.0038374-0.0018149i,0.0066182-0.0011586i,0.016436+0.010116i,0.0035607-0.00131i,0.0029974-0.0084859i,0.0039751-0.0024626i,0.01149+0.0088047i,0.0053848+0.0024586i,0.0084804-0.0066434i,0.0007662+0.0095906i,0.0038922+0.0044322i,0.017081+0.011704i,-0.061745-0.050931i,-0.023344+0.0041966i,-0.0040433-0.0038859i,-0.007087+0.0027819i,-0.037728-0.003169i,-0.0053744+0.0091153i,-0.018128+0.0033524i
