-0.00078688-0.041383i,-0.0011389-0.046124i,-0.007783-0.047554i,-0.030714-0.023403i,-0.022738+0.01084i,-0.036649-0.033417i,-0.063192-0.058131i,-0.019209-0.07078i,-0.024422-0.043564i,-0.00081438+0.015878i,-0.010557+0.013055i,-0.014161+0.012948i,0.0036495+0.013337i,-0.0027595-0.0021866i,0.0019125+0.0057211i,0.00027769+0.03347i,0.019702+0.056601i,0.00095485-0.00061808i,-0.0034551-0.0090973i,0.0074293+0.0042461i,0.0016648+0.0013296i,-0.00046391+0.003197i,-2.6865e-05-0.00062127i,-0.037409-0.0091452i,-0.0023832-0.0075553i,-0.0014193+0.0045114i,0.0053499-0.00025926i,1.0927e-05+0.00023749i,0.00056533-0.0008748i,0.00038298-0.0021738i,-0.001355-0.0059471i,-0.0032853-0.0060128i,-0.00075079-0.0072537i,0.0032198-0.0006444i,0.0033802-0.0016643i,-0.001459+0.03887i,0.0066733-0.0036763i,0.0032511-0.00077293i,0.0052377-0.00021536i,-0.01253-0.0060904i,-0.0011042+0.00037632i,0.0095546-0.00044974i,0.0031425+0.0016086i,-0.0046972+0.0021331i,1.6807e-05+0.010277i,-0.0057947+0.018282i,0.026172-0.08172i,-0.00023581-0.05514i,-0.023366-0.043235i,-0.019657-0.037157i,0.063003-0.016345i,0.030383-0.058119i,0.038736-0.044698i,0.033867-0.052573i,0.01935-0.015587i,0.0077976+0.012077i,0.023977-0.034892i,-0.0086709-0.0054709i,0.0030208-0.0016164i,-0.0024387-0.0056227i,0.0048198-0.031769i,-0.025653+0.030786i,0.0087911-0.010372i,-0.012606-0.0026925i,-0.004611-0.0017214i,0.0001418-0.014752i,-0.010774+0.0053786i,0.003371+0.0067307i,-0.014019+0.029851i,0.0054509+0.006935i,-0.0059562-0.0020858i,-0.0011914-0.0024311i,-0.01184-0.0080741i,0.00031718-0.0035796i,-0.036089+0.0064578i,0.0017114-0.012547i,-0.0093361-0.0029191i,-0.0070639-0.0034096i,0.006493+0.0020736i,-0.0092355+0.0021165i,-2.0877e-05+0.0017018i,0.0057933+0.010032i,0.005008+0.00053643i,-0.0093422-0.010322i,0.001957+0.0084516i,-0.020226+0.0053629i,0.006979+0.0031398i,-0.027868-0.0088119i,-0.036041-0.0024861i,0.026586-0.077353i,0.013757-0.0094238i,-0.043098-0.028342i,-0.024619-0.0061101i,0.017337+0.011526i,-0.026968+0.011319i,-0.012116-0.0095544i
-0.0090051-0.042567i,-0.0081558-0.04115i,-0.015995-0.049032i,-0.033503-0.017677i,-0.014033+0.0097485i,-0.045144-0.025488i,-0.070002-0.043831i,-0.029123-0.068566i,-0.030348-0.035695i,0.0010002+0.014641i,-0.0083601+0.012085i,-0.0060086+0.019115i,0.010251+0.0090202i,-0.007044+0.0010466i,0.0030018+0.0047415i,0.0082838+0.027876i,0.033241+0.040915i,0.0020434+0.0016735i,-0.0074924-0.0038767i,0.0082049+0.00039873i,0.00083796+0.0021368i,-0.00044349+0.0037864i,-0.00036171+0.00040744i,-0.025317+0.012467i,-0.0048321-0.0050512i,0.002955+0.0032673i,0.003793-0.00058617i,0.00033627+0.002116i,0.0014044-0.0014448i,-0.00070706-0.0028257i,-0.0017913-0.0046055i,-0.0040645-0.0048373i,-0.0027213-0.0065576i,0.0024468-0.0023067i,0.0028467-0.0015252i,0.01101+0.034933i,0.0057328-0.0063521i,0.0024226-0.0019542i,0.0068528-0.0023164i,-0.008859-0.0026801i,-0.00076059+0.0018378i,0.0078373-0.0025228i,0.0023854+0.0023815i,-0.006638+0.0038475i,0.0092907+0.0093085i,0.0084326+0.022607i,0.01116-0.08644i,-0.016654-0.059355i,-0.018347-0.036147i,-0.017099-0.025258i,0.06592-0.045186i,0.029678-0.07881i,0.041185-0.045451i,0.024691-0.063381i,0.0087883-0.010148i,0.0086869+0.0015563i,0.0095807-0.037267i,-0.0074986+0.00069328i,0.0012884-0.01119i,-0.0035348-0.0067447i,-0.018058-0.035256i,-0.010401+0.029905i,0.0027948-0.013609i,-0.013294+0.0022536i,-0.004091+0.00019115i,-0.0070934-0.014558i,-0.010418+0.010208i,0.0071569+0.0075923i,0.0055784+0.030278i,0.0071574+0.0016887i,-0.0051721+0.0013507i,-0.0040543-0.0028677i,-0.016518+0.0011725i,0.00064747-0.0026501i,-0.038595+0.014299i,-0.0051462-0.010076i,-0.010081+0.0013969i,-0.0089072+0.00047615i,0.0048274-0.0040004i,-0.007462+0.0044607i,0.0017704+0.00033781i,0.0055117+0.0038717i,0.0033298-0.00088318i,-0.014371-0.0022382i,0.0036566+0.0054403i,-0.01528+0.013196i,0.0066347-0.0014223i,-0.028974+0.0018518i,-0.03633+0.0081997i,0.01264-0.079773i,0.010063-0.016436i,-0.049691-0.01503i,-0.019032-0.0063116i,0.018301+0.0060497i,-0.021527+0.018322i,-0.018302-0.015553i
-0.015636-0.040258i,-0.010074-0.04134i,-0.024744-0.049685i,-0.034632-0.010776i,-0.0085687+0.0050876i,-0.051289-0.015561i,-0.078874-0.027391i,-0.042371-0.0649i,-0.034629-0.03014i,0.0033517+0.013895i,-0.0072552+0.015286i,0.0031815+0.017462i,0.012333+0.0015788i,-0.0070132+0.0052019i,0.0037987+0.0041078i,0.013353+0.020894i,0.04228+0.027734i,0.0051176+0.0014761i,-0.0065571+0.00092748i,0.0074376-0.0023604i,0.00064509+0.0026073i,0.00095652+0.0057541i,0.00029399+0.00093918i,-0.011412+0.01988i,-0.0044916-0.0020751i,0.0046154+0.00022716i,0.0030182-0.0016819i,0.0029081+0.0024785i,0.00014229-0.0020584i,-0.0013776-0.0025656i,-0.0024154-0.0041955i,-0.0053757-0.003434i,-0.0046022-0.0052374i,0.0014597-0.0035918i,0.004091-0.00426i,0.021558+0.026207i,0.0029987-0.0075506i,0.0015503-0.0027049i,0.0060874-0.0066583i,-0.0089842-0.0014049i,0.00022703+0.0026052i,0.0061098-0.0050267i,0.0041487+0.0030112i,-0.0054622+0.0071192i,0.015919+0.00044765i,0.023254+0.018771i,-0.0039034-0.087462i,-0.031939-0.051539i,-0.010155-0.038724i,-0.01149-0.027612i,0.059273-0.071809i,0.011225-0.099066i,0.047776-0.05234i,0.01196-0.065819i,0.0073711-0.0073672i,0.0058675-0.0028517i,-0.0027932-0.038437i,0.0022062-0.00015978i,-0.0084715-0.013146i,-0.0041928-0.0098258i,-0.037366-0.026416i,-0.00088755+0.027702i,-0.003865-0.012769i,-0.0099151+0.0059761i,-0.0050316+0.001763i,-0.01427-0.01175i,-0.0042419+0.015719i,0.012979+0.002566i,0.019338+0.019971i,0.0061687-0.0010183i,-0.004095+0.0010068i,-0.0054113-0.0015345i,-0.013686+0.010845i,-0.0025331-0.0028664i,-0.032348+0.026093i,-0.0073401-0.0053218i,-0.0090627+0.0064735i,-0.0094282+0.0073411i,-0.0007802-0.0053946i,-0.0064177+0.0060112i,0.0013667-0.00094766i,0.0029577+0.0023694i,0.002681-0.0019814i,-0.0097926+0.0059325i,0.0030996+0.0026524i,-0.0092076+0.016105i,0.0035082-0.0047161i,-0.024913+0.010547i,-0.03055+0.018104i,0.002602-0.079755i,0.0036957-0.017956i,-0.049508-0.0019433i,-0.022639-0.011394i,0.017599-0.0017363i,-0.011198+0.019812i,-0.022431-0.011873i
-0.020361-0.037073i,-0.014449-0.044557i,-0.034674-0.04947i,-0.03138-0.0042553i,-0.0063755-0.0021431i,-0.053389-0.0029896i,-0.080372-9.7509e-05i,-0.055567-0.053847i,-0.039818-0.021975i,0.0061594+0.012935i,-0.0016233+0.018348i,0.0072931+0.012216i,0.010317-0.0053851i,-0.0053855+0.0099148i,0.0039956+0.0023317i,0.014422+0.012455i,0.048921+0.0081263i,0.0063764-0.0015737i,-0.005792+0.0047067i,0.0052029-0.0046082i,0.0022344+0.0037563i,0.0040077+0.0057603i,0.00053852+0.0011455i,0.001247+0.025506i,-0.0034626-0.00065878i,0.0035815-0.0024966i,0.0025819-0.0021086i,0.0036707-0.00022461i,-0.00024369-0.0012376i,-0.0025963-0.0024065i,-0.0029659-0.0033999i,-0.0058617-0.0018781i,-0.0063372-0.0030627i,-0.00015395-0.0045285i,0.00070558-0.0067597i,0.02456+0.015168i,0.0001995-0.0082444i,0.00043335-0.0033543i,0.0022062-0.0087258i,-0.0068082+0.0029029i,0.0014299+0.0022496i,0.0028914-0.0065152i,0.0057227+0.0014014i,-0.0020987+0.0075683i,0.019694-0.0072109i,0.035814+0.0091818i,-0.018092-0.083809i,-0.037988-0.039008i,-0.011898-0.043704i,-0.011614-0.029104i,0.041558-0.10044i,-0.016585-0.10418i,0.047689-0.072705i,0.0025326-0.065564i,0.0066837-0.0055599i,0.0017198-0.0068377i,-0.016104-0.033326i,0.0015129-0.0097981i,-0.012472-0.0086714i,-0.011175-0.013574i,-0.048104-0.0061752i,0.010864+0.022419i,-0.0086603-0.010026i,-0.0061709+0.0066063i,-0.004261+0.0040425i,-0.019907-0.0049347i,0.003726+0.013348i,0.015302-0.0040539i,0.024401+0.0081961i,0.0057566-0.0030912i,-0.0051083+0.00094097i,-0.0065661+0.001484i,-0.0079414+0.017987i,-0.0045415+0.00029307i,-0.025828+0.034612i,-0.0080136-0.0025093i,-0.0040679+0.0099926i,-0.0031374+0.013091i,-0.005242-0.0027319i,-0.002995+0.0062511i,0.0014301-0.0013646i,0.0020165+0.0024462i,0.00045319-0.003763i,-0.0036435+0.005585i,0.00014229-0.00045905i,-0.0051195+0.018444i,-0.00096336-0.0045538i,-0.018119+0.016669i,-0.022509+0.022501i,-0.0068096-0.080621i,0.0036301-0.015911i,-0.04576+0.012192i,-0.030042-0.0077359i,0.014671-0.0080674i,-0.002474+0.0159i,-0.022068-0.0069434i
-0.02399-0.033316i,-0.023536-0.045635i,-0.047388-0.046442i,-0.027431-0.0010423i,-0.010786-0.0095005i,-0.051697+0.0087589i,-0.062813+0.018773i,-0.060296-0.040407i,-0.037721-0.013005i,0.0087961+0.011626i,0.0052702+0.015844i,0.0091723+0.0089632i,0.0045433-0.0097056i,0.00028548+0.012249i,0.0033351+0.00063491i,0.012065+0.0084961i,0.040473-0.014992i,0.0051467-0.0043545i,-0.0019236+0.010282i,0.0028721-0.0053678i,0.0041866+0.003928i,0.0054996+0.0033602i,0.00072205+0.0016012i,0.020529+0.019197i,-0.00347+0.00074129i,0.0022504-0.0036202i,0.0010769-0.0029382i,0.0034536-0.00025209i,-0.00019697-0.00080458i,-0.0042198-0.00069846i,-0.003451-0.0022749i,-0.0058767+0.0002945i,-0.0059476+4.0134e-05i,-0.0025267-0.0040477i,-0.0019079-0.0055596i,0.025966+0.0087266i,-0.0027952-0.0076529i,-0.0013611-0.0034934i,-0.0015338-0.0079868i,-0.002998+0.00048846i,0.0017295+0.0013339i,-0.00068648-0.0049354i,0.0064712-0.00028707i,-0.0010282+0.0064224i,0.020083-0.020727i,0.044753-0.0068951i,-0.026602-0.076246i,-0.038721-0.028315i,-0.014816-0.047891i,-0.011344-0.029447i,0.0061083-0.12037i,-0.041762-0.096961i,0.030185-0.090771i,-0.009362-0.061438i,0.007591-0.0035205i,-0.0035133-0.0076239i,-0.025517-0.022956i,-0.0056687-0.013754i,-0.015373-0.0065951i,-0.02143-0.0086174i,-0.046312+0.013071i,0.015844+0.01157i,-0.012736-0.0054167i,-0.004547+0.0066177i,-0.0031656+0.0063637i,-0.021395+0.0061572i,0.0044956+0.0082492i,0.014442-0.01072i,0.027091-0.0044804i,0.0043295-0.0070072i,-0.0074485+0.0040945i,-0.0048386+0.00525i,0.00084979+0.020118i,-0.0042666+0.0036421i,-0.017774+0.044189i,-0.0094672-0.00070947i,0.00038701+0.0077194i,0.0042089+0.012069i,-0.0070168+0.00087447i,-0.0025244+0.0035031i,0.00034002-0.0028223i,0.00124+0.0041132i,-0.0038186-0.0036628i,-0.0027014+0.0023872i,-0.0029089+0.0017923i,0.0018098+0.020513i,-0.0036917-0.0029781i,-0.0098488+0.019283i,-0.016476+0.025407i,-0.018561-0.078198i,0.00737-0.02149i,-0.036649+0.02647i,-0.032987+0.0018558i,0.009319-0.01274i,-0.00045766+0.008633i,-0.021454-0.0060897i
-0.025674-0.030812i,-0.030009-0.044173i,-0.060556-0.03666i,-0.025486-0.00058134i,-0.020896-0.011279i,-0.045758+0.019125i,-0.045707+0.023028i,-0.062188-0.0302i,-0.035723-0.009418i,0.010553+0.0095982i,0.0075922+0.012194i,0.011035+0.0039835i,-0.002138-0.010512i,0.0063134+0.0097357i,0.0020961-5.9511e-06i,0.010797+0.0068726i,0.023196-0.024431i,0.0046419-0.0056722i,0.0047984+0.010377i,0.00064053-0.0049899i,0.0064995+0.0012596i,0.0051635+0.00083739i,0.0021093+0.002135i,0.027675+0.0024797i,-0.0011753+0.0026621i,0.00057789-0.0038618i,-0.00081342-0.00082603i,0.0043494-0.0016961i,-1.39e-05-0.0011894i,-0.0031559+0.0025361i,-0.0028615-0.0013995i,-0.0055822+0.0018013i,-0.0058856+0.0021097i,-0.004109-0.001735i,-0.0025661-0.0041959i,0.028099+0.00049625i,-0.00554-0.0060242i,-0.0032141-0.0030498i,-0.0042799-0.0074862i,-0.00571-0.0022301i,0.0024934+0.0010171i,-0.0020558-0.0022388i,0.0057758-0.0022383i,-0.00023806+0.0064112i,0.011324-0.030878i,0.037986-0.028687i,-0.028339-0.070151i,-0.03814-0.019922i,-0.020019-0.049002i,-0.010263-0.034071i,-0.034132-0.11591i,-0.06341-0.081984i,0.010434-0.096772i,-0.01275-0.047484i,0.013901+0.00064974i,-0.0072936-0.0051064i,-0.02654-0.0086628i,-0.01183-0.01345i,-0.021019-0.0019846i,-0.021482+0.00094972i,-0.039071+0.030389i,0.014627+0.0034124i,-0.010816+0.0024164i,-0.005522+0.0066311i,0.0016024+0.008773i,-0.015241+0.014804i,0.0060737+0.0094373i,0.010326-0.021895i,0.017444-0.021755i,-0.0028333-0.010458i,-0.0074817+0.0094322i,-0.003076+0.0062844i,0.0087931+0.017708i,-0.0018161+0.0060759i,0.00036066+0.056293i,-0.011287+0.0023778i,0.0007398+0.0067113i,0.0086058+0.0066883i,-0.0060048+0.0075043i,-0.0033017+0.0049746i,-0.0030115-0.0029856i,0.0041518+0.0052924i,-0.0055885+0.0030506i,-0.0052676+0.0014655i,-0.0009475+0.0069789i,0.008701+0.017338i,-0.005252-0.0019026i,-0.0038349+0.01697i,-0.0080055+0.028714i,-0.024412-0.070154i,9.6017e-05-0.03503i,-0.016197+0.031917i,-0.028331+0.0095189i,0.0074625-0.018833i,1.228e-05+0.0024791i,-0.021819-0.0011671i
-0.027865-0.029233i,-0.040791-0.044569i,-0.070784-0.022305i,-0.024941+0.0015639i,-0.029645-0.0040273i,-0.038233+0.025434i,-0.034728+0.02117i,-0.06348-0.021925i,-0.037835-0.0060309i,0.013513+0.0063373i,0.011205+0.01035i,0.0076547-0.0017301i,-0.0088396-0.0070964i,0.0096056+0.0028306i,0.0013443-0.00040678i,0.010459+0.0061403i,0.0082859-0.023759i,0.0024153-0.0077616i,0.0086402+0.0052495i,-0.0010954-0.0034371i,0.0061383-0.002054i,0.0058058+0.0006128i,0.0034866+0.0010216i,0.022795-0.011712i,0.0023822+0.0018882i,-0.00016302-0.0030296i,0.00041384-0.001696i,0.003808-0.0042439i,-5.254e-05-0.0006044i,-0.00077869+0.0030585i,-0.0031652-0.0012089i,-0.0042012+0.003555i,-0.0038562+0.0039578i,-0.0035369+0.00031353i,-0.0038693-0.0043787i,0.025385-0.0094845i,-0.0062918-0.0025772i,-0.0041284-0.0013216i,-0.0073085-0.0045859i,-0.010642+0.00057211i,0.0023567+8.7287e-05i,-0.00084519-0.0012964i,0.0047678-0.0042665i,0.001054+0.0043027i,-3.048e-05-0.034188i,0.022631-0.034742i,-0.033878-0.072464i,-0.030915-0.01237i,-0.024577-0.048041i,-0.019573-0.041276i,-0.061561-0.099871i,-0.072331-0.057823i,-0.01372-0.099292i,-0.0067899-0.042994i,0.02155-0.012538i,-0.0086954-0.0010488i,-0.021328-0.0031547i,-0.021825-0.0094743i,-0.019411+0.0092051i,-0.019378+0.006078i,-0.020089+0.041207i,0.012998-0.0017082i,-0.008877+0.0029707i,-0.0021368+0.0069501i,0.0041097+0.0051443i,-0.00731+0.020201i,0.010818+0.0068474i,-0.0055586-0.026951i,-0.0020738-0.024986i,-0.0067211-0.003347i,-0.0027034+0.013208i,0.00090742+0.0062084i,0.015538+0.0099053i,0.0011891+0.0053913i,0.026746+0.05156i,-0.0075963+0.0072925i,0.0019129+0.0053482i,0.0090168+0.0016303i,-8.1432e-05+0.010308i,-0.0047784+0.00575i,-0.0054273+0.0013775i,0.0074632+0.0049778i,-0.0027078+0.0066864i,-0.0074973+0.0043638i,0.0028402+0.0073663i,0.012458+0.011983i,-0.0055156+0.0016209i,0.0020871+0.013735i,0.0012056+0.026872i,-0.029407-0.069197i,-0.018673-0.038191i,-0.001123+0.023466i,-0.024583+0.012331i,-0.0014422-0.026356i,-0.0032332-0.0016598i,-0.015357+0.0017763i
-0.031188-0.027469i,-0.053232-0.036221i,-0.075494-0.0050829i,-0.021739+0.0041129i,-0.02967+0.0067462i,-0.031923+0.029557i,-0.029081+0.018179i,-0.064887-0.013927i,-0.038254+0.0019186i,0.014408+0.0017231i,0.014745+0.0036471i,0.0022625-0.001812i,-0.011343-0.00047755i,0.0058575-0.0017802i,0.00032487-0.00068183i,0.012671+0.0039448i,-0.00064641-0.017636i,-0.0017106-0.0076094i,0.0071577+0.0010456i,-0.0015716-0.0022215i,0.0033764-0.0034856i,0.006145-0.0019748i,0.0032906-0.00049768i,0.013395-0.019355i,0.0023552-0.0013076i,-0.00032122-0.0033345i,0.00016961-0.0023868i,0.0014239-0.0048302i,0.0012403-0.00033181i,5.085e-05+0.0022842i,-0.0036301-0.00076507i,-0.00237+0.0043304i,-0.001946+0.0049075i,-0.0027421+0.00061185i,-0.0056122-0.0012002i,0.018839-0.016627i,-0.0051426-0.0004117i,-0.0035771+0.00071883i,-0.0068093-0.0019746i,-0.010234+0.0066484i,0.0019091-0.00027336i,-0.00036537-0.00092612i,0.0023913-0.0054917i,7.4201e-05+0.0022181i,-0.010045-0.029806i,0.017089-0.028255i,-0.044618-0.073472i,-0.024012-0.01275i,-0.03014-0.04757i,-0.030004-0.036292i,-0.08495-0.081683i,-0.069091-0.039067i,-0.0421-0.088399i,-0.0041027-0.047342i,0.017636-0.025152i,-0.007559+0.0018324i,-0.017133+0.0011098i,-0.028449+0.0025154i,-0.012721+0.014786i,-0.01458+0.012043i,0.001151+0.039738i,0.0099264-0.0076173i,-0.0091883+0.0050509i,-0.0011322+0.0047708i,0.0057915+0.0033079i,0.0026629+0.018228i,0.011671-0.000379i,-0.020485-0.017461i,-0.015308-0.014863i,-0.0037131+0.00093449i,0.0044603+0.013086i,0.0027592+0.0049343i,0.01837+0.0024303i,0.00474+0.0052855i,0.04497+0.034558i,-0.004065+0.0071338i,0.001606+0.0051907i,0.007333-0.0033221i,0.0058186+0.0073705i,-0.0044633+0.012269i,-0.003513+0.0065984i,0.010775+0.00052592i,0.0027504+0.0071675i,-0.0067518+0.0081669i,0.0054113+0.0046366i,0.013653+0.0068274i,-0.0047776+0.0026302i,0.0040535+0.0087984i,0.0069999+0.022262i,-0.03651-0.066493i,-0.032972-0.024827i,0.0046325+0.010797i,-0.014165+0.018609i,-0.013506-0.027676i,-0.010576-0.0022372i,-0.014271-0.004198i
-0.035738-0.024304i,-0.059272-0.02317i,-0.07371+0.013232i,-0.019686+0.0040407i,-0.025615+0.013957i,-0.025523+0.033261i,-0.025925+0.014905i,-0.066361-0.0060232i,-0.033589+0.0091725i,0.013371-0.0029918i,0.011333-0.0029401i,0.0014751+0.00086174i,-0.0099779+0.0054256i,0.0028321-0.0029247i,-0.00089016-1.5803e-05i,0.013339-0.00038075i,-0.0024037-0.011383i,-0.0041318-0.0054183i,0.0058216-2.753e-05i,-0.0017403-0.00093436i,0.0024197-0.0023798i,0.0048533-0.0035894i,0.0029093-0.0010965i,0.0046155-0.020036i,0.00050537-0.0033349i,-0.0015833-0.004125i,-0.00061794-0.0026293i,-0.00036636-0.0046732i,0.0012315-0.0014543i,0.0010591+0.0023339i,-0.0037448-0.00032454i,-0.00042676+0.0044564i,2.8148e-05+0.0041056i,-0.0024796+0.0020368i,-0.0042229-4.1097e-05i,0.0099444-0.020658i,-0.0037689+0.00041189i,-0.0021699+0.0018805i,-0.0078369-4.0124e-05i,-0.006919+0.010486i,0.0019345-0.00037334i,-0.00079071-0.0007769i,0.00066135-0.0054466i,-0.0029569+0.0028091i,-0.015674-0.023545i,0.024364-0.026158i,-0.059154-0.06983i,-0.021165-0.015943i,-0.035872-0.043215i,-0.034841-0.030542i,-0.10196-0.053866i,-0.066685-0.030611i,-0.053366-0.061556i,-0.0069758-0.050665i,0.0075054-0.034699i,-0.0063321+0.0028591i,-0.014332-0.00026859i,-0.023031+0.016965i,-0.0057175+0.016489i,-0.0042763+0.012954i,0.012347+0.027553i,0.0040402-0.010089i,-0.007782+0.0078047i,-0.0016472+0.0045157i,0.0055843-0.00066664i,0.0072329+0.013743i,0.0063715-0.0033383i,-0.026408-0.0026853i,-0.018409-0.0037416i,-0.00042231+0.0011141i,0.007535+0.010848i,0.0027803+0.0036385i,0.015651-0.0093765i,0.0061724+0.00035187i,0.053717+0.01278i,-0.003509+0.008661i,0.0040004+0.0040773i,0.0023804-0.0058811i,0.0069134+0.0036891i,0.0023367+0.015885i,0.0031057+0.0058127i,0.0085109-0.0044179i,0.0062977+0.0030364i,-0.0032868+0.012836i,0.0046026+0.0039918i,0.012784+0.0028125i,-0.0057031+0.003774i,0.0015705+0.006412i,0.0098591+0.018797i,-0.043728-0.062538i,-0.033469-0.009034i,0.0021186+0.0012211i,-0.00435+0.01216i,-0.025261-0.022393i,-0.014213+0.0071683i,-0.020145-0.0027662i
-0.039765-0.019148i,-0.059816-0.012588i,-0.066954+0.029195i,-0.020796+0.0039172i,-0.01941+0.019198i,-0.018423+0.036177i,-0.026129+0.012677i,-0.067507+0.0036556i,-0.028881+0.0121i,0.010629-0.0065012i,0.006348-0.0041803i,0.0019063+0.0013904i,-0.0052677+0.0088459i,0.00045263-0.0032924i,-0.00061953+0.0013513i,0.010624-0.0050075i,-0.002523-0.010003i,-0.0044034-0.0021983i,0.0055428-0.0015952i,-0.00091622+0.00034969i,0.0030708-0.0025411i,0.0031672-0.0036647i,0.0027714-0.0015238i,-0.0025786-0.018237i,-0.0010072-0.0032358i,-0.0034952-0.0030276i,-0.001544-0.002763i,-0.0021944-0.0043118i,0.00085434-0.0021014i,0.0024527+0.0012091i,-0.004254+0.00052322i,0.001227+0.0035471i,0.0012214+0.0032629i,-0.0011437+0.0027024i,-0.0046711+0.0011646i,0.0010177-0.018444i,-0.0034598-5.9623e-05i,-0.00065592+0.0020088i,-0.0060365+0.0040697i,-0.0022798+0.013193i,0.0019339-0.0006046i,0.00022939+0.00013023i,-0.00086553-0.0050513i,-0.0025606+0.0068579i,-0.015313-0.017056i,0.035183-0.037868i,-0.074243-0.058974i,-0.022329-0.01798i,-0.037476-0.039628i,-0.040016-0.024735i,-0.1031-0.02412i,-0.065834-0.019924i,-0.04875-0.044362i,-0.010552-0.054802i,-0.0063575-0.037577i,-0.004636+0.0043074i,-0.0166-0.0017408i,-0.011542+0.023129i,0.00012874+0.014224i,0.0016979+0.0054708i,0.014215+0.015322i,-0.0016227-0.010095i,-0.005114+0.0097884i,-0.0018963+0.005429i,0.0030174-0.00324i,0.0097947+0.008663i,0.0043465-0.0015496i,-0.022697+0.011382i,-0.015908+0.0062587i,0.00054872+0.00030389i,0.012297+0.0078093i,0.0028223+0.0030412i,0.0060052-0.014771i,0.0035527-0.0024093i,0.050962-0.008582i,-0.00032286+0.010398i,0.0034477+0.001956i,-0.0012552-0.004047i,0.0066542+0.0020974i,0.01016+0.015116i,0.0043823+0.0018544i,0.0063085-0.0061852i,0.0054446-8.4497e-05i,0.0035888+0.014426i,0.0052753+0.002927i,0.012656-0.0014258i,-0.0039218+0.0088476i,0.0024237+0.0064762i,0.012957+0.015528i,-0.051492-0.058463i,-0.028477-0.00088879i,-0.001817-0.0021668i,-0.00419+0.0045852i,-0.033672-0.013608i,-0.0083706+0.010503i,-0.019906+0.00108i
-0.041903-0.013117i,-0.058565-0.0036771i,-0.055538+0.041371i,-0.020783+0.0070112i,-0.011317+0.020874i,-0.011152+0.037197i,-0.026977+0.013368i,-0.066194+0.014521i,-0.025621+0.01441i,0.007445-0.0088938i,0.0037767-0.0032177i,0.0032072+0.0012903i,-0.0012594+0.0093424i,-0.0023738-0.0018504i,-0.00027893+0.0014712i,0.0065163-0.0070058i,-0.0057846-0.011124i,-0.0039052-0.00083801i,0.0042175-0.0029497i,5.6815e-05+0.00055759i,0.0029338-0.0037829i,0.002928-0.0031322i,0.0023941-0.0022778i,-0.0083399-0.015398i,-0.002386-0.0025861i,-0.0040287-0.0012574i,-0.0028825-0.0019808i,-0.0034415-0.003178i,0.00013027-0.0025476i,0.0021319-0.0007675i,-0.0044961+0.0022476i,0.001746+0.0026397i,0.0019783+0.0023865i,0.00058119+0.0022899i,-0.0039046+0.0024349i,-0.0034412-0.013636i,-0.0035352+0.00043113i,0.00032825+0.0011788i,-0.0026386+0.004629i,0.0046165+0.01306i,0.0018337-0.00098184i,0.00084813-0.00019523i,-0.0020851-0.0047081i,0.00082211+0.0066576i,-0.012021-0.015459i,0.03292-0.060264i,-0.083929-0.042052i,-0.022346-0.01884i,-0.040072-0.040928i,-0.042977-0.016797i,-0.097687-0.0027213i,-0.062813-0.011224i,-0.044828-0.034225i,-0.017796-0.057296i,-0.020568-0.03561i,-0.0031617+0.0041247i,-0.022919+0.00037743i,-0.0013584+0.021701i,0.0034776+0.010332i,0.00097317-0.001103i,0.011292+0.0087068i,-0.0064479-0.0091872i,-0.0018651+0.010891i,-0.0004816+0.0065485i,0.00017988-0.0032043i,0.0087778+0.003629i,0.0044761-0.00095586i,-0.013538+0.018404i,-0.009196+0.012856i,0.0019094-0.0010627i,0.015308+0.00036635i,0.0027482+0.0032683i,-0.0023222-0.013092i,0.00115-0.0026633i,0.040442-0.024497i,0.0042959+0.010854i,0.0027346+0.0022009i,-0.0036086-0.0017115i,0.0069986-0.0013941i,0.016607+0.0103i,0.0033302-0.0010861i,0.0031845-0.0082732i,0.0040394-0.0023917i,0.0096099+0.011472i,0.0057601+0.0025587i,0.0087324-0.0061645i,0.001328+0.010064i,0.0035662+0.0048655i,0.016568+0.011438i,-0.060251-0.05129i,-0.02375+0.0055511i,-0.0036898-0.0039265i,-0.0072785+0.0027222i,-0.037578-0.0025426i,-0.0055507+0.0090745i,-0.01791+0.0035915i
