-0.0030052-0.041781i,-0.00012225-0.046684i,-0.0080351-0.048496i,-0.02951-0.023547i,-0.022802+0.010706i,-0.036582-0.032553i,-0.062627-0.058451i,-0.019097-0.069544i,-0.034287-0.049195i,0.00010487+0.016356i,-0.011099+0.012483i,-0.014477+0.013529i,0.003177+0.013343i,-0.0028106-0.0016749i,0.0020815+0.0061233i,-0.001179+0.034249i,0.022829+0.055318i,0.0011577-0.0009248i,-0.0041631-0.0097031i,0.0083513+0.0050249i,0.001714+0.00097707i,-0.0014237+0.0038232i,-0.00018765-0.00044485i,-0.035541-0.011361i,-0.0044533-0.0071884i,-0.0013519+0.0043667i,0.0028073-0.0026263i,-0.00042583+0.00041951i,0.00089593-0.00054235i,5.8532e-05-0.0025267i,-0.0015343-0.005303i,-0.0030315-0.0069771i,-0.0020069-0.0066574i,0.0035086+0.00027385i,0.0030012-0.0020052i,-0.0053601+0.038383i,0.0078606-0.005039i,0.0033448-0.0001586i,0.0048216-0.00041041i,-0.015426+0.0032401i,-0.00090123-5.2864e-05i,0.0055619+0.0012238i,0.0040377+0.0027496i,-0.0039332+0.0014531i,-0.00061967+0.0086467i,-0.0054097+0.017697i,0.025815-0.082261i,5.6202e-05-0.05436i,-0.023552-0.04396i,-0.019479-0.037988i,0.062546-0.016123i,0.029859-0.057884i,0.038592-0.044335i,0.034168-0.0523i,0.018871-0.016305i,0.00758+0.012556i,0.024126-0.033727i,-0.0081759-0.004502i,0.0031426-0.0012374i,-0.0025514-0.0054538i,0.0053334-0.0327i,-0.026408+0.031073i,0.0091491-0.010922i,-0.011665-0.0025634i,-0.0048447-0.0015542i,0.00027828-0.015157i,-0.0098325+0.0048861i,0.0035946+0.0065624i,-0.013385+0.030014i,0.0051017+0.0062314i,-0.0051613-0.0018546i,-0.001243-0.0024294i,-0.011734-0.0084205i,0.00014861-0.003557i,-0.040188+0.0011916i,0.0013339-0.013413i,-0.0091502-0.0022604i,-0.0071222-0.0033729i,0.0066995+0.0022206i,-0.0086888+0.0020047i,0.00024073+0.0017593i,0.0065236+0.0098303i,0.0049866+0.00077196i,-0.0088197-0.010235i,0.0016112+0.0083201i,-0.021473+0.0046454i,0.0064696+0.0031212i,-0.028259-0.0087848i,-0.035842-0.0025969i,0.02812-0.077948i,0.014-0.0098451i,-0.042965-0.028082i,-0.025275-0.0063021i,0.017285+0.012349i,-0.026831+0.011376i,-0.011479-0.0097138i
-0.01145-0.041819i,-0.0071511-0.042346i,-0.015481-0.04881i,-0.032775-0.017642i,-0.014307+0.0096008i,-0.044852-0.024578i,-0.069778-0.044197i,-0.029224-0.067196i,-0.037312-0.042405i,0.0015469+0.014767i,-0.0090874+0.012175i,-0.0059452+0.019702i,0.010279+0.0089576i,-0.00651+0.0016004i,0.0032847+0.0051401i,0.0075459+0.029182i,0.033319+0.034372i,0.0017299+0.0013295i,-0.0082806-0.0042784i,0.0080358-0.00062454i,0.0008424+0.001977i,-0.00046016+0.0029201i,-0.00033092+0.00057314i,-0.026953+0.0095173i,-0.0069897-0.0049842i,0.0024684+0.0031266i,0.0030502-0.0012609i,0.00027771+0.0022597i,0.0017673-0.00092487i,-0.0011219-0.0026015i,-0.001692-0.0038982i,-0.004231-0.0059526i,-0.0038777-0.0055444i,0.0034704-0.0017679i,0.0026286-0.0017108i,0.0072565+0.036036i,0.006941-0.0082843i,0.0024983-0.0018819i,0.0061609-0.0023022i,-0.010687-0.00046469i,-0.0010767+0.0013206i,0.0093642-0.0021222i,0.0028415+0.0026157i,-0.0063425+0.0024197i,0.0083013+0.0091122i,0.0086245+0.021982i,0.0099879-0.086861i,-0.015273-0.059587i,-0.018618-0.036424i,-0.017454-0.025837i,0.065387-0.044846i,0.029904-0.077942i,0.041514-0.045631i,0.025132-0.062446i,0.0084078-0.01067i,0.008649+0.0019949i,0.010181-0.038134i,-0.0073291+0.00084506i,0.0020654-0.010833i,-0.0034118-0.0065091i,-0.018457-0.035956i,-0.01098+0.030347i,0.0024983-0.013832i,-0.013584+0.0016234i,-0.0039974+0.00034851i,-0.0075561-0.014766i,-0.010517+0.0097187i,0.0066341+0.0071036i,0.0039925+0.030651i,0.0063577+0.0013368i,-0.0049497+0.0012328i,-0.0040122-0.0027674i,-0.017752+0.00019113i,0.00038477-0.0023801i,-0.043126+0.0054452i,-0.0054784-0.010427i,-0.0094051+0.0017882i,-0.0087251+0.00057098i,0.0049345-0.0039014i,-0.0072608+0.0045616i,0.0021982+0.00035868i,0.0056046+0.0039962i,0.0031879-0.0009039i,-0.014327-0.0019974i,0.0035026+0.0053872i,-0.016193+0.011064i,0.0063241-0.0011083i,-0.029124+0.0021261i,-0.036187+0.0087269i,0.013401-0.080085i,0.010481-0.016225i,-0.049187-0.014407i,-0.019786-0.0063749i,0.01867+0.0064437i,-0.020941+0.018585i,-0.017289-0.014878i
-0.017202-0.038745i,-0.0096889-0.043023i,-0.023222-0.049914i,-0.032698-0.011188i,-0.0089944+0.0052905i,-0.050957-0.015067i,-0.078666-0.027852i,-0.041889-0.063156i,-0.042576-0.037042i,0.0037372+0.014135i,-0.007602+0.015688i,0.0037834+0.017904i,0.012474+0.0019101i,-0.0061936+0.0049801i,0.0043607+0.0043043i,0.013038+0.021924i,0.039548+0.0243i,0.0042226+0.001536i,-0.007441+0.0011852i,0.0067227-0.0025875i,0.00074838+0.0025777i,0.0011825+0.004346i,0.00043953+0.00095758i,-0.014245+0.019934i,-0.0062655-0.0021202i,0.0042026+0.00013841i,0.0025543-0.0019805i,0.0030509+0.0026776i,0.00081453-0.0017711i,-0.0015275-0.0021126i,-0.0021667-0.0035453i,-0.0057621-0.004109i,-0.0051224-0.0043196i,0.0024406-0.0036372i,0.0035565-0.0046864i,0.017912+0.02906i,0.0031264-0.0097966i,0.0014199-0.0024547i,0.0056927-0.0065014i,-0.010385+0.00069808i,-0.00053471+0.0023104i,0.0059177-0.0052509i,0.0044002+0.003198i,-0.0057842+0.0056754i,0.015565+0.0013297i,0.02328+0.018018i,-0.0047287-0.087345i,-0.031343-0.051937i,-0.010591-0.038855i,-0.011614-0.028079i,0.058765-0.071519i,0.011618-0.098953i,0.047394-0.052632i,0.013032-0.064835i,0.0071304-0.0076148i,0.006056-0.0026515i,0.0020553-0.035398i,0.0022561-0.00043263i,-0.0078198-0.013287i,-0.0038539-0.010129i,-0.037802-0.027144i,-0.0013053+0.028172i,-0.0043013-0.012946i,-0.010131+0.0056856i,-0.0050707+0.0016496i,-0.014574-0.01139i,-0.0044298+0.015616i,0.012574+0.0029022i,0.016534+0.020026i,0.005612-0.00062845i,-0.0041698+0.0012054i,-0.0054078-0.0012494i,-0.014042+0.010675i,-0.0028059-0.0025752i,-0.035584+0.016517i,-0.0075388-0.0053065i,-0.008777+0.0064989i,-0.0086899+0.0071922i,-0.0006645-0.0053612i,-0.0059652+0.0057481i,0.0018579-0.00097984i,0.003461+0.0023722i,0.0023967-0.001751i,-0.0097786+0.0066162i,0.0034899+0.0022367i,-0.010091+0.013874i,0.0031824-0.004032i,-0.02509+0.010919i,-0.030245+0.018875i,0.0026848-0.080652i,0.0042936-0.017929i,-0.048405-0.0020392i,-0.023929-0.011158i,0.01797-0.0015809i,-0.010317+0.019947i,-0.021812-0.01148i
-0.021454-0.035578i,-0.014756-0.046421i,-0.03338-0.050435i,-0.032489-0.0072279i,-0.0066075-0.0016001i,-0.053345-0.0024899i,-0.08047-0.00064407i,-0.054515-0.052362i,-0.048083-0.025541i,0.0067549+0.013177i,-0.0018829+0.018871i,0.0080835+0.01209i,0.010815-0.0053701i,-0.0048842+0.0085597i,0.0045626+0.0021071i,0.014293+0.013451i,0.045281+0.0060088i,0.0056661-0.0010049i,-0.0060591+0.0053133i,0.004835-0.0043614i,0.0024776+0.0035321i,0.0036981+0.0046977i,0.00055987+0.0011006i,-0.0014054+0.027i,-0.0047785-0.00030421i,0.0033809-0.0022924i,0.0022516-0.0026541i,0.0041244-0.00024467i,0.00017053-0.0011097i,-0.0027174-0.0021385i,-0.0025759-0.0031324i,-0.0063442-0.0018789i,-0.0065825-0.0023454i,0.00085736-0.0046902i,-0.00045766-0.0064236i,0.022769+0.018679i,-0.00097773-0.010045i,0.00063393-0.0029835i,0.0017803-0.0082876i,-0.0075804+0.0052954i,0.00055568+0.0023137i,0.001986-0.0066529i,0.0057238+0.0021028i,-0.0027889+0.0065979i,0.020053-0.0058635i,0.035596+0.0083445i,-0.018742-0.083872i,-0.037582-0.039292i,-0.011795-0.04359i,-0.01204-0.029414i,0.040509-0.10049i,-0.01617-0.10383i,0.046681-0.072883i,0.0040711-0.064935i,0.0066701-0.0058491i,0.0017493-0.0068434i,-0.014924-0.032973i,0.0012212-0.010031i,-0.012231-0.0090004i,-0.01092-0.013899i,-0.04872-0.0068382i,0.010724+0.022768i,-0.0088863-0.010277i,-0.006762+0.0056431i,-0.0042034+0.0042528i,-0.020417-0.0044057i,0.0037273+0.013127i,0.014876-0.0038945i,0.02027-0.0027629i,0.005632-0.0028105i,-0.0050196+0.0012812i,-0.0064553+0.0015813i,-0.0082686+0.017779i,-0.0043837+0.00051282i,-0.028712+0.030074i,-0.0078969-0.002243i,-0.0039486+0.0099989i,-0.0025182+0.012143i,-0.005391-0.0026555i,-0.0026754+0.0057977i,0.0021351-0.0011344i,0.0022727+0.002318i,-2.0896e-05-0.0034836i,-0.0035794+0.0060044i,0.0001047-0.00065922i,-0.0048415+0.016885i,-0.0009585-0.0040071i,-0.018305+0.016934i,-0.022573+0.024178i,-0.0069306-0.081792i,0.0042366-0.016065i,-0.0451+0.011303i,-0.030939-0.0071063i,0.014796-0.008165i,-0.0018908+0.015452i,-0.021841-0.0060896i
-0.024643-0.03164i,-0.024251-0.047267i,-0.046981-0.047196i,-0.028807-0.0014822i,-0.010719-0.0088547i,-0.051795+0.009376i,-0.062976+0.018825i,-0.058836-0.039141i,-0.043397-0.015106i,0.00965+0.011414i,0.0052376+0.01666i,0.009814+0.0087335i,0.0050447-0.0097489i,-8.8681e-05+0.010499i,0.0035509+0.00035535i,0.012355+0.0093788i,0.036835-0.01437i,0.0047983-0.0038162i,-0.0018844+0.010831i,0.0023589-0.0048568i,0.0041991+0.0036412i,0.0049664+0.0025658i,0.00074099+0.001701i,0.023133+0.025587i,-0.0039429+0.0016253i,0.0024288-0.0034197i,0.00063821-0.00281i,0.0044558+7.7166e-05i,-4.5436e-05-0.00067803i,-0.0041426-0.00016262i,-0.0030642-0.0022412i,-0.0065716+0.00048611i,-0.0057891+0.00066578i,-0.0016899-0.0048314i,-0.0024239-0.0045746i,0.025952+0.012069i,-0.0037752-0.0085708i,-0.0011039-0.0033977i,-0.0017468-0.0086089i,-0.0036167+0.0022222i,0.00082572+0.0013798i,-0.0014613-0.0049064i,0.0073386+0.00042854i,-0.0016381+0.0056664i,0.021527-0.02005i,0.044299-0.0076629i,-0.027233-0.076688i,-0.038203-0.028244i,-0.014585-0.048179i,-0.011709-0.029067i,0.0046198-0.11978i,-0.040936-0.096901i,0.029016-0.089989i,-0.0077789-0.061202i,0.0072855-0.0036514i,-0.003617-0.0078345i,-0.025391-0.022686i,-0.0059392-0.013714i,-0.015157-0.0072023i,-0.021372-0.0089745i,-0.048248+0.013363i,0.015606+0.011623i,-0.013029-0.005636i,-0.0052663+0.0059178i,-0.0030639+0.0065854i,-0.021152+0.0064923i,0.0044804+0.008368i,0.014165-0.010418i,0.028682-0.0051957i,0.0043817-0.0066934i,-0.0071569+0.0043713i,-0.0048524+0.0050514i,0.00074015+0.020486i,-0.0042414+0.003619i,-0.016251+0.037183i,-0.0095852-0.0003259i,0.00057754+0.007743i,0.0040187+0.011565i,-0.0076009+0.001321i,-0.0023987+0.0031141i,0.0010437-0.0027862i,0.0015308+0.0041492i,-0.0039388-0.0022864i,-0.0030674+0.0019819i,-0.0028341+0.0017328i,0.0014076+0.020461i,-0.0036709-0.0024752i,-0.0098785+0.019574i,-0.015239+0.027741i,-0.019768-0.079595i,0.0081891-0.021419i,-0.036581+0.025582i,-0.033632+0.0029116i,0.0094546-0.012889i,0.00013552+0.0084095i,-0.020963-0.0049313i
-0.025938-0.029077i,-0.030912-0.04512i,-0.061948-0.036938i,-0.025769-0.00085523i,-0.020725-0.010774i,-0.04598+0.019371i,-0.045347+0.023339i,-0.060361-0.029337i,-0.040742-0.011002i,0.011114+0.0092853i,0.0081414+0.012937i,0.011641+0.0037882i,-0.0017981-0.010546i,0.0042633+0.0084477i,0.0022083-0.00036406i,0.011641+0.007453i,0.019732-0.022782i,0.0042612-0.0049926i,0.0052649+0.010914i,0.00056784-0.0043689i,0.0062606+0.0013434i,0.0050882+0.00060989i,0.0023141+0.0022088i,0.029316+0.0012125i,-0.00065026+0.0033719i,0.0020797-0.0040015i,-0.00071374-0.00054775i,0.0061421-0.0025449i,0.000187-0.0008473i,-0.0028489+0.0029981i,-0.0025077-0.0014735i,-0.0061857+0.0023619i,-0.0052662+0.002605i,-0.0040118-0.0027495i,-0.0026359-0.0029447i,0.029633+0.0031695i,-0.0064333-0.0061468i,-0.0031641-0.0032906i,-0.0037576-0.0095119i,-0.0064169-0.0010605i,0.0011048+0.0012015i,-0.0029273-0.0022366i,0.0068846-0.0020582i,-0.0010104+0.0057176i,0.012978-0.0315i,0.037456-0.029656i,-0.028928-0.070668i,-0.0378-0.020166i,-0.020325-0.049224i,-0.010124-0.033529i,-0.03512-0.11444i,-0.063177-0.082693i,0.0093082-0.095371i,-0.011241-0.048134i,0.013497+0.0005264i,-0.0076022-0.0051509i,-0.026224-0.0081667i,-0.012193-0.013389i,-0.020931-0.0024748i,-0.021449+0.00080715i,-0.04024+0.031347i,0.014519+0.0035323i,-0.011341+0.0023655i,-0.006063+0.0062267i,0.00172+0.008668i,-0.015231+0.014875i,0.006+0.0098049i,0.010171-0.021561i,0.019189-0.023134i,-0.0025343-0.010282i,-0.007353+0.0096616i,-0.0031252+0.0062113i,0.0089207+0.017036i,-0.0020078+0.0060471i,0.0011206+0.04981i,-0.011226+0.0031039i,0.0011204+0.0066645i,0.0084063+0.0065568i,-0.0055801+0.0077127i,-0.0033824+0.0046345i,-0.0027131-0.0033615i,0.0043812+0.0051827i,-0.00465+0.0027252i,-0.0056316+0.0012789i,-0.00065812+0.0065927i,0.008761+0.017755i,-0.0050505-0.0017593i,-0.0035868+0.017153i,-0.0061663+0.02891i,-0.026226-0.071372i,0.00088224-0.035609i,-0.016627+0.031084i,-0.027933+0.010303i,0.0061122-0.019994i,0.00024821+0.002509i,-0.021564-0.00050053i
-0.028003-0.027679i,-0.041957-0.04516i,-0.073179-0.022775i,-0.025163+0.00098211i,-0.029426-0.0035571i,-0.038796+0.026034i,-0.034102+0.021007i,-0.061466-0.021838i,-0.042358-0.0061239i,0.014413+0.0060253i,0.012145+0.010704i,0.0081307-0.0021088i,-0.0083508-0.0069933i,0.0058624+0.0040728i,0.0013031-0.00074674i,0.011582+0.0059351i,0.0058935-0.020287i,0.0025938-0.0071133i,0.0094975+0.005855i,-0.00089765-0.0031158i,0.0062972-0.0020107i,0.0055182+0.00017202i,0.0036696+0.00095745i,0.023282-0.011556i,0.0034074+0.001279i,-0.00044831-0.0029205i,0.00067325-0.0014797i,0.004793-0.011611i,1.8834e-06-0.00021514i,-0.00042876+0.0033952i,-0.0027138-0.001444i,-0.0045037+0.0048028i,-0.0032313+0.0037957i,-0.0039833-0.00023661i,-0.0037071-0.0029291i,0.027946-0.0075032i,-0.0070483-0.0023624i,-0.0040926-0.001317i,-0.0053749-0.0063416i,-0.013206+0.0020018i,0.00088089+0.0010013i,-0.0014769-0.0011625i,0.0068022-0.0045141i,0.00067569+0.0039508i,0.0010093-0.035808i,0.022113-0.035406i,-0.034588-0.073003i,-0.030854-0.012542i,-0.025049-0.047881i,-0.018889-0.04123i,-0.062286-0.098465i,-0.072767-0.058773i,-0.013862-0.095906i,-0.0056891-0.044379i,0.02048-0.01233i,-0.0090254-0.0008016i,-0.021001-0.0026596i,-0.021751-0.0090372i,-0.019676+0.0093257i,-0.019271+0.0057475i,-0.019718+0.041568i,0.012791-0.0016288i,-0.0092149+0.0029277i,-0.0026519+0.0071217i,0.0039355+0.0050989i,-0.0063713+0.01981i,0.011019+0.0075315i,-0.0049865-0.02633i,-0.0016573-0.02594i,-0.0066518-0.0032493i,-0.0027311+0.013129i,0.00089573+0.0061029i,0.015648+0.0091907i,0.0008249+0.0056854i,0.026599+0.049368i,-0.0070137+0.0079478i,0.0020321+0.0051242i,0.0090113+0.0014841i,-0.00027248+0.010259i,-0.0044652+0.0055752i,-0.005385+0.00090854i,0.0075842+0.0047908i,-0.0024483+0.0062595i,-0.0077854+0.0034897i,0.0029984+0.0068407i,0.011583+0.011722i,-0.0056803+0.0011482i,0.0022435+0.013904i,0.0022271+0.027359i,-0.031482-0.069649i,-0.018968-0.039162i,-0.0016571+0.023107i,-0.023272+0.013598i,-0.00074246-0.024565i,-0.0032864-0.0016022i,-0.015177+0.0014647i
-0.031264-0.025859i,-0.054354-0.036864i,-0.077301-0.0023768i,-0.021829+0.0035878i,-0.029177+0.0069991i,-0.032228+0.030545i,-0.028644+0.017753i,-0.062964-0.014258i,-0.041543+0.0029138i,0.015451+0.00096813i,0.015197+0.0030689i,0.0025909-0.0023606i,-0.010222-0.00072366i,0.0034032+2.2596e-05i,0.00012051-0.0010093i,0.013523+0.0031268i,-0.00098515-0.013961i,-0.00089778-0.0073471i,0.0085241+0.0010447i,-0.0013925-0.0018934i,0.003741-0.0032306i,0.0057892-0.0018925i,0.0033953-0.00066357i,0.014403-0.018933i,0.0023264-0.0020593i,-0.00026756-0.0031074i,0.00050887-0.0022682i,0.0010825-0.0047798i,0.0011151+0.00020505i,0.00021408+0.0026135i,-0.0032839-0.0013074i,-0.0020827+0.0055399i,-0.0020252+0.0044056i,-0.0031467+0.00054246i,-0.0044387-0.00031981i,0.022873-0.015737i,-0.0055257-0.00021325i,-0.0033052+0.00055085i,-0.0043708-0.002141i,-0.012871+0.011163i,0.00025724+0.0013725i,-0.0009932-0.00041148i,0.0050765-0.0097104i,2.5865e-06+0.0017368i,-0.0099706-0.031756i,0.016745-0.029132i,-0.045724-0.07329i,-0.023998-0.01327i,-0.030127-0.04774i,-0.029621-0.036436i,-0.085706-0.079977i,-0.069632-0.039526i,-0.039712-0.086069i,-0.0036848-0.04861i,0.016456-0.023756i,-0.0075685+0.0021993i,-0.017149+0.0012835i,-0.028163+0.0024466i,-0.01262+0.01474i,-0.014847+0.011692i,0.0011591+0.038326i,0.0099041-0.0072324i,-0.009519+0.0049108i,-0.00085242+0.0051823i,0.0058574+0.0035354i,0.0025011+0.017705i,0.012419-0.00010895i,-0.019556-0.017798i,-0.015742-0.015229i,-0.0033499+0.0012754i,0.0037671+0.013707i,0.0026462+0.004866i,0.018674+0.0012561i,0.0047473+0.0053335i,0.044097+0.034215i,-0.003703+0.0067511i,0.0017707+0.0050945i,0.0072379-0.0033629i,0.0057682+0.007273i,-0.0043069+0.011848i,-0.0037177+0.0064597i,0.010921+0.00060155i,0.002594+0.0066079i,-0.0080991+0.0071815i,0.0052271+0.0044775i,0.012676+0.0068801i,-0.0049961+0.0022487i,0.0044368+0.0090507i,0.007971+0.02266i,-0.038644-0.066221i,-0.033206-0.026303i,0.0044959+0.010353i,-0.013185+0.018243i,-0.013193-0.02773i,-0.010524-0.0020617i,-0.014268-0.0042136i
-0.035477-0.022645i,-0.060487-0.023753i,-0.072669+0.013423i,-0.019676+0.003762i,-0.025391+0.014081i,-0.025308+0.03395i,-0.025796+0.014571i,-0.064598-0.0065149i,-0.036096+0.010345i,0.01429-0.0044592i,0.009201-0.0028595i,0.0015907+0.00039038i,-0.0088607+0.0045133i,0.0021465-0.0025909i,-0.001144-8.9074e-05i,0.013877-0.0017252i,-0.0015757-0.0085062i,-0.0038991-0.0060917i,0.0066212-0.00037658i,-0.0013906-0.00073816i,0.0028371-0.0023731i,0.0047995-0.003329i,0.0029227-0.0013001i,0.0059387-0.0201i,0.00059873-0.0033464i,-0.0015956-0.0039777i,-0.00046328-0.0025485i,-0.00066888-0.0047676i,0.0014672-0.00093899i,0.0013925+0.0026367i,-0.0036024-0.00079087i,0.00023662+0.0050345i,-7.2266e-05+0.0037738i,-0.00285+0.0021202i,-0.0031304+8.2601e-05i,0.013369-0.023005i,-0.0039993+0.000332i,-0.0021929+0.0017884i,-0.0053368-0.00016805i,-0.0057517+0.016778i,0.00037256+0.0013044i,-0.0011041-1.8067e-05i,-0.0011096-0.006522i,-0.003042+0.0019543i,-0.016183-0.024816i,0.023702-0.027396i,-0.058939-0.06923i,-0.021599-0.016302i,-0.036279-0.04375i,-0.034682-0.030543i,-0.10214-0.051711i,-0.067636-0.030398i,-0.05045-0.060915i,-0.0067706-0.051449i,0.0074682-0.034188i,-0.0060447+0.0031181i,-0.014008-0.00042335i,-0.022729+0.017272i,-0.0064671+0.016734i,-0.0046779+0.012417i,0.012034+0.026719i,0.0050966-0.0096316i,-0.0075833+0.0084538i,-0.0014495+0.0045942i,0.0057883-0.00074718i,0.0066847+0.013157i,0.0068894-0.0035676i,-0.025406-0.0033608i,-0.020063-0.0037283i,0.00010641+0.0011607i,0.0077886+0.011301i,0.0026215+0.003682i,0.015784-0.009981i,0.006068+0.00019971i,0.054519+0.012977i,-0.0033515+0.0080266i,0.0043371+0.0038915i,0.0024637-0.0058687i,0.0064074+0.0032722i,0.0021296+0.015623i,0.0032232+0.0059867i,0.008391-0.0044112i,0.0060837+0.0027383i,-0.0040275+0.0087017i,0.0045779+0.003869i,0.01182+0.003364i,-0.006279+0.0036158i,0.0023918+0.0062261i,0.010675+0.018765i,-0.044651-0.062065i,-0.035627-0.016738i,0.0019111+0.00043811i,-0.0038686+0.011722i,-0.025542-0.02218i,-0.014525+0.0068388i,-0.019593-0.0031344i
-0.039181-0.017756i,-0.061459-0.012752i,-0.067033+0.028239i,-0.020608+0.0040784i,-0.019329+0.019206i,-0.018099+0.036271i,-0.026175+0.012676i,-0.066046+0.0028438i,-0.03117+0.013345i,0.010995-0.0084906i,0.0051703-0.0031052i,0.0019671+0.0010245i,-0.0047874+0.0071811i,0.00019956-0.0032948i,-0.00071644+0.0013198i,0.01012-0.005678i,-0.0010103-0.0081995i,-0.0049228-0.002069i,0.0066091-0.001825i,-0.00070453+0.00025504i,0.0035233-0.0028942i,0.0032633-0.0034236i,0.0027541-0.0017224i,-0.001049-0.019057i,-0.00080352-0.0032381i,-0.0036933-0.0028393i,-0.0015341-0.0026508i,-0.002441-0.0040616i,0.0010502-0.001785i,0.0026221+0.0014174i,-0.0041623+0.0001143i,0.0020686+0.0036634i,0.00090923+0.0029064i,-0.0013744+0.0029546i,-0.0038584+0.0010568i,0.00046269-0.020015i,-0.0037703-0.00061802i,-0.00053721+0.0018831i,-0.004825+0.0027636i,0.0030006+0.01723i,-0.00027822-0.0010032i,4.8984e-06+0.00096485i,-0.0019523-0.0060926i,-0.0033662+0.0056862i,-0.01556-0.01772i,0.033946-0.03899i,-0.074545-0.059221i,-0.022618-0.018318i,-0.037979-0.039518i,-0.039901-0.0247i,-0.10265-0.022213i,-0.066768-0.018909i,-0.046482-0.045616i,-0.01011-0.055533i,-0.0073144-0.037463i,-0.004379+0.0042396i,-0.016336-0.0020653i,-0.011265+0.023036i,-0.0011048+0.015991i,0.001157+0.005188i,0.014645+0.014943i,-0.00048663-0.0107i,-0.0047718+0.01043i,-0.0017136+0.0051055i,0.00301-0.0032875i,0.0093311+0.0090995i,0.004363-0.001988i,-0.021992+0.010308i,-0.01695+0.0070876i,0.00092411+9.7684e-05i,0.012393+0.0077832i,0.0028297+0.0031119i,0.0059254-0.014742i,0.0034617-0.0024798i,0.051311-0.0089538i,-0.00063292+0.0092561i,0.0036798+0.0014597i,-0.0010354-0.0042102i,0.0061239+0.002249i,0.010138+0.014889i,0.0046934+0.0016493i,0.0060713-0.0060039i,0.0052283-0.00023408i,0.0046092+0.0096099i,0.0052609+0.0027287i,0.01213-0.0010295i,-0.004431+0.0089421i,0.0028337+0.0059697i,0.013623+0.015447i,-0.052989-0.05848i,-0.027187-0.00012851i,-0.0020018-0.0027659i,-0.0044127+0.0039478i,-0.033882-0.012745i,-0.0084787+0.010481i,-0.019305+0.00089506i
-0.041053-0.012048i,-0.06029-0.0033893i,-0.055464+0.039368i,-0.020557+0.0074733i,-0.011418+0.020955i,-0.010821+0.037355i,-0.026967+0.013481i,-0.06482+0.013442i,-0.027351+0.016284i,0.0066294-0.010999i,0.0037759-0.0025315i,0.0031338+0.00096239i,-0.0004251+0.0079836i,-0.0026381-0.0017372i,-0.00036093+0.0013776i,0.0060265-0.0071994i,-0.0040083-0.0095052i,-0.0043119-0.00016665i,0.0058835-0.003322i,0.00017123+0.00043123i,0.0028911-0.0041072i,0.0031316-0.0029435i,0.0022903-0.0025256i,-0.0070898-0.016987i,-0.0021276-0.0027271i,-0.0040359-0.00098504i,-0.0028717-0.0019828i,-0.0034214-0.0027649i,0.00011592-0.0020801i,0.0024263-0.00060189i,-0.0045653+0.0016842i,0.0024245+0.0024704i,0.0014908+0.0020829i,0.00047498+0.0028536i,-0.0030323+0.0021572i,-0.0036566-0.013392i,-0.0043507-0.00065744i,0.00035413+0.0010252i,-0.0026992+0.0036335i,0.010643+0.013395i,0.0002774-0.0018727i,0.00092982+0.00076439i,-0.0043437-0.0057934i,-0.0004872+0.0059108i,-0.011894-0.016347i,0.031346-0.061196i,-0.08476-0.041612i,-0.022698-0.019133i,-0.040007-0.040796i,-0.042891-0.01671i,-0.097143-0.0014863i,-0.062763-0.009633i,-0.04436-0.036133i,-0.017468-0.058185i,-0.020797-0.03376i,-0.0030202+0.003965i,-0.022607+0.00019375i,-0.00099156+0.021117i,-0.0016256+0.0070448i,0.00042899-0.0012868i,0.0113+0.0081665i,-0.0061535-0.010381i,-0.0011999+0.011476i,-0.00057664+0.0061148i,0.00014485-0.0031137i,0.008807+0.0038583i,0.0044545-0.0012129i,-0.013167+0.017406i,-0.009248+0.014057i,0.002174-0.0012754i,0.015215+0.00023281i,0.0026882+0.0030449i,-0.0022029-0.01167i,0.0011498-0.0026676i,0.039036-0.029138i,0.0034841+0.0098551i,0.0029604+0.0018185i,-0.0034362-0.0019932i,0.0067388-0.0011348i,0.016754+0.0099366i,0.0034324-0.0013082i,0.0032873-0.0079661i,0.0041582-0.002489i,0.0078826+0.0098163i,0.0053532+0.0026315i,0.0086383-0.0058561i,0.0010492+0.010473i,0.0036951+0.0043313i,0.017332+0.011153i,-0.061536-0.050425i,-0.024907+0.0067705i,-0.0040333-0.0039896i,-0.0079865+0.0023594i,-0.037331-0.0023774i,-0.0054279+0.0088328i,-0.01721+0.0032889i
