0.0012342-0.042122i,-0.0021701-0.046067i,-0.0070516-0.047632i,-0.030335-0.023296i,-0.022598+0.010489i,-0.036461-0.033243i,-0.062785-0.058399i,-0.019408-0.070408i,-0.022792-0.044129i,-0.0020278+0.015447i,-0.010011+0.013154i,-0.014461+0.013345i,0.003775+0.014067i,-0.0026511-0.0018841i,0.0022275+0.0056624i,-0.00058717+0.033587i,0.020106+0.057995i,0.00088199-0.00035315i,-0.0028826-0.0090626i,0.0076461+0.0041254i,0.001838+0.0015439i,-0.00024349+0.0029728i,-0.00017145-0.00061657i,-0.036844-0.0097393i,-0.0024678-0.0074593i,-0.00060189+0.0048486i,0.0049426-0.00033515i,-7.7454e-05+0.00048243i,0.00070772-0.0008318i,0.00064048-0.0021641i,-0.0017066-0.0058993i,-0.002972-0.0060574i,-0.00080094-0.0071255i,0.0031828-0.00090894i,0.0035197-0.0013558i,-0.0018745+0.038527i,0.00657-0.00341i,0.003791-0.00094805i,0.0054375+0.00033999i,-0.012385-0.0066909i,-0.00075662+0.00069551i,0.0090354-8.8716e-05i,0.003651+0.0014622i,-0.0053995+0.0013778i,0.0013557+0.010419i,-0.0055751+0.017617i,0.026209-0.081471i,-0.00013908-0.05495i,-0.023019-0.043622i,-0.019609-0.037607i,0.063258-0.016466i,0.029898-0.057457i,0.039031-0.045027i,0.033769-0.052717i,0.019904-0.015196i,0.0077374+0.011878i,0.024204-0.034545i,-0.0084809-0.0055172i,0.0031639-0.0014887i,-0.0023215-0.0049008i,0.0055427-0.032235i,-0.025481+0.03186i,0.0086205-0.010171i,-0.012531-0.0026618i,-0.0045794-0.001541i,0.00023295-0.014903i,-0.010119+0.0050517i,0.0035026+0.0064661i,-0.014223+0.03063i,0.0054432+0.0066301i,-0.0056498-0.0018512i,-0.00095863-0.0020938i,-0.012022-0.0079949i,0.0002088-0.0036794i,-0.03616+0.0067055i,0.0018915-0.012384i,-0.0094489-0.0026031i,-0.0071604-0.0030757i,0.006578+0.0019692i,-0.0093106+0.0022781i,-5.2695e-05+0.0019804i,0.0057929+0.0097415i,0.0048319+0.00059069i,-0.0094847-0.010559i,0.0016077+0.0082154i,-0.020117+0.0054913i,0.0069816+0.0036039i,-0.028307-0.0090986i,-0.036222-0.0023068i,0.027699-0.077537i,0.013947-0.0091169i,-0.042683-0.028187i,-0.024809-0.0061408i,0.01737+0.012189i,-0.026957+0.011162i,-0.012427-0.0097524i
-0.0069417-0.043818i,-0.0091285-0.040849i,-0.014764-0.049246i,-0.032818-0.017443i,-0.013955+0.0094851i,-0.044999-0.025463i,-0.069967-0.043994i,-0.029266-0.068291i,-0.029587-0.03715i,-0.00033675+0.014808i,-0.0079856+0.011949i,-0.0061595+0.019562i,0.010805+0.0093916i,-0.0067955+0.0012807i,0.003216+0.0046039i,0.0080481+0.028217i,0.034604+0.041697i,0.0020231+0.0018906i,-0.0072566-0.0045579i,0.0082208+0.00043715i,0.0010805+0.0020372i,-0.00030043+0.0037915i,-0.00026921+0.0004194i,-0.025196+0.011654i,-0.0046889-0.0049054i,0.0036756+0.0031182i,0.0034652-0.00052301i,0.00070093+0.0020376i,0.00162-0.0014218i,-0.00033716-0.0026115i,-0.0020621-0.0043811i,-0.0038436-0.0050422i,-0.0029378-0.0064207i,0.0023392-0.0024613i,0.0032669-0.001202i,0.010692+0.034418i,0.0058115-0.0062059i,0.0026825-0.002377i,0.0073853-0.002243i,-0.0091519-0.0031651i,-0.00059702+0.0018448i,0.0075096-0.0018762i,0.0024522+0.0018299i,-0.0075847+0.0033315i,0.011118+0.0094627i,0.008294+0.021701i,0.011183-0.086677i,-0.016722-0.059299i,-0.018046-0.036571i,-0.01729-0.025621i,0.065977-0.045802i,0.029778-0.077709i,0.041899-0.045773i,0.024616-0.063041i,0.0091069-0.010246i,0.0083809+0.0015463i,0.0098354-0.037491i,-0.0076567+0.00048863i,0.0016871-0.011406i,-0.0033342-0.0062635i,-0.018142-0.035948i,-0.0098925+0.030506i,0.0026608-0.013031i,-0.013321+0.002137i,-0.0040722+0.00028318i,-0.00714-0.014846i,-0.010224+0.0097341i,0.0068399+0.0071765i,0.0052721+0.030909i,0.0070477+0.0013904i,-0.0050371+0.0012512i,-0.0036454-0.0025354i,-0.01653+0.0012958i,0.0005552-0.0025265i,-0.038425+0.014468i,-0.0052103-0.010321i,-0.0097452+0.0016356i,-0.0088603+0.00068072i,0.0046307-0.0038193i,-0.0073598+0.0046867i,0.0022336+0.00094742i,0.0054047+0.0036372i,0.0031438-0.00081597i,-0.014585-0.0023032i,0.0031506+0.0055899i,-0.015239+0.013427i,0.0064371-0.00048119i,-0.029345+0.0018045i,-0.036359+0.0087207i,0.013475-0.080551i,0.010356-0.015742i,-0.049304-0.015042i,-0.019065-0.0061479i,0.018601+0.0061553i,-0.021349+0.018464i,-0.018594-0.015374i
-0.013706-0.04187i,-0.011017-0.040848i,-0.023754-0.050354i,-0.034038-0.011232i,-0.0085884+0.0047428i,-0.051228-0.015744i,-0.07907-0.027459i,-0.042479-0.064675i,-0.034575-0.031476i,0.0021723+0.014214i,-0.0069594+0.015053i,0.0034515+0.017958i,0.01278+0.0014601i,-0.0069799+0.0049907i,0.0040605+0.0038898i,0.013311+0.020912i,0.043492+0.027445i,0.0049438+0.0015773i,-0.0064302+0.00035839i,0.007414-0.0022233i,0.00083371+0.0026685i,0.0013239+0.0052877i,0.00039465+0.00074221i,-0.011719+0.01949i,-0.004609-0.0021432i,0.0052719-0.00025717i,0.0027297-0.0017044i,0.0031589+0.0022923i,0.00025055-0.0021272i,-0.00071837-0.0024462i,-0.002757-0.0038907i,-0.0052913-0.0037101i,-0.0047507-0.0049311i,0.0015091-0.0036512i,0.0044631-0.0041475i,0.020881+0.026088i,0.0031776-0.0073682i,0.0015284-0.0031093i,0.0063604-0.0068309i,-0.0095471-0.0015868i,0.00035835+0.0027018i,0.0061637-0.0042294i,0.0038001+0.002528i,-0.006441+0.0069864i,0.018567-0.00031188i,0.022876+0.017974i,-0.004057-0.087665i,-0.031882-0.051372i,-0.010348-0.039045i,-0.01158-0.027824i,0.05913-0.072191i,0.011521-0.098523i,0.048175-0.053157i,0.01216-0.065076i,0.0074906-0.0074377i,0.0057557-0.0025564i,-0.0028852-0.038919i,0.0021314-0.00010986i,-0.0082422-0.013546i,-0.0038968-0.0098609i,-0.038336-0.026645i,-0.00094068+0.028015i,-0.0037761-0.012381i,-0.010096+0.0057195i,-0.0050965+0.001696i,-0.014549-0.011827i,-0.0042436+0.015187i,0.012706+0.0024855i,0.019631+0.020605i,0.0063778-0.0011023i,-0.00416+0.0010565i,-0.0051124-0.0012774i,-0.013413+0.01095i,-0.0026976-0.0026796i,-0.032043+0.02618i,-0.0075741-0.0052216i,-0.0088158+0.006434i,-0.0092641+0.007495i,-0.00079692-0.004987i,-0.006212+0.0056717i,0.0019593-0.0005385i,0.0029856+0.0022537i,0.0025948-0.0018296i,-0.0093623+0.0066957i,0.0030635+0.0024154i,-0.0090419+0.016218i,0.0033821-0.0035151i,-0.025326+0.010424i,-0.030517+0.019113i,0.0030823-0.080591i,0.0040817-0.017657i,-0.049228-0.0020659i,-0.023214-0.011345i,0.017669-0.0019839i,-0.010952+0.019981i,-0.022416-0.011509i
-0.018853-0.039387i,-0.015241-0.043888i,-0.034285-0.050508i,-0.031439-0.0047286i,-0.0066498-0.0022707i,-0.053671-0.0029573i,-0.080735-0.00012728i,-0.055574-0.053592i,-0.040088-0.023113i,0.0053177+0.013435i,-0.0018139+0.018386i,0.0079732+0.012541i,0.010253-0.0056545i,-0.0054176+0.0098659i,0.0039938+0.0021189i,0.014265+0.012509i,0.049563+0.0073981i,0.0061564-0.001545i,-0.0057913+0.0040321i,0.0051974-0.0045451i,0.0025605+0.0037513i,0.0041974+0.00513i,0.00047845+0.00091442i,0.0011369+0.025488i,-0.0036759-0.00070814i,0.0037242-0.0031811i,0.0024666-0.0021639i,0.0038776-0.00043664i,-0.00021124-0.0012544i,-0.002161-0.0028513i,-0.0031427-0.0029379i,-0.005985-0.0020781i,-0.0063284-0.0027594i,-0.00014599-0.0045736i,0.0010461-0.0066014i,0.024128+0.015396i,0.00042524-0.0082475i,0.00022393-0.0036136i,0.0025667-0.0088282i,-0.0078185+0.0030984i,0.0016587+0.0023383i,0.0031962-0.005913i,0.0049041+0.0012517i,-0.0033274+0.0077271i,0.02195-0.0093644i,0.0352+0.0083518i,-0.018228-0.084023i,-0.037758-0.039029i,-0.012106-0.044011i,-0.011859-0.029056i,0.041066-0.10105i,-0.01624-0.10343i,0.047345-0.073439i,0.0030307-0.065354i,0.0067907-0.0060454i,0.001927-0.0066711i,-0.016531-0.033651i,0.001425-0.0097174i,-0.012676-0.0090086i,-0.010808-0.013817i,-0.048941-0.0055009i,0.010824+0.022806i,-0.0083417-0.010126i,-0.0066519+0.0062265i,-0.0043901+0.0038451i,-0.02009-0.0044839i,0.0039301+0.013113i,0.01475-0.0040803i,0.024996+0.0084829i,0.0060601-0.0033758i,-0.0051033+0.0009741i,-0.0063963+0.0016851i,-0.0078603+0.017738i,-0.004343+0.00037788i,-0.02562+0.034422i,-0.0077581-0.0022361i,-0.0039372+0.0099577i,-0.0029652+0.01299i,-0.0048694-0.0021643i,-0.0029663+0.0061689i,0.0020024-0.0010935i,0.0019062+0.0025669i,0.00035927-0.0036012i,-0.0026628+0.0059553i,-0.00015713-0.00050517i,-0.0050879+0.018488i,-0.00092209-0.0037197i,-0.018635+0.016488i,-0.022002+0.023266i,-0.0059399-0.081468i,0.0038756-0.01589i,-0.045693+0.011901i,-0.030363-0.0077982i,0.014459-0.0080689i,-0.002004+0.01576i,-0.022111-0.0062199i
-0.023155-0.035653i,-0.024139-0.044822i,-0.047575-0.047236i,-0.027574-0.001316i,-0.010966-0.0093323i,-0.051958+0.0089235i,-0.063246+0.019204i,-0.060308-0.040112i,-0.038282-0.014002i,0.008218+0.011981i,0.0052696+0.016174i,0.0099549+0.0090773i,0.0044434-0.0097512i,0.0002174+0.012183i,0.0031101+0.00054203i,0.012093+0.0087489i,0.040391-0.015549i,0.005057-0.004088i,-0.0022476+0.0094782i,0.0028317-0.005402i,0.0043278+0.0036523i,0.0053017+0.0027598i,0.0006415+0.0014206i,0.020206+0.019511i,-0.0038074+0.00087942i,0.00207-0.0041722i,0.0011488-0.002944i,0.0035811-0.0004735i,-0.00019828-0.00079233i,-0.0041175-0.0010998i,-0.0034328-0.0018377i,-0.0060279+1.0692e-05i,-0.0060008+0.00018882i,-0.00267-0.0040749i,-0.0014372-0.0054424i,0.025549+0.0092661i,-0.0026268-0.0078338i,-0.0016464-0.0035573i,-0.0011349-0.0084677i,-0.0039622+0.0014845i,0.0018794+0.0012702i,-0.00016936-0.0046157i,0.005792-1.992e-05i,-0.0018928+0.0070616i,0.021129-0.023623i,0.043814-0.007796i,-0.026766-0.076568i,-0.038596-0.028593i,-0.015048-0.047854i,-0.011512-0.028938i,0.0049529-0.12041i,-0.041083-0.096728i,0.029833-0.090654i,-0.0092899-0.06137i,0.0073612-0.0041024i,-0.0033977-0.0076994i,-0.026132-0.023063i,-0.0059023-0.013517i,-0.015705-0.0068339i,-0.02113-0.0093877i,-0.046863+0.014195i,0.01607+0.011756i,-0.012697-0.0053845i,-0.0050972+0.0063922i,-0.0034089+0.00604i,-0.021587+0.0064435i,0.004587+0.0081355i,0.014082-0.010543i,0.027178-0.0044526i,0.0046753-0.0072368i,-0.0074643+0.0038591i,-0.0046379+0.0053423i,0.0007579+0.020034i,-0.004317+0.0034861i,-0.017372+0.044005i,-0.009047-0.00084702i,0.00077258+0.0077775i,0.0043224+0.011946i,-0.0065542+0.00090768i,-0.0026143+0.0038209i,0.00072982-0.0023183i,0.0011967+0.0043306i,-0.0038147-0.0036524i,-0.0020352+0.0022946i,-0.0030364+0.0019167i,0.0018183+0.020512i,-0.0036722-0.0025987i,-0.010426+0.019426i,-0.016066+0.025713i,-0.017843-0.079427i,0.0073024-0.021184i,-0.036934+0.026122i,-0.033233+0.0019223i,0.0090943-0.01297i,-4.4893e-05+0.0084868i,-0.021414-0.0052646i
-0.025331-0.033111i,-0.030306-0.043117i,-0.060795-0.037135i,-0.025602-0.00055908i,-0.020899-0.010976i,-0.046049+0.019296i,-0.045766+0.02346i,-0.061922-0.030045i,-0.036716-0.0099477i,0.0099551+0.010079i,0.0077141+0.012623i,0.011849+0.0036021i,-0.0022006-0.010612i,0.0062473+0.0094331i,0.0018733+1.8651e-05i,0.011277+0.0068707i,0.02272-0.024794i,0.0045735-0.0054185i,0.0040372+0.010157i,0.00052244-0.004887i,0.0063707+0.001355i,0.0051847+0.00062031i,0.0019731+0.0019877i,0.027614+0.0032084i,-0.0018146+0.0030835i,0.00014503-0.0042238i,-0.00067464-0.0010141i,0.004311-0.0017942i,-3.616e-05-0.0012428i,-0.0031809+0.0021907i,-0.0026282-0.001022i,-0.0057471+0.001644i,-0.0058216+0.0023569i,-0.004097-0.0015169i,-0.0021901-0.004161i,0.027958+0.0013623i,-0.0056565-0.0062229i,-0.0035134-0.0028927i,-0.00412-0.0083371i,-0.0060557-0.0009104i,0.0024309+0.001029i,-0.001506-0.002106i,0.0052689-0.0019492i,-0.00088209+0.0071258i,0.011249-0.033919i,0.036795-0.029444i,-0.028674-0.070528i,-0.038246-0.020411i,-0.02037-0.048855i,-0.010037-0.033402i,-0.035175-0.11531i,-0.063092-0.082408i,0.01047-0.096585i,-0.012662-0.047719i,0.013277+0.00018293i,-0.0072346-0.0051007i,-0.027247-0.0083187i,-0.012056-0.013004i,-0.021119-0.0016905i,-0.021666+0.00046728i,-0.038926+0.031498i,0.014793+0.0036041i,-0.010832+0.0022047i,-0.0061632+0.0066434i,0.0011696+0.0083707i,-0.015185+0.015241i,0.006002+0.0096772i,0.010191-0.021631i,0.017399-0.021687i,-0.0024155-0.010676i,-0.0075835+0.009154i,-0.0030834+0.0065283i,0.0087008+0.017428i,-0.0019094+0.0057958i,0.0007449+0.056006i,-0.011315+0.002127i,0.0012429+0.0066334i,0.0086597+0.0066983i,-0.0058455+0.0073363i,-0.0028681+0.0049827i,-0.0025541-0.0026012i,0.0042663+0.0056893i,-0.0057617+0.0027724i,-0.0045458+0.0015488i,-0.0008806+0.0072481i,0.0086562+0.017254i,-0.0053472-0.0017667i,-0.0038526+0.017326i,-0.0076375+0.028877i,-0.024513-0.071834i,0.00045766-0.035422i,-0.016473+0.03186i,-0.028396+0.0094489i,0.0069698-0.019086i,0.00039295+0.0025646i,-0.021202-0.00035861i
-0.027933-0.031488i,-0.040728-0.043401i,-0.071404-0.02278i,-0.025383+0.0013307i,-0.029707-0.0038607i,-0.038466+0.025658i,-0.034648+0.0213i,-0.06333-0.022067i,-0.03862-0.0058797i,0.013058+0.0068639i,0.011624+0.010882i,0.008174-0.0022919i,-0.00911-0.0071063i,0.0093824+0.0026586i,0.0010765-0.0001679i,0.010791+0.0056495i,0.007511-0.023629i,0.0025566-0.0073495i,0.0081973+0.0059116i,-0.0011189-0.0033984i,0.006322-0.0017884i,0.0058172+0.00014794i,0.0032725+0.00096368i,0.023204-0.011098i,0.0018843+0.0026198i,-0.00057187-0.0029948i,0.00041292-0.0018436i,0.0036741-0.0041359i,-0.00023736-0.00053603i,-0.00094049+0.0027201i,-0.002837-0.00081513i,-0.0044088+0.0034531i,-0.0036793+0.0043184i,-0.0033043+0.0003007i,-0.0039291-0.0046831i,0.02557-0.0087369i,-0.0065653-0.0026787i,-0.0042791-0.001089i,-0.0075244-0.0050349i,-0.01027+0.0017523i,0.0025227+0.00031941i,-0.00033311-0.0012773i,0.0042537-0.0038496i,0.0007861+0.0051986i,-0.0014868-0.036861i,0.021628-0.034861i,-0.034508-0.072627i,-0.031222-0.012861i,-0.024907-0.047815i,-0.019032-0.040787i,-0.062153-0.098869i,-0.072704-0.058587i,-0.013654-0.099091i,-0.0068682-0.043452i,0.020878-0.012804i,-0.008577-0.0010085i,-0.021854-0.0024573i,-0.021742-0.0088151i,-0.01932+0.0096578i,-0.019342+0.0057632i,-0.019286+0.04178i,0.012997-0.0017879i,-0.0090005+0.0025298i,-0.0027166+0.0072009i,0.0036591+0.0051761i,-0.0070434+0.020129i,0.010938+0.0069568i,-0.0054985-0.026767i,-0.0019035-0.024874i,-0.0065706-0.0035662i,-0.0028342+0.013292i,0.00087709+0.0062602i,0.015322+0.0096628i,0.0008624+0.0054807i,0.026927+0.051441i,-0.0074989+0.0075852i,0.0022268+0.0049214i,0.0092736+0.0016902i,-0.00014105+0.010155i,-0.0043593+0.005598i,-0.0050144+0.0012104i,0.0077419+0.0051573i,-0.0028918+0.0065558i,-0.0068313+0.0037719i,0.0029768+0.0072732i,0.012294+0.01187i,-0.0054892+0.0013708i,0.0020538+0.014108i,0.0014029+0.026446i,-0.029769-0.07063i,-0.018848-0.03881i,-0.0011146+0.02338i,-0.024558+0.012593i,-0.0023285-0.026017i,-0.0029978-0.0016872i,-0.014747+0.0018686i
-0.031624-0.030015i,-0.05277-0.035039i,-0.076376-0.0053918i,-0.021705+0.0044058i,-0.029555+0.007105i,-0.03215+0.029794i,-0.029044+0.018097i,-0.064743-0.013942i,-0.038513+0.0023601i,0.014156+0.0022945i,0.015416+0.0040194i,0.0023924-0.002403i,-0.011726-0.0003241i,0.0055443-0.0016124i,0.00023464-0.00051155i,0.012377+0.0033011i,-0.0011791-0.017008i,-0.0012484-0.0072875i,0.0073529+0.0018276i,-0.0014873-0.0022267i,0.0034869-0.0034859i,0.0059-0.0018596i,0.0031713-0.00042273i,0.014293-0.019013i,0.0021379-0.00044906i,-0.00068803-0.0029999i,0.00025905-0.0023726i,0.0015114-0.0049124i,0.0012947-0.00020306i,-0.00038288+0.0021242i,-0.0031425-0.00058506i,-0.0026541+0.0043429i,-0.0016512+0.0050635i,-0.0027478+0.00059369i,-0.0057351-0.0013592i,0.019116-0.016161i,-0.0053577-0.00056287i,-0.0036097+0.00092119i,-0.0067002-0.0021186i,-0.0094569+0.0072384i,0.0023511-0.00020479i,0.00011646-0.00095764i,0.0020081-0.0047921i,9.6292e-05+0.0032653i,-0.01219-0.031272i,0.016242-0.028638i,-0.045447-0.073513i,-0.024306-0.013211i,-0.030193-0.04752i,-0.02921-0.036199i,-0.085383-0.080794i,-0.069874-0.039439i,-0.041443-0.088176i,-0.0045081-0.047745i,0.016794-0.025209i,-0.0073329+0.0016635i,-0.017196+0.0020795i,-0.028194+0.0029415i,-0.012695+0.014591i,-0.014763+0.011894i,0.0018957+0.039686i,0.0095448-0.0073118i,-0.009704+0.0046536i,-0.001049+0.0052536i,0.0056287+0.0034576i,0.0026501+0.018117i,0.012119-0.00017865i,-0.020337-0.017563i,-0.015273-0.014813i,-0.0035967+0.00093552i,0.0044402+0.013132i,0.0025325+0.0052643i,0.018016+0.0023585i,0.0049433+0.0051146i,0.045355+0.034485i,-0.0037485+0.0072313i,0.0015156+0.0047296i,0.0075483-0.0034406i,0.0057479+0.0070863i,-0.0043721+0.011899i,-0.0033421+0.0064032i,0.010986+0.00059384i,0.0024421+0.0071407i,-0.0066213+0.0074196i,0.005353+0.0047392i,0.013616+0.0068169i,-0.0046284+0.0021868i,0.0043372+0.0093604i,0.0066563+0.021887i,-0.036962-0.067826i,-0.033084-0.025098i,0.0045362+0.010537i,-0.013148+0.018494i,-0.01385-0.027085i,-0.01056-0.002385i,-0.014088-0.0045613i
-0.036626-0.026817i,-0.058374-0.022286i,-0.074796+0.013467i,-0.019235+0.0036462i,-0.025324+0.014195i,-0.025581+0.033633i,-0.025953+0.014789i,-0.066049-0.0062666i,-0.033597+0.0095327i,0.013109-0.0025357i,0.012299-0.0032381i,0.0012748+0.00022985i,-0.0099626+0.005929i,0.0027099-0.0026722i,-0.00092883-7.5261e-07i,0.012825-0.00065192i,-0.0023637-0.010685i,-0.0038422-0.0053126i,0.0065197+0.0003303i,-0.001651-0.00093562i,0.0024253-0.0022351i,0.0049019-0.0034064i,0.0029128-0.00097574i,0.0053667-0.020231i,0.00085532-0.0023341i,-0.0014691-0.0038041i,-0.00061087-0.0026461i,-0.00056-0.0047135i,0.0012682-0.0014944i,0.00072479+0.0024778i,-0.0033296-0.00041851i,-0.00050392+0.0044172i,0.0002842+0.0039667i,-0.0023813+0.0020057i,-0.0042172-0.00023846i,0.010501-0.020292i,-0.0040355+0.00035209i,-0.0022632+0.0020129i,-0.0082121-0.00051097i,-0.0060125+0.010633i,0.002416-0.00055779i,-0.00030612-0.00088196i,0.0007981-0.0046944i,-0.0023886+0.0037033i,-0.017668-0.023907i,0.023263-0.026389i,-0.060152-0.06954i,-0.021514-0.016307i,-0.036044-0.043248i,-0.034463-0.030665i,-0.10212-0.052542i,-0.067571-0.030486i,-0.05303-0.062104i,-0.0074689-0.050333i,0.0067238-0.034029i,-0.0063909+0.0028751i,-0.013793+9.5653e-05i,-0.022464+0.01706i,-0.0060516+0.016358i,-0.0049435+0.012904i,0.012764+0.027159i,0.0042973-0.0096116i,-0.0083804+0.0081325i,-0.0011863+0.0047653i,0.0055774-0.00033859i,0.007326+0.013503i,0.0066148-0.0034536i,-0.025981-0.0029232i,-0.018516-0.0037859i,-4.174e-05+0.00084449i,0.0075539+0.010738i,0.0028348+0.0038725i,0.015749-0.0091142i,0.0061031+7.7742e-05i,0.053839+0.012642i,-0.0032635+0.0084722i,0.0040588+0.0039774i,0.0024055-0.0058757i,0.0063792+0.0031609i,0.0020355+0.015545i,0.0034221+0.0057975i,0.0087199-0.0044861i,0.0060791+0.0031432i,-0.0034203+0.012433i,0.004887+0.0041346i,0.012733+0.0025078i,-0.0059925+0.0031459i,0.0020643+0.0065383i,0.00982+0.018686i,-0.044284-0.063862i,-0.033783-0.0094771i,0.0020091+0.00082721i,-0.0037031+0.011514i,-0.024852-0.022175i,-0.014657+0.0071439i,-0.020188-0.0033896i
-0.041303-0.021765i,-0.058781-0.012187i,-0.067502+0.029856i,-0.020508+0.0034975i,-0.019112+0.019409i,-0.018317+0.036467i,-0.026163+0.012619i,-0.067487+0.0032384i,-0.028737+0.012344i,0.010435-0.0059103i,0.0068894-0.0048734i,0.0014734+0.00078736i,-0.0050597+0.0089734i,0.00041393-0.0029442i,-0.00068057+0.0013026i,0.010057-0.0050847i,-0.0018945-0.0098495i,-0.0043937-0.0021414i,0.0062074-0.0016817i,-0.00084652+0.00037987i,0.0032173-0.0023118i,0.0034686-0.0036619i,0.0027885-0.0014354i,-0.0019787-0.018881i,-0.00032292-0.0025068i,-0.0033652-0.0030277i,-0.0016477-0.0027413i,-0.0023746-0.0042285i,0.00075128-0.0021256i,0.0021768+0.0013708i,-0.0039652+0.00030793i,0.0012155+0.0035366i,0.0013258+0.002997i,-0.00096083+0.0026834i,-0.0049126+0.0009642i,0.001479-0.018503i,-0.0035936+6.8054e-05i,-0.00077983+0.0020938i,-0.0064353+0.0039728i,-0.0017046+0.012942i,0.0022256-0.00092583i,0.00056988-0.00015153i,-0.00042335-0.00472i,-0.0021118+0.007681i,-0.016709-0.01703i,0.033882-0.037874i,-0.075041-0.058306i,-0.023024-0.018279i,-0.037192-0.039575i,-0.039817-0.024954i,-0.1027-0.022916i,-0.066759-0.019159i,-0.048826-0.045502i,-0.010371-0.054414i,-0.0066874-0.036861i,-0.004563+0.0044275i,-0.01598-0.0018543i,-0.011296+0.02296i,-0.0002636+0.01437i,0.0010792+0.0059033i,0.014257+0.014951i,-0.0013454-0.0099096i,-0.0053135+0.010357i,-0.0014335+0.005399i,0.0030931-0.0029202i,0.0099122+0.0086258i,0.0043591-0.0017966i,-0.022615+0.010971i,-0.015668+0.0063347i,0.00064662-5.3379e-05i,0.012274+0.0075602i,0.0029723+0.0031671i,0.0062967-0.014681i,0.0033711-0.0024598i,0.050903-0.0086121i,5.1589e-06+0.010288i,0.0033583+0.0018181i,-0.001163-0.0039585i,0.0060281+0.0020698i,0.0099489+0.015131i,0.0047316+0.0014432i,0.0063341-0.0062026i,0.0053143-4.1946e-05i,0.0034789+0.014093i,0.005623+0.0028443i,0.012601-0.0014862i,-0.0043107+0.008462i,0.0027293+0.006716i,0.012942+0.015454i,-0.052559-0.059752i,-0.028898-0.00085284i,-0.0019648-0.0024807i,-0.0043267+0.0038337i,-0.033296-0.013559i,-0.0082506+0.010779i,-0.020109+0.00063903i
-0.044167-0.015464i,-0.057663-0.0036889i,-0.055658+0.042024i,-0.020634+0.0065548i,-0.011009+0.020899i,-0.011018+0.037385i,-0.027045+0.013526i,-0.0665+0.014184i,-0.025221+0.014273i,0.007536-0.0083055i,0.0038888-0.003858i,0.0026316+0.0009703i,-0.0012228+0.0093033i,-0.0023734-0.0014319i,-0.00035334+0.0014195i,0.0058633-0.0068552i,-0.005209-0.011207i,-0.0039792-0.00061343i,0.0048364-0.0034648i,0.00019881+0.00055054i,0.0030468-0.0038196i,0.0030237-0.0032053i,0.0023919-0.0021731i,-0.0080985-0.016444i,-0.0012692-0.002351i,-0.004081-0.001253i,-0.0028815-0.0018838i,-0.0035748-0.003221i,2.9882e-05-0.0024216i,0.0018669-0.00060057i,-0.0042126+0.0018906i,0.0016736+0.0025407i,0.0020682+0.0022356i,0.00065574+0.0021889i,-0.0041819+0.0022603i,-0.0031026-0.013817i,-0.003446+0.00048224i,0.00023605+0.0013111i,-0.0032299+0.004877i,0.004758+0.012793i,0.0020349-0.0013329i,0.0010307-0.00060619i,-0.002058-0.0046806i,0.0015839+0.0075114i,-0.013281-0.01556i,0.031507-0.059814i,-0.084592-0.041361i,-0.023063-0.01864i,-0.039617-0.041419i,-0.042943-0.016972i,-0.097033-0.001816i,-0.063188-0.010039i,-0.045633-0.035606i,-0.017698-0.057223i,-0.020536-0.035051i,-0.0029231+0.0040052i,-0.022591-0.00015769i,-0.0010812+0.021206i,0.0032643+0.010307i,0.00066382-0.00060289i,0.010945+0.0083615i,-0.0063444-0.0093063i,-0.00165+0.011517i,3.3364e-05+0.0064102i,0.0004307-0.0030479i,0.0089115+0.003386i,0.0044479-0.0010313i,-0.0137+0.018092i,-0.0090443+0.012636i,0.0018814-0.0010135i,0.014929+0.00014484i,0.0028236+0.0031914i,-0.0021583-0.012877i,0.00097333-0.0023674i,0.04019-0.024631i,0.0045923+0.010709i,0.0025108+0.002041i,-0.0035602-0.0016531i,0.0066771-0.0011133i,0.016251+0.01017i,0.0032938-0.0017507i,0.0033172-0.0082465i,0.004241-0.0023967i,0.0092094+0.011267i,0.0058021+0.0024614i,0.008672-0.0061322i,0.00085112+0.0099649i,0.0040377+0.0047449i,0.016592+0.011511i,-0.061478-0.051839i,-0.023834+0.0058857i,-0.0041258-0.0040325i,-0.0077154+0.0024781i,-0.037147-0.0026832i,-0.0053761+0.008917i,-0.018305+0.0033842i
