-0.00040979-0.042216i,-0.00049358-0.046323i,-0.0072386-0.047459i,-0.029983-0.022819i,-0.02259+0.011126i,-0.036248-0.033418i,-0.063675-0.058632i,-0.020483-0.069836i,-0.023264-0.044356i,-0.0014454+0.016205i,-0.010539+0.012564i,-0.014944+0.013193i,0.0029727+0.013999i,-0.0028673-0.0018992i,0.0018133+0.0060314i,-0.00052277+0.034301i,0.019733+0.057067i,0.0015009-0.00045443i,-0.0032349-0.0097859i,0.0073827+0.0046206i,0.0016201+0.0014883i,-0.00042286+0.003326i,-0.00036211-0.00052038i,-0.037375-0.010237i,-0.0024662-0.0076248i,-0.0010579+0.0043767i,0.0054675-0.00027319i,-0.00026347+0.0002802i,0.00072394-0.00067713i,0.00036387-0.0023214i,-0.0016257-0.0059654i,-0.0031495-0.006252i,-0.0010625-0.0068815i,0.0031654-0.00074873i,0.0029966-0.0016757i,-0.0020181+0.039143i,0.0065692-0.0038314i,0.0032801-0.00070991i,0.0053238-0.00010033i,-0.012304-0.0069575i,-0.00092194+0.00029186i,0.0092245-0.00078046i,0.0034552+0.0010691i,-0.0044138+0.0016169i,7.6457e-05+0.010616i,-0.0053445+0.017774i,0.026367-0.081399i,9.4088e-05-0.054512i,-0.023407-0.04295i,-0.01891-0.036954i,0.063327-0.01472i,0.030474-0.057372i,0.038995-0.044174i,0.033069-0.052959i,0.019788-0.016231i,0.0079043+0.011994i,0.024271-0.03474i,-0.0081114-0.0056496i,0.0030905-0.0010015i,-0.0021667-0.0049471i,0.0055096-0.03257i,-0.02528+0.031762i,0.0087286-0.010537i,-0.012727-0.0026323i,-0.0045584-0.0013074i,0.00038785-0.014708i,-0.0098197+0.0054686i,0.0033933+0.0062941i,-0.014655+0.030195i,0.0052793+0.0070965i,-0.0060302-0.0021222i,-0.0010228-0.002538i,-0.011608-0.0078865i,6.1904e-05-0.0035998i,-0.03701+0.0067487i,0.0016548-0.012731i,-0.0092946-0.0027252i,-0.0071784-0.0034613i,0.006708+0.0019816i,-0.0093028+0.0022904i,3.6069e-06+0.0016696i,0.0058372+0.0098247i,0.0048371+0.00082516i,-0.0092617-0.010017i,0.001663+0.0081465i,-0.020443+0.005126i,0.0062177+0.0034132i,-0.027929-0.008833i,-0.036155-0.0018462i,0.02579-0.077607i,0.014425-0.0093719i,-0.04226-0.02859i,-0.025111-0.0077586i,0.017417+0.012292i,-0.0273+0.011279i,-0.011846-0.0099503i
-0.0088371-0.04336i,-0.0076011-0.041384i,-0.015137-0.049047i,-0.032715-0.01748i,-0.013712+0.0098924i,-0.044668-0.02562i,-0.070673-0.043906i,-0.029627-0.067201i,-0.029893-0.037239i,0.00030642+0.015144i,-0.0089165+0.011514i,-0.0065532+0.019815i,0.010161+0.0099137i,-0.0071677+0.0013906i,0.0029316+0.0049447i,0.0083842+0.028926i,0.033929+0.041325i,0.0026013+0.0016074i,-0.0077539-0.0046239i,0.0083609+0.00084376i,0.00088016+0.0022458i,-0.0004753+0.0037262i,-0.00047762+0.00069955i,-0.02596+0.011327i,-0.0050097-0.0052778i,0.0029987+0.002898i,0.0037673-0.00059195i,0.0002278+0.0023694i,0.0016541-0.0014279i,-0.00086568-0.0025771i,-0.0019399-0.0045494i,-0.0040293-0.0049984i,-0.0028868-0.0063206i,0.0023274-0.0021864i,0.0026481-0.0013312i,0.010528+0.035217i,0.005708-0.0064846i,0.0024454-0.0020238i,0.0071061-0.002357i,-0.0087323-0.0033695i,-0.00072005+0.0016235i,0.0074472-0.0025375i,0.00205+0.0016657i,-0.0065074+0.0029731i,0.0095663+0.010436i,0.00866+0.022013i,0.011302-0.086552i,-0.016287-0.058998i,-0.018288-0.035508i,-0.016296-0.025309i,0.067035-0.04362i,0.029847-0.077533i,0.041935-0.045432i,0.024083-0.062785i,0.0089762-0.010579i,0.0087095+0.0014641i,0.010176-0.037212i,-0.0074583+0.0003593i,0.0017604-0.010864i,-0.0031092-0.0063882i,-0.018075-0.036189i,-0.0098794+0.030348i,0.002676-0.013399i,-0.01353+0.0023634i,-0.0038462+0.00054204i,-0.0069411-0.014763i,-0.0098236+0.009864i,0.0066751+0.006912i,0.0050218+0.030919i,0.0069876+0.0019845i,-0.0053845+0.0012846i,-0.0041067-0.002935i,-0.016157+0.0013909i,0.00041837-0.0023815i,-0.038824+0.014567i,-0.0053649-0.010197i,-0.0097015+0.0016289i,-0.0090661+0.0005345i,0.0047727-0.0041501i,-0.0075427+0.0046468i,0.0017839+0.00076115i,0.0054518+0.0037069i,0.0029881-0.00094766i,-0.014122-0.0018909i,0.003388+0.0053594i,-0.01549+0.01325i,0.0065564-0.00090284i,-0.028927+0.0018824i,-0.036197+0.0089294i,0.011544-0.080189i,0.010552-0.016258i,-0.049349-0.0152i,-0.020354-0.007126i,0.018481+0.0063854i,-0.021701+0.018508i,-0.017983-0.015235i
-0.01563-0.040978i,-0.0098529-0.041843i,-0.024022-0.049926i,-0.033985-0.011156i,-0.007939+0.005068i,-0.050821-0.015818i,-0.079181-0.026827i,-0.042293-0.063494i,-0.03491-0.031406i,0.0027531+0.014405i,-0.008124+0.01524i,0.0031319+0.018325i,0.012521+0.0020944i,-0.0071129+0.00534i,0.0038582+0.004331i,0.013948+0.021462i,0.042998+0.027168i,0.0053086+0.0012933i,-0.0070372+0.0005922i,0.0076437-0.0020692i,0.00065849+0.0028201i,0.0010496+0.0055737i,0.00038609+0.0010973i,-0.012377+0.019543i,-0.0049323-0.0023505i,0.0043613-7.9389e-05i,0.0029734-0.0016776i,0.0030015+0.0027791i,0.00023506-0.0020143i,-0.0013247-0.0023537i,-0.0026446-0.0041208i,-0.0056744-0.0036172i,-0.0048184-0.0050486i,0.0015055-0.0035186i,0.0038894-0.004185i,0.020954+0.02685i,0.0028984-0.0076642i,0.0015699-0.0027092i,0.0061023-0.0071092i,-0.0091206-0.0021779i,0.00011599+0.0025047i,0.0059461-0.0049529i,0.003197+0.0025533i,-0.0056572+0.0062659i,0.017229+0.001539i,0.02338+0.018143i,-0.0039855-0.087334i,-0.031748-0.051139i,-0.009805-0.037992i,-0.010749-0.027554i,0.060849-0.070557i,0.012039-0.097945i,0.048107-0.052826i,0.011857-0.064778i,0.0074408-0.00766i,0.0059347-0.0030762i,-0.0017332-0.038809i,0.0023401-0.00068876i,-0.0079827-0.013384i,-0.0035374-0.0099205i,-0.038314-0.027362i,-0.00042917+0.028013i,-0.0037836-0.012856i,-0.010109+0.0060609i,-0.004955+0.0018372i,-0.014358-0.011749i,-0.0043961+0.014943i,0.012258+0.0024317i,0.019238+0.020751i,0.0061999-0.00079833i,-0.0045248+0.0011437i,-0.0055307-0.0013488i,-0.013463+0.010965i,-0.002492-0.0024708i,-0.032306+0.026204i,-0.0076191-0.005155i,-0.0088897+0.006358i,-0.009327+0.0073523i,-0.00073003-0.0051531i,-0.0062742+0.0060787i,0.001457-0.00060466i,0.0030315+0.0024141i,0.0021594-0.0017724i,-0.0091969+0.0062077i,0.0032513+0.0028257i,-0.0094625+0.016197i,0.0033459-0.0042237i,-0.024935+0.01038i,-0.030411+0.018921i,0.0010913-0.079835i,0.0039102-0.017973i,-0.049312-0.0019271i,-0.024294-0.011369i,0.017505-0.0012864i,-0.011083+0.020201i,-0.021886-0.011531i
-0.020396-0.037689i,-0.014436-0.045051i,-0.033999-0.049556i,-0.031016-0.0048284i,-0.0059185-0.002348i,-0.053295-0.0033984i,-0.080056+0.00014347i,-0.054805-0.052548i,-0.040191-0.022788i,0.0058247+0.013387i,-0.0025016+0.01853i,0.0076515+0.012754i,0.010639-0.0051026i,-0.0054899+0.010191i,0.0041063+0.0024901i,0.014852+0.01277i,0.048606+0.0071526i,0.0064839-0.001784i,-0.0063765+0.0044546i,0.0054756-0.0045005i,0.0024924+0.0040097i,0.0042126+0.0055852i,0.0005971+0.001158i,0.00086183+0.025383i,-0.0038758-0.00081444i,0.0031965-0.0025461i,0.0025435-0.002058i,0.0037848+0.00021769i,-0.00013474-0.0010947i,-0.0025382-0.0023297i,-0.0031081-0.0032438i,-0.006232-0.0019085i,-0.0064938-0.0028204i,-0.00017293-0.0044063i,0.00019319-0.0064843i,0.024523+0.015854i,2.3092e-05-0.0082977i,0.00043272-0.0033936i,0.0020109-0.0087856i,-0.0077443+0.0025118i,0.0014092+0.0021732i,0.0027137-0.0065956i,0.0044585+0.0014507i,-0.0023433+0.0070545i,0.021128-0.0068625i,0.035657+0.0082748i,-0.018032-0.08364i,-0.037665-0.038464i,-0.011144-0.043393i,-0.010934-0.029459i,0.04336-0.10003i,-0.015738-0.10313i,0.047451-0.07333i,0.0031279-0.064797i,0.0066926-0.005844i,0.0014847-0.0070345i,-0.015452-0.03415i,0.0012378-0.01025i,-0.012363-0.0093882i,-0.010483-0.013873i,-0.049337-0.0060274i,0.011033+0.02266i,-0.009047-0.01029i,-0.0062678+0.0066527i,-0.0041823+0.0043517i,-0.020089-0.0047568i,0.0036001+0.013229i,0.014278-0.0039115i,0.024849+0.009267i,0.0059333-0.002935i,-0.0053559+0.0011491i,-0.0064047+0.0016492i,-0.008111+0.01807i,-0.0040104+0.00055822i,-0.025618+0.034438i,-0.0079145-0.0019757i,-0.0040856+0.0099727i,-0.0030721+0.012843i,-0.004791-0.0022023i,-0.002679+0.0061425i,0.0013608-0.00092286i,0.0021203+0.0023498i,0.00017508-0.0034505i,-0.0030481+0.0056555i,0.00027006-0.00017955i,-0.0053296+0.018469i,-0.001082-0.0040751i,-0.018396+0.016134i,-0.022126+0.023184i,-0.0079713-0.080386i,0.003965-0.015902i,-0.046032+0.012375i,-0.031265-0.0071997i,0.014641-0.0077218i,-0.0021438+0.015811i,-0.021649-0.006428i
-0.024029-0.033496i,-0.023563-0.046182i,-0.046396-0.046787i,-0.027029-0.0015572i,-0.010426-0.0098461i,-0.051689+0.0084347i,-0.062405+0.018931i,-0.059077-0.03957i,-0.038248-0.01367i,0.0086095+0.01182i,0.0044487+0.016307i,0.0094698+0.0092077i,0.0049699-0.009659i,0.00037005+0.012419i,0.0033714+0.00080103i,0.012589+0.0086514i,0.039651-0.015214i,0.0052146-0.0044625i,-0.0025803+0.010432i,0.003104-0.0054549i,0.0045026+0.0040633i,0.0053947+0.0029717i,0.00083318+0.0016747i,0.020026+0.019584i,-0.0036891+0.00065199i,0.0019425-0.0035067i,0.0010218-0.0027115i,0.0036609+0.00010512i,-0.00014311-0.00062162i,-0.0042659-0.00064283i,-0.0036507-0.0021807i,-0.0062126+0.00032807i,-0.0060653+0.00017093i,-0.0025626-0.0039601i,-0.0021724-0.0050512i,0.025947+0.0094554i,-0.0030026-0.0076693i,-0.0014587-0.0034467i,-0.0014436-0.0080033i,-0.0039611+0.0008083i,0.0016416+0.0011396i,-0.00086433-0.0049807i,0.0055089+0.00049694i,-0.0011246+0.0061918i,0.021271-0.021198i,0.043983-0.0078278i,-0.026559-0.076004i,-0.037999-0.027746i,-0.013902-0.047651i,-0.011095-0.029723i,0.0074951-0.12057i,-0.040472-0.0962i,0.029907-0.090709i,-0.0087646-0.061119i,0.0074003-0.0035726i,-0.0035612-0.0076965i,-0.025194-0.023748i,-0.0058634-0.013806i,-0.015722-0.0075846i,-0.020892-0.0095329i,-0.047133+0.013934i,0.016249+0.011758i,-0.013174-0.0052081i,-0.0044953+0.0065382i,-0.0030597+0.006659i,-0.021145+0.006115i,0.0045794+0.0083141i,0.013691-0.010225i,0.027743-0.0038892i,0.0046842-0.0069593i,-0.0076+0.0040938i,-0.0046395+0.0051232i,0.00076055+0.020281i,-0.0037981+0.003352i,-0.017469+0.043696i,-0.0093201-0.00046952i,0.00042315+0.0078651i,0.0041119+0.011823i,-0.0063193+0.00097621i,-0.0025391+0.0031973i,0.00032951-0.0022342i,0.0011201+0.0040407i,-0.0038054-0.0035424i,-0.0022534+0.0022394i,-0.0028011+0.0018552i,0.001537+0.020469i,-0.0034528-0.0024835i,-0.010256+0.018957i,-0.016149+0.025623i,-0.019511-0.078222i,0.0076218-0.021152i,-0.037002+0.026578i,-0.033674+0.0025936i,0.0092257-0.012628i,-2.8972e-05+0.0086873i,-0.020865-0.0054369i
-0.025691-0.030896i,-0.030247-0.044494i,-0.059827-0.037447i,-0.025161-0.0012116i,-0.020682-0.011706i,-0.045828+0.018728i,-0.044839+0.023039i,-0.060646-0.030216i,-0.036627-0.0098608i,0.010321+0.009824i,0.0069551+0.013001i,0.011313+0.0041767i,-0.0018963-0.010768i,0.0064997+0.0097629i,0.0021592+0.00012138i,0.011424+0.0065872i,0.022232-0.0245i,0.0045279-0.0058561i,0.0044243+0.01088i,0.00080575-0.0051531i,0.0067641+0.0013508i,0.005285+0.00065378i,0.0022763+0.0021792i,0.027417+0.0033758i,-0.0017074+0.0027406i,0.00037268-0.0037026i,-0.00072215-0.00062961i,0.0047457-0.0015087i,1.3841e-05-0.00097045i,-0.0032252+0.0027603i,-0.0029502-0.0012636i,-0.0058897+0.001937i,-0.005853+0.0023035i,-0.004014-0.0015614i,-0.0028747-0.0036279i,0.028436+0.0012919i,-0.0058106-0.0060466i,-0.0032998-0.0029547i,-0.0040157-0.0076011i,-0.0063546-0.0014755i,0.0022989+0.00094593i,-0.0021842-0.002304i,0.005525-0.0011808i,-0.00027021+0.0062199i,0.011837-0.031646i,0.036874-0.029432i,-0.02827-0.069819i,-0.037497-0.01974i,-0.019109-0.048655i,-0.0098084-0.03404i,-0.03299-0.1165i,-0.062075-0.082302i,0.010499-0.09679i,-0.012164-0.047676i,0.013694+0.0010822i,-0.0075179-0.0051659i,-0.026562-0.00899i,-0.012012-0.013513i,-0.021406-0.0026007i,-0.021598+9.798e-05i,-0.038947+0.031475i,0.014987+0.0032232i,-0.011106+0.0027333i,-0.0055163+0.0063769i,0.001368+0.0088133i,-0.015235+0.014685i,0.005754+0.0095213i,0.010091-0.021284i,0.017795-0.021354i,-0.002524-0.010993i,-0.0075323+0.0095572i,-0.0032848+0.0063536i,0.0088693+0.01773i,-0.0018176+0.0055354i,0.00029081+0.055969i,-0.011099+0.0026692i,0.00095008+0.0067166i,0.008562+0.0067397i,-0.0056145+0.0070308i,-0.0031413+0.0047894i,-0.0030108-0.0025122i,0.003989+0.0053274i,-0.0057618+0.0026133i,-0.005129+0.0014482i,-0.00095728+0.007021i,0.0086268+0.017479i,-0.0051006-0.0019445i,-0.0039165+0.016936i,-0.0078828+0.028894i,-0.025401-0.070457i,0.00022092-0.035167i,-0.016556+0.032093i,-0.028377+0.010076i,0.007254-0.018898i,0.00041425+0.0023994i,-0.021174-0.00062358i
-0.027952-0.029267i,-0.041014-0.044857i,-0.070552-0.022847i,-0.024799+0.00093382i,-0.029639-0.0044636i,-0.038421+0.024974i,-0.033876+0.020365i,-0.062414-0.022691i,-0.038771-0.00586i,0.013439+0.0066563i,0.011091+0.011275i,0.0078094-0.0018182i,-0.0088585-0.0073938i,0.0096517+0.002695i,0.001465-0.0002665i,0.010739+0.0055634i,0.0070918-0.023214i,0.0022183-0.0077707i,0.0086264+0.0058273i,-0.0011212-0.0036914i,0.006307-0.001975i,0.005979+0.00050181i,0.0036824+0.00097584i,0.023309-0.010779i,0.0021271+0.0021237i,-0.00022899-0.0027162i,0.00055543-0.0017056i,0.0041524-0.00434i,-7.8685e-07-0.00021568i,-0.0007478+0.0033204i,-0.0032447-0.0010866i,-0.0045069+0.0039648i,-0.0037786+0.0042035i,-0.0033941+0.00019673i,-0.0041975-0.0038767i,0.02608-0.0091244i,-0.0066852-0.0024623i,-0.0041635-0.0011476i,-0.0072892-0.0046132i,-0.01086+0.0013573i,0.0022449+0.00017173i,-0.00097452-0.0012542i,0.0052009-0.0034378i,0.0010486+0.004127i,-0.00019792-0.035122i,0.021493-0.03503i,-0.033685-0.071915i,-0.030239-0.01216i,-0.023706-0.047825i,-0.018902-0.041276i,-0.060876-0.1008i,-0.070973-0.058983i,-0.013573-0.098636i,-0.0065175-0.04384i,0.021374-0.012498i,-0.0089071-0.00098938i,-0.021473-0.0034252i,-0.021869-0.00956i,-0.019958+0.0088294i,-0.019486+0.0055248i,-0.019097+0.041724i,0.013191-0.0021848i,-0.0089309+0.0030688i,-0.0021807+0.0066822i,0.0038951+0.00538i,-0.0072156+0.019968i,0.010572+0.0069834i,-0.0052803-0.026509i,-0.0017423-0.024884i,-0.0068218-0.0038655i,-0.0027563+0.013484i,0.0011295+0.0064192i,0.015599+0.0096692i,0.00082842+0.0052849i,0.02676+0.051343i,-0.0073389+0.0077027i,0.0018703+0.0050143i,0.009094+0.0015826i,-1.0505e-05+0.010002i,-0.0046425+0.0056636i,-0.0051512+0.001123i,0.0075188+0.0051478i,-0.0028193+0.0064312i,-0.0071487+0.0040754i,0.0028147+0.0072037i,0.012391+0.01195i,-0.0057748+0.0014102i,0.0020797+0.013883i,0.0013013+0.02665i,-0.03062-0.069249i,-0.019095-0.03833i,-0.0012628+0.02364i,-0.024095+0.012885i,-0.0018254-0.025911i,-0.0029685-0.0019925i,-0.014809+0.0012783i
-0.031149-0.027506i,-0.053217-0.036398i,-0.075236-0.005364i,-0.021527+0.0037558i,-0.029851+0.0064971i,-0.032347+0.0291i,-0.028866+0.0168i,-0.064169-0.014705i,-0.038811+0.002661i,0.014602+0.001962i,0.014946+0.0040534i,0.0022078-0.0019624i,-0.011553-0.00053415i,0.005756-0.0016911i,0.00043398-0.00067787i,0.012378+0.0032352i,-0.001525-0.016275i,-0.001686-0.0076485i,0.007436+0.0013697i,-0.0016224-0.0023489i,0.0035812-0.003399i,0.0062302-0.0019101i,0.0034141-0.00049921i,0.014487-0.018805i,0.0022438-0.0011371i,-0.00012129-0.0030532i,0.00028861-0.0024053i,0.0015727-0.0051067i,0.0013855-9.3309e-05i,2.9766e-05+0.0026024i,-0.0037145-0.00072003i,-0.0022972+0.0048717i,-0.0017837+0.0050181i,-0.0026792+0.00070017i,-0.0057021-0.00059159i,0.01939-0.016812i,-0.0053631-0.00023171i,-0.0035904+0.00088552i,-0.0066358-0.0014962i,-0.010086+0.0073078i,0.0019789-0.00019346i,-0.00057472-0.00089755i,0.0030613-0.0051082i,1.7522e-05+0.0020261i,-0.010682-0.030214i,0.016079-0.028542i,-0.04419-0.073193i,-0.022951-0.012891i,-0.02945-0.047509i,-0.029365-0.036824i,-0.085041-0.082814i,-0.068616-0.040655i,-0.040887-0.08784i,-0.0046385-0.048359i,0.017383-0.02504i,-0.0077037+0.0017504i,-0.017565+0.001199i,-0.02861+0.002517i,-0.013345+0.014717i,-0.01477+0.011066i,0.0019266+0.039578i,0.0097945-0.0081186i,-0.0094374+0.0051318i,-0.0010976+0.0045659i,0.0059129+0.0037447i,0.0023451+0.017768i,0.011608-0.00013735i,-0.019973-0.017497i,-0.015295-0.014847i,-0.0037315+0.00094253i,0.0044718+0.013196i,0.0027919+0.0050142i,0.018206+0.0021024i,0.0046578+0.0051897i,0.044959+0.034388i,-0.0038456+0.00735i,0.0015365+0.0049474i,0.0074021-0.0032629i,0.0058705+0.0071244i,-0.004401+0.012034i,-0.0032795+0.0061498i,0.010805+0.00052398i,0.0025108+0.0068654i,-0.0068706+0.0078735i,0.0052151+0.0046412i,0.013901+0.0069128i,-0.0049763+0.0026211i,0.0045211+0.008988i,0.006696+0.022068i,-0.037426-0.066243i,-0.032799-0.024718i,0.004689+0.010873i,-0.01281+0.018455i,-0.01342-0.027332i,-0.010884-0.002713i,-0.014147-0.0047995i
-0.035592-0.024427i,-0.059094-0.023471i,-0.073414+0.012701i,-0.019483+0.0034261i,-0.025655+0.013735i,-0.025969+0.032871i,-0.026528+0.013689i,-0.06578-0.0070044i,-0.033695+0.01006i,0.013595-0.0029779i,0.011392-0.0025909i,0.0012684+0.00075243i,-0.010069+0.0056309i,0.0028247-0.0028684i,-0.00081746+3.0554e-05i,0.012631-0.00079823i,-0.0022211-0.0097286i,-0.0043702-0.0054732i,0.0062943+0.00027808i,-0.0018526-0.00096407i,0.0025751-0.0024064i,0.0048374-0.0035793i,0.0030417-0.0010718i,0.0058352-0.020335i,0.0006573-0.0031572i,-0.0011752-0.0041397i,-0.0005391-0.0026607i,-0.0005538-0.0050377i,0.0014852-0.0013823i,0.0011228+0.002718i,-0.00388-0.00025271i,-0.00011807+0.0046972i,0.00016978+0.0039929i,-0.0022751+0.0019929i,-0.0038865+0.00032607i,0.010336-0.020947i,-0.0039846+0.0005705i,-0.002157+0.0020216i,-0.0076081+3.5942e-05i,-0.0063537+0.010963i,0.0019609-0.00036868i,-0.00091854-0.00054079i,0.0016239-0.0053616i,-0.0031248+0.0025912i,-0.016345-0.022934i,0.02351-0.026447i,-0.058879-0.069643i,-0.020419-0.016496i,-0.034898-0.043077i,-0.034558-0.030841i,-0.10236-0.054538i,-0.06673-0.031998i,-0.052487-0.061647i,-0.0081874-0.050835i,0.0072896-0.034406i,-0.0065696+0.0028447i,-0.014362-0.0001134i,-0.022919+0.016995i,-0.0063724+0.016592i,-0.005369+0.011903i,0.012752+0.027239i,0.0039809-0.010459i,-0.0075983+0.008111i,-0.0014611+0.004302i,0.005975-0.000475i,0.006694+0.01334i,0.0062741-0.0031646i,-0.025745-0.0030057i,-0.018903-0.0038025i,-0.00040396+0.00093597i,0.007519+0.010731i,0.0026547+0.0037514i,0.015403-0.0094499i,0.0060929+0.00021419i,0.053604+0.012888i,-0.0035194+0.0084627i,0.0040349+0.0040279i,0.0026357-0.0058003i,0.006518+0.0029106i,0.0020049+0.015768i,0.0032532+0.0055303i,0.0083739-0.0044078i,0.0060392+0.00309i,-0.003639+0.012594i,0.004441+0.0038455i,0.01283+0.002559i,-0.0057884+0.0036866i,0.0019754+0.0062959i,0.0096447+0.018684i,-0.044581-0.06198i,-0.033579-0.0097186i,0.0024544+0.0011125i,-0.0031078+0.010994i,-0.025121-0.022116i,-0.015095+0.0070919i,-0.020477-0.003599i
-0.0398-0.019565i,-0.059852-0.012988i,-0.06692+0.028669i,-0.02095+0.0032975i,-0.019373+0.018911i,-0.018907+0.035855i,-0.027067+0.01211i,-0.067316+0.0025951i,-0.028405+0.013019i,0.010863-0.0063595i,0.0064412-0.0037936i,0.0017917+0.0014238i,-0.0052936+0.0090943i,0.00038339-0.0031902i,-0.00051883+0.0014006i,0.0096966-0.0049588i,-0.0015246-0.0090435i,-0.0046858-0.002139i,0.0061516-0.0017557i,-0.0010159+0.00041913i,0.0031142-0.0025371i,0.0034776-0.0034864i,0.0028832-0.0015486i,-0.0016788-0.019307i,-0.0010148-0.0030239i,-0.0033033-0.0031558i,-0.0015796-0.002858i,-0.002486-0.0044703i,0.0010614-0.0021144i,0.0026128+0.0015759i,-0.0043082+0.00058314i,0.0015036+0.0036547i,0.0012998+0.0030721i,-0.0010354+0.0026781i,-0.0044327+0.0013651i,0.0011344-0.018903i,-0.0036912+0.00011488i,-0.00059332+0.0021169i,-0.006098+0.0040822i,-0.0018628+0.013222i,0.0019058-0.00056865i,0.00019065+0.00033114i,4.6374e-05-0.0056828i,-0.0030851+0.0066973i,-0.014984-0.015823i,0.034031-0.038156i,-0.074061-0.05876i,-0.022098-0.018537i,-0.036645-0.039916i,-0.039665-0.025051i,-0.10364-0.02445i,-0.066501-0.020913i,-0.048004-0.045432i,-0.011182-0.054073i,-0.0063979-0.03722i,-0.0047209+0.0042724i,-0.016427-0.0017226i,-0.011636+0.023167i,-0.00025557+0.014593i,0.0001765+0.0052568i,0.014188+0.015101i,-0.0015821-0.010539i,-0.0047293+0.0099834i,-0.001788+0.0051677i,0.0032639-0.0031767i,0.0091079+0.0088004i,0.0042498-0.0014116i,-0.022461+0.0108i,-0.01616+0.0064705i,0.00053183+0.00020568i,0.01218+0.0077246i,0.0028168+0.0033354i,0.0059619-0.014698i,0.0034644-0.0023825i,0.050849-0.0083651i,-0.00039565+0.010357i,0.0035392+0.0019092i,-0.00097394-0.0040671i,0.0056896+0.0020338i,0.0096747+0.015239i,0.0046421+0.0014261i,0.006212-0.0060933i,0.0052471-0.00020046i,0.0032932+0.014238i,0.0050628+0.0028117i,0.012837-0.0014968i,-0.0041018+0.0088704i,0.0024445+0.0064582i,0.012629+0.015483i,-0.052-0.057993i,-0.028659-0.0012706i,-0.0014917-0.0023058i,-0.0040954+0.0029479i,-0.033437-0.013419i,-0.0087393+0.011073i,-0.020213+0.00073282i
-0.042184-0.013458i,-0.058613-0.0041537i,-0.055556+0.041153i,-0.021248+0.0066793i,-0.011516+0.020449i,-0.011669+0.036977i,-0.027886+0.01351i,-0.066413+0.013637i,-0.02452+0.01482i,0.0078251-0.0087882i,0.0039562-0.0029229i,0.0032202+0.0012803i,-0.0011132+0.009585i,-0.0025575-0.0016903i,-0.00011692+0.0014407i,0.0056861-0.0064195i,-0.0046221-0.010604i,-0.0041589-0.00066235i,0.0045131-0.0031853i,2.8474e-05+0.00063633i,0.0028832-0.0036605i,0.0030686-0.0031743i,0.002441-0.0023301i,-0.0079106-0.016849i,-0.002051-0.002428i,-0.0038949-0.0013233i,-0.0030061-0.0020822i,-0.003691-0.003179i,0.00029704-0.0026236i,0.0024071-0.00053388i,-0.0045427+0.002247i,0.0019249+0.0026184i,0.002003+0.0022245i,0.00063139+0.0023097i,-0.0034005+0.0024819i,-0.0036133-0.014038i,-0.0036181+0.00067439i,0.00041113+0.0012005i,-0.0029557+0.0048618i,0.0046033+0.012908i,0.0018626-0.00088473i,0.00089471-1.2368e-05i,-0.0019015-0.0058627i,0.00011176+0.0068372i,-0.010634-0.014759i,0.031632-0.060107i,-0.083755-0.041853i,-0.022185-0.018998i,-0.039385-0.041263i,-0.042726-0.017201i,-0.098384-0.0025594i,-0.063557-0.011387i,-0.045266-0.035867i,-0.01781-0.05668i,-0.020478-0.035438i,-0.0031392+0.0039279i,-0.022803+5.5114e-05i,-0.0013524+0.021734i,0.0033789+0.010687i,-0.00042689-0.00063887i,0.010744+0.0084102i,-0.006645-0.0098549i,-0.0012834+0.010796i,-0.0004931+0.0062443i,0.00044226-0.0031978i,0.0086235+0.0040068i,0.0046651-0.00064228i,-0.013691+0.01785i,-0.0094485+0.012945i,0.0020235-0.00086438i,0.015139+0.00028537i,0.0028845+0.0032434i,-0.0022563-0.012908i,0.0010113-0.002474i,0.040486-0.02428i,0.0042608+0.010783i,0.0028413+0.0020903i,-0.0033911-0.0018287i,0.0065024-0.00089761i,0.016234+0.010371i,0.0034541-0.0015386i,0.0032619-0.0081887i,0.0040388-0.0025526i,0.0093205+0.011341i,0.0053461+0.0026392i,0.0088153-0.0062613i,0.0013888+0.010221i,0.003732+0.0047719i,0.016443+0.011361i,-0.060533-0.050633i,-0.023892+0.005206i,-0.0036381-0.0041047i,-0.0081395+0.001739i,-0.037423-0.0026439i,-0.0054371+0.0095879i,-0.018361+0.0035135i
