-0.0015909-0.042192i,-0.00018788-0.046259i,-0.0081833-0.047778i,-0.030288-0.022458i,-0.023129+0.010895i,-0.03673-0.032915i,-0.062655-0.058436i,-0.02097-0.06901i,-0.022377-0.07821i,-0.0012868+0.016744i,-0.010365+0.012424i,-0.015308+0.013135i,0.0032948+0.015345i,-0.0026438-0.0019738i,0.0020714+0.0063139i,-0.00037969+0.035007i,0.028151+0.05133i,0.001231-0.0005684i,-0.0035561-0.0098043i,0.0063788+0.0041578i,0.0017349+0.0014066i,0.0012779+0.0037602i,-0.00038212-0.0004966i,-0.036485-0.011279i,-0.0027722-0.0073566i,-0.0010294+0.004785i,0.0039187-0.0065773i,-0.00033174+0.00018941i,0.0007168-0.0005522i,4.5618e-05-0.0024185i,-0.0018433-0.0055111i,-0.0035481-0.0063716i,-0.0015599-0.0067192i,0.0031741+0.00021026i,0.0030378-0.0016035i,-0.0026517+0.040837i,0.0067823-0.0045557i,0.0031461-0.00036246i,0.0052932-0.00041928i,-0.018009+0.0015948i,-0.00088982+6.4972e-05i,0.0074861-0.0017788i,0.0043425+0.0014374i,-0.0043747+0.0016224i,-3.6473e-05+0.0093374i,-0.0057457+0.017873i,0.027568-0.080587i,0.00016552-0.054835i,-0.023314-0.043486i,-0.018663-0.03762i,0.063021-0.016183i,0.030526-0.058918i,0.038771-0.043776i,0.033491-0.05272i,0.01974-0.015748i,0.0080668+0.012302i,0.022245-0.034034i,-0.0067094-0.0052114i,0.002862-0.0011772i,-0.0024341-0.0044521i,0.0053343-0.032128i,-0.025923+0.031321i,0.0091954-0.010258i,-0.012311-0.0027794i,-0.0046379-0.0013725i,0.00029996-0.014729i,-0.0099324+0.0055185i,0.003597+0.0061497i,-0.014133+0.030471i,0.0048469+0.0066306i,-0.0053446-0.0027769i,-0.0010275-0.0025078i,-0.013255-0.0083331i,0.00027989-0.0034583i,-0.043324+0.0081127i,0.0013199-0.012803i,-0.0092433-0.0028893i,-0.0071189-0.0033849i,0.0064501+0.0026571i,-0.0094726+0.0023906i,0.00019906+0.0017528i,0.0049739+0.010466i,0.0049721+0.0009081i,-0.0093188-0.0092927i,0.0015871+0.0083253i,-0.020273+0.0050963i,0.0064625+0.003243i,-0.028086-0.0089235i,-0.035989-0.0024123i,0.024004-0.077614i,0.014321-0.008961i,-0.042505-0.028411i,-0.025217-0.0075748i,0.017265+0.012517i,-0.027218+0.011191i,-0.012074-0.010014i
-0.009904-0.042814i,-0.0071606-0.041713i,-0.015887-0.048429i,-0.032703-0.016839i,-0.014134+0.0098881i,-0.044709-0.024877i,-0.069744-0.044287i,-0.029514-0.066003i,-0.022889-0.062414i,0.00093304+0.015896i,-0.0088881+0.011245i,-0.0068639+0.019971i,0.0098568+0.010326i,-0.0071251+0.00087916i,0.0031606+0.005177i,0.0085722+0.029473i,0.038475+0.033024i,0.002262+0.0015848i,-0.0080645-0.004396i,0.008424+0.0008424i,0.0009334+0.002186i,-0.00029133+0.0050481i,-0.00048554+0.00075827i,-0.026258+0.010388i,-0.0052493-0.0050949i,0.003458+0.0029094i,0.0034612-0.00126i,-0.00014191+0.0023618i,0.0016929-0.0012421i,-0.0011743-0.0025982i,-0.0018567-0.0040964i,-0.0045488-0.0049064i,-0.003188-0.0062378i,0.0035173-0.0019118i,0.0026742-0.0011624i,0.010388+0.037363i,0.0056896-0.0075756i,0.0023485-0.0017113i,0.0073377-0.0025246i,-0.011549+0.00011508i,-0.00095043+0.0012752i,0.0071228-0.001716i,0.0027685+0.0018962i,-0.0066706+0.0027977i,0.0092325+0.0088054i,0.008241+0.022328i,0.012367-0.086134i,-0.016746-0.059197i,-0.019089-0.035957i,-0.016277-0.025489i,0.066144-0.044704i,0.028978-0.078529i,0.041907-0.044702i,0.024252-0.062827i,0.0092018-0.010433i,0.0086866+0.0013881i,0.010177-0.035165i,-0.006876+0.00054854i,0.0015713-0.011764i,-0.003076-0.0057931i,-0.018289-0.034791i,-0.010586+0.030525i,0.0032328-0.013594i,-0.01296+0.0016486i,-0.0040457+0.00058815i,-0.0076698-0.014401i,-0.010523+0.010206i,0.0068699+0.0066067i,0.0060014+0.029252i,0.0062773+0.0019463i,-0.0055863+0.00057977i,-0.003966-0.0027414i,-0.016006+0.0018651i,0.00067788-0.0024511i,-0.037044+0.010757i,-0.0053043-0.010069i,-0.01013+0.0015461i,-0.0087973+0.0004237i,0.0051476-0.0036859i,-0.0077524+0.0047232i,0.0019628+0.00039688i,0.0056532+0.0042089i,0.0031062-0.00067303i,-0.012878-0.0013664i,0.0030932+0.0056673i,-0.016696+0.012864i,0.0062684-0.0010395i,-0.029125+0.0015079i,-0.037634+0.0070333i,0.010998-0.080023i,0.0107-0.016266i,-0.048569-0.01487i,-0.020275-0.0072557i,0.018231+0.0067175i,-0.021461+0.018094i,-0.018073-0.015221i
-0.016194-0.040081i,-0.0093558-0.042595i,-0.024009-0.048939i,-0.032972-0.010191i,-0.0083899+0.0052905i,-0.050888-0.01558i,-0.078724-0.027465i,-0.041673-0.062102i,-0.02664-0.049067i,0.0035481+0.014845i,-0.0081434+0.015204i,0.0027251+0.018362i,0.012534+0.0024616i,-0.0071299+0.0046025i,0.0042465+0.0044805i,0.014037+0.021875i,0.042753+0.022681i,0.0048543+0.0014822i,-0.0072659+0.00081773i,0.0073822-0.002241i,0.00046898+0.0027853i,0.0020177+0.006826i,0.00040676+0.0011978i,-0.01377+0.018898i,-0.0050791-0.002086i,0.0048614-0.00031908i,0.0025762-0.0018143i,0.0022993+0.0029527i,0.00053434-0.002146i,-0.0014628-0.0022924i,-0.0023158-0.0038411i,-0.0060824-0.0029944i,-0.0052265-0.0048347i,0.0019977-0.0035212i,0.0040961-0.0043117i,0.021139+0.028248i,0.0024403-0.0090204i,0.001373-0.0022925i,0.0066446-0.0076775i,-0.010496+0.0015674i,-0.00030344+0.0022021i,0.0060092-0.004683i,0.0039646+0.0027597i,-0.0060362+0.0061157i,0.016154+0.00036319i,0.02302+0.018841i,-0.0031534-0.087714i,-0.031659-0.049469i,-0.010408-0.037719i,-0.010718-0.027576i,0.059638-0.071365i,0.010395-0.09862i,0.048472-0.051932i,0.011584-0.064788i,0.0074889-0.0074201i,0.0056626-0.0029368i,-0.0069723-0.034255i,0.002422-0.00060055i,-0.008587-0.01355i,-0.0030467-0.0096831i,-0.03658-0.025902i,-0.00094778+0.028235i,-0.0039943-0.013194i,-0.010152+0.0044852i,-0.0052068+0.0018949i,-0.014872-0.010909i,-0.0046653+0.016169i,0.012001+0.0021464i,0.016984+0.018799i,0.0061665-0.00047434i,-0.0048353+0.0010787i,-0.0052941-0.0013651i,-0.013625+0.0093892i,-0.0023954-0.0025413i,-0.028581+0.018062i,-0.0073984-0.0048891i,-0.0090384+0.0063521i,-0.01008+0.0081215i,-0.00057548-0.0054539i,-0.0066567+0.0059537i,0.0015821-0.0007466i,0.0030187+0.0026404i,0.0023616-0.0015568i,-0.0089396+0.0056793i,0.0029117+0.0031197i,-0.0096083+0.018154i,0.0033514-0.003882i,-0.025568+0.010574i,-0.032527+0.019049i,0.00048722-0.079943i,0.0039313-0.018161i,-0.048498-0.0026736i,-0.024471-0.011505i,0.017642-0.0014593i,-0.011368+0.019509i,-0.021714-0.011773i
-0.02046-0.037099i,-0.014429-0.046066i,-0.033399-0.048911i,-0.029826-0.0056964i,-0.0059992-0.002078i,-0.053819-0.0030736i,-0.080251-0.00041798i,-0.053705-0.051411i,-0.03831-0.036337i,0.0069681+0.013583i,-0.0023836+0.018451i,0.0074472+0.012929i,0.01069-0.0044871i,-0.0062322+0.00901i,0.0046458+0.0022775i,0.015084+0.012856i,0.044715+0.0052949i,0.0061275-0.0016422i,-0.0065884+0.0050025i,0.0051201-0.0045391i,0.0021015+0.004206i,0.0066522+0.0056369i,0.00061064+0.0012297i,-0.00034706+0.024779i,-0.0040122-0.00028673i,0.0034109-0.0027084i,0.0022044-0.0023717i,0.0032081+0.00059817i,-6.3291e-05-0.0013382i,-0.0027411-0.0021483i,-0.0026689-0.003276i,-0.005844-0.0012047i,-0.0068945-0.0021429i,0.00071078-0.0044887i,-2.9629e-05-0.0067314i,0.024467+0.017473i,-0.0011473-0.0089355i,0.00047225-0.0029336i,0.0017321-0.0097626i,-0.0079556+0.0056727i,0.00087422+0.0021355i,0.0027604-0.0063741i,0.0052288+0.0016931i,-0.0028281+0.0067179i,0.020103-0.0075513i,0.035435+0.009352i,-0.018147-0.084272i,-0.036202-0.037379i,-0.010797-0.042975i,-0.011058-0.029483i,0.042187-0.10037i,-0.017794-0.10243i,0.048156-0.072711i,0.0027727-0.064643i,0.0067678-0.0057026i,0.0015999-0.0067483i,-0.016498-0.032725i,0.0013191-0.009908i,-0.01223-0.0094441i,-0.010306-0.014184i,-0.047547-0.0054568i,0.010604+0.022998i,-0.0090718-0.010938i,-0.0067718+0.0062436i,-0.0044773+0.0043425i,-0.019804-0.0033196i,0.0039723+0.013732i,0.013992-0.0035416i,-0.053188+0.020581i,0.0062093-0.0029806i,-0.0055256+0.0011312i,-0.0063924+0.0017265i,-0.00766+0.017432i,-0.0039513+0.00035819i,-0.025487+0.0275i,-0.0074577-0.0018485i,-0.0043431+0.0098684i,-0.0034411+0.013516i,-0.0052929-0.0024997i,-0.0030591+0.0063127i,0.0014338-0.0012517i,0.0023622+0.0027912i,0.00084694-0.0030499i,-0.0031362+0.0056411i,0.00011171-4.0335e-05i,-0.0045939+0.021747i,-0.00086154-0.0040976i,-0.018504+0.016838i,-0.023449+0.024146i,-0.009663-0.081215i,0.0038423-0.015982i,-0.045606+0.011746i,-0.031768-0.0073588i,0.014712-0.0080982i,-0.0021559+0.015649i,-0.022026-0.0069532i
-0.024198-0.032992i,-0.023858-0.046922i,-0.045735-0.04687i,-0.027697-0.0022468i,-0.010305-0.009468i,-0.051923+0.0095439i,-0.062805+0.01864i,-0.057096-0.039322i,-0.037618-0.022561i,0.0097703+0.011507i,0.0046407+0.016106i,0.0094614+0.0093593i,0.0051301-0.0093111i,-0.0010302+0.011644i,0.0036823+0.00036432i,0.012877+0.0087017i,0.039464-0.012994i,0.0049728-0.0043799i,-0.0027291+0.011037i,0.0029398-0.0052406i,0.0045043+0.0042859i,0.0066772+0.0018165i,0.00086253+0.0017579i,0.017456+0.020532i,-0.0036753+0.001281i,0.0021673-0.0035884i,0.00075978-0.00247i,0.003092+0.00020708i,-6.0674e-05-0.00086766i,-0.0043066-0.00043063i,-0.0033089-0.0024413i,-0.005629+0.00047477i,-0.0059976+0.00075163i,-0.0019364-0.0046261i,-0.0026382-0.0051143i,0.027025+0.010565i,-0.0035814-0.0077421i,-0.0014889-0.0028276i,-0.0018455-0.0081121i,-0.0045233+0.0027195i,0.001264+0.0012288i,-0.00081828-0.0049853i,0.0058859+0.00011879i,-0.0016635+0.0060253i,0.020303-0.021289i,0.044424-0.0067492i,-0.027246-0.076178i,-0.036604-0.027591i,-0.013473-0.047904i,-0.011346-0.029818i,0.0059914-0.12033i,-0.042151-0.095233i,0.030421-0.090532i,-0.0089232-0.060807i,0.007193-0.0034417i,-0.0034469-0.0075874i,-0.025396-0.022677i,-0.0057047-0.013589i,-0.015276-0.0080605i,-0.020884-0.0097714i,-0.047064+0.014123i,0.01559+0.011749i,-0.013727-0.0060258i,-0.0045798+0.0066769i,-0.0032427+0.0065936i,-0.020278+0.0069841i,0.0046545+0.0082046i,0.013514-0.0098017i,0.025036-0.006134i,0.0046887-0.0071906i,-0.0080202+0.004345i,-0.0045454+0.0052311i,0.0024127+0.019347i,-0.0039142+0.0031954i,-0.018284+0.037917i,-0.0087025-0.00056854i,0.00023213+0.0078895i,0.0040764+0.012017i,-0.0067199+0.002073i,-0.0027901+0.0033824i,0.00015499-0.0024287i,0.0013972+0.0040514i,-0.0045144-0.0053312i,-0.002121+0.0017925i,-0.0030039+0.0017673i,0.0049909+0.024582i,-0.0036206-0.0024029i,-0.0099761+0.019368i,-0.015523+0.026917i,-0.022155-0.078942i,0.0076288-0.021362i,-0.036455+0.025893i,-0.033875+0.0031583i,0.0087759-0.013512i,4.077e-05+0.0083902i,-0.021383-0.0055636i
-0.025825-0.030475i,-0.030525-0.045007i,-0.058909-0.038181i,-0.025718-0.0015939i,-0.020273-0.011493i,-0.045437+0.019782i,-0.045202+0.022825i,-0.059362-0.031101i,-0.03548-0.016344i,0.011257+0.0093813i,0.00661+0.012548i,0.011513+0.0041397i,-0.0016725-0.010701i,0.0043744+0.0104i,0.0022015-0.0002501i,0.011685+0.006549i,0.023206-0.024828i,0.0043809-0.0057596i,0.0045532+0.011296i,0.00060292-0.0049427i,0.0070936+0.0017815i,0.0057151-7.2535e-05i,0.0023545+0.0022363i,0.027113+0.0042805i,-0.0013692+0.0030238i,0.00052338-0.0036323i,-0.00062578-0.00039638i,0.0046352-0.00062883i,-4.8629e-05-0.0011342i,-0.0030638+0.0029343i,-0.0026864-0.0014221i,-0.0057608+0.0019755i,-0.0056249+0.0023262i,-0.0040116-0.0024259i,-0.0033162-0.0034634i,0.029407+0.0017446i,-0.0059561-0.0059592i,-0.0030822-0.0022535i,-0.0049339-0.0074499i,-0.0073678+0.00036259i,0.0019421+0.0011035i,-0.0024198-0.0023715i,0.0055169-0.0017626i,-0.00065524+0.0060698i,0.011099-0.031429i,0.037591-0.028649i,-0.029586-0.069785i,-0.036357-0.019935i,-0.018901-0.049025i,-0.010197-0.034224i,-0.034351-0.11576i,-0.062744-0.08093i,0.010859-0.09717i,-0.012609-0.047431i,0.013193+0.00097654i,-0.0071321-0.0050226i,-0.026678-0.0085968i,-0.011821-0.013882i,-0.021167-0.0032546i,-0.020944-2.6975e-05i,-0.03846+0.032688i,0.014678+0.0036844i,-0.011627+0.0025604i,-0.0057123+0.0067859i,0.0013341+0.008748i,-0.014218+0.014782i,0.0058254+0.009459i,0.0097749-0.020045i,0.016725-0.021499i,-0.0027292-0.010942i,-0.0081405+0.010074i,-0.0029804+0.0063296i,0.011448+0.016679i,-0.0020071+0.0055225i,0.0015748+0.053945i,-0.010773+0.0025597i,0.00066014+0.0067582i,0.0083388+0.006641i,-0.0050079+0.0077685i,-0.0030193+0.0047938i,-0.003083-0.0028377i,0.0042433+0.0055923i,-0.0060254+0.0032689i,-0.0048087+0.001097i,-0.001279+0.0070097i,0.012672+0.017992i,-0.005153-0.0018034i,-0.0035081+0.017309i,-0.0075318+0.027965i,-0.0281-0.071009i,0.00032432-0.035172i,-0.016356+0.031307i,-0.02794+0.010112i,0.0066837-0.02004i,0.00049421+0.0023441i,-0.021297-0.0005601i
-0.028197-0.028733i,-0.041296-0.045324i,-0.070956-0.024754i,-0.025058+0.0007413i,-0.029217-0.0043467i,-0.037775+0.025713i,-0.034187+0.020242i,-0.061888-0.023476i,-0.037781-0.012124i,0.014052+0.005961i,0.010656+0.010834i,0.0080097-0.001845i,-0.0088242-0.0076496i,0.0091427+0.0043275i,0.0014045-0.00056165i,0.011148+0.0053355i,0.0062811-0.024054i,0.0020503-0.0078546i,0.0088462+0.0058325i,-0.0011595-0.003512i,0.006781-0.0015117i,0.0061916-0.00024266i,0.0038214+0.00097679i,0.023285-0.010235i,0.0025199+0.0020907i,-0.00061779-0.0023011i,0.00068071-0.0015897i,0.0075199-0.0031857i,-0.00017346-0.00026465i,-0.00049347+0.0033341i,-0.0030117-0.0013087i,-0.0041775+0.0043985i,-0.0037561+0.0039364i,-0.0035758-0.0001055i,-0.0044413-0.0036025i,0.027329-0.0097031i,-0.0067442-0.0023429i,-0.0036662-0.00084742i,-0.0092807-0.0041512i,-0.010729+0.0051715i,0.001737+0.00046042i,-0.0013462-0.001215i,0.0045663-0.0040112i,0.00091143+0.0040645i,-0.00078888-0.034615i,0.02212-0.034469i,-0.036364-0.070614i,-0.029639-0.012574i,-0.023226-0.048264i,-0.019375-0.041423i,-0.061793-0.10015i,-0.07119-0.05751i,-0.014415-0.098985i,-0.0064516-0.043642i,0.021304-0.012069i,-0.0084032-0.0014646i,-0.021591-0.0027685i,-0.021933-0.0098003i,-0.020182+0.0086546i,-0.019196+0.0048161i,-0.01717+0.042713i,0.013466-0.0018636i,-0.0093216+0.0032577i,-0.0021621+0.007354i,0.0037861+0.0052006i,-0.0070928+0.019867i,0.01065+0.0071376i,-0.0050434-0.024729i,-0.0023572-0.025416i,-0.0068871-0.0038904i,-0.0032673+0.014723i,0.0012194+0.0061985i,0.016581+0.0077265i,0.00075692+0.0054591i,0.028214+0.047493i,-0.007301+0.0076005i,0.0020029+0.0050772i,0.0085681+0.001647i,0.00056488+0.009964i,-0.0046401+0.005596i,-0.0054686+0.0011757i,0.0080761+0.0055583i,-0.0026503+0.0064667i,-0.0065662+0.0032274i,0.0027023+0.007374i,0.015005+0.013057i,-0.0056312+0.0017067i,0.0026819+0.014182i,0.0015174+0.025895i,-0.034414-0.069488i,-0.017729-0.037225i,-0.0016283+0.023562i,-0.023491+0.013071i,-0.0023102-0.027723i,-0.0030471-0.0019777i,-0.014912+0.0013821i
-0.031502-0.026834i,-0.053934-0.036697i,-0.077445-0.0071676i,-0.021643+0.0036647i,-0.029322+0.0063717i,-0.031227+0.029797i,-0.02901+0.016756i,-0.063992-0.015703i,-0.038089-0.0045578i,0.015043+0.0012347i,0.014013+0.0030708i,0.0022447-0.001891i,-0.011427-0.00099713i,0.0061991-0.00024888i,0.00025424-0.00081708i,0.013367+0.0023744i,-0.0021709-0.016411i,-0.0019386-0.007525i,0.0075588+0.0014996i,-0.0016203-0.0021838i,0.0040663-0.0031004i,0.0061941-0.0025622i,0.0035926-0.00067231i,0.014902-0.018432i,0.0023116-0.0014512i,-0.00041202-0.0025704i,0.00038343-0.0022954i,0.00087441-0.0047068i,0.0015548-3.4911e-05i,0.00015853+0.0025915i,-0.0036445-0.00097672i,-0.0017284+0.0051312i,-0.001937+0.0048904i,-0.0028579+0.00032251i,-0.0055076-0.00028353i,0.020646-0.018122i,-0.0052718-7.329e-06i,-0.0031021+0.000659i,-0.0088789-0.001422i,-0.0072007+0.0093819i,0.0015052+0.00016111i,-0.00088797-0.00065705i,0.0022754-0.0053693i,0.00012188+0.0018233i,-0.010873-0.029852i,0.016846-0.028031i,-0.046553-0.067184i,-0.022874-0.013308i,-0.029087-0.048101i,-0.029598-0.036679i,-0.085613-0.081922i,-0.068085-0.039144i,-0.041529-0.087032i,-0.0044751-0.048366i,0.017336-0.024795i,-0.0075441+0.0010804i,-0.01734+0.0014081i,-0.029204+0.0017174i,-0.013237+0.014536i,-0.015052+0.01057i,0.0023218+0.040732i,0.010263-0.0083269i,-0.0088423+0.0048604i,-0.0012308+0.0049556i,0.0058799+0.0036335i,0.0025501+0.017332i,0.012098-4.423e-05i,-0.018554-0.015717i,-0.017406-0.014391i,-0.0038633+0.00095657i,0.0057518+0.01341i,0.0027148+0.0049623i,0.018016+0.0014635i,0.0049035+0.0054035i,0.045116+0.030452i,-0.0038137+0.0070464i,0.0017025+0.0050586i,0.0074778-0.0032005i,0.0059941+0.0067745i,-0.0041842+0.012695i,-0.0035076+0.0064248i,0.011454+0.00024826i,0.0025616+0.0074117i,-0.0062852+0.0057305i,0.0053245+0.0048625i,0.016267+0.0061323i,-0.0049086+0.002767i,0.0051026+0.0090579i,0.0067177+0.021565i,-0.040922-0.065054i,-0.028917-0.02396i,0.0045716+0.010803i,-0.012368+0.018434i,-0.014195-0.028381i,-0.010971-0.0026055i,-0.014242-0.004819i
-0.0359-0.023499i,-0.059944-0.02322i,-0.077434+0.01279i,-0.019342+0.0030755i,-0.025344+0.013484i,-0.024778+0.032894i,-0.026669+0.01377i,-0.065922-0.0080411i,-0.034076+0.0030207i,0.013721-0.0038001i,0.012402-0.0012117i,0.0012427+0.00090871i,-0.0099041+0.0039148i,0.0023023-0.0018774i,-0.00095003+8.1595e-05i,0.012983-0.0031368i,-0.0017691-0.0097048i,-0.0044784-0.0052098i,0.0066119+0.000352i,-0.0016034-0.00087391i,0.0030485-0.0024603i,0.004516-0.004001i,0.0030956-0.0013053i,0.0066599-0.019752i,0.00053065-0.003335i,-0.0015529-0.0038651i,-0.00045955-0.0024651i,-0.00094168-0.0048301i,0.0015234-0.0013619i,0.0013432+0.0026657i,-0.003972-0.00044494i,0.00016645+0.0047851i,-1.751e-05+0.0038298i,-0.0026944+0.0020266i,-0.0037371+0.00035436i,0.0098203-0.023695i,-0.0038181+0.00047739i,-0.0019533+0.0017577i,-0.0083806-0.00063122i,-0.0040502+0.0097253i,0.0014221-7.204e-05i,-0.0012335-0.0002757i,0.00055178-0.0055603i,-0.0031851+0.0022344i,-0.016473-0.022684i,0.024375-0.026138i,-0.054186-0.063158i,-0.020431-0.016896i,-0.03529-0.043655i,-0.034653-0.030706i,-0.10289-0.053217i,-0.065425-0.031192i,-0.052447-0.06101i,-0.0082362-0.050985i,0.0074645-0.03405i,-0.0072788+0.0023253i,-0.014297-6.4584e-05i,-0.02395+0.016793i,-0.0064971+0.016406i,-0.0053673+0.011557i,0.012734+0.028703i,0.0043967-0.010328i,-0.0076689+0.0077405i,-0.0016317+0.004641i,0.0058072-0.00044215i,0.0064777+0.012983i,0.0063792-0.0034025i,-0.024024-0.0026094i,-0.018989-0.0023433i,-0.0006131+0.00098106i,0.0078886+0.0098616i,0.0026883+0.0035653i,0.015365-0.0090984i,0.006405+0.00026388i,0.05345+0.0080417i,-0.0037637+0.0085445i,0.0042884+0.00412i,0.0028171-0.0057539i,0.0066927+0.002662i,0.0025138+0.0158i,0.0030583+0.0055619i,0.0086668-0.0050258i,0.0064309+0.0029406i,-0.0047456+0.0065236i,0.0048566+0.0038995i,0.013261+0.0017183i,-0.0055766+0.0041811i,0.0025174+0.0061754i,0.0095723+0.018405i,-0.046646-0.060902i,-0.016368-0.011652i,0.0022717+0.00081038i,-0.0027302+0.011024i,-0.024931-0.021523i,-0.015427+0.0073013i,-0.020409-0.0034393i
-0.039674-0.018342i,-0.060617-0.012384i,-0.069428+0.029777i,-0.02083+0.0030225i,-0.01925+0.01864i,-0.018326+0.035262i,-0.027111+0.012347i,-0.067817+0.0022339i,-0.031297+0.0053904i,0.010622-0.0074077i,0.0071981-0.0038466i,0.0018253+0.0015492i,-0.0055589+0.0068695i,0.00038662-0.0029399i,-0.0004986+0.0013962i,0.0086084-0.006493i,-0.0013468-0.0094713i,-0.0048416-0.0018747i,0.0073582-0.00089269i,-0.00083868+0.00036189i,0.0029431-0.0024939i,0.0030387-0.0037573i,0.0028941-0.0018494i,-0.00027931-0.018954i,-0.00092328-0.0032462i,-0.0036068-0.0031181i,-0.0013776-0.0029159i,-0.002783-0.0040768i,0.00095734-0.0018828i,0.0028044+0.001423i,-0.0043814+0.00058025i,0.0015788+0.0037908i,0.0010174+0.0030205i,-0.0011342+0.0028659i,-0.0041779+0.0011616i,-0.000623-0.018838i,-0.0038984-0.00013599i,-0.00052625+0.0016972i,-0.0064941+0.0042587i,-0.00094319+0.011682i,0.0011973-0.0014427i,-0.00012648+0.00079866i,-0.0010409-0.00526i,-0.0032565+0.0062466i,-0.01557-0.015646i,0.035162-0.037963i,-0.066474-0.057317i,-0.022364-0.018922i,-0.036947-0.039715i,-0.039783-0.02484i,-0.10332-0.023026i,-0.065027-0.020063i,-0.047529-0.0445i,-0.011058-0.054251i,-0.0051542-0.036765i,-0.0052398+0.004632i,-0.016375-0.0018031i,-0.012485+0.023942i,-0.0012304+0.014945i,-1.229e-05+0.004907i,0.01476+0.015396i,-0.00071659-0.010936i,-0.0053252+0.0099264i,-0.0024585+0.0053271i,0.0030368-0.0031857i,0.0089094+0.0092146i,0.0041166-0.0015155i,-0.021029+0.010402i,-0.015606+0.0069375i,0.00032876+0.0004481i,0.010975+0.007222i,0.002876+0.0031761i,0.005892-0.013726i,0.0036688-0.0024534i,0.04769-0.0093247i,-0.00059582+0.011424i,0.0039452+0.0018526i,-0.0010759-0.0042286i,0.0057585+0.0017922i,0.010107+0.01514i,0.0043768+0.001677i,0.0057991-0.0066358i,0.0052576-0.00049858i,0.00045824+0.0023112i,0.0056151+0.0025176i,0.012582-0.002537i,-0.0036339+0.0089032i,0.0028907+0.0060289i,0.012738+0.015541i,-0.054031-0.056404i,-0.026888+0.0029638i,-0.0019176-0.0031617i,-0.0039796+0.0029516i,-0.032692-0.013595i,-0.0088987+0.011404i,-0.019981+0.00093358i
-0.0414-0.0123i,-0.059411-0.0032643i,-0.05749+0.043061i,-0.021165+0.0064592i,-0.01136+0.020346i,-0.011607+0.036435i,-0.027751+0.013825i,-0.066253+0.013943i,-0.032532+0.0091068i,0.0070658-0.010154i,0.0041524-0.0028383i,0.003217+0.0013113i,-0.00073167+0.0084237i,-0.0024648-0.0018031i,-9.6996e-05+0.0014004i,0.0047812-0.0069697i,-0.0050257-0.01066i,-0.0041451-0.0002758i,0.0052055-0.0014185i,0.00013056+0.00057753i,0.0024859-0.003345i,0.0029194-0.0032999i,0.0023786-0.002643i,-0.0065905-0.017285i,-0.0020262-0.0026256i,-0.004163-0.0011948i,-0.0029391-0.0021897i,-0.003848-0.0027755i,0.00010355-0.0022825i,0.0026202-0.00059357i,-0.0043115+0.0020952i,0.0021305+0.0027589i,0.0016938+0.0023686i,0.00066667+0.0024989i,-0.0032929+0.0022246i,-0.004265-0.013534i,-0.0042394+0.00030863i,0.00030966+0.00094197i,-0.0027573+0.0056525i,0.0051862+0.01106i,0.0020142-0.0020622i,0.00073522+0.00058885i,-0.0025084-0.0052858i,-0.00013775+0.006468i,-0.011338-0.014146i,0.032705-0.060429i,-0.077099-0.044851i,-0.022717-0.019229i,-0.039171-0.041053i,-0.042745-0.016841i,-0.097526-0.0012626i,-0.061709-0.0113i,-0.04442-0.0352i,-0.017689-0.057147i,-0.01939-0.037073i,-0.0032478+0.0042626i,-0.022647-7.4679e-05i,-0.0013879+0.023008i,0.007145+0.0052894i,-0.00076497-0.00094838i,0.011466+0.0083158i,-0.0065789-0.010641i,-0.0015831+0.010921i,-0.0014657+0.0070536i,0.0002524-0.0031487i,0.0090048+0.0043577i,0.0043573-0.00065505i,-0.012652+0.016717i,-0.0085724+0.012781i,0.0020103-0.00057628i,0.014377+0.0016582i,0.0028856+0.0031482i,-0.0019744-0.012483i,0.0011008-0.0024602i,0.036184-0.021646i,0.005448+0.011335i,0.0031023+0.0021729i,-0.0034819-0.0017894i,0.0065103-0.00097902i,0.016303+0.01034i,0.0033507-0.0012026i,0.0030085-0.0082449i,0.0038632-0.0026301i,0.0085148+0.0076539i,0.0056252+0.0024123i,0.0080058-0.0068413i,0.0016745+0.010227i,0.0038562+0.0044119i,0.016621+0.011376i,-0.062109-0.048777i,-0.022696+0.0054328i,-0.0041653-0.0042981i,-0.0080888+0.0018119i,-0.03658-0.0032664i,-0.005379+0.0097309i,-0.018002+0.0037076i
