-0.00070089-0.042312i,-0.00098111-0.046177i,-0.0073578-0.047227i,-0.030485-0.022743i,-0.022572+0.011297i,-0.036389-0.033554i,-0.063446-0.058675i,-0.020177-0.069831i,-0.023954-0.043727i,-0.0012305+0.016108i,-0.01099+0.012447i,-0.014576+0.013168i,0.0028695+0.014107i,-0.0031276-0.0022021i,0.00169+0.0059273i,-0.00057054+0.035139i,0.020769+0.057213i,0.00099915-0.00061116i,-0.0031128-0.0093108i,0.0073427+0.0045016i,0.0013672+0.0013905i,-0.00032147+0.0035705i,-0.00065177-0.00029013i,-0.038706-0.0098084i,-0.002412-0.0080196i,-0.0010449+0.0044701i,0.0056442-0.00049987i,-6.3507e-05+0.00057861i,0.00070789-0.0005966i,0.00012016-0.0022242i,-0.0014559-0.0059311i,-0.0031198-0.0061701i,-0.0015212-0.0067956i,0.0033997-0.00080057i,0.0029536-0.00097683i,-0.0017555+0.039018i,0.0064294-0.004045i,0.0034202-0.00075833i,0.0051439-0.00015517i,-0.011978-0.0071661i,-0.00087357+0.00069754i,0.0092474-0.0011012i,0.0039942+0.0005256i,-0.0050192+0.0018261i,-0.0030864+0.014881i,-0.005331+0.017744i,0.026461-0.080766i,0.000623-0.054413i,-0.023522-0.043449i,-0.01905-0.037201i,0.06386-0.015275i,0.030284-0.057683i,0.039244-0.045076i,0.033682-0.052712i,0.019855-0.01555i,0.0076904+0.012099i,0.023916-0.035255i,-0.0080078-0.0049895i,0.0027245-0.00069071i,-0.002542-0.0042482i,0.0043774-0.032369i,-0.025008+0.031472i,0.0087368-0.010286i,-0.01266-0.0029476i,-0.0045283-0.001357i,0.00047031-0.014551i,-0.0099254+0.005242i,0.0037959+0.0062964i,-0.014314+0.029959i,0.005357+0.0064567i,-0.0055534-0.0022512i,-0.00069261-0.0024987i,-0.011626-0.0077751i,0.00010603-0.0039361i,-0.036298+0.0060396i,0.0017128-0.013035i,-0.0090672-0.0025472i,-0.0071584-0.0034438i,0.0066402+0.0020093i,-0.0096881+0.0015002i,0.00023455+0.0020935i,0.005659+0.0099838i,0.0047677+0.0012041i,-0.0093738-0.010248i,0.0020251+0.0082514i,-0.020597+0.0043633i,0.0065272+0.0032823i,-0.027861-0.0092926i,-0.036307-0.002264i,0.026218-0.077965i,0.014452-0.0092085i,-0.042043-0.028495i,-0.025074-0.0072661i,0.017349+0.01221i,-0.027512+0.010864i,-0.011973-0.010163i
-0.0091948-0.043337i,-0.0079359-0.041172i,-0.014982-0.048824i,-0.032787-0.017018i,-0.013632+0.0099413i,-0.04474-0.025531i,-0.070399-0.04411i,-0.029549-0.067282i,-0.030084-0.036412i,0.00059021+0.015359i,-0.0093338+0.01163i,-0.0064501+0.019506i,0.010206+0.010033i,-0.0073724+0.0009411i,0.0027725+0.0050412i,0.0083639+0.029969i,0.034795+0.040947i,0.0019675+0.0018079i,-0.0074975-0.0043254i,0.008246+0.00072057i,0.00096269+0.0024428i,-0.00051447+0.003756i,-0.00052656+0.00096872i,-0.027057+0.012724i,-0.0054688-0.005546i,0.0031083+0.0030047i,0.0038258-0.00091747i,0.00041816+0.0023782i,0.0017183-0.0013315i,-0.00095569-0.0025606i,-0.001767-0.0045686i,-0.0040531-0.0049997i,-0.0032264-0.0058722i,0.0026269-0.0024102i,0.0031568-0.00082233i,0.01042+0.034965i,0.0054995-0.0065643i,0.002538-0.0021456i,0.0068748-0.0021771i,-0.0087445-0.0034415i,-0.00045341+0.0018916i,0.0072271-0.0025168i,0.0025651+0.0012594i,-0.0074299+0.003541i,0.0082326+0.015727i,0.0083013+0.022004i,0.011645-0.086146i,-0.015843-0.059193i,-0.018906-0.035909i,-0.016898-0.02524i,0.066736-0.044229i,0.029482-0.077683i,0.041813-0.045701i,0.024608-0.06259i,0.0096926-0.010252i,0.0086866+0.001719i,0.0091106-0.037031i,-0.0068241+0.00031384i,0.0017014-0.010675i,-0.0035949-0.0061598i,-0.017655-0.035562i,-0.0089835+0.029956i,0.0028829-0.013269i,-0.013878+0.00206i,-0.0038465+0.00048112i,-0.0068782-0.014668i,-0.0096224+0.0099634i,0.0072052+0.0071209i,0.0050815+0.030581i,0.0064515+0.0014894i,-0.0049226+0.00080364i,-0.0038387-0.0033974i,-0.015747+0.0015598i,0.00051368-0.0024848i,-0.038687+0.01362i,-0.0053182-0.0106i,-0.0095354+0.0015002i,-0.0092036+0.0004664i,0.0047173-0.004019i,-0.0080291+0.0041203i,0.0018507+0.00053133i,0.0053344+0.0036868i,0.0031838-0.00066805i,-0.01423-0.0024669i,0.0034655+0.0051755i,-0.016208+0.012583i,0.0065584-0.00078733i,-0.028996+0.0014179i,-0.036814+0.0081665i,0.011692-0.080815i,0.010535-0.016047i,-0.049629-0.015325i,-0.02001-0.0069512i,0.018+0.0065864i,-0.02179+0.018293i,-0.018102-0.015489i
-0.016155-0.040941i,-0.010007-0.041448i,-0.023559-0.050181i,-0.033669-0.010739i,-0.0079262+0.0051834i,-0.050765-0.015905i,-0.079342-0.027465i,-0.042232-0.063477i,-0.03489-0.03065i,0.0029443+0.014487i,-0.0084582+0.015597i,0.0029871+0.018117i,0.012669+0.0022549i,-0.007272+0.0049528i,0.0036648+0.0044019i,0.014451+0.022437i,0.043165+0.026607i,0.0049692+0.0018973i,-0.0067175+0.00045105i,0.0075556-0.0020912i,0.00080752+0.0029099i,0.00048439+0.0055182i,0.000591+0.0013711i,-0.012305+0.021252i,-0.0052031-0.0023068i,0.0045094-0.00010168i,0.0031117-0.0019397i,0.0029208+0.0025188i,0.00037705-0.0019504i,-0.0012019-0.0025894i,-0.0025147-0.0041984i,-0.0056375-0.0035713i,-0.0049302-0.0043378i,0.0014313-0.0037099i,0.0044879-0.0041553i,0.020623+0.026573i,0.0027204-0.0076399i,0.0015041-0.002893i,0.0059767-0.0070581i,-0.0091768-0.002244i,0.00065721+0.0024327i,0.0056997-0.004817i,0.003674+0.0021691i,-0.0064383+0.0069563i,0.017829+0.0069181i,0.022883+0.018378i,-0.0036099-0.087207i,-0.031624-0.05167i,-0.010556-0.037117i,-0.01104-0.02727i,0.059871-0.070935i,0.011459-0.097724i,0.047641-0.053307i,0.012685-0.064812i,0.0078806-0.0076579i,0.0058749-0.0028755i,-0.0025328-0.037449i,0.0021698-0.00087043i,-0.0077868-0.012922i,-0.0035908-0.0099097i,-0.037753-0.027622i,-0.0001796+0.026913i,-0.0038286-0.012958i,-0.010457+0.0060894i,-0.0049525+0.0012715i,-0.014534-0.011989i,-0.0037062+0.015038i,0.013106+0.0023576i,0.01873+0.020489i,0.005747-0.00078185i,-0.0046034+0.00069512i,-0.0057778-0.0016541i,-0.013286+0.0108i,-0.0021843-0.0024991i,-0.032661+0.025306i,-0.0076991-0.0056707i,-0.0084589+0.0062389i,-0.0095323+0.0075586i,-0.00088389-0.0056615i,-0.0066924+0.005811i,0.0013661-0.00048902i,0.0028704+0.0025592i,0.0023907-0.0016917i,-0.0094891+0.0056953i,0.0027867+0.0026653i,-0.010622+0.015622i,0.0033826-0.0044071i,-0.025293+0.0099205i,-0.031448+0.019047i,0.00089712-0.080534i,0.0042628-0.017871i,-0.049476-0.0017023i,-0.023911-0.011423i,0.017433-0.0010263i,-0.011052+0.020044i,-0.02207-0.011782i
-0.020933-0.037539i,-0.01425-0.044911i,-0.033953-0.050275i,-0.030728-0.0045383i,-0.0056439-0.0022117i,-0.053292-0.0035533i,-0.081106-5.4647e-05i,-0.054854-0.052946i,-0.040077-0.022175i,0.0055916+0.013455i,-0.0023519+0.01909i,0.0075537+0.012641i,0.010843-0.0050525i,-0.0057945+0.0094211i,0.003935+0.002662i,0.015946+0.012854i,0.048817+0.0066897i,0.0063987-0.0011556i,-0.0062455+0.0044822i,0.0054529-0.0045475i,0.0027372+0.0039697i,0.0035879+0.0059586i,0.00097972+0.0013116i,0.0016253+0.026475i,-0.0041104-0.00041848i,0.0033577-0.0027159i,0.0025724-0.0022256i,0.0037068-7.2605e-05i,-6.9921e-05-0.0011336i,-0.002716-0.0025305i,-0.0030597-0.0034279i,-0.0061429-0.0019415i,-0.0060051-0.0021716i,-0.00031792-0.0043689i,0.00080998-0.0066763i,0.024092+0.015815i,-1.5445e-05-0.0081189i,0.00019729-0.0034116i,0.0017735-0.0089213i,-0.0076413+0.0023287i,0.0018735+0.0020296i,0.0024973-0.0064171i,0.0045798+0.0011915i,-0.002843+0.0075253i,0.024194-0.0026621i,0.035418+0.0086122i,-0.017659-0.083715i,-0.03813-0.038726i,-0.010998-0.041887i,-0.010741-0.029308i,0.0422-0.10016i,-0.015863-0.10281i,0.046458-0.073595i,0.0037921-0.065079i,0.0069251-0.0059666i,0.0017886-0.0069948i,-0.015182-0.032629i,0.0010827-0.010012i,-0.012043-0.009067i,-0.010396-0.014008i,-0.049468-0.0065636i,0.010754+0.021887i,-0.0088997-0.010656i,-0.0068296+0.0067765i,-0.004636+0.0041015i,-0.020489-0.0047314i,0.0042544+0.012605i,0.01461-0.0042821i,0.024122+0.0092555i,0.0056554-0.0028716i,-0.005532+0.00085743i,-0.0068068+0.0017775i,-0.0080816+0.018039i,-0.0037719+0.00051406i,-0.026285+0.033839i,-0.0081819-0.0023665i,-0.0037235+0.009459i,-0.0034296+0.013027i,-0.0053546-0.0023762i,-0.0031265+0.0061935i,0.0014041-0.00091642i,0.002112+0.0025243i,0.00022239-0.0035683i,-0.004+0.0051498i,-7.3642e-05+0.00014593i,-0.0065749+0.018449i,-0.001356-0.0044667i,-0.018783+0.016084i,-0.022543+0.023883i,-0.0085359-0.08107i,0.004362-0.016239i,-0.045536+0.012683i,-0.030885-0.0073633i,0.014525-0.0077309i,-0.0019774+0.015998i,-0.022122-0.0066632i
-0.02442-0.033324i,-0.023336-0.046119i,-0.046707-0.047133i,-0.027029-0.0017127i,-0.010155-0.0098007i,-0.05172+0.0083749i,-0.062942+0.019687i,-0.059575-0.040117i,-0.03788-0.01328i,0.0084774+0.011958i,0.0049596+0.016476i,0.0093675+0.0090363i,0.0051344-0.0097612i,0.00013611+0.01201i,0.0032698+0.00096821i,0.013377+0.008072i,0.039662-0.015955i,0.0055264-0.0039938i,-0.0024551+0.010282i,0.0031413-0.0054676i,0.004699+0.0040932i,0.0054855+0.0031862i,0.0012233+0.0016478i,0.021016+0.019797i,-0.0037711+0.0011083i,0.0019096-0.0036889i,0.0010863-0.0026835i,0.0035212-0.0002193i,-5.0221e-05-0.00069663i,-0.0043445-0.00071708i,-0.0037668-0.0023948i,-0.0062276+0.00030314i,-0.0053815+0.0003463i,-0.0026189-0.0040368i,-0.0017889-0.0053137i,0.026009+0.0095879i,-0.0029768-0.0075662i,-0.0015955-0.0033232i,-0.0021264-0.0071946i,-0.0041332+0.00073744i,0.0019353+0.00096204i,-0.0011908-0.0048619i,0.0056299+0.00029074i,-0.0014413+0.0064336i,0.025891-0.017858i,0.044112-0.0077946i,-0.026316-0.076437i,-0.038675-0.027573i,-0.013444-0.046569i,-0.010819-0.029836i,0.0061988-0.12076i,-0.040475-0.095941i,0.028716-0.090785i,-0.0084488-0.061451i,0.007282-0.0039432i,-0.0034647-0.0076616i,-0.024374-0.022718i,-0.0059297-0.013623i,-0.015218-0.0073881i,-0.020443-0.010173i,-0.047499+0.013993i,0.015984+0.01157i,-0.013291-0.005879i,-0.0047393+0.0068994i,-0.0033013+0.0067417i,-0.02125+0.00631i,0.0047673+0.0077073i,0.0136-0.010333i,0.026462-0.0039233i,0.0045933-0.0066655i,-0.0076457+0.004059i,-0.004904+0.0054503i,0.00093582+0.020459i,-0.0033176+0.0034445i,-0.018431+0.043634i,-0.0095355-0.0004656i,0.00043145+0.0073989i,0.0037784+0.012108i,-0.0065422+0.0010997i,-0.0024763+0.0037815i,0.00029625-0.0021806i,0.0011717+0.0040316i,-0.0037719-0.0034005i,-0.0032465+0.0024543i,-0.002641+0.0019698i,0.00088411+0.020807i,-0.0045987-0.0022755i,-0.010569+0.018883i,-0.016073+0.026069i,-0.020395-0.078589i,0.0076166-0.021762i,-0.036734+0.02644i,-0.032923+0.0023839i,0.0090909-0.012729i,0.0004222+0.0086327i,-0.021463-0.005406i
-0.025939-0.030736i,-0.029968-0.044526i,-0.059911-0.037781i,-0.025182-0.0016761i,-0.020413-0.011781i,-0.045774+0.018594i,-0.044882+0.023514i,-0.061428-0.030448i,-0.036266-0.009697i,0.010149+0.0099419i,0.0073154+0.012916i,0.011004+0.0040724i,-0.0017848-0.010889i,0.0064869+0.0095981i,0.0021329+0.00030424i,0.011495+0.0060226i,0.02182-0.025124i,0.0049934-0.0056485i,0.0042626+0.010635i,0.00072737-0.0051194i,0.0069996+0.0011619i,0.005641+0.00083541i,0.0024894+0.0020306i,0.028287+0.0032348i,-0.0012988+0.0032107i,0.00028968-0.0038276i,-0.00059226-0.00046797i,0.0045477-0.0018138i,9.7419e-05-0.0010329i,-0.0032653+0.0028413i,-0.0031554-0.0012997i,-0.0057845+0.0019832i,-0.0054399+0.0020239i,-0.0040885-0.0016386i,-0.0024308-0.0040563i,0.028498+0.0010832i,-0.0056273-0.0058587i,-0.0034183-0.002871i,-0.0040978-0.0062826i,-0.0063462-0.0013624i,0.002472+0.0006839i,-0.0025266-0.0021601i,0.0056276-0.0015343i,-0.00012145+0.0064572i,0.016921-0.029743i,0.036859-0.029593i,-0.028432-0.07038i,-0.038282-0.019155i,-0.018515-0.047736i,-0.0096669-0.034221i,-0.034432-0.11645i,-0.062072-0.082112i,0.0095217-0.09635i,-0.012219-0.048038i,0.01297+0.00084011i,-0.0072684-0.0051209i,-0.025315-0.0086699i,-0.012118-0.013514i,-0.021235-0.0028256i,-0.021312-0.00072938i,-0.038418+0.03108i,0.015065+0.0028807i,-0.011409+0.0022074i,-0.0057342+0.0067416i,0.0015836+0.0090203i,-0.015194+0.014822i,0.0059652+0.0089906i,0.0099856-0.021177i,0.016929-0.020184i,-0.0023225-0.010577i,-0.0075527+0.0094432i,-0.0033597+0.0066529i,0.0091505+0.017658i,-0.0011107+0.0057978i,-0.00060329+0.056173i,-0.011049+0.0026702i,0.00090991+0.0065422i,0.0082615+0.0070272i,-0.005662+0.0070542i,-0.0025913+0.0050771i,-0.0030851-0.002677i,0.0038712+0.0052566i,-0.0060365+0.0028169i,-0.0053989+0.0018175i,-0.00090366+0.0069758i,0.0080228+0.017886i,-0.005953-0.00099897i,-0.0044002+0.016976i,-0.0073808+0.02943i,-0.026132-0.070607i,0.00018201-0.035637i,-0.016294+0.031588i,-0.027904+0.0097149i,0.0070602-0.018819i,0.0006108+0.0024436i,-0.021011-0.00049149i
-0.028149-0.02918i,-0.04087-0.044844i,-0.070739-0.023484i,-0.025146+0.00042079i,-0.029425-0.0044411i,-0.038352+0.024844i,-0.033881+0.020653i,-0.062971-0.022527i,-0.038617-0.0056647i,0.013253+0.0066145i,0.011336+0.011125i,0.0075946-0.0017561i,-0.0088396-0.0075712i,0.010182+0.0027137i,0.0014722-0.00022848i,0.010814+0.005063i,0.0063199-0.023315i,0.0027288-0.0078991i,0.0085298+0.0056226i,-0.0011805-0.0035513i,0.0064708-0.0022553i,0.0061951+0.00081445i,0.0037786+0.00072934i,0.024226-0.01131i,0.0030076+0.0020475i,-0.00038832-0.0028677i,0.00052354-0.0015657i,0.0037542-0.0044726i,-9.3875e-05-0.00042578i,-0.00057374+0.0033972i,-0.0033348-0.0010996i,-0.0043095+0.0038508i,-0.0034325+0.0041448i,-0.0034415+0.00010992i,-0.0040064-0.0043291i,0.026077-0.0092608i,-0.0064992-0.0023337i,-0.0043028-0.0010029i,-0.0066564-0.0038837i,-0.010721+0.001535i,0.0021899-0.00020326i,-0.0011859-0.0010698i,0.0050201-0.0039156i,0.0015222+0.0040195i,0.0049736-0.034558i,0.021114-0.035349i,-0.034098-0.072316i,-0.030911-0.010931i,-0.022894-0.047169i,-0.018607-0.041653i,-0.062091-0.1007i,-0.071043-0.058949i,-0.014514-0.097813i,-0.0067211-0.044122i,0.020315-0.012135i,-0.0088565-0.0011895i,-0.020086-0.0041088i,-0.022073-0.0090034i,-0.020221+0.0090294i,-0.019278+0.0047078i,-0.019704+0.041483i,0.013123-0.0029384i,-0.0094119+0.0030678i,-0.0021115+0.0070514i,0.0042561+0.0053366i,-0.0072694+0.019876i,0.010561+0.0067545i,-0.0050513-0.026754i,-0.0017097-0.023491i,-0.0060934-0.0037544i,-0.0030269+0.013376i,0.0011659+0.006907i,0.015642+0.0093307i,0.0014334+0.0051914i,0.02631+0.051929i,-0.0073523+0.0076333i,0.002145+0.0051125i,0.0089219+0.0017265i,-0.00013432+0.0096207i,-0.0042478+0.0056848i,-0.0050724+0.0014409i,0.0076141+0.0052909i,-0.0029965+0.0068321i,-0.0071042+0.0041361i,0.0030893+0.0073808i,0.012292+0.012535i,-0.0062038+0.0021313i,0.0016097+0.014361i,0.002282+0.027341i,-0.0311-0.069308i,-0.01905-0.038525i,-0.0013836+0.022754i,-0.024119+0.012725i,-0.0015144-0.026175i,-0.0032854-0.0020158i,-0.014611+0.0013465i
-0.031329-0.027316i,-0.053309-0.036399i,-0.075927-0.0058102i,-0.022123+0.0034687i,-0.029608+0.0065117i,-0.032237+0.028971i,-0.028637+0.017165i,-0.064445-0.014433i,-0.03854+0.0028184i,0.014639+0.0019356i,0.015222+0.0037947i,0.0019775-0.0018545i,-0.011593-0.0007282i,0.0060719-0.0017778i,0.00047938-0.00068559i,0.012215+0.0026185i,-0.0024295-0.016153i,-0.0013388-0.0078992i,0.0072265+0.0014551i,-0.0016367-0.0022564i,0.0035886-0.0035499i,0.0066536-0.0015627i,0.0033959-0.00081803i,0.014869-0.019791i,0.0029066-0.0017192i,-0.00034068-0.0030099i,0.00023334-0.0022188i,0.0013852-0.0049874i,0.001296-0.00017029i,0.00023298+0.0026612i,-0.0037275-0.00080312i,-0.0022341+0.0047074i,-0.0014518+0.004893i,-0.0027994+0.00060168i,-0.0057818-0.00099367i,0.019431-0.016886i,-0.0052484-0.00018075i,-0.0035402+0.0010958i,-0.0061879-0.001527i,-0.0098735+0.0072371i,0.0016489-0.00035583i,-0.0007781-0.00057521i,0.0028524-0.0055237i,0.00040671+0.0018147i,-0.0049129-0.030965i,0.016048-0.028398i,-0.044848-0.073267i,-0.022969-0.010758i,-0.028719-0.047481i,-0.029291-0.037203i,-0.085745-0.082384i,-0.068661-0.040756i,-0.040964-0.086262i,-0.0051222-0.048319i,0.016736-0.0242i,-0.0076347+0.0016551i,-0.016718-0.00026873i,-0.028397+0.0031118i,-0.013668+0.014631i,-0.014936+0.010527i,0.0015216+0.040084i,0.010096-0.0086773i,-0.0096582+0.0053757i,-0.00094992+0.0046643i,0.0057737+0.0037748i,0.0026128+0.017872i,0.011396-0.00030747i,-0.02039-0.018059i,-0.014655-0.013681i,-0.0033991+0.00038725i,0.0043991+0.013038i,0.0032982+0.0049906i,0.01802+0.0019959i,0.0049915+0.0050105i,0.044979+0.035181i,-0.0037584+0.0074076i,0.001707+0.0050654i,0.0072672-0.0033647i,0.0059414+0.0072813i,-0.0041304+0.011895i,-0.0030346+0.0061972i,0.011064+0.00035884i,0.0027933+0.0073073i,-0.0070467+0.0080533i,0.0059046+0.0043468i,0.014199+0.0075837i,-0.0051005+0.0033057i,0.0045052+0.0095904i,0.008051+0.022217i,-0.037832-0.066277i,-0.032625-0.024902i,0.0040955+0.0099615i,-0.012987+0.018261i,-0.013702-0.027785i,-0.011252-0.0026044i,-0.014054-0.0047933i
-0.035721-0.024086i,-0.059322-0.023082i,-0.074019+0.012979i,-0.020191+0.003346i,-0.025603+0.013562i,-0.025941+0.032735i,-0.026161+0.01381i,-0.066015-0.0066819i,-0.033456+0.010169i,0.013543-0.0029207i,0.011472-0.0030644i,0.0011776+0.0011346i,-0.010188+0.0055003i,0.0031342-0.0024817i,-0.00066804-3.8308e-05i,0.012178-0.0013789i,-0.0032757-0.0093735i,-0.0040416-0.0056744i,0.0061341+0.00017245i,-0.0018445-0.0010241i,0.0025042-0.0023867i,0.0054494-0.003596i,0.0028422-0.0013415i,0.0056457-0.021133i,0.0012045-0.0035507i,-0.0012478-0.0038759i,-0.00056761-0.0026202i,-0.00066994-0.0048926i,0.0013496-0.0014849i,0.0013011+0.0025338i,-0.0038709-0.00031769i,-0.00021005+0.0047149i,0.00017375+0.0038821i,-0.0024106+0.0019547i,-0.0041872+0.00024129i,0.010381-0.021095i,-0.0038724+0.00055363i,-0.0020164+0.0021773i,-0.0072691+0.00025483i,-0.0061702+0.010644i,0.001571-0.00023082i,-0.00094894-0.0001499i,0.0011628-0.0056905i,-0.0029031+0.0027301i,-0.011075-0.025008i,0.023975-0.026359i,-0.059284-0.069426i,-0.01897-0.014768i,-0.034731-0.043598i,-0.034888-0.030969i,-0.10269-0.054001i,-0.067216-0.032003i,-0.051058-0.060526i,-0.0087874-0.050673i,0.0073956-0.033477i,-0.006621+0.0027463i,-0.01486-0.00164i,-0.022814+0.017261i,-0.0066608+0.016844i,-0.0055278+0.01134i,0.012955+0.027497i,0.0046278-0.010824i,-0.0077976+0.0088296i,-0.0014671+0.004359i,0.0059016-0.00033299i,0.0070062+0.013036i,0.00608-0.0031602i,-0.02601-0.002972i,-0.0181-0.0031464i,-0.00058585+0.0004536i,0.0072861+0.010735i,0.0028445+0.0032226i,0.015407-0.0095195i,0.0061476+0.00024169i,0.054148+0.01351i,-0.0034149+0.0083896i,0.0043697+0.0043688i,0.0025913-0.0057883i,0.0067034+0.0029308i,0.0023378+0.015588i,0.0035071+0.0053254i,0.0083394-0.0045991i,0.0063771+0.0029635i,-0.0033832+0.012948i,0.0046758+0.0033459i,0.013929+0.0025953i,-0.0055934+0.0040551i,0.0021482+0.006485i,0.010524+0.01794i,-0.044928-0.062137i,-0.03372-0.0096881i,0.0011435+0.00080621i,-0.0033708+0.010886i,-0.025491-0.02237i,-0.014924+0.0072123i,-0.020025-0.0035587i
-0.039888-0.019075i,-0.059787-0.012377i,-0.067058+0.029057i,-0.021336+0.0035009i,-0.019604+0.018757i,-0.018925+0.035755i,-0.026812+0.012046i,-0.067259+0.0029135i,-0.028073+0.013206i,0.010717-0.0064973i,0.0062352-0.004096i,0.0019218+0.0018207i,-0.0053233+0.0089795i,0.00086413-0.00288i,-0.00047665+0.0011947i,0.0090631-0.0053541i,-0.0024205-0.0083791i,-0.0044216-0.0024069i,0.0059622-0.0016755i,-0.0010916+0.00031806i,0.0029679-0.0025163i,0.0032203-0.003585i,0.0026593-0.0017107i,-0.0021871-0.020014i,-0.00074799-0.0035694i,-0.0031221-0.0030135i,-0.0016186-0.0030596i,-0.0024581-0.0043845i,0.00084185-0.0021272i,0.0025067+0.0012701i,-0.0042242+0.00047276i,0.0015579+0.0036493i,0.0011373+0.0030764i,-0.0011806+0.0027533i,-0.0044832+0.0012956i,0.001055-0.01906i,-0.0035197+0.0001165i,-0.00047113+0.0021817i,-0.0054142+0.0036023i,-0.0017776+0.012742i,0.0016889-0.00032061i,0.00048205+0.00063822i,-0.00054607-0.0057056i,-0.0023285+0.0069004i,-0.011127-0.019644i,0.034347-0.038253i,-0.074329-0.05864i,-0.020104-0.017892i,-0.036873-0.039992i,-0.03996-0.024867i,-0.10361-0.02379i,-0.066889-0.020363i,-0.046671-0.044434i,-0.011437-0.053336i,-0.0060628-0.037007i,-0.0047654+0.0040693i,-0.017727-0.0023647i,-0.011348+0.023237i,-0.0004092+0.01513i,-0.00038692+0.0050224i,0.014643+0.015203i,-0.0011716-0.010901i,-0.0048005+0.010628i,-0.0018123+0.0052104i,0.0036143-0.0029684i,0.0089919+0.0083379i,0.0042298-0.0013883i,-0.022193+0.010539i,-0.015185+0.006626i,5.1852e-05+6.1238e-05i,0.01207+0.007937i,0.0025364+0.002927i,0.0057786-0.014906i,0.0033791-0.0022155i,0.051618-0.0083747i,-0.00041308+0.010412i,0.0040809+0.0020567i,-0.0011354-0.0043027i,0.0060238+0.0017327i,0.0097196+0.015086i,0.0044152+0.0014396i,0.0060481-0.0059172i,0.0052627-0.00054031i,0.0040066+0.014332i,0.0052047+0.0022638i,0.013591-0.0020473i,-0.0036229+0.0088308i,0.0026638+0.0066845i,0.01277+0.014539i,-0.052464-0.058197i,-0.028594-0.0010069i,-0.0021752-0.002189i,-0.0047035+0.0030305i,-0.033826-0.013422i,-0.008838+0.010952i,-0.020063+0.0003828i
-0.042153-0.012908i,-0.058145-0.003726i,-0.055762+0.041367i,-0.021612+0.0072387i,-0.011615+0.020487i,-0.011666+0.036962i,-0.027673+0.01332i,-0.066263+0.013947i,-0.023981+0.015016i,0.0076141-0.008967i,0.00379-0.0030866i,0.0033881+0.0014792i,-0.0012008+0.0094648i,-0.0023273-0.0015516i,-0.0002185+0.001395i,0.0048835-0.0067721i,-0.0051321-0.0096948i,-0.0040774-0.00097975i,0.0044529-0.0030862i,-4.5627e-05+0.00059053i,0.0028317-0.003597i,0.0027296-0.0029624i,0.0022757-0.0024061i,-0.0087536-0.017535i,-0.0022991-0.0028243i,-0.003707-0.001351i,-0.0031979-0.002264i,-0.00366-0.0031405i,9.5666e-05-0.002607i,0.0022143-0.0007433i,-0.0044467+0.0020485i,0.0019106+0.002539i,0.0018462+0.002365i,0.00058884+0.0024776i,-0.0034386+0.002419i,-0.0036125-0.014102i,-0.0034491+0.00060522i,0.00053925+0.0012804i,-0.0027208+0.0040943i,0.0045387+0.012586i,0.0016934-0.00062458i,0.0013654+5.0046e-05i,-0.0023675-0.0055994i,0.00077317+0.0065768i,-0.0083795-0.019725i,0.031906-0.060184i,-0.084108-0.041619i,-0.020387-0.019274i,-0.039605-0.041104i,-0.042779-0.016855i,-0.098095-0.0019211i,-0.063531-0.01072i,-0.043508-0.035357i,-0.017701-0.056078i,-0.020119-0.03551i,-0.0033685+0.0038958i,-0.024107+0.00031098i,-0.0011491+0.02165i,0.0034986+0.011165i,-0.00094453-0.00027319i,0.011154+0.0079592i,-0.0065316-0.010465i,-0.001046+0.011324i,-0.00032548+0.0062538i,0.00077001-0.0035528i,0.0083029+0.0039529i,0.0046607-0.00063644i,-0.013543+0.017619i,-0.0088769+0.012244i,0.001454-0.00065824i,0.015326+0.00049563i,0.0024096+0.0032983i,-0.0024081-0.012882i,0.0010384-0.0023227i,0.041033-0.0245i,0.0041716+0.010969i,0.0032798+0.0019594i,-0.0037179-0.001914i,0.0064924-0.0010834i,0.016192+0.010325i,0.0031154-0.0012177i,0.0034192-0.0078982i,0.0037979-0.0025434i,0.0099746+0.01102i,0.0050337+0.0019049i,0.0094413-0.0070678i,0.0016253+0.0098527i,0.0042169+0.0048988i,0.016002+0.010513i,-0.061138-0.050703i,-0.02352+0.0054092i,-0.0038958-0.0037453i,-0.0085265+0.0018935i,-0.037673-0.0024833i,-0.0054504+0.0093415i,-0.018392+0.0033194i
