-0.0052492-0.040504i,-0.0095832-0.043989i,0.0047501-0.045689i,-0.0265-0.028949i,-0.021255+0.013164i,-0.031364-0.035719i,-0.059565-0.066271i,-0.019652-0.075199i,-0.03369-0.053048i,0.00021277+0.015173i,-0.00736+0.010996i,-0.016692+0.014427i,0.0012046+0.017429i,-0.0037971-0.0032671i,0.00021739+0.0070465i,-0.0012557+0.041915i,0.017501+0.062899i,0.00056374-0.00023753i,-0.0046721-0.0087506i,0.0095893+0.0058645i,0.0014444+0.0011471i,-0.0010673+0.0037327i,0.00050941-0.0013413i,-0.037192-0.010548i,-0.0023238-0.0074983i,-0.00013088+0.0050288i,0.0054291+0.00022278i,0.00058543+0.00075872i,-0.00023448-0.0012063i,-7.0828e-06-0.0022762i,-0.001522-0.0062228i,-0.0022839-0.0042687i,9.0726e-06-0.0083592i,0.0033898-0.0012607i,0.0032798-0.0022589i,-0.0034518+0.035149i,0.0063074-0.0038333i,0.0042448-0.0021014i,0.005096+0.00067187i,-0.014163-0.00507i,-6.5928e-05+0.0010152i,0.010045+0.00053393i,0.0062409-0.0015423i,-0.0049482+0.003463i,0.0030649+0.0022194i,-0.0038826+0.010972i,0.019285-0.086426i,-0.0044939-0.049266i,-0.023416-0.041242i,-0.018041-0.042331i,0.0665-0.01458i,0.03023-0.060325i,0.039584-0.04428i,0.030571-0.055904i,0.020251-0.01545i,0.0086418+0.010232i,0.025771-0.031485i,-0.0073774-0.0053239i,0.0027713-0.0021277i,-0.0044199-0.0057962i,0.0019537-0.033016i,-0.025649+0.03033i,0.0088801-0.01031i,-0.011398-0.0018632i,-0.0052336-0.00129i,-0.00049831-0.014956i,-0.0099111+0.0042248i,0.0032049+0.0083999i,-0.011821+0.031101i,0.0047559+0.0081445i,-0.0053416-0.0017379i,-0.0018432-0.0024062i,-0.011692-0.0079116i,0.00059277-0.0038762i,-0.035786+0.0034576i,0.0026527-0.012421i,-0.0090318-0.0026275i,-0.0066173-0.0029054i,0.0067631+0.0018085i,-0.0090857+0.0016123i,0.0011013+0.001043i,0.0054053+0.0096792i,0.0048936+0.00029773i,-0.0092905-0.0099084i,0.0021205+0.0088391i,-0.019331+0.0064675i,0.0068006+0.003655i,-0.028835-0.0094103i,-0.035354+0.0016994i,0.026873-0.077129i,0.013346-0.0098569i,-0.041857-0.028199i,-0.022204-0.0041373i,0.017839+0.013109i,-0.027205+0.011422i,-0.011138-0.0091078i
-0.013563-0.040126i,-0.015591-0.037714i,-0.0016352-0.050475i,-0.02948-0.025667i,-0.011014+0.010987i,-0.040218-0.028722i,-0.067901-0.051549i,-0.029551-0.072476i,-0.039726-0.041647i,0.0014264+0.014075i,-0.0064417+0.0086639i,-0.0086185+0.021697i,0.010143+0.013415i,-0.0085419-0.00017977i,0.0011166+0.0063581i,0.0087526+0.035182i,0.033189+0.046372i,0.0021807+0.0024298i,-0.0083947-0.0036402i,0.01058+0.0010438i,0.00050669+0.0020634i,-0.0012027+0.0043208i,-0.00029659-0.00017747i,-0.025844+0.011674i,-0.0048919-0.0052501i,0.0037712+0.0032086i,0.0036509-8.9831e-05i,0.0005421+0.0026092i,0.0011039-0.0012497i,-0.0010786-0.0025379i,-0.0019058-0.0047041i,-0.0026468-0.0034199i,-0.0023099-0.0077994i,0.0025028-0.0032879i,0.0023762-0.001679i,0.008375+0.032275i,0.0057553-0.0060684i,0.0027429-0.0033232i,0.0069474-0.00091073i,-0.0097143-0.00058351i,0.00023832+0.0024979i,0.0082942-0.0013667i,0.0041621-0.001082i,-0.0062226+0.0052125i,0.010534+0.00069649i,0.0082565+0.014325i,0.003504-0.089937i,-0.019268-0.052348i,-0.017416-0.033822i,-0.018821-0.028888i,0.070439-0.044001i,0.029528-0.080684i,0.041983-0.045254i,0.021331-0.065479i,0.0094641-0.0096263i,0.008258+7.0925e-05i,0.012483-0.034919i,-0.0070355+0.00047159i,0.00079592-0.010863i,-0.0051394-0.0066535i,-0.021936-0.034722i,-0.010958+0.029406i,0.0029221-0.013208i,-0.012315+0.0017361i,-0.0044512+0.00059833i,-0.0073348-0.014199i,-0.010513+0.0085413i,0.0074107+0.0094504i,0.0076446+0.029888i,0.0072327+0.0026588i,-0.0044095+0.0013161i,-0.0040318-0.0023598i,-0.016316+0.0012011i,0.00039338-0.0031367i,-0.039116+0.010965i,-0.0039622-0.01063i,-0.0096061+0.001995i,-0.0083378+0.00035035i,0.0046368-0.0040132i,-0.0079694+0.0045385i,0.0026665-0.00030654i,0.0048865+0.0036618i,0.0033915-0.00087122i,-0.013678-0.001552i,0.0033509+0.0059352i,-0.013839+0.013548i,0.0069397-0.00060597i,-0.029835+0.0013544i,-0.034224+0.011779i,0.012819-0.079691i,0.0093107-0.016341i,-0.048935-0.015107i,-0.016145-0.0063986i,0.019055+0.0061707i,-0.021506+0.018446i,-0.017227-0.015029i
-0.019666-0.036361i,-0.017508-0.037105i,-0.010251-0.055179i,-0.032644-0.020511i,-0.0041702+0.0042942i,-0.046381-0.020139i,-0.078867-0.036343i,-0.044394-0.069304i,-0.043615-0.034683i,0.0035311+0.01312i,-0.0063461+0.01221i,0.0020279+0.020927i,0.013848+0.0050229i,-0.0091+0.0045969i,0.0026001+0.0063963i,0.015316+0.027257i,0.043516+0.032438i,0.0054593+0.0021548i,-0.0076596+0.0016555i,0.0094604-0.002481i,0.00018235+0.0025665i,0.00031477+0.0063139i,-5.7313e-05+0.00036347i,-0.011582+0.019354i,-0.0048277-0.0025731i,0.0051968+4.4479e-05i,0.0032302-0.0013312i,0.0032174+0.0030555i,-0.00025877-0.002247i,-0.0013974-0.0024094i,-0.0026648-0.0043176i,-0.0038361-0.0026467i,-0.0046911-0.0065256i,0.0010085-0.004778i,0.0043987-0.0043243i,0.018882+0.024528i,0.0031477-0.0074487i,0.0014305-0.0041765i,0.0072327-0.0057833i,-0.0091614+0.00061531i,0.0013243+0.0029362i,0.0068733-0.0039475i,0.005-0.0006609i,-0.0047988+0.0079625i,0.015543-0.0079007i,0.020972+0.010026i,-0.0117-0.089776i,-0.032461-0.043967i,-0.0088494-0.03717i,-0.011222-0.027408i,0.063865-0.071101i,0.010898-0.10122i,0.048261-0.052294i,0.0084987-0.067612i,0.0083129-0.0071691i,0.0050847-0.003855i,0.0015646-0.038128i,0.0026728-7.2749e-05i,-0.0091089-0.013394i,-0.0052651-0.0090636i,-0.040776-0.023387i,-0.0023539+0.027572i,-0.0035546-0.012724i,-0.0099138+0.0050156i,-0.0056076+0.0010971i,-0.01475-0.011219i,-0.0058836+0.014598i,0.014011+0.0044107i,0.02033+0.019084i,0.0068084-0.00018708i,-0.0038493+0.00061567i,-0.0055113-0.00045433i,-0.013264+0.010475i,-0.0025243-0.003128i,-0.033909+0.023054i,-0.0067838-0.0062234i,-0.0080131+0.0068819i,-0.0088288+0.0070403i,-0.00070889-0.0054624i,-0.0057735+0.0063551i,0.0021611-0.0018288i,0.0029201+0.0022662i,0.0026555-0.0022101i,-0.0090255+0.0058918i,0.0034528+0.0031399i,-0.0081533+0.015827i,0.0037817-0.0039397i,-0.025924+0.010416i,-0.027953+0.021408i,0.0028717-0.079384i,0.0026264-0.017744i,-0.048909-0.0028685i,-0.02097-0.013098i,0.017514-0.0022035i,-0.010892+0.019912i,-0.021033-0.011676i
-0.023845-0.032438i,-0.022141-0.03893i,-0.021257-0.058802i,-0.031644-0.013881i,-0.0023673-0.0053228i,-0.049505-0.0089134i,-0.084761-0.008677i,-0.060714-0.055711i,-0.0497-0.024715i,0.00584+0.012249i,-0.0018035+0.015199i,0.0073918+0.015158i,0.012843-0.0034136i,-0.0073645+0.010242i,0.0031796+0.0047735i,0.018046+0.016667i,0.051987+0.011708i,0.0068654-0.0010155i,-0.006426+0.0055072i,0.006671-0.0052624i,0.0015728+0.0041258i,0.0037378+0.0069318i,-0.00040188+0.00098023i,-0.00020407+0.024522i,-0.0041275-0.0010992i,0.0040468-0.0026169i,0.0030213-0.0018967i,0.0044194-6.1636e-05i,-0.0008082-0.00086474i,-0.0030524-0.0023787i,-0.0032977-0.0033042i,-0.0043819-0.0015384i,-0.0063388-0.0038755i,-0.0013751-0.005276i,0.00088509-0.0069488i,0.021741+0.014419i,0.00034833-0.0080277i,-5.8512e-05-0.0044395i,0.0032611-0.0088524i,-0.0066106+0.0045936i,0.0024844+0.0023115i,0.0036639-0.0059745i,0.004809-0.0021584i,-0.0014833+0.0082965i,0.01716-0.01553i,0.030949+0.00044533i,-0.026051-0.084977i,-0.036336-0.032158i,-0.0096046-0.042952i,-0.0094626-0.029833i,0.047077-0.10051i,-0.018023-0.10655i,0.048089-0.072178i,-0.0018098-0.066567i,0.0074189-0.0056054i,0.00043679-0.0069171i,-0.012632-0.035042i,0.0025382-0.0098757i,-0.013909-0.0081477i,-0.011212-0.012253i,-0.049498-0.0020594i,0.0096011+0.023207i,-0.0084397-0.010298i,-0.0069015+0.0062352i,-0.0053181+0.0040771i,-0.020628-0.0036711i,0.0027637+0.013867i,0.016768-0.0026078i,0.025059+0.0074734i,0.0071965-0.0025686i,-0.0048361+0.00087059i,-0.00585+0.0028746i,-0.0080008+0.017261i,-0.0044769+0.00013234i,-0.028307+0.031997i,-0.0074307-0.0032245i,-0.0029139+0.0097324i,-0.0029241+0.01217i,-0.0053811-0.0027094i,-0.0020509+0.0055668i,0.0013607-0.0023285i,0.0016983+0.0024162i,0.00035074-0.0039557i,-0.0028802+0.0053145i,0.00037886-0.00011352i,-0.0042785+0.017877i,-0.00031687-0.0035538i,-0.019031+0.016907i,-0.019275+0.024858i,-0.0058302-0.080171i,0.0028042-0.015401i,-0.045877+0.011005i,-0.029647-0.01052i,0.014354-0.0079957i,-0.0021244+0.015922i,-0.021438-0.0066519i
-0.027045-0.027798i,-0.030231-0.037879i,-0.036298-0.059989i,-0.029472-0.01055i,-0.0083957-0.014587i,-0.049064+0.0018734i,-0.068752+0.014043i,-0.063704-0.038436i,-0.045643-0.013809i,0.0083176+0.010972i,0.0040007+0.013273i,0.0096166+0.011052i,0.007029-0.0092924i,-0.0010349+0.013263i,0.0027684+0.0031263i,0.01517+0.011564i,0.04341-0.01435i,0.0056579-0.0041279i,-0.0021314+0.010783i,0.0036134-0.0061434i,0.0033341+0.0046387i,0.0062394+0.0040137i,-0.00028761+0.0023098i,0.018893+0.020055i,-0.0042564+0.00060979i,0.0026151-0.0040911i,0.0017834-0.0030138i,0.0038834-0.00021461i,-2.3435e-05-0.00024908i,-0.0042827-0.00013616i,-0.003763-0.0020375i,-0.0043157-5.2502e-05i,-0.0064503-0.00095518i,-0.0039699-0.0043687i,-0.001809-0.0056538i,0.023317+0.0088335i,-0.0025298-0.0076616i,-0.0022079-0.0043358i,-0.00052093-0.0082845i,-0.0024475+0.0021489i,0.0027955+0.0012544i,0.00027874-0.0048321i,0.0050344-0.0025902i,-0.00023145+0.0071943i,0.01596-0.028007i,0.037534-0.015151i,-0.035001-0.07662i,-0.035458-0.022396i,-0.012899-0.04721i,-0.0098179-0.03105i,0.012126-0.12191i,-0.044358-0.099298i,0.03101-0.089583i,-0.01371-0.061284i,0.0079991-0.0034816i,-0.0041603-0.0068131i,-0.023005-0.025284i,-0.004814-0.01398i,-0.016138-0.005541i,-0.021042-0.0083369i,-0.046107+0.017205i,0.014435+0.011877i,-0.012571-0.005485i,-0.0048786+0.0064871i,-0.0038213+0.0069647i,-0.021014+0.0070089i,0.0042944+0.0090989i,0.016373-0.010039i,0.026461-0.0057011i,0.0060327-0.006884i,-0.0071317+0.0033725i,-0.0036425+0.0064622i,0.00078816+0.019576i,-0.0046169+0.0039525i,-0.021072+0.042788i,-0.009117-0.0018989i,0.0012048+0.0074867i,0.0038772+0.011409i,-0.0070799+0.0010011i,-0.0027319+0.0025644i,-0.00049102-0.0030821i,0.00095856+0.0043587i,-0.0038307-0.0038662i,-0.0021329+0.0016997i,-0.0030777+0.0021485i,0.00295+0.019272i,-0.0028132-0.002616i,-0.010387+0.019891i,-0.013098+0.026508i,-0.017462-0.078344i,0.0069967-0.020859i,-0.037848+0.025211i,-0.033527-0.00066883i,0.0094741-0.012933i,0.00016069+0.0080596i,-0.020684-0.0057046i
-0.028116-0.024293i,-0.03571-0.034969i,-0.054045-0.053813i,-0.029077-0.0093923i,-0.021106-0.016673i,-0.044563+0.01139i,-0.05073+0.020572i,-0.06173-0.027221i,-0.042426-0.010059i,0.0098126+0.0092199i,0.0060004+0.010618i,0.011637+0.0057489i,-0.00030796-0.011538i,0.0055978+0.010955i,0.0021248+0.0025054i,0.013854+0.0092301i,0.024932-0.025104i,0.0051477-0.0056387i,0.0047264+0.010651i,0.00095805-0.0053904i,0.0059786+0.0027539i,0.0061878+0.0014481i,0.0020467+0.003165i,0.027017+0.0040508i,-0.0023157+0.0032071i,0.0007214-0.0044692i,-0.00032692-0.0010589i,0.0051464-0.0018422i,0.00019166-0.0011425i,-0.002809+0.0029305i,-0.0030621-0.0011683i,-0.0043685+0.00089974i,-0.0071363+0.0017628i,-0.0054757-0.0011416i,-0.0025233-0.0037472i,0.025472+0.0010822i,-0.0051475-0.0061503i,-0.0046411-0.0039239i,-0.0034891-0.0083707i,-0.004455-0.00094257i,0.003552+0.00061507i,-0.0012074-0.0025159i,0.0034197-0.0042909i,0.00058459+0.0067078i,0.0061888-0.036993i,0.028018-0.035646i,-0.037402-0.069394i,-0.034048-0.015314i,-0.018499-0.047863i,-0.0091008-0.035071i,-0.028481-0.11921i,-0.067157-0.083796i,0.011762-0.095472i,-0.016648-0.047433i,0.014335+0.0012691i,-0.0071884-0.0042178i,-0.02513-0.011577i,-0.010873-0.013909i,-0.020961-0.00074845i,-0.020895+0.00078941i,-0.037138+0.034246i,0.013178+0.0041839i,-0.010375+0.0023195i,-0.0051357+0.0064838i,0.00115+0.0093492i,-0.014656+0.015089i,0.0058345+0.0099152i,0.012674-0.022315i,0.016202-0.021252i,-0.0007617-0.011888i,-0.0073008+0.0080577i,-0.0018398+0.0071461i,0.0085724+0.017084i,-0.0017921+0.0066798i,-0.0033903+0.056587i,-0.011409+0.00087506i,0.0014006+0.0066437i,0.0079809+0.0064375i,-0.0057629+0.0075778i,-0.003855+0.0045607i,-0.0041157-0.0025444i,0.0041782+0.0052274i,-0.0052594+0.002896i,-0.0049409+0.0010194i,-0.00068393+0.0077156i,0.0092012+0.015567i,-0.0046564-0.0017462i,-0.004065+0.017795i,-0.004592+0.028511i,-0.023426-0.070881i,-0.00075894-0.035071i,-0.017868+0.030988i,-0.03051+0.0081133i,0.0074131-0.019723i,0.00037406+0.0019617i,-0.021291-0.00072457i
-0.029336-0.021625i,-0.045097-0.033381i,-0.069561-0.040037i,-0.028526-0.0048888i,-0.031479-0.0080011i,-0.038555+0.017537i,-0.038692+0.019627i,-0.060187-0.020538i,-0.045144-0.0065374i,0.013061+0.0057461i,0.0093519+0.0098373i,0.0090855-0.0007892i,-0.008807-0.0082743i,0.0092334+0.0044089i,0.0020566+0.0020267i,0.013535+0.0082271i,0.0089888-0.02441i,0.002705-0.0080603i,0.00839+0.0056517i,-0.00074116-0.0036439i,0.0064461-0.00074425i,0.007562+0.00069294i,0.0041102+0.0017753i,0.023349-0.010193i,0.0017407+0.0025462i,-0.00019269-0.0036217i,0.0011844-0.0019051i,0.0048427-0.0047044i,-0.00025035-0.00084161i,-0.0003121+0.0033829i,-0.0031866-0.00098842i,-0.0035818+0.0022845i,-0.0048753+0.0045477i,-0.0042692+0.0011874i,-0.003442-0.0042541i,0.022784-0.0079644i,-0.0064707-0.0029174i,-0.0059586-0.0015326i,-0.0072228-0.00568i,-0.0093112+0.0013345i,0.0032169-0.00063416i,1.1985e-05-0.002214i,0.0018117-0.0050366i,0.0018922+0.0046282i,-0.0063372-0.039691i,0.011031-0.039691i,-0.043859-0.069682i,-0.026083-0.0090657i,-0.022431-0.046849i,-0.017066-0.04251i,-0.05686-0.10446i,-0.07682-0.05835i,-0.011831-0.098285i,-0.01081-0.042776i,0.022332-0.012852i,-0.0082433-0.00019863i,-0.021726-0.0069471i,-0.020317-0.010649i,-0.019652+0.0089957i,-0.018934+0.0054833i,-0.017196+0.044028i,0.011916-0.00044309i,-0.0082229+0.0023797i,-0.0013623+0.0062524i,0.0038389+0.00579i,-0.0073297+0.019706i,0.010391+0.0075672i,-0.0034666-0.028802i,-0.0027794-0.023458i,-0.0056229-0.0051109i,-0.0033445+0.012042i,0.0018719+0.0063699i,0.015298+0.0092864i,0.0021066+0.0054404i,0.02374+0.053892i,-0.0084344+0.0064583i,0.002677+0.0052195i,0.0084142+0.0017181i,0.0004158+0.0099868i,-0.0053392+0.0060097i,-0.0058444+0.0019793i,0.0075356+0.0048609i,-0.002618+0.0059902i,-0.0071825+0.0038317i,0.0037078+0.0074072i,0.011913+0.010364i,-0.0053323+0.0010729i,0.0017923+0.015173i,0.0040882+0.025874i,-0.028205-0.069965i,-0.019955-0.037121i,-0.0031102+0.022787i,-0.026598+0.013241i,-0.0020388-0.026653i,-0.0030782-0.0016405i,-0.014812+0.0020162i
-0.031672-0.01947i,-0.054676-0.023869i,-0.078899-0.021434i,-0.025975-0.0035027i,-0.032149+0.0040442i,-0.033866+0.021684i,-0.032027+0.016521i,-0.060212-0.015276i,-0.045308+0.0030582i,0.013912+0.0012146i,0.012916+0.0034191i,0.0029072-0.001554i,-0.012233-0.001023i,0.0063364-0.00045562i,0.0013747+0.0010847i,0.016473+0.0054924i,-0.00083831-0.018251i,-0.0016075-0.00815i,0.00744+0.0015137i,-0.001105-0.0022204i,0.0037904-0.0026578i,0.007342-0.0024269i,0.0041327-6.8385e-05i,0.014352-0.018624i,0.0016262-0.00021947i,-0.00046457-0.0036737i,0.0008421-0.0030214i,0.0019744-0.0056901i,0.0015298-1.4902e-05i,0.0005468+0.002521i,-0.0035446-0.00079615i,-0.0022159+0.0029967i,-0.0025497+0.0058739i,-0.0030624+0.0015235i,-0.0057382-0.0009094i,0.017064-0.01428i,-0.0053397-0.00049705i,-0.0049747+0.0014783i,-0.0070099-0.0025409i,-0.0089594+0.0067871i,0.0029117-0.0011047i,4.3366e-05-0.0022852i,-0.00024008-0.0046448i,0.0012324+0.002661i,-0.01711-0.034753i,0.0042858-0.031162i,-0.054402-0.068066i,-0.018719-0.011178i,-0.027148-0.046135i,-0.028929-0.040439i,-0.080278-0.087799i,-0.072984-0.037883i,-0.03961-0.088323i,-0.007964-0.046283i,0.018176-0.025764i,-0.0062238+0.0022876i,-0.020715-0.00051651i,-0.027424+0.00040929i,-0.012726+0.016266i,-0.015122+0.011786i,0.0041156+0.04039i,0.0096925-0.0062222i,-0.0086502+0.0040506i,-0.0012936+0.0039794i,0.0060774+0.004812i,0.0021808+0.017758i,0.012589+0.00022187i,-0.019674-0.020037i,-0.014907-0.013808i,-0.004448-0.0007112i,0.00365+0.012426i,0.0037601+0.0042171i,0.017755+0.0019998i,0.0046767+0.0051152i,0.043776+0.03785i,-0.004536+0.0065907i,0.0022966+0.0049634i,0.0067169-0.0031879i,0.0057598+0.0069102i,-0.0043875+0.012041i,-0.0037724+0.007153i,0.010344+0.00047872i,0.0025029+0.0066542i,-0.0064112+0.0076507i,0.006136+0.0043623i,0.012799+0.00573i,-0.0045762+0.0020411i,0.0047189+0.010502i,0.0092435+0.020256i,-0.035359-0.067662i,-0.03217-0.024254i,0.0034818+0.011192i,-0.014712+0.019605i,-0.013696-0.026872i,-0.010384-0.0018592i,-0.014813-0.0036876i
-0.034561-0.015516i,-0.05807-0.011042i,-0.080224-0.00062603i,-0.025832-0.0031261i,-0.027427+0.011942i,-0.02867+0.025822i,-0.028768+0.012605i,-0.062486-0.010248i,-0.038495+0.011579i,0.012878-0.0032674i,0.0099164-0.0024945i,0.0012942+0.0016244i,-0.011133+0.0056498i,0.0036391-0.002582i,0.00045201+0.0013108i,0.017613-0.00057402i,-0.0025786-0.010874i,-0.0044241-0.0056568i,0.0059264+0.00013443i,-0.0009052-0.0011409i,0.0026979-0.0015173i,0.0057604-0.0041396i,0.0040785-0.0009142i,0.0055678-0.019958i,0.00045334-0.0017414i,-0.0014883-0.0045346i,-0.00029097-0.0034082i,-0.00024113-0.0055137i,0.0012501-0.0016905i,0.001646+0.0023442i,-0.0037813-0.00057191i,-0.00080983+0.0032428i,-0.00022165+0.0046652i,-0.0024673+0.0030583i,-0.0039527+0.00047232i,0.0094671-0.018117i,-0.0038483+0.00036162i,-0.0029489+0.0029627i,-0.0086523-0.00050838i,-0.0057517+0.010207i,0.0028716-0.0015449i,-0.00076118-0.0023503i,-0.00089418-0.0036896i,-0.001307+0.0029562i,-0.023602-0.027081i,0.010151-0.026692i,-0.067479-0.062302i,-0.016768-0.015947i,-0.031574-0.043592i,-0.03576-0.033185i,-0.098964-0.061297i,-0.069627-0.028743i,-0.051265-0.06242i,-0.0098883-0.049609i,0.0077754-0.035584i,-0.0048139+0.0026375i,-0.017043+0.00092446i,-0.02357+0.014351i,-0.004397+0.016634i,-0.0040591+0.013562i,0.014159+0.027169i,0.0043294-0.0091262i,-0.0079567+0.0070997i,-0.0019328+0.0037842i,0.0067508-0.00019753i,0.0073705+0.013538i,0.006835-0.003435i,-0.026435-0.0053665i,-0.017606-0.0032896i,-0.001547+0.00035736i,0.0067834+0.010244i,0.0028847+0.0027426i,0.015088-0.0094916i,0.006366+0.00056229i,0.05384+0.015819i,-0.0042563+0.0079536i,0.0044127+0.0039499i,0.0021482-0.0056662i,0.0066232+0.0031215i,0.0013586+0.015593i,0.0036131+0.0061586i,0.0078423-0.0038836i,0.0056503+0.0028149i,-0.0033899+0.011903i,0.0047835+0.0034332i,0.011719+0.0022548i,-0.0059051+0.0030341i,0.0027987+0.0073595i,0.0118+0.016312i,-0.04219-0.064196i,-0.032994-0.0093073i,0.0020707+0.0016472i,-0.0037649+0.013379i,-0.024957-0.022058i,-0.013788+0.006649i,-0.019928-0.0020062i
-0.036777-0.010623i,-0.056969-0.0007029i,-0.075475+0.018245i,-0.027719-0.0021325i,-0.020913+0.017024i,-0.022817+0.029106i,-0.029616+0.0098206i,-0.065798-0.0012752i,-0.032041+0.014479i,0.010019-0.0066628i,0.0052667-0.0036747i,0.0024356+0.0026261i,-0.0060559+0.0096959i,0.00080124-0.0034372i,0.00083898+0.0025221i,0.01371-0.0069472i,-0.0017571-0.0095021i,-0.004754-0.0020556i,0.0060222-0.0013684i,2.4458e-05-0.00011035i,0.0036795-0.0017381i,0.0034607-0.0042392i,0.0040654-0.0017377i,-0.0017822-0.0187i,-0.00036915-0.0016336i,-0.0036028-0.0035327i,-0.0015751-0.0034051i,-0.0023168-0.0052234i,0.00068015-0.0022708i,0.0026653+0.00089872i,-0.0044771+0.00021727i,0.00040859+0.0027856i,0.0012383+0.0036589i,-0.00073306+0.0033176i,-0.004312+0.0012145i,0.0014094-0.016511i,-0.0034542-4.0622e-05i,-0.00076303+0.0031015i,-0.0077089+0.0040808i,-0.0015634+0.012581i,0.0026857-0.0020178i,-0.00058371-0.0010505i,-0.0015709-0.0036435i,-0.0006894+0.0062203i,-0.024-0.019106i,0.019435-0.035063i,-0.080647-0.04985i,-0.018888-0.018487i,-0.033666-0.041387i,-0.040592-0.026508i,-0.10177-0.031978i,-0.06752-0.017309i,-0.046668-0.045363i,-0.012752-0.053996i,-0.0063585-0.038825i,-0.0032988+0.0031932i,-0.01767-0.00015182i,-0.013449+0.021025i,0.00091765+0.013285i,0.0029631+0.005721i,0.014805+0.015086i,-0.00091203-0.0088335i,-0.0051922+0.0097179i,-0.0024186+0.0046554i,0.0038919-0.0033991i,0.0095409+0.0081599i,0.004393-0.0019969i,-0.024105+0.0091556i,-0.014539+0.0060605i,-0.0010131+0.00052478i,0.011261+0.0075868i,0.0026977+0.0024625i,0.0056698-0.01455i,0.0040606-0.0026327i,0.052242-0.0062012i,-0.0014096+0.010266i,0.0035786+0.0018088i,-0.0014801-0.004039i,0.0061474+0.0015806i,0.0096265+0.016155i,0.004636+0.0017072i,0.0056541-0.0054432i,0.0047818-0.00017978i,0.0030835+0.013311i,0.0055193+0.0021993i,0.011593-0.0013691i,-0.004259+0.0078033i,0.0032999+0.0067403i,0.014288+0.01273i,-0.049976-0.06081i,-0.028743-0.001157i,-0.00038572-0.0024628i,-0.0031123+0.0052478i,-0.033557-0.012697i,-0.0087824+0.0098979i,-0.019245+0.0018117i
-0.037236-0.0050753i,-0.053608+0.0076563i,-0.064549+0.03349i,-0.029028+0.0020601i,-0.012679+0.018161i,-0.01696+0.030727i,-0.031651+0.011163i,-0.06584+0.0099815i,-0.027615+0.016282i,0.0066412-0.0087796i,0.0025806-0.0029811i,0.0043354+0.0019136i,-0.0015396+0.010557i,-0.0025661-0.0020825i,0.0013823+0.0026226i,0.0079773-0.0093683i,-0.0046363-0.011657i,-0.0041468-0.00043245i,0.004745-0.0028103i,0.00096233-0.00033262i,0.0037878-0.0031913i,0.0031851-0.0037468i,0.0036444-0.0027515i,-0.0078467-0.015874i,-0.00096155-0.00176i,-0.0044767-0.001672i,-0.0030198-0.0026603i,-0.0038429-0.0035856i,0.00029637-0.0027955i,0.002129-0.001159i,-0.0046653+0.0020016i,0.00090762+0.0023555i,0.0021668+0.002531i,0.0012424+0.0022434i,-0.0037381+0.0026164i,-0.0024389-0.012219i,-0.0033793+0.00027227i,0.00085337+0.0018642i,-0.0034973+0.0056902i,0.0049471+0.012509i,0.0022949-0.0025859i,-0.00019357-0.00084384i,-0.0025327-0.0034618i,0.0024623+0.0059516i,-0.021519-0.016083i,0.017529-0.052867i,-0.087979-0.032175i,-0.019444-0.019776i,-0.03655-0.043642i,-0.043369-0.018327i,-0.098047-0.010736i,-0.062822-0.0090531i,-0.042451-0.035463i,-0.020155-0.056978i,-0.021319-0.037212i,-0.0023661+0.0025627i,-0.023235+0.0017113i,-0.0038849+0.020598i,0.0033084+0.0089521i,0.002549-0.00169i,0.01166+0.0086914i,-0.0055431-0.0086782i,-0.0015566+0.010505i,-0.001736+0.0056966i,0.00088305-0.0036028i,0.008081+0.0034746i,0.0040337-0.0011326i,-0.015316+0.017528i,-0.0083179+0.011644i,0.00095694-6.319e-05i,0.014083+0.0010796i,0.0025984+0.0027715i,-0.0023791-0.012652i,0.0011823-0.0032442i,0.042301-0.023471i,0.0033552+0.011055i,0.0027197+0.0019992i,-0.0038513-0.0014263i,0.0061557-0.0017836i,0.01697+0.011129i,0.0032213-0.0017341i,0.0027716-0.0071489i,0.003256-0.0022439i,0.0086412+0.010641i,0.0055201+0.001826i,0.0079894-0.0056207i,0.00053179+0.0091642i,0.0044788+0.0049215i,0.017211+0.0081956i,-0.059401-0.053825i,-0.023962+0.0060725i,-0.003002-0.0051887i,-0.0062228+0.00253i,-0.037075-0.0014955i,-0.006335+0.0089257i,-0.017182+0.0038644i
