-0.0076753-0.039638i,-0.01134-0.044898i,0.0021266-0.046637i,-0.026995-0.028759i,-0.020977+0.013762i,-0.032718-0.033563i,-0.060599-0.063093i,-0.022281-0.072861i,-0.029004-0.075724i,0.0018532+0.015457i,-0.0077528+0.010607i,-0.015299+0.013817i,0.0017134+0.017103i,-0.0037237-0.0031358i,0.00037506+0.0068107i,0.00035818+0.039858i,0.019499+0.065034i,0.00079886-0.00047893i,-0.0055009-0.0084972i,0.0092453+0.0043847i,0.0017419+0.00093843i,-0.0012956+0.0036475i,0.0001051-0.0013555i,-0.035594-0.009409i,-0.0028447-0.0073443i,-0.00037102+0.0045011i,0.0049874-0.00036679i,0.00035194+0.00072386i,-7.5851e-05-0.0012931i,-0.00029888-0.002696i,-0.0010813-0.0056292i,-0.0023996-0.0043329i,-0.0011546-0.0080042i,0.0035579-0.00090368i,0.0031007-0.0026999i,-0.0037612+0.03579i,0.0063062-0.0045404i,0.0037661-0.0021261i,0.0047128-0.00021003i,-0.026748+0.0052215i,-8.4093e-05+0.00020681i,0.0090709+0.0030345i,0.0064357-0.0010669i,-0.0035341+0.0037515i,0.0022066+0.0021228i,-0.0027027+0.008472i,0.015159-0.087896i,-0.0064567-0.046999i,-0.023369-0.038007i,-0.018962-0.042559i,0.063741-0.016463i,0.02841-0.060966i,0.038514-0.044538i,0.030244-0.056598i,0.019141-0.015045i,0.0082563+0.0094041i,0.024395-0.032258i,-0.0077548-0.004711i,0.0024141-0.0022558i,-0.0045653-0.0061333i,0.0011025-0.03231i,-0.024803+0.030277i,0.0080162-0.010557i,-0.010925-0.0017204i,-0.0053051-0.0013048i,-0.0012691-0.013695i,-0.0099365+0.0040404i,0.0037309+0.0081443i,-0.010281+0.031242i,0.0054229+0.0076043i,-0.00556-0.0017024i,-0.0020499-0.002062i,-0.011866-0.006701i,0.00070165-0.0037551i,-0.033526-0.0028012i,0.0023335-0.012868i,-0.0091995-0.0020897i,-0.0063978-0.0025906i,0.0063399+0.0015478i,-0.0090913+0.0015019i,0.0013781+0.00081186i,0.005738+0.0095126i,0.0045484+0.00036871i,-0.0088826-0.0090936i,0.0024331+0.008727i,-0.018389+0.0054026i,0.0068226+0.0031041i,-0.028805-0.0087615i,-0.035266+0.0032409i,0.028266-0.080235i,0.012672-0.01008i,-0.042617-0.027479i,-0.022193-0.0042706i,0.018035+0.012583i,-0.026741+0.011934i,-0.01173-0.0086918i
-0.015846-0.038531i,-0.017518-0.038326i,-0.0048134-0.050669i,-0.029978-0.025226i,-0.011095+0.011421i,-0.040928-0.026156i,-0.068151-0.048257i,-0.031944-0.069516i,-0.037476-0.048469i,0.0028402+0.013536i,-0.0068255+0.0088191i,-0.0075386+0.020348i,0.0099079+0.012906i,-0.0079539-8.7282e-05i,0.0014734+0.0062517i,0.0095368+0.033035i,0.042664+0.045623i,0.001855+0.0018142i,-0.0090439-0.0028984i,0.008771-0.00023183i,0.00033052+0.0017899i,-0.0013644+0.0034976i,-0.00065924-4.7124e-05i,-0.02441+0.010706i,-0.0055829-0.0049177i,0.0033327+0.0029043i,0.0031692-6.691e-05i,0.00014114+0.0026486i,0.0011669-0.0010942i,-0.0016894-0.0028571i,-0.0012542-0.0042742i,-0.0028545-0.0035225i,-0.0029546-0.0073766i,0.0026268-0.0033171i,0.0020633-0.0019622i,0.0075927+0.032602i,0.0053667-0.0069174i,0.0020876-0.0031476i,0.0064736-0.0015171i,-0.01012+0.00099293i,4.0729e-05+0.0016928i,0.0095326-0.0026808i,0.0046271-0.00052728i,-0.0048916+0.0051823i,0.0096549+0.00084643i,0.008762+0.010949i,-0.00055018-0.090435i,-0.020333-0.048553i,-0.017568-0.031694i,-0.019577-0.028807i,0.067077-0.044699i,0.0268-0.08104i,0.041478-0.045723i,0.020423-0.065485i,0.0089769-0.0092465i,0.0078057+0.00012092i,0.010592-0.035633i,-0.006755+0.00089297i,0.0007112-0.010842i,-0.0055767-0.0066954i,-0.022107-0.033509i,-0.010051+0.029107i,0.0020583-0.012877i,-0.011848+0.0019637i,-0.0045294+0.00037774i,-0.0072981-0.01226i,-0.010916+0.0084i,0.0076402+0.0087848i,0.0078699+0.027914i,0.0070531+0.0021964i,-0.0045777+0.0014464i,-0.0042943-0.0018185i,-0.015258+0.001943i,0.00035026-0.0028839i,-0.036208+0.0094409i,-0.0041435-0.010587i,-0.0095317+0.0024277i,-0.008091+0.00081794i,0.0041836-0.0036546i,-0.0078589+0.0045404i,0.0028632-0.00064867i,0.0047239+0.0032371i,0.0033416-0.00093538i,-0.01271-0.0014954i,0.0038351+0.0057779i,-0.01333+0.011296i,0.0067476-0.0011473i,-0.029354+0.0020993i,-0.033654+0.013544i,0.013777-0.082596i,0.0083452-0.016391i,-0.049408-0.014843i,-0.016547-0.0057734i,0.01879+0.0058337i,-0.021186+0.01934i,-0.01743-0.014021i
-0.021559-0.034474i,-0.019653-0.037456i,-0.01271-0.053994i,-0.032451-0.019936i,-0.0044965+0.0048605i,-0.046512-0.0173i,-0.078112-0.033072i,-0.045873-0.065644i,-0.042601-0.037135i,0.0042425+0.013031i,-0.0061592+0.012403i,0.0027145+0.019405i,0.013267+0.0048738i,-0.0084343+0.004257i,0.0029515+0.0060639i,0.015572+0.025436i,0.045973+0.026172i,0.004744+0.0017675i,-0.0078813+0.0023073i,0.0072317-0.0024644i,7.0787e-05+0.0025616i,0.00037044+0.0048386i,-0.00025288+0.00076866i,-0.011257+0.01751i,-0.0053225-0.0020961i,0.0046928-0.00013987i,0.0028318-0.0011399i,0.0029909+0.0033748i,-2.2118e-06-0.0023117i,-0.0022626-0.0022182i,-0.0018673-0.0042594i,-0.0040712-0.0025105i,-0.0050218-0.0060697i,0.00091752-0.0046476i,0.00403-0.0044832i,0.018541+0.025433i,0.0026517-0.0079129i,0.0009267-0.0035062i,0.0062454-0.0056205i,-0.0092533+0.0015084i,0.00094985+0.0022554i,0.0067081-0.0052045i,0.0059029-0.00046298i,-0.003505+0.0074561i,0.014606-0.0073358i,0.020375+0.0063855i,-0.01593-0.089598i,-0.031889-0.040242i,-0.010215-0.034898i,-0.012211-0.027834i,0.060312-0.07132i,0.0078633-0.10088i,0.047501-0.053356i,0.007896-0.067022i,0.0081243-0.007454i,0.0047923-0.0032053i,0.00431-0.036836i,0.0024303-7.4501e-05i,-0.0098657-0.013153i,-0.005499-0.0092152i,-0.040296-0.022545i,-0.0013821+0.026864i,-0.0042518-0.012246i,-0.0092879+0.0049269i,-0.0056387+0.0012659i,-0.013595-0.0094346i,-0.0056847+0.014994i,0.013859+0.0040097i,0.018498+0.018091i,0.006544-0.00030505i,-0.0038978+0.00084939i,-0.0051804-0.0001256i,-0.011861+0.010642i,-0.0025133-0.0029437i,-0.02928+0.022044i,-0.0067786-0.0061142i,-0.0076692+0.0070379i,-0.0083355+0.0076681i,-0.00091198-0.0046849i,-0.0058972+0.0062039i,0.002107-0.0021455i,0.0028945+0.0023681i,0.0028855-0.002248i,-0.0083845+0.0053259i,0.0037805+0.0027606i,-0.0068088+0.013671i,0.0036952-0.0043895i,-0.025333+0.010746i,-0.026975+0.022937i,0.0036175-0.081251i,0.0018961-0.017499i,-0.049652-0.0018374i,-0.021141-0.012033i,0.017609-0.0022056i,-0.01047+0.020546i,-0.021134-0.011211i
-0.025388-0.030094i,-0.024725-0.03877i,-0.023044-0.05798i,-0.032597-0.013681i,-0.0030413-0.0044442i,-0.048692-0.0063478i,-0.083175-0.0062356i,-0.060625-0.051957i,-0.050169-0.026366i,0.0068312+0.01198i,-0.0012759+0.015375i,0.0071824+0.013977i,0.012126-0.0033207i,-0.006913+0.0094929i,0.0034281+0.0043606i,0.017868+0.015347i,0.04997+0.0082115i,0.0064926-0.0010353i,-0.006231+0.0061732i,0.005658-0.004309i,0.0015269+0.0039203i,0.0033541+0.0064304i,-0.00029206+0.0012317i,-0.00050716+0.022472i,-0.0043126-0.00085875i,0.0033744-0.0026882i,0.0026267-0.0017901i,0.0042956+0.00094101i,-0.00092518-0.00091758i,-0.0036808-0.0016795i,-0.0025732-0.0038261i,-0.0044757-0.0012207i,-0.0063284-0.003591i,-0.0011245-0.0052973i,-7.9167e-05-0.0070705i,0.022376+0.015094i,-0.0003792-0.0082268i,-0.0001823-0.0037007i,0.0032971-0.0075655i,-0.0066299+0.0056346i,0.0018488+0.0018529i,0.0028583-0.0070075i,0.0059228-0.0027691i,-0.00054262+0.0073532i,0.016776-0.014127i,0.029322-0.0031412i,-0.029892-0.084015i,-0.035211-0.029765i,-0.01099-0.03973i,-0.010857-0.030126i,0.043506-0.099934i,-0.02086-0.10485i,0.04655-0.073505i,-0.0016735-0.066018i,0.0072246-0.0059741i,0.00069443-0.005891i,-0.013198-0.033152i,0.002471-0.0090837i,-0.014058-0.0074795i,-0.011743-0.012246i,-0.049089-0.0011308i,0.0096455+0.021917i,-0.0088843-0.0093037i,-0.0064826+0.0054733i,-0.004973+0.0043068i,-0.018606-0.0028436i,0.0032273+0.01371i,0.016839-0.0030991i,0.020524+0.0065932i,0.0073177-0.0030016i,-0.0046619+0.00096732i,-0.0054578+0.0028059i,-0.007442+0.016111i,-0.0044317+0.00046625i,-0.024083+0.028972i,-0.007399-0.0031129i,-0.0026381+0.0096802i,-0.0024314+0.012504i,-0.0050293-0.0019913i,-0.0022353+0.0053919i,0.0013633-0.002544i,0.0019271+0.0025567i,0.00014642-0.0045347i,-0.0028589+0.0044277i,0.0003602-0.00023179i,-0.001644+0.016426i,-0.00031042-0.0041326i,-0.018345+0.017019i,-0.017731+0.02663i,-0.0063239-0.081773i,0.0025724-0.01495i,-0.046057+0.011851i,-0.029556-0.0095921i,0.014652-0.007913i,-0.0012086+0.015836i,-0.021453-0.0060295i
-0.027769-0.025282i,-0.032809-0.036764i,-0.038334-0.058109i,-0.030001-0.010234i,-0.0091164-0.013061i,-0.047887+0.0041347i,-0.066961+0.015217i,-0.062714-0.035395i,-0.046711-0.014824i,0.0093069+0.010149i,0.0047067+0.013077i,0.0091183+0.010477i,0.0066891-0.0088754i,-0.0012054+0.01227i,0.0029983+0.0027307i,0.015281+0.010779i,0.039563-0.014665i,0.0054918-0.0042438i,-0.0013966+0.011181i,0.0033979-0.0047801i,0.0031579+0.0043684i,0.0060359+0.0039779i,-3.9318e-05+0.0024671i,0.013921+0.018765i,-0.0041261+0.00090247i,0.0021658-0.003934i,0.0012861-0.0027024i,0.0013637+0.0021298i,-0.00015615+3.361e-05i,-0.0047054+0.000573i,-0.0034973-0.0027548i,-0.0042552+0.00014315i,-0.0064446-0.00053666i,-0.0038598-0.0048867i,-0.0027379-0.0054019i,0.023952+0.0089783i,-0.0027679-0.0074257i,-0.0020731-0.0036519i,9.069e-05-0.0076396i,-0.0019606+0.0020571i,0.001951+0.0010403i,-0.00098776-0.0054131i,0.0056292-0.0035122i,0.0003533+0.006121i,0.016122-0.026574i,0.034908-0.018075i,-0.038219-0.075275i,-0.034449-0.020617i,-0.014008-0.043645i,-0.01145-0.030935i,0.0091056-0.12012i,-0.046698-0.097203i,0.028383-0.09039i,-0.013241-0.061048i,0.0081823-0.0033666i,-0.0037709-0.0059844i,-0.023918-0.023233i,-0.0042437-0.013175i,-0.015937-0.0049066i,-0.021285-0.0076975i,-0.045444+0.018256i,0.013967+0.011189i,-0.012162-0.0045814i,-0.004383+0.0058162i,-0.0033682+0.0069159i,-0.018839+0.0071254i,0.0045155+0.0086788i,0.01599-0.010871i,0.024185-0.0063889i,0.0057078-0.0077571i,-0.0067842+0.0033528i,-0.0034235+0.0062619i,0.00034696+0.018714i,-0.0043146+0.0042648i,-0.01786+0.043466i,-0.0092729-0.0016428i,0.0014503+0.0072523i,0.0042202+0.011381i,-0.0063278+0.0014443i,-0.0029111+0.0025006i,-0.00041234-0.0031482i,0.001199+0.0045296i,-0.0046039-0.0025037i,-0.0024846+0.001382i,-0.0032074+0.0021077i,0.004987+0.017476i,-0.0031899-0.00305i,-0.0092776+0.019732i,-0.010604+0.027311i,-0.018617-0.07973i,0.0063926-0.020804i,-0.03731+0.02626i,-0.033072+0.00066585i,0.0092574-0.012176i,0.00080734+0.0081748i,-0.020704-0.0052986i
-0.028382-0.021877i,-0.037749-0.033108i,-0.055306-0.051446i,-0.029912-0.0089547i,-0.021202-0.014652i,-0.043105+0.0134i,-0.049504+0.021042i,-0.060956-0.024522i,-0.043919-0.010773i,0.01036+0.0079951i,0.0066115+0.01032i,0.011182+0.0054979i,-0.00039856-0.011102i,0.0046694+0.010782i,0.0023673+0.0019138i,0.014163+0.0083263i,0.022831-0.023263i,0.0048795-0.0057317i,0.0053975+0.010627i,0.0010605-0.0042957i,0.0056405+0.0024952i,0.0064125+0.0013974i,0.0022423+0.0031695i,0.026357+0.0056871i,-0.0018001+0.0031158i,-1.6193e-06-0.0069841i,-8.6442e-05-0.00057203i,0.0067738-0.0023039i,0.00020399-0.00079331i,-0.0028061+0.0036341i,-0.0030845-0.0017316i,-0.0042985+0.0010972i,-0.0065993+0.0020712i,-0.0059215-0.0017175i,-0.0033426-0.0033964i,0.026055+0.000945i,-0.0051764-0.0057842i,-0.0043162-0.003169i,-0.0024089-0.0072466i,-0.0050363-0.0014605i,0.0026971+0.00071613i,-0.0023702-0.0025534i,0.0038379-0.0051061i,0.00099587+0.0056679i,0.0072776-0.035702i,0.024744-0.037818i,-0.040478-0.068094i,-0.033187-0.013924i,-0.019247-0.043891i,-0.01082-0.034871i,-0.030378-0.11708i,-0.068811-0.081086i,0.0091973-0.095264i,-0.015989-0.047407i,0.014884+0.00080224i,-0.006417-0.0034888i,-0.025154-0.009644i,-0.0099937-0.012897i,-0.020638-0.00019308i,-0.020609+0.0015067i,-0.035573+0.035723i,0.012601+0.0038712i,-0.0095074+0.0026819i,-0.0049869+0.0060047i,0.0014677+0.0092191i,-0.01275+0.01461i,0.0056858+0.0096411i,0.0115-0.022313i,0.015147-0.020603i,-0.0017592-0.011738i,-0.0070033+0.0079398i,-0.0013601+0.0070178i,0.008344+0.016006i,-0.001476+0.0067924i,-0.0052209+0.056117i,-0.011565+0.0015979i,0.0016495+0.0063983i,0.0080831+0.0065383i,-0.0048599+0.0071812i,-0.0040149+0.0042176i,-0.0041311-0.0023915i,0.0047274+0.0054433i,-0.0043762+0.0027627i,-0.005016+0.0012812i,-0.00074359+0.0076982i,0.0099008+0.014857i,-0.0048519-0.0018799i,-0.0032674+0.017022i,-0.0035557+0.0272i,-0.023958-0.072101i,-0.001983-0.034328i,-0.017354+0.031681i,-0.029657+0.0089618i,0.0078818-0.018485i,0.00060309+0.0019386i,-0.021374-0.00067401i
-0.029104-0.019257i,-0.046566-0.031109i,-0.070026-0.037213i,-0.028752-0.004247i,-0.030705-0.006121i,-0.036852+0.019281i,-0.038081+0.019667i,-0.05934-0.018127i,-0.046735-0.0064015i,0.013339+0.0045809i,0.010014+0.0092371i,0.0086585-0.00069097i,-0.0087097-0.0078662i,0.0091386+0.0048566i,0.0020686+0.0013426i,0.013945+0.0073614i,0.007484-0.021981i,0.0027719-0.0077734i,0.0089707+0.0051755i,-0.00026929-0.0027789i,0.0063032-0.00079321i,0.0075448+0.00059117i,0.004349+0.0016233i,0.023009-0.0092017i,0.0021479+0.001587i,-0.00037212-0.0031541i,0.0013045-0.0018101i,0.0065538-0.0092907i,-7.1818e-05-0.00054376i,-6.7081e-05+0.0039035i,-0.0033759-0.0016789i,-0.0034642+0.0025431i,-0.004452+0.0044509i,-0.0043568+0.001364i,-0.0041944-0.0035266i,0.023862-0.0081393i,-0.0061206-0.002498i,-0.0052314-0.00091659i,-0.0064166-0.0040834i,-0.010706+0.0014066i,0.0025113-0.00030273i,-0.001214-0.0018139i,0.0020886-0.0058014i,0.002017+0.0036222i,-0.0048851-0.038978i,0.007706-0.040796i,-0.047158-0.067509i,-0.025768-0.008365i,-0.022854-0.042427i,-0.018927-0.041902i,-0.058242-0.10276i,-0.077539-0.055957i,-0.014636-0.096368i,-0.010183-0.043837i,0.022423-0.01313i,-0.0073066+2.8522e-05i,-0.02125-0.0056526i,-0.018629-0.009507i,-0.019279+0.0092881i,-0.018307+0.0058304i,-0.015617+0.044864i,0.011142-0.00033068i,-0.007829+0.0025448i,-0.0010391+0.0058093i,0.0042832+0.0058361i,-0.0057541+0.018294i,0.010623+0.0074899i,-0.0040927-0.027956i,-0.0041936-0.023054i,-0.0057502-0.0048119i,-0.0028196+0.011959i,0.0022468+0.0060061i,0.014148+0.0083327i,0.0024372+0.0053024i,0.023569+0.054522i,-0.0082444+0.0071461i,0.0027991+0.0048432i,0.0084784+0.0016463i,0.00074873+0.0090765i,-0.0058263+0.0059344i,-0.0058396+0.0020002i,0.0078822+0.0045955i,-0.0022544+0.005932i,-0.006681+0.0036758i,0.0032181+0.0073339i,0.011427+0.010291i,-0.005651+0.0011059i,0.0021745+0.014294i,0.0048606+0.025519i,-0.029926-0.070634i,-0.02049-0.035708i,-0.0026266+0.023396i,-0.025235+0.013616i,-0.0013667-0.027014i,-0.003038-0.0017516i,-0.015174+0.0016781i
-0.030966-0.017093i,-0.055604-0.021358i,-0.079155-0.018412i,-0.026015-0.003153i,-0.03091+0.0053992i,-0.03195+0.023292i,-0.032008+0.016848i,-0.059156-0.012437i,-0.046716+0.0035206i,0.014569-0.00017964i,0.012862+0.0020866i,0.0030087-0.0014051i,-0.011444-0.00080184i,0.0071021+3.9747e-05i,0.001216+0.0005865i,0.016684+0.004034i,-0.0002321-0.016396i,-0.0012877-0.008195i,0.0080753+0.00097116i,-0.0004455-0.0017053i,0.0034752-0.0026819i,0.0070923-0.0023196i,0.0042281-0.00044112i,0.014923-0.017692i,0.001248-0.0011108i,-0.00051104-0.0034345i,0.00092924-0.0028916i,0.0015883-0.0048002i,0.001449+0.00017356i,0.00088806+0.0028039i,-0.0040393-0.0014264i,-0.0018173+0.0032085i,-0.0024206+0.0057132i,-0.0027955+0.0011839i,-0.0060663+8.0793e-05i,0.018275-0.015487i,-0.0048703-0.00040782i,-0.0041514+0.0016525i,-0.0066061+0.00054919i,-0.010378+0.0076137i,0.0021706-0.00067831i,-0.00084471-0.0016731i,0.00058121-0.0055472i,0.0011921+0.0015945i,-0.015538-0.034405i,0.0011145-0.031995i,-0.05631-0.064688i,-0.019312-0.010272i,-0.026742-0.04167i,-0.030596-0.039141i,-0.080981-0.085646i,-0.073484-0.035953i,-0.040644-0.085521i,-0.0082574-0.047545i,0.018088-0.02588i,-0.005613+0.0022739i,-0.019962+0.00025724i,-0.025265+0.00049451i,-0.011855+0.016163i,-0.014776+0.0122i,0.0063759+0.041192i,0.0089152-0.0054435i,-0.0075646+0.0049266i,-0.0012973+0.0038049i,0.0064565+0.0043247i,0.0022374+0.016274i,0.012444-0.00042102i,-0.019159-0.019512i,-0.01595-0.012638i,-0.0044886-0.00051213i,0.0036555+0.012057i,0.0036417+0.0038796i,0.016374+0.00095218i,0.0049925+0.0048998i,0.043405+0.03528i,-0.0040337+0.0070327i,0.0022983+0.0047459i,0.0066777-0.0033597i,0.0056889+0.0062873i,-0.004536+0.012598i,-0.0036472+0.007289i,0.010504+0.00035302i,0.0029525+0.0061096i,-0.0057897+0.0072781i,0.0055914+0.0043509i,0.011979+0.0057211i,-0.0049666+0.0021109i,0.0046064+0.0098624i,0.010073+0.019992i,-0.03688-0.067332i,-0.032024-0.022592i,0.0038752+0.011714i,-0.014789+0.019139i,-0.014065-0.027259i,-0.010082-0.0016202i,-0.014863-0.0034028i
-0.033307-0.013374i,-0.058507-0.008485i,-0.078263+0.002568i,-0.026269-0.002601i,-0.025827+0.012918i,-0.026601+0.026802i,-0.028793+0.013439i,-0.06091-0.0070321i,-0.040203+0.012842i,0.012914-0.0051505i,0.0084151-0.0019313i,0.0018395+0.0014715i,-0.010112+0.0048679i,0.0039838-0.0037625i,0.00023031+0.0010385i,0.01707-0.0023085i,-0.0015012-0.010335i,-0.0044423-0.0062081i,0.0063685-0.00094365i,-0.0002439-0.00097393i,0.0024782-0.0014969i,0.0053582-0.0039418i,0.0039996-0.0011747i,0.0061192-0.019268i,-0.00014443-0.0021837i,-0.0015405-0.0040972i,-0.00012559-0.003458i,-0.00055914-0.0050887i,0.0015562-0.0015063i,0.002088+0.0023555i,-0.0044306-0.00081845i,-0.00038017+0.003178i,-0.00053782+0.0045561i,-0.0026056+0.0027733i,-0.0037193+0.0013665i,0.0087625-0.0202i,-0.0033975+0.00029698i,-0.0023196+0.0029446i,-0.0081383+0.0021496i,-0.0058529+0.012239i,0.0021826-0.00081436i,-0.0015284-0.0013025i,-0.00095468-0.0045887i,-0.0016821+0.0018553i,-0.021789-0.027179i,0.0066649-0.0272i,-0.067276-0.060403i,-0.017521-0.013778i,-0.030629-0.039058i,-0.037209-0.031626i,-0.09921-0.058981i,-0.070401-0.027044i,-0.05036-0.060077i,-0.010664-0.050323i,0.0072888-0.036109i,-0.0042916+0.0025507i,-0.016172+0.0012412i,-0.021678+0.013501i,-0.0038371+0.016232i,-0.0035416+0.013585i,0.016362+0.026288i,0.0045825-0.0079989i,-0.0061424+0.0073243i,-0.0020368+0.0036138i,0.0066126-0.00063812i,0.0067704+0.012582i,0.0066431-0.0037978i,-0.025655-0.0050103i,-0.017623-0.0027398i,-0.0016451+0.0007373i,0.0066112+0.0097517i,0.0028412+0.0026643i,0.013739-0.0092119i,0.0063193+0.00028462i,0.05327+0.013787i,-0.0037304+0.0082155i,0.0042736+0.0037796i,0.0020223-0.0057306i,0.0062671+0.0026645i,0.0012658+0.01591i,0.0036618+0.0062803i,0.0078678-0.0041422i,0.0056798+0.0022108i,-0.0033911+0.011216i,0.0046547+0.0033437i,0.011137+0.0022213i,-0.0063921+0.0034946i,0.0028018+0.0072433i,0.012434+0.015413i,-0.04284-0.064081i,-0.029666-0.0071772i,0.0024248+0.0018712i,-0.0039294+0.013833i,-0.024909-0.02222i,-0.013196+0.0071099i,-0.019812-0.0019187i
-0.035058-0.0085514i,-0.057094+0.0017872i,-0.073975+0.018764i,-0.02771-0.00078162i,-0.019121+0.017383i,-0.020764+0.029449i,-0.029489+0.01118i,-0.063445+0.0016066i,-0.033064+0.016291i,0.0092124-0.0082983i,0.0051811-0.0030902i,0.0027868+0.0021012i,-0.0059463+0.0084011i,0.00034681-0.0039223i,0.00068866+0.0023004i,0.012658-0.0079825i,-0.00082797-0.0089585i,-0.0052306-0.001986i,0.003282-0.0019592i,0.00057364-0.00032651i,0.0033253-0.0017987i,0.0035611-0.0040077i,0.0038863-0.0020149i,-0.00094247-0.018025i,-0.0013844-0.0019702i,-0.0033537-0.0029544i,-0.0014126-0.0034784i,-0.0023363-0.0049703i,0.00093101-0.0023154i,0.0030318+0.00098024i,-0.0048395+0.00033622i,0.00072565+0.0025977i,0.00083889+0.0036763i,-0.00078972+0.0034916i,-0.0039091+0.0019413i,-7.3719e-05-0.016136i,-0.0032881-0.00017578i,-0.00029639+0.0030085i,-0.0065093+0.0055241i,-0.00019567+0.013593i,0.0022786-0.0004098i,-0.00089336+0.00023066i,-0.0016788-0.004385i,-0.0013497+0.0052572i,-0.022187-0.019912i,0.015445-0.034856i,-0.081967-0.049539i,-0.018905-0.015901i,-0.032627-0.036726i,-0.041663-0.02465i,-0.10205-0.029717i,-0.06814-0.015148i,-0.045356-0.044925i,-0.01391-0.054568i,-0.0081657-0.040315i,-0.0027208+0.0028029i,-0.017199+6.8509e-05i,-0.012015+0.019703i,0.00090218+0.013017i,0.0032561+0.0055294i,0.015774+0.013382i,-0.00028806-0.0089779i,-0.004032+0.0088093i,-0.0026371+0.0046272i,0.0035699-0.0035351i,0.0085047+0.0074485i,0.0044883-0.0022305i,-0.022986+0.0097998i,-0.01462+0.0061642i,-0.00061696+0.0011801i,0.010643+0.007461i,0.0026618+0.0021536i,0.0051692-0.013693i,0.003727-0.002809i,0.052454-0.0072342i,-0.00064466+0.010399i,0.0034234+0.001596i,-0.0013527-0.0039799i,0.0059603+0.001362i,0.0095745+0.016599i,0.0045063+0.0018073i,0.0052317-0.0053526i,0.0047663-0.00032069i,0.0016115+0.012176i,0.0050077+0.0021931i,0.011256-0.0013397i,-0.0041955+0.0082842i,0.0034444+0.0063486i,0.014526+0.012013i,-0.051218-0.060815i,-0.032875+0.00017815i,-0.00069961-0.0021059i,-0.0031419+0.0058221i,-0.033717-0.011821i,-0.0081254+0.010034i,-0.019315+0.0017957i
-0.03494-0.0035967i,-0.053345+0.010238i,-0.064205+0.033367i,-0.027978+0.0033215i,-0.011372+0.017996i,-0.015319+0.030706i,-0.030928+0.012828i,-0.062784+0.012132i,-0.028046+0.018157i,0.0052038-0.0099408i,0.002768-0.0027454i,0.0044111+0.00133i,-0.0018412+0.0096301i,-0.0027789-0.0021194i,0.0012608+0.0023527i,0.0071548-0.0095743i,-0.003381-0.011435i,-0.004443-0.00017971i,0.0041456-0.0022464i,0.0012491-0.00063532i,0.0035464-0.0029896i,0.0030664-0.0036219i,0.0034116-0.003027i,-0.0069525-0.015454i,-0.0022084-0.0016432i,-0.0039532-0.0012544i,-0.0028146-0.0027965i,-0.0038582-0.0031922i,0.0003085-0.0027205i,0.0025449-0.0011412i,-0.0048906+0.0022819i,0.0012305+0.0021692i,0.0017452+0.0026496i,0.0012946+0.0025854i,-0.0031748+0.0032764i,-0.0027064-0.011718i,-0.0033562+0.00015632i,0.0012628+0.0016612i,-0.0026989+0.0059334i,0.0066577+0.012335i,0.0014615-0.00030996i,4.4268e-05+0.00052315i,-0.0029478-0.0041805i,0.0013995+0.0049538i,-0.020094-0.017396i,0.01325-0.051629i,-0.090094-0.030819i,-0.019321-0.017228i,-0.034861-0.038634i,-0.044171-0.016191i,-0.098416-0.0084944i,-0.063184-0.0067859i,-0.042024-0.035675i,-0.02126-0.05728i,-0.02435-0.035555i,-0.0020395+0.0022365i,-0.022959+0.0024933i,-0.0034686+0.019065i,0.0031737+0.0084362i,0.0027729-0.0016818i,0.011968+0.0070182i,-0.0058186-0.0087676i,-0.0014727+0.0097125i,-0.0015221+0.0059176i,0.00074643-0.0034803i,0.0067601+0.0030917i,0.0043213-0.0015256i,-0.013817+0.017396i,-0.0085718+0.011753i,0.0016398-3.4226e-05i,0.01407+0.0010087i,0.0023013+0.0023794i,-0.0024778-0.0117i,0.0010079-0.0031947i,0.043173-0.022837i,0.0042897+0.010583i,0.0026982+0.0017943i,-0.0038015-0.0015953i,0.0059158-0.0017869i,0.017286+0.011664i,0.0031542-0.0015173i,0.0023877-0.0068034i,0.0032227-0.0022348i,0.0060491+0.0093154i,0.0052623+0.0018555i,0.007502-0.005454i,0.00058908+0.009423i,0.0042901+0.0045126i,0.017098+0.0075169i,-0.060576-0.053452i,-0.024888+0.008939i,-0.0030512-0.0046713i,-0.0057848+0.003097i,-0.035887+0.00036292i,-0.006004+0.0089076i,-0.017132+0.0044209i
