-0.023168-0.03972i,-0.0093092-0.050416i,-0.018238-0.046372i,-0.031672-0.035682i,-0.029727-0.017517i,-0.051496-0.028932i,-0.061618-0.025452i,-0.045991-0.038947i,-0.029917-0.040166i,0.0076578+0.012503i,-0.0058502+0.015984i,-0.0049782+0.015402i,0.0098358+0.022025i,-0.00014138+0.0052598i,0.0037976+0.0034711i,0.0075165+0.018615i,0.027472+0.038245i,-0.0028901-0.0013652i,-0.0044559-0.0062095i,0.0071714+0.00099849i,-0.00029209-0.0010575i,-0.0010158+0.0012126i,0.00013543-0.00034471i,-0.032302-0.0014729i,-0.0015436-0.0058671i,0.0020186+0.0048098i,0.0041412+0.00034103i,-0.00033962+0.00062245i,0.00066821-0.0006029i,-0.00080552-0.0027238i,-0.001717-0.0063027i,-0.0052202-0.0048021i,-0.0021374-0.0051571i,0.0025059-0.0008535i,0.0020855-0.0028376i,0.0037258+0.026613i,0.0015639-0.0033093i,0.0025052+0.00070997i,0.0063349+0.00067431i,-0.011633-0.0034419i,-0.0032985+0.00055696i,0.0072927+0.0006029i,0.005539+0.00037439i,-0.0033291+0.0048774i,0.0021657-0.0091141i,-0.011091+0.016659i,0.034979-0.092403i,0.011962-0.071945i,-0.015636-0.060981i,-0.017603-0.056422i,0.035661-0.049812i,0.016199-0.06472i,0.034405-0.056762i,0.031516-0.060608i,0.014917-0.013352i,0.0045097+0.017301i,0.015638-0.026467i,-0.010518+0.0063201i,-0.00067657+0.0061236i,-0.0049251-0.00010614i,-0.0032202-0.027052i,-0.023799+0.032696i,0.010687-0.011372i,-0.012687-0.0030372i,-0.00015572-0.0051218i,-0.0015095-0.015697i,-0.0076453+0.0046576i,0.0053043+0.0060049i,-0.0076684+0.031434i,0.0054722+0.0056097i,-0.0046527-0.00047809i,-0.0032219-0.00020452i,-0.012511-0.0078191i,-0.00034734-0.0043193i,-0.0038181-0.0032878i,0.00016712-0.0095036i,-0.0097745-0.001097i,-0.0063586-0.0023329i,0.0070703+0.0032204i,-0.0076491+0.0012836i,1.5124e-05+0.00053395i,0.0062926+0.01102i,0.0038793+0.0016621i,-0.0094459-0.0095563i,0.0034508+0.0078969i,-0.021804+0.0058665i,0.0082866+0.00025373i,-0.029544-0.0029368i,-0.042203+0.0040706i,0.020057-0.098976i,-0.0021152-0.012587i,-0.055035-0.021102i,-0.024512+0.0014656i,0.018595+0.010692i,-0.024495+0.013237i,-0.018606-0.012341i
-0.031425-0.036627i,-0.016384-0.043506i,-0.025436-0.044758i,-0.038467-0.03227i,-0.02816-0.017658i,-0.058412-0.017267i,-0.062513-0.01288i,-0.051347-0.030229i,-0.035416-0.029741i,0.0080639+0.009234i,-0.0040267+0.013516i,0.0021922+0.017341i,0.017692+0.014456i,-0.00039399+0.0069798i,0.0043755+0.0019335i,0.011243+0.012739i,0.032834+0.021242i,-0.00090636+0.0022163i,-0.0063651-0.0019707i,0.0071537-0.0026266i,-0.00091333+0.00055755i,5.7139e-05+0.0017935i,-0.00016628+3.6098e-06i,-0.018931+0.014084i,-0.0034886-0.0039685i,0.0057115+0.0011772i,0.0031241-0.00012725i,0.00055409+0.0019716i,0.00089955-0.000984i,-0.0018044-0.0028582i,-0.0021358-0.0052061i,-0.0059513-0.0027408i,-0.0035209-0.0042145i,0.0018472-0.0019558i,0.0012193-0.0018233i,0.011937+0.022554i,0.00082278-0.0035804i,0.0023556-0.00032036i,0.0080078-0.0021927i,-0.0079396-0.0003761i,-0.0027227+0.0027765i,0.0057054+0.0019347i,0.004897-0.00065209i,-0.0049632+0.0067269i,0.0066894-0.012138i,0.0039042+0.021752i,0.017622-0.098207i,-0.0066758-0.078466i,-0.012431-0.056723i,-0.021675-0.046522i,0.028986-0.067562i,0.011383-0.083257i,0.035048-0.056651i,0.019349-0.069425i,0.0060962-0.005936i,0.0070568+0.0060523i,0.00467-0.026654i,-0.0097229+0.013567i,-0.0005153-0.0017069i,-0.0047619-0.00056794i,-0.023856-0.026158i,-0.0094931+0.029853i,0.0046235-0.014933i,-0.013264+0.0009779i,-0.0015799-0.0047055i,-0.0091579-0.013906i,-0.008013+0.008619i,0.008438+0.0052218i,0.011035+0.028993i,0.0062786+0.0014118i,-0.0040694+0.0015546i,-0.0041674+4.933e-05i,-0.018518+0.0026455i,-0.00036227-0.0027134i,-0.024647+0.02577i,-0.0048544-0.0065726i,-0.0093711+0.0029005i,-0.0073628+0.0017743i,0.0056513-0.0030141i,-0.0071539+0.0031785i,0.0011647-0.0005594i,0.0057891+0.0046648i,0.0036445+0.00079898i,-0.013399-0.00047639i,0.0041095+0.0046223i,-0.015648+0.01428i,0.0062332-0.0037766i,-0.02798+0.0084852i,-0.042858+0.014995i,0.0024575-0.099306i,-0.0066202-0.015401i,-0.059811-0.0062253i,-0.017327-0.0010051i,0.0183+0.0048031i,-0.018975+0.018982i,-0.026547-0.017i
-0.036992-0.030042i,-0.019513-0.043411i,-0.032036-0.043158i,-0.044019-0.025486i,-0.029138-0.019347i,-0.061845-0.004584i,-0.064027-0.00012099i,-0.056476-0.021273i,-0.037531-0.022582i,0.0085058+0.0062751i,-0.0013791+0.016159i,0.0093271+0.013783i,0.020268+0.0050649i,0.0016866+0.0083396i,0.0047131+0.00066563i,0.011971+0.0070639i,0.034773+0.010608i,0.00202+0.0019246i,-0.005215+0.0016641i,0.0053032-0.0046464i,-0.0012317+0.0016202i,0.00028636+0.002861i,-9.9667e-05+0.00031452i,-0.0061397+0.017554i,-0.0031954-0.0024924i,0.005758-0.002843i,0.0025505-0.0014646i,0.0020617+0.0017821i,0.00011775-0.0013139i,-0.0026225-0.0022583i,-0.0029431-0.0048952i,-0.0062711-0.00022245i,-0.0046828-0.0026432i,0.00093677-0.0029864i,0.0023311-0.0041235i,0.016891+0.014703i,-6.9421e-05-0.0034809i,0.0020003-0.0012968i,0.0062743-0.0064914i,-0.0073334+0.00053898i,-0.0010463+0.0041006i,0.0050083-1.4839e-05i,0.005059-0.0014973i,-0.0031332+0.0093114i,0.0071505-0.020208i,0.01992+0.017179i,0.0005412-0.10004i,-0.0245-0.073401i,-0.0085247-0.062439i,-0.020539-0.044899i,0.017397-0.081385i,-0.010557-0.096989i,0.040024-0.063994i,0.0060314-0.069688i,0.0059905-0.0022253i,0.0055047+0.0013671i,-0.0032258-0.027464i,0.00311+0.01103i,-0.0072238-0.0032632i,-0.003975-0.0028564i,-0.039398-0.013183i,-0.0010795+0.028668i,-0.0028568-0.01481i,-0.011056+0.0054098i,-0.0043209-0.0040541i,-0.01701-0.009453i,-0.0028687+0.013548i,0.011658-0.00035843i,0.023827+0.017737i,0.0053149-0.00057624i,-0.0034948+0.0013867i,-0.0043905+0.0014719i,-0.013379+0.011355i,-0.0030418-0.0020677i,-0.02438+0.031425i,-0.0060525-0.0027923i,-0.0072712+0.0074133i,-0.0073222+0.007785i,0.00023836-0.0049435i,-0.0054458+0.004899i,0.00045579-0.0013633i,0.0029525+0.0032062i,0.0034356-0.00090383i,-0.0090296+0.0071894i,0.0032889+0.0018414i,-0.0087425+0.016651i,0.0023029-0.0065355i,-0.021605+0.015862i,-0.031634+0.03059i,-0.01016-0.097292i,-0.012641-0.013346i,-0.058826+0.0096029i,-0.020999-0.0080132i,0.016516-0.0028742i,-0.008347+0.019152i,-0.03232-0.011804i
-0.039719-0.022894i,-0.025651-0.04531i,-0.039508-0.041945i,-0.045952-0.017402i,-0.033085-0.021807i,-0.061289+0.0094437i,-0.061089+0.017835i,-0.060931-0.0088796i,-0.040786-0.01448i,0.0083699+0.0041981i,0.0048196+0.016517i,0.011984+0.0079677i,0.018726-0.0038127i,0.004681+0.0095978i,0.0040313-0.0014965i,0.011023+0.0013379i,0.037818-0.0026144i,0.0029374+9.329e-05i,-0.0039612+0.0043665i,0.0023345-0.005548i,0.00040087+0.0034478i,0.0016701+0.004168i,-0.00024032+0.00080628i,0.0028863+0.019689i,-0.0031923-0.0019272i,0.0032788-0.0051243i,0.0018735-0.0018819i,0.0023978+9.2845e-05i,-0.00035182-0.00073405i,-0.0040065-0.0015723i,-0.0034481-0.0040533i,-0.0055275+0.0018834i,-0.0051055-0.00077163i,-0.0004242-0.0032963i,-0.00088995-0.0053773i,0.016637+0.0077502i,-0.0012357-0.0035251i,0.0013256-0.0021966i,0.0033559-0.0087481i,-0.0053935+0.0031089i,0.0006674+0.0041154i,0.0040101-0.0019763i,0.0045687-0.003359i,0.00031002+0.0089631i,0.0058196-0.026729i,0.032804+0.006245i,-0.015833-0.097088i,-0.033426-0.063412i,-0.014538-0.06854i,-0.023335-0.044577i,-0.00041753-0.095673i,-0.038094-0.096051i,0.036629-0.082433i,-0.0035901-0.068009i,0.0070563+1.5686e-05i,0.0021353-0.0031976i,-0.013349-0.022202i,0.0043627+0.0030803i,-0.0092994+8.5328e-05i,-0.0081132-0.0052512i,-0.043655+0.0072306i,0.010251+0.023295i,-0.008467-0.012343i,-0.0070006+0.006109i,-0.0058674-0.0016733i,-0.020311-0.0014642i,0.0049304+0.01122i,0.011679-0.0060288i,0.015252+0.045173i,0.0056728-0.0028827i,-0.0042908+0.0010456i,-0.0039662+0.0037582i,-0.0066634+0.017195i,-0.0046909+0.0016147i,-0.020184+0.045957i,-0.0058572-0.00025958i,-0.0020342+0.010073i,-0.0017781+0.012015i,-0.0039034-0.0021289i,-0.0026339+0.0038409i,0.00019826-0.0011083i,0.002066+0.0031441i,0.0015965-0.0031271i,-0.0029863+0.0055979i,-2.3479e-05-0.00024591i,-0.0037099+0.018894i,-0.0017112-0.0058696i,-0.013556+0.020271i,-0.02036+0.030206i,-0.023134-0.09517i,-0.010676-0.0078542i,-0.052495+0.02568i,-0.028479-0.0049301i,0.013346-0.0083564i,9.1916e-05+0.014442i,-0.033103-0.003647i
-0.040736-0.016049i,-0.035986-0.043515i,-0.050427-0.039031i,-0.046366-0.011138i,-0.041472-0.022201i,-0.05714+0.022145i,-0.046619+0.029414i,-0.058468+0.0046302i,-0.038573-0.0062709i,0.008073+0.0025635i,0.010844+0.011942i,0.012709+0.0037451i,0.013558-0.010156i,0.009927+0.0079125i,0.0023929-0.0027775i,0.0072875-0.0016534i,0.027715-0.020007i,0.0025179-0.00085455i,-0.00013936+0.0079786i,0.00017801-0.0049603i,0.0021582+0.0041465i,0.0032045+0.002489i,-0.00023105+0.001618i,0.017377+0.012658i,-0.0039861-0.00023478i,0.00087712-0.0059422i,0.00074299-0.0025623i,0.0029656-0.00011437i,-0.00016812-0.00036017i,-0.0047673+0.0010368i,-0.0043732-0.0027093i,-0.0042978+0.0036543i,-0.0042863+0.0012421i,-0.0021461-0.002865i,-0.0024448-0.0034698i,0.015944+0.0054378i,-0.0019143-0.003285i,-8.284e-05-0.0025769i,-0.00012974-0.0084577i,-0.0028941+0.0013405i,0.0021851+0.0037564i,0.0017358-0.0016382i,0.0034239-0.004659i,0.0019111+0.0077474i,0.0010914-0.036632i,0.041576-0.011604i,-0.026959-0.089319i,-0.037809-0.054798i,-0.022199-0.072998i,-0.026213-0.042608i,-0.028413-0.10264i,-0.060203-0.085044i,0.017548-0.097274i,-0.015476-0.062355i,0.009716+0.0019557i,-0.0026091-0.0048777i,-0.013835-0.012535i,0.00096049+0.00026528i,-0.010425+0.0014467i,-0.014718-0.0018689i,-0.036791+0.023099i,0.013997+0.012207i,-0.013502-0.0075199i,-0.0054615+0.0056425i,-0.0065163+0.0017614i,-0.019472+0.0083467i,0.0052938+0.0063394i,0.0090408-0.011221i,0.021269-0.0060853i,0.0033575-0.0062542i,-0.006369+0.0034361i,-0.0015655+0.0063346i,0.0026324+0.018037i,-0.0036867+0.0060889i,-0.0126+0.05595i,-0.0065239+0.00056979i,0.0022027+0.0070444i,0.0051566+0.011403i,-0.0059807+0.00096605i,-0.0037539+0.001136i,-0.00097398-0.001192i,0.00091456+0.0050738i,-0.0024452-0.0032601i,-0.0029947+0.0026511i,-0.002978+0.0020451i,0.003095+0.020416i,-0.0047441-0.004064i,-0.0048512+0.021068i,-0.016003+0.032865i,-0.037068-0.089381i,-0.0054202-0.011427i,-0.040924+0.040805i,-0.030599+0.00557i,0.0080621-0.013313i,0.0011201+0.0070705i,-0.030387-0.0013554i
-0.040425-0.010952i,-0.042904-0.039264i,-0.062174-0.0289i,-0.047253-0.0051367i,-0.052672-0.016393i,-0.048826+0.032499i,-0.033891+0.032016i,-0.052766+0.014568i,-0.036303-0.0022576i,0.0071917+0.0014679i,0.011533+0.0070115i,0.012794-0.0017728i,0.0066447-0.013489i,0.013275+0.0029569i,0.00048241-0.0033468i,0.0039684-0.0018556i,0.011488-0.024456i,0.003487-0.0016723i,0.0051755+0.0069486i,-0.0013946-0.003513i,0.0041152+0.0018799i,0.0031625+0.001155i,0.0011597+0.0023893i,0.020418+0.00033206i,-0.0023243+0.0019715i,-0.0015435-0.0050697i,-0.0008802-0.00071418i,0.0028822-0.0017105i,-0.00026173-0.00057512i,-0.002688+0.00372i,-0.0045756-0.0017846i,-0.0029426+0.0041077i,-0.0042655+0.0030426i,-0.0029742-0.0010225i,-0.0021422-0.0023903i,0.017827+0.0010158i,-0.0032445-0.00253i,-0.0018339-0.0025397i,-0.0042352-0.0091366i,-0.0048456-1.7767e-05i,0.0028586+0.0018023i,0.0010095+0.00014677i,0.00077892-0.0058063i,0.0029266+0.0070237i,-0.010457-0.042132i,0.032128-0.03557i,-0.030519-0.082354i,-0.042294-0.04768i,-0.032634-0.072364i,-0.028269-0.043474i,-0.057036-0.093121i,-0.079507-0.067594i,-0.0028627-0.10125i,-0.017456-0.047483i,0.018581+0.0052668i,-0.0061437-0.0023175i,-0.037331+0.017026i,-0.00020992-0.00013669i,-0.014507+0.0054678i,-0.013218+0.0043375i,-0.027068+0.036015i,0.011505+0.004914i,-0.013029+0.00084563i,-0.007154+0.0054589i,-0.0033925+0.005056i,-0.012518+0.015284i,0.0064827+0.0074227i,0.0041728-0.018384i,0.012029-0.021528i,-0.0032125-0.0088281i,-0.0063681+0.0076867i,0.00059337+0.005685i,0.0098945+0.015388i,0.0009168+0.0080496i,0.0052827+0.047523i,-0.0076663+0.0033681i,0.0021681+0.0054152i,0.0097006+0.0063069i,-0.0036497+0.0066055i,-0.0061547+0.004008i,-0.0033143-0.00059065i,0.0044304+0.00653i,-0.0030982+0.0019256i,-0.0050064+0.0026364i,-0.00048201+0.0072369i,0.010302+0.016785i,-0.0068215-0.0026197i,0.0010606+0.017797i,-0.0049492+0.036593i,-0.043556-0.080579i,-0.011863-0.022184i,-0.016303+0.046518i,-0.025348+0.012048i,0.0043828-0.015099i,0.00079479+0.00074212i,-0.03046+0.0058307i
-0.039355-0.0057324i,-0.054153-0.035583i,-0.069313-0.014346i,-0.045444+0.0029512i,-0.060273-0.003146i,-0.03963+0.039177i,-0.024643+0.031668i,-0.046303+0.02148i,-0.037435+0.0019539i,0.0079386-0.00062907i,0.014017+0.0041996i,0.0089471-0.0068763i,-0.0005486-0.012033i,0.013482-0.0045016i,-0.0012966-0.002918i,0.0022315-0.00062456i,0.00045803-0.020222i,0.0020824-0.0042352i,0.0067308+0.0022984i,-0.0021709-0.001159i,0.0039448-0.00028675i,0.004112+0.0011365i,0.0027902+0.0016695i,0.01606-0.010314i,0.00065756+0.00078815i,-0.0024696-0.0035204i,-0.0002184-0.0011483i,0.0035095-0.0021381i,-0.00015496-0.00031554i,-0.00015991+0.0039972i,-0.0051779-0.0007061i,-0.00091282+0.004483i,-0.0023352+0.0046866i,-0.0025459+0.0001083i,-0.0031755-0.0029714i,0.016051-0.0054269i,-0.0033769-0.00087976i,-0.002795-0.0012344i,-0.0082993-0.0056846i,-0.0075818+0.0026166i,0.003528+0.001068i,0.0025532-0.00027902i,-0.0016014-0.0050279i,0.0046216+0.0036388i,-0.023383-0.040816i,0.013076-0.041768i,-0.038201-0.083779i,-0.041026-0.040102i,-0.040556-0.069264i,-0.037528-0.044907i,-0.075873-0.077139i,-0.085713-0.041223i,-0.028164-0.10133i,-0.010378-0.044379i,0.026116-0.0088471i,-0.0071405+0.0017971i,-0.015163+0.001724i,-0.0039078+0.00016601i,-0.011275+0.013942i,-0.01077+0.0066919i,-0.0070382+0.043142i,0.010671+0.0014387i,-0.011959+0.0029549i,-0.0041406+0.0070699i,-0.00166+0.0044827i,-0.004972+0.0183i,0.010771+0.004305i,-0.0083044-0.019093i,-0.0056527-0.021875i,-0.0060663-0.0018926i,-0.0025782+0.011237i,0.0032354+0.0047241i,0.015909+0.0078647i,0.0044047+0.005013i,0.024306+0.039292i,-0.0037861+0.0059602i,0.0024672+0.0036587i,0.0097521+0.00082408i,0.0013711+0.0080026i,-0.0068561+0.0071249i,-0.0042036+0.0034204i,0.0083822+0.0061867i,-0.0012015+0.0043465i,-0.0062065+0.0050773i,0.0032923+0.0067962i,0.012235+0.010637i,-0.0063947+0.00075722i,0.0066457+0.013241i,0.0065341+0.032464i,-0.050756-0.07708i,-0.026992-0.020716i,0.0012812+0.037419i,-0.02237+0.015386i,-0.0048235-0.025538i,-0.0035372-0.0033956i,-0.022116+0.0091436i
-0.038543-0.0018207i,-0.063943-0.022865i,-0.07189+0.0017646i,-0.042318+0.0077393i,-0.0599+0.011879i,-0.031282+0.043805i,-0.018022+0.030454i,-0.040118+0.026306i,-0.036225+0.0096147i,0.0070371-0.0030493i,0.014434-0.0039996i,0.0030293-0.007243i,-0.0044131-0.0079925i,0.0084801-0.0088812i,-0.002943-0.0023553i,0.0028667-0.00043565i,-0.0060022-0.01375i,-0.00082949-0.0040376i,0.0052628-4.9165e-05i,-0.0015622+0.00030798i,0.0024114-0.0010935i,0.0044488-0.00046947i,0.0031338+0.0003944i,0.0087155-0.015452i,-0.00011333-0.00099211i,-0.0024047-0.002519i,-0.00050012-0.0013974i,0.00037661-0.0041284i,0.00095299-9.3583e-05i,0.0011022+0.0029533i,-0.005964+0.00071496i,0.00081784+0.0037397i,-6.9132e-05+0.0049281i,-0.0024167+0.00040399i,-0.0045914-0.00011257i,0.012426-0.0096924i,-0.0028388-5.1938e-05i,-0.0021235+0.00036985i,-0.0064679-0.00094352i,-0.0063781+0.0067418i,0.0035703+0.00014608i,0.0033024-0.0011187i,-0.0029708-0.003498i,0.0029024+0.00048914i,-0.032927-0.033546i,0.0038843-0.032306i,-0.049748-0.083149i,-0.038977-0.03835i,-0.049124-0.065237i,-0.047534-0.039426i,-0.091062-0.059814i,-0.079113-0.021702i,-0.054908-0.086847i,-0.008125-0.049588i,0.023435-0.020993i,-0.0054665+0.0042985i,-0.012508+0.0044622i,-0.0066124+0.0050096i,-0.0032127+0.018825i,-0.0072402+0.010319i,0.013215+0.034791i,0.0088857-0.0040979i,-0.011916+0.0057372i,-0.0028343+0.0061107i,0.00071684+0.0048589i,0.0034982+0.015719i,0.011276-0.0030166i,-0.017491-0.0096572i,-0.014924-0.010186i,-0.0031953+0.0022518i,0.0036067+0.010986i,0.0041541+0.0024142i,0.01768-0.00022304i,0.006559+0.0037326i,0.035395+0.024325i,-0.00090531+0.0046721i,0.0010311+0.0036427i,0.0073298-0.0037607i,0.0054411+0.0048826i,-0.0044745+0.013327i,-0.00086447+0.0073727i,0.012237+0.0011943i,0.0028246+0.0044214i,-0.0053694+0.009605i,0.0057193+0.004026i,0.013219+0.0070547i,-0.0062359+0.0019137i,0.0087762+0.0076449i,0.012622+0.026526i,-0.058799-0.070102i,-0.03446-0.007867i,0.010883+0.024478i,-0.011055+0.022011i,-0.015523-0.025881i,-0.010987-0.0024351i,-0.02032+0.004225i
-0.038575+0.0024247i,-0.065526-0.0074014i,-0.069103+0.019428i,-0.040228+0.011936i,-0.054428+0.023768i,-0.022241+0.04734i,-0.012688+0.028414i,-0.034951+0.029928i,-0.030893+0.015789i,0.0051002-0.0053419i,0.0081372-0.0097435i,0.00071951-0.0048068i,-0.0052181-0.0043582i,0.0035888-0.010583i,-0.0042968-0.00061651i,0.0024349-0.0018025i,-0.0065291-0.0078426i,-0.0021844-0.0023214i,0.0041426-8.979e-05i,-0.00042796+0.00096469i,0.0023873-0.00019999i,0.0042835-0.0015639i,0.0032239-0.00066159i,0.0015796-0.015586i,-0.0012527-0.0014805i,-0.0028322-0.0031426i,-0.00082932-0.001363i,-0.00072025-0.0035603i,0.0010061-0.0012303i,0.0021998+0.0024122i,-0.0060055+0.0023787i,0.0019098+0.0025998i,0.0011624+0.0035741i,-0.0022094+0.0016782i,-0.0036136+0.00078841i,0.0066102-0.012209i,-0.0017725+0.00030525i,-0.0013825+0.00105i,-0.0060877+0.0015187i,-0.0034822+0.0088741i,0.0034821-0.0010214i,0.0024954-0.001968i,-0.004859-0.0030745i,-0.0010062+0.00067345i,-0.038654-0.023752i,0.011656-0.026219i,-0.065355-0.079224i,-0.040586-0.039291i,-0.05581-0.059203i,-0.053411-0.030448i,-0.10122-0.036821i,-0.073711-0.01185i,-0.063134-0.062225i,-0.012125-0.053627i,0.013755-0.03236i,-0.0044391+0.0052829i,-0.008695+0.0040419i,-0.002672+0.010454i,0.0046942+0.017235i,0.00082336+0.0093709i,0.020074+0.020659i,0.0048989-0.0063982i,-0.010841+0.010328i,-0.0029384+0.0056658i,0.0016981+0.0031077i,0.0074737+0.011621i,0.0049611-0.0050773i,-0.0189+0.00089051i,-0.015821-0.00069152i,0.00024035+0.0023232i,0.0066838+0.0096416i,0.0029342+0.0011013i,0.013591-0.010973i,0.0070504-0.0010267i,0.040689+0.0064672i,-0.00049768+0.0054354i,0.0028298+0.0032541i,0.0025506-0.0061881i,0.0059362+0.001718i,0.0016215+0.01684i,0.0050036+0.005271i,0.009706-0.0050797i,0.0049036+0.0014022i,-0.0011157+0.015149i,0.0048029+0.0026792i,0.013019+0.0030211i,-0.0074861+0.0038295i,0.0058775+0.0044366i,0.015794+0.021161i,-0.065164-0.061854i,-0.032751+0.0050837i,0.012028+0.012607i,-0.00085296+0.015645i,-0.026707-0.020566i,-0.012854+0.0058146i,-0.023731+0.0064165i
-0.038119+0.0077605i,-0.062301+0.0041691i,-0.059848+0.034539i,-0.038638+0.016496i,-0.046972+0.032629i,-0.012894+0.049399i,-0.0093069+0.02656i,-0.030096+0.034085i,-0.025657+0.01892i,0.0020964-0.0064638i,0.00073315-0.0095932i,5.9072e-05-0.0039571i,-0.0042894-0.0027994i,-0.00094678-0.010166i,-0.0041666+0.0015323i,0.00046996-0.0026844i,-0.0059105-0.0063413i,-0.0017324-0.00070047i,0.0037278-0.00068399i,0.0010107+0.0010001i,0.0036648-0.0010383i,0.0036305-0.0021423i,0.0029725-0.0015736i,-0.0033888-0.013386i,-0.0014902-0.00074047i,-0.0039345-0.0018439i,-0.00136-0.0014156i,-0.0015667-0.0031736i,0.00038005-0.0017724i,0.0031677+0.0009071i,-0.0050773+0.0037807i,0.0025472+0.0013213i,0.0019826+0.0026308i,-0.0011551+0.0025484i,-0.0038857+0.0019499i,0.0014709-0.010926i,-0.0018057-8.853e-06i,-0.00047615+0.0010817i,-0.0043588+0.0039157i,0.00055909+0.009982i,0.0029841-0.0016663i,0.0028091-0.0021895i,-0.0040089-0.00051478i,-0.0011926+0.0041774i,-0.038625-0.01416i,0.024334-0.035803i,-0.081895-0.066657i,-0.046187-0.038394i,-0.060082-0.053371i,-0.057423-0.021702i,-0.10136-0.014131i,-0.069029-0.00070823i,-0.060308-0.045164i,-0.016913-0.057638i,0.00075099-0.035561i,-0.0014733+0.0068116i,-0.009308+0.0014978i,0.003474+0.010442i,0.0092702+0.012522i,0.004497+0.002764i,0.018224+0.0087252i,0.00036593-0.0070161i,-0.0063748+0.013936i,-0.0040514+0.0062466i,0.0014605+0.0018446i,0.0086645+0.0069903i,0.0029178-0.0028555i,-0.015395+0.0099387i,-0.011293+0.0063701i,0.0015893+0.001741i,0.011365+0.006279i,0.0020888+0.00065936i,0.0038086-0.014366i,0.0043362-0.0040408i,0.037028-0.0086907i,0.001458+0.0058781i,0.0019239+0.0018651i,-0.0016328-0.0051247i,0.0052354+0.00039934i,0.010255+0.016932i,0.0055883+0.00098731i,0.0064478-0.0069769i,0.0039847-0.00086789i,0.0071009+0.012783i,0.0051886+0.0012289i,0.013278-0.0014301i,-0.0054661+0.0086382i,0.0063205+0.0030859i,0.018658+0.01658i,-0.071516-0.05491i,-0.025587+0.012602i,0.011545+0.0063015i,0.00054535+0.0078206i,-0.034702-0.010222i,-0.0084006+0.0079064i,-0.022732+0.010068i
-0.035947+0.013296i,-0.057258+0.012571i,-0.046206+0.044116i,-0.035405+0.021953i,-0.037481+0.038262i,-0.0036623+0.049607i,-0.0063786+0.025604i,-0.02414+0.037921i,-0.020691+0.021364i,-0.0010612-0.0064339i,-0.0033978-0.006227i,5.8345e-05-0.0037967i,-0.0042852-0.0017533i,-0.0046102-0.0081523i,-0.0033236+0.0030556i,-0.0014413-0.0023816i,-0.0075646-0.0062715i,-0.0012164-0.00043894i,0.0029112-0.0016155i,0.0018604+0.0001762i,0.0036813-0.002548i,0.0034407-0.0026648i,0.0023441-0.0024713i,-0.0072314-0.010975i,-0.0017919-0.00044698i,-0.0042321-0.00023166i,-0.0019675-0.00084751i,-0.0024591-0.0022636i,-0.00032229-0.0018726i,0.0025102-0.001183i,-0.0037014+0.0056452i,0.0021185+0.00053641i,0.0027408+0.0014987i,0.00047142+0.0025151i,-0.0029121+0.003436i,-0.00087101-0.0082177i,-0.0017442+0.00063241i,0.00026835+0.00043849i,-0.0019142+0.004462i,0.0051053+0.0085006i,0.0025241-0.0022699i,0.0020277-0.0028803i,-0.0039146+0.00042597i,0.00069779+0.0037757i,-0.035866-0.0090705i,0.023549-0.058727i,-0.091527-0.048284i,-0.050417-0.035714i,-0.064902-0.051862i,-0.058906-0.012277i,-0.098594+0.003709i,-0.063007+0.0068358i,-0.056115-0.033746i,-0.025462-0.05939i,-0.012286-0.034859i,0.00034352+0.0058383i,-0.014541+0.0018652i,0.0074276+0.0063337i,0.011165+0.0069682i,0.0033911-0.0026574i,0.013669+0.0027765i,-0.003621-0.0067689i,-0.00085385+0.013988i,-0.0031787+0.0082505i,0.00096365+0.0016489i,0.0069913+0.0034601i,0.0024693-0.0019031i,-0.0084749+0.014259i,-0.0064523+0.010487i,0.0034216+1.9597e-05i,0.01242-0.0001162i,0.001395+0.0012449i,-0.0033683-0.012188i,0.0011638-0.0045737i,0.028015-0.019556i,0.0038432+0.0057887i,0.0012232+0.0027741i,-0.0048277-0.002067i,0.0046799-0.002215i,0.017325+0.011997i,0.0042009-0.0018671i,0.0025937-0.0088784i,0.0024348-0.0024517i,0.011748+0.0084799i,0.0049421+0.00073591i,0.0093578-0.00578i,-0.00064511+0.010368i,0.0062437+0.00047236i,0.022162+0.011796i,-0.078217-0.04484i,-0.017831+0.017363i,0.010595+0.00063581i,-0.0011471+0.0047476i,-0.036692+0.0022502i,-0.0069513+0.0069687i,-0.01967+0.013085i
