-0.02424-0.038405i,-0.011581-0.050132i,-0.017952-0.044916i,-0.030838-0.035304i,-0.030106-0.01613i,-0.050635-0.027418i,-0.057954-0.025533i,-0.044944-0.037245i,-0.02946-0.034525i,0.007998+0.012655i,-0.005498+0.015196i,-0.0045924+0.014514i,0.010556+0.020782i,0.00034462+0.0044246i,0.0033857+0.0033208i,0.0065903+0.017878i,0.026522+0.034908i,-0.0028181-0.0010528i,-0.0046544-0.0060365i,0.0068717+0.0026516i,-7.8833e-05-0.00071115i,-0.0011636+0.0027657i,0.00012324-0.00024986i,-0.029767-0.0021376i,-0.0014671-0.0059426i,0.0014114+0.0043376i,0.0030692-0.00020032i,-0.00037848+0.00069095i,0.00058892-0.00035978i,-0.00092122-0.0026288i,-0.0019578-0.0058613i,-0.0046156-0.0045872i,-0.0021674-0.005002i,0.0022999-0.00065055i,0.0022661-0.0028818i,-0.00012919+0.025472i,0.0013892-0.0032738i,0.0025229+0.00093123i,0.0057515+0.0010444i,-0.010493-0.0028963i,-0.0038243+0.00049424i,0.0057541+0.00056175i,0.0064716-0.00035538i,-0.0033299+0.0045317i,0.0016913-0.0090799i,-0.011767+0.017946i,0.035471-0.090857i,0.012233-0.07009i,-0.015859-0.059615i,-0.017012-0.055547i,0.038989-0.046816i,0.01694-0.06273i,0.03393-0.055718i,0.030996-0.059914i,0.01558-0.013378i,0.0044497+0.016856i,0.016614-0.026778i,-0.011335+0.0054562i,-0.00047229+0.0051474i,-0.0050093-0.0011833i,-0.0021133-0.02861i,-0.023709+0.031446i,0.010008-0.011323i,-0.013192-0.0024789i,-0.00010047-0.0049091i,-0.0010509-0.016287i,-0.0076058+0.0045404i,0.0050179+0.0062143i,-0.0089999+0.030711i,0.0051679+0.0060714i,-0.0051076-0.00043813i,-0.0029366-0.00042573i,-0.012246-0.0079798i,-0.00080214-0.0041058i,-0.02321+0.0011474i,0.00031782-0.0099298i,-0.0095009-0.0016024i,-0.0065057-0.0027277i,0.0068815+0.0032606i,-0.0075799+0.0017854i,2.5813e-06+0.00075087i,0.0054596+0.01138i,0.0038819+0.001078i,-0.0090335-0.010091i,0.003279+0.0079573i,-0.021657+0.0061234i,0.008603+0.00018386i,-0.028877-0.0032444i,-0.041774+0.0028915i,0.019945-0.096806i,-0.0016068-0.012333i,-0.052381-0.022053i,-0.023049+0.00058748i,0.017847+0.010986i,-0.02482+0.012897i,-0.019822-0.012781i
-0.031791-0.034549i,-0.018889-0.043131i,-0.024965-0.043127i,-0.037957-0.031902i,-0.028173-0.016225i,-0.057244-0.015889i,-0.060039-0.014068i,-0.049993-0.029121i,-0.033265-0.029031i,0.0089806+0.0085195i,-0.0036532+0.012996i,0.0022554+0.016152i,0.017744+0.014067i,-0.00039047+0.0058915i,0.0040718+0.0020756i,0.010105+0.012317i,0.031686+0.019866i,-0.0010549+0.0021285i,-0.0062306-0.0016849i,0.0065861-0.0015411i,-0.0010115+0.00070246i,-0.0031399+0.0009806i,-0.00017655+8.19e-05i,-0.017649+0.012151i,-0.0033943-0.0039943i,0.0049361+0.0011882i,0.002742-0.00038086i,0.00058742+0.002013i,0.00087518-0.00086107i,-0.0019163-0.0029473i,-0.0022264-0.0045495i,-0.0055016-0.0027087i,-0.0037097-0.0043258i,0.0018027-0.0017343i,0.0013593-0.0018666i,0.0087156+0.022869i,0.00068644-0.0038393i,0.0023216-0.00018261i,0.0079511-0.0015548i,-0.007782-0.00066595i,-0.0030741+0.0030673i,0.0054092+2.7817e-05i,0.0054324-0.0013457i,-0.0050367+0.0065879i,0.0053388-0.012052i,0.0035084+0.022713i,0.018347-0.097091i,-0.0053828-0.077031i,-0.012542-0.055127i,-0.020797-0.045193i,0.033122-0.065431i,0.012558-0.081158i,0.034873-0.05508i,0.019054-0.068904i,0.0058635-0.0061633i,0.0069514+0.0057341i,0.0050086-0.027587i,-0.0076876+0.012157i,-0.00034415-0.0030457i,-0.0052808-0.0013427i,-0.023612-0.027065i,-0.0099767+0.029629i,0.0036682-0.014989i,-0.013969+0.0012557i,-0.0013505-0.0043335i,-0.0088006-0.014423i,-0.0077767+0.0087385i,0.0083339+0.0056509i,0.010395+0.026533i,0.0065061+0.0013799i,-0.0042882+0.0019955i,-0.0042712-9.2995e-05i,-0.016324+0.0023293i,-0.00075689-0.0028562i,-0.031443+0.016439i,-0.0049431-0.0069914i,-0.0096199+0.0035206i,-0.0081431+0.0012267i,0.0058701-0.0030275i,-0.0070839+0.0032072i,0.0010448-0.00039392i,0.0055973+0.0039869i,0.0035651+0.00059228i,-0.013407-0.0013426i,0.0038106+0.0043433i,-0.015767+0.014923i,0.0065183-0.0036503i,-0.02743+0.0079108i,-0.040459+0.014423i,0.0023366-0.098185i,-0.005851-0.015417i,-0.057946-0.0072215i,-0.0169-0.002589i,0.017858+0.0046011i,-0.019164+0.019019i,-0.028226-0.017362i
-0.036483-0.028153i,-0.021906-0.04199i,-0.030935-0.041479i,-0.044064-0.024828i,-0.028639-0.017978i,-0.060378-0.003512i,-0.062636-0.0008856i,-0.055453-0.020188i,-0.037323-0.022449i,0.0087221+0.0050929i,-0.00109+0.015457i,0.0088476+0.012885i,0.019902+0.0046923i,0.0011437+0.0070295i,0.0044767+0.00087305i,0.010969+0.0067503i,0.033188+0.010495i,0.0019143+0.0020484i,-0.0049624+0.0019034i,0.0051103-0.0040077i,-0.0013084+0.0019765i,-0.00062046+0.0027348i,-0.00016744+0.00030086i,-0.0067412+0.016084i,-0.0031476-0.002425i,0.0049838-0.0028639i,0.0022557-0.0013549i,0.002267+0.0017116i,-3.5e-06-0.0013131i,-0.002651-0.0022878i,-0.0028892-0.0043222i,-0.0058334-0.00043885i,-0.0047881-0.002581i,0.001018-0.0026841i,0.0024174-0.0040241i,0.014648+0.016019i,-0.00051632-0.0037027i,0.0020321-0.0011564i,0.0073773-0.0064016i,-0.0070204+0.00097231i,-0.0014381+0.0046765i,0.0053537-0.0010989i,0.0052692-0.0024499i,-0.0031548+0.0092445i,0.0057081-0.019317i,0.019463+0.018466i,0.0011416-0.099126i,-0.023125-0.072368i,-0.0080761-0.061164i,-0.019491-0.043674i,0.021831-0.080444i,-0.0077271-0.096104i,0.040109-0.062079i,0.0055362-0.069016i,0.0054554-0.0022585i,0.0055369+0.00092267i,-0.0028314-0.028376i,0.0025989+0.010494i,-0.0071782-0.0048383i,-0.0045799-0.0033587i,-0.038336-0.015218i,-0.00092573+0.028172i,-0.0030803-0.014807i,-0.011278+0.0052499i,-0.0038751-0.003852i,-0.01617-0.010023i,-0.0026574+0.013787i,0.011771+0.0001144i,0.020665+0.01365i,0.005586-0.000847i,-0.0035489+0.0016025i,-0.004429+0.0014966i,-0.012602+0.011356i,-0.0039554-0.0022832i,-0.024474+0.026093i,-0.006211-0.0029933i,-0.0071541+0.0076793i,-0.0084586+0.0079582i,0.00042611-0.0054627i,-0.0055587+0.0050161i,0.00029518-0.0013997i,0.0028957+0.0028198i,0.003497-0.0010059i,-0.0092331+0.0057612i,0.0031581+0.0017634i,-0.0086459+0.017841i,0.0026628-0.0064804i,-0.02157+0.01571i,-0.033736+0.025192i,-0.010718-0.09533i,-0.012401-0.013519i,-0.057198+0.0077666i,-0.021777-0.0093792i,0.016464-0.0029511i,-0.0092063+0.019604i,-0.033126-0.01154i
-0.039057-0.021934i,-0.027683-0.043156i,-0.038398-0.040277i,-0.045575-0.016739i,-0.03226-0.020498i,-0.059524+0.010098i,-0.059273+0.017965i,-0.059473-0.0074976i,-0.04059-0.014189i,0.0080504+0.0030764i,0.0050403+0.015749i,0.011498+0.0073887i,0.018345-0.0036623i,0.0040227+0.0081344i,0.0037347-0.0011279i,0.009849+0.0011792i,0.033945-0.0034814i,0.0028577+0.00018084i,-0.0036302+0.0044243i,0.0025849-0.005092i,0.00041533+0.0035591i,0.0019458+0.0033078i,-0.00047426+0.00076089i,0.0030697+0.019242i,-0.0033243-0.0021214i,0.0028182-0.0052324i,0.0018085-0.0018518i,0.0024454-0.0002601i,-0.00033659-0.00060759i,-0.0040118-0.0017417i,-0.0034381-0.0035009i,-0.0052565+0.0013787i,-0.0050827-0.00093445i,-0.00032789-0.0034114i,-0.00079832-0.0053695i,0.015252+0.0091287i,-0.0015572-0.003775i,0.0013116-0.0020451i,0.0033652-0.0089206i,-0.0044427+0.003617i,0.00056781+0.0049541i,0.0038473-0.0021697i,0.0042411-0.0040771i,0.00034273+0.0092317i,0.0051691-0.025558i,0.032938+0.0075513i,-0.015615-0.09582i,-0.032404-0.062371i,-0.013779-0.067478i,-0.021682-0.043431i,0.0041332-0.095917i,-0.03494-0.096452i,0.037408-0.081606i,-0.003912-0.066555i,0.0057785+0.00018218i,0.0019922-0.0038377i,-0.013338-0.025218i,0.0038288+0.002559i,-0.0094601-0.0013868i,-0.0088544-0.0058938i,-0.043612+0.0042561i,0.010222+0.022276i,-0.0087193-0.012609i,-0.0074393+0.0059104i,-0.0052974-0.0016731i,-0.020098-0.001397i,0.0049304+0.011933i,0.012168-0.0057315i,0.034866-0.0089895i,0.0053388-0.0029796i,-0.0040797+0.001276i,-0.0039852+0.0040276i,-0.0059357+0.017259i,-0.0055788+0.0017798i,-0.014505+0.030558i,-0.0062066-0.00033621i,-0.0021432+0.0099421i,-0.0025325+0.012661i,-0.0048118-0.0027797i,-0.0024483+0.0043065i,-3.5522e-05-0.0011786i,0.0022624+0.0027289i,0.0017152-0.0030106i,-0.0035314+0.0054723i,1.3968e-06-0.00061842i,-0.0043198+0.020589i,-0.0018169-0.0054501i,-0.013442+0.019999i,-0.025557+0.029804i,-0.022377-0.093691i,-0.010445-0.008281i,-0.051403+0.023303i,-0.029506-0.0060162i,0.013274-0.0087124i,-0.00046126+0.015332i,-0.033572-0.004626i
-0.040428-0.015288i,-0.037546-0.040794i,-0.04887-0.036839i,-0.045961-0.010488i,-0.040399-0.021075i,-0.055445+0.022407i,-0.044862+0.029303i,-0.056395+0.0054127i,-0.037904-0.0059074i,0.0076685+0.0015423i,0.010351+0.011028i,0.01238+0.0034032i,0.013138-0.0099171i,0.0084746+0.0066493i,0.0022991-0.0024038i,0.0063098-0.0014624i,0.024347-0.016127i,0.0026345-0.0009541i,-3.9959e-06+0.0079983i,0.00039031-0.0047433i,0.0021314+0.0041064i,0.0030298+0.0020574i,-0.00034956+0.0015346i,0.014989+0.013134i,-0.0043433-0.00026856i,0.00066504-0.0057224i,0.00070242-0.0026585i,0.0022476-0.00015773i,-0.00013697-0.00036684i,-0.0046772+0.0008802i,-0.004396-0.0026332i,-0.0040708+0.0031334i,-0.0044443+0.00077431i,-0.0022863-0.0029393i,-0.002735-0.0036008i,0.015723+0.0059824i,-0.0022942-0.0034765i,4.7786e-06-0.0025452i,6.0422e-05-0.0082873i,-0.0026494+0.0013968i,0.0019948+0.0046753i,0.0015584-0.0015852i,0.0025675-0.0051074i,0.0020769+0.0080196i,0.00044715-0.036029i,0.04175-0.010318i,-0.025891-0.087992i,-0.036996-0.053451i,-0.021052-0.071555i,-0.024281-0.042169i,-0.023948-0.10401i,-0.057982-0.085786i,0.018285-0.096939i,-0.015218-0.06062i,0.0086949+0.0021277i,-0.0029999-0.0054621i,-0.017319-0.028776i,0.00030359-0.00020508i,-0.010749+0.00022471i,-0.015946-0.0022893i,-0.039618+0.021115i,0.013245+0.011642i,-0.01383-0.0078159i,-0.0054754+0.0057351i,-0.0059374+0.0014429i,-0.018602+0.0089157i,0.0055551+0.0070757i,0.009957-0.01119i,0.026428-0.0061134i,0.0032891-0.0061749i,-0.0060684+0.0034441i,-0.0014583+0.0063037i,0.0024826+0.01876i,-0.0040394+0.0063202i,-0.011448+0.035201i,-0.0067314+0.00077558i,0.0016881+0.0071576i,0.0044243+0.011812i,-0.0064419+0.0014102i,-0.0036141+0.001729i,-0.0014919-0.0013531i,0.0011981+0.0047578i,-0.0028682-0.0038i,-0.0028079+0.002469i,-0.0027873+0.0017135i,0.0038649+0.022095i,-0.0045828-0.0035613i,-0.0047099+0.020647i,-0.01778+0.033338i,-0.035926-0.089218i,-0.0051622-0.012125i,-0.040579+0.03906i,-0.031836+0.0042335i,0.0081858-0.013487i,0.0007307+0.0075163i,-0.032024-0.00064441i
-0.039956-0.010005i,-0.043981-0.036166i,-0.059686-0.026935i,-0.046587-0.0042917i,-0.051325-0.015639i,-0.047133+0.032628i,-0.032222+0.031996i,-0.050636+0.015043i,-0.035889-0.0019159i,0.0065369+0.00038087i,0.010967+0.0065386i,0.012158-0.0020428i,0.0065149-0.013299i,0.011578+0.002113i,0.00039029-0.0028987i,0.0033683-0.0013593i,0.011222-0.0202i,0.0036524-0.0019224i,0.0049994+0.0069239i,-0.0014611-0.0033849i,0.0039304+0.0021461i,0.0031345+0.0011306i,0.0010377+0.0022247i,0.021122+0.0011827i,-0.002739+0.0022545i,-0.0015255-0.0056894i,-0.00087613-0.00093338i,0.0032207-0.0015553i,-0.00015013-0.00062639i,-0.0025875+0.003631i,-0.0043923-0.0017852i,-0.002817+0.0038801i,-0.0042522+0.0028081i,-0.0030738-0.00094714i,-0.0025017-0.0022784i,0.017321+0.0012792i,-0.0034605-0.0028334i,-0.0017856-0.0025762i,-0.0033862-0.0077041i,-0.0043257+0.00023279i,0.0057369+0.0024539i,0.00087638+0.00011298i,-0.00017502-0.005613i,0.0034368+0.007391i,-0.011261-0.041074i,0.032971-0.034302i,-0.029131-0.0812i,-0.040999-0.046457i,-0.030978-0.071395i,-0.026479-0.043498i,-0.053395-0.094776i,-0.077127-0.068103i,-0.0014474-0.10073i,-0.016854-0.046425i,0.017196+0.0045299i,-0.0067694-0.0028671i,-0.019152-0.0034751i,-0.0011449-0.00043498i,-0.014714+0.0041838i,-0.01449+0.0047997i,-0.030346+0.034864i,0.011373+0.0049739i,-0.012762-0.00014294i,-0.007227+0.0055089i,-0.0030544+0.004857i,-0.011947+0.015184i,0.0068558+0.0078824i,0.0046736-0.018912i,0.013595-0.020101i,-0.0030793-0.0089326i,-0.0063533+0.007625i,0.00024341+0.0060537i,0.010078+0.01631i,0.00070757+0.0078871i,0.0054983+0.04281i,-0.0079279+0.0034494i,0.0019115+0.0054985i,0.0085107+0.0064032i,-0.003995+0.0069396i,-0.0055218+0.0042341i,-0.0036718-0.00088877i,0.0046389+0.00651i,-0.0031888+0.0025039i,-0.0053331+0.0028134i,-0.00044189+0.0065637i,0.011019+0.017286i,-0.0064414-0.002127i,0.0010122+0.017472i,-0.0061995+0.036854i,-0.043046-0.079909i,-0.011941-0.023361i,-0.016225+0.044937i,-0.027206+0.011682i,0.0074929-0.020173i,0.00039111+0.0015929i,-0.029389+0.0060318i
-0.039149-0.0053638i,-0.054308-0.03222i,-0.066906-0.013283i,-0.044666+0.0034484i,-0.05903-0.0028209i,-0.037716+0.038831i,-0.022785+0.031485i,-0.044172+0.02142i,-0.036736+0.0028494i,0.0066882-0.001546i,0.013176+0.0038336i,0.0083027-0.0067903i,-0.00097048-0.01221i,0.011674-0.0043962i,-0.0011776-0.0026448i,0.0019755-2.737e-05i,0.0013132-0.016791i,0.0021343-0.0041432i,0.0065182+0.0027105i,-0.0020613-0.001103i,0.0041023-0.00014692i,0.0041303+0.0010736i,0.0025403+0.0015471i,0.016439-0.0095622i,0.00048776+0.0013971i,-0.0031126-0.0031567i,-2.8826e-05-0.0013656i,0.0042563-0.0031683i,-4.8952e-05-0.00025661i,-8.8165e-05+0.0039308i,-0.0049176-0.0010169i,-0.00085948+0.0042504i,-0.0021889+0.004469i,-0.0025185+7.9619e-05i,-0.0034322-0.0028953i,0.01609-0.0048241i,-0.003563-0.0012195i,-0.0025825-0.0012876i,-0.0076896-0.0025274i,-0.0069693+0.0029952i,0.0043202+0.0010321i,0.0024703-0.00032354i,-0.0025254-0.0047601i,0.0047875+0.0036087i,-0.024162-0.039393i,0.014194-0.040401i,-0.036348-0.083114i,-0.039715-0.039079i,-0.038989-0.068788i,-0.035794-0.045844i,-0.072658-0.079267i,-0.082973-0.042092i,-0.026929-0.10176i,-0.0097618-0.043001i,0.02399-0.010109i,-0.0079084+0.0013142i,-0.014959-0.00065425i,-0.0051389+0.00028751i,-0.012195+0.013107i,-0.011617+0.0077113i,-0.0096279+0.041718i,0.010935+0.0011134i,-0.011699+0.0014314i,-0.0038851+0.0074531i,-0.0014651+0.0042585i,-0.0051316+0.018771i,0.01106+0.0046398i,-0.0082109-0.019824i,-0.0035351-0.021546i,-0.0061654-0.0020241i,-0.0023433+0.011429i,0.0032209+0.0050595i,0.015739+0.0079079i,0.0040488+0.0049631i,0.024264+0.037878i,-0.004207+0.0065527i,0.0023863+0.0033094i,0.0093309+0.0010433i,0.0009576+0.0080304i,-0.0065178+0.0072108i,-0.0044731+0.0031362i,0.0090313+0.0060605i,-0.0012451+0.0044955i,-0.006393+0.0058767i,0.0034449+0.0064455i,0.013464+0.010871i,-0.0062449+0.00039221i,0.0066956+0.013078i,0.0048167+0.033131i,-0.050728-0.076892i,-0.027761-0.021924i,0.0011759+0.036095i,-0.023153+0.015575i,-0.0058141-0.027213i,-0.0028426-0.0028678i,-0.021091+0.0087756i
-0.03873-0.0013772i,-0.063395-0.020017i,-0.07012+0.0023792i,-0.041331+0.007879i,-0.058785+0.012144i,-0.029561+0.042929i,-0.01587+0.029935i,-0.038062+0.02567i,-0.035106+0.01039i,0.0059475-0.0032785i,0.013632-0.0041985i,0.002805-0.0073412i,-0.00464-0.0076834i,0.0073741-0.0083855i,-0.0028274-0.0020424i,0.0029534-2.1806e-05i,-0.0043358-0.01204i,-0.00065812-0.0039687i,0.0049897+0.00029321i,-0.00144+0.00034176i,0.0024722-0.00098764i,0.0042909-0.00049037i,0.0029048+0.00036374i,0.0091213-0.014505i,-9.5053e-05-0.00074625i,-0.0026548-0.0022761i,-0.00026047-0.0016215i,0.00015904-0.0038467i,0.00098227-9.1332e-05i,0.0012222+0.0030309i,-0.0055343+0.00010467i,0.0009047+0.0037034i,-0.00024326+0.0045569i,-0.0023643+0.00037212i,-0.0047827+3.0819e-05i,0.01286-0.0098454i,-0.002923-0.00024208i,-0.0021612+0.00010275i,-0.0083155-0.003785i,-0.0055789+0.0065037i,0.0041764+2.8637e-05i,0.0031228-0.001253i,-0.0039746-0.0033127i,0.0029506+0.00044072i,-0.033404-0.031355i,0.0056864-0.031333i,-0.048322-0.082905i,-0.037121-0.037437i,-0.04762-0.064753i,-0.045973-0.04063i,-0.08857-0.06252i,-0.076599-0.022456i,-0.054849-0.087478i,-0.0071616-0.048298i,0.020451-0.022067i,-0.0061586+0.0040634i,-0.013467+0.0038821i,-0.0081278+0.0054367i,-0.0044615+0.018369i,-0.0074985+0.011388i,0.010407+0.034782i,0.0089208-0.0042674i,-0.013075+0.0040706i,-0.0027549+0.0056625i,0.00088735+0.0048153i,0.0033863+0.01586i,0.011615-0.002874i,-0.017251-0.010015i,-0.014292-0.011939i,-0.0035067+0.0022403i,0.0041935+0.011054i,0.0039744+0.0026475i,0.017887+0.00089897i,0.0066293+0.0038805i,0.037788+0.023296i,-0.001361+0.0052644i,0.00097744+0.0035982i,0.0075336-0.004106i,0.0054374+0.0052223i,-0.0048095+0.013876i,-0.0014849+0.0072967i,0.012863+0.00088243i,0.0029321+0.0048423i,-0.0053661+0.0093064i,0.0057238+0.0037706i,0.013948+0.0062877i,-0.0062174+0.0019119i,0.0087088+0.0071517i,0.01149+0.027165i,-0.060389-0.070471i,-0.035904-0.0084775i,0.010861+0.023363i,-0.010744+0.021498i,-0.016397-0.026443i,-0.010458-0.0028506i,-0.019434+0.003755i
-0.038511+0.0032855i,-0.064893-0.0049626i,-0.066936+0.020049i,-0.039517+0.012084i,-0.053+0.023995i,-0.020652+0.046313i,-0.010592+0.027564i,-0.033002+0.029261i,-0.029288+0.016113i,0.0043882-0.005171i,0.0074167-0.00941i,0.00028743-0.0049029i,-0.0051652-0.0042315i,0.0028285-0.0098665i,-0.004085-0.00043409i,0.0025718-0.0013934i,-0.0047778-0.0074638i,-0.0016111-0.0026319i,0.003394+0.00012948i,-0.00037503+0.00098627i,0.0024142-0.00012164i,0.0039259-0.0015601i,0.0030878-0.00055448i,0.00261-0.015024i,-0.0013525-0.0009872i,-0.0029513-0.0027409i,-0.00052793-0.0016434i,-0.00075312-0.0034223i,0.00087828-0.0012398i,0.0024606+0.0024821i,-0.0055796+0.0013736i,0.0021814+0.0026963i,0.001371+0.0035363i,-0.0024127+0.0017047i,-0.0034679+0.00080043i,0.0073004-0.013113i,-0.0022198+0.00038453i,-0.0014634+0.00077183i,-0.0081091+0.00032928i,-0.0029528+0.0081526i,0.0038642-0.0011707i,0.0023211-0.0023502i,-0.0030846-0.0027276i,-0.00099422+0.00044253i,-0.038587-0.02152i,0.013221-0.025674i,-0.06358-0.078668i,-0.038469-0.038892i,-0.053992-0.058657i,-0.052458-0.032273i,-0.099856-0.039685i,-0.071238-0.012576i,-0.063395-0.06041i,-0.01078-0.052842i,0.012142-0.030341i,-0.0047177+0.0050556i,-0.0092827+0.0036317i,-0.0036767+0.011402i,0.0035917+0.01736i,0.0011781+0.010048i,0.018414+0.021042i,0.0048974-0.0062024i,-0.011776+0.0097224i,-0.0029307+0.0052363i,0.0019336+0.0028997i,0.0071304+0.011734i,0.005161-0.0053608i,-0.019329+0.001048i,-0.016329-0.0022812i,0.0001823+0.0022854i,0.0065867+0.0092734i,0.0027531+0.0012573i,0.013996-0.0105i,0.0074121-0.00087083i,0.04237+0.0054047i,-0.0010512+0.0057629i,0.0030576+0.0031404i,0.0023102-0.007029i,0.0060141+0.0019709i,0.0019894+0.017462i,0.0045542+0.0053611i,0.0107-0.0049248i,0.0051361+0.0011295i,-0.0011759+0.014246i,0.0048816+0.0029954i,0.012568+0.0028071i,-0.0073203+0.0036601i,0.0054374+0.0042223i,0.015936+0.021868i,-0.066204-0.061182i,-0.033393+0.005544i,0.011673+0.011985i,-0.00047626+0.014629i,-0.027519-0.020576i,-0.013222+0.0056632i,-0.023071+0.0055252i
-0.037861+0.0085728i,-0.061405+0.0062547i,-0.057764+0.034332i,-0.037862+0.016518i,-0.045365+0.032516i,-0.011391+0.047797i,-0.0073827+0.025104i,-0.027766+0.033205i,-0.024213+0.018787i,0.0014637-0.0061615i,0.00086777-0.0090131i,-0.00045302-0.0038337i,-0.0042908-0.0024923i,-0.0012755-0.0095258i,-0.0038798+0.0017472i,0.00080215-0.0022618i,-0.0042499-0.006029i,-0.0014117-0.00089813i,0.0032529-0.0005422i,0.0010073+0.0010799i,0.0036879-0.00080006i,0.0033133-0.0021519i,0.002886-0.0014235i,-0.0023247-0.013389i,-0.001492-0.00037533i,-0.004188-0.0016717i,-0.0009236-0.0015877i,-0.0018722-0.003245i,0.00025041-0.0017069i,0.0032871+0.0010038i,-0.0051241+0.0031681i,0.0026665+0.0013166i,0.0023083+0.0025359i,-0.0011841+0.0025635i,-0.0037086+0.0017432i,0.0014897-0.011085i,-0.0023613+4.9961e-05i,-0.0005113+0.00096206i,-0.0068401+0.0044495i,0.00044352+0.009179i,0.0031954-0.0020526i,0.0027748-0.0018853i,-0.0041468-0.00020067i,-0.0015806+0.0037007i,-0.038238-0.011926i,0.026163-0.035511i,-0.079311-0.066803i,-0.043684-0.038345i,-0.057979-0.053454i,-0.057105-0.023525i,-0.10049-0.01688i,-0.066818-0.0021474i,-0.058406-0.043455i,-0.015757-0.056935i,0.0010347-0.035033i,-0.0023021+0.0063838i,-0.0097477+0.0010093i,0.0028411+0.011532i,0.0087668+0.012411i,0.0048681+0.0029063i,0.01784+0.0092318i,0.00063264-0.0068159i,-0.0071069+0.013218i,-0.0033977+0.0061841i,0.0013904+0.0015971i,0.0087509+0.0070005i,0.0027039-0.0031452i,-0.015587+0.010349i,-0.013029+0.0059204i,0.001092+0.0011904i,0.010914+0.0066963i,0.0020289+0.0010531i,0.0042054-0.014351i,0.0043082-0.0041211i,0.038128-0.0088141i,0.00082482+0.0065399i,0.0021402+0.0017683i,-0.0020244-0.0053266i,0.0056001+0.00035966i,0.010499+0.016457i,0.0051162+0.0010838i,0.007835-0.0069673i,0.0038073-0.0012885i,0.0091165+0.015519i,0.0055493+0.0015249i,0.012778-0.0010986i,-0.0055313+0.0084781i,0.0054865+0.0035071i,0.018943+0.016664i,-0.071358-0.054108i,-0.026445+0.012322i,0.010914+0.0055146i,0.00035497+0.0061665i,-0.034134-0.01125i,-0.0087653+0.008384i,-0.021994+0.0087704i
-0.035623+0.013883i,-0.056149+0.014553i,-0.044276+0.043463i,-0.034462+0.021637i,-0.035897+0.037925i,-0.0025226+0.047523i,-0.004708+0.023685i,-0.021687+0.036317i,-0.01942+0.020924i,-0.0015291-0.005973i,-0.002845-0.0062717i,-0.00035266-0.0033741i,-0.0042183-0.0013874i,-0.0047357-0.0074853i,-0.0030415+0.0031272i,-0.0010222-0.0020762i,-0.0056276-0.006266i,-0.0010353-0.00050237i,0.0027337-0.001266i,0.0018703+0.00017135i,0.003867-0.0022939i,0.0033421-0.0027598i,0.002375-0.0022285i,-0.0061895-0.011196i,-0.0015753-0.00021534i,-0.0041725+0.00011561i,-0.0017643-0.0010901i,-0.0027816-0.0021574i,-0.00043305-0.0018999i,0.0026131-0.00099707i,-0.003842+0.0050633i,0.0021936+0.00040217i,0.0028387+0.0013597i,0.00034837+0.0024196i,-0.0027839+0.0032413i,-0.0001324-0.007843i,-0.0028004+0.00033799i,0.00014378+0.00040286i,-0.0025585+0.0061072i,0.0045933+0.0081062i,0.0022868-0.0025488i,0.0035773-0.0026885i,-0.0037139+0.0010334i,2.3315e-05+0.0035389i,-0.035078-0.0068599i,0.025674-0.058945i,-0.08948-0.049287i,-0.047568-0.036143i,-0.062976-0.052487i,-0.058755-0.013894i,-0.09795+0.0007008i,-0.06132+0.0049757i,-0.054297-0.033263i,-0.024192-0.058815i,-0.01165-0.035144i,-5.4346e-05+0.0056356i,-0.015253+0.0015842i,0.0074461+0.0075069i,0.010719+0.0070676i,0.0035797-0.0029434i,0.013296+0.0026772i,-0.0032582-0.007122i,-0.0017522+0.014331i,-0.0021862+0.0075073i,0.00084844+0.0014133i,0.007289+0.0035321i,0.0022736-0.0017185i,-0.0082366+0.01458i,-0.0071143+0.010868i,0.0030796-0.00047949i,0.013409+0.00056741i,0.0015945+0.0014765i,-0.0034963-0.012144i,0.0011047-0.0044391i,0.029028-0.019183i,0.0039449+0.0060659i,0.0013646+0.0028993i,-0.0048537-0.0023758i,0.0048868-0.0024468i,0.01773+0.011477i,0.0037949-0.0016458i,0.0046776-0.0088533i,0.0021693-0.0025257i,0.012394+0.0095285i,0.0052043+0.0011668i,0.0094177-0.006067i,-0.00084529+0.010184i,0.0055713+0.0011586i,0.022589+0.011862i,-0.077536-0.045442i,-0.019319+0.017608i,0.0098551+8.5825e-05i,-0.0019909+0.0032694i,-0.036919+8.1304e-06i,-0.0068446+0.007501i,-0.019854+0.011683i
