-0.024471-0.038514i,-0.012019-0.049458i,-0.017849-0.044785i,-0.031067-0.035341i,-0.029996-0.01638i,-0.050582-0.027539i,-0.058129-0.025453i,-0.044834-0.037864i,-0.029648-0.035999i,0.0076437+0.012525i,-0.0056179+0.015857i,-0.0047071+0.014216i,0.0099333+0.021507i,0.00044084+0.0044515i,0.0034285+0.0032295i,0.0065215+0.017511i,0.026742+0.038449i,-0.0026011-0.00098865i,-0.0046618-0.0056906i,0.0077451+0.0016525i,-1.0161e-05-0.00073095i,-0.0010922+0.0014461i,0.00011453-0.00041839i,-0.030291-0.0024652i,-0.0013017-0.0057631i,0.0013599+0.0046124i,0.0035175-7.5336e-05i,-0.00036714+0.0005483i,0.00048124-0.00055692i,-0.00043679-0.00262i,-0.0017312-0.0062346i,-0.004597-0.0042227i,-0.0019349-0.0049019i,0.0023786-0.00073408i,0.0021767-0.0028918i,0.0027364+0.025763i,0.0017923-0.0027335i,0.0027491+0.00072203i,0.0058906+0.00097618i,-0.010463-0.0035472i,-0.0033185+0.00080221i,0.0067676+0.0011359i,0.005149-0.00020988i,-0.0035267+0.0055915i,0.0014814-0.0088419i,-0.011813+0.017663i,0.035263-0.091021i,0.012157-0.070287i,-0.015865-0.059698i,-0.016695-0.055613i,0.038683-0.047033i,0.016845-0.062909i,0.03402-0.055913i,0.031105-0.059866i,0.015334-0.013558i,0.0043225+0.016745i,0.01648-0.026581i,-0.011374+0.0059802i,-0.00060301+0.0050802i,-0.0050105-0.0012306i,-0.0023874-0.028615i,-0.023697+0.031422i,0.0098858-0.011325i,-0.012938-0.0024165i,-0.00021632-0.0050042i,-0.00096388-0.01611i,-0.007585+0.0045557i,0.0050666+0.0062999i,-0.0084312+0.030755i,0.0050731+0.0060298i,-0.0050537-0.00062245i,-0.0029978-0.00035371i,-0.012049-0.0072344i,-0.00068851-0.0043194i,-0.029563+0.0063499i,5.1335e-06-0.010025i,-0.0093734-0.0017466i,-0.0066212-0.0026693i,0.0067956+0.0029507i,-0.0078091+0.0013424i,-8.6037e-05+0.00057581i,0.0057666+0.010865i,0.0038467+0.0013982i,-0.0094171-0.0097061i,0.0030976+0.0080538i,-0.021353+0.0061096i,0.0087654+0.00038964i,-0.02879-0.003541i,-0.042093+0.0025701i,0.01957-0.096935i,-0.0020955-0.012703i,-0.053005-0.021887i,-0.023091+0.00072396i,0.017844+0.01087i,-0.024953+0.012821i,-0.018351-0.01308i
-0.032182-0.034846i,-0.018679-0.042294i,-0.024985-0.042859i,-0.038074-0.031838i,-0.02828-0.016452i,-0.057224-0.016063i,-0.060084-0.014009i,-0.050221-0.029662i,-0.034079-0.028456i,0.0083256+0.0089431i,-0.0032327+0.013586i,0.0020463+0.016067i,0.018069+0.014505i,-0.00046052+0.0059239i,0.0040074+0.0019105i,0.010021+0.012189i,0.03324+0.023944i,-0.00096436+0.0022746i,-0.0059707-0.0014928i,0.0074882-0.0024504i,-0.00094907+0.00060882i,-0.0011401+0.0021883i,-0.0002293-9.4833e-05i,-0.018075+0.012367i,-0.0032725-0.0039138i,0.0050615+0.0015093i,0.0028222-0.00037382i,0.00056889+0.0020253i,0.00073739-0.00098088i,-0.0015066-0.0030007i,-0.0022075-0.0050377i,-0.0052215-0.002375i,-0.0031637-0.0043326i,0.0016683-0.001912i,0.0013929-0.0019164i,0.010509+0.021299i,0.0013436-0.0034991i,0.0024269-0.00050636i,0.0080279-0.0016494i,-0.0077202-0.0010885i,-0.0024522+0.0029289i,0.0059175+0.00073195i,0.0044898-0.0011514i,-0.0049328+0.0076435i,0.0055282-0.011831i,0.0032814+0.022723i,0.017946-0.09694i,-0.0055873-0.076986i,-0.012519-0.055448i,-0.020547-0.045181i,0.032814-0.065714i,0.012759-0.081409i,0.034711-0.055258i,0.01923-0.068998i,0.0058064-0.006052i,0.0068599+0.0056445i,0.005136-0.027157i,-0.0078481+0.011888i,-0.00041646-0.0030469i,-0.0053455-0.0013718i,-0.023679-0.027043i,-0.0097968+0.029822i,0.0036689-0.014913i,-0.013352+0.00099422i,-0.0015858-0.0044707i,-0.0088132-0.014326i,-0.0079134+0.0088128i,0.0082656+0.0056187i,0.01014+0.027423i,0.0061906+0.0013697i,-0.0041487+0.0019518i,-0.00447-2.4491e-05i,-0.016343+0.0023661i,-0.00073568-0.002879i,-0.031627+0.014036i,-0.0051396-0.0068879i,-0.009526+0.0033153i,-0.0082087+0.0012895i,0.0056731-0.0031007i,-0.0073804+0.0029911i,0.0010574-0.0005093i,0.0051965+0.0043525i,0.003532+0.00040286i,-0.013843-0.001409i,0.0038064+0.0041492i,-0.015564+0.014506i,0.0067517-0.0036467i,-0.027558+0.007917i,-0.041566+0.014857i,0.001883-0.097474i,-0.0061745-0.015916i,-0.058999-0.006487i,-0.016603-0.0025851i,0.017715+0.0047012i,-0.019138+0.019275i,-0.026966-0.017306i
-0.037087-0.028289i,-0.021318-0.041523i,-0.030893-0.04109i,-0.043872-0.024666i,-0.028921-0.018096i,-0.06039-0.0037002i,-0.06263-0.00087378i,-0.055736-0.020531i,-0.037453-0.022337i,0.0085201+0.0060877i,-0.00038143+0.015582i,0.0086742+0.012818i,0.020369+0.0046839i,0.0010399+0.0071763i,0.0043277+0.00079427i,0.010904+0.0066987i,0.037323+0.012328i,0.0020178+0.0023909i,-0.0046199+0.0019244i,0.0054382-0.0045536i,-0.0012327+0.0019276i,6.8025e-06+0.0034833i,-0.00018727+0.00019705i,-0.0067851+0.01646i,-0.0029994-0.0023842i,0.0054185-0.0025444i,0.0022981-0.0014196i,0.0023174+0.0017437i,-0.0001389-0.0012702i,-0.0023889-0.0024097i,-0.0030021-0.0046452i,-0.0054-0.00035103i,-0.0045713-0.003065i,0.00079756-0.0026844i,0.0023763-0.0042038i,0.01554+0.014082i,0.00020769-0.0036205i,0.002016-0.0014697i,0.0071602-0.0067498i,-0.0073577+0.00032704i,-0.0006732+0.0040389i,0.005596-0.00089402i,0.0043035-0.0019108i,-0.0025238+0.010049i,0.0057362-0.019249i,0.019195+0.018364i,0.00093875-0.098737i,-0.023373-0.072384i,-0.007998-0.061379i,-0.019372-0.043772i,0.021633-0.080525i,-0.0081686-0.096391i,0.040254-0.062027i,0.005593-0.069138i,0.0054658-0.0023439i,0.0053359+0.0010955i,-0.0031415-0.028204i,0.002647+0.010433i,-0.0073569-0.0049948i,-0.0044185-0.0033005i,-0.038442-0.015259i,-0.0006626+0.028342i,-0.0033403-0.014754i,-0.011133+0.0047846i,-0.0041375-0.0038126i,-0.015882-0.0097338i,-0.0027202+0.014121i,0.011757+0.00010174i,0.020659+0.01572i,0.005408-0.00037975i,-0.0033551+0.0016627i,-0.0045609+0.001664i,-0.012459+0.011765i,-0.0038862-0.0024253i,-0.025478+0.023663i,-0.0063096-0.0029218i,-0.0072993+0.0076303i,-0.0079448+0.0075845i,0.00029309-0.0055202i,-0.005916+0.0049803i,0.00019483-0.0014772i,0.0028078+0.0029555i,0.003434-0.0012145i,-0.0092965+0.0058264i,0.0030871+0.0014523i,-0.0088944+0.017195i,0.0028018-0.0066579i,-0.021691+0.015639i,-0.034153+0.026315i,-0.010714-0.095576i,-0.012819-0.013897i,-0.057458+0.0081218i,-0.021425-0.0090826i,0.016591-0.0027629i,-0.0089118+0.019608i,-0.032417-0.011799i
-0.039785-0.021674i,-0.02702-0.043102i,-0.038076-0.039899i,-0.045331-0.016825i,-0.032557-0.020484i,-0.059518+0.010028i,-0.05926+0.01807i,-0.059697-0.0078523i,-0.041082-0.013826i,0.0081061+0.0039326i,0.0055855+0.015588i,0.011303+0.0073725i,0.018546-0.0040192i,0.0037319+0.008542i,0.0036056-0.0012181i,0.0096857+0.0011648i,0.039128-0.0042071i,0.0031862+0.00041177i,-0.003514+0.0042364i,0.0025833-0.0053692i,0.00041153+0.0035168i,0.0020648+0.0036718i,-0.00040325+0.00068745i,0.0033044+0.01992i,-0.0031348-0.002025i,0.0030759-0.0050047i,0.0019211-0.0019755i,0.0024832-0.00016741i,-0.00039497-0.00057184i,-0.0038151-0.0019072i,-0.0038138-0.0037524i,-0.0047771+0.0012998i,-0.0053802-0.0012386i,-0.00037917-0.0031434i,-0.00078138-0.0054823i,0.015047+0.007711i,-0.00096968-0.0037921i,0.0012723-0.0023501i,0.0029574-0.009203i,-0.0050024+0.0031073i,0.0011609+0.0039392i,0.0040673-0.0022481i,0.0034039-0.0031051i,0.0011499+0.0098293i,0.0053943-0.025266i,0.032615+0.0075601i,-0.015636-0.095475i,-0.032625-0.062296i,-0.013808-0.067608i,-0.021598-0.043525i,0.0040679-0.095824i,-0.035481-0.096581i,0.037721-0.081724i,-0.0038606-0.066541i,0.0062537+0.00029261i,0.0020491-0.0035121i,-0.014255-0.023883i,0.0037126+0.0027604i,-0.0096119-0.0013219i,-0.0088042-0.0058807i,-0.043896+0.0042722i,0.010499+0.022339i,-0.0089767-0.012358i,-0.0073167+0.0054665i,-0.0055224-0.0015605i,-0.01991-0.0014111i,0.0049818+0.012114i,0.012132-0.0059421i,0.023262+0.0043248i,0.0053115-0.0025459i,-0.0040396+0.001426i,-0.0039783+0.0039431i,-0.0060552+0.017821i,-0.0054493+0.0017374i,-0.018765+0.030774i,-0.0063561-0.00035276i,-0.0021993+0.010024i,-0.001999+0.011927i,-0.0047872-0.002878i,-0.0025518+0.0044035i,-0.00017813-0.0011501i,0.0019772+0.0027638i,0.0013135-0.0032148i,-0.0038798+0.0054532i,-0.00038466-0.00084271i,-0.0047132+0.019144i,-0.0019995-0.0058921i,-0.013578+0.01985i,-0.023424+0.030583i,-0.022395-0.094187i,-0.010763-0.0087056i,-0.051464+0.023828i,-0.029035-0.0056611i,0.013535-0.00894i,-0.00049424+0.01501i,-0.032717-0.0047353i
-0.041036-0.014928i,-0.036855-0.040815i,-0.048636-0.036565i,-0.04584-0.010743i,-0.04073-0.020927i,-0.055429+0.022359i,-0.044777+0.029353i,-0.056852+0.0050422i,-0.038258-0.0056397i,0.0078545+0.0023514i,0.010908+0.010667i,0.012244+0.0035124i,0.013152-0.010159i,0.0084514+0.0072469i,0.0021258-0.0024482i,0.0061709-0.0012975i,0.027221-0.020882i,0.0030082-0.00089906i,-3.6786e-05+0.0076864i,0.00031941-0.0049545i,0.0021798+0.0040158i,0.0029951+0.0022324i,-0.0002995+0.0015018i,0.017453+0.012908i,-0.004017-0.00016833i,0.00090592-0.0057691i,0.00075521-0.0027706i,0.0026711-0.00016732i,-0.00013215-0.00030168i,-0.0047511+0.00060808i,-0.0047677-0.0025377i,-0.0037173+0.0029236i,-0.0047524+0.00080897i,-0.0019887-0.002793i,-0.002808-0.0038242i,0.01501+0.0049216i,-0.0018677-0.003576i,-0.00018494-0.0028067i,-9.7728e-05-0.0084532i,-0.0027741+0.00089113i,0.0021498+0.003232i,0.0018298-0.0016998i,0.0025489-0.003907i,0.0029435+0.0077784i,0.00068305-0.035523i,0.041579-0.010126i,-0.025904-0.08753i,-0.037207-0.053371i,-0.021037-0.071699i,-0.024209-0.042195i,-0.024046-0.10404i,-0.058313-0.085691i,0.01816-0.096995i,-0.014799-0.060986i,0.0092228+0.0027215i,-0.0028377-0.0052998i,-0.021111-0.014536i,0.00046158-8.5922e-05i,-0.010872+0.0001883i,-0.015957-0.002228i,-0.039148+0.021014i,0.013834+0.011882i,-0.013789-0.0075497i,-0.0053019+0.0054438i,-0.0060539+0.0015612i,-0.018873+0.0085333i,0.0056566+0.0070261i,0.0098002-0.011413i,0.023018-0.006987i,0.0033416-0.0058281i,-0.0061014+0.0037435i,-0.001572+0.0060797i,0.0026461+0.018936i,-0.0039586+0.0062865i,-0.010875+0.037588i,-0.0070076+0.0011098i,0.00154+0.006998i,0.0044952+0.011138i,-0.0064462+0.0010162i,-0.0037425+0.001822i,-0.0013529-0.0013277i,0.0011096+0.0047164i,-0.0025429-0.0035646i,-0.003079+0.0030377i,-0.0032297+0.0017084i,0.0025778+0.021107i,-0.0050662-0.0037479i,-0.0047746+0.020313i,-0.016007+0.032822i,-0.036275-0.089226i,-0.005276-0.012421i,-0.040489+0.039474i,-0.031235+0.0047768i,0.0082039-0.013491i,0.0007374+0.0075109i,-0.031633-0.0014329i
-0.040445-0.0094158i,-0.043095-0.036382i,-0.05974-0.02643i,-0.046552-0.0046761i,-0.051489-0.015379i,-0.047167+0.032675i,-0.032131+0.031982i,-0.051248+0.014882i,-0.03612-0.001712i,0.0070876+0.0012209i,0.011177+0.0057988i,0.012247-0.0019368i,0.0064307-0.013376i,0.011864+0.0026993i,0.00021949-0.0028872i,0.0032562-0.0012011i,0.011731-0.025055i,0.0039811-0.0019129i,0.0049267+0.0065424i,-0.0014582-0.003583i,0.0040669+0.001953i,0.0029894+0.0011757i,0.0010507+0.0022521i,0.020947-0.00060926i,-0.002291+0.0021188i,-0.001613-0.0053656i,-0.00087395-0.0011123i,0.0030782-0.0020002i,-0.00011242-0.00060382i,-0.0028868+0.0035359i,-0.0048135-0.0014931i,-0.0026959+0.0035873i,-0.0044266+0.0028304i,-0.0028612-0.00097614i,-0.0025285-0.0024343i,0.016253+0.00065408i,-0.0032482-0.0029423i,-0.0020723-0.0027904i,-0.0034171-0.0082554i,-0.0045455-0.00062406i,0.0034737+0.002284i,0.001142-0.00022271i,0.00039258-0.0045922i,0.0040827+0.0066099i,-0.010723-0.04064i,0.032892-0.034368i,-0.028897-0.080873i,-0.041161-0.04627i,-0.030985-0.07162i,-0.026392-0.043495i,-0.053458-0.09489i,-0.077449-0.067911i,-0.0015363-0.1007i,-0.016707-0.046817i,0.01797+0.0055378i,-0.0066785-0.0026761i,-0.020305-0.0022431i,-0.0010542-0.00047386i,-0.01468+0.0041435i,-0.014516+0.0048506i,-0.029497+0.035646i,0.011693+0.0050684i,-0.012599+0.00045606i,-0.0070125+0.0050658i,-0.0031132+0.0050069i,-0.012408+0.015378i,0.0067347+0.0077309i,0.004438-0.018884i,0.012994-0.020793i,-0.0032606-0.0088389i,-0.0062643+0.0079493i,6.8985e-05+0.0058839i,0.0099405+0.01584i,0.00076427+0.0080569i,0.0051658+0.045545i,-0.0078167+0.0037225i,0.0017477+0.0054237i,0.008552+0.0061176i,-0.0045439+0.0068671i,-0.0054319+0.0044042i,-0.0035168-0.00087113i,0.0048213+0.0058312i,-0.0034899+0.0020756i,-0.005472+0.0032115i,-0.00058453+0.0065024i,0.0093167+0.017141i,-0.0070526-0.0021019i,0.00069453+0.017141i,-0.0059818+0.035681i,-0.042728-0.079561i,-0.01202-0.023217i,-0.016186+0.045238i,-0.026164+0.011921i,0.0057398-0.019778i,0.0002867+0.0016905i,-0.030374+0.0052846i
-0.039547-0.004601i,-0.053718-0.032744i,-0.066659-0.012881i,-0.044838+0.0031288i,-0.058968-0.0026127i,-0.037731+0.03891i,-0.022751+0.031553i,-0.044655+0.021502i,-0.036837+0.0026125i,0.0075476-0.00094675i,0.012995+0.0030058i,0.0084409-0.0067392i,-0.0010797-0.01208i,0.012192-0.0039875i,-0.0014005-0.0025429i,0.0018757+9.8565e-05i,-9.3273e-05-0.020999i,0.0025771-0.0043102i,0.0061604+0.0023153i,-0.0022114-0.0012407i,0.0039485-0.0003041i,0.004064+0.0011426i,0.0025651+0.0015878i,0.015832-0.010469i,0.00076383+0.00098085i,-0.0025174-0.0034385i,-0.00011539-0.0015455i,0.0019663-0.0035669i,6.0634e-05-0.00032839i,-0.00029849+0.0038964i,-0.005268-0.00066312i,-0.00086479+0.003943i,-0.0025212+0.0044498i,-0.0024368+0.00017488i,-0.003368-0.0030998i,0.014856-0.0047144i,-0.0035319-0.0012617i,-0.0029502-0.0014028i,-0.0071831-0.0046853i,-0.0074769+0.0017854i,0.0037382+0.00093817i,0.0025797-0.0007708i,-0.001457-0.0038729i,0.0051428+0.0029868i,-0.023701-0.038864i,0.013995-0.040696i,-0.036022-0.08293i,-0.039744-0.0389i,-0.038904-0.069044i,-0.035749-0.045909i,-0.072778-0.079026i,-0.083463-0.041968i,-0.026656-0.10181i,-0.009804-0.043245i,0.025396-0.00938i,-0.0076561+0.0015275i,-0.015035-0.00016726i,-0.0050744+0.00014634i,-0.012364+0.012991i,-0.011583+0.0077939i,-0.0089607+0.042345i,0.011304+0.0011828i,-0.011405+0.0020675i,-0.0041522+0.0069226i,-0.0013935+0.0043203i,-0.005103+0.019045i,0.010958+0.0047562i,-0.0082802-0.019658i,-0.0045726-0.021241i,-0.0062146-0.0016856i,-0.0025291+0.011401i,0.0032042+0.0049485i,0.015891+0.007799i,0.0040126+0.0049253i,0.025555+0.039021i,-0.003955+0.0067421i,0.002227+0.0033004i,0.009145+0.0009349i,0.00080664+0.0083936i,-0.0064901+0.0072396i,-0.0044621+0.0029582i,0.0087463+0.005432i,-0.0015889+0.0046773i,-0.0065341+0.0058347i,0.0031634+0.0066305i,0.012429+0.011548i,-0.0066379+0.00075003i,0.0062385+0.012605i,0.0051245+0.032853i,-0.049719-0.076344i,-0.02762-0.021423i,0.0012737+0.036239i,-0.022201+0.01557i,-0.0037178-0.026819i,-0.0031279-0.0027273i,-0.022147+0.0084203i
-0.038941-0.00046749i,-0.063295-0.020388i,-0.069585+0.0025321i,-0.041685+0.0076458i,-0.058672+0.012143i,-0.029533+0.042965i,-0.015857+0.030061i,-0.038377+0.025965i,-0.0353+0.010173i,0.0069935-0.003259i,0.013179-0.0044369i,0.0027609-0.0073484i,-0.0046606-0.0076076i,0.0077179-0.0083781i,-0.0027817-0.0018311i,0.0029904+0.00016706i,-0.0063732-0.01426i,-0.00029244-0.0044093i,0.0045437-7.6115e-05i,-0.0016076+0.00030573i,0.002268-0.001036i,0.0044152-0.00045345i,0.002885+0.00037409i,0.0084561-0.014901i,3.7525e-05-0.00084949i,-0.0024704-0.0026224i,-0.00033954-0.0018425i,0.00036944-0.0033778i,0.0011106-0.00024342i,0.0010642+0.0029362i,-0.0058248+0.00055739i,0.00066541+0.0034814i,-0.00023492+0.0048828i,-0.002219+0.00041766i,-0.0048026-0.00025798i,0.011602-0.0089392i,-0.0029611-0.00027829i,-0.002467+0.00017484i,-0.0065814-0.0014035i,-0.0065682+0.005924i,0.0036636+3.8349e-05i,0.0030905-0.0016984i,-0.0027082-0.002938i,0.0029131+5.5792e-05i,-0.032441-0.031117i,0.0054646-0.031784i,-0.047684-0.08304i,-0.037236-0.037085i,-0.04758-0.065253i,-0.04606-0.040531i,-0.088586-0.062256i,-0.076818-0.022441i,-0.055058-0.087697i,-0.0073088-0.048499i,0.022332-0.02192i,-0.0058809+0.0041499i,-0.013465+0.0038866i,-0.0079219+0.0053208i,-0.0044081+0.01857i,-0.00749+0.011386i,0.01035+0.035727i,0.0091839-0.004609i,-0.011932+0.0048947i,-0.0032585+0.0054671i,0.00093387+0.0048019i,0.0032192+0.016053i,0.01158-0.0028879i,-0.01753-0.010084i,-0.014796-0.010966i,-0.0035466+0.0023265i,0.0037563+0.01116i,0.0039704+0.0025256i,0.018071+0.00030063i,0.006489+0.0039786i,0.038163+0.024176i,-0.0011313+0.0053628i,0.00082084+0.0036426i,0.0071189-0.0042896i,0.0054389+0.0056526i,-0.0047964+0.013614i,-0.0015197+0.0073209i,0.012631+0.00039506i,0.0027691+0.0048477i,-0.0054666+0.0093978i,0.0054872+0.0041051i,0.013419+0.006829i,-0.0064884+0.0023042i,0.0080394+0.0069881i,0.012128+0.026711i,-0.058244-0.069798i,-0.035281-0.0083412i,0.011124+0.023689i,-0.010369+0.021165i,-0.01637-0.026323i,-0.010493-0.0028747i,-0.019897+0.003604i
-0.038453+0.0042309i,-0.064847-0.0050392i,-0.066562+0.019596i,-0.039939+0.012259i,-0.052964+0.023849i,-0.020689+0.046321i,-0.010513+0.02765i,-0.033381+0.02946i,-0.029445+0.016049i,0.0052818-0.0056282i,0.0071536-0.0095079i,0.00031915-0.0048743i,-0.0052035-0.0041065i,0.0031238-0.0098965i,-0.003963-0.00025457i,0.0026796-0.0012244i,-0.0068104-0.0081941i,-0.0015671-0.0031613i,0.0032984-0.00034172i,-0.00046475+0.00097931i,0.0022751-9.0536e-05i,0.0040972-0.0015937i,0.0030168-0.00048643i,0.0020295-0.015046i,-0.0011577-0.0010334i,-0.003047-0.0028623i,-0.00063396-0.0017991i,-0.00066025-0.0032072i,0.0009755-0.0014462i,0.0021757+0.0023078i,-0.005674+0.0019134i,0.0017883+0.0025591i,0.0016068+0.0037518i,-0.0022544+0.0016799i,-0.003659+0.00056635i,0.0066387-0.011874i,-0.002152+0.00036217i,-0.0017736+0.00097339i,-0.0072428+0.00088076i,-0.0038933+0.0082127i,0.0034052-0.00096909i,0.0019748-0.00264i,-0.0033344-0.0018076i,-0.00088601+0.00012218i,-0.037617-0.021686i,0.01295-0.025833i,-0.063177-0.079253i,-0.038363-0.038337i,-0.054194-0.059362i,-0.052429-0.032023i,-0.099852-0.039451i,-0.071402-0.012673i,-0.063826-0.060481i,-0.010949-0.052974i,0.01364-0.032434i,-0.0043189+0.0048316i,-0.0093834+0.0036065i,-0.0036709+0.011187i,0.0038036+0.017341i,0.0012144+0.010127i,0.018171+0.022061i,0.0046841-0.006888i,-0.010459+0.0090832i,-0.0034207+0.0054309i,0.0019456+0.0028104i,0.0069911+0.011782i,0.0052227-0.0054043i,-0.019512+0.00092284i,-0.016052-0.00096236i,0.00023242+0.0025173i,0.006638+0.0094055i,0.0026703+0.0012368i,0.014072-0.010877i,0.007257-0.00081255i,0.042482+0.0062297i,-0.00077226+0.0058855i,0.0029902+0.003263i,0.0018812-0.0066853i,0.006176+0.002385i,0.0017877+0.017408i,0.0046866+0.0054099i,0.010008-0.0051735i,0.0050354+0.0014308i,-0.00097178+0.013567i,0.0047848+0.0033276i,0.012621+0.0033719i,-0.0073238+0.0041166i,0.0048192+0.0041873i,0.01594+0.021577i,-0.064691-0.061675i,-0.032742+0.0051971i,0.012206+0.012096i,-0.00040248+0.014473i,-0.028259-0.01989i,-0.013303+0.0052514i,-0.023275+0.0051851i
-0.037539+0.0096582i,-0.061359+0.006237i,-0.057803+0.033676i,-0.038013+0.016895i,-0.045371+0.032429i,-0.011492+0.047864i,-0.0073119+0.025146i,-0.028314+0.033441i,-0.024185+0.018763i,0.0022625-0.0068337i,0.00060505-0.0089826i,-0.00043981-0.0038152i,-0.0043334-0.0024044i,-0.00099213-0.0095682i,-0.0037376+0.0018724i,0.0009653-0.0022658i,-0.0059534-0.0060773i,-0.0014854-0.0014729i,0.0031488-0.00084155i,0.00090827+0.0010607i,0.0036222-0.00077955i,0.0034403-0.0021941i,0.0028532-0.0013488i,-0.0028154-0.013251i,-0.0013887-0.00057913i,-0.0043139-0.0016074i,-0.0010125-0.0016614i,-0.0016979-0.003096i,0.00035077-0.0018857i,0.0031508+0.0008391i,-0.0050285+0.0036385i,0.002299+0.0013373i,0.0024973+0.0026144i,-0.001168+0.0025957i,-0.0038521+0.0016339i,0.0016458-0.010528i,-0.0020577+0.00015377i,-0.00068806+0.0012017i,-0.0055876+0.0047628i,-0.00012829+0.00954i,0.003005-0.0016395i,0.001973-0.0023856i,-0.0034339-0.00069095i,-0.0011581+0.0034599i,-0.037485-0.012553i,0.025987-0.035486i,-0.079711-0.067312i,-0.043083-0.03804i,-0.058481-0.053777i,-0.05694-0.023433i,-0.10054-0.016499i,-0.066856-0.0024072i,-0.058934-0.043781i,-0.016261-0.056704i,0.00066122-0.03724i,-0.0022547+0.0059778i,-0.0098843+0.0010881i,0.0027841+0.011414i,0.0089548+0.012265i,0.0049446+0.0029425i,0.017323+0.0097446i,2.2933e-05-0.0072264i,-0.0070527+0.012341i,-0.0036853+0.0064127i,0.0013997+0.0015239i,0.008456+0.0071847i,0.002709-0.003224i,-0.015444+0.010482i,-0.012317+0.0067489i,0.0015807+0.0013206i,0.010686+0.0065735i,0.002041+0.0010475i,0.0043459-0.014657i,0.0042098-0.0040643i,0.037964-0.0093019i,0.001386+0.0063508i,0.0020671+0.0019121i,-0.0020015-0.0049514i,0.0059099+0.00058127i,0.010245+0.016802i,0.0051553+0.0012352i,0.0070659-0.0072344i,0.0039293-0.00091172i,0.006175+0.013242i,0.0055149+0.0019484i,0.013075-0.0008534i,-0.0051988+0.0087863i,0.0049131+0.0036628i,0.018881+0.016656i,-0.070519-0.054628i,-0.025663+0.011406i,0.011498+0.0055182i,0.00034208+0.0060693i,-0.035688-0.0094608i,-0.0090009+0.0076419i,-0.022282+0.0088134i
-0.035014+0.014829i,-0.056151+0.014584i,-0.044698+0.042911i,-0.034388+0.022013i,-0.035904+0.037802i,-0.0025025+0.047648i,-0.0046886+0.023685i,-0.022202+0.036835i,-0.019398+0.020852i,-0.00083556-0.0068642i,-0.0030464-0.0061468i,-0.00035852-0.003324i,-0.0042676-0.001288i,-0.0045104-0.0076115i,-0.0029564+0.0032521i,-0.00090206-0.0021337i,-0.0073997-0.0057163i,-0.0012878-0.0011326i,0.002584-0.001502i,0.0017196+0.00022034i,0.0038502-0.0022694i,0.0034353-0.0027192i,0.0023674-0.0021683i,-0.0066395-0.011015i,-0.0016642-0.00033416i,-0.004396+0.00015583i,-0.0017977-0.0010653i,-0.0025836-0.0022313i,-0.00035356-0.0020155i,0.0024616-0.0011773i,-0.0035861+0.0054768i,0.0019579+0.000477i,0.003012+0.0013421i,0.00036974+0.002441i,-0.0029783+0.0031571i,-0.00030487-0.0079214i,-0.0018855+0.00052214i,0.00011048+0.00064466i,-0.0019006+0.0051397i,0.0044049+0.0086702i,0.0023358-0.0022288i,0.0018709-0.0027883i,-0.0034875+0.00016612i,0.00053272+0.0031142i,-0.034502-0.0075216i,0.025629-0.058831i,-0.090141-0.049141i,-0.047014-0.036395i,-0.06328-0.052376i,-0.058629-0.013933i,-0.097877+0.0010563i,-0.061347+0.0047571i,-0.054898-0.033406i,-0.024391-0.058676i,-0.013413-0.036952i,-0.00022495+0.005302i,-0.015422+0.0018553i,0.0073604+0.0075265i,0.010848+0.0068515i,0.0036685-0.0029927i,0.012857+0.0034509i,-0.004261-0.0069518i,-0.0024819+0.013682i,-0.0023246+0.0078802i,0.00086714+0.0013252i,0.0068006+0.0036428i,0.002372-0.0018792i,-0.0080116+0.014736i,-0.006237+0.010824i,0.0034405-0.00066736i,0.013183+0.00046092i,0.0016206+0.0014869i,-0.0032595-0.012036i,0.001061-0.004479i,0.029138-0.020105i,0.0040556+0.0058679i,0.0013724+0.0030423i,-0.0046052-0.0020092i,0.0052111-0.0022773i,0.017803+0.011609i,0.0038493-0.0015498i,0.0035918-0.0089313i,0.0024811-0.0022606i,0.01111+0.0089003i,0.0052787+0.0015535i,0.0096112-0.005804i,-0.0002193+0.010431i,0.0051986+0.001488i,0.022534+0.011925i,-0.076869-0.045501i,-0.018927+0.016363i,0.010387-0.00031865i,-0.0020411+0.0031836i,-0.037859+0.0018473i,-0.0070133+0.0069739i,-0.019813+0.011889i
