-0.023853-0.037677i,-0.01192-0.049822i,-0.018352-0.044612i,-0.0312-0.035701i,-0.030023-0.016044i,-0.050522-0.02739i,-0.057925-0.025302i,-0.044368-0.037253i,-0.026996-0.032734i,0.0080871+0.011566i,-0.0059688+0.015526i,-0.0046547+0.014238i,0.010167+0.020519i,0.00053931+0.0044168i,0.0033936+0.0034621i,0.0065393+0.017394i,0.023247+0.039776i,-0.0023698-0.0014944i,-0.004929-0.0056185i,0.0072682+0.0029876i,-0.00013469-0.00079739i,-0.00085206+0.001634i,0.00013157-0.00038138i,-0.029246-0.0025337i,-0.0021056-0.0063752i,0.00094416+0.004388i,0.0032174-0.0001031i,-0.00033602+0.00068373i,0.00057807-0.000468i,-0.0007898-0.0025512i,-0.0016614-0.0060459i,-0.0046004-0.004203i,-0.0025719-0.0048513i,0.0023978-0.00028573i,0.001931-0.0030172i,-0.00019335+0.026624i,0.0016678-0.0032977i,0.0027692+0.00086123i,0.0054343+0.00099846i,-0.010493-0.0025278i,-0.0036391+0.00022406i,0.0055019-0.00049847i,0.0059267-0.00014275i,-0.0036643+0.0050519i,0.001337-0.0094138i,-0.012021+0.018092i,0.035046-0.091105i,0.012391-0.07047i,-0.016084-0.059377i,-0.016603-0.055267i,0.039248-0.046064i,0.016871-0.062589i,0.034096-0.055404i,0.030499-0.059954i,0.015461-0.013762i,0.0043111+0.016364i,0.016583-0.026399i,-0.011277+0.0061133i,-0.000654+0.0052287i,-0.0051306-0.0013237i,-0.0018473-0.028508i,-0.024308+0.031311i,0.0098821-0.011523i,-0.013159-0.0020972i,-1.1789e-05-0.0049434i,-0.0011358-0.016269i,-0.0074574+0.0045959i,0.0050547+0.0063012i,-0.0083244+0.030248i,0.0051696+0.0061508i,-0.0049487-0.00060567i,-0.0031157-0.00038592i,-0.012494-0.0074555i,-0.00077279-0.0042466i,-0.025199+0.0029566i,0.00030469-0.010047i,-0.0097503-0.0011816i,-0.0066566-0.0026462i,0.0070471+0.0029457i,-0.0080206+0.0011676i,-3.8582e-05+0.00080497i,0.0069601+0.010869i,0.0038534+0.0013947i,-0.0094407-0.009853i,0.003087+0.0082232i,-0.020524+0.0062157i,0.0084153+0.00061816i,-0.029087-0.0034545i,-0.042114+0.0022054i,0.018421-0.09586i,-0.0020443-0.012091i,-0.053411-0.022285i,-0.02357+0.00018275i,0.017915+0.010389i,-0.025587+0.012967i,-0.018355-0.013263i
-0.031173-0.034004i,-0.018689-0.042707i,-0.025195-0.042513i,-0.038481-0.031964i,-0.028229-0.01618i,-0.057014-0.015966i,-0.059917-0.01393i,-0.049441-0.029344i,-0.031453-0.027227i,0.008131+0.0077222i,-0.0036635+0.013567i,0.0020896+0.016052i,0.017557+0.014011i,-0.00020894+0.0059034i,0.0040271+0.0020398i,0.010024+0.01212i,0.03118+0.028048i,-0.0011574+0.001742i,-0.0063064-0.0013142i,0.0063606-0.0022818i,-0.0010291+0.00056905i,-0.00080657+0.002601i,-0.00019273-9.2381e-05i,-0.017703+0.011218i,-0.0039208-0.004151i,0.0045059+0.0012224i,0.0028956-0.00027081i,0.00067231+0.0018329i,0.00088944-0.00091723i,-0.001775-0.0028681i,-0.002137-0.0046975i,-0.005273-0.0026156i,-0.0037112-0.0040195i,0.0021079-0.0016254i,0.0011855-0.0019454i,0.0082447+0.023046i,0.00087049-0.0039943i,0.0024145-0.00031823i,0.0075853-0.0012906i,-0.0079329-0.0002668i,-0.0032462+0.0027617i,0.0062972-0.001191i,0.0050101-0.0013647i,-0.0054121+0.0069677i,0.0050837-0.01241i,0.0029764+0.023365i,0.017718-0.096845i,-0.0054833-0.07729i,-0.012372-0.055133i,-0.020397-0.044989i,0.033636-0.065008i,0.013239-0.080929i,0.034913-0.054994i,0.018526-0.068802i,0.00602-0.0065108i,0.0068204+0.0054317i,0.0055166-0.027411i,-0.0078255+0.0121i,-0.00034642-0.0032158i,-0.0053915-0.0013882i,-0.023037-0.026925i,-0.010249+0.029519i,0.003867-0.015399i,-0.01359+0.0013147i,-0.0013636-0.0044332i,-0.0088664-0.014369i,-0.007837+0.0088099i,0.0082157+0.0057562i,0.010581+0.026802i,0.0061899+0.0011223i,-0.0040621+0.0020431i,-0.004486-4.0799e-06i,-0.016415+0.0015057i,-0.001031-0.0029116i,-0.026114+0.01718i,-0.0049032-0.0069742i,-0.0095249+0.0033554i,-0.0080503+0.0015536i,0.0056009-0.0033018i,-0.0074803+0.0030724i,0.0011565-0.00056005i,0.0053198+0.0040338i,0.0037249+0.00039491i,-0.013632-0.0017553i,0.003663+0.0044824i,-0.014609+0.013351i,0.0065575-0.0036593i,-0.027727+0.0082356i,-0.040731+0.013388i,0.00026932-0.09684i,-0.0059338-0.015306i,-0.059347-0.007234i,-0.016966-0.002554i,0.01789+0.0047478i,-0.019569+0.019847i,-0.027435-0.017662i
-0.035889-0.028075i,-0.021599-0.041736i,-0.030723-0.040952i,-0.044248-0.024386i,-0.02876-0.017905i,-0.060297-0.0036405i,-0.062463-0.00086993i,-0.05488-0.020484i,-0.036057-0.021822i,0.0079814+0.0052821i,-0.00081066+0.015807i,0.0087299+0.012721i,0.019786+0.0046473i,0.0013181+0.0069641i,0.0044063+0.00090252i,0.010931+0.0066432i,0.037542+0.01608i,0.001494+0.0022289i,-0.0047947+0.002189i,0.0048915-0.0041683i,-0.0012885+0.0018578i,-0.00039162+0.0038745i,-0.00018281+0.00020297i,-0.0072498+0.015504i,-0.0035178-0.0023399i,0.0050384-0.0023467i,0.0025834-0.001453i,0.0023161+0.0016013i,3.781e-05-0.0012951i,-0.002601-0.0022093i,-0.0027453-0.0042163i,-0.0059679-0.00043315i,-0.0048677-0.0025877i,0.0011605-0.0026475i,0.0021721-0.0041353i,0.014896+0.016821i,-0.00033756-0.0037777i,0.0021098-0.0012254i,0.0071337-0.0060167i,-0.0075876+0.0013303i,-0.0015176+0.0043296i,0.0059952-0.0018863i,0.0049894-0.0021626i,-0.0032387+0.009753i,0.005297-0.019669i,0.019112+0.019291i,0.00078933-0.098441i,-0.023369-0.072355i,-0.0079544-0.061163i,-0.019145-0.043591i,0.022536-0.08034i,-0.0075151-0.096149i,0.0404-0.062091i,0.0047401-0.06867i,0.0055967-0.0026753i,0.0053987+0.0010473i,-0.0030266-0.028308i,0.0027946+0.010541i,-0.0077286-0.0053169i,-0.0043368-0.0032827i,-0.037321-0.015152i,-0.0010606+0.028184i,-0.0032072-0.015134i,-0.011402+0.004553i,-0.0040182-0.0037797i,-0.015989-0.0095515i,-0.0026796+0.014213i,0.011833+0.00030852i,0.02017+0.016015i,0.0055526-0.00040341i,-0.0032985+0.0016751i,-0.0044261+0.0016478i,-0.012397+0.01117i,-0.0040774-0.002248i,-0.024129+0.030329i,-0.0061998-0.0029459i,-0.0073698+0.0074849i,-0.0078834+0.0076237i,8.3102e-05-0.0054139i,-0.0055424+0.0051082i,0.00031309-0.0013538i,0.002772+0.0028934i,0.0037312-0.0015008i,-0.0088656+0.0054717i,0.0030481+0.0016573i,-0.0080647+0.015942i,0.0027123-0.0066764i,-0.021785+0.016086i,-0.034005+0.025713i,-0.012487-0.09611i,-0.012502-0.013631i,-0.057979+0.0075824i,-0.02142-0.008822i,0.016602-0.002627i,-0.0088969+0.020795i,-0.032847-0.01157i
-0.03873-0.021787i,-0.027666-0.043313i,-0.037995-0.040008i,-0.045443-0.016292i,-0.032333-0.020419i,-0.059324+0.0099803i,-0.059067+0.018037i,-0.058765-0.0080772i,-0.039979-0.013488i,0.0077134+0.0033816i,0.0053305+0.016025i,0.011313+0.0071737i,0.018178-0.0036923i,0.003962+0.0080176i,0.0037434-0.0011331i,0.0097319+0.0010739i,0.038874-0.00025856i,0.0027286+0.00059974i,-0.0037347+0.0045831i,0.0023066-0.0051394i,0.00026506+0.0034459i,0.0021049+0.0041206i,-0.00034951+0.00063562i,0.0023931+0.018559i,-0.0035207-0.001984i,0.0029254-0.0051841i,0.002021-0.0019092i,0.0024358-0.00029004i,-0.00034219-0.00061859i,-0.0039979-0.0015338i,-0.0033598-0.0035098i,-0.0053312+0.0015891i,-0.0053455-0.0008778i,5.7249e-06-0.0032316i,-0.0011332-0.0052937i,0.015443+0.0095041i,-0.001514-0.0037174i,0.0014509-0.0021429i,0.0035637-0.0089246i,-0.0047533+0.003968i,0.0005688+0.0045763i,0.0041398-0.0030295i,0.0041237-0.0040777i,0.00046444+0.0096307i,0.0049134-0.025669i,0.032714+0.0084546i,-0.015585-0.095182i,-0.032382-0.062539i,-0.013885-0.067246i,-0.021335-0.043529i,0.0050305-0.095994i,-0.03506-0.096374i,0.037786-0.081846i,-0.0043462-0.065807i,0.0064386-0.00017964i,0.0021844-0.0036081i,-0.014815-0.023375i,0.0037659+0.0028316i,-0.009823-0.0014901i,-0.00882-0.0059143i,-0.043108+0.0034074i,0.010121+0.022605i,-0.0088991-0.012809i,-0.0077075+0.0051826i,-0.0054266-0.0014448i,-0.019706-0.0016138i,0.0050688+0.012233i,0.012497-0.0058351i,0.017568+0.00010006i,0.005494-0.0026292i,-0.0042174+0.0014993i,-0.0039794+0.0038253i,-0.0062076+0.017223i,-0.0056982+0.0018479i,-0.013309+0.041082i,-0.0062783-0.00031742i,-0.0022391+0.0099796i,-0.0017225+0.011743i,-0.0049524-0.0029296i,-0.0023271+0.0042489i,0.00011299-0.001112i,0.0019952+0.0028968i,0.0012023-0.0036534i,-0.0034961+0.0046641i,-0.0001916-0.00065183i,-0.0039406+0.017791i,-0.0018233-0.0060785i,-0.013324+0.020466i,-0.023637+0.02982i,-0.024069-0.095035i,-0.01052-0.0081603i,-0.051986+0.023303i,-0.029011-0.0057824i,0.013507-0.0085947i,-0.00018092+0.015398i,-0.032742-0.0043339i
-0.040243-0.015316i,-0.037531-0.040452i,-0.04851-0.036819i,-0.045677-0.010175i,-0.040472-0.02099i,-0.055216+0.022209i,-0.044685+0.029311i,-0.056152+0.0046115i,-0.037684-0.0051779i,0.0073025+0.0017942i,0.0108+0.011132i,0.012182+0.0033786i,0.013055-0.0097312i,0.0083986+0.0064827i,0.0022628-0.0025737i,0.0061715-0.0013317i,0.028153-0.017243i,0.0025792-0.00067917i,6.7069e-05+0.0082795i,0.00025888-0.0046747i,0.0018699+0.0039339i,0.0030683+0.002248i,-0.00027393+0.0014864i,0.013726+0.013527i,-0.0043224+3.8188e-05i,0.00037771-0.006337i,0.00084054-0.0023814i,0.0032519-0.00057313i,-9.484e-05-0.00028704i,-0.0047936+0.00090956i,-0.0043959-0.0023958i,-0.0039086+0.0033157i,-0.0046892+0.0010806i,-0.001753-0.0030134i,-0.0029492-0.0034927i,0.016136+0.0063545i,-0.0022649-0.0034197i,3.202e-05-0.0027197i,0.00059024-0.0085427i,-0.0027001+0.0016711i,0.0020762+0.0045333i,0.0016701-0.0018715i,0.0026125-0.0053607i,0.0021653+0.0079688i,8.9676e-05-0.035933i,0.042013-0.0094195i,-0.025879-0.087169i,-0.037076-0.053625i,-0.021073-0.071533i,-0.024069-0.042187i,-0.023251-0.10459i,-0.057776-0.085563i,0.018131-0.09708i,-0.015099-0.060002i,0.00965+0.0023697i,-0.0026797-0.0052861i,-0.019018-0.0073183i,0.00045107-0.00034852i,-0.010889+7.6505e-05i,-0.016072-0.0022123i,-0.038922+0.019438i,0.013813+0.011786i,-0.01391-0.007833i,-0.0054665+0.0050414i,-0.0060235+0.0016819i,-0.018692+0.00824i,0.0056129+0.0069415i,0.010105-0.011361i,0.022726-0.0083895i,0.0036671-0.0060814i,-0.0064254+0.0038894i,-0.0016894+0.0060792i,0.0026472+0.018552i,-0.0041718+0.0062547i,-0.0069838+0.045539i,-0.0070719+0.0010313i,0.0018175+0.0069122i,0.0045544+0.010797i,-0.0062097+0.0011253i,-0.0037857+0.0016817i,-0.001176-0.0013832i,0.0010515+0.004853i,-0.0028009-0.0029806i,-0.0030955+0.0024173i,-0.0030721+0.0016718i,0.0038341+0.019252i,-0.0049359-0.004362i,-0.0042004+0.020677i,-0.015448+0.032565i,-0.037063-0.089917i,-0.0049412-0.012145i,-0.04042+0.039042i,-0.031715+0.0047068i,0.0082703-0.012737i,0.0010911+0.0077874i,-0.0313-0.00051831i
-0.03981-0.0098598i,-0.043476-0.036028i,-0.059716-0.026488i,-0.046429-0.0043312i,-0.051266-0.015491i,-0.04704+0.032489i,-0.032078+0.031965i,-0.050788+0.01452i,-0.035781-0.0014466i,0.0063613+0.00082848i,0.011314+0.0062428i,0.012139-0.0019894i,0.0065655-0.012968i,0.011377+0.0018481i,0.00025819-0.0030058i,0.0032878-0.0011968i,0.013563-0.022421i,0.0035031-0.0014577i,0.0052868+0.0070574i,-0.0013156-0.0033405i,0.0037797+0.0021607i,0.0030583+0.0010627i,0.001053+0.0022094i,0.020831+0.0019614i,-0.0023891+0.002532i,-0.0025981-0.0068182i,-0.00054453-0.00089891i,0.0031929-0.0019406i,-7.0866e-05-0.00053828i,-0.0027765+0.0036909i,-0.0044417-0.0015369i,-0.0027867+0.0038719i,-0.0043846+0.0030529i,-0.002964-0.0011059i,-0.0025087-0.0021636i,0.017641+0.0016841i,-0.0034838-0.0027097i,-0.0019619-0.0028392i,-0.0022867-0.0084292i,-0.0043642+0.00028936i,0.0058205+0.0018688i,0.0010714+6.1846e-05i,-3.5873e-05-0.005907i,0.0036594+0.0069954i,-0.011601-0.040903i,0.033513-0.034044i,-0.028738-0.080405i,-0.04111-0.046226i,-0.031054-0.071515i,-0.026176-0.043597i,-0.052758-0.09579i,-0.076795-0.067789i,-0.0021673-0.10133i,-0.016395-0.045927i,0.018768+0.0054275i,-0.0064794-0.0027043i,-0.021885+0.0016112i,-0.0011625-0.00077174i,-0.014914+0.0040724i,-0.014625+0.0048583i,-0.029737+0.034698i,0.011758+0.0049727i,-0.013125+0.00026382i,-0.0067847+0.0046607i,-0.0030659+0.0051412i,-0.012442+0.015157i,0.0066014+0.0078469i,0.0046291-0.018847i,0.013685-0.021321i,-0.0028695-0.0089944i,-0.0066857+0.0084212i,0.00015935+0.0058622i,0.010091+0.015597i,0.00059212+0.0081183i,0.0056815+0.047941i,-0.0081045+0.0036259i,0.0020248+0.0052896i,0.0088576+0.0058937i,-0.0044956+0.0065313i,-0.0058302+0.004423i,-0.0035174-0.00093126i,0.0045903+0.0060322i,-0.0031411+0.0020938i,-0.005415+0.0029352i,-0.00045782+0.0065138i,0.0098996+0.015616i,-0.0068185-0.0028647i,0.0012056+0.017133i,-0.0060372+0.035337i,-0.04365-0.079753i,-0.011842-0.023144i,-0.016416+0.044743i,-0.026288+0.012136i,0.0064641-0.017839i,0.00042662+0.0016926i,-0.03037+0.0053708i
-0.039004-0.005196i,-0.053869-0.032219i,-0.066613-0.012889i,-0.044737+0.0036303i,-0.058774-0.0026089i,-0.037587+0.03879i,-0.022707+0.031605i,-0.044518+0.021045i,-0.036361+0.0029656i,0.0068644-0.00098171i,0.013266+0.0031994i,0.0083336-0.0069272i,-0.00087681-0.011929i,0.011437-0.004386i,-0.001322-0.0025078i,0.0018896+0.00010635i,0.0018357-0.019364i,0.0023235-0.0035769i,0.0067845+0.0028696i,-0.0021184-0.0011623i,0.0040275-3.2079e-05i,0.0040134+0.0010071i,0.0025718+0.001518i,0.01654-0.009293i,0.00098733+0.0011048i,-0.0030646-0.0035126i,-6.7858e-05-0.0012724i,0.0026287-0.0032572i,-1.7056e-05-0.00036234i,-0.00022683+0.0039786i,-0.0047454-0.0009455i,-0.00099751+0.0043964i,-0.002063+0.0044647i,-0.0026012+0.00011835i,-0.003459-0.0027472i,0.016834-0.0042266i,-0.0036417-0.00092005i,-0.0028383-0.001468i,-0.0043519-0.004378i,-0.0067616+0.002741i,0.0043977+0.00054981i,0.0026461-0.00045378i,-0.0023357-0.0049525i,0.0049024+0.003455i,-0.024676-0.038959i,0.014535-0.040782i,-0.035871-0.08267i,-0.039712-0.038543i,-0.039097-0.068811i,-0.03553-0.046218i,-0.072307-0.079807i,-0.083112-0.042007i,-0.027529-0.10125i,-0.0095055-0.042576i,0.026503-0.0092256i,-0.0076371+0.0014989i,-0.015554+0.00072782i,-0.0053279-3.969e-05i,-0.01254+0.013151i,-0.011835+0.0077508i,-0.0094085+0.041177i,0.011483+0.0010661i,-0.012037+0.0019574i,-0.0038475+0.0066924i,-0.0013459+0.0044038i,-0.004829+0.019015i,0.010897+0.0050184i,-0.0081861-0.019551i,-0.0039764-0.022198i,-0.0059177-0.0019386i,-0.0026918+0.011795i,0.0031071+0.0048778i,0.015918+0.0079009i,0.0039072+0.0049783i,0.025533+0.039012i,-0.0042751+0.0064487i,0.0022566+0.0033701i,0.0094268+0.00045182i,0.00043674+0.0080611i,-0.0069592+0.0074414i,-0.0046261+0.0031167i,0.0084016+0.0051991i,-0.0013549+0.0046317i,-0.0066899+0.0057728i,0.0034768+0.0064738i,0.01155+0.01018i,-0.0067825+0.00029121i,0.0064755+0.012369i,0.0053227+0.033177i,-0.050495-0.075692i,-0.027682-0.021375i,0.00095201+0.035774i,-0.022321+0.015695i,-0.0040256-0.028392i,-0.0032225-0.0025393i,-0.021966+0.008402i
-0.038499-0.0011401i,-0.063129-0.019855i,-0.069519+0.0028493i,-0.041417+0.0080747i,-0.058342+0.012191i,-0.029376+0.042899i,-0.015807+0.030149i,-0.038279+0.025777i,-0.034755+0.010391i,0.0063415-0.0031254i,0.013591-0.0046694i,0.0026198-0.0074412i,-0.0044573-0.0075811i,0.0071509-0.0082385i,-0.0026657-0.0018463i,0.0029403+0.00016801i,-0.0041616-0.013431i,-8.3851e-05-0.0037656i,0.0052485+0.00047492i,-0.0014774+0.00028928i,0.002358-0.00090542i,0.0042591-0.00037343i,0.0028849+0.0002886i,0.0092721-0.014369i,0.00011841-0.00088912i,-0.0031003-0.0027633i,-0.00021245-0.0014737i,0.00027063-0.0034995i,0.00097147-0.00019781i,0.0011555+0.0029855i,-0.0052959-5.6725e-05i,0.00090103+0.0038809i,2.1953e-05+0.0045165i,-0.0025213+0.00036953i,-0.004563+7.0157e-05i,0.013445-0.010358i,-0.0030358-0.00018706i,-0.0023764+8.7221e-05i,-0.0065635+0.0018292i,-0.0053567+0.0064561i,0.0039095-0.00035365i,0.0035505-0.0012173i,-0.004059-0.0042413i,0.0027592+0.00018194i,-0.033658-0.030739i,0.0063535-0.031206i,-0.047381-0.082871i,-0.037006-0.036977i,-0.047405-0.064842i,-0.045998-0.040799i,-0.088312-0.062776i,-0.076616-0.022533i,-0.055457-0.086506i,-0.0068835-0.047857i,0.023722-0.022713i,-0.0059461+0.0040847i,-0.013313+0.004294i,-0.0082494+0.0051825i,-0.0042614+0.018699i,-0.0078629+0.011325i,0.009613+0.034265i,0.0093309-0.0045768i,-0.012352+0.0054399i,-0.0029174+0.0055168i,0.00092491+0.0047799i,0.0032989+0.015796i,0.011663-0.0026768i,-0.01755-0.010212i,-0.014797-0.011626i,-0.0033106+0.0020638i,0.0033999+0.011599i,0.003836+0.0025555i,0.018182+0.00033155i,0.0064236+0.0040676i,0.03807+0.023933i,-0.00164+0.0051019i,0.00090233+0.0036406i,0.0073855-0.004383i,0.0051505+0.0053758i,-0.0051219+0.01416i,-0.0016817+0.0074517i,0.012504+0.00041218i,0.0027222+0.0047648i,-0.0051917+0.01016i,0.0056009+0.0038269i,0.012231+0.0063808i,-0.0068167+0.0019889i,0.0082351+0.0067816i,0.012468+0.027177i,-0.059696-0.068536i,-0.035252-0.0080316i,0.010805+0.023232i,-0.010909+0.020987i,-0.016842-0.026775i,-0.010626-0.0026605i,-0.019801+0.0033018i
-0.038054+0.0032827i,-0.064519-0.0044416i,-0.065806+0.019733i,-0.039554+0.012504i,-0.052753+0.023905i,-0.020491+0.04623i,-0.010425+0.027685i,-0.033215+0.029228i,-0.02889+0.01601i,0.0044193-0.0052792i,0.0070366-0.010294i,0.00014396-0.0049715i,-0.005097-0.0041823i,0.0027728-0.0097309i,-0.0038138-0.00028615i,0.0025742-0.0011968i,-0.0048787-0.008291i,-0.0012579-0.0027342i,0.0035903+0.00036727i,-0.00047855+0.00094641i,0.0024173-4.4292e-05i,0.0039447-0.0015755i,0.0029916-0.00053548i,0.0026227-0.014733i,-0.00099313-0.0010166i,-0.0036972-0.0025143i,-0.00045408-0.0015996i,-0.00079215-0.0032748i,0.00089228-0.0013317i,0.0023+0.0023168i,-0.0054068+0.0010926i,0.002185+0.0026646i,0.0014356+0.0034868i,-0.0025117+0.0019111i,-0.0033057+0.00073675i,0.0062867-0.014112i,-0.0023536+0.00034394i,-0.0016367+0.00087265i,-0.0074494+0.002357i,-0.0025586+0.0080925i,0.0034819-0.0013767i,0.0027183-0.0026581i,-0.0021583-0.00076574i,-0.0014865+0.00021803i,-0.038846-0.020823i,0.013899-0.025595i,-0.062636-0.079447i,-0.038283-0.038189i,-0.053725-0.058943i,-0.052343-0.032344i,-0.099694-0.040144i,-0.07106-0.0128i,-0.0638-0.059524i,-0.010577-0.052479i,0.015128-0.034113i,-0.0044744+0.0051502i,-0.0093028+0.0039258i,-0.0040129+0.011237i,0.0040055+0.017531i,0.00096269+0.010212i,0.016738+0.021179i,0.0050526-0.0067121i,-0.010146+0.0098094i,-0.003069+0.0054698i,0.0018971+0.0027993i,0.0070629+0.011646i,0.0051168-0.0054027i,-0.019853+0.00094347i,-0.016265-0.0015621i,0.00023027+0.0021035i,0.0063197+0.01002i,0.0027242+0.0013367i,0.014017-0.010436i,0.007346-0.00094634i,0.043894+0.0056878i,-0.0011487+0.0057306i,0.0030875+0.0031613i,0.0022047-0.0069654i,0.0059553+0.0021425i,0.0021244+0.018178i,0.0045317+0.0054494i,0.0099552-0.0050676i,0.0050845+0.0013195i,0.00050711+0.015775i,0.0047185+0.0030299i,0.011938+0.0032121i,-0.0079754+0.004119i,0.0051144+0.0036928i,0.016293+0.021721i,-0.063642-0.060016i,-0.032278+0.0051255i,0.011971+0.011788i,-0.00072951+0.014566i,-0.028848-0.019981i,-0.013315+0.0055152i,-0.023468+0.00459i
-0.0374+0.0085029i,-0.060952+0.0067614i,-0.057331+0.033541i,-0.037821+0.017024i,-0.045139+0.032514i,-0.011253+0.047696i,-0.0071981+0.025168i,-0.028146+0.033151i,-0.023755+0.018648i,0.0015093-0.0061626i,2.7022e-05-0.009443i,-0.00058815-0.003848i,-0.0042044-0.0024581i,-0.0012428-0.0092666i,-0.0035795+0.0017871i,0.00089445-0.002123i,-0.0044286-0.006343i,-0.0012757-0.0011359i,0.0029124-0.00021135i,0.00090962+0.0010793i,0.0037923-0.00072764i,0.0033157-0.0021401i,0.0027955-0.0013598i,-0.0023892-0.013174i,-0.0012998-0.00062571i,-0.0039536-0.0012011i,-0.0010377-0.0017431i,-0.001824-0.0031987i,0.00021607-0.0017043i,0.0032248+0.00089524i,-0.0050836+0.0028706i,0.0026508+0.0012339i,0.0022979+0.0024181i,-0.0013393+0.0026984i,-0.003472+0.0016994i,0.00036843-0.010804i,-0.002478+0.00013225i,-0.00062229+0.0010887i,-0.0050027+0.0055358i,0.0010064+0.0085824i,0.0028041-0.0018851i,0.0034294-0.002652i,-0.0036785+9.4095e-05i,-0.0019422+0.0038207i,-0.038167-0.011391i,0.026639-0.035438i,-0.079588-0.068089i,-0.042795-0.037847i,-0.058003-0.053627i,-0.056918-0.023669i,-0.10051-0.017065i,-0.066469-0.0024551i,-0.058868-0.043074i,-0.015583-0.056391i,0.00073567-0.039986i,-0.0019869+0.0060178i,-0.0099175+0.0015119i,0.0025499+0.01162i,0.0089906+0.0126i,0.0048069+0.0030574i,0.016597+0.0094987i,0.00062592-0.0072439i,-0.0065192+0.012588i,-0.0034174+0.0065595i,0.0014154+0.0015518i,0.0084534+0.007042i,0.002559-0.0031813i,-0.015608+0.010522i,-0.012801+0.0066092i,0.0014606+0.0011688i,0.010575+0.0072316i,0.0021079+0.0009589i,0.0043164-0.01398i,0.0041754-0.0041685i,0.039549-0.011259i,0.0010385+0.0063175i,0.0021541+0.0017188i,-0.0017828-0.0050779i,0.0057578+0.00032516i,0.011387+0.017358i,0.0050269+0.0012668i,0.0068724-0.0072572i,0.0039555-0.0010542i,0.0077766+0.0147i,0.0052626+0.0015346i,0.012584-0.0010012i,-0.0056804+0.0090734i,0.0050243+0.0031307i,0.018789+0.016825i,-0.069987-0.054817i,-0.025074+0.011314i,0.011071+0.0051278i,4.4687e-05+0.0062383i,-0.035647-0.0088856i,-0.0091598+0.007934i,-0.022911+0.0081766i
-0.035343+0.013569i,-0.05561+0.015235i,-0.04466+0.042581i,-0.034122+0.022214i,-0.035673+0.037857i,-0.0023046+0.047451i,-0.0045546+0.023655i,-0.021953+0.036333i,-0.019024+0.020813i,-0.0014884-0.0060523i,-0.0035334-0.0058837i,-0.00048888-0.0034913i,-0.0042623-0.0014073i,-0.0045866-0.0073758i,-0.0028229+0.0031135i,-0.00085504-0.0019532i,-0.0056564-0.0063921i,-0.00099656-0.00089405i,0.0025326-0.00096711i,0.0018273+0.00018433i,0.0040571-0.0023704i,0.0032455-0.0026092i,0.002326-0.0021665i,-0.0062466-0.010944i,-0.0016983-0.00042716i,-0.003829+3.2268e-05i,-0.0020594-0.0010563i,-0.0027607-0.0021758i,-0.00045097-0.0018269i,0.0025675-0.0011568i,-0.0039369+0.0045352i,0.0021792+0.00038939i,0.0028262+0.0012377i,0.00025792+0.00249i,-0.0025603+0.0030787i,-0.00084855-0.0077159i,-0.0027388+0.0004206i,0.00012874+0.00056481i,-0.0014655+0.0051201i,0.0048237+0.0074557i,0.0021305-0.0024833i,0.0032194-0.0043574i,-0.0034581+0.0013265i,-0.00022334+0.0035899i,-0.034922-0.0063614i,0.025952-0.058414i,-0.090624-0.049761i,-0.046623-0.036298i,-0.062734-0.052418i,-0.058733-0.014126i,-0.097699+0.0007228i,-0.060755+0.0046641i,-0.054503-0.032818i,-0.023802-0.058521i,-0.015366-0.039819i,-0.00017657+0.0051701i,-0.015383+0.002383i,0.0072558+0.0077844i,0.010842+0.0073638i,0.0036242-0.0027829i,0.012372+0.0033168i,-0.003715-0.0070586i,-0.001956+0.013598i,-0.0015983+0.0079043i,0.00077401+0.0012941i,0.0064077+0.0034864i,0.0023204-0.0018962i,-0.0082268+0.014541i,-0.0066334+0.011152i,0.0032654-0.00081328i,0.013485+0.00087958i,0.0015768+0.0013764i,-0.0032552-0.011136i,0.0011102-0.0046551i,0.030446-0.022137i,0.0037243+0.0060006i,0.0014146+0.0028583i,-0.0046767-0.0021266i,0.005029-0.0024872i,0.019039+0.011276i,0.0037698-0.0015826i,0.0033431-0.0093934i,0.0024244-0.0022737i,0.011187+0.010671i,0.0049786+0.0011271i,0.0092689-0.0057391i,-0.00048869+0.010932i,0.0052972+0.0011203i,0.022457+0.011945i,-0.077263-0.045952i,-0.017636+0.015651i,0.0097679+0.00024928i,-0.0022851+0.0032976i,-0.037265+0.002554i,-0.0071949+0.0071999i,-0.020638+0.011639i
