-0.023902-0.037422i,-0.01155-0.050145i,-0.01779-0.044847i,-0.030532-0.035398i,-0.030032-0.016324i,-0.050443-0.0276i,-0.056782-0.027226i,-0.04347-0.036245i,-0.029583-0.032272i,0.008217+0.01234i,-0.0053194+0.015205i,-0.0047866+0.014451i,0.010015+0.021271i,0.00038392+0.004219i,0.0033722+0.003375i,0.0066343+0.018452i,0.019298+0.04122i,-0.0027622-0.0011025i,-0.0047359-0.0061598i,0.0071784+0.002732i,-0.00018045-0.0007483i,-0.0018495+0.0028111i,0.00010278-0.00024941i,-0.028936-0.0032842i,-0.0013896-0.0059429i,0.0015943+0.0046291i,0.0032137-0.00019113i,-0.00062066+0.00060807i,0.00063055-0.0004616i,-0.00072818-0.0026691i,-0.001941-0.00577i,-0.0045967-0.0049666i,-0.0022766-0.0045337i,0.0022141-0.00045314i,0.0020452-0.0029647i,-0.0012205+0.026637i,0.0012167-0.0031585i,0.0027137+0.00082686i,0.0057046+0.001013i,-0.010155-0.0024875i,-0.0037042+0.00019701i,0.0056097+0.00047004i,0.0059544-0.00026767i,-0.0036101+0.0047941i,0.0017998-0.0095426i,-0.011962+0.01783i,0.035869-0.090441i,0.01235-0.069939i,-0.015631-0.059992i,-0.015719-0.05617i,0.039596-0.045701i,0.017552-0.061857i,0.033214-0.055975i,0.030469-0.059371i,0.015754-0.013404i,0.0046507+0.016708i,0.016916-0.026548i,-0.011537+0.005404i,-0.00050641+0.005415i,-0.0052263-0.0016525i,-0.0023382-0.028832i,-0.02423+0.03149i,0.010114-0.011346i,-0.013022-0.0028077i,-0.00025694-0.0049813i,-0.00098726-0.015661i,-0.0081323+0.0044462i,0.0046933+0.0061564i,-0.0091518+0.029737i,0.0048798+0.0060795i,-0.0051621-0.00072472i,-0.0031375-0.00048664i,-0.012715-0.0087322i,-0.00097146-0.0039152i,-0.028299+0.0027136i,0.00018179-0.0099827i,-0.0095823-0.0016854i,-0.0067366-0.0024062i,0.006889+0.003256i,-0.0078833+0.0015624i,-0.00013982+0.00059068i,0.0072274+0.011702i,0.0037043+0.0014877i,-0.0093024-0.0099484i,0.0033001+0.0080741i,-0.021944+0.005612i,0.0082127+0.00034634i,-0.028819-0.003752i,-0.041236+0.0029272i,0.021257-0.097171i,-0.0020622-0.012379i,-0.051141-0.020469i,-0.023723-0.00043624i,0.018267+0.010631i,-0.024808+0.01308i,-0.019341-0.012951i
-0.030998-0.033753i,-0.018818-0.043338i,-0.024707-0.043097i,-0.037752-0.03231i,-0.028183-0.016284i,-0.057068-0.016209i,-0.060278-0.015829i,-0.048261-0.028911i,-0.033677-0.026881i,0.009063+0.0081999i,-0.0037673+0.012751i,0.0020378+0.016217i,0.017638+0.014435i,-0.00047076+0.0056054i,0.0039838+0.0019862i,0.010676+0.012654i,0.030005+0.029448i,-0.0010395+0.0021082i,-0.0063435-0.0017241i,0.0073653-0.0014891i,-0.0010279+0.00073954i,-0.0033168+0.0007494i,-0.00018+4.7408e-05i,-0.018157+0.010452i,-0.0034874-0.0041247i,0.0051827+0.0012949i,0.0025839-0.00027501i,0.00049034+0.0022338i,0.00095821-0.00094133i,-0.0019464-0.0028785i,-0.0021643-0.00464i,-0.0055838-0.0028111i,-0.0035013-0.0039647i,0.001789-0.0016897i,0.0013779-0.0019213i,0.0077659+0.023137i,0.00057077-0.003932i,0.0024304-0.00030421i,0.0078774-0.0013015i,-0.0081289-0.00019379i,-0.0032347+0.0027895i,0.005502-0.00036668i,0.0050667-0.0011298i,-0.0053224+0.0066697i,0.0055771-0.012368i,0.0033527+0.023067i,0.018451-0.096537i,-0.0054433-0.076763i,-0.012255-0.055285i,-0.019913-0.045868i,0.034246-0.064612i,0.01387-0.080597i,0.034447-0.055125i,0.019129-0.067999i,0.0056467-0.0060796i,0.0070684+0.005809i,0.0057311-0.027054i,-0.0073392+0.011854i,0.00018144-0.0034222i,-0.0054464-0.0016793i,-0.023903-0.027159i,-0.010047+0.029621i,0.0039677-0.014891i,-0.013225+0.0010952i,-0.0016977-0.0046305i,-0.0087224-0.013994i,-0.0083847+0.0088792i,0.0078675+0.0058735i,0.0096252+0.026847i,0.0062505+0.0017671i,-0.004298+0.0019454i,-0.0046149-5.8528e-06i,-0.019308+0.0017812i,-0.00076827-0.0025506i,-0.033029+0.0145i,-0.0052316-0.0070582i,-0.0097753+0.0031344i,-0.0079671+0.0017363i,0.0059923-0.0030807i,-0.0071873+0.0032008i,0.00078548-0.00069414i,0.0063808+0.0042551i,0.0032569+0.00041015i,-0.013513-0.0010476i,0.0039615+0.0044933i,-0.015694+0.01477i,0.0062668-0.0035398i,-0.027498+0.0075245i,-0.039438+0.015064i,0.0038042-0.097888i,-0.0061696-0.015425i,-0.056705-0.0080375i,-0.017855-0.0027013i,0.018106+0.0044004i,-0.019411+0.019201i,-0.027226-0.017108i
-0.035331-0.027533i,-0.022093-0.042199i,-0.030922-0.041377i,-0.043776-0.025343i,-0.02871-0.017917i,-0.06039-0.0037674i,-0.063473-0.0017148i,-0.053952-0.020461i,-0.037586-0.02121i,0.0086976+0.0049003i,-0.0013112+0.015463i,0.0087303+0.012948i,0.01994+0.0049379i,0.001005+0.0068046i,0.0043202+0.0010235i,0.011743+0.0064926i,0.036678+0.01688i,0.0017319+0.0021946i,-0.0051982+0.001993i,0.0054606-0.0038192i,-0.0011663+0.0020163i,-0.0021122+0.0029106i,-0.00012612+0.00024292i,-0.0081622+0.015274i,-0.0033175-0.0024525i,0.0051712-0.0028599i,0.0023379-0.0011669i,0.0024281+0.0018224i,5.108e-05-0.0014234i,-0.0025855-0.0023068i,-0.0029392-0.0043526i,-0.005837-0.00050443i,-0.004954-0.002306i,0.0009827-0.0025058i,0.0024088-0.0042398i,0.014309+0.016103i,-0.00052718-0.0037766i,0.0021532-0.0011581i,0.0073978-0.0061231i,-0.0077093+0.0019591i,-0.0015055+0.0044345i,0.0055342-0.0015277i,0.0049575-0.0020942i,-0.0037121+0.0092783i,0.00578-0.019869i,0.019475+0.018784i,0.0013827-0.098262i,-0.02289-0.072139i,-0.0073779-0.0608i,-0.018759-0.044302i,0.023396-0.080339i,-0.0066845-0.096146i,0.039769-0.062205i,0.0059418-0.068129i,0.0051355-0.0023176i,0.0055382+0.0010392i,-0.0022409-0.028172i,0.0025583+0.010362i,-0.0072132-0.0055679i,-0.0046348-0.0036056i,-0.0388-0.015092i,-0.00095748+0.028163i,-0.0029507-0.014762i,-0.010804+0.0048947i,-0.0042589-0.0040019i,-0.016443-0.0096091i,-0.0031651+0.014258i,0.011492+0.00045629i,0.018352+0.013766i,0.0055124-0.00043286i,-0.0035394+0.001673i,-0.0044887+0.0016815i,-0.014322+0.012262i,-0.0037406-0.0020063i,-0.024024+0.027469i,-0.0065391-0.0028401i,-0.0073351+0.0074387i,-0.0079017+0.0084367i,0.00041352-0.0055225i,-0.0054598+0.0048676i,0.00022559-0.001394i,0.0032168+0.0029097i,0.003199-0.00082926i,-0.0089248+0.0059544i,0.0033533+0.0017986i,-0.0089649+0.017373i,0.0024163-0.0061471i,-0.021861+0.015198i,-0.03361+0.023915i,-0.0090455-0.095873i,-0.012448-0.013653i,-0.057855+0.0066637i,-0.022059-0.0083081i,0.016617-0.0033404i,-0.0089775+0.01972i,-0.032128-0.011575i
-0.037842-0.02178i,-0.027937-0.043368i,-0.038273-0.039717i,-0.045339-0.017406i,-0.032136-0.020398i,-0.059572+0.010105i,-0.059651+0.017851i,-0.057989-0.0080546i,-0.040561-0.012744i,0.0078089+0.0030358i,0.0048853+0.015583i,0.011497+0.0073364i,0.018525-0.0035741i,0.0036972+0.0078712i,0.0037759-0.00082341i,0.0098973+0.00062557i,0.040036-0.0008591i,0.0028718+0.00030622i,-0.0037611+0.0047148i,0.002754-0.0050006i,0.00045249+0.0035573i,0.0015589+0.0042661i,-0.0003752+0.00060309i,0.0026557+0.01897i,-0.0033437-0.0021622i,0.002898-0.0051986i,0.001776-0.001884i,0.0023119-0.00032467i,-0.00039093-0.0007088i,-0.0041911-0.0018467i,-0.0035093-0.0035358i,-0.0052186+0.0013116i,-0.0053617-0.00048771i,-0.0001706-0.0032296i,-0.00081934-0.0053639i,0.015282+0.0097434i,-0.0016756-0.0036864i,0.0014777-0.0022146i,0.0035519-0.0087146i,-0.0044981+0.0045984i,0.00043102+0.0046909i,0.0039874-0.0023433i,0.0038183-0.0036077i,-0.000315+0.0098319i,0.0056119-0.02609i,0.032845+0.0077316i,-0.015152-0.095224i,-0.032283-0.062411i,-0.012877-0.067054i,-0.021289-0.044235i,0.0059268-0.096411i,-0.034219-0.096424i,0.036685-0.081822i,-0.0030484-0.066401i,0.0061329-0.00018614i,0.0021556-0.0037844i,-0.013037-0.024646i,0.003793+0.0027088i,-0.010182-0.0018382i,-0.0089706-0.0062954i,-0.043867+0.0049873i,0.010105+0.022714i,-0.0085633-0.012798i,-0.0073054+0.0054771i,-0.0056699-0.0017742i,-0.020402-0.0012443i,0.0048438+0.012356i,0.011943-0.0053529i,0.025038-0.029206i,0.005244-0.0027709i,-0.0041852+0.0014215i,-0.0040215+0.0039854i,-0.0075823+0.017908i,-0.0053646+0.0018579i,-0.014148+0.032322i,-0.0062172-0.00027746i,-0.0022384+0.0098056i,-0.0022018+0.013452i,-0.0047882-0.0028682i,-0.0021963+0.004074i,2.7473e-05-0.0013391i,0.0023811+0.0030432i,0.0016639-0.0030585i,-0.0035344+0.0056505i,0.00018139-0.00037318i,-0.0047186+0.019395i,-0.0016531-0.0053112i,-0.013943+0.019814i,-0.02509+0.028403i,-0.020547-0.094333i,-0.010538-0.0083687i,-0.052676+0.022913i,-0.028879-0.0050188i,0.013048-0.0091486i,-0.00042341+0.015037i,-0.032583-0.0050298i
-0.039416-0.015646i,-0.037725-0.040739i,-0.048363-0.036311i,-0.046017-0.011111i,-0.040228-0.021114i,-0.05543+0.022493i,-0.045082+0.029282i,-0.055468+0.0042182i,-0.037602-0.0050561i,0.0074483+0.0013671i,0.010086+0.010957i,0.012181+0.0033279i,0.013386-0.0097425i,0.0081636+0.0065906i,0.0024392-0.0022539i,0.0061623-0.0016884i,0.029377-0.017403i,0.0025905-0.00082305i,8.4358e-05+0.0083185i,0.00045622-0.0047298i,0.0020106+0.0039301i,0.0030451+0.002642i,-0.00024604+0.0014306i,0.013033+0.012953i,-0.0045085-0.00043622i,0.0007085-0.0057691i,0.00074715-0.0024962i,0.0018937-0.00029539i,-0.00024845-0.00031998i,-0.0049271+0.00072974i,-0.004399-0.0026089i,-0.0041157+0.0030442i,-0.0042732+0.001466i,-0.0019787-0.0031162i,-0.0028118-0.0035377i,0.016304+0.0065464i,-0.002474-0.0033778i,-2.3132e-05-0.0027742i,0.00017961-0.0077411i,-0.0022231+0.0022317i,0.0014776+0.0046726i,0.0015706-0.0019349i,0.0025757-0.0047631i,0.0013719+0.0084895i,0.00036406-0.036877i,0.041602-0.0099376i,-0.025678-0.087635i,-0.036785-0.053315i,-0.019882-0.071496i,-0.024281-0.042557i,-0.022798-0.10538i,-0.057312-0.086067i,0.017548-0.096604i,-0.01461-0.060777i,0.0091449+0.0022348i,-0.003011-0.0054812i,-0.02521-0.014911i,0.00044342-0.00015i,-0.01151+4.2548e-05i,-0.016218-0.0027834i,-0.038545+0.020942i,0.013545+0.011988i,-0.013895-0.0081945i,-0.0052769+0.0058076i,-0.0063061+0.0012232i,-0.019373+0.0087363i,0.0056164+0.0071592i,0.010181-0.010744i,0.027605-0.0082049i,0.0032472-0.00608i,-0.006331+0.0036354i,-0.0017122+0.0062046i,0.0016539+0.019564i,-0.0041719+0.0062039i,-0.011277+0.037085i,-0.0069644+0.00079733i,0.0017274+0.0069967i,0.005265+0.012444i,-0.0062138+0.0014983i,-0.0035513+0.0012569i,-0.0013047-0.0014467i,0.0013529+0.0047976i,-0.0021186-0.0037039i,-0.0027804+0.0025913i,-0.0027075+0.001596i,0.0027626+0.021248i,-0.0045527-0.0037384i,-0.0051265+0.020909i,-0.018573+0.03311i,-0.034025-0.089564i,-0.0050501-0.011773i,-0.04176+0.039309i,-0.030683+0.0048448i,0.0074648-0.013223i,0.00069857+0.0072826i,-0.032034-0.0012334i
-0.039098-0.010585i,-0.044103-0.036089i,-0.059254-0.026678i,-0.04677-0.0050237i,-0.051184-0.015757i,-0.047116+0.032798i,-0.032309+0.031862i,-0.050629+0.013759i,-0.035641-0.0015961i,0.0062433+0.00037842i,0.010539+0.0065335i,0.012098-0.001852i,0.0068797-0.013251i,0.011356+0.002057i,0.00074601-0.0028276i,0.0029655-0.0017065i,0.01431-0.023669i,0.0036376-0.0017109i,0.0051498+0.0070487i,-0.0013873-0.0033045i,0.0037973+0.0021459i,0.003181+0.0013135i,0.0010655+0.002165i,0.021049+0.0041179i,-0.002953+0.0020681i,-0.0017007-0.0052977i,-0.00084948-0.00099057i,0.0031146-0.0013624i,-0.0001592-0.00051149i,-0.0029359+0.003625i,-0.004399-0.0017392i,-0.0028409+0.0037894i,-0.00392+0.0031258i,-0.0032403-0.0011314i,-0.0024001-0.0021698i,0.018093+0.0016766i,-0.0035776-0.0027117i,-0.0018996-0.0027716i,-0.0031604-0.0070417i,-0.0035509+0.00082323i,0.0063109+0.0020497i,0.00090844+7.7177e-05i,0.00021689-0.0054239i,0.0028485+0.008121i,-0.011964-0.041869i,0.033136-0.033987i,-0.028966-0.080455i,-0.040745-0.046479i,-0.029906-0.071712i,-0.026099-0.043742i,-0.052781-0.096397i,-0.076657-0.068648i,-0.0019366-0.099967i,-0.016174-0.046353i,0.017519+0.0054182i,-0.0069867-0.0026799i,-0.021301-0.0052078i,-0.0011385-0.000427i,-0.015602+0.0044899i,-0.014934+0.0045711i,-0.029323+0.034876i,0.011667+0.0051446i,-0.013112-0.00017169i,-0.0067533+0.0056382i,-0.0034791+0.0049059i,-0.012837+0.015271i,0.0069548+0.0078076i,0.0050863-0.018718i,0.014395-0.021612i,-0.002833-0.0091213i,-0.0067269+0.0081061i,0.00012766+0.0061807i,0.010226+0.016297i,0.00022461+0.0080723i,0.0058881+0.044599i,-0.0081386+0.0033538i,0.001856+0.0052832i,0.0092681+0.0069872i,-0.0040595+0.0069485i,-0.0055516+0.0040425i,-0.0035898-0.0010093i,0.004586+0.006848i,-0.003492+0.0020204i,-0.0051791+0.0026584i,-0.00035668+0.0066482i,0.010057+0.016593i,-0.0065598-0.0022358i,0.00099618+0.017705i,-0.0069897+0.036575i,-0.041227-0.079877i,-0.011737-0.023254i,-0.017164+0.046136i,-0.025544+0.012115i,0.0061827-0.017413i,8.077e-05+0.0013017i,-0.029782+0.0052389i
-0.038684-0.0059168i,-0.054378-0.031861i,-0.066608-0.013327i,-0.045132+0.0030244i,-0.058864-0.0029165i,-0.037465+0.038983i,-0.023082+0.031509i,-0.044576+0.02078i,-0.03625+0.0026875i,0.0064034-0.0014269i,0.012997+0.0041345i,0.0083886-0.0066978i,-0.00072776-0.012247i,0.011278-0.0044112i,-0.00098546-0.0033612i,0.0012344-0.00021268i,0.0025857-0.020667i,0.002089-0.0039502i,0.0067373+0.0028069i,-0.0020788-0.0011614i,0.0039176-0.00013849i,0.0041337+0.0012288i,0.0025758+0.0014874i,0.017562-0.0085923i,0.00040466+0.0012935i,-0.0028736-0.0029682i,-6.5372e-05-0.0014331i,0.0043729-0.0042665i,3.638e-05-0.00017807i,-0.00030403+0.0039731i,-0.0047259-0.001084i,-0.00075363+0.0043287i,-0.0021375+0.004465i,-0.00271+0.00011104i,-0.0033212-0.0026027i,0.017536-0.0048047i,-0.0034714-0.00095769i,-0.0028256-0.0014682i,-0.0077983-0.0031293i,-0.0057609+0.0027458i,0.0044204+0.00097903i,0.0026606-0.00056577i,-0.0020866-0.0049961i,0.004617+0.0041955i,-0.025535-0.039985i,0.014337-0.040426i,-0.035577-0.082306i,-0.039394-0.039104i,-0.037875-0.069258i,-0.035345-0.046132i,-0.072823-0.080713i,-0.08274-0.042834i,-0.026699-0.10094i,-0.0092642-0.043116i,0.025234-0.00979i,-0.0079907+0.0014835i,-0.015362-0.00060679i,-0.0052735+0.00023464i,-0.012732+0.014055i,-0.011905+0.0075102i,-0.0095098+0.041554i,0.011105+0.001491i,-0.01198+0.0017457i,-0.0036906+0.0072863i,-0.0015232+0.004455i,-0.0056645+0.01899i,0.011279+0.0044533i,-0.0077829-0.019892i,-0.0044458-0.022597i,-0.0062409-0.002159i,-0.0026649+0.011555i,0.0033442+0.0051388i,0.016645+0.0081474i,0.0034992+0.0055069i,0.025611+0.038269i,-0.0042345+0.0064043i,0.0022619+0.0034115i,0.0096504+0.0012256i,0.0010742+0.0081717i,-0.0069014+0.0073631i,-0.004258+0.0029459i,0.0086813+0.0063531i,-0.0014095+0.0047408i,-0.0062582+0.0051669i,0.0032892+0.0066411i,0.013077+0.010023i,-0.0061551+0.00047447i,0.0067103+0.013223i,0.004421+0.033384i,-0.048123-0.076135i,-0.027513-0.021488i,0.0019621+0.036996i,-0.021323+0.014701i,-0.0038553-0.02574i,-0.003598-0.0028247i,-0.022078+0.0080799i
-0.038357-0.0020667i,-0.063243-0.019698i,-0.070027+0.0022776i,-0.041578+0.0075891i,-0.05857+0.011918i,-0.029086+0.042848i,-0.016259+0.030262i,-0.038445+0.025653i,-0.034737+0.010238i,0.0057666-0.0032708i,0.013792-0.0039551i,0.0026716-0.0071959i,-0.0045005-0.0077082i,0.0072511-0.008218i,-0.0031075-0.0020996i,0.0021539+0.00030872i,-0.0050773-0.01498i,-0.00054798-0.0038518i,0.0055065+0.00024192i,-0.0014238+0.00030969i,0.0024298-0.00087895i,0.0043417-0.00043205i,0.0028699+0.00025626i,0.010247-0.01431i,-3.825e-05-0.0010537i,-0.0022919-0.0020467i,-0.00035794-0.0017333i,-6.7753e-05-0.0037092i,0.001063-0.00010927i,0.000993+0.0029745i,-0.0053302-0.00015i,0.0010621+0.0037183i,9.5287e-05+0.0044702i,-0.0024709+0.00031279i,-0.0044036+5.3314e-05i,0.013798-0.010469i,-0.002892-1.1688e-05i,-0.0024402+2.9427e-05i,-0.0066493-0.0018139i,-0.004631+0.0055606i,0.0042745-0.00022908i,0.0033814-0.0012922i,-0.0039661-0.0041257i,0.0026426+0.00069495i,-0.034955-0.031238i,0.006147-0.031229i,-0.047201-0.082901i,-0.036736-0.037417i,-0.046749-0.065859i,-0.045692-0.041073i,-0.089137-0.063325i,-0.076926-0.023428i,-0.054499-0.087236i,-0.006798-0.048372i,0.02138-0.022353i,-0.006073+0.0039216i,-0.013835+0.0036426i,-0.008095+0.0056652i,-0.0044484+0.019446i,-0.0079826+0.011001i,0.0092204+0.035585i,0.0090889-0.0042181i,-0.01297+0.0050247i,-0.0026453+0.0056122i,0.0010052+0.0049232i,0.0032599+0.015926i,0.011736-0.0028148i,-0.017105-0.010485i,-0.015998-0.012384i,-0.0037629+0.0021613i,0.0036607+0.011183i,0.0040294+0.0025975i,0.018766+0.00034749i,0.0064832+0.0044141i,0.03838+0.023285i,-0.0015078+0.0052091i,0.00076501+0.0035172i,0.0076919-0.0042331i,0.0057189+0.0053674i,-0.0044666+0.014338i,-0.0014756+0.0071765i,0.012479+0.0014368i,0.0030051+0.0048059i,-0.0048221+0.0088694i,0.0055321+0.0041031i,0.013125+0.0053004i,-0.005932+0.0016212i,0.0086858+0.0073957i,0.011643+0.027303i,-0.057528-0.069273i,-0.035392-0.0083847i,0.011763+0.023364i,-0.010443+0.019568i,-0.015148-0.025339i,-0.011301-0.0027308i,-0.019879+0.0035422i
-0.038389+0.0025146i,-0.064621-0.0046142i,-0.067175+0.019698i,-0.039797+0.011841i,-0.052874+0.023673i,-0.020169+0.045845i,-0.010648+0.028089i,-0.033246+0.029399i,-0.028951+0.016218i,0.0041718-0.0052896i,0.0075677-0.009417i,0.00019716-0.004724i,-0.0051088-0.0041361i,0.0029054-0.0096948i,-0.0044344-0.0004119i,0.002122-0.00067306i,-0.0062093-0.0085204i,-0.0017056-0.0024777i,0.0039597-0.00024306i,-0.00044015+0.00091805i,0.0024488-0.00014781i,0.0039752-0.0015324i,0.0029986-0.0005289i,0.0031811-0.015277i,-0.0014807-0.0012521i,-0.0027189-0.0025579i,-0.00060953-0.0015452i,-0.00090175-0.0034257i,0.00094989-0.0012915i,0.0022299+0.0025686i,-0.005438+0.0010686i,0.0022072+0.0025432i,0.0015519+0.0034688i,-0.0026261+0.0016546i,-0.0032304+0.00067948i,0.0070136-0.014061i,-0.0021718+0.0005415i,-0.0017067+0.00085291i,-0.0074159+0.001049i,-0.002467+0.0069615i,0.0039667-0.0015475i,0.0026742-0.0022837i,-0.0024409-0.0013291i,-0.0013915+0.00020925i,-0.039844-0.020984i,0.01383-0.025496i,-0.062623-0.078746i,-0.037848-0.039134i,-0.053175-0.059767i,-0.052032-0.032588i,-0.10046-0.039945i,-0.072133-0.012757i,-0.063324-0.060305i,-0.010463-0.052282i,0.012436-0.031739i,-0.0049189+0.0048148i,-0.0097912+0.0034727i,-0.0038342+0.011611i,0.0042683+0.018147i,0.00044703+0.010163i,0.016995+0.022676i,0.004678-0.0067003i,-0.011428+0.01082i,-0.0027822+0.0052001i,0.0020999+0.0028167i,0.0069488+0.011844i,0.0053682-0.005329i,-0.019264+0.00051646i,-0.017439-0.0010447i,0.00023812+0.0024113i,0.0066114+0.0095704i,0.0027747+0.0013699i,0.014842-0.010814i,0.007417-0.00068961i,0.042659+0.0048688i,-0.0013389+0.0057552i,0.0028519+0.003083i,0.0022905-0.006964i,0.0061873+0.0019431i,0.0028283+0.0174i,0.004501+0.0052523i,0.010171-0.004507i,0.0053896+0.0015143i,0.00091788+0.013837i,0.0047755+0.0030789i,0.011808+0.0026417i,-0.0072278+0.0033186i,0.0052283+0.0042498i,0.015807+0.022017i,-0.062875-0.062038i,-0.032689+0.0054324i,0.012217+0.011628i,-0.0017158+0.013644i,-0.027262-0.020045i,-0.014014+0.0059671i,-0.023523+0.0051833i
-0.037879+0.007854i,-0.06129+0.0064152i,-0.058181+0.034025i,-0.037996+0.016212i,-0.045224+0.032319i,-0.011213+0.046939i,-0.0070998+0.025593i,-0.028046+0.033491i,-0.02358+0.018883i,0.0011469-0.0060672i,0.0010212-0.0093006i,-0.0004128-0.0036251i,-0.0041848-0.0024276i,-0.0011378-0.0094045i,-0.0044372+0.0019251i,0.00081594-0.0016323i,-0.0050974-0.0063322i,-0.001471-0.000818i,0.0033048-0.0004062i,0.00096167+0.001032i,0.0037991-0.00068044i,0.0034376-0.0021327i,0.0028027-0.001415i,-0.0023341-0.01374i,-0.0016577-0.0005672i,-0.0038294-0.0013445i,-0.00089404-0.001724i,-0.00206-0.0032036i,0.00034314-0.0016815i,0.0032936+0.0010016i,-0.005072+0.0027355i,0.0025926+0.0012869i,0.0022343+0.0023291i,-0.0014736+0.0027191i,-0.0033875+0.0016001i,0.00046826-0.011705i,-0.0023108+0.00043294i,-0.00062305+0.00099345i,-0.0063382+0.0052752i,0.00024382+0.0077813i,0.002964-0.0024277i,0.0033245-0.0016686i,-0.0038725-0.00044009i,-0.0021822+0.0036166i,-0.03913-0.011109i,0.026867-0.035533i,-0.078426-0.066934i,-0.043326-0.039237i,-0.057719-0.054408i,-0.056486-0.024252i,-0.10068-0.016754i,-0.067022-0.0020637i,-0.058806-0.043692i,-0.014871-0.056338i,0.00076701-0.035584i,-0.002611+0.0063569i,-0.010057+0.0012276i,0.0027727+0.011959i,0.00958+0.013095i,0.0043887+0.0034972i,0.016412+0.010456i,0.00046072-0.0067761i,-0.0063729+0.014247i,-0.0033014+0.0058022i,0.0015464+0.0014332i,0.0088813+0.0070607i,0.0029215-0.002927i,-0.015316+0.0099437i,-0.013235+0.0074456i,0.0013876+0.0012115i,0.011295+0.0068326i,0.0021107+0.0010177i,0.0050021-0.014745i,0.0043462-0.0041938i,0.037096-0.010905i,0.001012+0.0066261i,0.0020565+0.0016862i,-0.0020364-0.005447i,0.0057747+0.00067561i,0.011026+0.016463i,0.0051505+0.001099i,0.0073646-0.0067729i,0.0041393-0.00097673i,0.0099265+0.014258i,0.0051925+0.0016724i,0.012423-0.0012841i,-0.0057808+0.0081868i,0.0055202+0.0035273i,0.019136+0.017086i,-0.069636-0.056151i,-0.025764+0.011997i,0.011265+0.0042829i,-0.0012396+0.0061722i,-0.035445-0.0096542i,-0.0090455+0.0081666i,-0.022457+0.0089661i
-0.035907+0.013283i,-0.056046+0.014886i,-0.044757+0.043188i,-0.03465+0.021466i,-0.035715+0.037613i,-0.0028519+0.046731i,-0.0040862+0.023918i,-0.021728+0.036983i,-0.018889+0.020746i,-0.0016111-0.00574i,-0.0030276-0.0065793i,-0.00036901-0.0033551i,-0.0042366-0.0013707i,-0.0046104-0.0074443i,-0.0037641+0.0035764i,-0.00064679-0.001479i,-0.006207-0.0061839i,-0.00112-0.0005013i,0.0027779-0.0009334i,0.0018721+0.00016231i,0.0041308-0.0023139i,0.0034592-0.002747i,0.0023286-0.002185i,-0.0065051-0.011383i,-0.0017678-0.00030827i,-0.004025+0.00025255i,-0.001755-0.0011602i,-0.0029122-0.0021879i,-0.00033953-0.0018043i,0.0026028-0.0010239i,-0.0040746+0.0047303i,0.0022042+0.00044654i,0.0026587+0.0011695i,0.0002548+0.0025913i,-0.0026436+0.0029819i,-0.00099482-0.0079872i,-0.0032445+0.0012591i,8.051e-05+0.00039216i,-0.0022119+0.0066683i,0.00362+0.0071789i,0.0020958-0.0027783i,0.003808-0.0029961i,-0.0041781+0.00097617i,-0.00039137+0.0035122i,-0.035589-0.0059193i,0.026305-0.058632i,-0.088866-0.049707i,-0.047426-0.03658i,-0.062327-0.05344i,-0.058417-0.014778i,-0.097758+0.00056973i,-0.061118+0.0052656i,-0.05537-0.032871i,-0.022768-0.058858i,-0.011681-0.036122i,-0.00016005+0.0055746i,-0.015282+0.0013285i,0.0076152+0.0079147i,0.011691+0.0070449i,0.0035711-0.0019497i,0.012358+0.0043067i,-0.00342-0.0068458i,-0.0012953+0.014417i,-0.0021889+0.0075372i,0.00085746+0.0012503i,0.0071375+0.0031807i,0.0027334-0.0017821i,-0.0079219+0.014128i,-0.0069661+0.012041i,0.0031493-0.00055245i,0.013868-5.1993e-05i,0.0016572+0.0013313i,-0.0029128-0.012196i,0.001096-0.0046564i,0.027842-0.021786i,0.0041292+0.0061123i,0.0013611+0.0026135i,-0.0046376-0.0023321i,0.0054292-0.0022355i,0.018266+0.011013i,0.0038053-0.0016959i,0.0038682-0.0087632i,0.0025285-0.0024554i,0.01332+0.0094076i,0.0048285+0.0014357i,0.0088081-0.0059724i,-0.0009501+0.010393i,0.0055888+0.00093397i,0.022896+0.012132i,-0.077173-0.047284i,-0.019113+0.017514i,0.0085207-0.00026322i,-0.0032856+0.0040071i,-0.038019+0.0022502i,-0.0069322+0.0069259i,-0.019899+0.012114i
