-0.023662-0.037839i,-0.012219-0.04986i,-0.018085-0.044027i,-0.030618-0.035169i,-0.029999-0.015957i,-0.050595-0.027424i,-0.057559-0.024588i,-0.044099-0.036948i,-0.027253-0.033557i,0.0086406+0.011825i,-0.0061617+0.01506i,-0.0046977+0.014278i,0.0093443+0.020458i,0.00024683+0.0044783i,0.0034899+0.0031944i,0.006809+0.017955i,0.026123+0.039839i,-0.0024913-0.0014957i,-0.0049586-0.0059512i,0.0065324+0.0012336i,-0.00033041-0.00092576i,-0.00060516+0.0010625i,0.00029051-0.00025298i,-0.030056-0.0029454i,-0.0022153-0.006542i,0.001463+0.00409i,0.0036024-0.0005725i,-0.00070459+0.0009208i,0.00056062-0.00046222i,-0.00095916-0.0026356i,-0.0019208-0.0059452i,-0.0043132-0.0044821i,-0.0024666-0.0047061i,0.0022904-0.00020607i,0.0020221-0.0031508i,0.00041048+0.027196i,0.0014721-0.0030837i,0.0025967+0.00078823i,0.0055209+0.0012063i,-0.010431-0.0033055i,-0.0033691+0.00039179i,0.0061788+0.00028076i,0.0055763+5.3466e-05i,-0.0031205+0.0049747i,0.001221-0.0090762i,-0.011727+0.018014i,0.035176-0.091039i,0.012148-0.070331i,-0.015673-0.059874i,-0.016171-0.05544i,0.039491-0.046181i,0.016652-0.062436i,0.034397-0.055704i,0.029117-0.060295i,0.015239-0.014507i,0.0044611+0.016493i,0.016782-0.026135i,-0.011692+0.0056051i,-0.0001994+0.0054i,-0.0048016-0.001557i,-0.002435-0.028827i,-0.024116+0.031582i,0.010304-0.011254i,-0.013226-0.0022856i,-0.00012434-0.0050134i,-0.0015246-0.016269i,-0.0073462+0.0042981i,0.005415+0.0068683i,-0.0076514+0.030754i,0.0050377+0.0063866i,-0.0053943-0.00042412i,-0.0033838-0.00054838i,-0.012811-0.0072895i,-0.00035934-0.0043351i,-0.034918-0.0097547i,-5.478e-05-0.010093i,-0.0094877-0.0018819i,-0.0069351-0.0025466i,0.0069594+0.0024944i,-0.0075737+0.0010823i,2.0185e-05+0.00047085i,0.0063482+0.010612i,0.0039487+0.0013067i,-0.0091041-0.0092414i,0.0032237+0.0082979i,-0.019507+0.0053773i,0.0088849+0.00088042i,-0.029404-0.003293i,-0.042269+0.0019451i,0.017153-0.091701i,-0.0021228-0.012624i,-0.054106-0.02213i,-0.022966-0.0002938i,0.017756+0.010853i,-0.024815+0.013355i,-0.017226-0.011658i
-0.031177-0.034288i,-0.018951-0.04247i,-0.024547-0.042498i,-0.037553-0.031582i,-0.028207-0.016123i,-0.057135-0.01589i,-0.059436-0.013446i,-0.049385-0.029014i,-0.031643-0.028277i,0.0081449+0.0081609i,-0.0039582+0.013237i,0.0018665+0.016058i,0.017371+0.014797i,-0.0004527+0.0057708i,0.0038455+0.0019247i,0.010504+0.012051i,0.031017+0.023343i,-0.0013877+0.001739i,-0.0065273-0.001371i,0.0065105-0.0030298i,-0.0012167+0.00055931i,0.0012655+0.0063071i,-4.3436e-05+3.9945e-06i,-0.018192+0.011557i,-0.0038734-0.004553i,0.0049417+0.00098632i,0.0029215-0.00026654i,0.00054316+0.0025868i,0.00085506-0.00091329i,-0.001713-0.0027966i,-0.0020891-0.0047402i,-0.0051158-0.002596i,-0.0031866-0.0041228i,0.0019352-0.0015917i,0.0011783-0.0021479i,0.0089538+0.022275i,0.0010376-0.0038078i,0.0023-0.00026565i,0.0074016-0.0011933i,-0.0082019-0.00089951i,-0.0028375+0.0029065i,0.0060766-0.00012308i,0.0047187-0.0011444i,-0.0050439+0.0066749i,0.0053093-0.011946i,0.0035955+0.023253i,0.01757-0.096917i,-0.0053159-0.076812i,-0.012447-0.055368i,-0.020136-0.045107i,0.033652-0.065161i,0.012802-0.080587i,0.035898-0.055816i,0.017772-0.068419i,0.0056249-0.0067749i,0.0070605+0.0056117i,0.0054276-0.027194i,-0.0072183+0.01209i,0.00021709-0.0029421i,-0.0053725-0.0018771i,-0.023745-0.026988i,-0.0098807+0.029939i,0.0037054-0.014622i,-0.013763+0.0018008i,-0.0013852-0.0045753i,-0.0091817-0.01424i,-0.0081766+0.0080694i,0.0084895+0.0058236i,0.0090325+0.027889i,0.005898+0.0015849i,-0.0042716+0.0021624i,-0.0050356-3.2408e-05i,-0.015922+0.0019383i,-0.0005006-0.003097i,-0.028736+0.014228i,-0.0053302-0.0068661i,-0.0091868+0.0030319i,-0.007934+0.0013136i,0.0058146-0.0033253i,-0.0071018+0.0033688i,0.00097089-0.00064092i,0.0056123+0.0041175i,0.0034697+7.404e-05i,-0.0134-0.0016196i,0.0040475+0.0045704i,-0.014212+0.012841i,0.0070096-0.0037506i,-0.027443+0.0080699i,-0.042462+0.015146i,-0.00064439-0.093256i,-0.0064118-0.015554i,-0.061166-0.0055025i,-0.017025-0.002883i,0.017999+0.0048352i,-0.018538+0.019961i,-0.025866-0.015863i
-0.036316-0.028224i,-0.021634-0.041605i,-0.030305-0.04131i,-0.043425-0.024417i,-0.028622-0.017889i,-0.060122-0.0035106i,-0.061949-0.00045404i,-0.054675-0.020155i,-0.036502-0.022579i,0.0079486+0.0052351i,-0.0012362+0.01558i,0.0084482+0.012644i,0.020186+0.0049509i,0.00097359+0.0067885i,0.004382+0.00090041i,0.011173+0.0062366i,0.034061+0.013515i,0.0012162+0.0022757i,-0.0047619+0.0022932i,0.005162-0.0038964i,-0.0012435+0.0020557i,-0.00020511+0.0029974i,1.827e-05+0.00029293i,-0.0080095+0.016147i,-0.0035523-0.0025697i,0.0052218-0.0031078i,0.0026869-0.0014069i,0.002176+0.0022449i,7.7478e-05-0.0013126i,-0.0024976-0.002284i,-0.0029312-0.0046899i,-0.0055486-0.00038287i,-0.0043448-0.0030923i,0.0011109-0.0028251i,0.0021414-0.0043905i,0.014031+0.015377i,4.5269e-05-0.003893i,0.0020703-0.0010744i,0.0069026-0.0053399i,-0.0078401+0.00099928i,-0.00097006+0.0044519i,0.0061407-0.0014024i,0.0047976-0.0021461i,-0.0031132+0.0092743i,0.0056988-0.01922i,0.019737+0.019169i,0.00077105-0.098145i,-0.023637-0.072174i,-0.0076367-0.060834i,-0.018748-0.04386i,0.022346-0.080387i,-0.008285-0.095472i,0.041124-0.063514i,0.0048179-0.068304i,0.0055491-0.0027406i,0.0056771+0.0009398i,-0.00332-0.028586i,0.0024603+0.010103i,-0.0072031-0.005282i,-0.0046035-0.0038393i,-0.038457-0.014955i,-0.0010131+0.027674i,-0.0029926-0.014555i,-0.011703+0.0050772i,-0.0040203-0.0039153i,-0.015882-0.0091625i,-0.0030632+0.013803i,0.012089+0.00031654i,0.018083+0.018717i,0.0052881-0.00021447i,-0.003583+0.0015503i,-0.0047744+0.0018376i,-0.012674+0.010774i,-0.0038929-0.0020697i,-0.022699+0.024747i,-0.0063793-0.0028437i,-0.0070124+0.0072531i,-0.0077785+0.0076153i,-0.0002476-0.0053466i,-0.0055091+0.0050431i,0.00019159-0.0014938i,0.0030023+0.0029966i,0.0033048-0.0014101i,-0.0087153+0.0056573i,0.0030641+0.0016861i,-0.0081334+0.015479i,0.0026511-0.006736i,-0.021362+0.015709i,-0.033813+0.02722i,-0.013464-0.093771i,-0.012354-0.013837i,-0.057913+0.009365i,-0.021475-0.0086065i,0.016207-0.0030582i,-0.0079902+0.019915i,-0.03141-0.010615i
-0.039028-0.021557i,-0.027671-0.043141i,-0.037819-0.040017i,-0.044954-0.016658i,-0.032196-0.020425i,-0.05921+0.0099221i,-0.058498+0.017828i,-0.058618-0.0079057i,-0.040489-0.014446i,0.0073371+0.0030956i,0.0048273+0.015681i,0.01114+0.0072499i,0.018451-0.0034738i,0.0035004+0.0080097i,0.0038823-0.0012397i,0.0096518+0.00079186i,0.036431-0.0023845i,0.0027792+0.00070727i,-0.0035454+0.0044769i,0.0026676-0.0051992i,0.00047236+0.0033392i,0.0021496+0.0038214i,-0.00032328+0.00065806i,0.0025646+0.020173i,-0.0034231-0.0021453i,0.0024351-0.0050253i,0.0023448-0.0021433i,0.0023791+0.00025876i,-0.00032557-0.00069732i,-0.0039658-0.0016088i,-0.0035695-0.0035992i,-0.0050825+0.001382i,-0.0053238-0.0011598i,-0.00019864-0.0034499i,-0.00078116-0.0056433i,0.014548+0.009052i,-0.0012457-0.0037485i,0.0014552-0.0020538i,0.0031311-0.0087538i,-0.0051182+0.0041499i,0.00087414+0.004257i,0.0038377-0.0027617i,0.0041346-0.0039928i,0.00038463+0.0094706i,0.0053879-0.025513i,0.033058+0.0084939i,-0.015565-0.095409i,-0.032942-0.062079i,-0.013102-0.067036i,-0.021447-0.043851i,0.0049014-0.095785i,-0.035531-0.095379i,0.03757-0.082734i,-0.0042768-0.066528i,0.0064545+0.00013837i,0.0020791-0.0037227i,-0.0148-0.023609i,0.0038051+0.0026638i,-0.0096121-0.0012404i,-0.0092297-0.0063543i,-0.043611+0.0043341i,0.0098165+0.021937i,-0.0083682-0.012301i,-0.0080608+0.0059754i,-0.0053743-0.0015241i,-0.019541-0.0014911i,0.005009+0.011914i,0.012543-0.0058434i,0.0085184-0.010826i,0.0055472-0.0025512i,-0.0043346+0.0015106i,-0.0041616+0.00379i,-0.0070472+0.016692i,-0.0054609+0.0021699i,-0.015605+0.033019i,-0.0061232-0.00023454i,-0.0023861+0.009947i,-0.0021418+0.012023i,-0.004669-0.0022491i,-0.002419+0.0043897i,-0.00016936-0.0012877i,0.0020332+0.003147i,0.00088689-0.003352i,-0.0035529+0.005067i,-0.0001911-0.00057043i,-0.0042983+0.01756i,-0.0017625-0.0058769i,-0.013341+0.020215i,-0.0236+0.030901i,-0.025561-0.092152i,-0.010605-0.0090926i,-0.051064+0.024644i,-0.028967-0.0056863i,0.012843-0.0088579i,0.00065406+0.014635i,-0.030101-0.0033668i
-0.040304-0.014909i,-0.037301-0.040323i,-0.048094-0.037086i,-0.045436-0.010257i,-0.04041-0.021246i,-0.054967+0.022203i,-0.044459+0.028796i,-0.056056+0.004788i,-0.037675-0.0056528i,0.0070254+0.0017607i,0.010323+0.011034i,0.012054+0.0033011i,0.013331-0.0095078i,0.0078973+0.0068584i,0.0023142-0.0026326i,0.005967-0.0015758i,0.026867-0.016979i,0.0028673-0.00051997i,0.00015771+0.0082652i,0.00036702-0.0047504i,0.0021124+0.003859i,0.0030517+0.0022031i,-0.00031343+0.0015105i,0.01609+0.013354i,-0.0042165-0.00020502i,0.00028878-0.0056044i,0.00079244-0.0025231i,0.0024599+0.00035452i,-0.00025365-0.00033054i,-0.0047898+0.0009263i,-0.0043053-0.0025495i,-0.0038104+0.0031012i,-0.0044922+0.0012578i,-0.0018124-0.0032518i,-0.0027775-0.0040603i,0.015464+0.0061015i,-0.0021184-0.0034956i,9.6147e-05-0.0025577i,-0.00022587-0.0086377i,-0.0026758+0.0020625i,0.0016509+0.0041296i,0.0012431-0.0018131i,0.0029736-0.0052866i,0.0021597+0.0077795i,0.00053724-0.035751i,0.042247-0.009203i,-0.026413-0.087384i,-0.03713-0.053021i,-0.020469-0.071975i,-0.024252-0.042171i,-0.023794-0.10449i,-0.058149-0.085157i,0.017636-0.097813i,-0.015457-0.060584i,0.0090801+0.0028112i,-0.0030328-0.005401i,-0.02124-0.0056298i,0.00034257-0.00036514i,-0.010964+0.00026596i,-0.016232-0.0025263i,-0.039545+0.021413i,0.013082+0.011599i,-0.013854-0.0079881i,-0.0061684+0.005791i,-0.0059101+0.0015426i,-0.017932+0.0086884i,0.0054125+0.0070658i,0.010175-0.011231i,0.021961-0.010997i,0.0034431-0.0062511i,-0.0065176+0.0042364i,-0.0020252+0.0057191i,0.0020603+0.018623i,-0.0041459+0.0063127i,-0.0077775+0.036273i,-0.0068313+0.0010753i,0.001774+0.0068913i,0.0042118+0.011356i,-0.0058224+9.6435e-05i,-0.0036018+0.0022015i,-0.0011711-0.0015506i,0.00089624+0.0048098i,-0.0021861-0.0033651i,-0.0028201+0.0024376i,-0.0034214+0.0016044i,0.0024805+0.020028i,-0.0049079-0.0043517i,-0.0042795+0.021039i,-0.015475+0.034119i,-0.038118-0.087489i,-0.0057486-0.012139i,-0.039411+0.039769i,-0.031719+0.0049313i,0.0079603-0.013304i,0.0012818+0.0064584i,-0.030138-0.0021542i
-0.03993-0.0096157i,-0.04315-0.035779i,-0.059283-0.027127i,-0.046185-0.0044743i,-0.051336-0.015956i,-0.046661+0.032226i,-0.032204+0.031354i,-0.050736+0.014691i,-0.035479-0.0017074i,0.0061388+0.00087924i,0.010952+0.0064439i,0.011927-0.00198i,0.0067732-0.013064i,0.011244+0.0022994i,0.00028768-0.0028975i,0.0030318-0.0015327i,0.012871-0.022309i,0.0037754-0.0014634i,0.0055512+0.0072876i,-0.0013804-0.0032018i,0.0039935+0.002017i,0.0032196+0.0010827i,0.00099132+0.0021831i,0.021147+0.0012169i,-0.0023486+0.0024011i,-0.0025137-0.0063305i,-0.00062104-0.00070889i,0.0037295-0.0015664i,-0.00015289-0.00050939i,-0.0027684+0.0037837i,-0.004111-0.0017306i,-0.0027593+0.0037992i,-0.0039846+0.0031468i,-0.002993-0.0016437i,-0.0025995-0.0024206i,0.017376+0.0013586i,-0.0033768-0.0026616i,-0.0016751-0.0027326i,-0.0029568-0.0084842i,-0.004102+0.00058563i,0.0052762+0.0040386i,0.00087847-1.0805e-05i,0.00024735-0.0060396i,0.0033658+0.0068698i,-0.010983-0.04074i,0.033353-0.034177i,-0.029159-0.08032i,-0.041325-0.046126i,-0.030658-0.071298i,-0.026176-0.043502i,-0.053656-0.095558i,-0.077149-0.067876i,-0.0030771-0.10133i,-0.0163-0.046256i,0.018025+0.0058189i,-0.0067983-0.0028831i,-0.02033+0.0027642i,-0.0011955-0.00082932i,-0.015122+0.0045589i,-0.014769+0.0045154i,-0.028818+0.036716i,0.011472+0.0050631i,-0.013505+0.00028991i,-0.0078962+0.0052325i,-0.0030488+0.0050286i,-0.011772+0.015274i,0.0065504+0.0080378i,0.0044961-0.019473i,0.012541-0.021475i,-0.0031364-0.0096026i,-0.0063533+0.0086423i,-0.00026324+0.0057393i,0.0094192+0.015385i,0.00034366+0.0084217i,0.0012133+0.042053i,-0.0077719+0.0037353i,0.0016142+0.0051873i,0.0085879+0.0060394i,-0.0050193+0.0068801i,-0.0054844+0.0043895i,-0.003793-0.00071255i,0.0046275+0.0059713i,-0.0037871+0.0019595i,-0.0051535+0.0027323i,-0.00093274+0.0068045i,0.0091512+0.016481i,-0.0067243-0.0024668i,0.0017679+0.017249i,-0.0055796+0.03496i,-0.044209-0.07876i,-0.011584-0.023263i,-0.015264+0.045118i,-0.026583+0.013157i,0.0012669-0.020456i,0.00039919+0.00097406i,-0.02983+0.00483i
-0.039071-0.0047134i,-0.05347-0.032301i,-0.066199-0.013255i,-0.044533+0.0034282i,-0.058705-0.0032411i,-0.03751+0.038245i,-0.023208+0.031271i,-0.044345+0.02151i,-0.036284+0.0023933i,0.0069285-0.0006923i,0.013002+0.0034689i,0.0083233-0.0067682i,-0.00081218-0.011916i,0.011284-0.0043171i,-0.0010983-0.002559i,0.0014834-0.00016218i,0.0019667-0.019506i,0.002793-0.0036823i,0.0071785+0.0022559i,-0.0019664-0.0011403i,0.0040771-4.9295e-05i,0.0041929+0.00077066i,0.0024821+0.0015655i,0.017491-0.0099265i,0.00079739+0.001246i,-0.0034472-0.0026704i,0.00016966-0.0012407i,0.00079324-0.003144i,9.5846e-05-0.00026017i,-0.00024604+0.0040573i,-0.0046874-0.0010013i,-0.00083108+0.0042701i,-0.0020985+0.0044097i,-0.002804-6.631e-05i,-0.0033641-0.0029376i,0.016149-0.0045784i,-0.003599-0.00091786i,-0.0025262-0.0014571i,-0.0062057-0.003979i,-0.0064338+0.0027548i,0.0041892+0.0016031i,0.0025892-0.00049772i,-0.0020486-0.0053585i,0.0044406+0.0033188i,-0.024045-0.039113i,0.014437-0.040274i,-0.035813-0.082007i,-0.040081-0.038624i,-0.038428-0.068377i,-0.035454-0.046298i,-0.073218-0.07965i,-0.083471-0.042418i,-0.027983-0.10114i,-0.0094022-0.043497i,0.025861-0.0095976i,-0.0079673+0.0015734i,-0.015206+0.00040161i,-0.0053657-0.00010749i,-0.012758+0.013352i,-0.011754+0.0078377i,-0.0080346+0.042172i,0.010976+0.0011588i,-0.012097+0.0021623i,-0.0042429+0.0069888i,-0.001304+0.0045093i,-0.0042457+0.018972i,0.01103+0.0051935i,-0.0085289-0.019673i,-0.0050258-0.021121i,-0.0063424-0.0022411i,-0.0027288+0.011725i,0.0031063+0.0047809i,0.015372+0.0082616i,0.0041179+0.005755i,0.022403+0.038826i,-0.0037415+0.0067061i,0.0018569+0.0031846i,0.0089139+0.00055591i,0.000186+0.0089643i,-0.0068386+0.0074131i,-0.0044867+0.0032359i,0.0084339+0.0053874i,-0.0016027+0.0048744i,-0.0067095+0.0054158i,0.0030354+0.006987i,0.011648+0.011428i,-0.0066048+0.0006676i,0.0068967+0.012601i,0.0051628+0.032338i,-0.05165-0.074879i,-0.027155-0.021397i,0.0016044+0.035782i,-0.021339+0.016608i,-0.0035785-0.027789i,-0.003338-0.0030999i,-0.022463+0.0076507i
-0.038022-0.00081727i,-0.06286-0.019909i,-0.069319+0.0023929i,-0.041036+0.0078129i,-0.058531+0.011531i,-0.029555+0.042349i,-0.016268+0.030044i,-0.038054+0.026426i,-0.03479+0.0097185i,0.006493-0.0028857i,0.01349-0.0044758i,0.0025251-0.0072131i,-0.004513-0.0076083i,0.0070426-0.0081983i,-0.002589-0.0020703i,0.0023023+0.00017883i,-0.0043783-0.013555i,0.00040999-0.0039905i,0.0052703-0.00025541i,-0.001377+0.00016158i,0.0025721-0.0010673i,0.0043006-0.00045819i,0.0028089+0.00027827i,0.0095176-0.015741i,7.415e-06-0.00077743i,-0.0028176-0.0018795i,-0.00010195-0.0016135i,0.00053878-0.0033422i,0.0010317-0.00016435i,0.0010502+0.0031319i,-0.0051238+0.00013585i,0.00081832+0.0036774i,-0.00031376+0.0049448i,-0.0025005+0.00035839i,-0.0047836-0.00013322i,0.0131-0.0096824i,-0.0030587-0.00012304i,-0.0022495-1.6629e-05i,-0.008123+0.00042i,-0.0054766+0.0062314i,0.0038878+0.00037895i,0.0032148-0.0013699i,-0.0038826-0.0047563i,0.0023896+0.00011162i,-0.033602-0.031236i,0.0060144-0.031115i,-0.047347-0.082391i,-0.03706-0.036957i,-0.047033-0.06498i,-0.046454-0.040786i,-0.08921-0.062589i,-0.077177-0.023112i,-0.055781-0.087354i,-0.0075775-0.048654i,0.023051-0.021997i,-0.0058035+0.004171i,-0.01393+0.0036885i,-0.0080608+0.0055043i,-0.0048309+0.018875i,-0.0075225+0.01136i,0.0099781+0.034158i,0.0094404-0.0044411i,-0.012042+0.0055899i,-0.0027612+0.0058734i,0.0010996+0.004892i,0.0035717+0.015525i,0.011917-0.0026251i,-0.017595-0.0099259i,-0.015121-0.011475i,-0.0034463+0.0019408i,0.0037481+0.012141i,0.0038755+0.0023148i,0.018426+0.00083633i,0.0069182+0.0040519i,0.036706+0.024025i,-0.0012473+0.0050292i,0.00052339+0.0037288i,0.0070198-0.0044783i,0.0057817+0.0060853i,-0.0051811+0.014841i,-0.0015791+0.0075673i,0.012339+0.0003784i,0.0027375+0.004889i,-0.0046994+0.0095303i,0.0055637+0.0041728i,0.012597+0.0069722i,-0.006285+0.0020964i,0.0085364+0.0067289i,0.01234+0.026509i,-0.061514-0.067844i,-0.033899-0.0080806i,0.01111+0.023351i,-0.0093777+0.021355i,-0.015695-0.026815i,-0.010684-0.0026677i,-0.020743+0.0027937i
-0.037601+0.0032933i,-0.06462-0.0043417i,-0.06624+0.018744i,-0.039262+0.012038i,-0.05285+0.023324i,-0.020759+0.045756i,-0.010828+0.027927i,-0.032487+0.029785i,-0.029227+0.01557i,0.0047996-0.0051943i,0.0070894-0.0098554i,-2.0633e-05-0.0046728i,-0.0050768-0.0041812i,0.002893-0.0094799i,-0.0038469-0.0004805i,0.0022559-0.00083428i,-0.0045947-0.008147i,-0.0012922-0.0030408i,0.0037994-4.2971e-05i,-0.00033556+0.00085297i,0.0025406-0.00010221i,0.0040421-0.001486i,0.0028966-0.0004869i,0.0022077-0.015987i,-0.0011599-0.00093532i,-0.0032466-0.0025857i,-0.00055973-0.0014367i,-0.00074059-0.0032138i,0.0010151-0.0011932i,0.002366+0.0026039i,-0.0052945+0.0011512i,0.0020114+0.0025894i,0.0016424+0.0037128i,-0.0023542+0.0016698i,-0.0036759+0.00066085i,0.0070723-0.013477i,-0.0021797+0.00031706i,-0.0015518+0.00092906i,-0.0079395+0.0001317i,-0.0028139+0.0078261i,0.0037032-0.00071011i,0.0022777-0.0023139i,-0.0033727-0.0013616i,-0.0014809+0.0003341i,-0.038668-0.02112i,0.013858-0.025123i,-0.062589-0.079113i,-0.037886-0.037796i,-0.053773-0.059106i,-0.052286-0.032004i,-0.10042-0.039672i,-0.071902-0.013192i,-0.06668-0.060405i,-0.01101-0.051674i,0.014807-0.033902i,-0.0042737+0.0050788i,-0.0098459+0.0035255i,-0.00382+0.011362i,0.0034881+0.017853i,0.00087421+0.010288i,0.017314+0.021163i,0.0054658-0.0065177i,-0.0098582+0.0093837i,-0.0026697+0.005868i,0.0019851+0.0028152i,0.0070017+0.01152i,0.0053938-0.005475i,-0.019444+0.00076881i,-0.016788-0.0011741i,0.00014421+0.0024246i,0.0075093+0.010487i,0.0026264+0.0013158i,0.013829-0.0096349i,0.0078815-0.0014618i,0.041817+0.0048471i,-0.0015298+0.0059558i,0.0029425+0.0030846i,0.0020854-0.0071199i,0.0061197+0.002092i,0.0026703+0.017861i,0.0047509+0.0054822i,0.0094228-0.0050436i,0.005368+0.0015371i,0.0022273+0.013058i,0.0046571+0.002991i,0.012309+0.0031757i,-0.0073006+0.0039836i,0.0054758+0.0031445i,0.015752+0.021199i,-0.066263-0.058071i,-0.030435+0.0049474i,0.011956+0.011844i,-0.0003348+0.014023i,-0.026986-0.020471i,-0.013945+0.0059477i,-0.025957+0.004883i
-0.03711+0.0082505i,-0.061212+0.0067832i,-0.057785+0.03291i,-0.037619+0.016472i,-0.045121+0.032053i,-0.011504+0.047618i,-0.007232+0.025641i,-0.027433+0.0334i,-0.023999+0.018494i,0.0016698-0.0064348i,0.00031674-0.0089445i,-0.00068753-0.0033929i,-0.0041609-0.002516i,-0.0009151-0.009226i,-0.0034972+0.0015152i,0.00088063-0.0018609i,-0.0042525-0.0068496i,-0.0015997-0.001411i,0.0032535-0.00036017i,0.00096763+0.00098744i,0.0037865-0.0009014i,0.0034209-0.0020729i,0.0027847-0.0012831i,-0.0029521-0.013736i,-0.001523-0.00043067i,-0.0044063-0.0014504i,-0.00099387-0.0014739i,-0.0018731-0.0029107i,0.00045022-0.0017041i,0.0032594+0.0010334i,-0.0051+0.0028446i,0.0023887+0.0011742i,0.0024061+0.0023661i,-0.0014239+0.0026364i,-0.0036575+0.0017888i,0.0013929-0.011237i,-0.0022151+0.00016684i,-0.00056207+0.001062i,-0.0067417+0.0032444i,0.00039441+0.0085018i,0.0031967-0.0017261i,0.0027874-0.0019975i,-0.0041485+6.9713e-05i,-0.0016942+0.0038088i,-0.037843-0.011693i,0.026643-0.035276i,-0.079653-0.067399i,-0.042565-0.037922i,-0.05818-0.053533i,-0.056736-0.023748i,-0.10068-0.016254i,-0.067295-0.0026407i,-0.060931-0.041828i,-0.014469-0.055978i,0.00076253-0.039364i,-0.0017223+0.0059887i,-0.010202+0.0012002i,0.0028119+0.011579i,0.0084362+0.012837i,0.0046145+0.0033744i,0.016637+0.0092175i,0.00096397-0.0079911i,-0.006501+0.012457i,-0.00315+0.0067186i,0.0015564+0.0014374i,0.0078488+0.0073076i,0.002895-0.0033287i,-0.015362+0.010228i,-0.012738+0.0060333i,0.0016727+0.0020267i,0.011907+0.0067735i,0.0021143+0.0010365i,0.0042745-0.012925i,0.0046529-0.0050109i,0.036727-0.010467i,0.00084238+0.0068001i,0.0019938+0.001789i,-0.002072-0.0052383i,0.0053564+0.00061792i,0.011304+0.017028i,0.0052316+0.0012759i,0.0070564-0.0072021i,0.0039595-0.0012587i,0.007934+0.010777i,0.0051397+0.0013994i,0.013119-0.00070122i,-0.0054817+0.0088309i,0.0052946+0.0024982i,0.01849+0.01651i,-0.071294-0.051543i,-0.024262+0.010256i,0.011023+0.0055034i,-1.1076e-05+0.006229i,-0.034444-0.010058i,-0.0085509+0.0089627i,-0.024228+0.010133i
-0.035031+0.013407i,-0.055826+0.015207i,-0.045319+0.042403i,-0.034178+0.021688i,-0.035658+0.037355i,-0.0023975+0.047505i,-0.0042098+0.023998i,-0.021485+0.036601i,-0.019142+0.020359i,-0.0013442-0.0064692i,-0.0031395-0.0056361i,-0.0005051-0.0031277i,-0.0042215-0.0014855i,-0.0043872-0.0073009i,-0.0027748+0.0027364i,-0.0008379-0.0016884i,-0.0060018-0.0070707i,-0.0012702-0.00083109i,0.0026382-0.00095819i,0.0018839+8.257e-05i,0.00383-0.0023645i,0.0033077-0.0026886i,0.0023338-0.002109i,-0.0068494-0.01114i,-0.0017645-0.00028561i,-0.0041689+0.00025404i,-0.0018376-0.0010195i,-0.002523-0.0019267i,-0.00037911-0.0018589i,0.0025342-0.0010585i,-0.0041453+0.0049391i,0.0020474+0.00035927i,0.0029088+0.0011956i,0.00023484+0.0025585i,-0.0027368+0.0030793i,-0.00035618-0.0080839i,-0.0022619+0.00048442i,0.00014759+0.00056614i,-0.0028182+0.004995i,0.0043264+0.0078859i,0.0022649-0.0023465i,0.0027475-0.0036237i,-0.0037649+0.0015615i,-2.3265e-06+0.0034516i,-0.034912-0.0067503i,0.026036-0.058512i,-0.090082-0.048848i,-0.046567-0.036225i,-0.062934-0.05259i,-0.058691-0.014136i,-0.097721+0.0015153i,-0.061742+0.0052286i,-0.056073-0.030925i,-0.022417-0.058958i,-0.015134-0.038914i,-8.3248e-05+0.0051699i,-0.015443+0.0019204i,0.0074312+0.0078306i,0.010208+0.0071455i,0.0037362-0.0020146i,0.012577+0.0032688i,-0.0039339-0.0080645i,-0.0015503+0.013829i,-0.0018418+0.0080469i,0.00082859+0.0011362i,0.0068728+0.0038594i,0.0026415-0.0021499i,-0.0075553+0.014634i,-0.0074863+0.010318i,0.0039591-0.00012639i,0.014072-0.00045564i,0.0016051+0.0014324i,-0.0027738-0.010601i,0.0011107-0.0053287i,0.027716-0.019704i,0.0037748+0.006188i,0.0012372+0.0028326i,-0.0046765-0.0022655i,0.0049416-0.0024803i,0.018688+0.011288i,0.0040258-0.0018734i,0.0043228-0.0093379i,0.0019149-0.0024932i,0.011335+0.0079613i,0.00467+0.0013566i,0.010034-0.0063539i,-0.00067364+0.010329i,0.00528+0.00056839i,0.021484+0.012014i,-0.077198-0.04292i,-0.018714+0.014857i,0.010782+2.933e-05i,-0.0023178+0.0033818i,-0.036873+0.0015063i,-0.00634+0.0075476i,-0.020325+0.013584i
