-0.023867-0.03756i,-0.012097-0.049818i,-0.018079-0.044597i,-0.030667-0.035471i,-0.030002-0.01565i,-0.050221-0.02723i,-0.057755-0.025588i,-0.044016-0.03613i,-0.033546-0.030834i,0.0079994+0.012628i,-0.0050958+0.01505i,-0.0044511+0.014228i,0.0092678+0.021131i,0.00055633+0.0041375i,0.0033687+0.003532i,0.0072647+0.018017i,0.022593+0.044008i,-0.0025768-0.0010266i,-0.0046337-0.0061309i,0.0083597+0.003036i,-0.00031394-0.00072983i,-0.0010126+0.0015053i,0.00014613-0.00033116i,-0.029722-0.0019622i,-0.0014732-0.0059091i,0.0016642+0.0045635i,0.0032289-9.5062e-06i,-0.0003352+0.00090232i,0.00076737-0.00025939i,-0.00074239-0.0027557i,-0.0017224-0.0058975i,-0.0046036-0.0045314i,-0.0021-0.0044103i,0.0025528-0.00031695i,0.0020421-0.0027464i,-0.0011525+0.026161i,0.0014546-0.0032711i,0.002586+0.00070841i,0.0058953+0.0013574i,-0.011171-0.0036399i,-0.0034149+0.00037069i,0.0060053+0.0015876i,0.0056887-0.00078138i,-0.0033353+0.0048782i,0.0021578-0.0082425i,-0.011848+0.018166i,0.035869-0.090277i,0.012142-0.06997i,-0.01575-0.059598i,-0.016697-0.055402i,0.040499-0.04518i,0.016862-0.062801i,0.035124-0.05501i,0.029234-0.059433i,0.016103-0.013539i,0.0046798+0.016577i,0.01663-0.026478i,-0.012063+0.0056144i,-3.6046e-05+0.005297i,-0.0049458-0.0020199i,-0.0021996-0.029088i,-0.023642+0.031586i,0.010218-0.011662i,-0.012985-0.0024047i,5.6881e-05-0.0049634i,-0.0012889-0.016266i,-0.0075108+0.0046179i,0.0049876+0.0069125i,-0.0096082+0.031405i,0.0050992+0.0061183i,-0.0053679-0.00073298i,-0.0029821-0.00066202i,-0.012362-0.0086511i,-0.00069064-0.0043573i,-0.024971+0.022417i,0.00056526-0.010211i,-0.0095777-0.001947i,-0.0066114-0.0028798i,0.00717+0.00281i,-0.0077985+0.0017494i,-0.00018932+0.00029178i,0.0061948+0.011705i,0.0038123+0.0014312i,-0.0091386-0.010511i,0.0032047+0.008224i,-0.02223+0.0061325i,0.0082767+0.0005385i,-0.028628-0.0038905i,-0.041697+0.003475i,0.0184-0.09979i,-0.0012278-0.012327i,-0.052896-0.022059i,-0.023029-0.0013462i,0.017637+0.010953i,-0.024504+0.013494i,-0.019562-0.012141i
-0.030954-0.033963i,-0.019243-0.042953i,-0.024966-0.042718i,-0.038024-0.032006i,-0.028119-0.015807i,-0.056718-0.015942i,-0.059674-0.013798i,-0.048689-0.028511i,-0.033635-0.024168i,0.0089562+0.0086245i,-0.0036402+0.012756i,0.0021554+0.016014i,0.01704+0.014675i,-0.00017702+0.0054823i,0.0038924+0.0022351i,0.010834+0.011851i,0.031784+0.030526i,-0.00089684+0.0021197i,-0.0063302-0.0018238i,0.0069668-0.0011479i,-0.0010489+0.00057249i,-0.0026369+0.0019474i,-8.6159e-05+7.6967e-05i,-0.017967+0.013013i,-0.0033063-0.0042355i,0.0054665+0.0012227i,0.0026937-0.00027296i,0.00070947+0.002064i,0.0012308-0.00094122i,-0.0017855-0.0028575i,-0.0021046-0.0046896i,-0.0051449-0.002615i,-0.0033717-0.0037626i,0.0022544-0.0018222i,0.0012318-0.001886i,0.0073402+0.02356i,0.00087696-0.0038973i,0.0022609-0.0004136i,0.0079294-0.0010868i,-0.008476-0.00085159i,-0.0029139+0.002691i,0.0049138+3.6441e-05i,0.0045266-0.0016566i,-0.0049849+0.0065185i,0.0062376-0.011618i,0.003461+0.023492i,0.018339-0.096747i,-0.0054417-0.076297i,-0.012539-0.055148i,-0.0204-0.045066i,0.035162-0.064338i,0.013433-0.080744i,0.03594-0.055044i,0.018493-0.067686i,0.0059102-0.0067511i,0.0072634+0.0055184i,0.0054121-0.026792i,-0.0075297+0.011008i,0.00012183-0.0032436i,-0.0054129-0.0023728i,-0.024447-0.027451i,-0.0097923+0.029434i,0.0033856-0.014484i,-0.01319+0.0015131i,-0.0012641-0.0045586i,-0.0084885-0.01444i,-0.0080605+0.0088133i,0.0083049+0.0061504i,0.0088546+0.026643i,0.0062898+0.0012968i,-0.0045426+0.0019428i,-0.0046142-0.00014374i,-0.016584+0.001848i,-0.00068423-0.0030339i,-0.03231+0.0035663i,-0.0049011-0.0075254i,-0.0097007+0.0032177i,-0.0082283+0.00091146i,0.0058426-0.0034433i,-0.0069324+0.0038657i,0.00071591-0.0010756i,0.0058266+0.004847i,0.0032738+0.00036843i,-0.013919-0.0011477i,0.0040506+0.004783i,-0.016382+0.015497i,0.0063184-0.0036653i,-0.0275+0.0072575i,-0.038406+0.012632i,0.0037556-0.099148i,-0.0057889-0.015578i,-0.058632-0.0081779i,-0.017624-0.0034491i,0.018087+0.0052125i,-0.018116+0.019867i,-0.027469-0.017244i
-0.035766-0.027574i,-0.022546-0.041458i,-0.03111-0.041015i,-0.044055-0.024822i,-0.028572-0.017588i,-0.060116-0.0033936i,-0.062118-0.00066007i,-0.053793-0.019998i,-0.036933-0.019823i,0.0087358+0.0052361i,-0.0011436+0.015297i,0.0086162+0.012813i,0.019481+0.0049472i,0.0012222+0.006785i,0.0043211+0.0010161i,0.011489+0.0061052i,0.038943+0.01548i,0.0018961+0.0019677i,-0.004981+0.0018776i,0.005136-0.0038895i,-0.0013458+0.0019139i,-4.6025e-06+0.00378i,4.4269e-05+0.0002485i,-0.0067703+0.016467i,-0.0030402-0.002552i,0.005665-0.0030276i,0.0022805-0.0012063i,0.0023525+0.0016387i,0.00025558-0.0015896i,-0.0025314-0.0022375i,-0.0028487-0.0043185i,-0.0059203-0.00054377i,-0.0038297-0.0022888i,0.0011139-0.0030133i,0.0023828-0.0041307i,0.014428+0.017348i,-0.00012189-0.0036215i,0.0020594-0.0012155i,0.0069902-0.0066029i,-0.008209+0.0015316i,-0.0014939+0.0039051i,0.0055707-0.0017582i,0.0045835-0.0020803i,-0.0032428+0.0089203i,0.007035-0.019534i,0.019363+0.019375i,0.0013814-0.098401i,-0.023301-0.071631i,-0.007449-0.060649i,-0.019124-0.043951i,0.023819-0.080233i,-0.0069294-0.096142i,0.040819-0.062368i,0.0054689-0.068223i,0.0053014-0.0028176i,0.0057939+0.0010505i,-0.0033386-0.028158i,0.0022941+0.010264i,-0.0072486-0.0051236i,-0.0046674-0.0039682i,-0.039181-0.014694i,-0.0010139+0.027771i,-0.0029174-0.014618i,-0.011655+0.0056557i,-0.0037942-0.0037671i,-0.016068-0.010227i,-0.0028347+0.013763i,0.01202+0.00061566i,0.019227+0.016215i,0.0053357-0.00078603i,-0.0037954+0.0016717i,-0.0046075+0.0014837i,-0.012246+0.010379i,-0.0038135-0.0022558i,-0.023741+0.016005i,-0.0063719-0.0031714i,-0.0072164+0.0068892i,-0.0082623+0.0074599i,0.00027323-0.0058217i,-0.0051198+0.0054298i,-9.4177e-05-0.0019722i,0.0032028+0.0030531i,0.0030869-0.00084168i,-0.0088907+0.006237i,0.0031068+0.001956i,-0.010049+0.018084i,0.0023516-0.0062609i,-0.022017+0.014734i,-0.033969+0.024178i,-0.0087398-0.09804i,-0.012108-0.013841i,-0.057391+0.0072642i,-0.022362-0.008629i,0.016431-0.0028277i,-0.0082327+0.019808i,-0.032374-0.01222i
-0.038622-0.021333i,-0.027702-0.042701i,-0.038683-0.039733i,-0.045632-0.016501i,-0.032094-0.020273i,-0.059083+0.010183i,-0.058748+0.018084i,-0.057683-0.0078389i,-0.039377-0.012902i,0.0079829+0.0031277i,0.0048595+0.015396i,0.011295+0.0073561i,0.01844-0.0032906i,0.0038979+0.0080345i,0.0037822-0.0010356i,0.0097056+0.00042878i,0.040385-0.0034653i,0.002816-3.5607e-05i,-0.0037225+0.004556i,0.0027511-0.0049933i,0.00046125+0.0033924i,0.0022952+0.0032582i,-0.00025524+0.00056271i,0.0028822+0.01969i,-0.0032098-0.0021628i,0.0032559-0.0053498i,0.0017099-0.0018878i,0.0022225-0.0002389i,-0.00035138-0.00098573i,-0.0038223-0.0016875i,-0.0034831-0.0035506i,-0.0050634+0.0015784i,-0.0047638-0.0012428i,-0.00040696-0.0035281i,-0.00063993-0.0056353i,0.015161+0.010137i,-0.001129-0.0036948i,0.0013852-0.0020915i,0.0028321-0.0088702i,-0.0051091+0.004706i,0.00026832+0.0041475i,0.0041864-0.002404i,0.0036636-0.0037656i,8.5707e-05+0.0093396i,0.0059613-0.025862i,0.032975+0.0087902i,-0.01494-0.095778i,-0.03256-0.061989i,-0.012969-0.066989i,-0.021446-0.044013i,0.0062083-0.096248i,-0.033966-0.09641i,0.037692-0.081667i,-0.0038084-0.066604i,0.0057598-0.00040115i,0.0022095-0.0038505i,-0.014504-0.025128i,0.0038146+0.0026693i,-0.009848-0.0013474i,-0.0090596-0.0064079i,-0.043327+0.0044782i,0.0099276+0.022493i,-0.0093422-0.012846i,-0.0074812+0.0064133i,-0.005062-0.001597i,-0.020403-0.001749i,0.0047066+0.011989i,0.01246-0.0054645i,0.023675-0.038544i,0.0052937-0.0027675i,-0.0043187+0.0013967i,-0.0044159+0.0038439i,-0.0061152+0.016738i,-0.0053723+0.0013909i,-0.018675+0.020252i,-0.0061165-0.00042564i,-0.0025885+0.0096305i,-0.0022108+0.01256i,-0.0045177-0.0029614i,-0.0022173+0.0044123i,-0.00023476-0.0015921i,0.0024094+0.003192i,0.0016562-0.0028108i,-0.0033125+0.0054582i,7.8977e-05-0.00034669i,-0.0059311+0.020047i,-0.0018345-0.005356i,-0.014364+0.019415i,-0.023555+0.029035i,-0.021204-0.095714i,-0.0097991-0.0087509i,-0.051645+0.02314i,-0.029219-0.004974i,0.01308-0.0084562i,0.00064033+0.014961i,-0.033262-0.0040439i
-0.039681-0.014737i,-0.037743-0.040638i,-0.048896-0.036034i,-0.045951-0.010132i,-0.040055-0.020901i,-0.054867+0.022538i,-0.044325+0.029028i,-0.055177+0.0041245i,-0.036863-0.0058345i,0.0075627+0.0015504i,0.010052+0.010779i,0.012087+0.0033713i,0.013055-0.0096167i,0.008157+0.0066552i,0.0023913-0.0024726i,0.0057194-0.0019007i,0.028415-0.02001i,0.00255-0.0010734i,-3.0391e-05+0.008095i,0.00036524-0.0047436i,0.0021554+0.0038583i,0.0030408+0.0021206i,-0.00021238+0.0014763i,0.015287+0.013379i,-0.0042569-0.0006041i,0.00078653-0.0059569i,0.00069312-0.002214i,0.0019026+3.2013e-05i,-0.00028636-0.00051056i,-0.0048201+0.00084682i,-0.0044622-0.002585i,-0.0037231+0.0030224i,-0.0043013+0.00071853i,-0.0021719-0.0032895i,-0.00274-0.0038717i,0.015952+0.0069879i,-0.0018108-0.0034027i,0.0001186-0.0026621i,-0.00079272-0.008168i,-0.0027291+0.0024711i,0.0011345+0.0038829i,0.0017186-0.0018355i,0.0027949-0.0044144i,0.0015787+0.007693i,0.00073004-0.036164i,0.042098-0.0092289i,-0.025485-0.087892i,-0.036986-0.053117i,-0.020565-0.071486i,-0.024171-0.042616i,-0.022642-0.10521i,-0.057069-0.085941i,0.018457-0.096883i,-0.015614-0.060808i,0.0090975+0.0014658i,-0.0029205-0.0054591i,-0.01097-0.048616i,0.00011413-0.00030157i,-0.011326+0.00022315i,-0.016221-0.0027298i,-0.037863+0.020763i,0.014191+0.011864i,-0.014381-0.0072108i,-0.0057861+0.0062511i,-0.005805+0.0014358i,-0.018882+0.0088408i,0.0052968+0.0070887i,0.010193-0.01078i,0.028663-0.0085487i,0.00334-0.0062178i,-0.0062809+0.0036091i,-0.002009+0.0061713i,0.0024467+0.01883i,-0.0042043+0.0057036i,-0.009019+0.027742i,-0.0066536+0.00066442i,0.0015837+0.0066785i,0.0046366+0.011813i,-0.0061721+0.0011167i,-0.0038383+0.0016437i,-0.0015062-0.0019204i,0.0013299+0.0050862i,-0.0026528-0.0036124i,-0.002732+0.0023065i,-0.0027333+0.0016181i,0.0022183+0.022326i,-0.0046737-0.0040213i,-0.0055191+0.02036i,-0.018495+0.031351i,-0.034176-0.090276i,-0.004702-0.012705i,-0.039842+0.038402i,-0.031488+0.005244i,0.0076112-0.012925i,0.0011115+0.0072581i,-0.030907+0.00031111i
-0.039175-0.0096842i,-0.044054-0.035606i,-0.059776-0.026302i,-0.046384-0.0040982i,-0.051106-0.015582i,-0.046418+0.032673i,-0.031849+0.031318i,-0.050638+0.01344i,-0.035184-0.0021511i,0.0065092+0.0003624i,0.010479+0.0065258i,0.011877-0.00212i,0.0065722-0.013157i,0.010979+0.0024591i,0.00037697-0.0028591i,0.0026765-0.0017938i,0.012804-0.024381i,0.0033951-0.0018557i,0.0050673+0.0069482i,-0.0013919-0.0032016i,0.0037763+0.0018824i,0.0031379+0.0012126i,0.0011219+0.0021538i,0.021115+0.0013858i,-0.0025962+0.0019841i,-0.0019381-0.0050974i,-0.00071602-0.00068205i,0.0031335-0.00097278i,-0.00025453-0.00060239i,-0.0030336+0.0037684i,-0.0043705-0.001641i,-0.0029303+0.0038296i,-0.0039784+0.0025549i,-0.0034167-0.00137i,-0.0024333-0.0023948i,0.017825+0.002123i,-0.0030741-0.0027346i,-0.0018112-0.002765i,-0.0037241-0.0078744i,-0.0045273+0.0007495i,0.0056859+0.0034299i,0.00080259+0.00014698i,0.00059514-0.0051774i,0.0032257+0.0068646i,-0.011376-0.041436i,0.033213-0.033553i,-0.028963-0.080887i,-0.040659-0.046391i,-0.030619-0.071133i,-0.025997-0.043879i,-0.052839-0.096172i,-0.076366-0.06864i,-0.0017383-0.10089i,-0.01699-0.046088i,0.01752+0.0043363i,-0.0066951-0.002798i,-0.0159-0.0084772i,-0.0012272-0.00037912i,-0.015493+0.0042281i,-0.01492+0.0045647i,-0.028283+0.034293i,0.011803+0.0046947i,-0.012755+0.00043329i,-0.0074164+0.0057579i,-0.0031513+0.0051393i,-0.012151+0.015052i,0.0066832+0.0080722i,0.0048737-0.01875i,0.014532-0.020541i,-0.0032122-0.0088469i,-0.0067666+0.0079761i,-0.00029104+0.0060958i,0.010159+0.01635i,0.00015317+0.0079043i,0.0086413+0.038972i,-0.0083475+0.0031042i,0.001693+0.0050553i,0.008728+0.0066689i,-0.0039625+0.0070735i,-0.0056874+0.004038i,-0.0036865-0.0014864i,0.0044532+0.0066082i,-0.0037396+0.0026571i,-0.005316+0.0023232i,-0.00040779+0.0065561i,0.010057+0.017653i,-0.0065504-0.0022006i,0.00074443+0.017443i,-0.0072399+0.036244i,-0.041281-0.080775i,-0.011253-0.023601i,-0.016218+0.044168i,-0.026554+0.013365i,0.0033645-0.019729i,0.0002196+0.001294i,-0.029305+0.0052388i
-0.038837-0.0050674i,-0.053921-0.031292i,-0.066911-0.012657i,-0.044475+0.0035331i,-0.058567-0.0026453i,-0.036911+0.038682i,-0.02303+0.030895i,-0.04491+0.020356i,-0.036168+0.0024058i,0.0067123-0.0011454i,0.013017+0.0036556i,0.0081937-0.0066865i,-0.00091296-0.011985i,0.011032-0.0036716i,-0.0010717-0.0029283i,0.0011086-0.00010305i,0.0012945-0.02069i,0.0018649-0.0040622i,0.0066374+0.0028769i,-0.0020412-0.0010921i,0.0040158-0.00017622i,0.0042099+0.00097407i,0.0024879+0.0014484i,0.016867-0.0099936i,0.00064863+0.0011968i,-0.0026737-0.0028234i,3.4084e-06-0.0011058i,0.0049086-0.0020626i,-0.00019299-0.00022181i,-0.00033691+0.0040935i,-0.0047632-0.0008109i,-0.0010444+0.0044517i,-0.0021664+0.0038575i,-0.0029618-1.2133e-05i,-0.0033669-0.0028858i,0.016859-0.004814i,-0.0032464-0.0012275i,-0.0026201-0.0012249i,-0.007175-0.0032123i,-0.0070617+0.003341i,0.0039786+0.0012407i,0.0024711-0.00026694i,-0.0018875-0.0046311i,0.0048578+0.003115i,-0.024326-0.03943i,0.014896-0.039697i,-0.035698-0.082603i,-0.039578-0.039075i,-0.03838-0.068605i,-0.035096-0.046484i,-0.072773-0.080753i,-0.082643-0.0431i,-0.02669-0.10212i,-0.01006-0.04318i,0.025022-0.010238i,-0.0078792+0.001282i,-0.014956-0.00070002i,-0.0055113-5.6277e-05i,-0.013115+0.013215i,-0.011961+0.0078328i,-0.0080228+0.039963i,0.011376+0.0010253i,-0.012038+0.0015619i,-0.0036707+0.0074872i,-0.0014218+0.0045853i,-0.0051765+0.019089i,0.011102+0.0046469i,-0.0081821-0.019875i,-0.0037101-0.022967i,-0.0061475-0.0019675i,-0.0028016+0.0118i,0.0032394+0.0051574i,0.016229+0.0076505i,0.003631+0.0057636i,0.027011+0.036965i,-0.0040845+0.0063569i,0.0023142+0.0031006i,0.0091775+0.0013044i,0.00097776+0.0085734i,-0.0068346+0.0067142i,-0.0045717+0.0029497i,0.0082065+0.0064869i,-0.0016182+0.0052495i,-0.0059613+0.0049602i,0.0032352+0.0064321i,0.013905+0.01073i,-0.0060705+0.00052773i,0.0066299+0.012928i,0.0048574+0.033421i,-0.047647-0.078143i,-0.026929-0.022608i,0.0015676+0.035345i,-0.021668+0.017031i,-0.0035231-0.024733i,-0.0035452-0.0029394i,-0.021257+0.0077463i
-0.038214-0.0012314i,-0.062634-0.019559i,-0.069766+0.0028371i,-0.040946+0.0080597i,-0.058191+0.01214i,-0.028883+0.042563i,-0.016362+0.029878i,-0.039017+0.02536i,-0.034507+0.010213i,0.0059665-0.0032068i,0.013455-0.0042288i,0.0026336-0.007314i,-0.0046549-0.0076188i,0.0069247-0.0078934i,-0.0029078-0.0020536i,0.002052+0.00032253i,-0.0052182-0.014181i,-0.00071171-0.0038076i,0.005278-7.9513e-05i,-0.0015012+0.00027224i,0.0024478-0.0011812i,0.0042972-0.00051978i,0.0027733+0.00033681i,0.0093115-0.015293i,6.2669e-05-0.00094576i,-0.0026032-0.0020149i,-0.00014047-0.0013817i,-0.00035163-0.0044487i,0.00089059+5.463e-05i,0.0010929+0.0030456i,-0.0051817+0.00019246i,0.00097879+0.0038121i,-0.00085795+0.004387i,-0.0025455+0.0003568i,-0.0046427+0.00010329i,0.013113-0.010021i,-0.0027069-0.00042849i,-0.0022599+0.00018538i,-0.0079344-0.0022097i,-0.0051533+0.0068798i,0.0041259+0.00022345i,0.0028398-0.00092794i,-0.0040111-0.0031807i,0.002531+5.926e-05i,-0.034212-0.031578i,0.0069606-0.030697i,-0.047582-0.082986i,-0.036548-0.037498i,-0.047569-0.06511i,-0.045521-0.040988i,-0.08898-0.063488i,-0.076577-0.023303i,-0.055131-0.088823i,-0.0078235-0.048028i,0.02151-0.022685i,-0.0062491+0.0038506i,-0.01379+0.0034816i,-0.0084639+0.0057143i,-0.0048043+0.018575i,-0.0080302+0.011058i,0.0099968+0.033772i,0.0092231-0.0046105i,-0.013638+0.0058982i,-0.0026375+0.0060076i,0.0010616+0.0048344i,0.0034743+0.015914i,0.011745-0.0026837i,-0.017949-0.010283i,-0.014019-0.011789i,-0.0034123+0.00225i,0.0041002+0.011087i,0.0039548+0.0028759i,0.018115+0.00089847i,0.0067369+0.004349i,0.038561+0.025207i,-0.0015488+0.0049159i,0.00086913+0.0036461i,0.0071337-0.0040061i,0.0059652+0.0058326i,-0.0053119+0.013461i,-0.0014418+0.0072677i,0.012059+0.00083159i,0.0030408+0.005326i,-0.0051132+0.008935i,0.005695+0.0041185i,0.013837+0.0055019i,-0.0061514+0.0018225i,0.0084702+0.0073404i,0.011817+0.027409i,-0.058492-0.071899i,-0.035417-0.009782i,0.010813+0.022966i,-0.0092742+0.020909i,-0.01516-0.025261i,-0.011171-0.0028327i,-0.019864+0.0031457i
-0.037801+0.0031208i,-0.064437-0.0046613i,-0.066485+0.020006i,-0.039145+0.01206i,-0.052462+0.024014i,-0.020089+0.045979i,-0.010827+0.027807i,-0.033846+0.029137i,-0.028983+0.015953i,0.0041641-0.005264i,0.007558-0.009628i,0.000174-0.0049525i,-0.0054327-0.0039797i,0.0025871-0.0094221i,-0.0039478-0.00034619i,0.0021525-0.00072416i,-0.0058969-0.0083852i,-0.0017186-0.0023443i,0.0039054-5.4155e-05i,-0.00053654+0.00091541i,0.0023136-0.00021726i,0.0038392-0.0013461i,0.0029362-0.00048836i,0.0025964-0.015725i,-0.0012221-0.001072i,-0.0032234-0.0021903i,-0.00041355-0.0014019i,-0.0010856-0.0038454i,0.00097659-0.0011261i,0.0021442+0.0023907i,-0.0052983+0.0013946i,0.0019166+0.00254i,0.0012858+0.0039699i,-0.0025752+0.0013594i,-0.0032027+0.00091004i,0.006937-0.013133i,-0.0021296+0.00017321i,-0.0015694+0.00095763i,-0.0082715-0.00029091i,-0.0023586+0.0083081i,0.0039355-0.0011666i,0.0021911-0.0019307i,-0.0041221-0.0026495i,-0.0014899+0.00022422i,-0.039756-0.021146i,0.014612-0.025044i,-0.063488-0.078313i,-0.037893-0.038928i,-0.053542-0.058872i,-0.051733-0.032366i,-0.10043-0.040059i,-0.07136-0.013404i,-0.065778-0.060451i,-0.010938-0.051129i,0.01346-0.031593i,-0.0046466+0.0051685i,-0.0097786+0.003653i,-0.0040519+0.011826i,0.0033312+0.017291i,0.0005611+0.010266i,0.016174+0.021889i,0.0045709-0.0063397i,-0.011127+0.010735i,-0.0026047+0.0056541i,0.0019313+0.0028678i,0.0077209+0.012272i,0.0051544-0.0052664i,-0.019642+0.0008755i,-0.016921-0.0022212i,0.00052131+0.0024157i,0.0065646+0.0099438i,0.0028145+0.0014791i,0.014471-0.010436i,0.0076818-0.00080934i,0.042072+0.0071241i,-0.0012882+0.0057695i,0.0032336+0.0032028i,0.0025712-0.0065987i,0.0063476+0.0017956i,0.002118+0.017631i,0.0047536+0.0052794i,0.0095021-0.0050014i,0.0056274+0.0016366i,-0.0012946+0.014743i,0.0047349+0.0028152i,0.012439+0.0023231i,-0.0072692+0.0035127i,0.0057489+0.0037221i,0.015797+0.021922i,-0.063523-0.061516i,-0.033899+0.0040763i,0.011532+0.011292i,-0.00045551+0.01374i,-0.027512-0.019485i,-0.014543+0.0058769i,-0.024107+0.0047485i
-0.03719+0.0081773i,-0.060764+0.0067282i,-0.057592+0.034129i,-0.03772+0.016516i,-0.044743+0.032563i,-0.010892+0.047311i,-0.0071543+0.025702i,-0.028741+0.033159i,-0.023673+0.018693i,0.0012503-0.006159i,0.0010753-0.009313i,-0.00066664-0.0036853i,-0.0043188-0.0022203i,-0.0013763-0.0090264i,-0.0036778+0.0017935i,0.00087356-0.0016109i,-0.0055272-0.0065676i,-0.001399-0.00081774i,0.0031123-0.00034712i,0.000896+0.0010644i,0.003579-0.00075289i,0.003335-0.0019305i,0.0027642-0.0013488i,-0.0030634-0.013873i,-0.0013552-0.00045344i,-0.003923-0.0010675i,-0.00090128-0.0014745i,-0.0021155-0.0032573i,0.00038436-0.0016446i,0.00307+0.00093399i,-0.0047098+0.0031499i,0.0022843+0.0014982i,0.0023339+0.0026608i,-0.0016651+0.0024482i,-0.0033891+0.0018622i,0.00090942-0.011027i,-0.0020621-0.00013622i,-0.00063948+0.0011616i,-0.0074476+0.0045792i,0.00068539+0.0091278i,0.0029907-0.0021865i,0.0026929-0.0016457i,-0.0042911-0.00018265i,-0.0019173+0.0038267i,-0.038554-0.011095i,0.027631-0.035097i,-0.079206-0.066411i,-0.042906-0.038474i,-0.057414-0.053645i,-0.056325-0.023973i,-0.10055-0.016756i,-0.066708-0.0030253i,-0.060244-0.042208i,-0.014526-0.05525i,0.0003904-0.036154i,-0.0023811+0.0065326i,-0.0099567+0.0012885i,0.0028319+0.012051i,0.0087869+0.012635i,0.0044447+0.0033633i,0.016299+0.0096034i,0.00097973-0.0068782i,-0.0063749+0.01403i,-0.0032684+0.006164i,0.0015572+0.0014724i,0.0088177+0.0071613i,0.0028237-0.0031229i,-0.015509+0.010121i,-0.013182+0.007078i,0.0014814+0.0015083i,0.011632+0.0070401i,0.0021476+0.0011065i,0.0049183-0.014289i,0.0042695-0.0042511i,0.037076-0.010339i,0.0012184+0.0063321i,0.0023403+0.0019129i,-0.0018109-0.0054627i,0.0054838+0.00047654i,0.010601+0.017358i,0.0055433+0.0012715i,0.0071889-0.0067854i,0.0042297-0.001307i,0.0094792+0.013141i,0.0052228+0.0016447i,0.012661-0.0014068i,-0.0056689+0.0082593i,0.0053971+0.002893i,0.018831+0.017216i,-0.069189-0.055886i,-0.02703+0.011873i,0.010535+0.005031i,-0.00040551+0.005969i,-0.034745-0.0096346i,-0.009129+0.0088536i,-0.022924+0.008564i
-0.035193+0.013479i,-0.055482+0.014776i,-0.04404+0.043274i,-0.034398+0.021823i,-0.035231+0.03777i,-0.0021795+0.047008i,-0.0041422+0.024173i,-0.022557+0.036624i,-0.018931+0.020596i,-0.0015344-0.0060906i,-0.0027954-0.0064643i,-0.00060577-0.0032378i,-0.0041478-0.0012401i,-0.0046836-0.0071164i,-0.00292+0.0031658i,-0.00055852-0.0015011i,-0.0068891-0.0063413i,-0.00099014-0.00048344i,0.0023861-0.0011259i,0.00175+0.00028687i,0.0038611-0.0022816i,0.0032832-0.002588i,0.0023148-0.0021248i,-0.0070187-0.011092i,-0.001554-0.00024093i,-0.0040386+0.00021979i,-0.0017088-0.00097925i,-0.0027484-0.0021985i,-0.00041097-0.0016824i,0.0026317-0.0012197i,-0.0035128+0.0050424i,0.0022051+0.00057019i,0.0027126+0.0014924i,0.00015115+0.0025211i,-0.0025794+0.0032263i,-0.0011201-0.0075755i,-0.0021642+8.224e-05i,0.00012964+0.00060981i,-0.0028343+0.0062759i,0.0048035+0.0083252i,0.0020361-0.0023353i,0.0034383-0.0026876i,-0.003902+0.0011185i,-0.00028339+0.0034219i,-0.035111-0.0061024i,0.027226-0.058308i,-0.089227-0.049271i,-0.046842-0.036176i,-0.062278-0.053026i,-0.05823-0.014369i,-0.097479+0.00085386i,-0.060961+0.004473i,-0.056171-0.031164i,-0.022076-0.058036i,-0.013311-0.036749i,-0.00027261+0.0056893i,-0.015262+0.0015383i,0.0075017+0.008036i,0.011051+0.0067313i,0.0035173-0.0019714i,0.011993+0.0036435i,-0.002654-0.0069433i,-0.001099+0.014709i,-0.0018181+0.0076815i,0.00076672+0.0011791i,0.0076167+0.004126i,0.0023945-0.0019452i,-0.008297+0.014526i,-0.0069242+0.011819i,0.0034962-7.3147e-05i,0.014391-0.00019387i,0.0016411+0.0014013i,-0.0028225-0.011958i,0.0010792-0.0046833i,0.027138-0.022767i,0.0041044+0.0057406i,0.0017419+0.002877i,-0.0049158-0.0024347i,0.0050596-0.0022434i,0.01781+0.011933i,0.0043437-0.001524i,0.0037874-0.009284i,0.0022026-0.0026804i,0.013094+0.007564i,0.0048829+0.0015172i,0.0091529-0.0059977i,-0.00087658+0.010322i,0.0053989+0.00051686i,0.022625+0.012603i,-0.07684-0.046658i,-0.018863+0.016669i,0.0096807-0.00025639i,-0.002968+0.0035102i,-0.037706+0.0013484i,-0.0068676+0.0073977i,-0.020275+0.011866i
