-0.023894-0.03793i,-0.012401-0.048845i,-0.017856-0.044543i,-0.030902-0.035252i,-0.030104-0.016161i,-0.050092-0.027039i,-0.05764-0.025287i,-0.044276-0.036683i,-0.029797-0.036125i,0.0073859+0.012613i,-0.0054505+0.015725i,-0.0045419+0.013983i,0.0099611+0.021491i,0.00043731+0.0042874i,0.0032977+0.0031825i,0.0069277+0.018065i,0.026619+0.038373i,-0.002447-0.0012718i,-0.0043958-0.0057521i,0.0078978+0.0016765i,-0.00032362-0.00097121i,-0.00102+0.0012969i,0.00012344-0.00032969i,-0.030992-0.0032131i,-0.0012584-0.0057377i,0.0014025+0.0046093i,0.0039283-0.00025058i,-0.00057171+0.00069839i,0.00055127-0.00066302i,-0.00019246-0.0024829i,-0.0013811-0.0061855i,-0.0044901-0.0039929i,-0.0016914-0.0048172i,0.0022821-0.00067732i,0.0023296-0.0028593i,0.0025452+0.025643i,0.0019422-0.0027456i,0.0027056+0.00060475i,0.0062524+0.0011819i,-0.010542-0.0041101i,-0.0031571+0.00071295i,0.0066425+0.0014522i,0.0056165+4.6884e-06i,-0.0033692+0.0054383i,0.00096572-0.0082394i,-0.011806+0.018744i,0.036228-0.090496i,0.012217-0.069929i,-0.015962-0.059554i,-0.016512-0.055541i,0.040078-0.04579i,0.017486-0.062158i,0.034605-0.055375i,0.029807-0.059853i,0.015645-0.014075i,0.0045444+0.016531i,0.016785-0.026552i,-0.011508+0.0055543i,-0.00022469+0.0056124i,-0.0047997-0.001836i,-0.0023698-0.029337i,-0.023781+0.031941i,0.01021-0.01151i,-0.013109-0.0022765i,-1.9247e-05-0.0049674i,-0.0010845-0.016211i,-0.0075289+0.0047261i,0.0050194+0.0068058i,-0.0089261+0.03113i,0.0048791+0.0063251i,-0.0050482-0.00083136i,-0.0032499-0.00064479i,-0.011842-0.007664i,-0.00050346-0.0046176i,-0.030014+0.006508i,-8.1807e-05-0.010044i,-0.0095935-0.0023057i,-0.0067347-0.0026831i,0.0073055+0.0026825i,-0.0078587+0.0011055i,-2.9374e-05+0.00038476i,0.0058899+0.010566i,0.004176+0.0015794i,-0.0093505-0.0097555i,0.0030541+0.0085337i,-0.02167+0.0060596i,0.0083923+0.0007256i,-0.028838-0.0037467i,-0.041619+0.0017823i,0.019429-0.09637i,-0.0015455-0.012796i,-0.053011-0.021779i,-0.023388-0.00068365i,0.01765+0.010833i,-0.024631+0.0134i,-0.017871-0.012514i
-0.031839-0.034564i,-0.018748-0.041695i,-0.024644-0.042837i,-0.038097-0.031587i,-0.028523-0.016238i,-0.056714-0.015749i,-0.059518-0.013868i,-0.049218-0.028688i,-0.034336-0.028158i,0.0080077+0.0089157i,-0.0033002+0.013523i,0.0020351+0.016003i,0.017961+0.014462i,-0.00052651+0.0056529i,0.0037027+0.0018449i,0.010694+0.012267i,0.032891+0.023705i,-0.00064676+0.0020788i,-0.0058171-0.0016133i,0.0076736-0.0022246i,-0.0010897+0.00052628i,-0.0012738+0.0021307i,-0.00013413+4.3015e-05i,-0.019105+0.012503i,-0.0030569-0.0039421i,0.0051546+0.0016927i,0.0032096-0.00066836i,0.00034368+0.0022328i,0.00081234-0.0011653i,-0.0012223-0.0029387i,-0.0020136-0.0050405i,-0.0051243-0.0023866i,-0.0030042-0.0042366i,0.001595-0.0018394i,0.0014946-0.0020317i,0.010025+0.021258i,0.0015427-0.0034629i,0.0023855-0.00050977i,0.0083308-0.0017862i,-0.0079748-0.0013393i,-0.0024433+0.002844i,0.0057888+0.00088513i,0.0046683-0.00076077i,-0.0049114+0.0076385i,0.0051138-0.011028i,0.0030782+0.023815i,0.018327-0.096715i,-0.0053791-0.076649i,-0.012564-0.05489i,-0.020434-0.045219i,0.034506-0.064782i,0.013796-0.080565i,0.035999-0.055169i,0.018846-0.06801i,0.0057484-0.0063163i,0.007047+0.0053948i,0.0055557-0.027039i,-0.0078284+0.011735i,0.00025763-0.0029981i,-0.0055096-0.0020546i,-0.024145-0.027638i,-0.0096126+0.030148i,0.0034007-0.015227i,-0.013248+0.0013657i,-0.0013598-0.00435i,-0.0088839-0.014322i,-0.00832+0.0087037i,0.0083324+0.0059225i,0.010021+0.027963i,0.0060192+0.0012892i,-0.0043057+0.0018851i,-0.0049667-0.00017181i,-0.016218+0.0020575i,-0.00059298-0.0030285i,-0.031815+0.014352i,-0.0052228-0.0069394i,-0.0097497+0.0028799i,-0.0079548+0.001195i,0.0061869-0.0035789i,-0.0072648+0.003476i,0.00096656-0.0007715i,0.0053187+0.004287i,0.0036638+0.00042223i,-0.014006-0.0012095i,0.0035998+0.0046591i,-0.01614+0.01462i,0.0065032-0.0036989i,-0.027594+0.0072741i,-0.04115+0.013731i,0.0021885-0.097074i,-0.0059179-0.016259i,-0.058804-0.0066327i,-0.017618-0.0033556i,0.018032+0.0048816i,-0.018573+0.01972i,-0.026003-0.017236i
-0.036671-0.028046i,-0.021481-0.040899i,-0.030998-0.040839i,-0.043818-0.024395i,-0.028971-0.017783i,-0.06002-0.0033798i,-0.062126-0.00063866i,-0.054507-0.020061i,-0.037413-0.021797i,0.0080694+0.0059679i,-0.00049403+0.015507i,0.0085363+0.012805i,0.020234+0.0047323i,0.00088364+0.006922i,0.0041017+0.00077043i,0.011497+0.0063146i,0.036954+0.012137i,0.0023246+0.0022108i,-0.0044852+0.0018025i,0.0054021-0.0046602i,-0.0012523+0.0018686i,-9.9027e-05+0.0035478i,4.6994e-05+0.00026016i,-0.0074691+0.016888i,-0.0030276-0.0023183i,0.0055246-0.0024481i,0.0026646-0.0016496i,0.0021038+0.0019509i,-0.00013646-0.0014187i,-0.0022399-0.0025956i,-0.0029236-0.004837i,-0.0053098-0.00028154i,-0.0044748-0.0029269i,0.00082338-0.0025187i,0.0024535-0.0042854i,0.014979+0.014474i,0.00055615-0.0036481i,0.002002-0.0013711i,0.0073644-0.0069829i,-0.0075144+0.00039856i,-0.00072908+0.0040808i,0.005573-0.00084043i,0.0047234-0.0016059i,-0.0026164+0.01014i,0.0060678-0.018907i,0.019293+0.02013i,0.0015849-0.098335i,-0.023352-0.071816i,-0.007438-0.06064i,-0.01917-0.043866i,0.023329-0.080523i,-0.0070397-0.096158i,0.041094-0.062356i,0.0058757-0.068584i,0.0056249-0.0027588i,0.0054384+0.0009748i,-0.0022841-0.028251i,0.0027234+0.0101i,-0.0071033-0.0054019i,-0.0047367-0.0037869i,-0.03881-0.015188i,-0.00059187+0.028426i,-0.0033101-0.014494i,-0.011312+0.0048222i,-0.004037-0.0037595i,-0.016307-0.0099849i,-0.0031031+0.014036i,0.011853+0.00039426i,0.021047+0.016485i,0.0050569-0.00078683i,-0.0036533+0.0014279i,-0.0048013+0.0018458i,-0.012221+0.011376i,-0.0035499-0.0023508i,-0.025422+0.023872i,-0.0063465-0.0029961i,-0.0072626+0.0071093i,-0.0076337+0.0073989i,0.00035735-0.0058593i,-0.0055947+0.0053197i,0.00021373-0.0016003i,0.002966+0.0029424i,0.0033721-0.0011645i,-0.009185+0.0058241i,0.0028145+0.0020075i,-0.0095175+0.017011i,0.0025661-0.0066969i,-0.021879+0.014752i,-0.033956+0.025424i,-0.010651-0.095125i,-0.012437-0.014301i,-0.057392+0.0077584i,-0.022378-0.0085615i,0.016535-0.0027522i,-0.0080816+0.019747i,-0.031287-0.012114i
-0.039216-0.021586i,-0.027331-0.042411i,-0.03798-0.039727i,-0.045326-0.016629i,-0.032507-0.020253i,-0.059056+0.010244i,-0.058713+0.018015i,-0.058397-0.0075455i,-0.040567-0.013444i,0.0079058+0.0040065i,0.0055182+0.015351i,0.011188+0.0074232i,0.01843-0.0039388i,0.0034118+0.0084426i,0.0035528-0.0011411i,0.0097992+0.0005573i,0.03868-0.0042872i,0.0034237+0.0003442i,-0.0033845+0.0040657i,0.0024359-0.0055243i,0.0004001+0.0033492i,0.0020709+0.0036803i,-0.00019437+0.00055095i,0.0032883+0.020527i,-0.0030818-0.0018738i,0.0032205-0.0049649i,0.0021936-0.0020655i,0.0025546-0.00016292i,-0.00040922-0.00068045i,-0.0038655-0.0020851i,-0.0038921-0.0039546i,-0.0046909+0.0012808i,-0.0053082-0.0010279i,-0.00030569-0.0031721i,-0.0005728-0.0055969i,0.014829+0.0079209i,-0.00072051-0.003836i,0.0013761-0.0022656i,0.0030488-0.0091841i,-0.0051713+0.0034547i,0.0011525+0.0038635i,0.0040476-0.0022345i,0.0038113-0.0033311i,0.0013049+0.0097539i,0.0055765-0.024831i,0.03313+0.0092791i,-0.014775-0.095658i,-0.032408-0.061879i,-0.01301-0.067518i,-0.021489-0.043913i,0.0057678-0.096346i,-0.034425-0.096421i,0.038205-0.081855i,-0.0033639-0.066801i,0.0061361-0.00011542i,0.0019644-0.0035785i,-0.013674-0.024546i,0.0039664+0.0026813i,-0.0098028-0.0013453i,-0.0090925-0.0064133i,-0.043571+0.0045593i,0.010236+0.022658i,-0.0088827-0.01202i,-0.0075798+0.0061582i,-0.0053219-0.0014612i,-0.020206-0.0018653i,0.0048627+0.012215i,0.012306-0.0055346i,0.024161+0.0043307i,0.0050652-0.0026496i,-0.0042217+0.0013076i,-0.0045001+0.0038371i,-0.0060087+0.017745i,-0.005209+0.0013286i,-0.019142+0.031091i,-0.0062885-0.00045209i,-0.002396+0.0097346i,-0.0019877+0.011859i,-0.004608-0.0030142i,-0.0023522+0.0043824i,2.7368e-05-0.0012143i,0.0021169+0.0031208i,0.0014648-0.0031638i,-0.0038374+0.0053986i,-0.00052664-0.0003399i,-0.0059596+0.019329i,-0.001867-0.0057488i,-0.014273+0.019416i,-0.023367+0.029839i,-0.022351-0.093487i,-0.010479-0.0088515i,-0.051387+0.023726i,-0.029301-0.0051681i,0.013206-0.0088988i,0.00034826+0.014639i,-0.031586-0.0048993i
-0.04054-0.015055i,-0.03688-0.040045i,-0.048649-0.036628i,-0.045691-0.010186i,-0.040483-0.020796i,-0.054808+0.022526i,-0.044354+0.029018i,-0.055634+0.0047539i,-0.037615-0.0058019i,0.007633+0.0026314i,0.010746+0.010361i,0.012043+0.0034926i,0.013089-0.01007i,0.007987+0.0071748i,0.0021123-0.0024175i,0.0058626-0.0017833i,0.027403-0.02019i,0.0031954-0.00079753i,5.5863e-05+0.0076345i,0.00021917-0.0049736i,0.0022005+0.0038134i,0.0030295+0.0023679i,-0.00016271+0.0014328i,0.017737+0.013181i,-0.0039396-0.00021896i,0.0010547-0.005758i,0.00094704-0.0026215i,0.0023711-0.00026455i,-0.00017679-0.00032471i,-0.0050432+0.00043081i,-0.004873-0.0025812i,-0.0036342+0.0028607i,-0.0045925+0.00088961i,-0.0019758-0.0028831i,-0.0025306-0.0041202i,0.015201+0.0050358i,-0.0015848-0.0036298i,-1.9156e-05-0.0027305i,-7.7939e-05-0.0086378i,-0.0026617+0.0016165i,0.0021271+0.0031838i,0.0018116-0.0016542i,0.002902-0.0040539i,0.0025844+0.0076281i,0.00084432-0.034895i,0.042341-0.0085602i,-0.025348-0.087721i,-0.036955-0.053097i,-0.020532-0.071865i,-0.024276-0.042392i,-0.0231-0.10536i,-0.057424-0.085991i,0.01863-0.096993i,-0.015021-0.06111i,0.0089253+0.0024664i,-0.0030183-0.0053901i,-0.021179-0.015299i,0.00054556-0.0002949i,-0.011163+0.00016435i,-0.016277-0.0026472i,-0.038162+0.020818i,0.014118+0.011768i,-0.013684-0.0074622i,-0.0054209+0.0061367i,-0.0060093+0.0016683i,-0.019315+0.0080846i,0.0055092+0.0070421i,0.010028-0.011007i,0.023444-0.0073327i,0.0033761-0.0059383i,-0.0062702+0.0035284i,-0.0021805+0.0061055i,0.0028767+0.019108i,-0.0042063+0.0057057i,-0.011016+0.038092i,-0.0068991+0.00076581i,0.001655+0.006744i,0.0045868+0.011067i,-0.0063247+0.00064362i,-0.003753+0.0017891i,-0.0010178-0.0013714i,0.0011663+0.0049905i,-0.0025406-0.0035144i,-0.0029216+0.0028417i,-0.0033392+0.0018649i,0.001907+0.021514i,-0.0049892-0.0042384i,-0.0053551+0.020685i,-0.016061+0.032221i,-0.03567-0.088694i,-0.0053633-0.012618i,-0.040101+0.039133i,-0.031162+0.005453i,0.0082998-0.013724i,0.0011198+0.0067749i,-0.030395-0.0015755i
-0.040114-0.0096074i,-0.042768-0.035911i,-0.059808-0.026469i,-0.046356-0.0042558i,-0.051238-0.015233i,-0.04643+0.032573i,-0.031877+0.031449i,-0.050653+0.014236i,-0.035704-0.0022356i,0.006971+0.001331i,0.010875+0.0056374i,0.012077-0.0018803i,0.0062781-0.013251i,0.011417+0.0028595i,0.00024868-0.0027191i,0.0027112-0.0016589i,0.012007-0.024783i,0.004053-0.0016688i,0.0048569+0.0063787i,-0.0015491-0.0034772i,0.0040052+0.0016561i,0.0029649+0.0014182i,0.00113+0.0020924i,0.021274-0.00062071i,-0.0021996+0.0019443i,-0.0016076-0.0054021i,-0.00076067-0.00079099i,0.0028641-0.0020645i,-9.3664e-05-0.00054514i,-0.0031621+0.0035474i,-0.0048508-0.0014509i,-0.0026809+0.0035024i,-0.0044858+0.0027897i,-0.003018-0.0011521i,-0.002325-0.0026313i,0.016465+0.00069187i,-0.0030288-0.0030354i,-0.001898-0.0027962i,-0.0034787-0.008642i,-0.0040546-0.00013158i,0.0033982+0.0023269i,0.0012287-0.00011502i,0.00069808-0.0048847i,0.0037122+0.0065326i,-0.01091-0.040239i,0.033663-0.033202i,-0.028693-0.080718i,-0.040874-0.046104i,-0.030238-0.071678i,-0.026161-0.043634i,-0.05314-0.096203i,-0.076732-0.068608i,-0.0012207-0.10096i,-0.016798-0.046705i,0.017511+0.0057268i,-0.006951-0.0025536i,-0.020396-0.0028135i,-0.00089077-0.00066995i,-0.015379+0.0042146i,-0.015001+0.0044659i,-0.028601+0.035136i,0.011917+0.0046271i,-0.012731+0.00063468i,-0.0069304+0.0055853i,-0.0031807+0.0052264i,-0.012737+0.014961i,0.0066868+0.0079732i,0.0046153-0.018832i,0.013367-0.021056i,-0.0029843-0.009039i,-0.0065427+0.007733i,-0.00030301+0.0060355i,0.010306+0.016022i,6.3851e-05+0.0081314i,0.0051147+0.045963i,-0.0078372+0.0032203i,0.0016487+0.005305i,0.0088524+0.0060079i,-0.0049082+0.0066717i,-0.0055308+0.0044052i,-0.0033309-0.00090858i,0.0047529+0.0061399i,-0.0039554+0.0021101i,-0.0054057+0.00289i,-0.00077055+0.006498i,0.0093071+0.017448i,-0.0070326-0.0023463i,0.00066606+0.017098i,-0.0063678+0.035177i,-0.042184-0.07883i,-0.011547-0.023655i,-0.016063+0.044762i,-0.025646+0.013229i,0.0060197-0.02004i,0.00036008+0.0012028i,-0.0298+0.0045196i
-0.039258-0.0047305i,-0.053159-0.032455i,-0.066712-0.012627i,-0.044639+0.0034575i,-0.058382-0.0024808i,-0.036956+0.038686i,-0.02292+0.031117i,-0.044542+0.021014i,-0.036774+0.0020359i,0.0077138-0.00070452i,0.012776+0.002887i,0.0083876-0.0067615i,-0.0010513-0.011985i,0.011748-0.0036236i,-0.0012213-0.0024135i,0.0011766+1.5001e-05i,0.00047563-0.020847i,0.0026292-0.004046i,0.0060687+0.0021465i,-0.0024006-0.0012613i,0.003752-0.00045651i,0.0042256+0.0013629i,0.0024908+0.0013734i,0.016245-0.010529i,0.00072027+0.00078904i,-0.0025119-0.0034681i,-1.6529e-05-0.0011577i,0.0019639-0.003685i,1.8578e-05-0.00031517i,-0.00055347+0.0040057i,-0.0051293-0.00057504i,-0.00091726+0.0038591i,-0.0026156+0.0046726i,-0.0026042+0.00011541i,-0.0030905-0.0032594i,0.01493-0.00494i,-0.0034264-0.0012662i,-0.0028293-0.0014266i,-0.0072387-0.0048288i,-0.0069055+0.0019389i,0.0037447+0.00093908i,0.0026806-0.00063832i,-0.0013662-0.0045927i,0.0048753+0.002545i,-0.023835-0.038427i,0.015883-0.039543i,-0.035068-0.082555i,-0.03964-0.038633i,-0.038183-0.069208i,-0.035306-0.046428i,-0.072826-0.080415i,-0.083104-0.042945i,-0.026095-0.10187i,-0.010048-0.043848i,0.025375-0.009278i,-0.0079578+0.0016872i,-0.015226-0.00073068i,-0.0053231-0.00010609i,-0.013093+0.013485i,-0.012007+0.0076092i,-0.0085287+0.041392i,0.011342+0.00055696i,-0.011097+0.0021354i,-0.0040136+0.0075471i,-0.0014014+0.0045219i,-0.0051521+0.018835i,0.011092+0.0048961i,-0.0083939-0.019824i,-0.0044988-0.021668i,-0.0058682-0.0017591i,-0.0025356+0.011369i,0.0032197+0.0052092i,0.016165+0.0078728i,0.0036781+0.0057944i,0.025727+0.039158i,-0.0040359+0.0063113i,0.0021752+0.0031441i,0.0091547+0.00072844i,0.00039179+0.0086945i,-0.006703+0.0071323i,-0.0044059+0.0030419i,0.0085556+0.0056497i,-0.0019159+0.0049824i,-0.0067994+0.0054959i,0.0031709+0.0069016i,0.012321+0.01128i,-0.0067395+0.00098254i,0.0060927+0.012798i,0.0047746+0.033063i,-0.048969-0.07556i,-0.027132-0.022084i,0.0012083+0.035761i,-0.020546+0.016364i,-0.0037413-0.026997i,-0.00326-0.0026821i,-0.022254+0.0078295i
-0.038851-0.00065189i,-0.062473-0.020277i,-0.069376+0.0024807i,-0.041324+0.0079721i,-0.058074+0.012079i,-0.028812+0.042621i,-0.016201+0.029985i,-0.038412+0.025908i,-0.035498+0.0097294i,0.0069772-0.0029805i,0.013001-0.0045859i,0.0026897-0.0073482i,-0.0047431-0.0075894i,0.0074521-0.0079209i,-0.0026862-0.0017283i,0.002157+0.00039808i,-0.0058027-0.014178i,-0.00016497-0.0041284i,0.0043623-0.00030057i,-0.0018693+0.00042852i,0.0021901-0.0011771i,0.0044616-0.00034312i,0.0026958+0.00027015i,0.0087052-0.015203i,6.8735e-05-0.00099552i,-0.002395-0.0027062i,-0.00030046-0.0014988i,0.00028441-0.0035358i,0.0010868-0.000253i,0.00068714+0.0030463i,-0.0056393+0.00060314i,0.00053233+0.0032842i,-0.00021954+0.0051229i,-0.002413+0.00034901i,-0.0045878-0.00050881i,0.011516-0.0092632i,-0.0029243-0.00030329i,-0.0023999+7.3372e-05i,-0.0063583-0.0015253i,-0.0062839+0.0056178i,0.0036953-8.0792e-05i,0.0031022-0.0014487i,-0.0030554-0.0035337i,0.0024756-0.000493i,-0.033009-0.03043i,0.0073983-0.03123i,-0.046868-0.083274i,-0.036748-0.037097i,-0.047191-0.065608i,-0.045854-0.040916i,-0.088998-0.063096i,-0.076765-0.02338i,-0.054752-0.088843i,-0.0080547-0.048673i,0.022247-0.021683i,-0.0061787+0.0040749i,-0.013929+0.0035468i,-0.0082919+0.0054962i,-0.0047927+0.019095i,-0.0079766+0.010953i,0.009643+0.034709i,0.0091666-0.0051752i,-0.011896+0.0049595i,-0.0028876+0.0064789i,0.0011486+0.0049676i,0.0033448+0.015811i,0.011708-0.0027367i,-0.01776-0.01016i,-0.015023-0.011499i,-0.0032826+0.0021627i,0.0039037+0.011323i,0.0039914+0.0026813i,0.018228+0.00060053i,0.006588+0.0045185i,0.038046+0.024311i,-0.0013408+0.0051938i,0.00056466+0.0036939i,0.0070343-0.0041352i,0.0056953+0.0059163i,-0.0046934+0.013436i,-0.0016606+0.0074853i,0.012399+0.00041718i,0.0026932+0.0049365i,-0.0056621+0.0097091i,0.0054684+0.0041124i,0.013113+0.0069278i,-0.0062953+0.0024929i,0.0079022+0.0073194i,0.011974+0.027113i,-0.057266-0.068934i,-0.035364-0.0088554i,0.011027+0.023623i,-0.0090065+0.020101i,-0.015776-0.026385i,-0.01071-0.0026976i,-0.020297+0.002863i
-0.038506+0.0039905i,-0.063882-0.0051495i,-0.066604+0.0194i,-0.039521+0.012283i,-0.052441+0.02384i,-0.019997+0.045931i,-0.010708+0.027961i,-0.033106+0.029473i,-0.029878+0.015978i,0.0051973-0.0052536i,0.007001-0.0096301i,0.00018111-0.0050962i,-0.0053758-0.0040154i,0.0028933-0.0095092i,-0.0038637-0.00016455i,0.0021838-0.00064479i,-0.0064451-0.0083066i,-0.0014869-0.0029385i,0.0031005-0.00042827i,-0.0006164+0.0011425i,0.0021587-0.00013282i,0.0041501-0.0013435i,0.0027847-0.00040817i,0.001872-0.015632i,-0.0010244-0.0012524i,-0.0030288-0.0029621i,-0.00072523-0.0014125i,-0.00078843-0.0033571i,0.00094095-0.0014304i,0.0018956+0.0024389i,-0.0054762+0.0019735i,0.0015582+0.0024362i,0.0013969+0.0038064i,-0.0024346+0.001785i,-0.003411+0.00027633i,0.0066647-0.011913i,-0.0021071+0.00030812i,-0.0017184+0.0010292i,-0.0073138+0.00048394i,-0.0037241+0.0077246i,0.0033948-0.0010824i,0.0019898-0.0025817i,-0.0038157-0.0017816i,-0.0015684+0.00011075i,-0.037951-0.020925i,0.01463-0.024617i,-0.062778-0.079285i,-0.038096-0.038342i,-0.053724-0.059263i,-0.051809-0.032153i,-0.1003-0.039953i,-0.071431-0.013303i,-0.065457-0.061089i,-0.011606-0.051578i,0.013411-0.03246i,-0.0046765+0.0051335i,-0.0097492+0.0035273i,-0.0039648+0.011598i,0.0036239+0.017644i,0.00042894+0.010268i,0.016407+0.021625i,0.0046559-0.007282i,-0.010189+0.009289i,-0.0027674+0.0059913i,0.0020141+0.002828i,0.007101+0.012101i,0.0052276-0.0055634i,-0.019561+0.00090454i,-0.016655-0.00087392i,0.00060933+0.0026651i,0.0065535+0.0097543i,0.0028807+0.0015342i,0.014398-0.010713i,0.0075922-0.00062912i,0.04266+0.0064092i,-0.0010918+0.0061248i,0.0031+0.0033055i,0.0022872-0.0066988i,0.006075+0.0020463i,0.0020818+0.017327i,0.0046166+0.0053789i,0.009688-0.0051293i,0.0053354+0.001646i,-0.0010305+0.013519i,0.0046013+0.0033153i,0.012545+0.0027255i,-0.0073191+0.0040091i,0.0049375+0.0036652i,0.015702+0.021726i,-0.063506-0.061209i,-0.032741+0.0045324i,0.012029+0.011783i,-0.00052964+0.013196i,-0.027595-0.020489i,-0.014132+0.0060833i,-0.024902+0.0046297i
-0.037476+0.0093837i,-0.060565+0.0058978i,-0.057655+0.033622i,-0.037948+0.016871i,-0.044847+0.032395i,-0.010923+0.047374i,-0.0070255+0.025706i,-0.027929+0.033364i,-0.024502+0.019098i,0.0022263-0.0065152i,0.00052284-0.0090035i,-0.0006314-0.0038519i,-0.0043065-0.0022188i,-0.0011494-0.009181i,-0.0036435+0.0019262i,0.00095103-0.0015977i,-0.0058433-0.0062246i,-0.0014178-0.0013546i,0.0029996-0.0009747i,0.0007554+0.0010972i,0.0034359-0.00068813i,0.0035506-0.0020147i,0.0026637-0.0012201i,-0.0035226-0.013529i,-0.0013851-0.00076372i,-0.0042954-0.0016811i,-0.0011075-0.0013323i,-0.001686-0.0031028i,0.0003246-0.0018181i,0.0029955+0.00092121i,-0.0048927+0.0035448i,0.0020284+0.0012447i,0.0021891+0.0028007i,-0.0012868+0.0027047i,-0.0038714+0.0013664i,0.0014196-0.010552i,-0.0019361+0.00012332i,-0.00069274+0.001221i,-0.005914+0.0045678i,-0.00044449+0.0091033i,0.0028836-0.0017369i,0.0019477-0.002441i,-0.0038811-0.00049567i,-0.0012704+0.0039619i,-0.036893-0.011662i,0.028405-0.034431i,-0.079271-0.067101i,-0.042716-0.038143i,-0.057855-0.05383i,-0.056134-0.023911i,-0.10052-0.016436i,-0.066611-0.0028106i,-0.060191-0.043094i,-0.015288-0.055537i,0.0005232-0.036793i,-0.0022245+0.0065493i,-0.010094+0.0011807i,0.0028546+0.011868i,0.0086858+0.01264i,0.0044496+0.0034162i,0.01579+0.010234i,-0.00013685-0.0077525i,-0.0067933+0.012529i,-0.0033097+0.0065983i,0.0015306+0.001419i,0.0088577+0.0073003i,0.0028092-0.0031439i,-0.015444+0.010369i,-0.01236+0.0070178i,0.0019503+0.0012586i,0.010811+0.0071171i,0.0023301+0.0010953i,0.0046709-0.014593i,0.0043128-0.0040256i,0.038305-0.0092062i,0.0013273+0.0068001i,0.0022691+0.0018756i,-0.0018885-0.0050398i,0.0056727+0.00069348i,0.010426+0.017086i,0.0054016+0.0010407i,0.0072274-0.0071903i,0.0042282-0.0011688i,0.0059117+0.013218i,0.0054682+0.0018897i,0.012851-0.0011092i,-0.0052906+0.0086933i,0.0045659+0.0031065i,0.018402+0.01717i,-0.069212-0.054083i,-0.025988+0.01105i,0.011292+0.0052493i,-0.00045048+0.005733i,-0.035273-0.0098163i,-0.0089821+0.0087273i,-0.023275+0.0090154i
-0.035034+0.014636i,-0.055601+0.014342i,-0.044662+0.042699i,-0.034332+0.022145i,-0.035387+0.037674i,-0.0020898+0.047143i,-0.0040931+0.024093i,-0.021734+0.036777i,-0.019374+0.021301i,-0.00064364-0.0065537i,-0.0030593-0.0061596i,-0.00057923-0.0033646i,-0.0041867-0.0012111i,-0.0045946-0.0071899i,-0.0029033+0.0032515i,-0.00057878-0.0015394i,-0.0071956-0.0062069i,-0.0011724-0.00098113i,0.002429-0.0015465i,0.0015291+0.00031553i,0.0037774-0.0021863i,0.0034696-0.0026027i,0.0022804-0.0020498i,-0.0072089-0.010817i,-0.0017964-0.0004274i,-0.0043492+8.0529e-05i,-0.001847-0.0009077i,-0.0024466-0.0022296i,-0.00036433-0.0019509i,0.0022849-0.0013212i,-0.0035688+0.0053233i,0.0018607+0.0004899i,0.00292+0.0015664i,0.00038691+0.0025415i,-0.0030565+0.0030313i,-0.00062002-0.0077094i,-0.0018228+0.0004136i,7.8644e-05+0.00068054i,-0.0019715+0.0052681i,0.0038585+0.0086787i,0.0022456-0.0022905i,0.0017476-0.0027522i,-0.0038789+0.00039422i,0.00049835+0.0031261i,-0.03371-0.0072407i,0.028184-0.058252i,-0.089437-0.049251i,-0.046556-0.036459i,-0.06276-0.052839i,-0.058061-0.014475i,-0.097346+0.0011697i,-0.060852+0.0045643i,-0.056144-0.031699i,-0.023032-0.05841i,-0.013514-0.036991i,-0.00028833+0.0056936i,-0.015438+0.0017273i,0.0074064+0.0078694i,0.010875+0.0071539i,0.00345-0.0020643i,0.011905+0.0043816i,-0.0044177-0.0070485i,-0.0020269+0.014048i,-0.0022096+0.0079926i,0.00080615+0.001097i,0.0071432+0.0034036i,0.0027147-0.0020389i,-0.0079841+0.014535i,-0.0064483+0.011243i,0.003576-0.00077786i,0.013452+0.00075558i,0.0018457+0.0013787i,-0.0030243-0.012104i,0.0011794-0.0045921i,0.029554-0.020058i,0.0041813+0.0061953i,0.0016073+0.0027741i,-0.0046906-0.0019976i,0.00539-0.0022851i,0.018008+0.011916i,0.0040481-0.0019631i,0.0037357-0.0094608i,0.0023564-0.002582i,0.011204+0.0089499i,0.005113+0.001745i,0.009589-0.0060291i,-0.00029498+0.010259i,0.004643+0.0011469i,0.022524+0.012469i,-0.075705-0.045278i,-0.01931+0.016153i,0.010146-0.00047387i,-0.0028264+0.0032941i,-0.037677+0.0016445i,-0.0069287+0.0073465i,-0.020289+0.012294i
