-0.024624-0.038274i,-0.01151-0.049128i,-0.018386-0.044947i,-0.030793-0.034948i,-0.029982-0.015669i,-0.050333-0.027086i,-0.057443-0.024407i,-0.044169-0.036795i,-0.027468-0.033282i,0.0075752+0.013541i,-0.0046216+0.014949i,-0.0046481+0.014177i,0.010588+0.021285i,0.00058331+0.0040045i,0.0034159+0.0036682i,0.0071643+0.01781i,0.031856+0.039081i,-0.0027533-0.00090415i,-0.0045941-0.0059291i,0.0077471+0.0011025i,-0.00030214-0.00072737i,-0.00061234+0.0018617i,0.00016892-0.00033382i,-0.029928-0.0038763i,-0.0015324-0.0062256i,0.0017845+0.0043372i,0.003072+0.00044473i,-0.00074131+0.00081826i,0.00065624-0.0005338i,-0.00060647-0.0026489i,-0.0018553-0.006166i,-0.0041972-0.0043518i,-0.0019525-0.0043601i,0.0024957-0.00051013i,0.0022423-0.0025097i,-0.00093276+0.024791i,0.0015751-0.0032157i,0.0027791+0.00067655i,0.0056195+0.0012842i,-0.011134-0.0033546i,-0.0034938+0.00035247i,0.0057903+0.0012741i,0.0056776-0.00034326i,-0.0030193+0.0049087i,0.0011586-0.0091842i,-0.011364+0.018225i,0.035642-0.090412i,0.01196-0.070248i,-0.015482-0.059326i,-0.016107-0.054988i,0.04001-0.045346i,0.016873-0.062004i,0.034338-0.054725i,0.029444-0.060193i,0.015999-0.01378i,0.0045363+0.016683i,0.017093-0.026194i,-0.010665+0.0060268i,-0.00055785+0.0057503i,-0.0047185-0.0016421i,-0.0023452-0.029618i,-0.02309+0.031825i,0.010468-0.011379i,-0.012242-0.0020603i,3.725e-05-0.0050906i,-0.0011015-0.015669i,-0.0069399+0.0043448i,0.0050184+0.0068588i,-0.0091677+0.031891i,0.0049901+0.0063572i,-0.0048205-0.00044085i,-0.0032962-0.00090624i,-0.012596-0.0067091i,-0.00070336-0.0045155i,-0.0071353-0.011232i,9.2427e-05-0.01039i,-0.009854-0.0019794i,-0.00661-0.0025283i,0.0070419+0.0030187i,-0.0081675+0.0015619i,0.00016921+0.00041164i,0.0064644+0.011741i,0.0038415+0.0017627i,-0.0098337-0.0102i,0.0029774+0.0079567i,-0.02159+0.0068685i,0.0079481+0.00055043i,-0.029116-0.0036722i,-0.041367+0.0029411i,0.022146-0.096423i,-0.0021488-0.01269i,-0.052468-0.023918i,-0.023419-0.0011087i,0.018186+0.011136i,-0.024257+0.013087i,-0.018186-0.012935i
-0.03259-0.034304i,-0.018258-0.042068i,-0.025875-0.042939i,-0.037374-0.032022i,-0.028218-0.015606i,-0.056968-0.015512i,-0.058921-0.013221i,-0.049491-0.028934i,-0.03214-0.029767i,0.0095899+0.009571i,-0.0034219+0.012412i,0.0019118+0.015985i,0.017901+0.014879i,-6.9387e-05+0.0053435i,0.0040346+0.0022009i,0.010885+0.011901i,0.036079+0.022812i,-0.00072821+0.0022058i,-0.0062155-0.0020226i,0.0065138-0.0020314i,-0.0011981+0.00055515i,0.00059431+0.00646i,-5.2977e-05-1.7921e-05i,-0.019308+0.010889i,-0.0035027-0.0038677i,0.0045436+0.0011717i,0.0028714-0.0001393i,0.00051372+0.0025172i,0.0010258-0.00095529i,-0.0018901-0.0026904i,-0.0022354-0.0044725i,-0.0047258-0.002568i,-0.0035786-0.0041678i,0.0022612-0.0015863i,0.0012996-0.0017733i,0.0072761+0.023165i,0.0009827-0.0036092i,0.002505-0.00043757i,0.0077644-0.00074899i,-0.0082788-0.00075433i,-0.0030713+0.0028913i,0.0045131+0.00038976i,0.004615-0.0011358i,-0.0045635+0.0064707i,0.0051426-0.011421i,0.0035555+0.022967i,0.018203-0.096694i,-0.0053867-0.076471i,-0.012373-0.054789i,-0.019962-0.045108i,0.034353-0.064459i,0.013077-0.080419i,0.035555-0.054839i,0.018679-0.067794i,0.0066431-0.006498i,0.0071269+0.0055557i,0.0061886-0.02705i,-0.0085459+0.012935i,0.00053408-0.0030009i,-0.005268-0.0021281i,-0.024032-0.028034i,-0.0089601+0.029606i,0.0037659-0.015324i,-0.012951+0.00087182i,-0.0015295-0.0046043i,-0.0081905-0.014055i,-0.0076454+0.0082558i,0.0084765+0.0062101i,0.0081837+0.025971i,0.0063141+0.0017252i,-0.0039818+0.002102i,-0.0051227-0.00047715i,-0.01434+0.0046281i,-0.00039366-0.0030402i,-0.022136+0.018531i,-0.005297-0.0069097i,-0.0098105+0.0031698i,-0.007597+0.0010626i,0.0062114-0.0034401i,-0.0075011+0.0036894i,0.0012142-0.0007977i,0.0060811+0.004425i,0.0031235+0.00056577i,-0.014524-0.00097385i,0.0041541+0.0048965i,-0.016617+0.014917i,0.0060431-0.00373i,-0.027596+0.007392i,-0.039616+0.017538i,0.0029603-0.10007i,-0.0062567-0.015447i,-0.059907-0.0083297i,-0.017599-0.0036049i,0.01836+0.004829i,-0.018659+0.018771i,-0.026593-0.017838i
-0.036973-0.02753i,-0.021484-0.041444i,-0.031828-0.040433i,-0.043904-0.02488i,-0.028553-0.017349i,-0.059935-0.0030802i,-0.061109-0.00015603i,-0.054876-0.019894i,-0.03693-0.023525i,0.0092477+0.0052426i,-0.0011018+0.015017i,0.0085345+0.012765i,0.019886+0.00528i,0.0012907+0.0066061i,0.004409+0.00095689i,0.011569+0.0059883i,0.037377+0.01186i,0.00198+0.0020416i,-0.0049787+0.0016267i,0.0051403-0.00443i,-0.0013768+0.001975i,0.0020679+0.0052555i,1.5147e-05+0.00017517i,-0.0089291+0.016732i,-0.0030832-0.0023815i,0.0050095-0.00228i,0.0025288-0.0014692i,0.0025745+0.0019678i,0.00025142-0.0014545i,-0.0027514-0.0021542i,-0.0028361-0.0044374i,-0.005353-0.00071167i,-0.0048017-0.00252i,0.0011618-0.0027021i,0.0024016-0.0040742i,0.013378+0.016174i,2.7562e-05-0.0035252i,0.0020901-0.001256i,0.007209-0.0060598i,-0.0078128+0.001209i,-0.0011987+0.004449i,0.0050357-0.0012326i,0.0046442-0.0018599i,-0.0029967+0.0090687i,0.0059136-0.018882i,0.019607+0.018767i,0.001086-0.098813i,-0.02278-0.071822i,-0.0075303-0.060698i,-0.018804-0.043931i,0.023274-0.079985i,-0.0074858-0.095071i,0.040148-0.062345i,0.0063245-0.068735i,0.0059653-0.0027908i,0.005636+0.0010011i,-0.0021664-0.027856i,0.0018987+0.0099928i,-0.0066196-0.0058455i,-0.0049407-0.0037628i,-0.038214-0.014451i,-0.00067957+0.028417i,-0.0027776-0.014984i,-0.010855+0.0049671i,-0.0039774-0.0037323i,-0.015529-0.010459i,-0.0023083+0.013899i,0.012063+0.00066088i,0.016764+0.018573i,0.0056868-0.00043555i,-0.0036595+0.0017314i,-0.0047854+0.0014652i,-0.010665+0.012274i,-0.0035362-0.0025037i,-0.02258+0.027796i,-0.0061876-0.0029259i,-0.0072431+0.007081i,-0.0080832+0.0070458i,0.00021256-0.0054878i,-0.0053335+0.0057437i,0.00023462-0.0017827i,0.0030401+0.0030218i,0.0031693-0.00063048i,-0.0095627+0.0068196i,0.0033822+0.0016078i,-0.0098046+0.017272i,0.0021036-0.0065138i,-0.021696+0.014407i,-0.031198+0.026586i,-0.00951-0.096314i,-0.011974-0.013559i,-0.057998+0.0092678i,-0.022403-0.0089904i,0.016532-0.0028775i,-0.0085133+0.019344i,-0.032161-0.011512i
-0.039498-0.021094i,-0.027743-0.042662i,-0.038388-0.039419i,-0.045239-0.016516i,-0.03217-0.019875i,-0.058993+0.010175i,-0.057375+0.017793i,-0.058768-0.0070862i,-0.040964-0.014099i,0.0085131+0.0029385i,0.0050593+0.015337i,0.011286+0.0073606i,0.018547-0.0036181i,0.0036707+0.0078091i,0.0038948-0.001098i,0.0097603+0.00041963i,0.039128-0.0036423i,0.002708+8.5296e-05i,-0.0037271+0.0041816i,0.0023616-0.0053926i,0.00032355+0.0033545i,0.0017873+0.0034184i,-0.0002458+0.00062085i,0.0025127+0.021036i,-0.0034295-0.0017606i,0.0032662-0.0047179i,0.0017579-0.0019208i,0.0028755+4.1003e-05i,-0.00030263-0.00082183i,-0.0039504-0.00142i,-0.0034605-0.0037322i,-0.0051281+0.00090133i,-0.0052401-0.00059856i,5.2954e-05-0.0033597i,-0.00070702-0.005329i,0.013799+0.0093141i,-0.0010151-0.0035003i,0.0013428-0.0021826i,0.0037643-0.0079389i,-0.0049315+0.0039443i,0.00093284+0.0044244i,0.0036838-0.0024865i,0.003901-0.0035883i,8.8531e-05+0.0089906i,0.0058227-0.024726i,0.032728+0.0077758i,-0.015524-0.095807i,-0.032503-0.062048i,-0.013018-0.067306i,-0.021027-0.043848i,0.0056644-0.096206i,-0.033807-0.095682i,0.037091-0.081531i,-0.0030926-0.067437i,0.0060152+0.00013472i,0.0021506-0.003746i,-0.013212-0.023093i,0.0037879+0.0028293i,-0.010007-0.0018362i,-0.0092899-0.0060627i,-0.042111+0.0046458i,0.010415+0.022717i,-0.0083349-0.012749i,-0.0072544+0.005918i,-0.0052373-0.0015556i,-0.019926-0.0021372i,0.0052483+0.012028i,0.012495-0.0050311i,0.014941-0.005162i,0.0057203-0.0030333i,-0.004172+0.0016018i,-0.0046746+0.0035639i,-0.0048093+0.017439i,-0.005305+0.0014107i,-0.017333+0.02399i,-0.0061301-0.00035567i,-0.0024473+0.0095697i,-0.0030084+0.012123i,-0.004448-0.002467i,-0.0022387+0.0045369i,-0.00031236-0.0014932i,0.002279+0.0030116i,0.001855-0.0027519i,-0.0036789+0.0056714i,1.3907e-05-0.00068871i,-0.005189+0.01971i,-0.0020766-0.0056219i,-0.014024+0.019293i,-0.022777+0.031056i,-0.020691-0.094965i,-0.0098058-0.0086797i,-0.050339+0.025203i,-0.029268-0.0056802i,0.013327-0.0090305i,0.00032459+0.014555i,-0.032409-0.0048192i
-0.040386-0.014272i,-0.037648-0.040179i,-0.048941-0.036426i,-0.04529-0.0098572i,-0.040165-0.020615i,-0.054599+0.022492i,-0.043643+0.028409i,-0.055466+0.0054973i,-0.038032-0.0056968i,0.0080152+0.0011523i,0.010089+0.0106i,0.012112+0.0032817i,0.013141-0.0095562i,0.0078554+0.006476i,0.0024088-0.0026785i,0.0057765-0.0017897i,0.027218-0.020401i,0.0023861-0.00098552i,-0.00022767+0.0076356i,0.00027644-0.0049164i,0.0018984+0.0038273i,0.0033998+0.0020153i,-0.00024237+0.0015085i,0.017348+0.014017i,-0.0042981-0.00017484i,0.0013151-0.0059573i,0.00045756-0.002369i,0.0024518-0.00015245i,-0.00024842-0.00047152i,-0.0048734+0.00088939i,-0.0044106-0.0026472i,-0.0043824+0.0027576i,-0.0044125+0.0010133i,-0.001713-0.0032184i,-0.0028016-0.0036641i,0.01581+0.0062715i,-0.0015537-0.0032619i,6.1833e-05-0.0025901i,0.00032673-0.0075516i,-0.0027566+0.0019664i,0.0021926+0.003734i,0.0016593-0.0016522i,0.0026186-0.0045309i,0.0011135+0.0074697i,0.0013561-0.03485i,0.041444-0.0099726i,-0.025808-0.087638i,-0.03678-0.053188i,-0.020601-0.072279i,-0.023725-0.042551i,-0.023432-0.10494i,-0.056715-0.085806i,0.017912-0.096493i,-0.015196-0.061296i,0.0087531+0.0021814i,-0.0028752-0.0055808i,-0.030574-0.011404i,0.00042962-0.00027026i,-0.011588-3.1548e-05i,-0.016294-0.0022194i,-0.037372+0.020396i,0.014149+0.012012i,-0.013644-0.0079357i,-0.0054808+0.0057113i,-0.0059741+0.0014455i,-0.018719+0.008107i,0.0056651+0.007129i,0.010791-0.010719i,0.025493-0.010013i,0.0031617-0.0062235i,-0.0063656+0.0036949i,-0.0021967+0.0058523i,0.0021897+0.018914i,-0.0037699+0.0056808i,-0.015681+0.027467i,-0.0066343+0.00087734i,0.0016285+0.0067252i,0.0046773+0.011478i,-0.0056753+0.0004575i,-0.0037561+0.0019341i,-0.0017075-0.0014474i,0.0012864+0.0049871i,-0.0018719-0.0034408i,-0.0030866+0.0024581i,-0.0027702+0.001536i,0.0038159+0.021034i,-0.0048976-0.0041806i,-0.0050665+0.020352i,-0.014834+0.033457i,-0.033501-0.090154i,-0.0049725-0.012195i,-0.038236+0.039945i,-0.031055+0.0051389i,0.006429-0.013799i,0.0005158+0.0069646i,-0.031865-0.0019636i
-0.039496-0.0091231i,-0.044012-0.035295i,-0.059901-0.026245i,-0.046198-0.0043546i,-0.050926-0.015164i,-0.046033+0.032298i,-0.031691+0.030751i,-0.050076+0.014784i,-0.036005-0.0021081i,0.006496-0.00011088i,0.010373+0.0063366i,0.011953-0.0021668i,0.0066669-0.012956i,0.010708+0.0021774i,8.316e-05-0.0032433i,0.0027368-0.0016771i,0.01296-0.023411i,0.0032606-0.0018794i,0.0043756+0.0065618i,-0.0016338-0.0033286i,0.0035678+0.0019737i,0.0034996+0.00099471i,0.0010741+0.0022329i,0.021269+0.00069234i,-0.0025248+0.0022387i,-0.00011778-0.0060484i,-0.0008694-0.00045839i,0.0034288-0.0012798i,-0.00022717-0.00054597i,-0.0030589+0.0040236i,-0.0042782-0.001528i,-0.0030873+0.0038626i,-0.00429+0.0024444i,-0.003154-0.0012946i,-0.0024009-0.0025492i,0.01786+0.001009i,-0.0027895-0.0028035i,-0.0017383-0.0026322i,-0.0027103-0.007594i,-0.004088+0.00042588i,0.0038863+0.0022062i,0.0011677+1.1945e-05i,-5.9043e-05-0.0049234i,0.0022658+0.0073105i,-0.010175-0.040357i,0.03223-0.034018i,-0.029348-0.080881i,-0.040699-0.046161i,-0.030793-0.071826i,-0.025792-0.04382i,-0.053148-0.095751i,-0.076091-0.068657i,-0.0013629-0.10072i,-0.016649-0.04679i,0.017054+0.0044183i,-0.0070046-0.003008i,-0.02329-0.0046052i,-0.0010357-0.00064975i,-0.015582+0.0043244i,-0.014872+0.0047344i,-0.028501+0.035687i,0.011815+0.0047553i,-0.013113+0.00014628i,-0.0071309+0.0053151i,-0.003356+0.0052796i,-0.012501+0.014689i,0.0067925+0.0081956i,0.0051052-0.019188i,0.013988-0.019996i,-0.0032499-0.0086415i,-0.0073468+0.0080843i,-0.0003331+0.0058858i,0.0091062+0.016525i,0.00060688+0.0078452i,0.0016952+0.040295i,-0.00771+0.0031612i,0.0018043+0.0051083i,0.0089088+0.006392i,-0.0049167+0.0065012i,-0.0051744+0.0040784i,-0.0038286-0.0009271i,0.0049616+0.0066349i,-0.0038074+0.0017884i,-0.0057032+0.0026993i,-0.00017999+0.0066401i,0.01003+0.01635i,-0.0066749-0.0023701i,0.0011333+0.017025i,-0.0055557+0.035186i,-0.040973-0.081787i,-0.011453-0.023436i,-0.015011+0.044585i,-0.025279+0.012865i,0.0009812-0.011826i,9.3572e-05+0.0014814i,-0.02956+0.0044817i
-0.038423-0.0046221i,-0.054454-0.03114i,-0.066237-0.013138i,-0.044749+0.0038748i,-0.05806-0.0024888i,-0.036893+0.038126i,-0.023128+0.030566i,-0.043825+0.02149i,-0.036792+0.0020879i,0.0064786-0.0015456i,0.012931+0.003666i,0.0083349-0.0067563i,-0.0010404-0.011998i,0.010886-0.0035551i,-0.001876-0.001723i,0.0012137-9.3803e-05i,0.0018169-0.020418i,0.0015284-0.0038613i,0.0063326+0.0029068i,-0.0020676-0.00097824i,0.0042161-3.5954e-05i,0.0042945+0.00071597i,0.0024409+0.0015772i,0.016805-0.0094358i,0.00067461+0.0011525i,-0.0038458-0.0038894i,-3.4033e-05-0.0010136i,0.0023573-0.0040342i,-7.6152e-05-0.00020686i,-0.00023156+0.0041959i,-0.0046689-0.00075829i,-0.001192+0.0044116i,-0.0024613+0.0045651i,-0.0027094+9.7294e-05i,-0.0031871-0.003222i,0.016088-0.0063087i,-0.0030594-0.0012866i,-0.0026753-0.0013267i,-0.0066594-0.002833i,-0.0069324+0.0027707i,0.0038847+0.0011168i,0.002753-0.00055159i,-0.0020306-0.0042268i,0.0044313+0.0037482i,-0.023498-0.039207i,0.014066-0.039502i,-0.035888-0.082996i,-0.039401-0.038698i,-0.038869-0.069416i,-0.034694-0.046497i,-0.072501-0.080287i,-0.082224-0.042797i,-0.026448-0.1012i,-0.0098778-0.044288i,0.023733-0.010302i,-0.0082503+0.0012983i,-0.015316-0.00088058i,-0.0054473+2.4254e-05i,-0.013215+0.01316i,-0.011704+0.0078408i,-0.0082512+0.042707i,0.010975+0.00075751i,-0.011174+0.0022244i,-0.0044681+0.0079697i,-0.0013641+0.004669i,-0.0052496+0.018633i,0.011198+0.0049183i,-0.0082441-0.020406i,-0.0037239-0.02271i,-0.0057362-0.001847i,-0.0028415+0.011853i,0.0033014+0.005034i,0.016012+0.0084343i,0.0037624+0.0054528i,0.023315+0.036871i,-0.0039225+0.0056057i,0.002403+0.0031782i,0.0093282+0.00094162i,0.00025121+0.0085394i,-0.0067362+0.0070892i,-0.0045621+0.0029249i,0.008853+0.0062769i,-0.0019639+0.0048815i,-0.006762+0.005042i,0.0035702+0.00626i,0.012947+0.01106i,-0.0064048+0.00047068i,0.0064501+0.012755i,0.0053346+0.033394i,-0.049365-0.078274i,-0.027148-0.022348i,0.0027579+0.035194i,-0.021423+0.015852i,-0.0038696-0.031204i,-0.0031674-0.0023734i,-0.02127+0.0079284i
-0.037816-0.00088977i,-0.062861-0.018575i,-0.069803+0.0015508i,-0.040766+0.0085354i,-0.057908+0.011963i,-0.029304+0.042003i,-0.016383+0.029646i,-0.037718+0.025962i,-0.035573+0.0098923i,0.0057473-0.0030155i,0.013347-0.004195i,0.0026371-0.0074168i,-0.0047863-0.0075749i,0.0073574-0.0074598i,-0.0023147-0.001376i,0.0020798+0.00038041i,-0.0047143-0.01438i,-0.0006804-0.0035202i,0.0053191-3.0192e-06i,-0.0013878+0.00032898i,0.0028047-0.0010654i,0.0041576-0.00092276i,0.0027554+0.00045963i,0.009269-0.014414i,8.9079e-05-0.00099727i,-0.002621-0.0021934i,-0.0003152-0.0013886i,-0.00016938-0.0032938i,0.0010393+3.5e-06i,0.0010887+0.0030581i,-0.0050937+0.00039249i,0.0007105+0.0038277i,-0.00030025+0.0049413i,-0.0025447+0.00024099i,-0.0045825-0.00021613i,0.012091-0.010064i,-0.0027004-0.00028763i,-0.0021353+7.9306e-05i,-0.008378-0.001653i,-0.0057515+0.0066866i,0.003459+0.00014868i,0.0031567-0.0013037i,-0.0036996-0.002868i,0.0026933+1.9768e-05i,-0.033101-0.031358i,0.006242-0.030477i,-0.048013-0.082997i,-0.036606-0.037179i,-0.047856-0.065223i,-0.045565-0.041232i,-0.088637-0.063556i,-0.076055-0.023646i,-0.054852-0.088743i,-0.0081732-0.048803i,0.02081-0.021613i,-0.0061829+0.0039515i,-0.014196+0.0033204i,-0.0083008+0.0056787i,-0.0052413+0.018518i,-0.0076156+0.010936i,0.010253+0.034747i,0.0090665-0.0049333i,-0.012405+0.0050574i,-0.0026441+0.0063858i,0.0010094+0.0049576i,0.0033809+0.015835i,0.011865-0.0027297i,-0.01786-0.010414i,-0.014466-0.012275i,-0.0032578+0.0018612i,0.0037263+0.011843i,0.0038814+0.0025433i,0.017914+0.0013735i,0.0067816+0.0042414i,0.036993+0.022278i,-0.0017518+0.0047475i,0.00079824+0.003751i,0.0074547-0.0038744i,0.0056661+0.0057447i,-0.0049248+0.013908i,-0.0017771+0.0073971i,0.01288+0.00034705i,0.0025446+0.0050701i,-0.0057536+0.0095013i,0.0055776+0.0035973i,0.013987+0.006016i,-0.0063826+0.0017225i,0.0083744+0.0074572i,0.012541+0.026529i,-0.05873-0.072016i,-0.035454-0.0092818i,0.011489+0.021818i,-0.0088556+0.020414i,-0.016111-0.026431i,-0.010964-0.0030429i,-0.019253+0.0022515i
-0.037552+0.0033133i,-0.063674-0.003745i,-0.067805+0.019839i,-0.038796+0.01221i,-0.052281+0.02367i,-0.020811+0.045665i,-0.010896+0.027681i,-0.032534+0.029171i,-0.029567+0.016351i,0.0042387-0.0048502i,0.0071198-0.009588i,-3.7157e-06-0.0050462i,-0.0053998-0.0039401i,0.0029431-0.0092591i,-0.003089-8.0503e-05i,0.0022035-0.0006094i,-0.0054065-0.0086219i,-0.0014513-0.0021065i,0.0037135-0.00016103i,-0.00051946+0.00096304i,0.0025483-0.00033254i,0.0036555-0.0014676i,0.0030097-0.00040873i,0.0028906-0.014797i,-0.0011133-0.0013464i,-0.0029372-0.0024283i,-0.00054356-0.0013658i,-0.0010942-0.0031005i,0.0010858-0.0013021i,0.0020476+0.0025061i,-0.004848+0.0016957i,0.0018933+0.0027721i,0.0012591+0.0036899i,-0.0028002+0.0016141i,-0.0033049+0.00053384i,0.0066251-0.013201i,-0.002067+0.00014715i,-0.0014017+0.00084981i,-0.0088944+0.0010191i,-0.0026682+0.0081824i,0.0034221-0.00083702i,0.0023216-0.0021657i,-0.0052912-0.0028741i,-0.0010923+8.374e-05i,-0.03884-0.021639i,0.014085-0.024921i,-0.063029-0.078352i,-0.037949-0.03872i,-0.053531-0.058799i,-0.051839-0.032463i,-0.10007-0.040521i,-0.07151-0.01366i,-0.065412-0.060985i,-0.011755-0.051365i,0.013408-0.032022i,-0.0048114+0.0050713i,-0.010039+0.0034495i,-0.0041004+0.011513i,0.0028692+0.017166i,0.00062289+0.010212i,0.017242+0.021195i,0.0044554-0.0070328i,-0.010441+0.010053i,-0.0026399+0.0062319i,0.0018088+0.0029397i,0.0070186+0.011888i,0.0052553-0.0054776i,-0.019454+0.00024682i,-0.017104-0.00063289i,0.00026898+0.0022919i,0.0064417+0.010465i,0.0028382+0.0014183i,0.014413-0.010132i,0.0076626-0.00094139i,0.040216+0.0056344i,-0.0015441+0.0059236i,0.0031638+0.003259i,0.0030704-0.0067134i,0.0059441+0.001525i,0.0021476+0.017489i,0.0045349+0.0057004i,0.0097798-0.0053645i,0.0052862+0.001738i,-0.00081792+0.014338i,0.0044892+0.0031264i,0.012404+0.0021378i,-0.0074727+0.003621i,0.0055338+0.0037044i,0.015948+0.021287i,-0.06492-0.061885i,-0.033839+0.0051207i,0.011056+0.010142i,-0.00022012+0.013164i,-0.028985-0.019866i,-0.014269+0.005545i,-0.024184+0.0037684i
-0.037127+0.0082088i,-0.059978+0.0069544i,-0.058053+0.034763i,-0.037448+0.016372i,-0.044723+0.032311i,-0.011821+0.047584i,-0.0072855+0.025657i,-0.027474+0.032917i,-0.023773+0.01915i,0.0016917-0.006017i,0.00059404-0.0088571i,-0.00089614-0.0037393i,-0.0043212-0.0023116i,-0.0013081-0.0088385i,-0.0024257+0.0016993i,0.001-0.0016626i,-0.0048497-0.0070119i,-0.0013868-0.00082623i,0.0033442-0.00069167i,0.00091452+0.0011614i,0.0035327-0.00089208i,0.0033333-0.0018827i,0.002838-0.0013039i,-0.0026577-0.013443i,-0.0014432-0.0005881i,-0.0036646-0.0010829i,-0.00097759-0.0016296i,-0.0019766-0.0028696i,0.00036687-0.0017599i,0.0030965+0.0010689i,-0.0043821+0.0029463i,0.0026494+0.001351i,0.002011+0.0027715i,-0.0017885+0.0026288i,-0.0035784+0.0016098i,0.00083849-0.010628i,-0.0021548+9.4169e-06i,-0.00050992+0.00094699i,-0.0075341+0.005628i,0.00019909+0.0091296i,0.0031183-0.0014377i,0.0024249-0.0016464i,-0.0052904-0.00024593i,-0.0013616+0.0032126i,-0.03825-0.011676i,0.026815-0.035075i,-0.078958-0.067077i,-0.043246-0.038137i,-0.05727-0.053599i,-0.056651-0.024029i,-0.10073-0.017641i,-0.067627-0.0028955i,-0.05968-0.042931i,-0.015369-0.055549i,0.00074835-0.036188i,-0.0022864+0.0068773i,-0.010124+0.00097382i,0.0027824+0.011992i,0.0078309+0.011987i,0.0042692+0.0034239i,0.017381+0.0097386i,0.00078666-0.0067121i,-0.0065538+0.013444i,-0.0032028+0.007108i,0.0015401+0.0015658i,0.0079312+0.0070879i,0.0028485-0.0032571i,-0.016024+0.0096003i,-0.011916+0.0070672i,0.0016371+0.0013719i,0.01195+0.0079169i,0.0020886+0.0010082i,0.0050662-0.014077i,0.0044709-0.0043746i,0.036842-0.0085836i,0.00080837+0.0074756i,0.0021737+0.0017557i,-0.0018699-0.0049204i,0.0053483+0.0007004i,0.0099785+0.017169i,0.0055362+0.0012016i,0.0080274-0.0068608i,0.0039572-0.0013923i,0.0062651+0.013942i,0.0052182+0.0014892i,0.012758-0.0014177i,-0.0057875+0.0082365i,0.0057254+0.0026801i,0.01859+0.016867i,-0.069829-0.054954i,-0.026607+0.012855i,0.0079692+0.0061487i,-0.00023667+0.0055409i,-0.035494-0.0088059i,-0.0092114+0.0086103i,-0.022583+0.0077879i
-0.035078+0.01371i,-0.054926+0.014851i,-0.044135+0.043575i,-0.034153+0.021789i,-0.035278+0.037526i,-0.0028165+0.047925i,-0.0041863+0.02419i,-0.021283+0.036008i,-0.018846+0.020774i,-0.00096836-0.0060939i,-0.003006-0.0060618i,-0.00071076-0.0032503i,-0.0043273-0.0013054i,-0.0045647-0.0067831i,-0.0013603+0.0030656i,-0.00066072-0.0015822i,-0.0064153-0.0073422i,-0.00090936-0.00043964i,0.0026648-0.0013447i,0.0018497+0.00024548i,0.0037533-0.0022118i,0.0032487-0.0026392i,0.0023761-0.0021572i,-0.0067104-0.010979i,-0.0016217-0.00026207i,-0.0035561+0.00045379i,-0.0020213-0.0012181i,-0.0025012-0.0019853i,-0.00033453-0.0019474i,0.0024935-0.0013113i,-0.0036582+0.0044908i,0.0022588+0.00022878i,0.0026628+0.0017819i,0.00012904+0.0026642i,-0.0028442+0.0030965i,-0.00080877-0.0074085i,-0.0025949+0.00010006i,0.00011659+0.00039205i,-0.0029642+0.0070657i,0.0047318+0.0085814i,0.0026924-0.0024646i,0.0029887-0.0023513i,-0.0049263+0.0016541i,-3.0167e-05+0.0030921i,-0.035258-0.0065848i,0.026319-0.058099i,-0.089568-0.049581i,-0.046712-0.035817i,-0.062291-0.053032i,-0.058548-0.014164i,-0.098396+0.00052928i,-0.062033+0.005104i,-0.055556-0.032276i,-0.023179-0.058078i,-0.011562-0.035387i,2.0298e-05+0.0058894i,-0.015743+0.0013326i,0.0077089+0.0080101i,0.0098282+0.0054504i,0.0034383-0.0016528i,0.013415+0.0028527i,-0.002533-0.007453i,-0.0011673+0.014526i,-0.0016824+0.0084737i,0.00083206+0.0011582i,0.006653+0.0043072i,0.0025705-0.0020519i,-0.0087553+0.014401i,-0.0070419+0.010283i,0.0036049-0.00046379i,0.013899-0.00058279i,0.0015914+0.0014563i,-0.0024964-0.011848i,0.0010898-0.0049332i,0.02966-0.020226i,0.0051336+0.0064018i,0.0013033+0.0028079i,-0.0044384-0.0019846i,0.005116-0.0020884i,0.017454+0.012815i,0.0041776-0.0015915i,0.00488-0.0094192i,0.0019586-0.0026317i,0.01098+0.0089603i,0.0047568+0.0012158i,0.0097418-0.0062303i,-0.00096259+0.01009i,0.0052534+0.00031681i,0.022628+0.012267i,-0.076534-0.046196i,-0.017644+0.018451i,0.01155+0.0024417i,-0.0028129+0.0031153i,-0.03703+0.0024959i,-0.0069654+0.0073053i,-0.020108+0.011161i
