-0.023926-0.037576i,-0.01264-0.049283i,-0.017923-0.04435i,-0.030976-0.035218i,-0.03005-0.015905i,-0.05021-0.027125i,-0.057353-0.025147i,-0.044599-0.035738i,-0.029532-0.036808i,0.0076365+0.012519i,-0.0053951+0.015863i,-0.0044509+0.013869i,0.0098892+0.021421i,0.00060359+0.0042743i,0.0033135+0.0032089i,0.0070351+0.018379i,0.026558+0.038143i,-0.0024261-0.0012433i,-0.0044576-0.005613i,0.0080803+0.0015146i,-0.00042474-0.00084911i,-0.00098011+0.0013905i,4.2675e-05-0.00035424i,-0.030849-0.0035376i,-0.0013018-0.0057787i,0.0013962+0.0045891i,0.0038033-0.00026041i,-0.00071788+0.00057366i,0.00060079-0.00061152i,-0.00038575-0.002666i,-0.0012458-0.0062584i,-0.0045023-0.004155i,-0.0017857-0.0046407i,0.002207-0.00057417i,0.002304-0.0027515i,0.0024149+0.02533i,0.0018213-0.0026862i,0.0027753+0.00065768i,0.0062509+0.0011165i,-0.010356-0.004274i,-0.0031997+0.0007634i,0.0064972+0.0014533i,0.0055127-0.00067976i,-0.0034214+0.0055108i,0.0010631-0.0085737i,-0.011903+0.018001i,0.035779-0.090508i,0.012079-0.069888i,-0.016091-0.059514i,-0.016191-0.05539i,0.039677-0.045016i,0.017437-0.061982i,0.034277-0.055184i,0.029406-0.059538i,0.01591-0.013916i,0.0046335+0.01656i,0.016736-0.026239i,-0.0115+0.0055179i,0.00016091+0.0054769i,-0.004682-0.0019706i,-0.0023244-0.029253i,-0.024044+0.032316i,0.0098242-0.01135i,-0.012994-0.0024178i,4.4082e-05-0.0048441i,-0.0012847-0.016136i,-0.0070003+0.00438i,0.0047788+0.0063817i,-0.0090188+0.031087i,0.0050903+0.0062559i,-0.0051714-0.00079644i,-0.0032235-0.0007316i,-0.012059-0.0079753i,-0.00096237-0.004363i,-0.030151+0.0069274i,-0.00027439-0.010172i,-0.0097198-0.0021288i,-0.0068086-0.0028547i,0.007395+0.0026148i,-0.007956+0.0011088i,-0.00015335+0.00013381i,0.0059526+0.010588i,0.0042064+0.0017368i,-0.0092764-0.0098888i,0.0030676+0.0083389i,-0.021516+0.0060712i,0.0082405+0.00048965i,-0.028803-0.0034916i,-0.041612+0.0023655i,0.019227-0.096566i,-0.0016389-0.01283i,-0.053012-0.02219i,-0.023699-0.0015668i,0.017743+0.011026i,-0.024673+0.013522i,-0.018265-0.012245i
-0.031536-0.034115i,-0.01944-0.041945i,-0.024516-0.042486i,-0.037998-0.031587i,-0.028347-0.016016i,-0.056811-0.015774i,-0.059478-0.013605i,-0.049154-0.027825i,-0.03455-0.02896i,0.008271+0.0088304i,-0.0032473+0.01361i,0.0020235+0.01579i,0.017928+0.014496i,-0.0004023+0.0056584i,0.0037849+0.0018329i,0.010988+0.012409i,0.0334+0.02373i,-0.00071239+0.0020339i,-0.0056876-0.0015218i,0.0076911-0.002383i,-0.0010919+0.00066446i,-0.0012342+0.0021976i,-0.00013432+2.309e-05i,-0.019388+0.012153i,-0.0030748-0.003974i,0.0050215+0.0015296i,0.0029732-0.00036797i,0.0003187+0.0022309i,0.00084414-0.0011939i,-0.0013523-0.0029133i,-0.0018192-0.0050348i,-0.0051536-0.0023639i,-0.0029292-0.0041743i,0.0016239-0.0016748i,0.0015681-0.0019404i,0.0097682+0.020827i,0.0014251-0.0035002i,0.0023692-0.00041701i,0.0085275-0.0014932i,-0.0079129-0.0016725i,-0.0024875+0.0028432i,0.0056502+0.0011509i,0.0044409-0.0012446i,-0.0049881+0.0074396i,0.0057034-0.011088i,0.0034698+0.023502i,0.018119-0.096757i,-0.005449-0.076538i,-0.012532-0.054814i,-0.020191-0.045134i,0.034489-0.063993i,0.013569-0.080466i,0.035744-0.055026i,0.018409-0.067746i,0.0061273-0.0070286i,0.0071284+0.0054826i,0.0057646-0.026777i,-0.0079524+0.011599i,0.00057855-0.0033056i,-0.005304-0.0021389i,-0.024044-0.027477i,-0.0094284+0.030303i,0.0033501-0.014989i,-0.013365+0.0011879i,-0.00137-0.0044649i,-0.0088841-0.014549i,-0.0079958+0.0082465i,0.0079163+0.0057545i,0.01014+0.02813i,0.0059859+0.0015297i,-0.004504+0.0018807i,-0.0050244+3.1694e-05i,-0.016446+0.001711i,-0.00081394-0.0026574i,-0.03191+0.014623i,-0.0052837-0.0068357i,-0.0096033+0.0028741i,-0.0079856+0.0012312i,0.0061345-0.0034488i,-0.0074244+0.0036606i,0.00079781-0.00090906i,0.0056298+0.0042979i,0.0034485+0.00037852i,-0.01398-0.0014482i,0.0036972+0.0047044i,-0.015891+0.014409i,0.0064843-0.0037447i,-0.027457+0.0072632i,-0.040945+0.014152i,0.0022457-0.097521i,-0.0057788-0.015792i,-0.058903-0.0069544i,-0.018441-0.0036565i,0.017933+0.005192i,-0.018501+0.019553i,-0.025868-0.017031i
-0.036337-0.027569i,-0.022053-0.040727i,-0.030841-0.040762i,-0.04375-0.024317i,-0.028943-0.017584i,-0.05999-0.0033217i,-0.06186-0.00020517i,-0.05397-0.019294i,-0.037994-0.022312i,0.008363+0.0057319i,-0.000457+0.01552i,0.0085446+0.012561i,0.020242+0.0047213i,0.00096932+0.0069492i,0.004083+0.00079188i,0.011842+0.0062976i,0.037323+0.011756i,0.0021426+0.0022638i,-0.004388+0.0017943i,0.0054936-0.0046852i,-0.0013232+0.0021016i,1.0064e-06+0.0035722i,0.00011238+0.00023405i,-0.0078762+0.016954i,-0.0029386-0.002389i,0.0052795-0.002372i,0.0026268-0.001573i,0.0022435+0.0019738i,-0.00012698-0.0014703i,-0.0021522-0.0026709i,-0.0027536-0.004982i,-0.0053586-0.00030641i,-0.0045539-0.0028949i,0.00088148-0.0024892i,0.0024729-0.0042764i,0.014557+0.014275i,0.00034618-0.0036101i,0.002007-0.0012102i,0.0074837-0.0067979i,-0.0079039+0.00026937i,-0.00071936+0.0040967i,0.0056751-0.00071574i,0.0044561-0.00169i,-0.002628+0.0099948i,0.0066766-0.019016i,0.019363+0.01925i,0.0011739-0.098203i,-0.023397-0.071871i,-0.0075657-0.060705i,-0.018944-0.043872i,0.023671-0.07981i,-0.0071081-0.096166i,0.040484-0.062269i,0.0056776-0.068067i,0.005539-0.0031768i,0.0054975+0.0012061i,-0.0023296-0.028027i,0.0025615+0.010016i,-0.006596-0.0056628i,-0.0045094-0.0041073i,-0.039044-0.015058i,-0.00022722+0.028081i,-0.0035338-0.014466i,-0.011059+0.0047229i,-0.0039907-0.0037359i,-0.016188-0.009978i,-0.003009+0.013719i,0.011754+0.0004759i,0.021231+0.01644i,0.0055919-0.00054536i,-0.0037288+0.0014016i,-0.0048563+0.0018879i,-0.012363+0.01136i,-0.0036405-0.0020406i,-0.02556+0.024214i,-0.0062423-0.0028661i,-0.0072844+0.0069574i,-0.007755+0.0075125i,0.00033989-0.0056174i,-0.0053556+0.0054036i,9.2472e-05-0.001883i,0.0029877+0.002879i,0.0032848-0.00093498i,-0.0093411+0.0059246i,0.0029053+0.0020817i,-0.0092717+0.016801i,0.0024975-0.0066598i,-0.021818+0.014826i,-0.033897+0.025667i,-0.010842-0.095731i,-0.012162-0.013807i,-0.057339+0.0078403i,-0.023126-0.0081642i,0.016596-0.002497i,-0.0080678+0.019532i,-0.031361-0.011872i
-0.038724-0.021095i,-0.027824-0.042259i,-0.038019-0.039511i,-0.045063-0.016374i,-0.032389-0.019969i,-0.059155+0.010107i,-0.058246+0.018101i,-0.057435-0.0071861i,-0.041174-0.013491i,0.0079518+0.0035893i,0.0054594+0.015445i,0.011302+0.0072548i,0.018467-0.003948i,0.0036059+0.0082922i,0.0035786-0.0010577i,0.010105+0.00046413i,0.038604-0.0045668i,0.0031975+0.00028491i,-0.003364+0.0041367i,0.0024384-0.0055154i,0.00046204+0.0034267i,0.0021149+0.0036817i,-0.00023104+0.0005215i,0.0031374+0.020553i,-0.0030391-0.0019941i,0.0030144-0.0049255i,0.0020174-0.0020113i,0.0026172+2.9019e-06i,-0.00043571-0.00075507i,-0.0035991-0.0022531i,-0.0036949-0.0040394i,-0.0048737+0.0012306i,-0.0053494-0.0011386i,-0.00012224-0.0030747i,-0.0005729-0.0054298i,0.014603+0.0079361i,-0.00077445-0.0036529i,0.0013152-0.0020158i,0.002973-0.0091505i,-0.0054958+0.0037593i,0.0010891+0.0037251i,0.0039088-0.0022637i,0.0038893-0.0031703i,0.0010733+0.0097461i,0.0060668-0.025393i,0.032755+0.0085605i,-0.015079-0.095329i,-0.032653-0.06181i,-0.013097-0.067184i,-0.021386-0.044001i,0.0064439-0.096027i,-0.034658-0.096316i,0.037763-0.081636i,-0.0031976-0.066801i,0.0062361-0.00035951i,0.0023271-0.003494i,-0.013572-0.024219i,0.0038778+0.0025161i,-0.0095002-0.0019479i,-0.0090381-0.0065496i,-0.043855+0.0052483i,0.010536+0.022222i,-0.0090186-0.012141i,-0.0072879+0.0057077i,-0.0052606-0.0015144i,-0.020199-0.0018334i,0.0047579+0.01209i,0.01221-0.0055789i,0.024418+0.0047727i,0.0055928-0.0028077i,-0.0044927+0.0012172i,-0.0043423+0.0038866i,-0.0061964+0.017855i,-0.0050263+0.0016913i,-0.018884+0.031235i,-0.0062108-0.00040527i,-0.0023502+0.0095937i,-0.0019902+0.01194i,-0.0044071-0.0028892i,-0.0022312+0.0044462i,-0.00013625-0.0012929i,0.0021189+0.0030234i,0.0015114-0.0029778i,-0.0036811+0.0053558i,-0.00020789-0.00039102i,-0.0054613+0.019065i,-0.0019369-0.0058411i,-0.013974+0.019404i,-0.023271+0.029959i,-0.022724-0.093956i,-0.0098805-0.0088717i,-0.05157+0.023846i,-0.029731-0.0044667i,0.013521-0.0088793i,0.00052848+0.014477i,-0.031379-0.0048095i
-0.040058-0.014658i,-0.037313-0.039732i,-0.048463-0.036358i,-0.045467-0.010032i,-0.040266-0.020535i,-0.054907+0.022579i,-0.044013+0.028989i,-0.054756+0.0046289i,-0.037957-0.0055638i,0.0075834+0.0021701i,0.010691+0.010546i,0.012013+0.0033674i,0.013141-0.0099817i,0.0080583+0.0071339i,0.0021176-0.0023452i,0.0060468-0.0020294i,0.027324-0.020243i,0.0029551-0.00094008i,0.00014708+0.0076857i,0.0002275-0.0049343i,0.002296+0.0037719i,0.002994+0.0023567i,-0.00012516+0.0014775i,0.01756+0.013744i,-0.0038678-0.00033567i,0.00087137-0.0057496i,0.00080308-0.0026363i,0.0025544-0.00017819i,-0.00026771-0.00039698i,-0.0050026+0.00038001i,-0.0047826-0.0027214i,-0.0037631+0.0028352i,-0.0047681+0.00079031i,-0.0017477-0.0029028i,-0.0025287-0.0040473i,0.015157+0.0053453i,-0.0016719-0.0036355i,6.3067e-05-0.0024292i,-0.00012582-0.0082398i,-0.002931+0.001934i,0.0019022+0.0031076i,0.0016896-0.0016709i,0.0028471-0.0041989i,0.0025672+0.0074664i,0.00064797-0.035393i,0.041761-0.0089849i,-0.02549-0.087498i,-0.037025-0.052996i,-0.020261-0.071691i,-0.024281-0.042578i,-0.022201-0.10537i,-0.057636-0.085817i,0.018489-0.096776i,-0.015006-0.061125i,0.0092425+0.002013i,-0.0027687-0.0053647i,-0.020973-0.015222i,0.00042046-0.00049752i,-0.011225-0.00028121i,-0.016202-0.0027701i,-0.037845+0.021571i,0.014299+0.01171i,-0.013736-0.0074485i,-0.0054401+0.0057113i,-0.0059164+0.0014342i,-0.018934+0.008303i,0.0055321+0.0070525i,0.010027-0.010834i,0.024283-0.0073933i,0.0034728-0.0062002i,-0.0064145+0.0034993i,-0.0021787+0.0059472i,0.0027529+0.019067i,-0.0038376+0.0056153i,-0.010881+0.037981i,-0.006807+0.00090414i,0.0017565+0.0067757i,0.0046372+0.010975i,-0.0060939+0.00072341i,-0.0036037+0.0015566i,-0.0010364-0.0014765i,0.0011491+0.0048605i,-0.0022429-0.0034238i,-0.0029279+0.0023227i,-0.0029975+0.0018688i,0.0019955+0.021174i,-0.0051965-0.0041027i,-0.0052523+0.020309i,-0.015928+0.032371i,-0.035797-0.088894i,-0.004854-0.012758i,-0.039958+0.039583i,-0.031051+0.0065993i,0.0083044-0.013751i,0.0011923+0.0065094i,-0.029979-0.0017082i
-0.039586-0.0095367i,-0.043285-0.03525i,-0.059512-0.026355i,-0.04625-0.0042304i,-0.051081-0.015214i,-0.04641+0.032619i,-0.03155+0.031233i,-0.050043+0.013789i,-0.035887-0.0019901i,0.0067436+0.001034i,0.010915+0.0057865i,0.011979-0.0018551i,0.0064313-0.013229i,0.011456+0.0027752i,0.00027498-0.0026886i,0.0028083-0.0020602i,0.011974-0.024811i,0.0038213-0.0017511i,0.0050925+0.0063122i,-0.001625-0.003399i,0.0040864+0.0016045i,0.0030045+0.0014046i,0.0011824+0.0021155i,0.021751-0.00012946i,-0.0021977+0.0018854i,-0.001745-0.0054358i,-0.00071431-0.00084047i,0.0031186-0.0020246i,-0.00017349-0.0005698i,-0.0031716+0.0035966i,-0.0047628-0.0016425i,-0.0027881+0.0035129i,-0.0044057+0.0027031i,-0.002887-0.0013061i,-0.0024327-0.0026103i,0.016735+0.00088351i,-0.0031801-0.0029803i,-0.0017316-0.0026518i,-0.0032167-0.0081785i,-0.0041532+0.00021953i,0.0031109+0.0023991i,0.00099166+6.5751e-05i,0.00066648-0.0049079i,0.0035821+0.0060731i,-0.011105-0.040207i,0.033185-0.033583i,-0.028897-0.080555i,-0.04092-0.046107i,-0.030364-0.071614i,-0.026308-0.04362i,-0.052565-0.096664i,-0.076811-0.068376i,-0.00091274-0.10063i,-0.016553-0.047115i,0.017333+0.004906i,-0.0068683-0.0026749i,-0.020343-0.002806i,-0.0011714-0.00079551i,-0.015552+0.0039798i,-0.01499+0.004548i,-0.027984+0.03544i,0.012203+0.0044018i,-0.012902+0.00045824i,-0.0070158+0.005412i,-0.0033042+0.0050724i,-0.012555+0.015179i,0.0067591+0.0080378i,0.005028-0.018701i,0.013658-0.021506i,-0.0029811-0.0092832i,-0.0067537+0.007698i,-0.00040987+0.0060986i,0.010249+0.01598i,0.0001473+0.0078531i,0.0050685+0.045804i,-0.0076285+0.0031622i,0.0017321+0.0051128i,0.008809+0.0060875i,-0.0046998+0.0064396i,-0.0055782+0.0042017i,-0.0033889-0.0011112i,0.0047202+0.0060456i,-0.0039437+0.0019804i,-0.0055038+0.002589i,-0.00047766+0.0063942i,0.0092568+0.017474i,-0.0069317-0.0023246i,0.00076253+0.017126i,-0.0062605+0.035094i,-0.04242-0.079627i,-0.010902-0.02358i,-0.015901+0.044997i,-0.02494+0.014114i,0.0060678-0.019935i,0.00023051+0.0008138i,-0.029003+0.0041782i
-0.038967-0.0047322i,-0.053352-0.031572i,-0.066525-0.012671i,-0.044535+0.0035675i,-0.05833-0.0025129i,-0.036996+0.038618i,-0.022818+0.030714i,-0.044294+0.020583i,-0.036782+0.0023588i,0.0072944-0.00069085i,0.012843+0.0029021i,0.0083034-0.0067089i,-0.00096356-0.01204i,0.011811-0.0038042i,-0.0012078-0.002419i,0.00094911-0.00043155i,7.0677e-06-0.020776i,0.0025368-0.0041188i,0.0060465+0.0020251i,-0.0023555-0.0011458i,0.003784-0.00043987i,0.0041953+0.0013002i,0.0025233+0.0013989i,0.016739-0.010499i,0.00073096+0.00074765i,-0.0026582-0.0033996i,-8.6446e-05-0.0013741i,0.0019781-0.0037172i,-5.1004e-05-0.00024568i,-0.00056385+0.0039611i,-0.0051889-0.00081884i,-0.00096433+0.0039718i,-0.0025969+0.0043404i,-0.0027216+2.4768e-05i,-0.0033834-0.0031671i,0.015288-0.0049108i,-0.0034255-0.0010865i,-0.0026735-0.0014087i,-0.0072453-0.0047319i,-0.0068572+0.0021821i,0.0036317+0.0011369i,0.0025902-0.00064585i,-0.0014547-0.0046703i,0.0044691+0.0026184i,-0.023803-0.038402i,0.014809-0.039892i,-0.035478-0.082421i,-0.039646-0.038735i,-0.038237-0.069124i,-0.03543-0.046376i,-0.072343-0.080969i,-0.082856-0.042839i,-0.025619-0.10161i,-0.0099667-0.044211i,0.02502-0.0094779i,-0.0079445+0.0016772i,-0.015226-0.00059013i,-0.0054676-0.00017921i,-0.013199+0.013552i,-0.011772+0.0077174i,-0.0080759+0.040916i,0.011507+0.00047513i,-0.011307+0.0021041i,-0.0038204+0.0074371i,-0.0015108+0.0046535i,-0.0050019+0.019199i,0.011231+0.0049143i,-0.0079965-0.019821i,-0.0044557-0.022154i,-0.0058465-0.002163i,-0.0026544+0.011272i,0.0032464+0.0050666i,0.016061+0.0077748i,0.003645+0.0057266i,0.025819+0.039111i,-0.0039904+0.0060674i,0.0021164+0.0031823i,0.0091621+0.00073453i,0.00032487+0.008596i,-0.0066928+0.0069848i,-0.0044207+0.0026782i,0.008458+0.0056883i,-0.0019259+0.0050421i,-0.006842+0.0052553i,0.0032542+0.0065879i,0.012391+0.011418i,-0.0069458+0.00083609i,0.0063065+0.012794i,0.0050536+0.032873i,-0.049537-0.075989i,-0.026837-0.022343i,0.0015223+0.036009i,-0.019399+0.016751i,-0.0036042-0.026928i,-0.0036391-0.0027823i,-0.022081+0.0073706i
-0.038398-0.00074927i,-0.06242-0.019497i,-0.069198+0.0026334i,-0.041048+0.0079341i,-0.058007+0.012023i,-0.028939+0.042559i,-0.016384+0.029574i,-0.038313+0.0256i,-0.035424+0.0099791i,0.0066251-0.0029766i,0.013031-0.0045091i,0.0026381-0.0072512i,-0.0047831-0.0076277i,0.0074433-0.0080898i,-0.0026472-0.0018459i,0.0016639+0.00028246i,-0.0060712-0.013757i,-0.00013821-0.0043078i,0.0044415-0.00028121i,-0.0017287+0.00042972i,0.0022724-0.0011483i,0.0044599-0.00035788i,0.0027184+0.0001964i,0.0091873-0.015203i,-2.1213e-05-0.0010988i,-0.0024516-0.0026207i,-0.00037594-0.0015256i,0.00019286-0.0035224i,0.00099322-0.00019852i,0.0007652+0.0029917i,-0.0057055+0.00039256i,0.00065694+0.0033436i,-0.00046078+0.0048127i,-0.0024786+0.00042691i,-0.0048339-0.00046421i,0.011719-0.0092796i,-0.0027868-0.00022434i,-0.0022969+9.5277e-05i,-0.006353-0.0013685i,-0.005956+0.0056858i,0.0036612+0.00011159i,0.0028187-0.0013563i,-0.00323-0.0036464i,0.0023581-0.00035629i,-0.032868-0.030523i,0.0066758-0.030996i,-0.047288-0.082931i,-0.036932-0.037018i,-0.047089-0.065316i,-0.04601-0.040806i,-0.089027-0.063812i,-0.076592-0.023432i,-0.053887-0.088961i,-0.0082245-0.049212i,0.021786-0.021964i,-0.0059581+0.0040304i,-0.013735+0.0035191i,-0.0085099+0.0055074i,-0.0050473+0.019133i,-0.0078049+0.010809i,0.009906+0.034121i,0.0092639-0.0052248i,-0.011865+0.004876i,-0.0027358+0.0062328i,0.001025+0.0050064i,0.0035003+0.016099i,0.011797-0.0027937i,-0.017605-0.010406i,-0.01482-0.011836i,-0.003421+0.0020424i,0.0036619+0.011318i,0.0039352+0.0026721i,0.017972+0.00053658i,0.0065714+0.0045823i,0.037936+0.024008i,-0.0015716+0.0049482i,0.00066029+0.0038255i,0.0070823-0.004157i,0.0055489+0.0060217i,-0.0050657+0.013458i,-0.0015669+0.0072412i,0.012345+0.00030807i,0.0025436+0.005166i,-0.0056188+0.0092193i,0.0054871+0.0038781i,0.013367+0.0068621i,-0.0064947+0.0024259i,0.0081109+0.0072765i,0.012251+0.02671i,-0.057998-0.069292i,-0.034594-0.0091905i,0.011317+0.02322i,-0.0078128+0.019593i,-0.015461-0.026706i,-0.011063-0.0028041i,-0.019832+0.0024398i
-0.038072+0.0037727i,-0.063849-0.0042721i,-0.066195+0.019504i,-0.039521+0.01224i,-0.052437+0.023711i,-0.020155+0.045914i,-0.011068+0.027686i,-0.033142+0.029208i,-0.029709+0.016063i,0.00484-0.0051963i,0.0070476-0.0095991i,-2.3138e-05-0.0050244i,-0.0053765-0.0039799i,0.0028191-0.0095478i,-0.0038641-0.00026952i,0.0017177-0.00051555i,-0.0062228-0.0079946i,-0.0014167-0.0028653i,0.0031114-0.00048422i,-0.00054772+0.0010799i,0.0022128-0.00015881i,0.0040543-0.0014576i,0.0028128-0.00050352i,0.0023854-0.015736i,-0.0011326-0.0013327i,-0.0030004-0.0028885i,-0.00067144-0.0013464i,-0.00081711-0.0033889i,0.00090912-0.0013804i,0.0019096+0.0024992i,-0.0056635+0.0018109i,0.0016435+0.0023404i,0.0012713+0.0036839i,-0.0024767+0.0017427i,-0.0036146+0.00027483i,0.0067408-0.011944i,-0.0020699+0.00030272i,-0.0016255+0.00092347i,-0.0073436+0.00080781i,-0.0033862+0.0074544i,0.0034332-0.00090065i,0.0020265-0.002292i,-0.0040259-0.0019644i,-0.0013409-4.8969e-05i,-0.038032-0.020705i,0.014205-0.024843i,-0.063067-0.078834i,-0.038002-0.038285i,-0.053343-0.05921i,-0.051836-0.03197i,-0.10067-0.040292i,-0.07138-0.013632i,-0.065012-0.061701i,-0.012034-0.051801i,0.013041-0.032399i,-0.0047866+0.0050176i,-0.0097943+0.0035449i,-0.0042971+0.011639i,0.0035607+0.017813i,0.00019388+0.0099396i,0.016477+0.021173i,0.0044478-0.0075657i,-0.010318+0.0093929i,-0.0025498+0.0058452i,0.002038+0.0029794i,0.0073173+0.01205i,0.0052847-0.0052688i,-0.019712+0.00073304i,-0.016733-0.0013654i,0.00044304+0.0024527i,0.0064876+0.0098035i,0.00292+0.0016013i,0.014095-0.01071i,0.0076309-0.00063419i,0.042225+0.0063143i,-0.0013292+0.0060168i,0.003115+0.0033533i,0.0023273-0.0066246i,0.0060484+0.0021934i,0.0019545+0.017303i,0.0044742+0.0052991i,0.0095617-0.0051178i,0.005297+0.0019882i,-0.0012633+0.013406i,0.0046437+0.0029867i,0.012475+0.002913i,-0.0075159+0.0040424i,0.0052075+0.0035793i,0.015907+0.021523i,-0.064322-0.061157i,-0.032742+0.0041737i,0.012173+0.011262i,-4.9145e-05+0.012046i,-0.027421-0.020488i,-0.014405+0.0062852i,-0.024739+0.0042234i
-0.037205+0.0089932i,-0.06026+0.0066813i,-0.057384+0.033626i,-0.037786+0.016875i,-0.044852+0.032355i,-0.011117+0.047379i,-0.0074286+0.025784i,-0.028121+0.033216i,-0.024311+0.019064i,0.001839-0.0063125i,0.00057757-0.0090103i,-0.00077506-0.003761i,-0.0043177-0.002202i,-0.0011977-0.0092213i,-0.0036463+0.001877i,0.00049826-0.0012663i,-0.0055807-0.0063879i,-0.0013086-0.0013119i,0.003035-0.0010275i,0.00084332+0.0011316i,0.0034245-0.00057103i,0.0034339-0.0020464i,0.0026733-0.0013023i,-0.0030689-0.013959i,-0.0015501-0.00073516i,-0.0041724-0.0016143i,-0.000994-0.0014041i,-0.0018195-0.0030774i,0.00031835-0.0017648i,0.0030647+0.00095646i,-0.0051331+0.0034923i,0.0020565+0.0012533i,0.0021808+0.0027001i,-0.0014259+0.0026866i,-0.0040291+0.0013682i,0.0013861-0.0107i,-0.0019468+0.00016076i,-0.00064224+0.0011455i,-0.005719+0.0046286i,-0.00029843+0.0087014i,0.0030597-0.0015658i,0.0021417-0.0021078i,-0.0041508-0.00059925i,-0.0016642+0.003797i,-0.036962-0.011328i,0.027285-0.034745i,-0.079352-0.066756i,-0.042792-0.038181i,-0.057764-0.053799i,-0.056111-0.023728i,-0.10107-0.01652i,-0.066997-0.0031936i,-0.060516-0.044125i,-0.0154-0.055351i,6.2428e-05-0.036913i,-0.0023882+0.0064866i,-0.010216+0.0013628i,0.00275+0.012147i,0.0087854+0.012718i,0.0039352+0.0033703i,0.015684+0.010143i,-0.0003957-0.007877i,-0.0067176+0.012679i,-0.0031001+0.0065657i,0.001668+0.0015577i,0.008785+0.0074993i,0.0028469-0.0029247i,-0.015612+0.010358i,-0.012627+0.0068465i,0.0017876+0.0013759i,0.010747+0.0070781i,0.0023554+0.001137i,0.0044621-0.014496i,0.0045926-0.004013i,0.037981-0.0091872i,0.0010438+0.0067717i,0.0023133+0.0019267i,-0.0017893-0.0049952i,0.0053655+0.00082904i,0.010166+0.017117i,0.0053843+0.0011416i,0.0071128-0.0070156i,0.0042983-0.00092322i,0.0060163+0.013262i,0.0050045+0.0014651i,0.013092-0.00092222i,-0.0052678+0.0089197i,0.0047944+0.0029669i,0.018702+0.016925i,-0.070315-0.054327i,-0.025637+0.011011i,0.010847+0.0050143i,-0.0011448+0.0046192i,-0.034748-0.0099373i,-0.0090068+0.0090387i,-0.02328+0.0085758i
-0.03483+0.014321i,-0.055069+0.014984i,-0.044479+0.042819i,-0.03406+0.022115i,-0.035326+0.037652i,-0.002301+0.047179i,-0.0043065+0.024421i,-0.021911+0.03678i,-0.019203+0.021094i,-0.00093018-0.0062581i,-0.0030592-0.006242i,-0.00061599-0.0033539i,-0.0042653-0.0011928i,-0.0046537-0.0072326i,-0.0028887+0.0031993i,-0.00086283-0.00096106i,-0.0071521-0.0062832i,-0.0010261-0.00097575i,0.0024133-0.0015429i,0.0016663+0.00023121i,0.0037526-0.0020037i,0.0033012-0.0026113i,0.0022608-0.0021004i,-0.0073092-0.01137i,-0.0019074-0.00041347i,-0.0042014+8.807e-05i,-0.0018906-0.00098338i,-0.0025195-0.0021067i,-0.00035413-0.0018894i,0.0024296-0.0012847i,-0.0038012+0.0053455i,0.0019032+0.00052108i,0.0027925+0.0014816i,0.00026327+0.0026317i,-0.0031517+0.0030744i,-0.00093238-0.0077909i,-0.0018184+0.00041895i,3.5465e-05+0.00060492i,-0.0022176+0.0050556i,0.0038141+0.0082719i,0.0024996-0.0023617i,0.0020729-0.0029399i,-0.0042613+0.00045324i,0.00036978+0.0035486i,-0.033852-0.0069176i,0.02708-0.057844i,-0.08973-0.04883i,-0.046677-0.036285i,-0.062342-0.052735i,-0.058033-0.01434i,-0.097814+0.0014768i,-0.061418+0.004486i,-0.057207-0.032693i,-0.022751-0.058302i,-0.013676-0.036667i,-0.00033579+0.0056723i,-0.015311+0.0018701i,0.0076387+0.0080115i,0.011004+0.007161i,0.0029496-0.0018322i,0.01168+0.0043614i,-0.0047451-0.0071606i,-0.0017967+0.014019i,-0.0019262+0.0079781i,0.00091366+0.0011266i,0.0073861+0.0036659i,0.0028161-0.0017049i,-0.0080812+0.014634i,-0.0064292+0.011219i,0.0035367-0.00055027i,0.013296+0.00068291i,0.0018361+0.0013513i,-0.0030884-0.012029i,0.0013482-0.0047191i,0.029102-0.01996i,0.0039418+0.0064234i,0.0016761+0.0027589i,-0.0046692-0.0021725i,0.0051035-0.0020425i,0.017752+0.012047i,0.0041468-0.0016353i,0.0038666-0.0095354i,0.0024268-0.0024753i,0.011051+0.008894i,0.004478+0.0018419i,0.009693-0.0060593i,-0.00022301+0.010354i,0.0050034+0.0011434i,0.022361+0.011992i,-0.076891-0.044985i,-0.019006+0.015815i,0.010073-0.00057381i,-0.003946+0.0030108i,-0.037343+0.0012397i,-0.0066666+0.0074886i,-0.020211+0.012136i
