-0.022579-0.038829i,-0.0094677-0.050697i,-0.017036-0.046471i,-0.031117-0.036112i,-0.02958-0.017283i,-0.050867-0.029142i,-0.060407-0.026266i,-0.04547-0.039669i,-0.029618-0.037122i,0.0072823+0.013365i,-0.0058763+0.016561i,-0.0051269+0.015017i,0.010014+0.021785i,-7.7191e-05+0.0050411i,0.0035415+0.0032563i,0.0069608+0.018493i,0.027942+0.039909i,-0.0026958-0.0012033i,-0.004345-0.0058798i,0.0085387+0.0015642i,-0.00010483-0.0011383i,-0.00087339+0.0015357i,0.00019834-0.00048592i,-0.0314-0.0017097i,-0.0014843-0.0059292i,0.0016793+0.0048729i,0.0040116-0.00030991i,-0.00030555+0.00056284i,0.00056379-0.00064015i,-0.00020988-0.0027682i,-0.0016637-0.0063357i,-0.0049172-0.0044863i,-0.0019767-0.0053954i,0.0022618-0.00078236i,0.00254-0.0029724i,0.0027956+0.027346i,0.0019575-0.0031019i,0.0027099+0.00070262i,0.00613+0.0010147i,-0.010927-0.0034742i,-0.0031676+0.00059141i,0.006841+0.0014275i,0.0051634+0.00018818i,-0.003517+0.0052592i,0.0018331-0.0078445i,-0.011323+0.018482i,0.035865-0.091071i,0.012298-0.071127i,-0.015422-0.059982i,-0.017198-0.056035i,0.037623-0.048381i,0.016728-0.063685i,0.034786-0.05638i,0.031218-0.059564i,0.015321-0.013525i,0.0042086+0.016702i,0.015973-0.026902i,-0.011326+0.0063249i,-0.0007969+0.0059258i,-0.0052447-0.00041362i,-0.0029094-0.028244i,-0.024398+0.031569i,0.010198-0.011429i,-0.01289-0.0024696i,-1.8169e-05-0.0051484i,-0.0013428-0.015875i,-0.0077351+0.0052728i,0.0054579+0.0059645i,-0.007664+0.031239i,0.0055471+0.0060985i,-0.0052382-0.00095453i,-0.0031038-0.0002227i,-0.012058-0.0077949i,-0.00033303-0.004664i,-0.029433+0.0061793i,2.0909e-05-0.0099359i,-0.0092272-0.0018267i,-0.0067632-0.0029122i,0.0069732+0.0030699i,-0.0077489+0.00085671i,5.5805e-05+0.000757i,0.0057961+0.010662i,0.0039193+0.001579i,-0.0090077-0.010419i,0.0034771+0.0083459i,-0.021482+0.0058391i,0.0084514-0.00045598i,-0.028874-0.0036519i,-0.042476+0.0026561i,0.019756-0.096499i,-0.0020452-0.012158i,-0.054159-0.021738i,-0.023449+0.0013578i,0.018176+0.010494i,-0.024799+0.012836i,-0.01868-0.013058i
-0.030545-0.035545i,-0.016607-0.043405i,-0.024475-0.045081i,-0.038056-0.032578i,-0.027827-0.017614i,-0.057964-0.017636i,-0.061897-0.014122i,-0.051206-0.031037i,-0.034292-0.02899i,0.0081416+0.0096844i,-0.0035321+0.013857i,0.0017791+0.016982i,0.018176+0.014762i,-0.00075934+0.0066527i,0.0041146+0.0018979i,0.010739+0.012817i,0.034597+0.023912i,-0.0010589+0.002137i,-0.0057353-0.0016057i,0.0080542-0.0028314i,-0.0010466+0.00036467i,-0.00097979+0.0021929i,-0.00011423-0.00020562i,-0.018115+0.013886i,-0.0033466-0.0040971i,0.0056765+0.0016164i,0.0033972-0.00033932i,0.00060961+0.0018667i,0.00079974-0.0010367i,-0.001354-0.0032596i,-0.0019566-0.0052317i,-0.0055346-0.0025048i,-0.0034009-0.0044505i,0.0017161-0.0018572i,0.0015548-0.0019099i,0.010911+0.022463i,0.0013134-0.0038277i,0.0023632-0.00046685i,0.0080779-0.0018008i,-0.007598-0.00088751i,-0.0026211+0.0028376i,0.0058569+0.00080131i,0.0047018-0.00062648i,-0.0050684+0.0074605i,0.0066085-0.010681i,0.0035858+0.023409i,0.018814-0.097141i,-0.0055902-0.07793i,-0.011848-0.055775i,-0.021113-0.045825i,0.031741-0.066888i,0.01204-0.082026i,0.035439-0.056105i,0.019643-0.068435i,0.0059988-0.005995i,0.0069072+0.0056985i,0.0044641-0.027427i,-0.0076557+0.012141i,-0.00061284-0.0016414i,-0.0051501-0.00072893i,-0.024146-0.026951i,-0.010261+0.029758i,0.0038084-0.015308i,-0.013478+0.0012095i,-0.0014328-0.0047138i,-0.0087214-0.013995i,-0.0079075+0.0091022i,0.0084165+0.0053445i,0.010763+0.027412i,0.0062669+0.0013784i,-0.0043335+0.0017893i,-0.0041932-3.634e-05i,-0.016311+0.0025169i,-0.00059272-0.0032886i,-0.031827+0.014167i,-0.004951-0.0067728i,-0.0093123+0.0028836i,-0.0081031+0.00092866i,0.0056199-0.0032086i,-0.0073547+0.0029061i,0.0010474-0.00073239i,0.0054417+0.0044016i,0.003703+0.00052736i,-0.014155-0.001923i,0.0039581+0.0046883i,-0.015515+0.014381i,0.006431-0.0042833i,-0.027818+0.0076215i,-0.042027+0.014885i,0.0020441-0.097308i,-0.0061042-0.015186i,-0.059583-0.0061078i,-0.016032-0.001978i,0.017898+0.0051776i,-0.019261+0.019347i,-0.026872-0.016827i
-0.03587-0.029384i,-0.019035-0.042887i,-0.030947-0.043351i,-0.043766-0.025497i,-0.028751-0.019504i,-0.061618-0.0049001i,-0.064233-0.00098228i,-0.056691-0.021864i,-0.037547-0.022776i,0.0082379+0.0067447i,-0.001003+0.016123i,0.0088641+0.013639i,0.020581+0.0050767i,0.0010328+0.0079611i,0.0044656+0.00066186i,0.011594+0.0073752i,0.03822+0.011899i,0.0021475+0.0023401i,-0.0043418+0.0016363i,0.0057575-0.0049952i,-0.0013548+0.0017244i,3.6251e-05+0.0033803i,-0.00012328+0.00015302i,-0.0059983+0.017399i,-0.0029907-0.002551i,0.0059039-0.002901i,0.0030621-0.0014709i,0.0019322+0.0017411i,-0.00011108-0.0012909i,-0.0022928-0.0026791i,-0.0027116-0.005085i,-0.0057961-0.0003541i,-0.0047273-0.003051i,0.0010253-0.0026703i,0.0025764-0.004339i,0.016342+0.015127i,-3.5554e-05-0.0038056i,0.0019421-0.0013388i,0.0070288-0.006767i,-0.0072813+4.0873e-05i,-0.0009179+0.0041403i,0.0055401-0.0010547i,0.004963-0.0014892i,-0.0028658+0.010176i,0.0074454-0.018837i,0.019271+0.018821i,0.0017108-0.09934i,-0.023316-0.073251i,-0.0081391-0.061998i,-0.019801-0.044154i,0.020187-0.08152i,-0.0090703-0.096638i,0.04051-0.062729i,0.0062739-0.069018i,0.0059019-0.0023908i,0.0055836+0.0012824i,-0.0041309-0.02791i,0.0027886+0.010529i,-0.0072585-0.0037018i,-0.004027-0.0028475i,-0.039292-0.014838i,-0.00086864+0.027849i,-0.0031945-0.014812i,-0.011051+0.0051979i,-0.0043116-0.0040212i,-0.015658-0.009832i,-0.0027818+0.014076i,0.011921-0.00013568i,0.021015+0.01541i,0.0054755-0.00065862i,-0.0032602+0.0014695i,-0.0045575+0.0016527i,-0.01213+0.011533i,-0.0033905-0.0023659i,-0.025363+0.024185i,-0.0058125-0.0029831i,-0.006889+0.007684i,-0.0078311+0.0070791i,9.8038e-05-0.0050639i,-0.0056571+0.0049781i,0.00015135-0.0015181i,0.0031114+0.0029844i,0.0034516-0.001045i,-0.0092759+0.0060948i,0.0032791+0.0020091i,-0.0090105+0.01675i,0.0024058-0.0072585i,-0.02199+0.015276i,-0.034556+0.026471i,-0.010563-0.095981i,-0.012659-0.013578i,-0.057932+0.0084338i,-0.02087-0.0089607i,0.01642-0.0021841i,-0.0088382+0.019758i,-0.032292-0.011255i
-0.038727-0.022905i,-0.025026-0.045042i,-0.038504-0.042342i,-0.045428-0.017528i,-0.032709-0.022064i,-0.061126+0.0090881i,-0.061336+0.017784i,-0.060958-0.0089806i,-0.041486-0.014501i,0.0082011+0.0047099i,0.005274+0.016435i,0.011605+0.0079612i,0.01881-0.0037502i,0.0040799+0.0093278i,0.0039074-0.0014954i,0.010798+0.0016012i,0.039928-0.0040835i,0.0034061+0.00024016i,-0.0034269+0.0041094i,0.0027556-0.0058788i,0.00033333+0.0035634i,0.0021508+0.0036688i,-0.00037783+0.00074259i,0.0035526+0.019686i,-0.0030609-0.0019172i,0.0032923-0.0054884i,0.0024569-0.0021016i,0.0023551-6.472e-05i,-0.00028108-0.00064593i,-0.0038102-0.0021756i,-0.0035408-0.0043002i,-0.0050491+0.0015272i,-0.005425-0.0011113i,-0.00032273-0.0032642i,-0.00041107-0.0055894i,0.016189+0.007994i,-0.0012267-0.0038715i,0.0013038-0.0022609i,0.0029107-0.009208i,-0.0053497+0.0029804i,0.00087303+0.00409i,0.0040435-0.0026617i,0.0042757-0.0034269i,0.00081189+0.0099249i,0.0069719-0.025475i,0.032296+0.0085492i,-0.014816-0.096409i,-0.03275-0.063471i,-0.013925-0.067817i,-0.02206-0.04397i,0.0024737-0.096309i,-0.036461-0.096244i,0.037593-0.081593i,-0.0030036-0.066959i,0.006765+0.00017519i,0.0023383-0.0036909i,-0.014876-0.023422i,0.0039645+0.0027189i,-0.0094186-0.00039865i,-0.008429-0.0053092i,-0.044388+0.0047048i,0.010044+0.022002i,-0.0085866-0.012548i,-0.0072249+0.0059919i,-0.0056143-0.0017276i,-0.020018-0.0014929i,0.0050168+0.012023i,0.012007-0.0060137i,0.023439+0.0039337i,0.0056522-0.0031052i,-0.004134+0.00083343i,-0.0041819+0.0041336i,-0.0063718+0.017256i,-0.0049815+0.001591i,-0.018353+0.031135i,-0.0059005-0.00059074i,-0.0016219+0.009878i,-0.0020039+0.011613i,-0.0045947-0.0026169i,-0.0026918+0.0039739i,-0.00028359-0.0011987i,0.0019868+0.002776i,0.0012865-0.0030554i,-0.0034019+0.0050396i,-0.00013342-0.00078366i,-0.004748+0.018941i,-0.0020268-0.0063074i,-0.013865+0.019877i,-0.023891+0.031342i,-0.022963-0.094633i,-0.010597-0.0079062i,-0.052013+0.024639i,-0.028804-0.0056618i,0.013768-0.0079849i,-5.5935e-05+0.015082i,-0.032211-0.0040523i
-0.040139-0.016362i,-0.035602-0.042972i,-0.049756-0.039282i,-0.046032-0.011406i,-0.041331-0.022599i,-0.057162+0.021716i,-0.046716+0.029456i,-0.058189+0.0045335i,-0.038773-0.0059175i,0.0080734+0.0027711i,0.011232+0.01141i,0.01263+0.0038873i,0.013435-0.0099551i,0.0090732+0.0077959i,0.0022969-0.0027734i,0.0070632-0.0013767i,0.02812-0.021498i,0.0027573-0.0010892i,0.0001891+0.0078899i,0.00012751-0.0053522i,0.0023196+0.0040019i,0.0031744+0.0021499i,-0.00032866+0.0015864i,0.017753+0.012873i,-0.0036461-0.00019453i,0.00081695-0.0062997i,0.0010896-0.0029302i,0.002627-2.4018e-05i,-0.00017303-0.00050756i,-0.0048934+0.0001922i,-0.004539-0.0029952i,-0.0037898+0.0032197i,-0.0049269+0.00099397i,-0.0020673-0.002964i,-0.0025309-0.0038801i,0.016132+0.0050594i,-0.0019622-0.0036223i,-7.5962e-05-0.0026814i,-0.00037488-0.0086526i,-0.0032711+0.0010706i,0.0018393+0.0034326i,0.0016225-0.0019594i,0.0031385-0.0044824i,0.0023757+0.0081058i,0.0023623-0.036188i,0.041793-0.0092863i,-0.025456-0.088718i,-0.037636-0.054505i,-0.021503-0.071987i,-0.024896-0.042502i,-0.025696-0.10426i,-0.059048-0.085591i,0.018172-0.096622i,-0.014628-0.061472i,0.0096776+0.0025581i,-0.0028463-0.0051727i,-0.02163-0.014225i,0.00046919-1.4368e-05i,-0.010716+0.0010805i,-0.015212-0.001823i,-0.039048+0.02153i,0.013524+0.011481i,-0.013719-0.007877i,-0.0055429+0.0057753i,-0.0062549+0.001599i,-0.018814+0.008833i,0.005536+0.0067485i,0.0094842-0.011267i,0.023258-0.0070235i,0.0029777-0.0066906i,-0.0065615+0.003139i,-0.0013747+0.006562i,0.0022002+0.018702i,-0.0034643+0.0061383i,-0.010417+0.03778i,-0.0067589+0.00069182i,0.0018617+0.006673i,0.0046354+0.010804i,-0.006087+0.00094818i,-0.0037758+0.0020596i,-0.0014935-0.001469i,0.00099574+0.0049829i,-0.0024687-0.0032459i,-0.0031619+0.0024919i,-0.0032729+0.0018213i,0.0027014+0.020893i,-0.0049734-0.0045767i,-0.0049394+0.020475i,-0.016502+0.033857i,-0.036848-0.089042i,-0.0051904-0.011671i,-0.040385+0.040803i,-0.031253+0.0046586i,0.008993-0.012928i,0.000916+0.0074235i,-0.0312-0.00067434i
-0.040081-0.011192i,-0.041882-0.038664i,-0.061561-0.02895i,-0.047013-0.0051983i,-0.052512-0.017018i,-0.048889+0.032358i,-0.033849+0.032262i,-0.052309+0.014477i,-0.036424-0.0021728i,0.0070588+0.0015195i,0.01153+0.0063417i,0.012634-0.0017844i,0.0068766-0.013361i,0.012652+0.0029249i,0.00036973-0.0031783i,0.0040547-0.0016149i,0.012079-0.025614i,0.003752-0.0016812i,0.0051609+0.0066579i,-0.0016808-0.0038076i,0.0041898+0.0018246i,0.0031148+0.0010949i,0.0010345+0.002305i,0.021431-0.001019i,-0.0020866+0.002026i,-0.00192-0.0058213i,-0.00077202-0.00078727i,0.002991-0.0020456i,-0.00032805-0.0006468i,-0.0029487+0.0032273i,-0.0045782-0.0019674i,-0.002691+0.0038281i,-0.0046287+0.003063i,-0.0029229-0.0010896i,-0.0022881-0.0025433i,0.017426+0.00054032i,-0.0034244-0.0029561i,-0.0020339-0.0026946i,-0.0039827-0.0086559i,-0.0051247-0.00034542i,0.0032266+0.0026543i,0.00084129-0.00022171i,0.00084781-0.0054604i,0.0034379+0.0069965i,-0.0092335-0.042068i,0.032824-0.034435i,-0.028733-0.082089i,-0.041596-0.047098i,-0.031784-0.07183i,-0.027243-0.043703i,-0.054889-0.095163i,-0.078268-0.068351i,-0.0017041-0.10031i,-0.016462-0.047425i,0.01798+0.0053627i,-0.0063524-0.0026872i,-0.020636-0.0019608i,-0.00082297-0.00037506i,-0.014513+0.0047835i,-0.013553+0.0046888i,-0.02929+0.036132i,0.011582+0.0048851i,-0.012811+6.0673e-05i,-0.0070602+0.0056073i,-0.003279+0.0048508i,-0.011977+0.015311i,0.006467+0.0075914i,0.0042606-0.018403i,0.01301-0.02129i,-0.0035066-0.0091366i,-0.0064463+0.0076935i,0.00046785+0.0058749i,0.0098543+0.016079i,0.0011074+0.0079752i,0.0055102+0.045294i,-0.0076803+0.0034472i,0.0017564+0.005246i,0.0089535+0.0060914i,-0.0043593+0.0068742i,-0.0053269+0.0044674i,-0.0039912-0.0009724i,0.0049111+0.0063122i,-0.0033383+0.0022018i,-0.0054052+0.0030537i,-0.00084527+0.0067405i,0.0096847+0.017396i,-0.0068881-0.0022114i,0.00047946+0.017438i,-0.0059187+0.03589i,-0.04282-0.079407i,-0.011556-0.022789i,-0.015839+0.046278i,-0.026774+0.011749i,0.0066226-0.019797i,0.00075159+0.0010887i,-0.029789+0.0060975i
-0.039475-0.006238i,-0.052961-0.035468i,-0.069063-0.014713i,-0.045304+0.0026281i,-0.060273-0.0040049i,-0.039462+0.038931i,-0.024303+0.031926i,-0.045698+0.021129i,-0.037499+0.0020814i,0.0077541-0.00040084i,0.013536+0.0036244i,0.0088257-0.0067011i,-0.00069189-0.012218i,0.013023-0.0040968i,-0.0012807-0.0028228i,0.0023835-0.00043161i,8.9953e-05-0.021503i,0.0027261-0.0041036i,0.0061652+0.0021622i,-0.0026636-0.0014174i,0.0039353-0.00033945i,0.0042079+0.0010449i,0.0026142+0.0016805i,0.016051-0.011103i,0.00078146+0.00085143i,-0.0029481-0.0036711i,0.00012195-0.0011837i,0.001893-0.0035439i,-0.00013199-0.00041905i,-0.00039028+0.0037051i,-0.0051999-0.0011066i,-0.00086623+0.0041425i,-0.0025375+0.0046212i,-0.002617+6.3445e-05i,-0.0033376-0.0032886i,0.015903-0.0052522i,-0.0038294-0.0011164i,-0.0028178-0.0011439i,-0.0076592-0.0049807i,-0.0081151+0.0024529i,0.0036498+0.0012096i,0.0023983-0.00050682i,-0.0015765-0.0048922i,0.0045534+0.0033396i,-0.022162-0.040424i,0.014003-0.040861i,-0.036186-0.084207i,-0.040273-0.039675i,-0.04008-0.069065i,-0.036821-0.045751i,-0.074475-0.079342i,-0.084452-0.042316i,-0.026584-0.10091i,-0.0096943-0.044259i,0.02536-0.0096034i,-0.0074396+0.0014806i,-0.015169+0.00046103i,-0.0047137+0.00027i,-0.012188+0.013326i,-0.010832+0.0072049i,-0.0082554+0.042856i,0.011167+0.0011998i,-0.011578+0.0018735i,-0.0039669+0.0069286i,-0.0015327+0.0042345i,-0.0046782+0.018662i,0.010694+0.0044714i,-0.0081044-0.019336i,-0.0044559-0.021269i,-0.0063394-0.0020828i,-0.0027298+0.010974i,0.0031807+0.0048261i,0.016111+0.0075716i,0.0045368+0.0049298i,0.025692+0.038597i,-0.0040931+0.0060808i,0.002121+0.0036268i,0.0093241+0.0006971i,0.0011592+0.0084152i,-0.0066222+0.0072622i,-0.0047346+0.0035169i,0.0087286+0.0057722i,-0.001419+0.0048582i,-0.0059996+0.005697i,0.0034381+0.0069126i,0.012598+0.011615i,-0.0064119+0.00064584i,0.0062863+0.012964i,0.0053385+0.03331i,-0.049415-0.075985i,-0.027097-0.02131i,0.0013473+0.03694i,-0.023715+0.016371i,-0.0036402-0.027201i,-0.0033089-0.0032857i,-0.021793+0.0088952i
-0.038922-0.0021783i,-0.06315-0.023214i,-0.072177+0.00132i,-0.042358+0.0073057i,-0.060291+0.011088i,-0.031228+0.043315i,-0.017295+0.030513i,-0.039453+0.025696i,-0.036001+0.0099219i,0.0074536-0.0028391i,0.014329-0.004053i,0.0030749-0.0071051i,-0.0044556-0.0079235i,0.0083895-0.0086498i,-0.0027643-0.0021376i,0.0031727-0.00048678i,-0.0064279-0.014843i,-0.00023518-0.0045516i,0.0042577-8.3513e-05i,-0.001987+0.00030012i,0.0022694-0.0010404i,0.0046706-0.00045727i,0.0030018+0.0004171i,0.0082794-0.015591i,-0.00015348-0.0010553i,-0.0028474-0.0025433i,-0.00013748-0.0015569i,0.00026071-0.0034552i,0.00091928-0.00034479i,0.00093356+0.0028289i,-0.0059939+0.00023897i,0.00078743+0.0035518i,-0.00033916+0.0051006i,-0.0025205+0.00024852i,-0.0048064-0.00028142i,0.012197-0.0099674i,-0.0030732-2.4651e-05i,-0.002082+0.00029199i,-0.0067724-0.001727i,-0.0069567+0.006978i,0.0035473+0.00021822i,0.0030221-0.0013086i,-0.0030943-0.0036544i,0.002483+0.00042183i,-0.031424-0.032965i,0.0053027-0.030902i,-0.048175-0.083994i,-0.038117-0.038078i,-0.048532-0.064784i,-0.047019-0.040139i,-0.090025-0.062163i,-0.078031-0.022728i,-0.054028-0.087099i,-0.0074763-0.049325i,0.021906-0.021915i,-0.0059488+0.004136i,-0.013082+0.0041581i,-0.0075838+0.0052398i,-0.0041433+0.018564i,-0.0071192+0.010894i,0.011606+0.03547i,0.0092472-0.004508i,-0.012106+0.0049577i,-0.0030439+0.0057371i,0.00078031+0.0046968i,0.003248+0.015893i,0.011249-0.0029927i,-0.017423-0.010125i,-0.014361-0.010717i,-0.0037128+0.0021948i,0.0033483+0.011318i,0.0040341+0.0024721i,0.017958+0.00017848i,0.0064723+0.0036463i,0.038057+0.02362i,-0.0014855+0.0051841i,0.00082363+0.0033983i,0.0069904-0.0041763i,0.0056006+0.0052403i,-0.0046934+0.013388i,-0.0013863+0.0074551i,0.012671+0.00071493i,0.0030103+0.004815i,-0.0051108+0.0088785i,0.0058785+0.0038955i,0.013653+0.007236i,-0.0062089+0.0020789i,0.0080965+0.007611i,0.012333+0.027031i,-0.057926-0.069347i,-0.034279-0.0080447i,0.011173+0.024482i,-0.011229+0.022795i,-0.016106-0.02651i,-0.01089-0.0028542i,-0.019986+0.003793i
-0.038915+0.0024606i,-0.0652-0.00758i,-0.069032+0.018944i,-0.040446+0.0118i,-0.05484+0.023275i,-0.022265+0.046987i,-0.012021+0.028043i,-0.034533+0.028934i,-0.030049+0.015864i,0.0055552-0.0055189i,0.0081853-0.0097094i,0.00071679-0.0047166i,-0.0050678-0.0043298i,0.0035057-0.010396i,-0.0041-0.00042157i,0.0026358-0.0019211i,-0.0065457-0.0082036i,-0.001693-0.0029549i,0.0030288-0.00015564i,-0.00066617+0.0011562i,0.0023431-2.6099e-05i,0.004352-0.0017461i,0.0031272-0.00051066i,0.001586-0.015332i,-0.0011857-0.0015806i,-0.0031688-0.0026226i,-0.00053813-0.0016547i,-0.00071739-0.0032859i,0.00075739-0.001376i,0.0021151+0.0022881i,-0.0059665+0.0017863i,0.0018187+0.0025635i,0.0013305+0.0039593i,-0.0025223+0.0017047i,-0.0038542+0.00075955i,0.0066599-0.012721i,-0.0019595+0.00049157i,-0.0014141+0.00094143i,-0.0076843+0.00057355i,-0.0037305+0.0090888i,0.0034893-0.00073076i,0.0020072-0.002236i,-0.0036976-0.0020507i,-0.001065+0.00055408i,-0.036812-0.023665i,0.013714-0.024858i,-0.063864-0.079831i,-0.03934-0.038929i,-0.054925-0.058754i,-0.053008-0.031534i,-0.10083-0.039303i,-0.072628-0.012746i,-0.062281-0.061071i,-0.011342-0.053249i,0.013345-0.032127i,-0.0046996+0.0054298i,-0.0092455+0.0040799i,-0.0034119+0.011318i,0.0042372+0.01721i,0.0010253+0.0098241i,0.018777+0.021042i,0.0050433-0.007099i,-0.010646+0.0092502i,-0.0031871+0.0057115i,0.0016698+0.0031176i,0.0073482+0.011879i,0.0049618-0.0052916i,-0.019406+0.00052207i,-0.015512-0.0010789i,-6.7468e-05+0.0027389i,0.0065295+0.0096994i,0.0029579+0.0012128i,0.014526-0.010911i,0.0070078-0.0012477i,0.041975+0.005561i,-0.0011223+0.0059119i,0.0028058+0.0031354i,0.0019976-0.0065574i,0.0060793+0.0022205i,0.0020846+0.017087i,0.0049811+0.0053345i,0.010176-0.0052229i,0.005023+0.001296i,-0.00094699+0.013524i,0.0047292+0.0029716i,0.01293+0.0034521i,-0.0075164+0.004057i,0.0055161+0.0044864i,0.015634+0.021514i,-0.06411-0.061i,-0.03163+0.004821i,0.012337+0.012897i,3.3903e-05+0.015777i,-0.027994-0.019914i,-0.013002+0.0053945i,-0.023491+0.0059469i
-0.038303+0.0080662i,-0.061778+0.0035539i,-0.060067+0.033799i,-0.038712+0.016462i,-0.04713+0.032236i,-0.012898+0.048872i,-0.0089596+0.026016i,-0.029982+0.033059i,-0.024795+0.018581i,0.0024332-0.0065614i,0.0010146-0.0093742i,2.26e-05-0.0037325i,-0.0041146-0.0027654i,-0.00088401-0.010038i,-0.0038684+0.0017256i,0.00059931-0.0028532i,-0.0057339-0.0065306i,-0.0011713-0.0012896i,0.0032261-0.00084004i,0.0010072+0.0010972i,0.0036501-0.00072396i,0.0036116-0.002257i,0.0029731-0.0014137i,-0.0033131-0.013473i,-0.0017419-0.0009107i,-0.0042473-0.0014187i,-0.0010631-0.0014424i,-0.00184-0.0031073i,0.00019727-0.0016981i,0.003085+0.00096256i,-0.0054158+0.0034721i,0.0023294+0.0011731i,0.0023669+0.0027974i,-0.0013952+0.0026859i,-0.0039871+0.0018638i,0.0013806-0.01119i,-0.0018426+0.00015925i,-0.00050984+0.0010518i,-0.005866+0.0045984i,0.00025865+0.010189i,0.0031604-0.0016538i,0.0021817-0.0019844i,-0.0038397-0.00076685i,-0.0010901+0.0037256i,-0.036964-0.014414i,0.027092-0.034658i,-0.080269-0.067724i,-0.044103-0.038739i,-0.059068-0.053343i,-0.057317-0.022952i,-0.10134-0.01621i,-0.068165-0.0018362i,-0.058599-0.044506i,-0.016103-0.057022i,0.00076265-0.036452i,-0.0021489+0.0066572i,-0.0095802+0.0015886i,0.0031854+0.011246i,0.0093109+0.012111i,0.0048431+0.0029304i,0.017249+0.0088679i,0.00033743-0.0075519i,-0.0070654+0.013042i,-0.0035395+0.0066495i,0.0014827+0.0018968i,0.0087352+0.0069014i,0.0027146-0.0030543i,-0.015586+0.0099234i,-0.011733+0.0067143i,0.0015245+0.0019386i,0.010764+0.0068216i,0.0021794+0.00067961i,0.0048611-0.014835i,0.0039503-0.0042136i,0.037054-0.0096845i,0.0010066+0.0066652i,0.001955+0.0018992i,-0.0019169-0.0048445i,0.0056596+0.00051058i,0.010075+0.016744i,0.0055207+0.0010432i,0.0069799-0.0074437i,0.0040027-0.00090799i,0.0062714+0.013168i,0.0051066+0.0016112i,0.01328-0.00087344i,-0.0053386+0.0087995i,0.0055905+0.0033662i,0.018649+0.01687i,-0.069281-0.054343i,-0.025472+0.011183i,0.01181+0.0060449i,0.0014732+0.0069388i,-0.035336-0.0088933i,-0.0087128+0.0078133i,-0.02215+0.0092377i
-0.035863+0.013498i,-0.057102+0.012019i,-0.046722+0.043455i,-0.035371+0.0216i,-0.03768+0.037975i,-0.0037877+0.048979i,-0.0063123+0.024978i,-0.024238+0.03697i,-0.019954+0.020888i,-0.00061163-0.0066389i,-0.0029123-0.0064389i,0.0001866-0.003454i,-0.0043652-0.0017359i,-0.0044463-0.0081087i,-0.0031718+0.0031435i,-0.0014024-0.0024412i,-0.0073804-0.0063402i,-0.00081806-0.001204i,0.0027139-0.0015516i,0.001775+0.00017786i,0.0037693-0.0023579i,0.0035568-0.0028966i,0.0023967-0.0022472i,-0.0073116-0.011019i,-0.0020817-0.00050537i,-0.004274+0.00024i,-0.0016549-0.00099438i,-0.0025435-0.002117i,-0.00032665-0.00192i,0.0024172-0.0010105i,-0.0041013+0.0054359i,0.0019521+0.00029853i,0.0029831+0.0015784i,0.00022844+0.0024701i,-0.0031339+0.0034351i,-0.00076667-0.0084318i,-0.0018033+0.00047556i,0.00031433+0.00049591i,-0.0019751+0.0052133i,0.0050939+0.0090465i,0.0024896-0.0023283i,0.0023334-0.002717i,-0.0038047+0.00013411i,0.00064147+0.0034525i,-0.034172-0.0093951i,0.026874-0.058109i,-0.090818-0.049435i,-0.048382-0.03684i,-0.063967-0.052126i,-0.058937-0.013419i,-0.098785+0.0016599i,-0.062307+0.0057271i,-0.054771-0.033725i,-0.024115-0.058619i,-0.012561-0.03634i,-6.7999e-05+0.0058635i,-0.014729+0.0019875i,0.0074064+0.0072857i,0.011072+0.0066438i,0.0035805-0.0029869i,0.012745+0.0028817i,-0.0041997-0.0074323i,-0.0018233+0.014262i,-0.002248+0.0082473i,0.0010418+0.0015982i,0.0066764+0.0034202i,0.0023981-0.0019161i,-0.0084345+0.014242i,-0.0060205+0.010883i,0.0035434+6.3721e-05i,0.013377+0.00054964i,0.0014942+0.0012254i,-0.0030097-0.012638i,0.0008205-0.0047363i,0.028388-0.019729i,0.0040503+0.0061321i,0.0013467+0.0028677i,-0.004652-0.002151i,0.0049213-0.0025494i,0.017292+0.011666i,0.0043374-0.0018678i,0.0034743-0.0092876i,0.0024156-0.0024628i,0.011038+0.0087046i,0.0048283+0.0012138i,0.0096924-0.0058448i,-0.00062709+0.010532i,0.0058114+0.00091261i,0.02202+0.012359i,-0.075912-0.045706i,-0.01872+0.016275i,0.010549+0.00017921i,-0.00081599+0.0032606i,-0.037029+0.0024974i,-0.0070888+0.0072872i,-0.019585+0.011778i
