-0.023608-0.037552i,-0.01095-0.050805i,-0.018694-0.044386i,-0.030384-0.035337i,-0.030132-0.01594i,-0.050282-0.027434i,-0.057608-0.025934i,-0.044319-0.037467i,-0.030602-0.019391i,0.0083366+0.012399i,-0.0054066+0.015138i,-0.0043838+0.014175i,0.010898+0.020523i,0.00034896+0.0042847i,0.003303+0.0036233i,0.0059768+0.01849i,0.024278+0.035558i,-0.0026703-0.00088519i,-0.0046526-0.0058871i,0.0089625+0.0033918i,-0.00017203-0.00085853i,-0.00094099+0.0012612i,0.00011497-0.00034695i,-0.028473-0.0040072i,-0.0019337-0.0058577i,0.0011126+0.004683i,0.0037489-0.0003823i,-0.00050623+0.00061333i,0.00061189-0.00026142i,-0.00085625-0.0023474i,-0.001956-0.0052668i,-0.0045967-0.0051662i,-0.0022829-0.0041941i,0.0022164-0.00025287i,0.0018181-0.0031903i,-0.00087087+0.026534i,0.0011533-0.0033924i,0.0026056+0.00084944i,0.0061086+0.0012576i,-0.010315-0.0028701i,-0.0037194+0.00046316i,0.0058503+0.0005795i,0.0060638+0.00023651i,-0.0035137+0.0055994i,0.0025787-0.010822i,-0.011291+0.017629i,0.035781-0.090508i,0.011675-0.069977i,-0.015818-0.059654i,-0.015794-0.055558i,0.039129-0.045324i,0.01708-0.062411i,0.03425-0.054946i,0.029785-0.05969i,0.016201-0.013802i,0.0049214+0.016323i,0.017673-0.026178i,-0.010796+0.0049118i,-4.7778e-05+0.0060363i,-0.0050669-0.0015503i,-0.0018656-0.029174i,-0.024914+0.031609i,0.011007-0.01242i,-0.012116-0.0027595i,-0.00015157-0.0049451i,-0.00046079-0.015177i,-0.0073291+0.0050845i,0.0051624+0.00662i,-0.0076587+0.028152i,0.0051762+0.0052679i,-0.0049705-0.00096727i,-0.0031584-0.00079624i,-0.012718-0.0079836i,-0.0010338-0.0047272i,0.0095134+0.035568i,8.0057e-05-0.010083i,-0.0095978-0.0020802i,-0.0064645-0.0031989i,0.0071207+0.0033345i,-0.007596+0.0015349i,-0.00034578-2.7142e-06i,0.0068281+0.012068i,0.0038203+0.0015858i,-0.0081256-0.010311i,0.0031038+0.0081098i,-0.021511+0.003514i,0.008025+0.00026052i,-0.028904-0.0046778i,-0.04127+0.0032028i,0.021493-0.10289i,-0.0011971-0.01322i,-0.052-0.02139i,-0.022019-0.0021576i,0.017908+0.010786i,-0.024933+0.012941i,-0.019848-0.01198i
-0.031017-0.034183i,-0.018225-0.043814i,-0.025943-0.042594i,-0.037809-0.031874i,-0.028207-0.016135i,-0.056864-0.016023i,-0.059897-0.014379i,-0.049153-0.029093i,-0.025151-0.020995i,0.0090825+0.0085547i,-0.003497+0.012859i,0.0021461+0.01588i,0.017495+0.014197i,-0.00032943+0.0056524i,0.0038483+0.0019514i,0.010171+0.012877i,0.026496+0.022866i,-0.00071379+0.0020343i,-0.0062992-0.001661i,0.0058842-0.0006284i,-0.001084+0.00086665i,0.0002929+0.0017268i,-0.0001592-9.0718e-05i,-0.018601+0.0095945i,-0.0035268-0.004086i,0.0057556+0.0012795i,0.0027597-0.00057941i,-1.766e-05+0.0021633i,0.0012268-0.00091546i,-0.0016833-0.0024158i,-0.0019413-0.0043673i,-0.006037-0.0028909i,-0.0028612-0.0039127i,0.0021235-0.0012586i,0.00082846-0.0021362i,0.0084114+0.023966i,0.00073656-0.0037586i,0.0023792-0.00036039i,0.0081057-0.001244i,-0.0082112-0.00026809i,-0.0032035+0.0028764i,0.0052526+0.00093218i,0.0051188-0.0013121i,-0.0056113+0.0070101i,0.005883-0.013813i,0.0034711+0.0231i,0.018119-0.096851i,-0.0058534-0.076157i,-0.011884-0.054774i,-0.020408-0.045058i,0.034039-0.064112i,0.01391-0.080745i,0.035629-0.054583i,0.018517-0.067537i,0.0060444-0.0066331i,0.007398+0.0054137i,0.006466-0.026247i,-0.00522+0.012993i,0.0010426-0.0031264i,-0.0050714-0.0017055i,-0.023355-0.028035i,-0.010438+0.030183i,0.0036796-0.015974i,-0.012536+0.0010005i,-0.001485-0.0044836i,-0.0085028-0.014239i,-0.0085497+0.0088143i,0.0083031+0.0056408i,0.007393+0.025892i,0.0060326+0.00063403i,-0.0045284+0.0018189i,-0.0047995-0.00034614i,-0.015702+0.0020352i,-0.0010086-0.0029484i,-0.031459+0.014574i,-0.0047015-0.0075162i,-0.0091859+0.0034158i,-0.00805+0.0011711i,0.0059752-0.003195i,-0.0068501+0.0036161i,0.00076507-0.00075748i,0.0059261+0.0041806i,0.003677+0.00052441i,-0.013586-0.0021081i,0.0038455+0.0046399i,-0.015546+0.013272i,0.0065177-0.0038393i,-0.027256+0.0066216i,-0.041563+0.013885i,0.0048495-0.10145i,-0.0054443-0.016276i,-0.057601-0.0049502i,-0.017166-0.0054306i,0.018182+0.0041811i,-0.01966+0.018626i,-0.027865-0.015736i
-0.035745-0.027733i,-0.021556-0.042855i,-0.031888-0.040504i,-0.043722-0.024935i,-0.028681-0.017889i,-0.060231-0.0035713i,-0.062608-0.00064027i,-0.054498-0.020256i,-0.02933-0.020302i,0.0087997+0.0050551i,-0.0011143+0.015609i,0.0086538+0.012536i,0.019818+0.0046085i,0.0011965+0.0066318i,0.0042723+0.00095652i,0.011451+0.0070059i,0.032129+0.015654i,0.0020691+0.0018161i,-0.005161+0.0017957i,0.0049393-0.0035374i,-0.0011413+0.0021055i,0.00098201+0.0026281i,-0.00017684+0.00027046i,-0.0089385+0.016046i,-0.003343-0.0027275i,0.0051683-0.0032316i,0.0022377-0.0013492i,0.0022239+0.0023251i,0.00019923-0.0014558i,-0.0025231-0.0020641i,-0.0025893-0.0042985i,-0.0065522-8.5947e-05i,-0.004309-0.0028976i,0.0012962-0.0027086i,0.0017548-0.0041131i,0.013719+0.017779i,-0.00016157-0.0037825i,0.0019894-0.0011313i,0.0071077-0.0063696i,-0.007671+0.001316i,-0.0013748+0.0042654i,0.0056709-0.00055182i,0.0049213-0.0022691i,-0.0035834+0.0094433i,0.0059204-0.021519i,0.020085+0.019348i,0.0010376-0.098334i,-0.023256-0.071704i,-0.0069886-0.060929i,-0.018819-0.043589i,0.023295-0.07959i,-0.0065568-0.096484i,0.040234-0.062534i,0.0060826-0.06768i,0.0058266-0.0023334i,0.0058342+0.00059151i,-0.0018612-0.027471i,0.0021772+0.010008i,-0.007092-0.0055613i,-0.0047191-0.0036229i,-0.039222-0.015316i,-0.0012886+0.027851i,-0.003483-0.015283i,-0.011144+0.0049826i,-0.0038244-0.0038559i,-0.016601-0.010007i,-0.0026784+0.01397i,0.011733+0.00017017i,0.017724+0.013192i,0.0057277-0.00099608i,-0.0030724+0.0013864i,-0.0047561+0.0015632i,-0.012397+0.011636i,-0.0039307-0.0021617i,-0.025927+0.034295i,-0.0062797-0.0035164i,-0.0068549+0.0069492i,-0.0074629+0.007708i,-6.4953e-05-0.005752i,-0.0049652+0.0056194i,0.00041181-0.0012175i,0.0028639+0.0029183i,0.0031853-0.00092836i,-0.010001+0.0056531i,0.0029733+0.0018725i,-0.0079083+0.016282i,0.0026614-0.0066884i,-0.021585+0.014505i,-0.032617+0.02655i,-0.006889-0.095877i,-0.011835-0.014588i,-0.055515+0.0076536i,-0.023546-0.010171i,0.015876-0.0036533i,-0.0095931+0.019328i,-0.032846-0.010902i
-0.038234-0.021678i,-0.028295-0.04439i,-0.038287-0.039327i,-0.045284-0.01662i,-0.032206-0.020286i,-0.059485+0.0099025i,-0.058438+0.018309i,-0.058363-0.0075284i,-0.035515-0.015941i,0.0078132+0.0030861i,0.0049428+0.016062i,0.011396+0.0073278i,0.018143-0.003664i,0.0033316+0.0079612i,0.0036949-0.0012229i,0.010127+0.00096755i,0.03554-0.0014542i,0.0027776-0.0001078i,-0.0038786+0.0043601i,0.0022817-0.0049984i,0.00034831+0.003459i,0.0019187+0.0023297i,-0.00038816+0.00078225i,0.0016399+0.019699i,-0.0034719-0.0021965i,0.0034163-0.0056215i,0.0016202-0.0017556i,0.0027+0.0006161i,-0.00025255-0.00055553i,-0.0041531-0.001462i,-0.0031561-0.0035889i,-0.0051397+0.0015585i,-0.0051697-0.00063708i,0.00015661-0.0034494i,-0.001175-0.0053243i,0.014391+0.009968i,-0.0014199-0.0038277i,0.0014186-0.0020049i,0.0027557-0.0085126i,-0.0048048+0.0040586i,0.00063594+0.0042361i,0.0047482-0.0021779i,0.0037216-0.0039333i,-0.00068798+0.0097601i,0.0050192-0.02698i,0.033707+0.0079302i,-0.015305-0.095708i,-0.032856-0.061967i,-0.012483-0.067399i,-0.020924-0.043976i,0.0063037-0.095049i,-0.033974-0.097016i,0.037398-0.08159i,-0.0031019-0.066153i,0.0058698-0.00063561i,0.0023779-0.0038831i,-0.013561-0.023923i,0.0036837+0.0025722i,-0.0094235-0.0014921i,-0.0089346-0.0062108i,-0.044414+0.0046214i,0.0095062+0.022564i,-0.0092639-0.012168i,-0.0072748+0.0060187i,-0.0052098-0.0015379i,-0.020227-0.0020003i,0.0051538+0.011712i,0.012069-0.005664i,0.020254-0.10767i,0.0045414-0.003592i,-0.0038629+0.00053781i,-0.0044261+0.003912i,-0.0063906+0.01836i,-0.005441+0.0018841i,-0.0066636+0.024421i,-0.0063718-0.0006525i,-0.0024457+0.009342i,-0.0024146+0.012872i,-0.005025-0.0028687i,-0.0016654+0.005095i,0.00035181-0.001398i,0.0030285+0.0031242i,0.0015261-0.0024839i,-0.0037464+0.005482i,7.4811e-05-0.00017506i,-0.0026929+0.018391i,-0.0017117-0.0057238i,-0.013885+0.019171i,-0.026138+0.028512i,-0.018236-0.094165i,-0.010462-0.0095494i,-0.051144+0.023409i,-0.030306-0.0056085i,0.013195-0.0093141i,-0.00016296+0.014459i,-0.031924-0.0035744i
-0.039541-0.015506i,-0.03875-0.04132i,-0.048493-0.036379i,-0.045828-0.010134i,-0.040018-0.021081i,-0.055233+0.022493i,-0.04407+0.029197i,-0.055298+0.0048066i,-0.036147-0.0080399i,0.0075512+0.0013657i,0.010247+0.011741i,0.012284+0.0031042i,0.013166-0.0097599i,0.0075617+0.0063892i,0.0021478-0.0028448i,0.0061804-0.0015078i,0.025727-0.014724i,0.0024848-0.0011597i,-0.00024708+0.0086287i,0.00015201-0.0045228i,0.0023174+0.0040494i,0.0026848+0.0019734i,-0.00022937+0.0016961i,0.013389+0.014014i,-0.0046101-0.00028523i,-0.00012971-0.0069832i,0.00097583-0.0019507i,0.0032208+0.00020455i,2.4457e-05-0.00030687i,-0.0049962+0.00093373i,-0.0039257-0.0024926i,-0.0039901+0.0031865i,-0.0045039+0.0011448i,-0.0015969-0.0034291i,-0.0031834-0.0034291i,0.015374+0.0073357i,-0.002226-0.0035335i,0.00012518-0.0025414i,-0.00055731-0.0073778i,-0.0027349+0.0021671i,0.0021027+0.0030621i,0.0027604-0.0018678i,0.002706-0.0044405i,0.0010987+0.0086287i,-2.7377e-05-0.037013i,0.041992-0.01042i,-0.025933-0.087781i,-0.036812-0.053106i,-0.020238-0.071628i,-0.023761-0.04286i,-0.021611-0.10418i,-0.057144-0.086325i,0.017774-0.097057i,-0.014486-0.060188i,0.0089919+0.0017149i,-0.0030511-0.0058774i,-0.029511-0.024403i,9.224e-05-0.00030494i,-0.010893-0.00042604i,-0.016254-0.0025884i,-0.038223+0.021571i,0.013465+0.012576i,-0.014321-0.007253i,-0.0055574+0.0057839i,-0.0058706+0.0013278i,-0.02015+0.0081551i,0.0054513+0.0067252i,0.0099959-0.010774i,0.028922-0.006741i,0.0024757-0.0060925i,-0.0060332+0.0028187i,-0.0019279+0.0058714i,0.00174+0.018994i,-0.0039753+0.006103i,-0.0069689+0.033599i,-0.0067117+0.00088027i,0.0015033+0.0068061i,0.004183+0.01154i,-0.0076269+0.0019323i,-0.0028338+0.0019845i,-0.0014266-0.0019081i,0.0010001+0.0056111i,-0.0025421-0.002861i,-0.0033357+0.0021556i,-0.0027743+0.0019074i,0.0045817+0.019535i,-0.004595-0.0040842i,-0.0051768+0.0201i,-0.019209+0.034485i,-0.031575-0.089838i,-0.0050125-0.012573i,-0.040262+0.039187i,-0.032507+0.0048543i,0.0081009-0.01487i,0.00090142+0.0065102i,-0.03108+0.00026059i
-0.039436-0.010482i,-0.044731-0.035674i,-0.05957-0.027067i,-0.046253-0.00397i,-0.051097-0.015851i,-0.046645+0.032636i,-0.031481+0.03148i,-0.049956+0.014105i,-0.034607-0.0038002i,0.0062069+0.00047699i,0.010951+0.0071802i,0.011933-0.0022997i,0.0068888-0.013068i,0.010448+0.0021686i,-2.9588e-06-0.0030585i,0.0034981-0.0016762i,0.012078-0.01909i,0.0033679-0.0018822i,0.0053634+0.0072566i,-0.0015044-0.0030728i,0.004198+0.0020104i,0.0028594+0.0010693i,0.0011622+0.0022752i,0.02177+0.0047751i,-0.002781+0.002365i,-0.0078689-0.0072062i,-0.00016198-0.00050134i,0.0033355-0.0016798i,-2.659e-05-0.00065591i,-0.0030891+0.0038853i,-0.0038523-0.0016576i,-0.0028897+0.0039397i,-0.0046163+0.0032225i,-0.0030875-0.0017996i,-0.0025921-0.0019838i,0.016907+0.0024197i,-0.0035422-0.0027464i,-0.0016173-0.0026408i,-0.0039886-0.0069585i,-0.0042695+0.00093312i,0.0013191+0.0025891i,0.0012697-0.00036673i,0.0008333-0.0056442i,0.0035439+0.0076908i,-0.012428-0.042226i,0.032428-0.034394i,-0.029463-0.08079i,-0.040656-0.046428i,-0.029889-0.071933i,-0.025829-0.04378i,-0.051692-0.0963i,-0.076378-0.069001i,-0.0018906-0.1012i,-0.015618-0.045609i,0.017321+0.0050585i,-0.0069684-0.0031138i,-0.021842-0.0052942i,-0.0012326-0.00066697i,-0.015416+0.0036299i,-0.01505+0.0048969i,-0.028131+0.035464i,0.011382+0.0053072i,-0.012446+0.00067155i,-0.0076672+0.0058924i,-0.0033543+0.0049812i,-0.012852+0.015349i,0.0067684+0.0079661i,0.004928-0.018835i,0.01756-0.021084i,-0.0031764-0.0085295i,-0.0062623+0.0070814i,-0.00028819+0.0058662i,0.0095226+0.016766i,0.00067525+0.0079019i,0.0087558+0.04818i,-0.0072383+0.003058i,0.0020272+0.0052622i,0.0086283+0.0068505i,-0.004515+0.0069748i,-0.005098+0.0047484i,-0.0036183-0.0013679i,0.0038287+0.0066215i,-0.0034704+0.0023271i,-0.0058056+0.0024611i,6.2913e-06+0.0065342i,0.010403+0.015809i,-0.0060843-0.0026355i,0.00088833+0.017615i,-0.0065496+0.036765i,-0.039833-0.081315i,-0.011187-0.023514i,-0.01602+0.045372i,-0.027191+0.013367i,0.0011027-0.022688i,0.00016087+0.0010324i,-0.028386+0.0061779i
-0.038987-0.0056159i,-0.054571-0.031688i,-0.066778-0.013287i,-0.044357+0.0034627i,-0.058668-0.0029027i,-0.036953+0.038647i,-0.022501+0.030966i,-0.044003+0.020544i,-0.036385+0.00088084i,0.0065461-0.0012415i,0.01308+0.0043982i,0.008387-0.0067275i,-0.00065141-0.012272i,0.010843-0.0038307i,-0.001434-0.0021505i,0.0017642-0.00038625i,0.002326-0.015956i,0.0020354-0.003952i,0.006831+0.0025095i,-0.0020976-0.0011606i,0.0041455-0.00034309i,0.0040329+0.00090967i,0.0024875+0.0015563i,0.018921-0.0079335i,0.00057761+0.0014392i,-0.0030566-0.0020284i,0.00026691-0.0012596i,0.0075624-0.0034893i,-1.1428e-05-4.5595e-05i,-0.00060275+0.004211i,-0.0041129-0.00085827i,-0.0010212+0.0045997i,-0.0023924+0.0053443i,-0.002736-0.00025158i,-0.0030403-0.0025681i,0.016481-0.0037817i,-0.0037545-0.00096638i,-0.0025269-0.0015116i,-0.0087377-0.0013104i,-0.0059329+0.003234i,0.0035883+0.0023876i,0.00301-0.00093579i,-0.0012546-0.0050972i,0.0055008+0.0033502i,-0.025775-0.040679i,0.014133-0.040153i,-0.03601-0.082314i,-0.039589-0.039052i,-0.038188-0.069876i,-0.034601-0.046549i,-0.071588-0.080601i,-0.082698-0.043199i,-0.028063-0.10128i,-0.0084772-0.04288i,0.026324-0.0081452i,-0.0081181+0.0016001i,-0.015147-0.00079719i,-0.0054361-0.00025485i,-0.012784+0.013209i,-0.012168+0.0080813i,-0.0076649+0.042154i,0.010918+0.0013802i,-0.01129+0.0018882i,-0.0041047+0.0078463i,-0.0015231+0.0045845i,-0.0055129+0.01884i,0.011357+0.0046986i,-0.0085311-0.020007i,-0.0025537-0.022305i,-0.0059046-0.0014007i,-0.0025399+0.010963i,0.0031304+0.0049705i,0.015425+0.0080576i,0.0040628+0.0057743i,0.028451+0.03621i,-0.0041478+0.0061399i,0.0022433+0.0029571i,0.0096359+0.0010218i,0.00067071+0.0084071i,-0.0066223+0.0072923i,-0.0044877+0.0028424i,0.0081669+0.0059632i,-0.0018583+0.0048811i,-0.0072383+0.0048884i,0.0032612+0.0066495i,0.013349+0.0091814i,-0.0064856+9.6264e-05i,0.0060813+0.0136i,0.0051694+0.033645i,-0.04736-0.078954i,-0.027705-0.022488i,0.0011706+0.035945i,-0.021699+0.018189i,-0.0035765-0.024761i,-0.0036037-0.0030817i,-0.020956+0.0075796i
-0.038535-0.0017876i,-0.062829-0.019512i,-0.069612+0.002046i,-0.041237+0.0081659i,-0.058315+0.011929i,-0.028885+0.04233i,-0.015776+0.029667i,-0.038147+0.025023i,-0.036165+0.008452i,0.0058435-0.0033428i,0.013908-0.0036994i,0.0026284-0.0072856i,-0.0044568-0.0078056i,0.0067814-0.0077177i,-0.0025202-0.0020006i,0.0023659-0.0002354i,-0.0038198-0.011334i,-0.00058715-0.003504i,0.0051109+0.00018766i,-0.0016626+0.00031139i,0.0023389-0.00095616i,0.0041184-0.000331i,0.0028798+0.00034985i,0.011142-0.014195i,6.0016e-05-0.00075717i,-0.0022877-0.0018909i,-0.00019316-0.0014143i,0.00024522-0.0034436i,0.0011674-6.1392e-05i,0.00082348+0.0032409i,-0.0045747-9.8167e-05i,0.00093855+0.0039104i,0.00026965+0.0053617i,-0.0026576+7.5523e-05i,-0.0041032-2.1357e-05i,0.013081-0.0090153i,-0.003451-6.1861e-05i,-0.0021907-9.942e-05i,-0.01156-0.0041717i,-0.0045839+0.006074i,0.0047002+0.00078201i,0.0031858-0.0014761i,-0.002646-0.0042257i,0.003013-0.00021932i,-0.03578-0.031544i,0.0059991-0.030833i,-0.047458-0.082687i,-0.036684-0.037245i,-0.047065-0.065539i,-0.045425-0.041672i,-0.087932-0.063922i,-0.076435-0.023708i,-0.055173-0.087232i,-0.0064443-0.048288i,0.023237-0.022489i,-0.0059535+0.0039953i,-0.013897+0.0037724i,-0.0087004+0.0051138i,-0.0046372+0.018942i,-0.0075216+0.011609i,0.011359+0.034437i,0.0087155-0.0040067i,-0.013477+0.0045069i,-0.002181+0.0066123i,0.00091133+0.0050132i,0.0037091+0.016004i,0.011619-0.0025172i,-0.017864-0.010122i,-0.013176-0.013171i,-0.0029742+0.0022419i,0.0036568+0.011117i,0.0037075+0.0025308i,0.017382+0.0011704i,0.0069874+0.0042829i,0.039941+0.021099i,-0.0010828+0.0051268i,0.00061057+0.0037439i,0.0070684-0.0042897i,0.0056078+0.005756i,-0.0043876+0.014406i,-0.0019336+0.0070136i,0.012744+0.00054397i,0.0026541+0.0050523i,-0.0062237+0.0089191i,0.0061161+0.0039036i,0.013117+0.0045848i,-0.0063472+0.001611i,0.008556+0.0078265i,0.011898+0.027517i,-0.05708-0.072362i,-0.035961-0.0088013i,0.011217+0.023785i,-0.0076591+0.021692i,-0.015364-0.025268i,-0.011436-0.0033821i,-0.019517+0.0025393i
-0.038413+0.0028638i,-0.063805-0.0050519i,-0.067181+0.019418i,-0.039252+0.011986i,-0.052578+0.023655i,-0.020199+0.045711i,-0.010484+0.027355i,-0.033245+0.028471i,-0.030651+0.015712i,0.0042352-0.005477i,0.0072463-0.0093836i,4.8628e-05-0.0050535i,-0.0051701-0.0041843i,0.0028122-0.0094039i,-0.0037231-0.00051986i,0.0021082-0.0013652i,-0.0041153-0.0063563i,-0.0013423-0.0021389i,0.0035289+0.00018843i,-0.0005696+0.0010835i,0.0023698+8.7423e-06i,0.0039503-0.0013307i,0.0029746-0.00054687i,0.0040848-0.015306i,-0.0013671-0.0011111i,-0.0028554-0.0024539i,-0.00051396-0.0013811i,-0.0010272-0.0033461i,0.0011951-0.0013692i,0.0022325+0.0023782i,-0.0050077+0.0009122i,0.0020512+0.0026927i,0.0018322+0.0034202i,-0.0030241+0.0016031i,-0.0028618+0.00065647i,0.0078564-0.011965i,-0.0025167+0.00056885i,-0.0016585+0.00082101i,-0.0078328-0.00037174i,-0.0024421+0.0072161i,0.0049899-0.00090708i,0.0019857-0.0022217i,-0.0043611+0.0024273i,-0.0010549-0.00090062i,-0.04088-0.021016i,0.014027-0.025144i,-0.06282-0.07847i,-0.037921-0.038871i,-0.053145-0.059158i,-0.052058-0.032753i,-0.099434-0.04143i,-0.071335-0.013588i,-0.065041-0.059485i,-0.010073-0.05164i,0.013405-0.032451i,-0.0046518+0.0049613i,-0.0098455+0.0035582i,-0.0046848+0.011475i,0.0041169+0.017693i,0.00062122+0.0098103i,0.017621+0.020284i,0.0052254-0.0062395i,-0.011433+0.010344i,-0.0018439+0.0056198i,0.0018806+0.0030287i,0.0077477+0.011411i,0.0052322-0.0051136i,-0.019395+0.00020679i,-0.016637-0.0026901i,0.00073731+0.0023931i,0.0068945+0.010317i,0.0026544+0.0014779i,0.013672-0.010807i,0.0078847-0.00079166i,0.042117+0.0026483i,-0.00093295+0.0056616i,0.0031746+0.0033235i,0.0022433-0.0065334i,0.0061492+0.0016161i,0.0027402+0.017509i,0.0043235+0.0055833i,0.0098244-0.0045585i,0.0050848+0.0013655i,-0.00081336+0.013722i,0.004642+0.0027673i,0.01164+0.0017057i,-0.0075314+0.0031367i,0.0057071+0.0038805i,0.015949+0.022397i,-0.062901-0.063232i,-0.032676+0.0049111i,0.012419+0.011606i,0.0012398+0.013079i,-0.027155-0.019826i,-0.014838+0.0057339i,-0.023622+0.003976i
-0.037817+0.0082947i,-0.060296+0.0058383i,-0.058038+0.034191i,-0.037745+0.016408i,-0.045038+0.032279i,-0.010985+0.047037i,-0.0072527+0.024994i,-0.028489+0.032179i,-0.02476+0.019259i,0.0010423-0.0061942i,0.00016237-0.0087556i,-0.00065006-0.0036995i,-0.0041344-0.0024354i,-0.0011299-0.009011i,-0.0034977+0.0013969i,0.00043948-0.0023424i,-0.0032112-0.0051216i,-0.0010743-0.00088129i,0.0036671-0.00082002i,0.00080588+0.0010739i,0.0036295-0.00073737i,0.0034673-0.0018695i,0.0027902-0.0014608i,-0.0015733-0.013756i,-0.0016401-0.00050226i,-0.0035999-0.0010778i,-0.001122-0.0015622i,-0.0020558-0.0029459i,0.00041628-0.00188i,0.0030269+0.00073642i,-0.0049359+0.0023934i,0.0025098+0.0012135i,0.0023014+0.002258i,-0.0015933+0.0027257i,-0.0030225+0.0013168i,0.0017649-0.011141i,-0.00233+0.00030344i,-0.00061386+0.0010892i,-0.0064623+0.0042148i,0.00038357+0.0082896i,0.003783-0.0031383i,0.0024551-0.0018755i,-0.0053019+0.0014579i,-0.002932+0.0027136i,-0.039739-0.010905i,0.026588-0.035328i,-0.078814-0.066892i,-0.043097-0.038459i,-0.056792-0.05423i,-0.056429-0.024072i,-0.10059-0.018248i,-0.066424-0.0028884i,-0.058983-0.042685i,-0.013822-0.055801i,-0.00017378-0.035897i,-0.0024239+0.0066779i,-0.010426+0.0011396i,0.0022259+0.012062i,0.0092056+0.01274i,0.0044261+0.0028093i,0.016555+0.0081412i,0.0013527-0.0071572i,-0.0070802+0.014052i,-0.0022711+0.0064018i,0.001442+0.0016991i,0.0084758+0.0065219i,0.0025413-0.0030411i,-0.015492+0.0094709i,-0.013171+0.0062712i,0.0018057+0.0012931i,0.011995+0.0072055i,0.0021328+0.0011639i,0.0040526-0.014003i,0.0046784-0.0041711i,0.037025-0.011344i,0.0011189+0.0068273i,0.0023561+0.001816i,-0.001801-0.0051892i,0.005206+0.00024641i,0.010508+0.01694i,0.0055133+0.0013886i,0.0075213-0.0061691i,0.0037516-0.0012664i,0.0076359+0.01384i,0.0050182+0.0017859i,0.012101-0.001473i,-0.0056056+0.0083488i,0.0054781+0.0030168i,0.019142+0.017488i,-0.069611-0.05788i,-0.026518+0.011151i,0.011476+0.0046186i,0.00071516+0.0042921i,-0.035307-0.01017i,-0.0092209+0.0087816i,-0.022278+0.007963i
-0.035616+0.013723i,-0.055756+0.013591i,-0.044207+0.04336i,-0.034411+0.021706i,-0.035483+0.037595i,-0.0025655+0.046544i,-0.004699+0.023766i,-0.022811+0.035679i,-0.019643+0.021258i,-0.0015646-0.0059133i,-0.0029713-0.0058454i,-0.00065923-0.0031858i,-0.0042625-0.0014869i,-0.0044753-0.0070685i,-0.0027818+0.0026256i,-0.0015135-0.0019119i,-0.0039587-0.0058838i,-0.00077541-0.00069248i,0.0027945-0.0015621i,0.0017276+0.00025389i,0.003674-0.0022383i,0.0034525-0.0024981i,0.0022033-0.0022551i,-0.0061417-0.011947i,-0.0018116-0.00021142i,-0.0036947-6.0288e-05i,-0.0020626-0.00085541i,-0.0028599-0.0018975i,-0.00043539-0.0018713i,0.0023621-0.0011028i,-0.003973+0.0045022i,0.002062+0.00033543i,0.002789+0.0010778i,0.00010868+0.0025742i,-0.0023661+0.0027718i,-0.00041735-0.0081602i,-0.002417+0.00059089i,0.00012357+0.00054312i,-0.0023923+0.006013i,0.0042646+0.0077822i,0.0019341-0.0035623i,0.0035238-0.0031021i,-0.0046195+0.0025922i,-0.0010054+0.0035264i,-0.035879-0.005458i,0.026013-0.057999i,-0.08957-0.049306i,-0.046882-0.036352i,-0.061837-0.053604i,-0.058277-0.014587i,-0.097945-0.00029373i,-0.061116+0.0041498i,-0.054997-0.032638i,-0.021878-0.058923i,-0.012104-0.036231i,-0.0002712+0.0058558i,-0.016011+0.0015643i,0.0069993+0.0084208i,0.010638+0.0077123i,0.0027285-0.0028364i,0.012172+0.0026251i,-0.002127-0.0076453i,-0.0015133+0.015046i,-0.00015023+0.0077245i,0.00092996+0.0013953i,0.006774+0.003537i,0.0021469-0.0016496i,-0.0080951+0.014016i,-0.0076381+0.011713i,0.0034597-0.00057348i,0.014163-0.00080901i,0.0016142+0.0015551i,-0.003085-0.011713i,0.0014324-0.0048129i,0.030311-0.021423i,0.0049525+0.0065079i,0.0017301+0.0026505i,-0.0049312-0.0025178i,0.0046288-0.0021022i,0.017968+0.011951i,0.0039744-0.0015604i,0.0036905-0.0078656i,0.0022363-0.0025321i,0.011906+0.0093774i,0.0047225+0.0012674i,0.0091576-0.0057318i,-0.00098844+0.010234i,0.0057077+0.00050951i,0.022709+0.012076i,-0.077799-0.047948i,-0.020774+0.017298i,0.0098788+8.544e-05i,-0.0027271+0.0016981i,-0.037686+0.0011356i,-0.0066619+0.0075005i,-0.019558+0.011281i
