-0.025506-0.038758i,-0.011762-0.049174i,-0.01819-0.044394i,-0.031031-0.034793i,-0.030177-0.015952i,-0.050381-0.026815i,-0.057608-0.025399i,-0.045522-0.037001i,-0.029107-0.036591i,0.0074493+0.012737i,-0.0048554+0.015167i,-0.0045539+0.013943i,0.010097+0.021151i,0.00076597+0.0044065i,0.003238+0.0032808i,0.0061465+0.01802i,0.026848+0.038075i,-0.0022218-0.00053134i,-0.0041932-0.0061829i,0.0077814+0.0014546i,-0.00026528-0.00090251i,-0.00096904+0.0012937i,9.2245e-06-0.00046838i,-0.029891-0.0029344i,-0.0014322-0.0055494i,0.0018206+0.004489i,0.0036378-0.00026648i,-0.00042862+0.00062012i,0.00042736-0.00047885i,-0.00033057-0.0025169i,-0.0018182-0.005928i,-0.004509-0.0039483i,-0.0017794-0.0047447i,0.0021192-0.00094541i,0.0021164-0.0030742i,0.0027911+0.025465i,0.0018984-0.0027467i,0.0028341+0.00039336i,0.0062678+0.0012162i,-0.0098647-0.00405i,-0.0028482+0.00073677i,0.0065629+0.0014218i,0.0054158+0.00057811i,-0.0036708+0.0060973i,0.00043962-0.0089439i,-0.011891+0.018039i,0.036366-0.090795i,0.011824-0.070071i,-0.0162-0.059935i,-0.01661-0.054993i,0.038809-0.045714i,0.01727-0.062231i,0.034314-0.055162i,0.029367-0.060271i,0.016383-0.013762i,0.0047493+0.016173i,0.016868-0.026305i,-0.011026+0.0056985i,-0.00032516+0.0055903i,-0.0048952-0.0012331i,-0.0022731-0.029425i,-0.024478+0.031899i,0.010186-0.011418i,-0.01332-0.002573i,-0.00011745-0.0050639i,-0.001252-0.016197i,-0.0070596+0.0052816i,0.0053979+0.0066275i,-0.0087134+0.030499i,0.0045312+0.0060447i,-0.0049437-0.0005797i,-0.0031211-0.00073407i,-0.012282-0.0075433i,-0.0010516-0.0046597i,-0.030555+0.0065525i,2.4148e-05-0.0099689i,-0.0092889-0.002124i,-0.0065842-0.0030979i,0.0070536+0.0026924i,-0.0078145+0.00096433i,-0.00019538+0.00036719i,0.0057464+0.010785i,0.0043864+0.0014245i,-0.0090264-0.0098652i,0.0031638+0.007792i,-0.021111+0.0061643i,0.0084023+0.0011136i,-0.029175-0.003759i,-0.042513+0.0021996i,0.019672-0.097073i,-0.001357-0.012507i,-0.052717-0.021903i,-0.022414-0.001136i,0.017935+0.010712i,-0.025035+0.013335i,-0.018149-0.012997i
-0.033323-0.034589i,-0.018585-0.042386i,-0.024913-0.042561i,-0.037868-0.031511i,-0.028447-0.016072i,-0.056817-0.015535i,-0.059646-0.013847i,-0.050241-0.028268i,-0.03402-0.028973i,0.0083179+0.009339i,-0.0032076+0.012586i,0.0019727+0.015871i,0.017946+0.014322i,-7.3561e-05+0.0056477i,0.0037087+0.0016429i,0.010144+0.01254i,0.033447+0.023605i,-0.00027042+0.0022797i,-0.005804-0.0022148i,0.0074233-0.0024766i,-0.0011006+0.00074571i,-0.0011814+0.002138i,-0.000316-0.00010831i,-0.018533+0.011971i,-0.0029677-0.0038274i,0.0054075+0.0011161i,0.0028869-0.00057423i,0.00040228+0.0021852i,0.00082414-0.001039i,-0.0012108-0.0029626i,-0.0020705-0.0046931i,-0.0049306-0.0022234i,-0.0029445-0.004142i,0.0013797-0.0018464i,0.0011744-0.0020957i,0.010268+0.020941i,0.0016143-0.0034336i,0.0023714-0.00087151i,0.0083968-0.0012445i,-0.0074694-0.0015671i,-0.0021831+0.002478i,0.0055584+0.0011454i,0.0047596-0.00038711i,-0.0050861+0.0075445i,0.0043984-0.011568i,0.0031111+0.023495i,0.018597-0.097272i,-0.005774-0.076375i,-0.01266-0.0549i,-0.020324-0.044579i,0.033343-0.064384i,0.013445-0.080611i,0.035476-0.054664i,0.018348-0.067859i,0.0064047-0.0068107i,0.007188+0.0050516i,0.0053503-0.026635i,-0.0077649+0.011869i,0.00010315-0.0028395i,-0.0052404-0.0017132i,-0.023634-0.027554i,-0.010436+0.02983i,0.0041674-0.015025i,-0.013968+0.0010328i,-0.0016012-0.0044842i,-0.0091193-0.014691i,-0.0083876+0.0086505i,0.0083186+0.0056815i,0.0096188+0.027858i,0.0057424+0.0014936i,-0.0041763+0.0020592i,-0.0047621-0.00031133i,-0.016248+0.0022645i,-0.00091572-0.002858i,-0.032299+0.014713i,-0.0053215-0.0068954i,-0.0091849+0.0029901i,-0.0077468+0.00082446i,0.0056742-0.0034459i,-0.0073706+0.0031294i,0.00086406-0.00076024i,0.0054955+0.0043705i,0.0037451-0.00017736i,-0.013938-0.0012182i,0.0034439+0.0047202i,-0.015127+0.014241i,0.0068554-0.0030635i,-0.027704+0.0076621i,-0.041616+0.014598i,0.0025301-0.097627i,-0.0059061-0.015605i,-0.058346-0.0067901i,-0.017027-0.0041875i,0.017987+0.0043294i,-0.019296+0.019764i,-0.026643-0.016802i
-0.0382-0.027586i,-0.021577-0.041564i,-0.031146-0.040899i,-0.04376-0.024785i,-0.029003-0.017618i,-0.060072-0.0031089i,-0.062356-0.00026156i,-0.055206-0.019265i,-0.037729-0.022484i,0.0086008+0.0060995i,-0.00089606+0.014946i,0.0085425+0.012698i,0.02015+0.0046382i,0.0013127+0.0069664i,0.0040756+0.00066154i,0.011221+0.0067993i,0.037361+0.011526i,0.0025828+0.0021985i,-0.0048979+0.0012627i,0.0052499-0.0047187i,-0.0014165+0.0020125i,-8.7768e-05+0.003378i,-0.00032815+0.00032661i,-0.0073497+0.016928i,-0.002812-0.0025265i,0.0055913-0.0029169i,0.0024096-0.001542i,0.0022364+0.0018195i,-0.00014218-0.0013493i,-0.0022646-0.0027413i,-0.0029849-0.0045882i,-0.005347-0.00028946i,-0.0044101-0.0029278i,0.00059913-0.0025646i,0.0022077-0.0042853i,0.014964+0.014163i,0.00071393-0.0036119i,0.0017753-0.0017003i,0.0078687-0.0069994i,-0.0073776+9.4363e-05i,-0.00054214+0.0035972i,0.0053528-0.00068567i,0.004803-0.0012059i,-0.0025938+0.009968i,0.0054604-0.019228i,0.019376+0.019434i,0.0015343-0.098832i,-0.023268-0.071546i,-0.0077169-0.060969i,-0.01895-0.04319i,0.022756-0.079644i,-0.0071364-0.096154i,0.040621-0.062062i,0.0052834-0.068281i,0.0060143-0.0027956i,0.0053205+0.00079333i,-0.0024611-0.028198i,0.0025979+0.009873i,-0.0072017-0.0049116i,-0.0047744-0.0035376i,-0.038502-0.015554i,-0.0011179+0.028026i,-0.0028944-0.014724i,-0.011542+0.0047107i,-0.004268-0.003998i,-0.01622-0.010046i,-0.0030801+0.013898i,0.011647+0.00015192i,0.020719+0.016356i,0.0052625-0.00066881i,-0.0035479+0.0013643i,-0.0046195+0.0015232i,-0.012213+0.011588i,-0.0039412-0.0020607i,-0.025938+0.024153i,-0.0065299-0.0028214i,-0.006836+0.0071291i,-0.0077883+0.0071317i,-0.00018841-0.0054988i,-0.0054591+0.0051971i,8.0286e-05-0.0016561i,0.0028187+0.0030069i,0.0031753-0.0015533i,-0.008972+0.0058693i,0.0027364+0.0021051i,-0.0087095+0.016678i,0.0027946-0.0062622i,-0.021885+0.015064i,-0.033873+0.026267i,-0.010255-0.096173i,-0.012127-0.013801i,-0.056998+0.0076184i,-0.023133-0.0094368i,0.016089-0.0027419i,-0.0087897+0.019789i,-0.031677-0.011888i
-0.040635-0.020577i,-0.027332-0.043013i,-0.03833-0.039465i,-0.045136-0.016735i,-0.032438-0.019801i,-0.059248+0.010294i,-0.058525+0.01863i,-0.058643-0.0064504i,-0.040956-0.013613i,0.008195+0.0040315i,0.0046786+0.015084i,0.011128+0.0073319i,0.018287-0.003967i,0.0037729+0.0082846i,0.0034898-0.0011821i,0.0098129+0.0008975i,0.038965-0.0052376i,0.0036264+0.00011732i,-0.0036315+0.003712i,0.0023511-0.0055686i,0.00029706+0.0033237i,0.001995+0.0035429i,-0.00047088+0.00075058i,0.0036894+0.020585i,-0.0029514-0.0019788i,0.0030953-0.0053399i,0.0018508-0.0020129i,0.0024781-3.3134e-05i,-0.000441-0.00042442i,-0.0037517-0.0020579i,-0.0036913-0.003734i,-0.0047849+0.0011353i,-0.0052025-0.0011041i,-0.00059627-0.0030356i,-0.00065791-0.0057863i,0.014722+0.0078787i,-0.00055428-0.003813i,0.00095415-0.0024246i,0.0029914-0.0095647i,-0.0050163+0.0032634i,0.0011942+0.0031928i,0.0037933-0.0023717i,0.0041673-0.0029183i,0.0012619+0.0096324i,0.0050695-0.025436i,0.032975+0.0085705i,-0.014989-0.095951i,-0.032531-0.06165i,-0.01349-0.067581i,-0.021377-0.0434i,0.005632-0.095211i,-0.034356-0.096337i,0.037873-0.08181i,-0.0040994-0.066342i,0.0066461-0.00027803i,0.0021463-0.0035506i,-0.014053-0.024236i,0.0035836+0.0023119i,-0.0096356-0.001171i,-0.0088638-0.0064179i,-0.044016+0.0041384i,0.0099225+0.022896i,-0.0087006-0.012282i,-0.0077093+0.0057088i,-0.0055431-0.0014028i,-0.020008-0.0022473i,0.0046299+0.011457i,0.011737-0.0056959i,0.023927+0.0046402i,0.0053838-0.0026595i,-0.0042499+0.0010129i,-0.0041404+0.0035819i,-0.0066345+0.018092i,-0.005364+0.0021803i,-0.018967+0.031419i,-0.0062726-0.00021596i,-0.0021479+0.0094372i,-0.0018481+0.011807i,-0.004876-0.0027201i,-0.0023817+0.0046213i,-0.00031433-0.0014291i,0.0020082+0.002975i,0.0010658-0.0030772i,-0.0032086+0.0052997i,-0.00034883-4.0398e-05i,-0.0050016+0.018962i,-0.0013964-0.0053348i,-0.014004+0.019532i,-0.023519+0.030826i,-0.022121-0.094284i,-0.010335-0.0085085i,-0.051438+0.023714i,-0.030336-0.0053001i,0.013258-0.0084646i,0.00011274+0.014764i,-0.032042-0.0046789i
-0.041752-0.013447i,-0.037105-0.040903i,-0.048592-0.036154i,-0.045447-0.010355i,-0.040355-0.020498i,-0.054988+0.0228i,-0.044124+0.029562i,-0.055379+0.0057856i,-0.038176-0.005652i,0.0080945+0.002546i,0.0096728+0.010591i,0.012076+0.0035896i,0.012974-0.010126i,0.0081156+0.0072451i,0.00196-0.0025682i,0.006028-0.0016074i,0.027433-0.020907i,0.0032813-0.0010565i,-0.00029723+0.0074118i,3.8768e-05-0.0051265i,0.0021116+0.0037831i,0.0028637+0.0021205i,-0.00037286+0.001653i,0.017629+0.013021i,-0.003578-0.00033971i,0.00085705-0.0061937i,0.00076747-0.0025965i,0.0025157-2.9928e-05i,-9.0709e-05-0.0001619i,-0.0047074+0.00031511i,-0.004478-0.0024513i,-0.0036947+0.0026362i,-0.004717+0.00091017i,-0.0021412-0.002666i,-0.0026737-0.0041905i,0.015054+0.0053455i,-0.0015681-0.0037118i,-0.00039149-0.0026939i,-0.00051504-0.0087271i,-0.0027218+0.0013886i,0.0018903+0.0025699i,0.0016494-0.0019557i,0.0034349-0.0040543i,0.0030206+0.0075999i,0.00013058-0.035431i,0.042026-0.0089537i,-0.025578-0.087729i,-0.037036-0.052894i,-0.02085-0.071818i,-0.024206-0.042211i,-0.02261-0.10407i,-0.057578-0.08555i,0.01831-0.096839i,-0.015239-0.060355i,0.0094166+0.002266i,-0.0029116-0.0055216i,-0.021272-0.014898i,8.0246e-05-0.0004305i,-0.011031+8.0227e-05i,-0.016265-0.0027349i,-0.038712+0.021059i,0.013855+0.012149i,-0.013663-0.0076137i,-0.0057116+0.005511i,-0.0061174+0.0015115i,-0.018984+0.0078354i,0.0052921+0.0064882i,0.0097418-0.010952i,0.023901-0.0067605i,0.0036504-0.0061633i,-0.0063454+0.0033723i,-0.0017893+0.0055594i,0.0021669+0.019428i,-0.0037221+0.0060103i,-0.01062+0.03828i,-0.0069112+0.0010868i,0.0016186+0.0066659i,0.0044032+0.010877i,-0.006381+0.00089639i,-0.0035096+0.0017272i,-0.0013356-0.0014784i,0.0010745+0.005224i,-0.0023987-0.0032341i,-0.0027667+0.0023119i,-0.0030053+0.002574i,0.0023797+0.020698i,-0.0044729-0.0039332i,-0.0052687+0.020227i,-0.015672+0.033081i,-0.035218-0.089633i,-0.005156-0.012103i,-0.040093+0.03972i,-0.032126+0.0057541i,0.0080562-0.013333i,0.00087171+0.0069705i,-0.030758-0.0012198i
-0.040901-0.0078081i,-0.043335-0.036498i,-0.059293-0.02601i,-0.046044-0.0044577i,-0.051137-0.015124i,-0.04655+0.032889i,-0.031262+0.031953i,-0.049876+0.014816i,-0.036035-0.0019527i,0.007427+0.0011751i,0.010152+0.0061087i,0.011989-0.0018811i,0.0061714-0.013201i,0.011477+0.0028053i,4.3462e-05-0.0028336i,0.003218-0.0016151i,0.011994-0.025303i,0.004075-0.0020591i,0.0044235+0.006289i,-0.0016878-0.0034846i,0.0040913+0.0018576i,0.0028906+0.0012927i,0.0010782+0.0022723i,0.021148-0.0005601i,-0.0019609+0.0017647i,-0.001926-0.0057242i,-0.0007248-0.0006913i,0.0031164-0.0017558i,-8.1299e-05-0.00056761i,-0.0029363+0.0031554i,-0.0043522-0.0014588i,-0.0027807+0.0031255i,-0.0045806+0.0029945i,-0.00295-0.00079755i,-0.0024753-0.0027057i,0.016491+0.00090106i,-0.0031907-0.0030736i,-0.0021432-0.0026689i,-0.0039329-0.0085505i,-0.0042914-7.7087e-05i,0.0030574+0.0018289i,0.0009692-0.00035037i,0.0011756-0.0051594i,0.004114+0.0062232i,-0.011652-0.040323i,0.033257-0.03338i,-0.029067-0.080781i,-0.040889-0.04593i,-0.030713-0.071718i,-0.026311-0.043511i,-0.052492-0.09578i,-0.076573-0.067912i,-0.0012466-0.10075i,-0.016422-0.0459i,0.017604+0.0052481i,-0.0068933-0.002734i,-0.020609-0.0024055i,-0.0011987-0.00076852i,-0.015166+0.0041175i,-0.014977+0.0045966i,-0.028456+0.0357i,0.011992+0.0051123i,-0.012603+0.00043005i,-0.0073238+0.005177i,-0.0035097+0.0051004i,-0.012412+0.014703i,0.0065052+0.0076925i,0.0044506-0.018747i,0.013598-0.020819i,-0.0024507-0.0091031i,-0.0065329+0.0077376i,-0.0002857+0.0056418i,0.0098846+0.016472i,0.00052045+0.0076708i,0.0052628+0.045798i,-0.0076882+0.003494i,0.0018483+0.0051174i,0.008583+0.0060183i,-0.004705+0.0065087i,-0.0054199+0.0044637i,-0.0036228-0.001108i,0.0049033+0.0061553i,-0.0039644+0.0019024i,-0.0051062+0.0025732i,-0.00042039+0.0071527i,0.0093039+0.016993i,-0.0063308-0.0026089i,0.00075464+0.017342i,-0.005596+0.035676i,-0.041986-0.080211i,-0.011514-0.023307i,-0.015984+0.045478i,-0.026056+0.013584i,0.0054394-0.019805i,0.00032179+0.00084968i,-0.029442+0.0050648i
-0.039536-0.0029916i,-0.053701-0.032687i,-0.066273-0.012264i,-0.044211+0.0033653i,-0.058422-0.00238i,-0.037039+0.038966i,-0.022062+0.031359i,-0.043797+0.021114i,-0.036788+0.0024333i,0.0078062-0.00090296i,0.012469+0.0035446i,0.0084354-0.0065534i,-0.0011543-0.01196i,0.011754-0.0038084i,-0.0013407-0.0023424i,0.0015324-0.00034131i,-1.8143e-05-0.021241i,0.002666-0.0044526i,0.0055629+0.0024343i,-0.002406-0.0012287i,0.004057-0.00041076i,0.0040001+0.0012514i,0.0024397+0.0016589i,0.016187-0.010455i,0.00085372+0.00063127i,-0.0029394-0.0034126i,-0.00017469-0.0012637i,0.0021581-0.0034053i,-4.0035e-06-0.00011501i,-0.00047323+0.0036867i,-0.0047136-0.00075872i,-0.0012279+0.0036778i,-0.0025451+0.0045589i,-0.0025256+0.00021367i,-0.0032944-0.0030824i,0.015205-0.0047266i,-0.0036344-0.0012085i,-0.0030742-0.0013474i,-0.0076323-0.0049965i,-0.0070765+0.00203i,0.0034089+0.00084182i,0.002424-0.001016i,-0.0010078-0.0049507i,0.005156+0.0027217i,-0.024511-0.038513i,0.015116-0.039759i,-0.03551-0.082344i,-0.039623-0.038638i,-0.03866-0.069414i,-0.035618-0.046037i,-0.071962-0.080029i,-0.082648-0.042319i,-0.026233-0.10186i,-0.0096372-0.043238i,0.025332-0.0094403i,-0.0081398+0.001836i,-0.015174-0.00049064i,-0.0053072-0.00018494i,-0.012714+0.013336i,-0.011787+0.0077962i,-0.0084754+0.041355i,0.011717+0.0012096i,-0.011559+0.001883i,-0.0041917+0.0074322i,-0.0015603+0.00457i,-0.0048687+0.018595i,0.010855+0.0044888i,-0.0084681-0.01968i,-0.003976-0.021837i,-0.0055666-0.0020142i,-0.0026919+0.011349i,0.0030769+0.0048024i,0.015885+0.0080826i,0.0038418+0.0057312i,0.025666+0.03913i,-0.0037166+0.0065778i,0.0020155+0.0030208i,0.0088721+0.00090384i,0.00063553+0.0084762i,-0.0066144+0.0071076i,-0.0044087+0.0029262i,0.0082843+0.0056422i,-0.0019117+0.005057i,-0.0061989+0.0050235i,0.0033994+0.0069942i,0.01205+0.011355i,-0.0064777+0.0004437i,0.0063532+0.01301i,0.005207+0.033302i,-0.049171-0.077066i,-0.026801-0.022154i,0.0013349+0.036323i,-0.020836+0.01705i,-0.004073-0.026365i,-0.0032939-0.0030238i,-0.021555+0.0077634i
-0.038489+0.0009783i,-0.06275-0.020402i,-0.068919+0.0031147i,-0.040594+0.007985i,-0.058026+0.012243i,-0.028819+0.042841i,-0.015418+0.029784i,-0.037897+0.025671i,-0.035619+0.0098433i,0.0071779-0.0033131i,0.013038-0.0042598i,0.0027228-0.0070821i,-0.0048214-0.0075164i,0.0073537-0.0081225i,-0.0027373-0.0017365i,0.0023394-0.0001337i,-0.0062207-0.014523i,-3.1551e-05-0.0045197i,0.0043564+0.00018919i,-0.0016933+0.00040328i,0.0024263-0.0010325i,0.0044392-0.0002933i,0.0028988+0.00046674i,0.0086934-0.015164i,7.3413e-05-0.001077i,-0.0028253-0.002535i,-0.00039872-0.0014986i,0.00050794-0.0032786i,0.0011758-0.00010978i,0.00096794+0.0028977i,-0.0052794+0.00040058i,0.00038892+0.003345i,-0.00041327+0.0050226i,-0.0022019+0.00048114i,-0.004702-0.00017289i,0.011828-0.0091666i,-0.0031494-0.00013627i,-0.0026169+0.00025479i,-0.0071734-0.0014545i,-0.0063902+0.0057891i,0.0033377-6.2554e-05i,0.0029257-0.001771i,-0.0028946-0.0039251i,0.0030816-0.00036433i,-0.033469-0.030231i,0.006611-0.030893i,-0.047097-0.083118i,-0.036749-0.037084i,-0.047451-0.065352i,-0.046163-0.040943i,-0.088304-0.063507i,-0.076392-0.022758i,-0.054607-0.088372i,-0.0074843-0.048568i,0.022-0.021975i,-0.0059286+0.0040921i,-0.01396+0.0038496i,-0.0081865+0.0056536i,-0.004751+0.018867i,-0.0074139+0.011433i,0.010085+0.034597i,0.0092001-0.0046831i,-0.012144+0.0047407i,-0.0028855+0.0059586i,0.00095827+0.0050357i,0.00359+0.015407i,0.011525-0.0028754i,-0.017603-0.01007i,-0.014616-0.011879i,-0.0030933+0.0019707i,0.0039169+0.011512i,0.0037037+0.0023092i,0.018112+0.00060997i,0.0066202+0.0043816i,0.038439+0.023932i,-0.00077233+0.0053275i,0.00055125+0.0036775i,0.0068626-0.004008i,0.0057985+0.0056419i,-0.0046588+0.013515i,-0.0014519+0.0071054i,0.012329+0.00077508i,0.0025803+0.0049084i,-0.0054014+0.00901i,0.0056076+0.0046326i,0.01315+0.0068571i,-0.0061157+0.0020316i,0.0084553+0.0075097i,0.01232+0.027243i,-0.057882-0.07018i,-0.034268-0.0092416i,0.011179+0.023995i,-0.0080424+0.020797i,-0.015848-0.026257i,-0.010774-0.0030198i,-0.020043+0.0031179i
-0.037551+0.0052236i,-0.064455-0.0051874i,-0.065755+0.019646i,-0.039002+0.011962i,-0.052418+0.023812i,-0.019911+0.046144i,-0.010182+0.02736i,-0.032911+0.029229i,-0.03013+0.015994i,0.0053962-0.0058712i,0.0069613-0.0094594i,0.00028614-0.0047455i,-0.005308-0.0039332i,0.0028368-0.0096306i,-0.0039014-0.00017816i,0.0020766-0.001236i,-0.0068163-0.0084652i,-0.0015655-0.0031676i,0.0029868-0.00011225i,-0.00049454+0.0011429i,0.0023852+7.7976e-05i,0.0041551-0.0014831i,0.0030169-0.00038678i,0.0021088-0.015341i,-0.0010366-0.0014192i,-0.0033508-0.0027446i,-0.00070272-0.0013995i,-0.00057584-0.0032413i,0.0010765-0.0014433i,0.0021494+0.0022605i,-0.0052111+0.0017809i,0.0015085+0.0025845i,0.0013462+0.0037753i,-0.0020358+0.0016789i,-0.0036504+0.00073237i,0.0067566-0.011993i,-0.002338+0.00055604i,-0.0017183+0.0011631i,-0.0077202+0.0009823i,-0.0036126+0.0078936i,0.0030187-0.00080229i,0.0018024-0.0026173i,-0.003633-0.0022898i,-0.00088744-0.00041092i,-0.038337-0.020343i,0.014512-0.02485i,-0.062951-0.079202i,-0.038086-0.038472i,-0.053439-0.059133i,-0.052288-0.032168i,-0.099948-0.040627i,-0.070997-0.013245i,-0.064776-0.060571i,-0.011354-0.051913i,0.01321-0.032411i,-0.0047263+0.0049967i,-0.0094974+0.0038614i,-0.0039446+0.01142i,0.0035894+0.017525i,0.00083044+0.010021i,0.01726+0.021447i,0.0050864-0.0072521i,-0.010571+0.0094318i,-0.0026247+0.0057052i,0.0018841+0.0029641i,0.0072083+0.01133i,0.0050558-0.0054557i,-0.019326+0.00070063i,-0.016348-0.001613i,0.00069864+0.0021228i,0.0068741+0.0099359i,0.0027709+0.0013957i,0.014138-0.010919i,0.0073807-0.00067638i,0.042446+0.0059554i,-0.00063245+0.0059258i,0.0031125+0.0033367i,0.0018316-0.006428i,0.0062385+0.0017903i,0.0021295+0.017021i,0.0046184+0.0051951i,0.0095793-0.0048416i,0.0051205+0.0016372i,-0.0010621+0.013108i,0.0049953+0.003474i,0.012448+0.0031438i,-0.0073604+0.0035065i,0.0055789+0.0040962i,0.01608+0.0219i,-0.064465-0.062148i,-0.03173+0.0042377i,0.012359+0.011807i,0.0012153+0.013071i,-0.027701-0.020247i,-0.014297+0.0054641i,-0.024136+0.0045891i
-0.036175+0.010201i,-0.061189+0.0061411i,-0.057065+0.033738i,-0.037393+0.016494i,-0.044774+0.032572i,-0.010778+0.047492i,-0.006901+0.024972i,-0.027804+0.03305i,-0.024923+0.019132i,0.0022624-0.007224i,0.00063644-0.0087435i,-0.00059773-0.0036234i,-0.0042835-0.0021569i,-0.0011963-0.0094048i,-0.0036646+0.0018676i,0.00057361-0.0021924i,-0.0062583-0.0060623i,-0.0015876-0.0015432i,0.0031323-0.00074307i,0.00097064+0.001247i,0.0036128-0.00062251i,0.0035571-0.0019742i,0.0029175-0.0012673i,-0.0029415-0.01348i,-0.0014334-0.00073287i,-0.0045995-0.001338i,-0.0011933-0.0013492i,-0.0017508-0.0031357i,0.00033996-0.0019086i,0.0029527+0.00085513i,-0.004674+0.0032016i,0.0019858+0.0014238i,0.002309+0.0025694i,-0.0010635+0.0024229i,-0.0037863+0.0016736i,0.001586-0.010825i,-0.0020978+0.00033931i,-0.00061236+0.0013355i,-0.0057209+0.0050091i,-3.1909e-05+0.0090422i,0.0026215-0.0014031i,0.0017265-0.0023757i,-0.0038831-0.0010917i,-0.0011867+0.0030736i,-0.037425-0.010871i,0.027656-0.034963i,-0.079358-0.067096i,-0.042968-0.03803i,-0.057657-0.054281i,-0.05657-0.02358i,-0.10072-0.017448i,-0.066447-0.0031485i,-0.059264-0.042998i,-0.015444-0.056055i,0.00056111-0.037232i,-0.0023765+0.0064576i,-0.0096361+0.0011813i,0.0026734+0.011987i,0.0086616+0.012648i,0.0045843+0.0027502i,0.016314+0.0097851i,0.00039214-0.0077336i,-0.0068711+0.012825i,-0.0030085+0.0065646i,0.0015719+0.0016795i,0.0086127+0.0068208i,0.0022753-0.0030756i,-0.015542+0.010199i,-0.012435+0.0063191i,0.0018604+0.0013872i,0.011009+0.0071359i,0.0023407+0.0010813i,0.0045132-0.014864i,0.004414-0.0038923i,0.037895-0.0098008i,0.0016593+0.0064328i,0.0023711+0.0020228i,-0.0017605-0.0048767i,0.0053892+0.00040165i,0.01044+0.016858i,0.0051741+0.0010929i,0.0068329-0.0069948i,0.0037059-0.0010219i,0.005983+0.01298i,0.0052806+0.0019454i,0.013046-0.00048027i,-0.005414+0.0085841i,0.0055322+0.0032189i,0.018859+0.01722i,-0.070346-0.0549i,-0.025277+0.010999i,0.011287+0.0050445i,0.00097281+0.0043598i,-0.035346-0.0094444i,-0.0093555+0.0086124i,-0.022931+0.0089308i
-0.03335+0.015077i,-0.05624+0.014803i,-0.044151+0.042764i,-0.034031+0.021897i,-0.035272+0.037784i,-0.0019455+0.047209i,-0.0044246+0.023574i,-0.021855+0.03637i,-0.019631+0.021492i,-0.00092772-0.007217i,-0.0029051-0.0060375i,-0.00042124-0.0031779i,-0.004191-0.0012735i,-0.0046579-0.0073672i,-0.0028498+0.0031894i,-0.0012674-0.0018935i,-0.0075022-0.0057231i,-0.0015317-0.0010958i,0.002619-0.001396i,0.0018328+0.00028101i,0.0036486-0.0021755i,0.0034702-0.0025802i,0.0024279-0.0020943i,-0.0068568-0.010877i,-0.001685-0.00033874i,-0.0045567+0.00056864i,-0.0019446-0.00099096i,-0.0026424-0.0021881i,-0.00036807-0.0019289i,0.0022412-0.0010507i,-0.0035636+0.0048367i,0.0018567+0.00075162i,0.0029242+0.0013314i,0.00041559+0.0022515i,-0.0029634+0.0033494i,-0.00066368-0.0080325i,-0.0018476+0.00061536i,0.00023619+0.00077366i,-0.0017816+0.0054215i,0.0041623+0.0083123i,0.0021271-0.0019295i,0.0016163-0.0028254i,-0.0041153-0.00017435i,0.00051155+0.0027211i,-0.034065-0.0062184i,0.027414-0.05827i,-0.089526-0.049203i,-0.046657-0.036107i,-0.062688-0.053228i,-0.058326-0.014093i,-0.09806+0.00044808i,-0.061235+0.0038916i,-0.055328-0.032888i,-0.023375-0.058269i,-0.013288-0.03714i,-0.0003883+0.0056826i,-0.01512+0.0016528i,0.0072061+0.0080979i,0.01078+0.0071612i,0.0028373-0.0029733i,0.011973+0.0039501i,-0.0037272-0.007573i,-0.0019028+0.01399i,-0.0018184+0.0080919i,0.0010215+0.0012043i,0.0068542+0.0034353i,0.0021038-0.0016137i,-0.0080203+0.014576i,-0.0065668+0.010648i,0.0036306-0.00043434i,0.013439+0.00073198i,0.0018639+0.0014487i,-0.0032896-0.012218i,0.0013326-0.0042555i,0.028905-0.020303i,0.0042943+0.0059513i,0.001783+0.00301i,-0.0045365-0.0020149i,0.0048139-0.0020371i,0.017691+0.011571i,0.003765-0.0019078i,0.0032475-0.0087808i,0.0022205-0.0024178i,0.010849+0.0085763i,0.0050161+0.0015166i,0.0098023-0.005544i,-0.00062426+0.010169i,0.0057654+0.00096774i,0.022361+0.012311i,-0.077072-0.045467i,-0.018895+0.016229i,0.01008-0.00075236i,-0.002723+0.0018039i,-0.037288+0.0018939i,-0.0069785+0.0076363i,-0.020224+0.012232i
