-0.024691-0.038742i,-0.012165-0.048894i,-0.018133-0.044284i,-0.03099-0.034999i,-0.030156-0.01581i,-0.050365-0.026904i,-0.057356-0.026038i,-0.045496-0.037725i,-0.028924-0.03708i,0.0076468+0.012726i,-0.004691+0.015357i,-0.004774+0.013988i,0.0099779+0.021261i,0.00074039+0.0043223i,0.0031817+0.0034684i,0.0053668+0.01858i,0.026706+0.038705i,-0.0026022-0.00075489i,-0.0040649-0.0061411i,0.0078768+0.0014352i,-0.00040838-0.0007896i,-0.0010108+0.001363i,-6.7331e-05-0.00055931i,-0.030285-0.0030259i,-0.0016835-0.005557i,0.0015798+0.0044574i,0.0035558-5.7828e-05i,-0.00062773+0.00054178i,0.00046987-0.00040199i,-0.0011003-0.0025339i,-0.0020454-0.0062503i,-0.0043976-0.0039502i,-0.0020346-0.004958i,0.0019477-0.00085243i,0.0021245-0.0030493i,0.0027212+0.025216i,0.0017582-0.0025954i,0.0029894+0.00045237i,0.0060945+0.00083692i,-0.010031-0.0040331i,-0.0028596+0.00081965i,0.006565+0.0017981i,0.0053369-0.00015576i,-0.0031041+0.0055643i,0.00036346-0.0091964i,-0.011461+0.018008i,0.035998-0.090686i,0.011772-0.069757i,-0.015799-0.059978i,-0.016431-0.054911i,0.038673-0.045111i,0.017409-0.062209i,0.03413-0.055532i,0.029755-0.060256i,0.016599-0.013683i,0.0046562+0.016304i,0.016759-0.025753i,-0.011069+0.0058881i,-0.00012853+0.0059421i,-0.0049275-0.0014148i,-0.0018605-0.029701i,-0.024066+0.031882i,0.010545-0.011476i,-0.012723-0.002785i,5.8003e-05-0.0049435i,-0.0011256-0.016158i,-0.0073316+0.0048999i,0.0051012+0.0062767i,-0.009356+0.029697i,0.0050849+0.0057656i,-0.0050418-0.00069415i,-0.0030253-0.00073128i,-0.012215-0.0077306i,-0.0012556-0.0046769i,-0.030334+0.0064373i,-8.4082e-06-0.010128i,-0.0096783-0.0019646i,-0.0064416-0.0027833i,0.0071799+0.0024873i,-0.0079477+0.0013081i,4.3832e-05+0.00029036i,0.0057701+0.010786i,0.0043159+0.0014602i,-0.0094907-0.010077i,0.0030563+0.0080468i,-0.021908+0.0058685i,0.0080819+0.00062724i,-0.028846-0.0042514i,-0.042691+0.0022968i,0.019259-0.096588i,-0.0019848-0.012641i,-0.052151-0.020983i,-0.022576-0.0016506i,0.017802+0.01108i,-0.025086+0.013107i,-0.01844-0.01302i
-0.032705-0.035041i,-0.018676-0.042109i,-0.025033-0.042244i,-0.038006-0.031291i,-0.028385-0.015799i,-0.056881-0.015654i,-0.059694-0.014331i,-0.050526-0.028852i,-0.034028-0.029553i,0.0084654+0.0093885i,-0.0030144+0.012542i,0.0018054+0.016055i,0.017941+0.014379i,-0.00021181+0.005805i,0.003906+0.0019069i,0.0099703+0.013352i,0.033904+0.023976i,-0.00065061+0.0023538i,-0.0056716-0.002266i,0.0074906-0.0024632i,-0.0012762+0.00089294i,-0.0012896+0.0021615i,-0.0003361-0.00011719i,-0.018583+0.011511i,-0.0032378-0.0038412i,0.0051997+0.0010816i,0.0028229-0.00040754i,0.00022925+0.0020844i,0.00087481-0.0008348i,-0.0019153-0.0025306i,-0.0023574-0.0050533i,-0.0049903-0.0022391i,-0.0030709-0.0041538i,0.0012342-0.0017111i,0.0012027-0.0019822i,0.0098834+0.02078i,0.0015081-0.0033316i,0.0025874-0.00084665i,0.0078081-0.0016372i,-0.0074868-0.0018203i,-0.0020519+0.0025753i,0.0058407+0.0013961i,0.0043908-0.0011919i,-0.0047717+0.0070961i,0.0043515-0.011759i,0.003453+0.02304i,0.018392-0.097004i,-0.0056671-0.076321i,-0.012476-0.055262i,-0.020263-0.044685i,0.033537-0.063864i,0.013591-0.080847i,0.035411-0.055032i,0.018518-0.068121i,0.0066435-0.0065378i,0.0072969+0.0052267i,0.0058043-0.026599i,-0.0080621+0.012098i,0.00073339-0.0025108i,-0.0052175-0.0013988i,-0.023774-0.027816i,-0.010012+0.029958i,0.0042873-0.015385i,-0.013412+0.00052149i,-0.0011192-0.0043738i,-0.0090116-0.014823i,-0.0084154+0.0083946i,0.0086179+0.005665i,0.0093152+0.027301i,0.0059897+0.0013519i,-0.004341+0.0020126i,-0.0046883-0.00024016i,-0.016094+0.002143i,-0.00092416-0.0029472i,-0.032097+0.014652i,-0.0052344-0.0071509i,-0.0094865+0.0031425i,-0.0076209+0.001352i,0.0055844-0.0036494i,-0.0074831+0.0033831i,0.00096334-0.00085881i,0.0053125+0.0045008i,0.0035102+0.00029274i,-0.014514-0.0008788i,0.0030543+0.0044752i,-0.015709+0.014529i,0.0064485-0.0036131i,-0.027589+0.0072297i,-0.041793+0.015051i,0.0019859-0.097097i,-0.0067898-0.01581i,-0.057792-0.0064798i,-0.017571-0.0045197i,0.018391+0.004737i,-0.018983+0.019863i,-0.027065-0.017017i
-0.03795-0.028108i,-0.02144-0.041322i,-0.030946-0.040855i,-0.043503-0.024194i,-0.028874-0.017454i,-0.060021-0.0031305i,-0.062485-0.00045507i,-0.05549-0.019495i,-0.038032-0.023259i,0.0088335+0.0063267i,-0.00079392+0.01486i,0.0085483+0.012917i,0.02016+0.0046531i,0.0012281+0.0071268i,0.0042359+0.00068623i,0.011666+0.0074799i,0.037915+0.011487i,0.0024657+0.0022548i,-0.0046004+0.0011082i,0.0055262-0.0046662i,-0.0013588+0.0021158i,-0.00011711+0.0034733i,-0.00023617+0.00036363i,-0.0080859+0.016257i,-0.0028712-0.0025352i,0.0054971-0.002941i,0.0023571-0.0014074i,0.0023259+0.0020255i,-9.3576e-06-0.0011929i,-0.0024651-0.0021559i,-0.0031764-0.0049557i,-0.0052574-0.00032599i,-0.0044681-0.0029041i,0.00051837-0.0024273i,0.0021519-0.0041663i,0.014605+0.014096i,0.00057132-0.0034899i,0.0019585-0.0017302i,0.0071169-0.0067416i,-0.0075877+1.6519e-05i,-0.00051682+0.0037356i,0.0057637-0.000484i,0.0040714-0.0018369i,-0.002573+0.009327i,0.0055582-0.019082i,0.019495+0.018763i,0.0014248-0.098697i,-0.023491-0.071443i,-0.0072627-0.060949i,-0.018771-0.043081i,0.023007-0.07913i,-0.0067886-0.096286i,0.040611-0.06252i,0.0059484-0.067887i,0.00639-0.0029334i,0.0056472+0.00064394i,-0.002145-0.028235i,0.0024442+0.010274i,-0.0066886-0.0052655i,-0.0043878-0.0034602i,-0.03882-0.015692i,-0.00072584+0.028224i,-0.0027432-0.014865i,-0.011193+0.0045763i,-0.003743-0.0036448i,-0.016159-0.010393i,-0.0031735+0.013855i,0.011903-0.00014846i,0.020438+0.015768i,0.0055764-0.00067393i,-0.0034493+0.001341i,-0.0047101+0.0018282i,-0.012118+0.011583i,-0.0039952-0.0023791i,-0.025661+0.024046i,-0.0064467-0.0028988i,-0.0069704+0.0071192i,-0.0076531+0.0073018i,-0.00029126-0.0054899i,-0.0058183+0.0050433i,0.00013915-0.0015127i,0.0028854+0.0029191i,0.0034139-0.0010702i,-0.0094204+0.0065918i,0.0024274+0.0020286i,-0.0094774+0.016193i,0.0025635-0.0063029i,-0.021727+0.014975i,-0.033337+0.026711i,-0.010571-0.095511i,-0.012794-0.013627i,-0.056623+0.0081852i,-0.023579-0.0094616i,0.016507-0.0029273i,-0.0081203+0.019625i,-0.032458-0.011835i
-0.040588-0.021202i,-0.027154-0.04291i,-0.038704-0.039584i,-0.04481-0.016584i,-0.032359-0.019695i,-0.059179+0.010285i,-0.058548+0.018486i,-0.058961-0.0066631i,-0.041519-0.014107i,0.0083121+0.0039815i,0.005027+0.015107i,0.011476+0.0073579i,0.01824-0.004002i,0.0036399+0.0083193i,0.0034491-0.0010826i,0.010453+0.0010884i,0.038764-0.0057965i,0.0036374+0.00016084i,-0.0034252+0.0036686i,0.0026693-0.0055864i,0.00023851+0.0035852i,0.0020292+0.0035052i,-0.00037037+0.00072554i,0.0028535+0.020377i,-0.0029749-0.0020773i,0.0030056-0.0053988i,0.0018374-0.0018371i,0.0027069-2.8063e-05i,-0.00032672-0.00045159i,-0.003528-0.0016432i,-0.0040024-0.0040123i,-0.0045216+0.0010464i,-0.0053148-0.0012981i,-0.00044089-0.0027791i,-0.00092279-0.0056648i,0.014222+0.0080415i,-0.00054967-0.0035929i,0.0010398-0.0025256i,0.0028094-0.0089833i,-0.0051575+0.0031408i,0.0012874+0.0033748i,0.0041895-0.002078i,0.0031356-0.0027981i,0.00085585+0.0091629i,0.0052252-0.025511i,0.03275+0.0078206i,-0.015252-0.095923i,-0.032622-0.061352i,-0.013065-0.067819i,-0.020991-0.043385i,0.0061283-0.094793i,-0.034294-0.096762i,0.037181-0.081882i,-0.0033456-0.066559i,0.0068146-0.00055525i,0.0024881-0.0039i,-0.013548-0.024312i,0.0036049+0.0023307i,-0.0095555-0.0012346i,-0.0088232-0.0061664i,-0.044854+0.0043956i,0.0099965+0.022648i,-0.008193-0.012424i,-0.0071985+0.005515i,-0.0050329-0.0012498i,-0.019971-0.0022667i,0.0047176+0.01135i,0.011774-0.0058751i,0.023222+0.0042053i,0.0054792-0.0027251i,-0.0042906+0.0010283i,-0.0044168+0.0037926i,-0.0062236+0.017802i,-0.0055129+0.0021506i,-0.019019+0.031439i,-0.0063024-0.00032967i,-0.0021637+0.0093395i,-0.0018015+0.011667i,-0.0049026-0.0023592i,-0.0026293+0.0046545i,-0.00029922-0.0012006i,0.0022108+0.0031831i,0.0014103-0.0031314i,-0.0031863+0.0059056i,-0.00016535+0.00017478i,-0.0058893+0.01877i,-0.0016509-0.005719i,-0.013866+0.019407i,-0.022748+0.030655i,-0.022659-0.093721i,-0.010729-0.0085321i,-0.050988+0.023952i,-0.031093-0.0047683i,0.013555-0.008702i,0.00026277+0.014706i,-0.032665-0.0042655i
-0.041683-0.014139i,-0.036961-0.040699i,-0.048898-0.035848i,-0.045412-0.010006i,-0.040252-0.020443i,-0.054927+0.022671i,-0.044098+0.02938i,-0.055735+0.0056722i,-0.038644-0.0057025i,0.0080631+0.0024348i,0.010049+0.010376i,0.012206+0.0032968i,0.012997-0.010131i,0.0078562+0.0072693i,0.0020508-0.0023738i,0.0064149-0.0018262i,0.027197-0.020875i,0.003159-0.0012657i,-6.1725e-05+0.0075145i,0.00032779-0.0051298i,0.0021297+0.0040092i,0.0028137+0.0020542i,-0.000199+0.0016164i,0.016899+0.013553i,-0.0041449-0.0002638i,0.00082457-0.0060591i,0.0009042-0.0024758i,0.0027328-0.00016179i,-0.00012294-0.00027777i,-0.0042208+0.00049246i,-0.0048002-0.0025588i,-0.0035661+0.0025901i,-0.0047814+0.00094432i,-0.0017737-0.002618i,-0.0029059-0.0040968i,0.014802+0.0056107i,-0.0013915-0.003692i,-0.00035334-0.0027833i,-0.00024122-0.0080075i,-0.002836+0.0014242i,0.0020516+0.0026324i,0.0022471-0.0015961i,0.002621-0.0035118i,0.0024616+0.0076148i,8.3197e-06-0.035758i,0.041726-0.010057i,-0.02592-0.087719i,-0.036821-0.052658i,-0.020543-0.072078i,-0.023903-0.04223i,-0.021935-0.10393i,-0.05722-0.086115i,0.017946-0.096588i,-0.014796-0.060906i,0.0095507+0.002098i,-0.0027209-0.005854i,-0.021103-0.015352i,-0.00021832-0.00030654i,-0.011-0.00034372i,-0.015773-0.002556i,-0.03958+0.022003i,0.014254+0.012128i,-0.013724-0.0078685i,-0.0053729+0.0056554i,-0.0057857+0.0017901i,-0.01887+0.0077546i,0.0053397+0.0066516i,0.0097739-0.010651i,0.02364-0.0068362i,0.0037377-0.0058442i,-0.0063319+0.0033563i,-0.0019012+0.0057936i,0.0023887+0.019121i,-0.0035975+0.0059448i,-0.01033+0.038553i,-0.0067395+0.001164i,0.0015686+0.0067269i,0.0045357+0.010668i,-0.0061727+0.0011063i,-0.0031327+0.0016335i,-0.0014204-0.0012715i,0.0013313+0.0050866i,-0.0022822-0.0033324i,-0.0024903+0.0025968i,-0.0027654+0.0022323i,0.0016641+0.02105i,-0.0050292-0.0040297i,-0.0051311+0.019926i,-0.015351+0.032702i,-0.035802-0.088545i,-0.0055641-0.012472i,-0.039725+0.039885i,-0.03252+0.0068848i,0.0081733-0.013464i,0.0011141+0.0071276i,-0.031238-0.0010861i
-0.040967-0.0085762i,-0.043187-0.036114i,-0.059563-0.025827i,-0.045822-0.0039101i,-0.050884-0.015199i,-0.046527+0.032742i,-0.031107+0.031873i,-0.050163+0.014591i,-0.03618-0.0017331i,0.00729+0.0010512i,0.010142+0.0060887i,0.012286-0.002163i,0.0062033-0.013429i,0.011397+0.0030461i,0.0001808-0.0027734i,0.0033682-0.0020101i,0.011822-0.02492i,0.003977-0.0022261i,0.0047813+0.0064332i,-0.0015903-0.0035422i,0.0039678+0.001985i,0.002785+0.0014013i,0.0012264+0.0022661i,0.020847+0.00035423i,-0.0025811+0.0020364i,-0.001912-0.0055632i,-0.00077529-0.00096964i,0.0032525-0.0017919i,-5.8639e-05-0.00058037i,-0.0026237+0.0031381i,-0.00455-0.0015189i,-0.0026584+0.003159i,-0.0044026+0.0029358i,-0.0027797-0.00089435i,-0.002834-0.0026035i,0.016473+0.0012432i,-0.0030083-0.0032138i,-0.0021739-0.0026963i,-0.0035396-0.0079308i,-0.0042692-5.7809e-05i,0.0031101+0.0018754i,0.0015737-0.00019218i,0.00080623-0.0043136i,0.0040516+0.0063355i,-0.012056-0.040514i,0.032739-0.034463i,-0.029296-0.080871i,-0.040745-0.046099i,-0.030608-0.071793i,-0.026221-0.04337i,-0.051648-0.096074i,-0.076504-0.068712i,-0.0011675-0.10052i,-0.01653-0.046694i,0.017546+0.0049615i,-0.0068313-0.0030198i,-0.020581-0.0030387i,-0.0016148-0.00068039i,-0.015437+0.0035626i,-0.014714+0.0046893i,-0.028954+0.036527i,0.012023+0.0048328i,-0.013+0.00033187i,-0.0072459+0.0053373i,-0.0033747+0.005068i,-0.012519+0.014681i,0.0065605+0.0079002i,0.0051628-0.018493i,0.014198-0.020698i,-0.0025407-0.0090218i,-0.0067161+0.0076947i,-0.00036576+0.0059077i,0.010078+0.015964i,0.00073328+0.0074009i,0.0054494+0.045776i,-0.0076916+0.0035768i,0.0020165+0.0051325i,0.0085358+0.0057953i,-0.0043623+0.0066579i,-0.0053178+0.0039946i,-0.0037148-0.00068557i,0.0049325+0.0060573i,-0.0039771+0.0020855i,-0.0050918+0.0026853i,-0.0004539+0.006567i,0.0087688+0.017296i,-0.0066058-0.0020775i,0.00058774+0.017176i,-0.0056692+0.035066i,-0.042252-0.079179i,-0.011688-0.023302i,-0.015769+0.045566i,-0.025638+0.01447i,0.0050207-0.019898i,0.00048559+0.0010403i,-0.029804+0.0051202i
-0.039828-0.0035559i,-0.05358-0.03208i,-0.066422-0.012389i,-0.044057+0.0033482i,-0.058204-0.0024378i,-0.036939+0.038822i,-0.021962+0.031048i,-0.044234+0.020857i,-0.036699+0.0025579i,0.0077246-0.00087119i,0.012387+0.0036874i,0.0086807-0.0069362i,-0.0013017-0.012175i,0.011955-0.0036763i,-0.0013114-0.0023471i,0.0013544-0.00073785i,-0.00029838-0.020996i,0.0024349-0.0046353i,0.0058257+0.0026089i,-0.0022584-0.0012922i,0.0039403-0.00028707i,0.0041286+0.0012417i,0.0024939+0.0014625i,0.01635-0.0094319i,0.00044066+0.0012879i,-0.0028487-0.0032578i,-8.7082e-05-0.0014284i,0.0022738-0.0033898i,-2.2095e-05-0.00022711i,-0.00043416+0.0033642i,-0.004971-0.00060896i,-0.0010728+0.0036618i,-0.0024745+0.0044119i,-0.0023641+0.0001621i,-0.0037456-0.0030294i,0.015348-0.0044759i,-0.003456-0.0013776i,-0.0030356-0.0014379i,-0.0069945-0.0046336i,-0.0067754+0.0021804i,0.0033783+0.0010037i,0.0030031-0.0011326i,-0.00087566-0.0041388i,0.0050744+0.0024333i,-0.024603-0.038025i,0.014502-0.040526i,-0.036108-0.082445i,-0.039779-0.038537i,-0.038369-0.069072i,-0.035308-0.045878i,-0.071647-0.080603i,-0.08266-0.042971i,-0.025858-0.10185i,-0.0097158-0.043783i,0.025173-0.0095636i,-0.0082084+0.0013316i,-0.015214-0.00072661i,-0.0056154-0.00030572i,-0.013413+0.013017i,-0.011596+0.0077018i,-0.0081722+0.041566i,0.011453+0.00098901i,-0.01167+0.0021528i,-0.004102+0.0078051i,-0.0017557+0.0047723i,-0.004921+0.018831i,0.011052+0.0048336i,-0.0080968-0.019762i,-0.003503-0.021872i,-0.005862-0.0019362i,-0.0029184+0.011506i,0.0029989+0.0049103i,0.01612+0.0078754i,0.0036611+0.005442i,0.025953+0.039107i,-0.0038832+0.0068086i,0.0020736+0.0029179i,0.0090117+0.00067877i,0.00039398+0.0083006i,-0.0067787+0.0068271i,-0.00443+0.0031418i,0.0085594+0.0054815i,-0.0016041+0.0050005i,-0.0065736+0.0051544i,0.0036678+0.0067742i,0.01174+0.011945i,-0.0064026+0.001081i,0.0059823+0.012923i,0.0048544+0.032333i,-0.049078-0.075857i,-0.027096-0.022403i,0.0018874+0.03645i,-0.020238+0.017065i,-0.0045484-0.026284i,-0.0037077-0.0031322i,-0.021673+0.0079194i
-0.038776+0.0005713i,-0.062596-0.019895i,-0.069428+0.0031095i,-0.040929+0.0078745i,-0.057908+0.012199i,-0.028862+0.042624i,-0.015535+0.029338i,-0.038452+0.025338i,-0.035348+0.0099676i,0.0071439-0.0033205i,0.012987-0.0041016i,0.0027801-0.0075466i,-0.0050705-0.0076281i,0.007385-0.0080127i,-0.0027043-0.0017202i,0.0017433-0.00032246i,-0.0069355-0.013998i,-0.00042747-0.004674i,0.0045482+0.00043874i,-0.0016601+0.00018595i,0.0023471-0.00085831i,0.0044162-0.000413i,0.0028352+0.00036301i,0.0095822-0.014567i,-0.00021685-0.00045248i,-0.0026756-0.0023593i,-0.00024712-0.001693i,0.00047566-0.0035072i,0.0010642-0.00012132i,0.00066315+0.0026322i,-0.0055019+0.00066362i,0.00049634+0.0032373i,-0.00028988+0.0048179i,-0.0022024+0.00042279i,-0.0049407-0.00028254i,0.011922-0.0090917i,-0.002921-0.00032438i,-0.0026243+0.0001511i,-0.0063833-0.0015781i,-0.0059162+0.0055516i,0.0034974+6.4931e-05i,0.0032153-0.0021016i,-0.0023724-0.0034544i,0.0028427-0.00038843i,-0.033328-0.029912i,0.0061436-0.031177i,-0.047705-0.082914i,-0.036496-0.036986i,-0.047148-0.065172i,-0.045766-0.040813i,-0.088409-0.063801i,-0.076683-0.023569i,-0.054425-0.08902i,-0.0082324-0.049133i,0.021879-0.021981i,-0.0061665+0.0039905i,-0.014044+0.0036892i,-0.0082766+0.0056465i,-0.0051849+0.019058i,-0.0074749+0.011222i,0.0099098+0.034312i,0.0088001-0.0048578i,-0.0123+0.0051265i,-0.0023931+0.0062189i,0.0010626+0.0052402i,0.0035339+0.015676i,0.011589-0.0026639i,-0.017323-0.010213i,-0.014111-0.012133i,-0.0033256+0.0023569i,0.0035226+0.011728i,0.0036672+0.0024135i,0.018255+0.0003044i,0.0066083+0.0045771i,0.038382+0.024144i,-0.0009912+0.0055501i,0.0004908+0.0036248i,0.0069711-0.0041967i,0.0057207+0.0058524i,-0.0045772+0.013721i,-0.0015375+0.0071768i,0.012541+0.00082765i,0.002955+0.0049923i,-0.0052785+0.0091071i,0.0058776+0.0042901i,0.01405+0.0084121i,-0.0059651+0.0021708i,0.0080101+0.0073292i,0.011466+0.02665i,-0.057371-0.069242i,-0.035145-0.0095679i,0.011586+0.023427i,-0.0080075+0.020215i,-0.016324-0.025608i,-0.011641-0.0026635i,-0.019989+0.002786i
-0.038042+0.0051072i,-0.064283-0.004784i,-0.065709+0.019999i,-0.039179+0.012401i,-0.052264+0.023899i,-0.020006+0.045956i,-0.01055+0.02724i,-0.03358+0.028944i,-0.029731+0.016112i,0.0052658-0.0056673i,0.0067944-0.0094297i,5.5645e-06-0.0050481i,-0.0054889-0.003827i,0.0028429-0.0093994i,-0.0038338-0.00020317i,0.0015696-0.00096033i,-0.0071189-0.0076491i,-0.0018477-0.0031753i,0.0033532+8.6865e-06i,-0.00055506+0.00089084i,0.0023819+5.0002e-05i,0.0040468-0.0013227i,0.0029637-0.00040108i,0.0031974-0.01548i,-0.0012483-0.00081574i,-0.0030397-0.0026168i,-0.00052979-0.0015494i,-0.00065199-0.0033587i,0.0010397-0.0013991i,0.001666+0.0023476i,-0.0052748+0.0021205i,0.0014751+0.0025103i,0.0014328+0.0037101i,-0.0021925+0.0015824i,-0.0036913+0.00059708i,0.0069467-0.011895i,-0.0021899+0.00025671i,-0.001723+0.0011221i,-0.0075976+0.00053501i,-0.0034258+0.0075161i,0.003221-0.00090694i,0.0016048-0.00291i,-0.0032208-0.0022515i,-0.00087651-0.00026353i,-0.038366-0.020299i,0.014424-0.024936i,-0.063351-0.078744i,-0.037659-0.038595i,-0.053328-0.059054i,-0.052031-0.03218i,-0.10019-0.040744i,-0.071339-0.013639i,-0.064613-0.061584i,-0.012264-0.051642i,0.013226-0.032193i,-0.004904+0.0052178i,-0.0096648+0.0034683i,-0.003876+0.011615i,0.0035883+0.017491i,0.00061098+0.0099885i,0.017203+0.021333i,0.0047237-0.007063i,-0.010671+0.0099242i,-0.0024598+0.005945i,0.0019808+0.0030721i,0.0072403+0.011599i,0.0049338-0.0052062i,-0.019079+0.00070534i,-0.016222-0.0013908i,0.00068321+0.0024135i,0.0064395+0.0098636i,0.0029403+0.0014633i,0.014167-0.011173i,0.0075361-0.00091249i,0.042589+0.0061856i,-0.00073366+0.0062365i,0.003139+0.0033153i,0.0019674-0.0065763i,0.006467+0.0016645i,0.002342+0.016973i,0.0046179+0.0050813i,0.009427-0.0050084i,0.0053558+0.0014777i,-0.0005548+0.013078i,0.0046533+0.0029115i,0.013555+0.0034418i,-0.0071488+0.0037808i,0.0049248+0.0036775i,0.015245+0.021585i,-0.063553-0.061657i,-0.032355+0.0041448i,0.012035+0.011262i,0.00030487+0.012393i,-0.027404-0.01972i,-0.014496+0.0061422i,-0.024025+0.0044004i
-0.036656+0.010174i,-0.060794+0.0063365i,-0.056811+0.033678i,-0.037129+0.016552i,-0.044546+0.032517i,-0.010884+0.04741i,-0.0071809+0.025192i,-0.028705+0.033032i,-0.024567+0.018889i,0.0021272-0.0068722i,0.00035743-0.008654i,-0.00076786-0.0037484i,-0.0043113-0.0021151i,-0.0010985-0.0091073i,-0.0036879+0.0018111i,0.0004017-0.001781i,-0.0060698-0.0057504i,-0.0017136-0.0014924i,0.003412-0.00073358i,0.00080668+0.0010671i,0.0034599-0.00062848i,0.0036316-0.0018692i,0.0028324-0.0013104i,-0.0023413-0.014573i,-0.0013482-0.00030029i,-0.0042112-0.0015922i,-0.00097793-0.0014685i,-0.0018863-0.0031364i,0.00029378-0.0018761i,0.0027127+0.00085627i,-0.0045922+0.003551i,0.0020188+0.0015007i,0.0023453+0.0024567i,-0.0013606+0.002493i,-0.0038418+0.0015778i,0.0016906-0.01091i,-0.0019897+0.0001964i,-0.00061736+0.0013264i,-0.0060123+0.0045247i,-0.00016654+0.0088277i,0.0027162-0.0015744i,0.001383-0.00258i,-0.0034601-0.0010208i,-0.0015711+0.0029291i,-0.037189-0.010889i,0.027449-0.034864i,-0.079561-0.066727i,-0.043044-0.038435i,-0.057411-0.054134i,-0.05635-0.023744i,-0.10099-0.017239i,-0.066784-0.0033314i,-0.05983-0.04394i,-0.01576-0.055182i,0.00062404-0.036733i,-0.0022917+0.0065751i,-0.0099503+0.0010505i,0.0029718+0.01207i,0.0087692+0.012797i,0.0041602+0.0033243i,0.016108+0.0095336i,-0.00021551-0.0074751i,-0.0065024+0.013255i,-0.0026462+0.0064751i,0.0016079+0.0016556i,0.0085084+0.007106i,0.002336-0.0030171i,-0.015029+0.010171i,-0.012532+0.0066647i,0.001977+0.0011761i,0.010656+0.0070211i,0.0023284+0.0011122i,0.0045482-0.014863i,0.0042513-0.0038468i,0.038052-0.0095158i,0.0015628+0.0068672i,0.0025481+0.001903i,-0.0016977-0.0049359i,0.0055444+0.0002024i,0.010245+0.016764i,0.0054864+0.00091997i,0.0068636-0.0068645i,0.0036796-0.0011137i,0.0058722+0.012388i,0.0047562+0.0020639i,0.014205-0.00098329i,-0.0050633+0.0086051i,0.0047372+0.0033277i,0.018214+0.017382i,-0.069455-0.055186i,-0.025887+0.011061i,0.010772+0.0049049i,-2.5869e-05+0.0042329i,-0.034848-0.0093727i,-0.0091588+0.0088768i,-0.022762+0.0086054i
-0.03403+0.015167i,-0.055916+0.01472i,-0.044131+0.042665i,-0.034076+0.021561i,-0.035107+0.037696i,-0.0020777+0.047179i,-0.0045015+0.023842i,-0.022592+0.036728i,-0.019482+0.02095i,-0.00088501-0.0067799i,-0.0030632-0.0058685i,-0.00070039-0.0032276i,-0.0042378-0.0010388i,-0.0046821-0.0071831i,-0.0029237+0.0031921i,-0.0011982-0.0015718i,-0.0070949-0.0059185i,-0.001589-0.00098622i,0.0029719-0.0013996i,0.0017577+0.00022966i,0.0037418-0.0021733i,0.0035064-0.0026549i,0.0023409-0.0021295i,-0.0069695-0.012191i,-0.0013648-0.00014559i,-0.0043181+0.00012899i,-0.0017638-0.00096165i,-0.0026659-0.002142i,-0.00042996-0.0019048i,0.0019842-0.0010751i,-0.0033875+0.0051362i,0.0018256+0.00065639i,0.0029331+0.0012133i,0.00027764+0.0023976i,-0.0029993+0.0031158i,-0.00072314-0.0080871i,-0.0018301+0.00060473i,0.00023918+0.00074941i,-0.0022088+0.0051778i,0.0039998+0.0083151i,0.0022099-0.0021359i,0.0012007-0.0027721i,-0.0036463-0.00018106i,-0.00021655+0.0029045i,-0.033886-0.0066819i,0.027235-0.058166i,-0.089705-0.048566i,-0.046974-0.036096i,-0.062319-0.053271i,-0.058139-0.014279i,-0.09822+0.00083476i,-0.06152+0.004195i,-0.056432-0.033171i,-0.023447-0.057808i,-0.012918-0.036523i,-0.00014983+0.0058379i,-0.01544+0.001281i,0.0075299+0.0080822i,0.011006+0.0074905i,0.0029224-0.0020948i,0.011661+0.0038254i,-0.0040808-0.0068298i,-0.0016739+0.01446i,-0.0014846+0.0077834i,0.0010151+0.0012584i,0.0070104+0.0035641i,0.0022481-0.0016236i,-0.0078706+0.014459i,-0.006733+0.01101i,0.003719-0.00050565i,0.013176+0.00073278i,0.0019012+0.001469i,-0.0030541-0.012015i,0.0011442-0.0040381i,0.029133-0.020159i,0.0044638+0.006411i,0.0018141+0.0027722i,-0.0046154-0.0018628i,0.0048045-0.002257i,0.017827+0.01162i,0.0040521-0.0021228i,0.0034285-0.0091305i,0.0021899-0.0022647i,0.010605+0.0086417i,0.0046766+0.0017622i,0.010948-0.0067432i,-0.00018178+0.010047i,0.0052006+0.0009929i,0.022719+0.012845i,-0.076536-0.046182i,-0.019067+0.016602i,0.010122-0.00058058i,-0.0033576+0.0019327i,-0.036864+0.0019936i,-0.0064384+0.0074109i,-0.020192+0.011944i
