-0.023818-0.039793i,-0.0096559-0.049876i,-0.017262-0.045264i,-0.030789-0.036832i,-0.029486-0.017183i,-0.051022-0.028876i,-0.059124-0.026339i,-0.044868-0.038798i,-0.0301-0.036802i,0.0067808+0.011799i,-0.0062745+0.016651i,-0.0048251+0.014871i,0.010128+0.0212i,0.00049846+0.0050806i,0.0033109+0.0036666i,0.0073124+0.018458i,0.026205+0.040732i,-0.0027252-0.0016808i,-0.0047996-0.006445i,0.0068468+0.0015918i,-0.00011739-0.0010574i,-0.00071058+0.0013521i,0.00017397-0.00053781i,-0.028792-0.0016454i,-0.0025664-0.0054959i,0.0012547+0.0052478i,0.002746-0.00028455i,-0.00048661+0.00078122i,0.0006817-0.00042053i,-0.0007727-0.0026767i,-0.0016506-0.0063821i,-0.0049297-0.0046491i,-0.0023992-0.0044975i,0.0027582-0.00039362i,0.0020926-0.0025627i,-0.00085393+0.025561i,0.0014273-0.0034645i,0.0030087+0.00092858i,0.0052495+0.00093511i,-0.0098876-0.0024378i,-0.0036957+0.00019383i,0.0059575-0.00051456i,0.0052561+0.00030514i,-0.0034417+0.0064444i,0.0019432-0.0083113i,-0.01238+0.018606i,0.03545-0.091024i,0.012838-0.070433i,-0.015575-0.059983i,-0.016164-0.056327i,0.038445-0.047242i,0.015908-0.063041i,0.035-0.05563i,0.030642-0.059021i,0.014216-0.013022i,0.0038846+0.016914i,0.016872-0.026651i,-0.011428+0.0071022i,-0.00030089+0.0049931i,-0.0059728-0.00080024i,-0.0024037-0.028206i,-0.02408+0.032105i,0.009475-0.011342i,-0.014284-0.0022421i,0.00023843-0.0046885i,-0.0014764-0.016313i,-0.0080149+0.0043301i,0.0054183+0.0060571i,-0.0055856+0.030977i,0.0050895+0.0052967i,-0.0054631-0.00075994i,-0.0033419-0.00040503i,-0.011755-0.0078686i,-0.00083063-0.0042367i,-0.019414+0.016399i,0.00034946-0.010278i,-0.009413-0.0013411i,-0.0063867-0.0028422i,0.007061+0.0023627i,-0.0078686+0.00065656i,0.00026141+0.00048744i,0.005814+0.011476i,0.0035991+0.0013986i,-0.0083903-0.0098441i,0.0031148+0.0084625i,-0.019409+0.0053362i,0.0095429+0.00048596i,-0.028342-0.0031313i,-0.044884+0.0036621i,0.01929-0.094116i,-0.0013755-0.012907i,-0.052676-0.022202i,-0.023755+0.0002228i,0.017851+0.011165i,-0.024335+0.012866i,-0.019988-0.011228i
-0.031907-0.035937i,-0.016282-0.042963i,-0.02382-0.043822i,-0.038408-0.033236i,-0.027813-0.017548i,-0.057732-0.0173i,-0.06114-0.01441i,-0.050391-0.030537i,-0.033318-0.028855i,0.0071585+0.00906i,-0.0040329+0.014131i,0.0020358+0.016793i,0.017635+0.014483i,-0.00011377+0.0062555i,0.0042057+0.0023043i,0.010907+0.012887i,0.033234+0.025476i,-0.0015215+0.0017928i,-0.0064821-0.0017982i,0.0063289-0.0021355i,-0.0013628+0.00060866i,-0.0008491+0.00054111i,-0.0001511-0.00020526i,-0.016062+0.011903i,-0.0038592-0.003564i,0.0054144+0.0018214i,0.0028833-0.00054428i,0.00046302+0.0020005i,0.0010048-0.00083534i,-0.0019032-0.002954i,-0.0019833-0.0049427i,-0.0057235-0.002661i,-0.0033934-0.0041725i,0.0025688-0.0020021i,0.0012138-0.0017095i,0.0071087+0.023917i,0.00054635-0.0042115i,0.0027591-0.00038855i,0.0073978-0.0015594i,-0.0073196-0.0004151i,-0.003145+0.0027764i,0.0061176-0.00093632i,0.0047445-0.00062432i,-0.0042735+0.0084471i,0.0062781-0.01141i,0.0034982+0.024203i,0.018136-0.096902i,-0.0049583-0.077642i,-0.012626-0.05574i,-0.020004-0.0464i,0.032334-0.065951i,0.012257-0.080623i,0.03566-0.055743i,0.018767-0.067941i,0.005593-0.0053876i,0.0067304+0.005896i,0.0060178-0.027487i,-0.0082586+0.010219i,-6.0436e-05-0.0026917i,-0.0054524-0.00081272i,-0.022657-0.027189i,-0.0093347+0.03025i,0.0037962-0.015305i,-0.013093+0.0023799i,-0.0013702-0.0047691i,-0.0096699-0.013863i,-0.0085037+0.0089886i,0.0084714+0.0056651i,0.0097358+0.026753i,0.0058833+0.0015142i,-0.004152+0.0019843i,-0.0045033-4.3109e-05i,-0.01823+0.0017389i,-0.00068466-0.0027029i,-0.030886+0.027189i,-0.0048654-0.007147i,-0.009025+0.0032778i,-0.0088597+0.00098727i,0.0051297-0.0030987i,-0.0074229+0.0030002i,0.0012853-0.00079745i,0.0058793+0.0053768i,0.0030191+0.00012727i,-0.014498-0.0027869i,0.0042598+0.0039472i,-0.013623+0.012128i,0.007372-0.0047147i,-0.027723+0.0082161i,-0.04022+0.021081i,0.0023771-0.095455i,-0.0058821-0.01611i,-0.058287-0.00773i,-0.01663-0.0020886i,0.018106+0.0051393i,-0.019125+0.019072i,-0.026589-0.015977i
-0.03738-0.029211i,-0.019221-0.043193i,-0.030106-0.043472i,-0.044407-0.025289i,-0.028777-0.019545i,-0.061189-0.0048002i,-0.063547-0.00092816i,-0.055997-0.021626i,-0.036832-0.022418i,0.0079796+0.0063337i,-0.0012257+0.016602i,0.0087785+0.013403i,0.019661+0.0045127i,0.0015013+0.0074829i,0.0044678+0.00090138i,0.012099+0.0072569i,0.036238+0.013341i,0.0012325+0.0022391i,-0.0050974+0.0020683i,0.0051629-0.0040804i,-0.001316+0.0018808i,-0.0015601+0.0028384i,-0.0001042+9.6486e-05i,-0.0060394+0.01508i,-0.0031237-0.0021972i,0.0056906-0.0031294i,0.0025031-0.0015486i,0.0019606+0.0017556i,0.00018227-0.0013799i,-0.0026946-0.0023609i,-0.0027018-0.0045977i,-0.0059381-0.00067862i,-0.0049089-0.0027341i,0.0013781-0.0030623i,0.0023965-0.0041623i,0.014722+0.017142i,-0.0006583-0.0040108i,0.0023872-0.0013474i,0.0070104-0.0066908i,-0.0071877+0.0010799i,-0.0014425+0.0042533i,0.0065992-0.0019436i,0.0052119-0.001745i,-0.0019483+0.010743i,0.0067093-0.018928i,0.020316+0.019615i,0.001164-0.098918i,-0.023-0.072613i,-0.0082758-0.061281i,-0.019435-0.044538i,0.021397-0.080649i,-0.0084235-0.096133i,0.04063-0.062819i,0.0053285-0.068114i,0.0058634-0.0029896i,0.0055776+0.0013037i,-0.0028153-0.028574i,0.002936+0.0099136i,-0.0077218-0.0047024i,-0.0043892-0.00323i,-0.038357-0.016073i,-0.0008455+0.027821i,-0.0030609-0.014566i,-0.011027+0.0056899i,-0.0044501-0.0042662i,-0.015607-0.0090454i,-0.00294+0.014245i,0.012061+0.00014595i,0.022588+0.017377i,0.0052839+0.00059147i,-0.0031065+0.0013272i,-0.0046049+0.0014551i,-0.013093+0.011737i,-0.0033618-0.0021135i,-0.029657+0.025978i,-0.0057666-0.0026573i,-0.0068703+0.0072588i,-0.0084978+0.0084734i,0.00022993-0.0048532i,-0.0058785+0.0054592i,-0.00015479-0.0018528i,0.0030327+0.0035241i,0.0022691-0.0012623i,-0.010661+0.0072281i,0.0028873+0.001338i,-0.0080852+0.013783i,0.0026143-0.0080499i,-0.021621+0.015877i,-0.028378+0.025068i,-0.01044-0.09436i,-0.012278-0.014323i,-0.058451+0.0066526i,-0.020651-0.0089824i,0.016498-0.0026092i,-0.0086373+0.019393i,-0.033403-0.01049i
-0.040228-0.022199i,-0.025985-0.045156i,-0.038094-0.04288i,-0.045522-0.016927i,-0.032917-0.022046i,-0.060618+0.0089366i,-0.060644+0.017555i,-0.060395-0.0087589i,-0.040142-0.014528i,0.0074601+0.0042886i,0.00578+0.01692i,0.01152+0.0079249i,0.018079-0.0037833i,0.0042695+0.0082051i,0.0039244-0.0012167i,0.010916+0.0012129i,0.03875-0.0023231i,0.0029376+0.00049553i,-0.0038405+0.0047243i,0.0022873-0.0053673i,0.00027955+0.0032683i,0.0017517+0.0048319i,-0.00030863+0.00067789i,0.0030627+0.017995i,-0.0031149-0.0022075i,0.0026041-0.0049222i,0.0019626-0.0023201i,0.0023763-1.4402e-05i,-0.00025274-0.00063828i,-0.0038716-0.0016091i,-0.0032575-0.0035411i,-0.0055063+0.00099665i,-0.0054351-0.00060173i,9.2355e-05-0.0036257i,-0.00077401-0.0053693i,0.015293+0.009464i,-0.0017136-0.0038855i,0.0014297-0.0022391i,0.0029495-0.0091239i,-0.0046704+0.0036186i,0.00028398+0.0046023i,0.0048507-0.0034536i,0.0046703-0.0039594i,0.0024329+0.010104i,0.006185-0.02524i,0.034172+0.0082444i,-0.015234-0.096152i,-0.032035-0.062811i,-0.013895-0.067769i,-0.021655-0.043978i,0.0038001-0.096251i,-0.035502-0.095818i,0.037448-0.082657i,-0.0030679-0.06553i,0.0073899-0.0018218i,0.0024781-0.0033556i,-0.01508-0.022646i,0.0035884+0.0026293i,-0.0094838-0.001004i,-0.0089541-0.0057963i,-0.044248+0.0040516i,0.0096816+0.021871i,-0.0079742-0.012341i,-0.0070584+0.0066825i,-0.0058289-0.0017101i,-0.020123-0.0017005i,0.004963+0.011864i,0.012108-0.0057742i,0.0058456+0.020379i,0.0059277-0.0021379i,-0.0039778+0.00058642i,-0.0043436+0.0036572i,-0.0069632+0.01768i,-0.004914+0.0016711i,-0.019452+0.039844i,-0.0055213-0.00037628i,-0.0018149+0.0098946i,-0.001951+0.012402i,-0.0045604-0.0033572i,-0.0018546+0.0046247i,-0.00064489-0.00096858i,0.001697+0.0036247i,0.00062969-0.0023682i,-0.0035872+0.0062011i,-0.00042862+8.7709e-05i,-0.0056557+0.015781i,-0.0022871-0.006956i,-0.013467+0.020178i,-0.021682+0.02584i,-0.023001-0.093604i,-0.010776-0.0092122i,-0.051989+0.023093i,-0.029239-0.0057816i,0.013444-0.008453i,-0.00024265+0.014987i,-0.032936-0.0012546i
-0.040987-0.015254i,-0.036325-0.042858i,-0.04975-0.0397i,-0.046021-0.010784i,-0.041284-0.022438i,-0.056797+0.021654i,-0.046239+0.029211i,-0.05744+0.004616i,-0.03822-0.0062794i,0.007511+0.0029978i,0.011797+0.011063i,0.012601+0.0037908i,0.012879-0.0098359i,0.0085824+0.0068074i,0.0024502-0.0025731i,0.0071242-0.0016895i,0.027524-0.019531i,0.0027361-0.0010857i,0.00030553+0.0089138i,5.596e-05-0.0047221i,0.0016658+0.0037199i,0.0033961+0.0031782i,-0.00020736+0.0015303i,0.013202+0.011958i,-0.0040781-0.00041212i,0.00074874-0.0055164i,0.00048231-0.0028174i,0.0036651-0.00066212i,-8.7999e-05-0.00035706i,-0.0046702+0.00092006i,-0.0038505-0.0023188i,-0.0044329+0.0030362i,-0.0047051+0.0011352i,-0.001966-0.003532i,-0.0025957-0.0037336i,0.016446+0.0071653i,-0.0023503-0.0034853i,7.1646e-05-0.0026227i,-0.0002766-0.0087335i,-0.0028119+0.0015119i,0.0011228+0.0043558i,0.0020589-0.0027283i,0.0033171-0.0052985i,0.0034747+0.0074746i,0.0013051-0.035681i,0.043512-0.010721i,-0.025509-0.088489i,-0.03705-0.054318i,-0.021341-0.072477i,-0.024553-0.042505i,-0.024182-0.10424i,-0.057868-0.085367i,0.017064-0.097734i,-0.013953-0.06017i,0.010746+0.0013318i,-0.0024627-0.0049665i,-0.0083254-0.0068917i,0.00051017-1.5418e-05i,-0.01097+0.00013358i,-0.015595-0.002023i,-0.038819+0.02233i,0.012746+0.01161i,-0.013079-0.0084634i,-0.0054054+0.0068055i,-0.0063022+0.0014505i,-0.020361+0.0088104i,0.0051387+0.0067782i,0.0093076-0.010644i,0.026086-0.0056143i,0.0032055-0.0055244i,-0.0061613+0.0033221i,-0.0020558+0.0061593i,0.0023097+0.018961i,-0.0035046+0.0060807i,-0.015228+0.038924i,-0.0062672+0.00069782i,0.0017838+0.0066021i,0.0040818+0.010951i,-0.0080521+0.00056361i,-0.0030199+0.0013085i,-0.0016211-0.00059961i,0.00070793+0.0053249i,-0.0022568-0.0032479i,-0.0032376+0.0029416i,-0.0027578+0.0022749i,-0.00034653+0.018582i,-0.0060558-0.0046374i,-0.0045394+0.020603i,-0.018069+0.029697i,-0.037261-0.088697i,-0.0055435-0.012359i,-0.040874+0.038669i,-0.031545+0.0046018i,0.0079853-0.013166i,0.00092474+0.0075407i,-0.029239+1.8318e-05i
-0.040156-0.010038i,-0.042944-0.038664i,-0.061922-0.029509i,-0.046732-0.0046423i,-0.052494-0.016807i,-0.048353+0.032224i,-0.033428+0.032092i,-0.051632+0.014346i,-0.03588-0.0016931i,0.0071293+0.0020945i,0.011973+0.0055336i,0.012516-0.0017872i,0.006781-0.012994i,0.011679+0.0015047i,0.00048708-0.0030989i,0.0040476-0.0017279i,0.01187-0.023128i,0.0035907-0.0017511i,0.0062004+0.007782i,-0.0014293-0.0033397i,0.0037139+0.0021722i,0.0033663+0.0014928i,0.0011465+0.0022134i,0.020622+0.0023221i,-0.0025308+0.0018281i,-0.0021511-0.0061956i,-0.00077819-0.00086676i,0.0027661-0.0018664i,-0.00019175-0.0005457i,-0.0027814+0.0036708i,-0.0037843-0.0017912i,-0.0032373+0.0040253i,-0.0044014+0.0028827i,-0.0032497-0.0012775i,-0.0022727-0.002685i,0.018913+0.0019474i,-0.0033886-0.0027788i,-0.0020213-0.0029348i,-0.004289-0.0078936i,-0.0046961+0.00019387i,-6.9877e-05+0.0060122i,0.00061246-0.0008895i,0.00078015-0.0062933i,0.0039062+0.0059935i,-0.010047-0.041884i,0.034316-0.035668i,-0.028929-0.081749i,-0.041319-0.047184i,-0.031478-0.072297i,-0.026868-0.043502i,-0.053861-0.09559i,-0.077063-0.068556i,-0.0033834-0.10029i,-0.015621-0.047012i,0.019318+0.0038336i,-0.0062161-0.0028959i,-0.02207+0.0034689i,-0.00076895-0.00036578i,-0.015509+0.0046656i,-0.013748+0.0041619i,-0.027778+0.036243i,0.011133+0.0050245i,-0.013259-0.00067296i,-0.0064242+0.0062049i,-0.0032937+0.0047515i,-0.012126+0.015702i,0.0066871+0.0079818i,0.0044158-0.018057i,0.015721-0.020331i,-0.0032744-0.0084762i,-0.0061291+0.0071946i,0.00038065+0.0060357i,0.0098269+0.015602i,0.0010574+0.0079123i,0.0067735+0.045544i,-0.0074624+0.003893i,0.001654+0.0051791i,0.0087843+0.0060817i,-0.0053501+0.0070608i,-0.0055576+0.0043979i,-0.0038138-0.0004995i,0.0044799+0.0059959i,-0.0039973+0.0022618i,-0.0056473+0.0023651i,7.0043e-05+0.0069814i,0.0066583+0.015994i,-0.0082104-0.002108i,0.00080933+0.017633i,-0.0083487+0.033863i,-0.044824-0.079483i,-0.011713-0.023272i,-0.016758+0.045468i,-0.026774+0.011408i,-0.0018174-0.017512i,0.00028563+0.0014495i,-0.029247+0.0058793i
-0.038986-0.0054149i,-0.054169-0.035046i,-0.070366-0.015108i,-0.044707+0.0028567i,-0.060345-0.003652i,-0.039112+0.03862i,-0.023849+0.031926i,-0.045038+0.020893i,-0.036683+0.0027685i,0.0083089-0.0003247i,0.01372+0.0026081i,0.0087831-0.0069122i,-0.00067133-0.012231i,0.011092-0.0045754i,-0.001135-0.0028722i,0.0023706-0.00061871i,0.00063305-0.018928i,0.0025128-0.0039818i,0.0078552+0.0039871i,-0.0020664-0.00098453i,0.0038357-0.00043653i,0.0041595+0.0013324i,0.002644+0.0015462i,0.017047-0.0089501i,0.00052253+0.00069921i,-0.0031464-0.0034196i,-5.1865e-05-0.0011939i,0.0020179-0.0042648i,-5.8674e-05-0.00025259i,-0.00020049+0.0040094i,-0.0045379-0.0012828i,-0.0012394+0.0045997i,-0.0025069+0.0045668i,-0.0026742+8.2724e-05i,-0.0032929-0.0030668i,0.01763-0.0050605i,-0.0036812-0.00095209i,-0.003084-0.0012394i,-0.0092806-0.0046165i,-0.0076855+0.0031003i,0.0059681+0.002316i,0.0020787-0.0010563i,-0.0018213-0.0057818i,0.0044416+0.0027422i,-0.023363-0.04089i,0.014943-0.042777i,-0.035857-0.083517i,-0.040135-0.039679i,-0.039283-0.069156i,-0.036133-0.045712i,-0.072941-0.079778i,-0.084112-0.042893i,-0.028258-0.099762i,-0.0086042-0.043261i,0.024181-0.011511i,-0.0076442+0.0011246i,-0.014226+0.0015253i,-0.0046512+0.0001947i,-0.012551+0.013866i,-0.011591+0.006725i,-0.0083958+0.043891i,0.010361+0.0012624i,-0.012379+0.0015126i,-0.0035825+0.0064734i,-0.0014279+0.0043077i,-0.004885+0.018258i,0.010812+0.0046236i,-0.0081263-0.018917i,-0.0053825-0.022074i,-0.0055796-0.0015159i,-0.0024869+0.010659i,0.003402+0.0048312i,0.015506+0.007901i,0.0045381+0.0049604i,0.028836+0.035955i,-0.0031003+0.0068225i,0.0020115+0.0035413i,0.0092514+0.00080227i,0.00097773+0.0089147i,-0.006913+0.0073689i,-0.0045115+0.0035894i,0.007779+0.0059054i,-0.0013379+0.0050863i,-0.0077295+0.0048377i,0.0035814+0.0069077i,0.0090686+0.012818i,-0.0068076+0.0018798i,0.006884+0.012764i,0.0023948+0.033391i,-0.051961-0.074301i,-0.028346-0.021561i,0.0006018+0.037369i,-0.023323+0.015546i,-0.0013833-0.029319i,-0.003465-0.0025783i,-0.021481+0.0087032i
-0.038231-0.0014825i,-0.063916-0.022335i,-0.072945+0.0027177i,-0.042025+0.0069205i,-0.059887+0.01153i,-0.030988+0.043146i,-0.016857+0.030503i,-0.039029+0.025174i,-0.034671+0.010289i,0.007695-0.0031736i,0.013988-0.0054045i,0.0031-0.0071683i,-0.0044057-0.0076916i,0.0070761-0.0081724i,-0.0027445-0.0023503i,0.0030402-0.00059854i,-0.0045448-0.012687i,-3.8045e-05-0.0044558i,0.0067295+0.00089099i,-0.0014201+0.00033926i,0.0023058-0.00091296i,0.0045948-0.00038844i,0.0029769+0.00035353i,0.0096602-0.014657i,-0.00032699-0.0011033i,-0.002793-0.0020773i,-6.6329e-05-0.0015997i,7.5923e-06-0.0033891i,0.00093508-0.00018208i,0.0011766+0.0031069i,-0.0054935-0.00019186i,0.00074774+0.0040456i,1.0879e-07+0.0047321i,-0.0026332+0.00024375i,-0.0043095-8.3078e-05i,0.013148-0.0098214i,-0.0032226+0.00015987i,-0.0023076+0.0003938i,-0.0059033-0.0037704i,-0.0059614+0.0070753i,0.005214-0.00016721i,0.0027642-0.0015516i,-0.0039104-0.0056921i,0.0022257-0.00019935i,-0.033019-0.03365i,0.0050282-0.033334i,-0.047383-0.083777i,-0.037977-0.037877i,-0.047909-0.065992i,-0.046006-0.040687i,-0.089114-0.06284i,-0.077514-0.022924i,-0.054145-0.085454i,-0.0059345-0.048041i,0.020109-0.021867i,-0.0061818+0.0043828i,-0.012904+0.0037896i,-0.0074665+0.0051265i,-0.0040046+0.019089i,-0.0079229+0.010799i,0.011598+0.03589i,0.0088414-0.0040109i,-0.014097+0.0057849i,-0.0031148+0.0050341i,0.00092202+0.0047838i,0.0025275+0.015741i,0.011252-0.0028644i,-0.017236-0.0093452i,-0.014727-0.011065i,-0.0025206+0.001998i,0.0039055+0.011086i,0.0038018+0.0024826i,0.017621+0.00042974i,0.0064495+0.0036191i,0.035717+0.023461i,-0.0013398+0.0041783i,0.0010609+0.003685i,0.0068998-0.0043687i,0.005543+0.0053091i,-0.0051671+0.014114i,-0.00061388+0.0078627i,0.01151+0.0013781i,0.0030005+0.0048149i,-0.0067834+0.0097991i,0.0058164+0.0037512i,0.012365+0.0096417i,-0.0055968+0.002883i,0.0083827+0.00705i,0.010784+0.028412i,-0.058038-0.065821i,-0.035252-0.00757i,0.01162+0.024929i,-0.011363+0.022653i,-0.016569-0.027807i,-0.010611-0.0023073i,-0.019003+0.0032464i
-0.037577+0.0026863i,-0.065685-0.0071945i,-0.069057+0.020769i,-0.040508+0.011423i,-0.054082+0.023397i,-0.021854+0.046851i,-0.011575+0.028063i,-0.034239+0.02848i,-0.028798+0.01576i,0.0056219-0.0059599i,0.0070241-0.010714i,0.00076268-0.0050214i,-0.0048005-0.0041777i,0.0029089-0.0098739i,-0.0042247-0.00071128i,0.0023505-0.0020244i,-0.0044895-0.0072979i,-0.0020801-0.0033996i,0.0043735+0.0013015i,-0.00032598+0.00080417i,0.0024165-1.8013e-05i,0.0042505-0.0017524i,0.0030527-0.00056172i,0.0026377-0.01517i,-0.0014893-0.0013256i,-0.0028692-0.0022796i,-0.00058219-0.0017738i,-0.00074555-0.0034214i,0.00082781-0.001321i,0.0022181+0.0023554i,-0.0057472+0.0014318i,0.0020075+0.0028528i,0.0013275+0.0035302i,-0.0026523+0.0017536i,-0.003218+0.00066135i,0.0079428-0.01299i,-0.0019926+0.00069741i,-0.001491+0.00098193i,-0.0080289-0.0012983i,-0.0030235+0.0085991i,0.0047465-0.0022216i,0.0019062-0.0021361i,-0.0016252-0.0002707i,-0.0015619+4.3792e-05i,-0.03917-0.02412i,0.012385-0.026413i,-0.063332-0.080234i,-0.038845-0.03903i,-0.054804-0.05947i,-0.052536-0.032313i,-0.099821-0.039991i,-0.072422-0.012876i,-0.061976-0.060483i,-0.0091805-0.052502i,0.013065-0.032469i,-0.0047173+0.0054193i,-0.0094877+0.0036675i,-0.0035968+0.011123i,0.0047155+0.017066i,0.00078807+0.0099672i,0.019523+0.022445i,0.0052912-0.0058399i,-0.010679+0.010544i,-0.004067+0.0050473i,0.0019766+0.003012i,0.0063472+0.012279i,0.0048754-0.005064i,-0.018923+0.00043644i,-0.016655-0.0013534i,0.00065183+0.0016995i,0.0072456+0.0093256i,0.0026738+0.0014455i,0.014109-0.010084i,0.0070099-0.00081568i,0.040258+0.0059304i,-0.0010701+0.0053933i,0.0029423+0.0031712i,0.0019871-0.0066624i,0.0055433+0.0019185i,0.0025774+0.019233i,0.0052426+0.0051088i,0.009056-0.0042111i,0.0052521+0.0015415i,-0.0023147+0.012898i,0.0043999+0.0025821i,0.013802+0.0049815i,-0.0065842+0.0045876i,0.0048427+0.0036334i,0.015105+0.023361i,-0.061082-0.05992i,-0.032709+0.0056652i,0.012191+0.013174i,0.00027744+0.014902i,-0.028835-0.020888i,-0.012542+0.0053632i,-0.022691+0.0046955i
-0.037105+0.0072096i,-0.062522+0.0042613i,-0.058991+0.034981i,-0.038997+0.016211i,-0.046606+0.032123i,-0.012298+0.048357i,-0.0085003+0.025924i,-0.029825+0.032589i,-0.023487+0.018194i,0.0022215-0.0074929i,3.1299e-05-0.0088347i,-0.00024848-0.0040353i,-0.0038488-0.0028088i,-0.00099424-0.0097966i,-0.0039676+0.0015567i,0.00051919-0.0026699i,-0.0038659-0.005707i,-0.0019941-0.0010807i,0.003686+0.00056251i,0.0007731+0.00094938i,0.003999-0.00075061i,0.0033906-0.0023012i,0.002988-0.0014042i,-0.0027767-0.013313i,-0.0016491-0.00049737i,-0.0042961-0.001323i,-0.0011137-0.0014491i,-0.0019095-0.0033607i,0.00022215-0.0017331i,0.0032371+0.0010048i,-0.0052131+0.003216i,0.0024242+0.0012018i,0.0022985+0.0027323i,-0.0013401+0.0025522i,-0.0035118+0.0017132i,0.00058228-0.011737i,-0.0019212+0.00035623i,-0.00057332+0.0011279i,-0.008251+0.0031443i,0.00066735+0.0091473i,0.0027623-0.002585i,0.0027999-0.0018041i,-0.003859+0.00075402i,-0.001921+0.0031749i,-0.03955-0.014118i,0.025236-0.035668i,-0.080376-0.067995i,-0.043848-0.038943i,-0.058868-0.053667i,-0.057158-0.023641i,-0.10074-0.017078i,-0.06811-0.0019429i,-0.058206-0.044013i,-0.013729-0.056975i,-0.00079803-0.037184i,-0.0022293+0.0066406i,-0.009699+0.001363i,0.003172+0.011428i,0.008969+0.012371i,0.004742+0.0029516i,0.019228+0.0088804i,0.0014237-0.0067072i,-0.0064403+0.012905i,-0.0044896+0.0074192i,0.0014667+0.0016369i,0.0091587+0.0077161i,0.002987-0.0029874i,-0.015022+0.009341i,-0.01269+0.0059736i,0.0014084+0.00066817i,0.010364+0.0062823i,0.002255+0.00084828i,0.0052487-0.01392i,0.0041744-0.0038806i,0.035561-0.0081417i,0.00076643+0.005827i,0.002139+0.0020126i,-0.0017329-0.0053826i,0.0051649+0.00056071i,0.012615+0.018126i,0.0055455+0.00095779i,0.0071404-0.0064119i,0.0042027-0.0009054i,0.0011809+0.014132i,0.0049613+0.0012862i,0.014361-0.00013383i,-0.0039581+0.0085315i,0.0046837+0.0031773i,0.01892+0.019031i,-0.067935-0.055683i,-0.025356+0.012741i,0.011817+0.0066844i,0.0011151+0.006285i,-0.03681-0.0095371i,-0.0086565+0.007426i,-0.021771+0.0082572i
-0.035668+0.012198i,-0.057499+0.012927i,-0.045312+0.043836i,-0.035582+0.021793i,-0.03737+0.037796i,-0.0037342+0.048303i,-0.0057129+0.024734i,-0.024095+0.036461i,-0.019057+0.019828i,-0.000993-0.0077576i,-0.0025817-0.005406i,-0.00034319-0.0036921i,-0.0041096-0.0019095i,-0.0044649-0.0078317i,-0.003218+0.0030281i,-0.0013809-0.0023876i,-0.0046903-0.0058497i,-0.0014271-0.00047831i,0.0031581-0.00066075i,0.00168+0.00022985i,0.0040586-0.0025324i,0.0033547-0.0027666i,0.0024168-0.0023352i,-0.0065954-0.011112i,-0.0016258-0.00012281i,-0.0043264+0.0006915i,-0.0017442-0.00090951i,-0.0030142-0.0021886i,-0.00038131-0.0017309i,0.0027353-0.0011065i,-0.003801+0.0049929i,0.0020586+0.00025595i,0.0030208+0.0013117i,9.5009e-05+0.0023401i,-0.0027191+0.0032806i,-0.0014109-0.0081332i,-0.0020114+0.00097938i,0.00024644+0.00059599i,-0.0050956+0.0056021i,0.004931+0.0075768i,0.0021498-0.0030166i,0.0026337-0.0046219i,-0.0034285+0.0021i,-0.00046682+0.0032771i,-0.036883-0.0081503i,0.024556-0.058602i,-0.090744-0.049794i,-0.048375-0.037079i,-0.06334-0.052301i,-0.05895-0.014006i,-0.098239+0.001004i,-0.061666+0.0058833i,-0.054767-0.033512i,-0.021762-0.059542i,-0.016805-0.033775i,-0.00052492+0.0060152i,-0.014827+0.0014658i,0.0075272+0.0073338i,0.010221+0.0065527i,0.0034147-0.0028482i,0.013777+0.0021865i,-0.0025486-0.0070191i,-0.0020619+0.013012i,-0.0014115+0.010015i,0.00072181+0.0013353i,0.0067726+0.0032901i,0.0026239-0.0022579i,-0.0084417+0.013376i,-0.0081417+0.011899i,0.0028805-0.00070978i,0.014512+0.0014636i,0.0014489+0.00097128i,-0.0025507-0.011849i,0.0010747-0.0047737i,0.02781-0.01899i,0.0027481+0.0057011i,0.0021427+0.0030733i,-0.0052292-0.0025195i,0.0046262-0.0021545i,0.01962+0.011608i,0.0038914-0.0018023i,0.0050198-0.0093704i,0.0021931-0.0027426i,0.0087994+0.01138i,0.0045489+0.0012198i,0.011157-0.0058661i,0.00013456+0.0097151i,0.0051613+0.0012732i,0.023611+0.013857i,-0.075854-0.046842i,-0.017595+0.017112i,0.010978+0.00056761i,-0.00089203+0.0030678i,-0.038556+0.0024762i,-0.0069139+0.0067455i,-0.01916+0.010875i
