-0.022369-0.038333i,-0.010172-0.050271i,-0.017128-0.045995i,-0.030997-0.036019i,-0.029694-0.017029i,-0.050908-0.028993i,-0.059165-0.026378i,-0.044288-0.038814i,-0.025448-0.029901i,0.007612+0.012265i,-0.0058599+0.016083i,-0.004985+0.014857i,0.010648+0.021803i,0.00012099+0.0048925i,0.0034766+0.0033679i,0.0069027+0.018687i,0.02364+0.037637i,-0.0027616-0.0014326i,-0.0050963-0.0062667i,0.0075331+0.0014637i,-9.6e-05-0.00083827i,-0.0012281+0.0023953i,0.00013916-0.00031774i,-0.029295-0.0018999i,-0.0018342-0.0057949i,0.001949+0.0048473i,0.0032119-0.0010963i,-0.00044997+0.00082434i,0.00055893-0.000281i,-0.00093057-0.0027475i,-0.0017409-0.0060513i,-0.004353-0.0046341i,-0.0029089-0.0050337i,0.002352-0.00037992i,0.0020909-0.0027788i,0.00026745+0.0274i,0.0013995-0.0033577i,0.0029057+0.00096854i,0.0057673+0.0011063i,-0.010324-0.0018843i,-0.0036086-1.3749e-05i,0.0047681-0.00037598i,0.0061532+0.00021339i,-0.0037017+0.0048514i,0.0020954-0.0094341i,-0.012061+0.018583i,0.035604-0.090492i,0.012429-0.070436i,-0.015781-0.0603i,-0.016007-0.056045i,0.038828-0.047323i,0.016828-0.06295i,0.034675-0.056078i,0.031484-0.059508i,0.014865-0.013799i,0.0039521+0.016931i,0.016438-0.026658i,-0.011336+0.0063181i,-0.00090652+0.0056934i,-0.0052501-0.00068039i,-0.0023461-0.028077i,-0.024094+0.031149i,0.010305-0.011012i,-0.012989-0.0027778i,-0.00016314-0.0050192i,-0.0016327-0.015935i,-0.0078553+0.0050049i,0.0051038+0.0058762i,-0.0074554+0.030373i,0.0054825+0.006243i,-0.0054281-0.00095968i,-0.0030675-0.00023351i,-0.011473-0.0081888i,-0.00042518-0.0043618i,-0.030709-0.0015046i,0.00036825-0.010152i,-0.0090364-0.001917i,-0.0066423-0.0026088i,0.007011+0.0031753i,-0.0077032+0.0012717i,0.00023436+0.00025637i,0.0057225+0.010709i,0.0038093+0.0013237i,-0.0088575-0.010543i,0.0032131+0.0082312i,-0.021009+0.0059219i,0.0085381+0.00020223i,-0.029276-0.0035451i,-0.042741+0.0030975i,0.018537-0.09716i,-0.0025005-0.011786i,-0.053025-0.023026i,-0.023588+0.0015678i,0.01769+0.010525i,-0.026002+0.013178i,-0.017761-0.013746i
-0.030349-0.035215i,-0.017058-0.043421i,-0.024437-0.044126i,-0.037917-0.032625i,-0.027886-0.01727i,-0.057964-0.017437i,-0.060936-0.014417i,-0.049831-0.030723i,-0.029608-0.028681i,0.008132+0.0089204i,-0.0035862+0.013582i,0.0019911+0.016873i,0.018051+0.014337i,-0.00029839+0.0060737i,0.0041723+0.0021049i,0.010784+0.012883i,0.029821+0.024189i,-0.0014694+0.0022367i,-0.0065016-0.0017054i,0.0067957-0.0015457i,-0.00095749+0.00044573i,-0.0050419+0.0023773i,-8.5243e-05-1.563e-05i,-0.017048+0.012089i,-0.0036375-0.0039774i,0.0053866+0.0015094i,0.0029297-0.00035165i,0.00071256+0.0020694i,0.00096045-0.00066216i,-0.0019277-0.002989i,-0.0019447-0.0046685i,-0.005744-0.0028539i,-0.0041347-0.0037237i,0.0021304-0.0013038i,0.0012295-0.0018921i,0.0078785+0.024293i,0.00066066-0.0041548i,0.0024364-0.00011888i,0.0079971-0.0012959i,-0.0075133+0.00027767i,-0.0034311+0.0026327i,0.0049677-0.0015754i,0.0052297-0.0011367i,-0.0054917+0.006712i,0.0059757-0.012127i,0.0037126+0.023925i,0.018714-0.096464i,-0.0050646-0.077076i,-0.012482-0.055919i,-0.020129-0.045619i,0.033078-0.065864i,0.012662-0.081645i,0.035331-0.055744i,0.019654-0.068263i,0.005963-0.0059148i,0.0067117+0.0057503i,0.0046202-0.027854i,-0.0072511+0.009603i,-0.00078647-0.0025476i,-0.0051759-0.00093394i,-0.022945-0.027133i,-0.010014+0.029304i,0.0040858-0.015002i,-0.013377+0.00037503i,-0.0016127-0.0048411i,-0.0091624-0.014173i,-0.0077236+0.0089753i,0.0082197+0.0054342i,0.010274+0.025793i,0.0060286+0.0014539i,-0.0043324+0.001716i,-0.0041972+0.0002173i,-0.016993+0.002173i,-0.00075389-0.002795i,-0.026524+0.01523i,-0.0048872-0.0072675i,-0.0094032+0.0030412i,-0.0080127+0.00095251i,0.0057659-0.003051i,-0.0075191+0.0030666i,0.0014211-0.00089603i,0.0057865+0.0039486i,0.0035498+0.00058719i,-0.013901-0.0020666i,0.0037725+0.0046732i,-0.015199+0.014381i,0.006641-0.0037288i,-0.02768+0.0076684i,-0.040212+0.016247i,0.0022332-0.098421i,-0.006327-0.015172i,-0.058598-0.00799i,-0.016361-0.0017851i,0.017532+0.0042178i,-0.019652+0.019662i,-0.026409-0.01743i
-0.035261-0.028938i,-0.020099-0.043407i,-0.030768-0.042815i,-0.043944-0.025544i,-0.028711-0.019187i,-0.061489-0.0048823i,-0.06356-0.0013114i,-0.055443-0.021839i,-0.035038-0.022464i,0.0081717+0.0060564i,-0.00097534+0.015926i,0.008909+0.013292i,0.020241+0.0051861i,0.001381+0.0072483i,0.0044892+0.00080174i,0.011661+0.0069528i,0.034375+0.013422i,0.001667+0.0024883i,-0.0051075+0.0020434i,0.0054092-0.0043566i,-0.0012212+0.0016041i,-0.00010868+0.0034239i,-0.00021348+0.0001874i,-0.0062821+0.015688i,-0.0031736-0.002358i,0.0056409-0.002867i,0.0026162-0.0015704i,0.0023333+0.0018448i,0.00028002-0.0012545i,-0.0027396-0.0023235i,-0.0026547-0.0045252i,-0.0061955-0.00045502i,-0.0050331-0.0021272i,0.0013654-0.0028733i,0.0023661-0.0042176i,0.014703+0.01822i,-0.00067787-0.0038995i,0.0022353-0.0010258i,0.0076012-0.0064685i,-0.0075173+0.0014163i,-0.001626+0.0043523i,0.0056446-0.0022337i,0.005253-0.0021382i,-0.0035218+0.0096866i,0.0066377-0.019879i,0.019889+0.019663i,0.0015478-0.098651i,-0.022227-0.072543i,-0.0085266-0.06178i,-0.019008-0.044103i,0.021818-0.081074i,-0.0081389-0.096259i,0.040694-0.062765i,0.0064231-0.06856i,0.0051592-0.0025402i,0.0055425+0.0014941i,-0.0036733-0.028369i,0.0026147+0.010203i,-0.007314-0.0046848i,-0.004232-0.003111i,-0.038899-0.015324i,-0.0011477+0.027401i,-0.0028478-0.014445i,-0.011561+0.0046194i,-0.0041536-0.0040943i,-0.015431-0.0099481i,-0.0027119+0.014017i,0.01189-0.00025142i,0.02204+0.014901i,0.0054406-0.00055272i,-0.0036928+0.0012328i,-0.0043466+0.0017024i,-0.012739+0.010657i,-0.003739-0.0020459i,-0.021078+0.027801i,-0.0059828-0.0033587i,-0.0069173+0.0078724i,-0.0074262+0.0067483i,0.00039448-0.0053366i,-0.0055208+0.0048176i,0.00064002-0.0018446i,0.002818+0.0025584i,0.0034787-0.0012447i,-0.0090994+0.0059965i,0.0028777+0.0019905i,-0.0089991+0.017357i,0.0025852-0.0067882i,-0.021529+0.015459i,-0.033205+0.025105i,-0.011195-0.097097i,-0.012757-0.013467i,-0.057491+0.0070848i,-0.02059-0.0093771i,0.016452-0.0033146i,-0.0091293+0.019163i,-0.032303-0.011673i
-0.038129-0.023014i,-0.026497-0.045047i,-0.038434-0.041612i,-0.045629-0.01729i,-0.032663-0.021795i,-0.060821+0.0089136i,-0.060574+0.017583i,-0.05999-0.0090543i,-0.039538-0.013982i,0.0078987+0.0042178i,0.0053719+0.016072i,0.011535+0.0077487i,0.018872-0.0033393i,0.0044919+0.0081788i,0.003761-0.0010664i,0.01056+0.0012564i,0.035896-0.00072603i,0.0029564+0.00029264i,-0.0040284+0.0047532i,0.0023877-0.0050452i,0.00024506+0.0032918i,0.0021998+0.0038206i,-0.00044084+0.00079494i,0.0033512+0.017917i,-0.0031743-0.0020088i,0.0033866-0.0051001i,0.0019584-0.0022763i,0.0024065-0.00056229i,-0.00010819-0.00067062i,-0.0040922-0.0014614i,-0.0031188-0.003776i,-0.0055479+0.0016354i,-0.0053574-0.00045i,-0.00011227-0.0034879i,-0.00083808-0.005613i,0.015934+0.010312i,-0.0016703-0.0038149i,0.0014691-0.0021556i,0.0033287-0.0093161i,-0.0049939+0.0040793i,0.00013366+0.0046467i,0.0040917-0.0033724i,0.0044812-0.0042054i,0.00018998+0.0095273i,0.006371-0.026231i,0.033639+0.0090013i,-0.015016-0.095842i,-0.0317-0.062785i,-0.014011-0.067838i,-0.021408-0.043995i,0.0042762-0.096123i,-0.035115-0.096196i,0.037181-0.081888i,-0.0024903-0.066533i,0.0062976-0.00053719i,0.0023282-0.0034937i,-0.014375-0.02357i,0.0038289+0.0028091i,-0.0094724-0.0013362i,-0.0086982-0.0056481i,-0.044412+0.0046789i,0.0093008+0.021944i,-0.008499-0.012292i,-0.0074461+0.0055528i,-0.0054784-0.0016902i,-0.020418-0.0015549i,0.0048505+0.012075i,0.011991-0.0062178i,0.033188+0.015166i,0.005613-0.0032442i,-0.0044906+0.00090142i,-0.0041366+0.0040007i,-0.0069813+0.01705i,-0.0051249+0.0017103i,-0.014624+0.036297i,-0.0061321-0.00080652i,-0.0016347+0.0099452i,-0.0022357+0.010965i,-0.0046299-0.0029152i,-0.0024078+0.0039272i,0.00024669-0.0015161i,0.0019948+0.0027739i,0.0013545-0.0029387i,-0.0033348+0.0052295i,-0.0003921-0.00030292i,-0.0052121+0.019618i,-0.0018248-0.0058926i,-0.013109+0.019959i,-0.024672+0.028965i,-0.023522-0.093404i,-0.01074-0.0079534i,-0.051753+0.023691i,-0.028706-0.0060232i,0.013173-0.0088204i,-0.00032857+0.015069i,-0.03238-0.0050269i
-0.03979-0.016641i,-0.036767-0.042921i,-0.049326-0.038306i,-0.046063-0.010953i,-0.041129-0.022276i,-0.056873+0.021693i,-0.045991+0.029223i,-0.057374+0.0040822i,-0.037635-0.0060289i,0.0078454+0.0024418i,0.011076+0.010936i,0.012577+0.0036996i,0.013456-0.0095459i,0.0088287+0.0065623i,0.0023752-0.0025354i,0.0069295-0.001572i,0.025457-0.014528i,0.0025607-0.00095977i,3.1015e-05+0.00896i,0.00038906-0.0045504i,0.0019549+0.0038252i,0.0030738+0.0024206i,-0.00031212+0.0016434i,0.013185+0.012869i,-0.0039519-0.00031997i,0.0010731-0.0059606i,0.00058889-0.0026195i,0.0021318-0.00052842i,-3.7816e-05-0.00029567i,-0.0047577+0.0010051i,-0.0040027-0.0025343i,-0.0043362+0.0031717i,-0.0046205+0.0013983i,-0.0018244-0.0031482i,-0.0028306-0.0040085i,0.01665+0.0068905i,-0.002405-0.0035198i,-4.8441e-05-0.0025622i,-0.00011771-0.0086469i,-0.0030032+0.0017346i,0.0012058+0.0046819i,0.0016722-0.0021594i,0.0028968-0.0057948i,0.0017915+0.0079679i,0.0012637-0.036916i,0.043046-0.009108i,-0.025393-0.087986i,-0.03671-0.054514i,-0.021386-0.07189i,-0.024227-0.042749i,-0.024218-0.10437i,-0.057759-0.085725i,0.017744-0.096402i,-0.013931-0.06116i,0.0099927+0.0023426i,-0.0025972-0.00512i,-0.011911-0.024952i,0.00036142-4.4877e-05i,-0.010769+0.00042682i,-0.015621-0.0019655i,-0.039642+0.021336i,0.013313+0.011742i,-0.013598-0.0073537i,-0.0054974+0.0055459i,-0.0061611+0.0015364i,-0.019629+0.0088558i,0.0054862+0.0068908i,0.0097006-0.011321i,0.022863-0.0054912i,0.0033145-0.0069781i,-0.0064054+0.0034211i,-0.0018122+0.006439i,0.0015706+0.018896i,-0.0038027+0.006079i,-0.010683+0.043636i,-0.0065837+0.00048951i,0.0019456+0.0070384i,0.0044587+0.010976i,-0.0065514+0.001431i,-0.003788+0.0013148i,-0.00099346-0.001352i,0.00063936+0.0049389i,-0.0019341-0.0037916i,-0.0027892+0.0026193i,-0.00327+0.0021003i,0.0027889+0.022115i,-0.0045806-0.0039034i,-0.0045286+0.0204i,-0.017303+0.032498i,-0.035245-0.088401i,-0.005111-0.011923i,-0.040249+0.039742i,-0.030683+0.0036783i,0.0083412-0.013336i,0.0011022+0.0073256i,-0.030818-0.000362i
-0.039907-0.011275i,-0.043121-0.038675i,-0.060612-0.027831i,-0.047053-0.0046736i,-0.052253-0.016692i,-0.048609+0.032313i,-0.033296+0.031878i,-0.051939+0.014275i,-0.03585-0.0021105i,0.0067462+0.0011515i,0.0113+0.0061126i,0.012381-0.0021052i,0.00716-0.012887i,0.011807+0.0017391i,0.00051566-0.0031357i,0.003846-0.0017581i,0.012793-0.019662i,0.0036121-0.0017348i,0.0056149+0.0078608i,-0.0013529-0.0032906i,0.0039276+0.0020249i,0.0030173+0.0012791i,0.0010435+0.0023179i,0.020996+0.0020256i,-0.0024896+0.0020085i,-0.0030136-0.0059899i,-0.000679-0.00077161i,0.0035166-0.0019475i,-4.3678e-05-0.00054643i,-0.0026494+0.0037189i,-0.0038932-0.0017356i,-0.0031827+0.0040093i,-0.0042134+0.0031488i,-0.0029305-0.0014285i,-0.0024722-0.0026219i,0.018686+0.0018367i,-0.0035631-0.0028542i,-0.001932-0.0026004i,-0.0038312-0.0084976i,-0.00503+0.00048237i,0.0069178+0.0013612i,0.00092486+0.00017954i,-0.00015935-0.0065103i,0.0029728+0.0074545i,-0.010423-0.041715i,0.03406-0.033699i,-0.028413-0.081624i,-0.04074-0.047114i,-0.031117-0.071984i,-0.026725-0.044076i,-0.053973-0.095575i,-0.076601-0.068483i,-0.00156-0.10044i,-0.016089-0.046717i,0.018704+0.0052316i,-0.0064145-0.0026775i,-0.017453-0.00024617i,-0.001045-0.00028547i,-0.014634+0.0042778i,-0.013981+0.0044567i,-0.029304+0.035956i,0.010926+0.0050897i,-0.012634+0.00034911i,-0.0069524+0.0052607i,-0.0030671+0.0048061i,-0.012442+0.015209i,0.0067853+0.0076461i,0.0044461-0.018797i,0.013241-0.020496i,-0.003328-0.0093899i,-0.0063524+0.007935i,0.00015498+0.0061567i,0.0089316+0.015928i,0.00072099+0.0080163i,0.0028635+0.0469i,-0.0075125+0.0029434i,0.0018932+0.0055702i,0.0088994+0.006113i,-0.0043067+0.0072261i,-0.0058224+0.0040792i,-0.0033617-0.00068189i,0.0045566+0.0061259i,-0.0037466+0.0017665i,-0.0050165+0.002928i,-0.0008999+0.0069098i,0.010066+0.017545i,-0.0063589-0.0022144i,0.00091733+0.01723i,-0.0071841+0.035806i,-0.041712-0.080228i,-0.011506-0.02335i,-0.015507+0.045514i,-0.026593+0.010433i,0.003575-0.020569i,0.00076756+0.0012852i,-0.030102+0.0062697i
-0.038977-0.006229i,-0.054238-0.035076i,-0.067815-0.014343i,-0.04526+0.0031113i,-0.060114-0.0037577i,-0.039223+0.038963i,-0.024005+0.031555i,-0.045271+0.020926i,-0.036756+0.0022732i,0.0073517-0.00083171i,0.013396+0.0034204i,0.0084423-0.0071077i,-0.00039553-0.011916i,0.01145-0.0042324i,-0.001227-0.0029211i,0.0021719-0.00054418i,0.0032515-0.017688i,0.0025284-0.0043667i,0.0069628+0.0033469i,-0.0020493-0.0011095i,0.0040802-0.00013073i,0.0040398+0.00097532i,0.0026338+0.0016283i,0.016737-0.0094305i,0.00078627+0.00097052i,-0.0035552-0.0029082i,1.0297e-05-0.0013262i,0.0041807-0.003415i,-5.5647e-05-0.00031293i,-0.00028069+0.0042039i,-0.0046139-0.0010783i,-0.00097898+0.0046163i,-0.0021424+0.0043555i,-0.0026459-0.00019354i,-0.0034443-0.0032584i,0.017899-0.0050872i,-0.0037356-0.00097066i,-0.0028413-0.001261i,-0.0059769-0.0059178i,-0.007326+0.0035178i,0.0044644+0.00075474i,0.0025725-0.00034653i,-0.0026168-0.0054199i,0.0045515+0.0036453i,-0.02319-0.040532i,0.015053-0.040322i,-0.035558-0.083669i,-0.039601-0.039496i,-0.039093-0.069032i,-0.0362-0.046379i,-0.073394-0.079849i,-0.083219-0.042533i,-0.026935-0.10112i,-0.009119-0.043253i,0.025363-0.0098047i,-0.0076081+0.0014957i,-0.015066+0.00045268i,-0.004856+0.00040542i,-0.012154+0.013167i,-0.011477+0.0071474i,-0.0089433+0.042526i,0.010499+0.0017707i,-0.011394+0.002055i,-0.0041896+0.006849i,-0.0013297+0.0043043i,-0.0051813+0.018504i,0.011062+0.0044922i,-0.0081762-0.019713i,-0.0044101-0.021841i,-0.0060914-0.0024276i,-0.0025927+0.011327i,0.0030071+0.0047528i,0.015357+0.007698i,0.0043554+0.0050042i,0.024407+0.037547i,-0.0038571+0.0057481i,0.0024595+0.0037919i,0.00938+0.00092659i,0.0013838+0.0085176i,-0.0068121+0.0077213i,-0.0044469+0.0034135i,0.0088814+0.0062125i,-0.0017742+0.0044113i,-0.0059433+0.0059662i,0.0031376+0.0066022i,0.013252+0.01172i,-0.0060178+0.0005107i,0.006321+0.013131i,0.0043096+0.033157i,-0.049338-0.077248i,-0.027175-0.021486i,0.0011486+0.036598i,-0.023935+0.01532i,-0.003308-0.026685i,-0.0034375-0.003128i,-0.022011+0.0090679i
-0.03848-0.0024219i,-0.064056-0.021988i,-0.070684+0.0015943i,-0.042217+0.0076754i,-0.059974+0.011555i,-0.030911+0.043172i,-0.017161+0.030294i,-0.039146+0.025422i,-0.035049+0.009824i,0.0067204-0.0031201i,0.013768-0.0045269i,0.0027728-0.007311i,-0.0041919-0.0077634i,0.0073757-0.0082608i,-0.002773-0.0022915i,0.0029416-0.0004583i,-0.0031822-0.012955i,-0.00066068-0.004722i,0.0052554+0.00059745i,-0.0015106+0.00034904i,0.0024756-0.00078676i,0.0041069-0.00043984i,0.003018+0.0003341i,0.0095482-0.014708i,-4.4987e-05-0.0010378i,-0.0027481-0.002024i,-0.00036872-0.0017723i,-0.00021772-0.003934i,0.00082349-0.00010875i,0.001135+0.0032643i,-0.0053628+0.00030152i,0.00090404+0.0040608i,-0.00026847+0.0042934i,-0.002613+0.00031848i,-0.004651-0.00030027i,0.013809-0.011045i,-0.0032086-6.4591e-05i,-0.0024352+0.0002385i,-0.0056986-0.00023597i,-0.0052897+0.0069811i,0.0042747-4.2763e-05i,0.0032609-0.001252i,-0.0041064-0.0042825i,0.0026869+0.00018893i,-0.033122-0.032783i,0.0063947-0.031401i,-0.047147-0.084016i,-0.037295-0.037884i,-0.047686-0.065366i,-0.046359-0.04081i,-0.089363-0.062786i,-0.077143-0.022825i,-0.054478-0.087356i,-0.0066091-0.04795i,0.021089-0.022227i,-0.0062188+0.0040102i,-0.012789+0.0040523i,-0.0079737+0.0052773i,-0.004225+0.018606i,-0.007643+0.010893i,0.010631+0.034709i,0.0089757-0.0037131i,-0.012278+0.0048143i,-0.0031057+0.0059708i,0.00080551+0.004781i,0.0028792+0.015668i,0.011618-0.003063i,-0.017703-0.010377i,-0.01486-0.011531i,-0.0036472+0.0019487i,0.0043521+0.011493i,0.0035649+0.002494i,0.016889+0.00065865i,0.0067996+0.0037551i,0.036527+0.023066i,-0.001449+0.0047304i,0.00096452+0.0038624i,0.0070236-0.0042857i,0.0056496+0.0054525i,-0.0051007+0.01509i,-0.0013277+0.0076906i,0.013138+0.00092901i,0.0024371+0.0049209i,-0.0042921+0.0095135i,0.0055825+0.0037839i,0.013689+0.0067297i,-0.0058619+0.0018319i,0.0079317+0.0078919i,0.011745+0.027221i,-0.058046-0.069367i,-0.034613-0.0083555i,0.010833+0.024289i,-0.011185+0.022589i,-0.016812-0.025976i,-0.011162-0.0026198i,-0.020395+0.0039855i
-0.03844+0.0020545i,-0.065527-0.0065513i,-0.067909+0.018405i,-0.040145+0.011996i,-0.054292+0.023649i,-0.022064+0.046792i,-0.011664+0.027911i,-0.034063+0.028566i,-0.029592+0.015459i,0.0049888-0.0054878i,0.0071256-0.0098503i,0.00044949-0.0049794i,-0.0049581-0.0043161i,0.002882-0.0099431i,-0.0041576-0.00067705i,0.0024847-0.001788i,-0.0037598-0.007596i,-0.0021327-0.0026436i,0.0035629+0.00081665i,-0.00040659+0.00092788i,0.0024947+6.3747e-06i,0.0039307-0.0015819i,0.0030695-0.00059652i,0.0028635-0.015378i,-0.0012159-0.0012437i,-0.0035865-0.0020678i,-0.00067437-0.0015999i,-0.0010507-0.0035314i,0.00080524-0.0010938i,0.0023538+0.0025087i,-0.0055092+0.0014455i,0.002123+0.0028293i,0.0012341+0.0033538i,-0.0025664+0.0016448i,-0.0034831+0.00075143i,0.0073707-0.014i,-0.002283+0.00050572i,-0.00154+0.0010081i,-0.0079145+5.9854e-05i,-0.0024628+0.0085964i,0.0041172-0.0011975i,0.0023168-0.0022286i,-0.003006-0.00043105i,-0.0012631+0.00030938i,-0.039062-0.022628i,0.014177-0.025613i,-0.063232-0.079867i,-0.038533-0.039302i,-0.054117-0.059139i,-0.052645-0.032298i,-0.10048-0.039815i,-0.072105-0.013038i,-0.062496-0.061409i,-0.010213-0.052147i,0.013509-0.032023i,-0.0048129+0.0051794i,-0.0092928+0.0039042i,-0.0037504+0.011295i,0.0040655+0.017434i,0.00086167+0.010145i,0.018959+0.021557i,0.0053459-0.0056446i,-0.011134+0.0096471i,-0.0029864+0.0058492i,0.0016568+0.002915i,0.0068992+0.011674i,0.0052123-0.0054454i,-0.019542+0.00037604i,-0.016563-0.0014081i,-1.7837e-05+0.0022504i,0.0076147+0.0094762i,0.002621+0.0013707i,0.013813-0.010254i,0.0071407-0.0010233i,0.042395+0.0057972i,-0.001212+0.0055312i,0.0027471+0.0033331i,0.0024312-0.0064819i,0.0058785+0.0019974i,0.002488+0.019146i,0.0044968+0.0053984i,0.01016-0.0048686i,0.0047937+0.0015574i,0.00069434+0.014659i,0.0045613+0.0027738i,0.012768+0.0030674i,-0.0071196+0.0037924i,0.0051551+0.0047495i,0.015466+0.021873i,-0.063128-0.062003i,-0.032337+0.0047949i,0.01163+0.01251i,-8.9326e-05+0.015596i,-0.027699-0.019863i,-0.013313+0.0056194i,-0.02357+0.0064497i
-0.038281+0.0073999i,-0.062088+0.0049942i,-0.059445+0.033459i,-0.038445+0.016352i,-0.046619+0.032314i,-0.012632+0.048663i,-0.0084184+0.025592i,-0.029634+0.03268i,-0.02432+0.018224i,0.0018648-0.0064394i,0.00041952-0.008646i,-0.00033219-0.0039594i,-0.0040714-0.0026584i,-0.0011702-0.009815i,-0.0039631+0.0015936i,0.00062342-0.0026618i,-0.002867-0.0062388i,-0.0016565-0.00091404i,0.0029362+0.0001656i,0.00098904+0.0010942i,0.003774-0.00062562i,0.0032919-0.0021955i,0.0029151-0.0014087i,-0.0025237-0.013732i,-0.0015452-0.00052616i,-0.0042696-0.0005697i,-0.0010307-0.001652i,-0.0021609-0.0032087i,0.00028822-0.0016167i,0.0031624+0.00095913i,-0.0051825+0.0031215i,0.0025266+0.0013621i,0.0022033+0.0024572i,-0.0014934+0.0025351i,-0.0035194+0.0016967i,0.0012011-0.01203i,-0.0022941+0.00039809i,-0.00061862+0.0010763i,-0.008156+0.0045255i,0.0015632+0.0091851i,0.0032505-0.0022596i,0.0030168-0.0015706i,-0.0040602-1.3461e-05i,-0.0017968+0.0037454i,-0.03846-0.01277i,0.027527-0.035403i,-0.079597-0.067664i,-0.043636-0.039147i,-0.058139-0.053772i,-0.057195-0.023583i,-0.10086-0.016961i,-0.067794-0.0024237i,-0.059128-0.044895i,-0.014816-0.056294i,0.0012871-0.037359i,-0.0023589+0.0064266i,-0.0096509+0.0016305i,0.0028696+0.011691i,0.0089321+0.012472i,0.0049191+0.0030293i,0.018029+0.0087901i,0.00085618-0.00658i,-0.0074197+0.013539i,-0.0035894+0.0066349i,0.0013641+0.0016421i,0.008397+0.0067387i,0.0030305-0.0033181i,-0.015638+0.0095288i,-0.013674+0.006597i,0.0011767+0.0013675i,0.01144+0.0062856i,0.0020368+0.00088582i,0.0048459-0.014448i,0.0040825-0.0040481i,0.037863-0.011366i,0.00080908+0.0062929i,0.0019719+0.0019432i,-0.001583-0.0055437i,0.005292+0.00051615i,0.01131+0.018718i,0.0050197+0.0014395i,0.007397-0.0068217i,0.0038118-0.00088683i,0.0078313+0.015652i,0.0051934+0.0013219i,0.012628-0.0010792i,-0.0049588+0.0083546i,0.0051097+0.0038579i,0.018547+0.017454i,-0.070319-0.054839i,-0.02606+0.011949i,0.010894+0.0062074i,0.0015174+0.0070456i,-0.034855-0.0092902i,-0.0088805+0.0082036i,-0.022357+0.0095347i
-0.036093+0.012978i,-0.057033+0.013415i,-0.046+0.04321i,-0.035027+0.021498i,-0.037235+0.037819i,-0.0037686+0.048619i,-0.0056889+0.024442i,-0.02378+0.036471i,-0.019329+0.020085i,-0.0010978-0.0063425i,-0.0027998-0.0058657i,-0.00018544-0.0035528i,-0.0042933-0.0016692i,-0.0047888-0.007747i,-0.0032182+0.0030348i,-0.0012796-0.0022719i,-0.0041131-0.0072571i,-0.0010711-0.00051087i,0.0027533-0.00069319i,0.0018581+0.0002537i,0.0038453-0.0021974i,0.0032073-0.0026949i,0.0023834-0.0023658i,-0.0063558-0.011186i,-0.0017277-0.00025098i,-0.0040083+0.00068144i,-0.0018668-0.0012353i,-0.0029429-0.0021932i,-0.00049583-0.001762i,0.002498-0.00097587i,-0.0040377+0.0048487i,0.0021854+0.00044737i,0.0027994+0.0013309i,0.00011921+0.0025213i,-0.0027859+0.0029574i,-0.0011331-0.0085397i,-0.0026139+0.00095272i,0.00016157+0.00053701i,-0.0034097+0.0062379i,0.0054976+0.0071837i,0.0022927-0.0025544i,0.0041785-0.0030015i,-0.0039443+0.0011579i,-1.3862e-05+0.0037433i,-0.03578-0.0080251i,0.027139-0.058905i,-0.089908-0.049495i,-0.047953-0.037316i,-0.062849-0.052647i,-0.058936-0.013907i,-0.098068+0.00075078i,-0.062185+0.0051306i,-0.055197-0.033429i,-0.02276-0.058375i,-0.011714-0.036207i,-0.0001454+0.0058214i,-0.014662+0.0021209i,0.0074575+0.0077753i,0.011007+0.0075647i,0.0034788-0.0027388i,0.012954+0.0023412i,-0.0025532-0.0068077i,-0.0017024+0.01447i,-0.00258+0.0085914i,0.00074384+0.0013356i,0.0061903+0.0038259i,0.0024014-0.0021591i,-0.0085324+0.014474i,-0.0077005+0.012132i,0.0030358-0.00019115i,0.013555-0.00016901i,0.0014077+0.0012342i,-0.0025398-0.012156i,0.0010414-0.0043868i,0.028053-0.021221i,0.0037063+0.0062244i,0.0014054+0.0029785i,-0.0049037-0.0027602i,0.0047456-0.002285i,0.018535+0.012671i,0.0038277-0.0016653i,0.0040325-0.0093053i,0.0021713-0.0023532i,0.012571+0.010666i,0.0047971+0.00089525i,0.0091605-0.0059522i,-0.00052676+0.010334i,0.0057263+0.0014784i,0.02231+0.01284i,-0.076969-0.045877i,-0.019431+0.016721i,0.010205+0.001023i,-0.0007503+0.0033003i,-0.037009+0.0022138i,-0.0069426+0.0073004i,-0.019911+0.011887i
