-0.022927-0.038647i,-0.01061-0.050271i,-0.017214-0.045496i,-0.030482-0.036089i,-0.02958-0.017282i,-0.050513-0.028839i,-0.058538-0.026575i,-0.044672-0.038717i,-0.027355-0.033434i,0.0089272+0.011747i,-0.0072313+0.015889i,-0.0050246+0.014687i,0.0094897+0.022043i,0.00037995+0.0047541i,0.003417+0.0036074i,0.0064063+0.018276i,0.018146+0.03692i,-0.0024115-0.0014994i,-0.0050487-0.0061535i,0.006863+0.0042972i,-0.00026551-0.00070638i,-0.001128+0.0026209i,9.4691e-05-0.00031503i,-0.029478-0.0024326i,-0.0019526-0.0062833i,0.0011492+0.0047179i,0.0032546-7.8339e-05i,-0.00019415+0.00076989i,0.00060135-0.00038001i,-0.0008266-0.0027257i,-0.0017804-0.006013i,-0.004836-0.0048793i,-0.0023919-0.0046036i,0.00246-0.00061196i,0.0020498-0.0030915i,-0.00079812+0.028862i,0.0014271-0.0033254i,0.0028263+0.0007703i,0.0054147+0.0012768i,-0.010097-0.0025346i,-0.004079+6.7094e-05i,0.0052798+7.6532e-05i,0.0063839+8.6906e-05i,-0.0037125+0.0044284i,0.0019152-0.0087159i,-0.011915+0.018028i,0.035683-0.090673i,0.013548-0.070324i,-0.015621-0.059658i,-0.014779-0.056294i,0.03941-0.046136i,0.017088-0.062659i,0.034511-0.055563i,0.030617-0.059941i,0.015572-0.01393i,0.0040358+0.016636i,0.017152-0.025714i,-0.011974+0.0053338i,-0.000559+0.005333i,-0.0055252-0.0011211i,-0.0022903-0.02839i,-0.024736+0.031296i,0.0094885-0.011818i,-0.013433-0.0027344i,-0.00019413-0.0050658i,-0.00095611-0.017154i,-0.0070399+0.004577i,0.0051949+0.006446i,-0.0086561+0.030467i,0.005317+0.0060757i,-0.0048794-0.00080667i,-0.0032664-0.0002606i,-0.012078-0.0076919i,-0.00065267-0.0043457i,-0.017776+0.0090331i,0.00033391-0.010267i,-0.0093807-0.0019262i,-0.0064424-0.0025599i,0.0071909+0.0033867i,-0.0073584+0.0013667i,8.1379e-05+0.00053264i,0.0077399+0.010555i,0.0038148+0.0017781i,-0.009282-0.0096199i,0.0031983+0.0085522i,-0.020633+0.0068794i,0.0081239+0.00071896i,-0.028843-0.0029777i,-0.042877+0.0010199i,0.016425-0.097648i,-0.0017692-0.012394i,-0.052763-0.022728i,-0.023693+0.00091693i,0.017924+0.010348i,-0.025449+0.012496i,-0.018417-0.012761i
-0.030587-0.03538i,-0.017446-0.043208i,-0.024582-0.043938i,-0.037747-0.032693i,-0.027769-0.017465i,-0.057515-0.017338i,-0.06043-0.015014i,-0.050132-0.03035i,-0.030589-0.02771i,0.0086747+0.0076122i,-0.0047744+0.014328i,0.0017901+0.016574i,0.018104+0.015525i,-0.00041608+0.0061644i,0.0040775+0.0022973i,0.010298+0.01283i,0.026042+0.026967i,-0.0013066+0.0019465i,-0.0064039-0.0016279i,0.0056081-0.0019742i,-0.0012026+0.00064551i,-0.0027585+0.0010847i,-0.00017426+8.6897e-06i,-0.017587+0.011603i,-0.0039928-0.0042401i,0.0051176+0.0017122i,0.0024211-0.00032877i,0.00070844+0.0019304i,0.0008997-0.00089135i,-0.0019414-0.0030284i,-0.0021805-0.0049453i,-0.0055275-0.0029335i,-0.0037029-0.0039114i,0.0020142-0.0017349i,0.0010665-0.0021254i,0.0078628+0.024738i,0.00060283-0.0040118i,0.0024163-0.00029768i,0.0079319-0.0010227i,-0.007569-0.00023107i,-0.0036811+0.0030187i,0.0056236-0.00060764i,0.0053474-0.0013155i,-0.0061164+0.0060825i,0.0061339-0.011817i,0.0035094+0.022887i,0.018231-0.097025i,-0.0044707-0.077059i,-0.012059-0.055345i,-0.019255-0.046047i,0.033805-0.064762i,0.013092-0.080804i,0.035567-0.055666i,0.019093-0.068734i,0.0058999-0.0062789i,0.0066357+0.0056345i,0.0058582-0.026644i,-0.0052283+0.01224i,0.00015308-0.0030336i,-0.005491-0.001112i,-0.023136-0.026936i,-0.010526+0.02963i,0.0034084-0.015119i,-0.012868+0.0012407i,-0.0013691-0.0047733i,-0.009464-0.014759i,-0.0078462+0.0083905i,0.0083432+0.0060447i,0.0090787+0.028594i,0.006417+0.0012525i,-0.0042905+0.0018117i,-0.0045754+0.00014763i,-0.015729+0.0019634i,-0.00095856-0.0027888i,-0.033393+0.022659i,-0.0048694-0.007248i,-0.009375+0.0029746i,-0.0081349+0.0014621i,0.0057394-0.0032529i,-0.0072811+0.00315i,0.0012134-0.00044746i,0.0057383+0.0036255i,0.0036153+0.00081602i,-0.014072-0.0012231i,0.0037556+0.0042711i,-0.014315+0.014451i,0.0066859-0.0032542i,-0.027206+0.0083934i,-0.043186+0.013815i,0.00029146-0.10011i,-0.0060639-0.015713i,-0.059433-0.0078705i,-0.016641-0.0017351i,0.017736+0.0043634i,-0.020113+0.019317i,-0.027279-0.01685i
-0.035813-0.029347i,-0.019753-0.042653i,-0.03095-0.04205i,-0.043739-0.025592i,-0.028519-0.019373i,-0.060878-0.0048112i,-0.063285-0.0019236i,-0.055708-0.021342i,-0.03476-0.022374i,0.0080026+0.0052626i,-0.0014733+0.016929i,0.0086459+0.013144i,0.020473+0.0059139i,0.0013583+0.0074698i,0.004492+0.0011167i,0.011478+0.0071127i,0.034207+0.018128i,0.0013974+0.0021138i,-0.0051058+0.0021486i,0.004795-0.0038044i,-0.0013235+0.0020608i,0.00055121+0.00245i,-0.00014084+0.00021893i,-0.0070253+0.015741i,-0.0034388-0.0024601i,0.0056397-0.0027394i,0.0022372-0.0014594i,0.0020186+0.0015706i,4.5633e-05-0.0013413i,-0.0028106-0.002393i,-0.002866-0.0046694i,-0.0060171-0.00051062i,-0.0044028-0.0024295i,0.0011272-0.0028058i,0.0020804-0.0044153i,0.014566+0.017091i,-0.0006313-0.0036466i,0.0021702-0.0012771i,0.0074002-0.0062284i,-0.0073119+0.0012646i,-0.0017241+0.0048025i,0.0059536-0.0015335i,0.0051983-0.0023i,-0.0043055+0.0094047i,0.0069239-0.01965i,0.019537+0.018742i,0.00082194-0.098929i,-0.022054-0.072156i,-0.0073241-0.061531i,-0.018225-0.044634i,0.022903-0.080039i,-0.0074778-0.096328i,0.040216-0.062574i,0.0059143-0.069171i,0.0056851-0.0023434i,0.0052413+0.0010502i,-0.0030985-0.027562i,0.0028995+0.01089i,-0.0069248-0.0051493i,-0.0043876-0.003266i,-0.038196-0.014926i,-0.0017837+0.028009i,-0.0039683-0.014755i,-0.011006+0.0044533i,-0.004097-0.004192i,-0.015961-0.0099006i,-0.002988+0.014396i,0.01197+0.00048793i,0.017634+0.017257i,0.0055186-0.00032639i,-0.003442+0.0015814i,-0.0048284+0.0018617i,-0.012147+0.011198i,-0.0041804-0.0024525i,-0.023267+0.029864i,-0.0063089-0.0031685i,-0.0069644+0.0070814i,-0.0084604+0.0083417i,0.00030345-0.0052043i,-0.0058229+0.0051844i,0.00072264-0.0014345i,0.003382+0.0026989i,0.0035269-0.00066677i,-0.0094731+0.006744i,0.0033241+0.0015543i,-0.0072334+0.016496i,0.0033187-0.0062448i,-0.021156+0.015911i,-0.034619+0.026856i,-0.011228-0.09765i,-0.01218-0.01365i,-0.057433+0.0072146i,-0.021066-0.0089208i,0.016602-0.002888i,-0.0093966+0.019907i,-0.033589-0.010907i
-0.038903-0.02306i,-0.02587-0.045126i,-0.038057-0.040914i,-0.045424-0.017796i,-0.032233-0.021766i,-0.060424+0.0089886i,-0.060326+0.017165i,-0.059822-0.0084203i,-0.038651-0.015425i,0.0074551+0.0035263i,0.0050747+0.017255i,0.011377+0.0075265i,0.01908-0.0028679i,0.0041085+0.0086386i,0.0038707-0.0009724i,0.010292+0.0012731i,0.03887+0.0021459i,0.0026388+0.00044576i,-0.0038622+0.0048126i,0.0022917-0.0050914i,0.00024474+0.0035869i,0.0023462+0.0034488i,-0.00040409+0.00069326i,0.0019405+0.018624i,-0.0036526-0.001902i,0.0034941-0.0053168i,0.0018653-0.0022355i,0.0021743+5.4805e-05i,-0.0002824-0.00065328i,-0.0041054-0.0016236i,-0.0035175-0.0039197i,-0.005149+0.0016188i,-0.0052983-0.00055932i,-9.3495e-05-0.0033409i,-0.001253-0.0054206i,0.015285+0.0092408i,-0.0017584-0.0035877i,0.0014318-0.0020905i,0.0039314-0.0088224i,-0.0047526+0.0038692i,0.00040197+0.005127i,0.0040602-0.0027193i,0.0043388-0.0041113i,-0.00041936+0.010227i,0.0062284-0.026256i,0.033253+0.0080884i,-0.015713-0.095426i,-0.031227-0.062747i,-0.012581-0.067705i,-0.020945-0.044452i,0.0052774-0.095833i,-0.034414-0.096833i,0.037868-0.081276i,-0.0040278-0.066873i,0.0062905+0.00014716i,0.0020042-0.0033574i,-0.014135-0.021223i,0.0041623+0.0030212i,-0.009511-0.0016527i,-0.0088859-0.005705i,-0.043987+0.0051977i,0.0088303+0.022658i,-0.0091504-0.011594i,-0.0076339+0.0060136i,-0.0054185-0.0018683i,-0.020119-0.0016787i,0.0049155+0.012613i,0.012206-0.0058051i,0.015916-0.0091076i,0.0055663-0.0024807i,-0.0040793+0.0012297i,-0.0041778+0.0042907i,-0.0061684+0.017207i,-0.0058143+0.0017781i,-0.019367+0.037261i,-0.0062883-0.00065257i,-0.0019095+0.009586i,-0.001982+0.01277i,-0.0042973-0.0028458i,-0.0024396+0.0045718i,0.00016276-0.0010442i,0.0025644+0.0028196i,0.0017097-0.002663i,-0.0037961+0.005628i,4.9939e-05-0.0010512i,-0.0023084+0.018197i,-0.0012441-0.0060112i,-0.013124+0.020124i,-0.023793+0.031523i,-0.022378-0.095959i,-0.01017-0.0087358i,-0.051603+0.022967i,-0.028934-0.0058591i,0.013289-0.0091415i,-0.00065206+0.015331i,-0.033151-0.0029749i
-0.040216-0.016512i,-0.036376-0.042754i,-0.048895-0.037874i,-0.045943-0.011473i,-0.040541-0.022387i,-0.05633+0.021678i,-0.045922+0.02882i,-0.056756+0.0046175i,-0.037197-0.0070099i,0.0069764+0.0019226i,0.011066+0.012198i,0.012219+0.0036735i,0.013834-0.0094103i,0.0087652+0.0071825i,0.0024818-0.00243i,0.0065925-0.001292i,0.030261-0.015883i,0.0022885-0.00078178i,-8.9644e-05+0.0088652i,0.00020489-0.0045419i,0.0021815+0.0041174i,0.003162+0.0019184i,-0.00038972+0.0016327i,0.01402+0.014965i,-0.0042665+0.00022713i,0.0013695-0.0057163i,0.0006056-0.0028092i,0.0020718+0.00022177i,-0.00016955-0.00034085i,-0.0049677+0.00097173i,-0.004544-0.0026841i,-0.0040326+0.0032986i,-0.0044935+0.0011686i,-0.0018924-0.0029273i,-0.0031614-0.003658i,0.015975+0.0058538i,-0.0023373-0.0034424i,-1.9331e-05-0.0025148i,0.00077397-0.0089785i,-0.0028705+0.0016323i,0.0023538+0.0047119i,0.0018075-0.0017521i,0.0029151-0.005262i,0.0018475+0.0087359i,0.0010322-0.036899i,0.042358-0.0095434i,-0.025642-0.087314i,-0.036372-0.054402i,-0.019882-0.072202i,-0.023475-0.043003i,-0.023005-0.10443i,-0.056973-0.086116i,0.018666-0.096726i,-0.015388-0.060539i,0.009452+0.0027967i,-0.0028627-0.0051727i,-0.022904-0.00094069i,0.00056081-0.00025889i,-0.010773+0.00036117i,-0.015784-0.0020513i,-0.038484+0.021405i,0.012847+0.012696i,-0.013069-0.0072713i,-0.0056873+0.0060327i,-0.0060235+0.0014226i,-0.019511+0.0086209i,0.0053912+0.0072195i,0.0096355-0.010827i,0.026294-0.0096251i,0.0035946-0.0061075i,-0.0063401+0.0035256i,-0.0017406+0.0063199i,0.0024092+0.018832i,-0.0042916+0.0064756i,-0.014337+0.046088i,-0.0070956+0.00065343i,0.0020994+0.0065107i,0.0045253+0.011056i,-0.0064444+0.0013833i,-0.0035968+0.0015301i,-0.00092409-0.0012826i,0.0012034+0.0052396i,-0.0024218-0.0029984i,-0.0035183+0.0025775i,-0.0029348+0.0015589i,0.004572+0.020388i,-0.0045257-0.0043409i,-0.0040973+0.020614i,-0.016211+0.03423i,-0.03622-0.090699i,-0.0052568-0.012435i,-0.040285+0.039084i,-0.031804+0.0040972i,0.0074582-0.013036i,0.00070177+0.0077998i,-0.030752-0.0009369i
-0.040024-0.011142i,-0.04281-0.037814i,-0.060797-0.027826i,-0.046754-0.0054901i,-0.051733-0.017008i,-0.048192+0.032104i,-0.033189+0.031604i,-0.051042+0.014247i,-0.035463-0.003i,0.0060881+0.0013327i,0.011889+0.0068972i,0.012348-0.0018388i,0.0070642-0.013132i,0.011665+0.0024634i,0.00050656-0.0030671i,0.0037376-0.0014278i,0.015054-0.022697i,0.0032028-0.00144i,0.005529+0.0079054i,-0.0013636-0.0033091i,0.0040972+0.0020309i,0.0030274+0.0010034i,0.00099041+0.0023629i,0.022602+0.001989i,-0.0021267+0.0026111i,-0.0016452-0.0058443i,-0.00081725-0.00095442i,0.0031078-0.0010881i,-0.00019394-0.00063898i,-0.0028045+0.0039719i,-0.0045079-0.0017442i,-0.0029044+0.0040907i,-0.0040851+0.0029639i,-0.0029535-0.0010893i,-0.0027222-0.0023079i,0.017623+0.0011905i,-0.0036636-0.0027833i,-0.0019194-0.0026572i,-0.0027929-0.0093268i,-0.0046385+0.00038892i,0.0053945+0.00070828i,0.0011956+0.00017606i,7.0431e-08-0.0060433i,0.0037795+0.0074936i,-0.010744-0.042087i,0.033827-0.034003i,-0.028675-0.080568i,-0.041051-0.047172i,-0.029567-0.072218i,-0.025801-0.044471i,-0.052542-0.095834i,-0.076192-0.069055i,-0.0014117-0.10051i,-0.01671-0.046211i,0.018437+0.0061871i,-0.0064202-0.0027263i,-0.027997-0.0020245i,-0.00099833-0.00054532i,-0.014978+0.004024i,-0.014218+0.0046105i,-0.029141+0.036339i,0.010961+0.0054841i,-0.012366-0.00013395i,-0.0071249+0.0056759i,-0.0030293+0.0048533i,-0.012299+0.01528i,0.0064211+0.008089i,0.0046438-0.018232i,0.015017-0.021903i,-0.0031118-0.0090275i,-0.0063795+0.0078501i,9.6506e-05+0.0060713i,0.01023+0.01631i,0.00064147+0.0082299i,0.0039261+0.047767i,-0.0081288+0.0034052i,0.0019249+0.0052336i,0.0089929+0.0060998i,-0.0040135+0.0068829i,-0.005935+0.0041076i,-0.0033367-0.00063606i,0.0043437+0.0062282i,-0.0031599+0.0024967i,-0.0057351+0.0025911i,-0.00029081+0.0063063i,0.010617+0.015874i,-0.0065317-0.0028021i,0.001282+0.01723i,-0.0056208+0.03557i,-0.043205-0.080605i,-0.012056-0.023118i,-0.016146+0.045341i,-0.027381+0.011762i,0.0035153-0.019864i,0.00040151+0.0014862i,-0.030259+0.0052036i
-0.039396-0.0061213i,-0.053558-0.034243i,-0.068009-0.013359i,-0.045303+0.0020833i,-0.059571-0.0041379i,-0.038881+0.038464i,-0.023873+0.03126i,-0.04474+0.020863i,-0.036641+0.0014854i,0.0069422-0.00021226i,0.013829+0.0032419i,0.0086491-0.0067333i,-0.0006262-0.01217i,0.011759-0.0038427i,-0.0011496-0.0029985i,0.0021274-0.0003673i,0.002367-0.020229i,0.0022699-0.0037236i,0.0073137+0.0037772i,-0.0021301-0.0011029i,0.0039972-0.00011973i,0.0042506+0.00093668i,0.0025344+0.001673i,0.017719-0.0098261i,0.0013218+0.0010995i,-0.0031416-0.0028518i,0.00013669-0.0014189i,0.0047171-0.0029065i,-9.4559e-05-0.00026763i,-0.00025828+0.0042888i,-0.0048437-0.0010031i,-0.0008978+0.0046087i,-0.0020184+0.0045131i,-0.0025916+1.0534e-05i,-0.0035752-0.0027789i,0.016802-0.0049644i,-0.0038647-0.00090221i,-0.0027257-0.0012861i,-0.0055478-0.0064389i,-0.007025+0.0029495i,0.0041379+0.00055975i,0.003141-0.0004764i,-0.0021312-0.0050969i,0.0054223+0.0033614i,-0.023598-0.04043i,0.015121-0.040578i,-0.035258-0.082205i,-0.039798-0.039458i,-0.037781-0.070069i,-0.035205-0.046966i,-0.071992-0.080361i,-0.082954-0.043328i,-0.026463-0.10038i,-0.0099367-0.042823i,0.02654-0.008071i,-0.0077034+0.0011833i,-0.016576+0.00044937i,-0.0048789+4.7956e-05i,-0.013171+0.013097i,-0.011794+0.0071845i,-0.0073712+0.043188i,0.010613+0.0021552i,-0.011126+0.0018295i,-0.0043221+0.0070271i,-0.0013337+0.0043123i,-0.0048776+0.018686i,0.010998+0.0051676i,-0.0078514-0.019337i,-0.0040626-0.021811i,-0.0062238-0.0019594i,-0.002408+0.011602i,0.0031045+0.004923i,0.016582+0.007661i,0.0041186+0.0049091i,0.025643+0.042078i,-0.0044393+0.006661i,0.0024297+0.0031552i,0.0094383+0.00058087i,0.0012195+0.0084098i,-0.0071974+0.0069816i,-0.0041125+0.0031282i,0.0082349+0.0053821i,-0.0012713+0.004713i,-0.0069873+0.0051351i,0.0034491+0.0067085i,0.012586+0.010011i,-0.0065604+0.00019185i,0.0064944+0.01281i,0.0056116+0.032984i,-0.051206-0.077296i,-0.027736-0.021708i,0.0014677+0.035981i,-0.023982+0.016697i,-0.0029022-0.026695i,-0.0038066-0.0029961i,-0.021659+0.008175i
-0.038601-0.0020633i,-0.063744-0.022028i,-0.070766+0.0022959i,-0.042314+0.0067837i,-0.05938+0.010897i,-0.030684+0.042634i,-0.016971+0.029944i,-0.038521+0.025399i,-0.035215+0.0091201i,0.0067585-0.0026895i,0.013863-0.0047383i,0.0027771-0.0071351i,-0.0044847-0.0078477i,0.0075922-0.0081553i,-0.0029962-0.0021545i,0.0029169-0.00022377i,-0.0045789-0.014131i,-0.0003206-0.0037744i,0.005733+0.0012325i,-0.0014753+0.0003006i,0.0024385-0.00094523i,0.0044399-0.0005827i,0.0029845+0.00042892i,0.0099952-0.014709i,0.00019346-0.0010202i,-0.0027689-0.0023673i,-0.00017349-0.0017427i,-0.00039073-0.0033446i,0.0009729-8.7089e-05i,0.0012062+0.0031375i,-0.0054774+3.7153e-05i,0.00093516+0.0040089i,-0.00021581+0.0047049i,-0.0024827+0.00014653i,-0.0046555+0.0001017i,0.013315-0.010498i,-0.0032446-3.2922e-05i,-0.0021988+0.00020918i,-0.0052055-0.00087499i,-0.0056569+0.0063263i,0.003745-0.00048544i,0.0039664-0.0013778i,-0.0032887-0.0044444i,0.0029121+0.0001329i,-0.033219-0.032647i,0.0064306-0.031857i,-0.046177-0.082301i,-0.03731-0.037932i,-0.046525-0.066037i,-0.045904-0.041714i,-0.08831-0.063281i,-0.07687-0.023477i,-0.053351-0.087205i,-0.0076078-0.047463i,0.023124-0.019791i,-0.0063113+0.0043829i,-0.014356+0.0042189i,-0.0079238+0.0048664i,-0.0050335+0.019103i,-0.0082661+0.011187i,0.011726+0.034944i,0.0094332-0.0034182i,-0.011874+0.0051356i,-0.0029262+0.0057787i,0.0009339+0.0048137i,0.0029438+0.016112i,0.011904-0.0028681i,-0.0172-0.010141i,-0.014146-0.011936i,-0.0032704+0.0024121i,0.0040923+0.01159i,0.0039089+0.0025747i,0.018361+0.00014778i,0.0065887+0.0040642i,0.037932+0.024072i,-0.001503+0.0051674i,0.00097104+0.0034733i,0.007453-0.0044259i,0.0057002+0.0052705i,-0.0058047+0.014548i,-0.0014371+0.0073769i,0.012626+0.00078461i,0.0028962+0.0047107i,-0.0060125+0.0093242i,0.0059254+0.0037588i,0.013019+0.0059819i,-0.0065157+0.0016664i,0.0080598+0.0072446i,0.013011+0.026532i,-0.059518-0.070219i,-0.036284-0.0082232i,0.010637+0.023377i,-0.010867+0.022689i,-0.015414-0.027383i,-0.011339-0.0022361i,-0.019683+0.00325i
-0.038401+0.0023105i,-0.065443-0.0061623i,-0.067456+0.019578i,-0.040694+0.01148i,-0.053906+0.022794i,-0.021833+0.046052i,-0.01156+0.02764i,-0.033563+0.028622i,-0.029575+0.015128i,0.0049793-0.0051122i,0.0074044-0.01027i,0.00032187-0.0047544i,-0.0050776-0.0043505i,0.003163-0.0097564i,-0.0041026-0.00039059i,0.0024991-0.0016111i,-0.0049421-0.0082171i,-0.0014638-0.002558i,0.0034875+0.0012204i,-0.00046757+0.0010034i,0.0024745-3.099e-05i,0.0041172-0.0017117i,0.0031423-0.00058037i,0.0032658-0.015142i,-0.00090796-0.0010656i,-0.0034631-0.0023929i,-0.00061242-0.0017512i,-0.00093609-0.0034263i,0.0010235-0.0013493i,0.0023464+0.0023289i,-0.0055963+0.0014094i,0.0019986+0.002744i,0.0014748+0.0035733i,-0.0026989+0.0015271i,-0.0034552+0.00085159i,0.0072534-0.01413i,-0.0022875+0.00043119i,-0.0016021+0.00082376i,-0.0071241+0.0020265i,-0.0028971+0.0084062i,0.0034969-0.001675i,0.0029488-0.0027559i,-0.0035711-0.00019658i,-0.0013385+0.00034005i,-0.038655-0.022775i,0.013742-0.02613i,-0.060981-0.079086i,-0.038738-0.03911i,-0.053211-0.060219i,-0.052222-0.032961i,-0.099774-0.04061i,-0.071852-0.013508i,-0.062943-0.060954i,-0.010394-0.05118i,0.015947-0.030942i,-0.0046797+0.0054924i,-0.0096155+0.0040086i,-0.004495+0.011095i,0.0037419+0.018251i,0.00057836+0.010102i,0.018559+0.019836i,0.0060564-0.0061121i,-0.010454+0.010883i,-0.0026584+0.0053265i,0.0018006+0.0029269i,0.0074424+0.012449i,0.0052302-0.0052102i,-0.019329+0.00075974i,-0.01599-0.0019109i,0.0005855+0.0022946i,0.00682+0.0098528i,0.0026755+0.001371i,0.013782-0.0106i,0.0074305-0.00088555i,0.04278+0.0046887i,-0.0013869+0.0055896i,0.0030642+0.0030293i,0.0022607-0.0072905i,0.0058464+0.0018518i,0.002146+0.018769i,0.0045747+0.0056372i,0.01004-0.0053085i,0.0050498+0.0013955i,-0.0021527+0.014156i,0.0049077+0.0029941i,0.012057+0.0029187i,-0.0079578+0.0034625i,0.0051967+0.0040526i,0.016512+0.021372i,-0.063532-0.061508i,-0.032655+0.0068843i,0.011846+0.012375i,1.1453e-05+0.015585i,-0.028553-0.020935i,-0.013251+0.005689i,-0.022915+0.0050538i
-0.038123+0.0076056i,-0.061955+0.0053457i,-0.058605+0.033482i,-0.039009+0.016256i,-0.046473+0.031499i,-0.012829+0.047834i,-0.0082518+0.025377i,-0.02904+0.032243i,-0.024431+0.017821i,0.0019886-0.0060151i,0.00058274-0.0096207i,-0.00039087-0.0036198i,-0.0042624-0.0027289i,-0.0010923-0.0093811i,-0.0038636+0.001613i,0.00077856-0.0025909i,-0.004256-0.0063615i,-0.0012796-0.0010702i,0.0027591+0.0001493i,0.00095602+0.0010851i,0.0036472-0.00062779i,0.0034129-0.0021974i,0.0029918-0.0014867i,-0.0020506-0.013459i,-0.001287-0.00066054i,-0.0047087-0.001174i,-0.0009428-0.0017061i,-0.0022984-0.0032763i,0.00034879-0.0017895i,0.0033249+0.00088129i,-0.0052394+0.0033311i,0.0024666+0.0014732i,0.0021102+0.0024154i,-0.0015923+0.0025918i,-0.0033684+0.0017596i,0.00061233-0.01123i,-0.0025102+4.5017e-05i,-0.0006546+0.0010701i,-0.0042459+0.0049657i,0.0010641+0.0093884i,0.0028975-0.0021482i,0.0030424-0.0030938i,-0.0040726+0.00020464i,-0.0018463+0.0039838i,-0.03821-0.013254i,0.026735-0.036051i,-0.078007-0.068481i,-0.043289-0.038501i,-0.05754-0.054941i,-0.056853-0.024337i,-0.10075-0.017875i,-0.067469-0.0024147i,-0.058686-0.044351i,-0.014755-0.055583i,0.0021625-0.036877i,-0.0019237+0.0067375i,-0.010135+0.0010377i,0.0022416+0.01188i,0.0091682+0.012793i,0.0045971+0.0032178i,0.016876+0.0080323i,0.001456-0.0075857i,-0.0051489+0.013538i,-0.0034309+0.0064722i,0.0013731+0.00163i,0.0090088+0.0070181i,0.0030032-0.00317i,-0.015533+0.010141i,-0.012642+0.0061001i,0.0017172+0.0010417i,0.010742+0.0075701i,0.0020443+0.0010347i,0.0041512-0.014216i,0.0043349-0.0040208i,0.038112-0.01073i,0.00070548+0.0066767i,0.0020249+0.0017491i,-0.0020617-0.0052286i,0.0054746+0.00052603i,0.011522+0.018407i,0.0053088+0.0011533i,0.0076281-0.0074523i,0.0038115-0.0010138i,0.0045245+0.016041i,0.0054424+0.0015752i,0.012426-0.0013056i,-0.0060823+0.0087619i,0.0048996+0.0032288i,0.019151+0.016242i,-0.070058-0.055251i,-0.024668+0.012889i,0.011397+0.0058326i,0.0011135+0.0065906i,-0.036811-0.0094354i,-0.0090102+0.0076607i,-0.022393+0.0083321i
-0.036123+0.012888i,-0.056855+0.013824i,-0.045534+0.042366i,-0.035505+0.021438i,-0.037087+0.037172i,-0.0039341+0.048036i,-0.005565+0.024092i,-0.023613+0.035803i,-0.0197+0.019917i,-0.00096163-0.0062406i,-0.0031464-0.0064444i,-0.00031826-0.0032792i,-0.0042636-0.0016125i,-0.0044789-0.0074486i,-0.0032593+0.0029565i,-0.0012-0.0023471i,-0.0056074-0.0064749i,-0.00092813-0.00092415i,0.002387-0.00088125i,0.0019131+0.00021763i,0.0038443-0.0020728i,0.003373-0.0026491i,0.0023848-0.0023495i,-0.0062984-0.011468i,-0.0016309-0.00046647i,-0.0044193+0.00052553i,-0.0017783-0.0011993i,-0.0031219-0.0021238i,-0.00033371-0.0018778i,0.0026736-0.0012319i,-0.0041602+0.0049959i,0.0021097+0.00042859i,0.0025438+0.0012744i,0.00013719+0.0024908i,-0.0025505+0.0030719i,-0.00079029-0.0078347i,-0.0029758+0.00032011i,0.00020947+0.00050388i,-0.0011931+0.0046056i,0.00512+0.0078298i,0.0023238-0.0025272i,0.0024753-0.0045838i,-0.0037738+0.00094129i,0.00017429+0.0037372i,-0.035355-0.0081739i,0.025995-0.059371i,-0.089589-0.050806i,-0.046668-0.036864i,-0.062613-0.053789i,-0.058788-0.014777i,-0.098126-1.4527e-05i,-0.061347+0.0052732i,-0.055117-0.033906i,-0.022698-0.057778i,-0.012696-0.037559i,-9.3492e-05+0.0057416i,-0.016046+0.0016347i,0.0070997+0.0080351i,0.010624+0.0067437i,0.0035353-0.0026602i,0.012606+0.0025575i,-0.0031289-0.0075996i,-0.00049004+0.013348i,-0.0019388+0.0082351i,0.0007525+0.0013684i,0.006467+0.003139i,0.002765-0.0019764i,-0.008403+0.014423i,-0.0069624+0.010713i,0.0034249-0.00088964i,0.01368+0.0013408i,0.0015752+0.0014492i,-0.003639-0.011624i,0.0012942-0.0046299i,0.031372-0.022839i,0.0039907+0.0061166i,0.001509+0.0029217i,-0.0049055-0.0020924i,0.0049949-0.0022687i,0.019789+0.012378i,0.0039177-0.0018937i,0.004432-0.0097494i,0.0020858-0.0022748i,0.0092548+0.010703i,0.0052639+0.0010707i,0.0082351-0.0058551i,-0.00081415+0.011105i,0.0052215+0.0011152i,0.022448+0.01188i,-0.076493-0.046293i,-0.018031+0.017437i,0.0099184+0.00044583i,-0.0013494+0.0032786i,-0.038512+0.0037244i,-0.0073083+0.006918i,-0.02017+0.01153i
