-0.023628-0.038984i,-0.011626-0.049709i,-0.016742-0.045362i,-0.030778-0.035883i,-0.029563-0.01663i,-0.050458-0.028802i,-0.058488-0.02631i,-0.044464-0.039094i,-0.029139-0.036573i,0.0071238+0.013013i,-0.0060415+0.016047i,-0.0050567+0.014593i,0.0098694+0.02192i,0.00017433+0.0045744i,0.0034971+0.0032557i,0.0065103+0.018037i,0.026917+0.039287i,-0.0025296-0.00085768i,-0.0046314-0.0060705i,0.008285+0.0017343i,-5.8576e-05-0.00086417i,-0.0010194+0.0015222i,0.0002467-0.00043838i,-0.030828-0.0028321i,-0.0012592-0.0059031i,0.0013109+0.0046017i,0.0038499-0.00045153i,-0.0002646+0.00067823i,0.00045364-0.00056421i,-0.00022381-0.0024704i,-0.0015614-0.0062868i,-0.0044895-0.0040373i,-0.0018049-0.0051977i,0.0020431-0.00079364i,0.002447-0.0028259i,0.002671+0.026226i,0.0021072-0.0026962i,0.0029263+0.00059059i,0.0061102+0.0010343i,-0.010223-0.003565i,-0.0032831+0.00096137i,0.0069411+0.0017742i,0.0048223+0.00016618i,-0.0039298+0.0058323i,0.0015918-0.0076824i,-0.01198+0.017784i,0.035644-0.090882i,0.012511-0.07005i,-0.015376-0.059596i,-0.016461-0.05566i,0.040429-0.046153i,0.017356-0.062644i,0.034704-0.056027i,0.031305-0.059945i,0.015189-0.013778i,0.0044729+0.016671i,0.016791-0.026667i,-0.011717+0.0057545i,-0.00066462+0.0052961i,-0.0055149-0.0012549i,-0.0021339-0.028957i,-0.024152+0.031869i,0.0098321-0.011354i,-0.013105-0.0025297i,-0.0002221-0.0050337i,-0.0011808-0.016129i,-0.0077819+0.0047353i,0.0052013+0.0062501i,-0.0081416+0.031059i,0.0050017+0.0058245i,-0.0050148-0.00064184i,-0.00329-0.00029088i,-0.012152-0.0073848i,-0.00047729-0.0042655i,-0.029719+0.0062112i,0.00014789-0.0098689i,-0.0093408-0.0020089i,-0.0060347-0.0029272i,0.0068912+0.0031264i,-0.0073901+0.0010019i,0.00029653+0.00060043i,0.0057341+0.010593i,0.0040512+0.001328i,-0.009402-0.0096936i,0.0029282+0.0080006i,-0.02121+0.0062771i,0.0083363+0.00080143i,-0.029153-0.0035839i,-0.042127+0.0024136i,0.019287-0.097148i,-0.0023688-0.012432i,-0.053084-0.022181i,-0.023078+0.0011838i,0.017978+0.010666i,-0.024931+0.012926i,-0.018099-0.013152i
-0.031501-0.035579i,-0.018236-0.041923i,-0.024091-0.043723i,-0.03793-0.032426i,-0.027829-0.016953i,-0.057511-0.017381i,-0.060555-0.014533i,-0.050319-0.030901i,-0.033795-0.028828i,0.0078693+0.0094112i,-0.003604+0.014039i,0.0017721+0.016543i,0.018218+0.014875i,-0.00072373+0.0060266i,0.0039646+0.0018989i,0.010083+0.012486i,0.033609+0.024364i,-0.00098927+0.002466i,-0.0060579-0.0018016i,0.0079585-0.0025568i,-0.00093495+0.00046926i,-0.0011616+0.0022086i,-5.3184e-05-0.00014378i,-0.018546+0.012445i,-0.0032357-0.0040522i,0.0051143+0.0015972i,0.0027173-0.00060311i,0.0005677+0.0020578i,0.00071671-0.0010122i,-0.0012356-0.0030439i,-0.00197-0.0052086i,-0.0050718-0.0022455i,-0.0033569-0.0045678i,0.0016634-0.0017459i,0.0016211-0.0020017i,0.010601+0.02176i,0.0017702-0.0034426i,0.0025061-0.0006313i,0.0082974-0.001682i,-0.0073324-0.0010716i,-0.0024063+0.0031035i,0.0059681+0.0011412i,0.0044535-0.00053873i,-0.005251+0.0080234i,0.006013-0.01043i,0.0035035+0.023285i,0.018325-0.097001i,-0.0052339-0.076776i,-0.01199-0.055295i,-0.020471-0.045371i,0.03504-0.065141i,0.013314-0.08101i,0.035522-0.055654i,0.019689-0.069021i,0.005531-0.0062858i,0.0068867+0.0054533i,0.0053018-0.027487i,-0.0082385+0.01166i,-0.00029615-0.0026002i,-0.0056729-0.0012537i,-0.023394-0.027764i,-0.010191+0.030048i,0.0035234-0.014924i,-0.013404+0.00098655i,-0.0014687-0.004571i,-0.0088069-0.01431i,-0.0079323+0.0087949i,0.0082677+0.0057663i,0.010695+0.027759i,0.0060731+0.0011985i,-0.0043049+0.0019306i,-0.0045388+0.00014181i,-0.016382+0.0022261i,-0.00096437-0.0027184i,-0.032196+0.013757i,-0.0049679-0.0069207i,-0.0096784+0.0029896i,-0.0076325+0.00092823i,0.0056538-0.0030859i,-0.0072943+0.0028305i,0.0014143-0.00043546i,0.0051283+0.0041959i,0.0038131+0.00034202i,-0.013844-0.0013925i,0.0034721+0.0044902i,-0.01544+0.014523i,0.0065821-0.003254i,-0.02779+0.0078036i,-0.041465+0.014675i,0.0018426-0.097615i,-0.0065465-0.015583i,-0.05894-0.0068621i,-0.016221-0.0019685i,0.01776+0.0046584i,-0.019076+0.019272i,-0.026238-0.017625i
-0.036586-0.029185i,-0.020319-0.041101i,-0.030578-0.04225i,-0.0438-0.025245i,-0.028522-0.018908i,-0.061014-0.0049226i,-0.063155-0.0012833i,-0.056069-0.021653i,-0.037131-0.022767i,0.0081019+0.006704i,-0.00060658+0.016024i,0.0085047+0.013138i,0.020576+0.0049847i,0.00084844+0.0073741i,0.0042392+0.00070384i,0.011057+0.0070516i,0.037867+0.012651i,0.002177+0.0024052i,-0.0047292+0.0017165i,0.0058029-0.0047898i,-0.0012016+0.0016578i,-0.00011296+0.0034515i,-4.5941e-05+0.00013292i,-0.0070327+0.016741i,-0.002867-0.0024958i,0.0055143-0.0024948i,0.0025009-0.0015748i,0.0022803+0.0017803i,-9.5438e-05-0.001321i,-0.0021805-0.0026458i,-0.0028129-0.0049166i,-0.005237-0.00031611i,-0.0048628-0.0030493i,0.00097155-0.0026901i,0.0026244-0.0043439i,0.015784+0.014536i,0.00059096-0.0036394i,0.0020462-0.0016268i,0.0075419-0.0067756i,-0.0072278+0.0001876i,-0.00056299+0.0041945i,0.0057615-0.00057541i,0.0047002-0.0013344i,-0.0026484+0.010673i,0.0068962-0.018071i,0.019677+0.018826i,0.0012974-0.099001i,-0.022986-0.072211i,-0.007412-0.061223i,-0.019017-0.044102i,0.023648-0.080681i,-0.0076744-0.095946i,0.040786-0.062404i,0.0063321-0.069222i,0.005027-0.0025866i,0.0053794+0.00096035i,-0.0030845-0.02865i,0.002341+0.010365i,-0.0073119-0.004558i,-0.0045391-0.0030257i,-0.038672-0.016126i,-0.001013+0.028395i,-0.0034522-0.014561i,-0.011408+0.0049814i,-0.0040834-0.0039176i,-0.015848-0.0098642i,-0.002801+0.014009i,0.011901+0.00029056i,0.020826+0.01601i,0.0048999-0.00078027i,-0.0036537+0.0014347i,-0.0047607+0.0018222i,-0.012709+0.011422i,-0.0041344-0.0023035i,-0.025894+0.02383i,-0.0063891-0.0030086i,-0.007256+0.0073098i,-0.0075935+0.0072319i,0.00033811-0.0053843i,-0.0055108+0.0048751i,0.00040193-0.0014239i,0.002709+0.002885i,0.003818-0.0013075i,-0.0091271+0.0058075i,0.0030113+0.0016307i,-0.008771+0.017062i,0.0027724-0.0063822i,-0.021855+0.015692i,-0.033827+0.026358i,-0.010852-0.095501i,-0.012844-0.013474i,-0.057242+0.0079358i,-0.020715-0.0090672i,0.016729-0.0029346i,-0.0087285+0.019657i,-0.031802-0.012278i
-0.039513-0.022622i,-0.025792-0.043069i,-0.038135-0.040999i,-0.045142-0.017382i,-0.032271-0.021499i,-0.060431+0.0088721i,-0.060077+0.017648i,-0.060413-0.0085299i,-0.041035-0.014379i,0.0079224+0.0047411i,0.0054715+0.015924i,0.01123+0.0076314i,0.018728-0.0038572i,0.0036314+0.0088043i,0.003564-0.001118i,0.009961+0.0014778i,0.039864-0.004004i,0.0034061+0.00042736i,-0.0035605+0.004119i,0.0028638-0.0057699i,0.00029632+0.0033204i,0.0019869+0.0037191i,-0.00038273+0.00064701i,0.0030642+0.020287i,-0.003009-0.0021079i,0.0030912-0.0050243i,0.0023399-0.002324i,0.0025038-0.00014172i,-0.00038564-0.00055253i,-0.003761-0.00224i,-0.0035852-0.0040507i,-0.0046283+0.0012723i,-0.0056879-0.00097032i,-0.00049268-0.0031109i,-0.00055954-0.0056972i,0.015261+0.0079955i,-0.00067294-0.0038737i,0.0012606-0.0024254i,0.0034715-0.0092343i,-0.0049593+0.0028727i,0.0013323+0.0039403i,0.0042582-0.0021162i,0.004182-0.0031143i,0.0013005+0.010614i,0.0068276-0.02449i,0.033474+0.0079189i,-0.015311-0.095877i,-0.03231-0.062315i,-0.012953-0.067612i,-0.021185-0.043843i,0.0061688-0.096513i,-0.03467-0.095976i,0.038238-0.081733i,-0.0031002-0.067022i,0.0058574+0.00017583i,0.0020019-0.0034645i,-0.014312-0.024419i,0.0034814+0.0026556i,-0.009712-0.00095843i,-0.0090346-0.0055296i,-0.044524+0.0036467i,0.010203+0.022571i,-0.0091136-0.012066i,-0.0073832+0.0059885i,-0.0054935-0.0015437i,-0.019997-0.0014746i,0.0049805+0.012255i,0.012429-0.0057591i,0.023557+0.0043937i,0.0049925-0.0028192i,-0.0044555+0.0011986i,-0.0041942+0.0041141i,-0.006541+0.017748i,-0.0056119+0.0018673i,-0.019055+0.030952i,-0.0064826-0.00051703i,-0.0021426+0.0097508i,-0.0017518+0.011698i,-0.0045375-0.0029813i,-0.0024171+0.0041004i,-5.7877e-05-0.00086959i,0.0019387+0.0028416i,0.0016644-0.003195i,-0.0036182+0.0052534i,-0.00056599-0.00071251i,-0.0045718+0.01911i,-0.0018214-0.00558i,-0.013462+0.020116i,-0.02343+0.030387i,-0.022564-0.094257i,-0.010757-0.008241i,-0.051263+0.023694i,-0.02873-0.0061292i,0.013417-0.0089698i,-0.00023709+0.015061i,-0.032033-0.0050837i
-0.040907-0.015821i,-0.035519-0.041219i,-0.048864-0.037672i,-0.045587-0.011209i,-0.040627-0.022048i,-0.056463+0.021506i,-0.04555+0.02914i,-0.057552+0.0048054i,-0.038186-0.0061714i,0.0077456+0.0030307i,0.010963+0.01092i,0.012224+0.0038026i,0.013381-0.0099532i,0.0084057+0.0076582i,0.0021307-0.0023689i,0.0065128-0.00099794i,0.027711-0.021138i,0.0030782-0.0010128i,2.0357e-05+0.0076863i,0.00026834-0.0053692i,0.0021387+0.0038571i,0.0028909+0.0022566i,-0.00036387+0.0016001i,0.017363+0.013359i,-0.0038166-0.00021896i,0.00098779-0.0056797i,0.00096361-0.0029681i,0.0026464+3.8371e-06i,-0.00018301-0.00026357i,-0.0049847+0.00027452i,-0.0046745-0.0027442i,-0.0036521+0.0027828i,-0.0049588+0.00094058i,-0.0019153-0.002605i,-0.0026596-0.0041826i,0.015344+0.0051585i,-0.0015906-0.0037683i,-0.00028761-0.0027787i,0.00020747-0.0087813i,-0.0030755+0.00063383i,0.0022357+0.0031328i,0.0020171-0.0017688i,0.0030574-0.004262i,0.003147+0.0084154i,0.0020536-0.035192i,0.042451-0.010089i,-0.025544-0.087842i,-0.036919-0.053637i,-0.020238-0.071934i,-0.023598-0.042821i,-0.022098-0.10516i,-0.057361-0.085616i,0.018773-0.096763i,-0.014641-0.061113i,0.0089453+0.0028049i,-0.0028928-0.0052681i,-0.021332-0.01504i,8.693e-05-0.00016925i,-0.010957+0.00067902i,-0.016052-0.0018516i,-0.039762+0.020723i,0.01352+0.011928i,-0.013881-0.0073997i,-0.0054467+0.0058325i,-0.0061205+0.001748i,-0.018863+0.0085499i,0.0055968+0.0071389i,0.0099042-0.011213i,0.023509-0.0067539i,0.0030161-0.0060958i,-0.0065751+0.0036198i,-0.0017654+0.0063277i,0.0020633+0.018983i,-0.0041508+0.006291i,-0.01121+0.037936i,-0.0072531+0.00088527i,0.0018323+0.0065721i,0.0046229+0.011075i,-0.0062167+0.0007466i,-0.0037167+0.0015975i,-0.0011632-0.0011173i,0.0011319+0.0049465i,-0.0023882-0.0036838i,-0.0031953+0.0027276i,-0.0034368+0.0019868i,0.0029624+0.021176i,-0.0048688-0.0036683i,-0.004828+0.020513i,-0.015863+0.032752i,-0.036402-0.089411i,-0.005161-0.012204i,-0.040031+0.039491i,-0.03137+0.0040101i,0.0081379-0.013376i,0.0011454+0.0074036i,-0.031006-0.0016698i
-0.040581-0.010314i,-0.041671-0.037227i,-0.060421-0.027715i,-0.046503-0.0051073i,-0.051692-0.016566i,-0.048269+0.032016i,-0.032821+0.031785i,-0.051695+0.014776i,-0.035963-0.0024812i,0.0071784+0.0019071i,0.011422+0.0060215i,0.01237-0.0017503i,0.0065712-0.013268i,0.012012+0.0031054i,0.00030591-0.0028288i,0.0036548-0.0012223i,0.011825-0.02534i,0.0040527-0.0020268i,0.0051128+0.0065855i,-0.001637-0.0038383i,0.0040524+0.0018499i,0.0028685+0.0012345i,0.00098714+0.0023379i,0.021132-0.00036032i,-0.0021553+0.0022066i,-0.0014555-0.0053363i,-0.00076699-0.0011539i,0.0032095-0.0018785i,-0.00010735-0.00059727i,-0.0030783+0.0032485i,-0.0047698-0.0017826i,-0.0027505+0.0034582i,-0.004766+0.0028793i,-0.0027324-0.00090458i,-0.0025078-0.0028449i,0.016762+0.00081768i,-0.0032471-0.0032076i,-0.0022425-0.0027804i,-0.0032736-0.0086105i,-0.0050757-0.00080962i,0.0035201+0.0022372i,0.0012678-0.00029299i,0.00074635-0.0050379i,0.0042594+0.007077i,-0.0096323-0.040724i,0.033476-0.034291i,-0.028697-0.08107i,-0.041001-0.046379i,-0.03024-0.071896i,-0.025767-0.04426i,-0.05221-0.09669i,-0.07666-0.068622i,-0.00073098-0.10046i,-0.016687-0.046933i,0.017587+0.0058304i,-0.0066559-0.0027165i,-0.020565-0.0026748i,-0.0013958-0.00045369i,-0.014997+0.0046221i,-0.014434+0.0049944i,-0.030059+0.035545i,0.01143+0.0051348i,-0.012614+0.00059109i,-0.0069862+0.0054317i,-0.0030233+0.0051147i,-0.012142+0.015241i,0.0067522+0.0076702i,0.0046638-0.018648i,0.013268-0.020746i,-0.0032967-0.008985i,-0.0066196+0.0079789i,0.00023985+0.0060348i,0.0095898+0.016123i,0.00050619+0.0082015i,0.0047494+0.046142i,-0.0080233+0.0035931i,0.0016933+0.0051028i,0.0086501+0.0062575i,-0.0044917+0.0066945i,-0.0057371+0.0043305i,-0.0034886-0.00066549i,0.0048566+0.0060475i,-0.0033686+0.0020832i,-0.0053975+0.0028814i,-0.00062313+0.0068664i,0.00967+0.017272i,-0.0067279-0.0020148i,0.00074575+0.017408i,-0.0058874+0.035333i,-0.042806-0.079859i,-0.012009-0.022975i,-0.015885+0.045238i,-0.026946+0.011583i,0.005739-0.019805i,0.00073134+0.0014817i,-0.030357+0.0049492i
-0.039817-0.0052656i,-0.052564-0.034395i,-0.067636-0.014212i,-0.044696+0.0026544i,-0.059453-0.0036818i,-0.038883+0.038477i,-0.023398+0.031426i,-0.044902+0.021406i,-0.036872+0.001596i,0.0080786-0.00026807i,0.013305+0.0029719i,0.0085512-0.0067278i,-0.00092968-0.011984i,0.012492-0.003674i,-0.0012059-0.0025513i,0.0020927-0.00010485i,-0.00019054-0.021212i,0.0028508-0.0047281i,0.0063385+0.0022738i,-0.0025001-0.0014404i,0.0038547-0.00039542i,0.0040719+0.0012708i,0.0025514+0.001657i,0.016176-0.010401i,0.0010151+0.0010402i,-0.0023575-0.0034194i,-8.8003e-05-0.0013924i,0.0021541-0.0035602i,1.3894e-05-0.00043131i,-0.00059047+0.0038868i,-0.0052666-0.00088312i,-0.00099724+0.0038624i,-0.0027679+0.00469i,-0.0024614+9.0046e-05i,-0.0034514-0.0033624i,0.015418-0.0047998i,-0.0038204-0.0013539i,-0.0030852-0.0012769i,-0.0070476-0.004832i,-0.0081127+0.0017314i,0.0037835+0.00079193i,0.002727-0.00077065i,-0.0014081-0.0046132i,0.0053029+0.0032043i,-0.022442-0.039196i,0.014476-0.040951i,-0.036024-0.083062i,-0.03941-0.038942i,-0.038142-0.069274i,-0.035057-0.046881i,-0.072246-0.081267i,-0.083188-0.042815i,-0.025732-0.10136i,-0.010005-0.043499i,0.025087-0.008943i,-0.0078414+0.0015409i,-0.015193-0.0002582i,-0.0053133+0.0003425i,-0.013016+0.013206i,-0.011808+0.0077939i,-0.0093732+0.042601i,0.011273+0.0014422i,-0.011284+0.0021617i,-0.0041097+0.0074226i,-0.0013182+0.0044514i,-0.0049169+0.018705i,0.010874+0.0047519i,-0.0079335-0.019823i,-0.0046187-0.021293i,-0.0062511-0.0020002i,-0.0026208+0.011609i,0.0031651+0.0049114i,0.01577+0.0077252i,0.0041231+0.0050858i,0.025868+0.039914i,-0.0041185+0.00672i,0.0021754+0.0031495i,0.0091124+0.00093657i,0.00089269+0.0084561i,-0.006658+0.0070761i,-0.0046051+0.0030726i,0.0085324+0.0057146i,-0.0014814+0.0045764i,-0.0065174+0.0054594i,0.0034007+0.0067388i,0.012487+0.011748i,-0.0064769+0.00084193i,0.0062145+0.012786i,0.0050516+0.032742i,-0.049913-0.076382i,-0.027484-0.021303i,0.0016289+0.035957i,-0.023551+0.016012i,-0.0038471-0.026604i,-0.0032794-0.0027783i,-0.022449+0.008328i
-0.039115-0.00095678i,-0.062799-0.022261i,-0.070678+0.0016297i,-0.041617+0.0069981i,-0.059386+0.011309i,-0.030657+0.042721i,-0.016537+0.029996i,-0.038535+0.025694i,-0.03579+0.0091641i,0.0077217-0.0026478i,0.013399-0.0045177i,0.0028113-0.0071874i,-0.0046546-0.0074937i,0.0080388-0.0082381i,-0.0025725-0.0019175i,0.0030356-1.1168e-05i,-0.0066828-0.014303i,-0.00020205-0.0047643i,0.0047504-0.00028536i,-0.0018833+0.000159i,0.0021558-0.0010132i,0.0044445-0.0002532i,0.0029111+0.0004346i,0.0086685-0.015167i,0.00012474-0.00099875i,-0.0022913-0.0027144i,-0.00026499-0.0015855i,0.00032776-0.0033572i,0.00099818-0.00028031i,0.00084603+0.0029543i,-0.0058302+0.00027711i,0.00051829+0.0035236i,-0.00028198+0.0051509i,-0.0024929+0.00026592i,-0.0049475-0.00055312i,0.011986-0.0091588i,-0.0031903-0.00020109i,-0.0025135+0.00032115i,-0.0064538-0.0015727i,-0.0070867+0.0060909i,0.0035842-0.00015294i,0.0031981-0.0016612i,-0.0030394-0.0036156i,0.0031139+0.00028123i,-0.031614-0.031835i,0.0057233-0.031876i,-0.047714-0.083058i,-0.03695-0.03737i,-0.047043-0.065557i,-0.04578-0.041404i,-0.088338-0.06422i,-0.076767-0.023377i,-0.053661-0.087478i,-0.007509-0.048589i,0.022209-0.021383i,-0.0060981+0.0044491i,-0.013523+0.0039351i,-0.0083929+0.0054894i,-0.0051177+0.018708i,-0.0080528+0.01148i,0.010392+0.036059i,0.0094494-0.0043583i,-0.011601+0.0049742i,-0.0028266+0.005816i,0.00094149+0.0049015i,0.0033449+0.016105i,0.011454-0.0028254i,-0.017497-0.010542i,-0.014501-0.010948i,-0.0032924+0.0022163i,0.0038043+0.011301i,0.0041072+0.0025345i,0.017807+0.00015321i,0.006525+0.0040939i,0.0386+0.024647i,-0.0011806+0.0053004i,0.00068463+0.00371i,0.00703-0.0042942i,0.0053828+0.0054251i,-0.005185+0.013482i,-0.0016854+0.0075848i,0.012627+0.00061512i,0.00286+0.0047403i,-0.0055727+0.0091608i,0.0057184+0.003946i,0.013345+0.0069259i,-0.0063225+0.0023956i,0.0076951+0.007248i,0.012112+0.026781i,-0.058578-0.069807i,-0.035076-0.0083i,0.010941+0.023438i,-0.010977+0.022641i,-0.016342-0.026335i,-0.010787-0.0023453i,-0.020504+0.0034622i
-0.038738+0.0036743i,-0.064777-0.0066896i,-0.067621+0.018923i,-0.040158+0.011515i,-0.053815+0.023248i,-0.021742+0.046283i,-0.011165+0.027593i,-0.033552+0.028745i,-0.030315+0.015393i,0.0061101-0.0052616i,0.0073277-0.0094863i,0.00038069-0.0047547i,-0.0050816-0.0039885i,0.0033739-0.0099025i,-0.0038346-0.00043585i,0.0026852-0.0014742i,-0.006706-0.0080269i,-0.0016017-0.0033477i,0.0033951-0.0005519i,-0.000799+0.00087684i,0.0022829-6.9005e-05i,0.0041635-0.0014311i,0.0030384-0.00046834i,0.0020129-0.015253i,-0.0010122-0.0013065i,-0.0029388-0.003073i,-0.00070684-0.0015979i,-0.00068674-0.0030831i,0.00085332-0.0015743i,0.0020311+0.0023452i,-0.005815+0.001615i,0.0016546+0.0026244i,0.0015996+0.0038278i,-0.0024175+0.0016291i,-0.0038402+0.00032587i,0.0069259-0.01204i,-0.0022097+0.0004167i,-0.0017983+0.0010713i,-0.0074037+0.00062977i,-0.0042367+0.0084101i,0.003299-0.001078i,0.00217-0.0027245i,-0.0037217-0.0017695i,-0.00057748+0.00020583i,-0.036912-0.02252i,0.013013-0.025556i,-0.06322-0.079181i,-0.038152-0.038566i,-0.053701-0.059632i,-0.052143-0.032932i,-0.10006-0.0412i,-0.071947-0.013615i,-0.062444-0.061018i,-0.011297-0.052373i,0.013594-0.031938i,-0.0043314+0.0051627i,-0.0093464+0.003838i,-0.0041776+0.011694i,0.0034057+0.017574i,0.00082554+0.010484i,0.018525+0.022198i,0.0053407-0.0070857i,-0.010163+0.0090341i,-0.0031358+0.005549i,0.0019507+0.0028626i,0.0073454+0.011828i,0.0051914-0.005212i,-0.019783+0.00035045i,-0.015889-0.0010043i,0.0003398+0.0025391i,0.0066089+0.0096181i,0.0029054+0.0013853i,0.013921-0.010855i,0.0071623-0.00074799i,0.043124+0.0064405i,-0.00098759+0.0059512i,0.0028832+0.0034073i,0.0019046-0.0067052i,0.006085+0.0019814i,0.0016305+0.017348i,0.0047062+0.0054061i,0.0099664-0.0052344i,0.0050305+0.0012652i,-0.001303+0.013473i,0.0049381+0.0030997i,0.01257+0.0034513i,-0.0073499+0.0041165i,0.0050771+0.0041725i,0.016018+0.021913i,-0.064928-0.061594i,-0.03257+0.0051404i,0.012054+0.012047i,8.1818e-05+0.015477i,-0.028146-0.019984i,-0.013216+0.0057854i,-0.023909+0.0055297i
-0.038066+0.0091705i,-0.061507+0.0047307i,-0.059051+0.033243i,-0.038566+0.016123i,-0.046332+0.031917i,-0.012558+0.047976i,-0.0080078+0.025252i,-0.029069+0.032556i,-0.025005+0.018356i,0.0031704-0.0065813i,0.00081639-0.0088588i,-0.00032865-0.0037567i,-0.0041598-0.0023263i,-0.00075354-0.0097281i,-0.0037583+0.0017193i,0.00082296-0.0025418i,-0.0058108-0.0062284i,-0.0015649-0.0015784i,0.0032108-0.0010386i,0.00066557+0.0010742i,0.0036435-0.00066868i,0.0035002-0.001999i,0.0028624-0.0013557i,-0.0028236-0.013465i,-0.0014262-0.00086896i,-0.0043716-0.0019367i,-0.0011308-0.0015855i,-0.0017736-0.0031908i,0.00019644-0.0019548i,0.003074+0.0009045i,-0.005204+0.0032977i,0.0021596+0.0014289i,0.0023478+0.0025783i,-0.0013197+0.0024517i,-0.0040432+0.0014212i,0.0017531-0.010778i,-0.0021557+0.00024694i,-0.00070368+0.0013507i,-0.0056583+0.0047884i,-0.00025572+0.0096873i,0.0028933-0.0017903i,0.0020002-0.0024143i,-0.0034762-0.00058526i,-0.00088589+0.0034984i,-0.036745-0.013316i,0.026273-0.034984i,-0.079695-0.067295i,-0.042807-0.0382i,-0.058118-0.054236i,-0.05679-0.024346i,-0.10095-0.017871i,-0.067579-0.0028585i,-0.058388-0.044614i,-0.016058-0.056618i,0.00099032-0.036859i,-0.0020449+0.006286i,-0.0099962+0.001236i,0.0026316+0.012052i,0.0087308+0.012532i,0.0049449+0.0032396i,0.017375+0.009891i,0.00043052-0.0078318i,-0.0065894+0.012264i,-0.0036149+0.0065937i,0.001442+0.0014839i,0.0087059+0.007048i,0.002906-0.0031779i,-0.015995+0.010023i,-0.0121+0.0065052i,0.0017016+0.0014899i,0.010816+0.0068805i,0.002177+0.0010921i,0.0046271-0.014689i,0.0041754-0.0037467i,0.038594-0.0093506i,0.0012347+0.0065576i,0.0019398+0.0019883i,-0.0019964-0.0050158i,0.0055808+0.00052516i,0.010116+0.01696i,0.0051485+0.00076775i,0.0069608-0.0071493i,0.0039855-0.00083568i,0.0059743+0.013416i,0.0056647+0.0018471i,0.013087-0.00072946i,-0.0052347+0.0088374i,0.004971+0.0032786i,0.018957+0.017084i,-0.070737-0.054214i,-0.025783+0.011724i,0.011344+0.0056494i,0.0012687+0.0064979i,-0.035322-0.0095109i,-0.0089769+0.0080644i,-0.022779+0.008894i
-0.035527+0.014469i,-0.056409+0.013278i,-0.04591+0.042949i,-0.035028+0.021361i,-0.036923+0.037464i,-0.0035564+0.047988i,-0.0054616+0.024017i,-0.023305+0.036282i,-0.020274+0.020669i,3.5402e-05-0.0069767i,-0.0028772-0.0060832i,-0.00022832-0.0033921i,-0.0040913-0.0012514i,-0.0043328-0.0078338i,-0.0030136+0.0031685i,-0.0011226-0.0022333i,-0.0071756-0.0060884i,-0.0013686-0.001291i,0.0025818-0.001714i,0.0014905+0.00023322i,0.0038289-0.0022291i,0.0034965-0.0025946i,0.002311-0.0021983i,-0.0066718-0.011197i,-0.0018553-0.00054141i,-0.0045997-1.4558e-05i,-0.0018455-0.00093464i,-0.00273-0.0023516i,-0.000497-0.002004i,0.0024449-0.0011782i,-0.0038635+0.0051904i,0.0019172+0.00058475i,0.0029378+0.0014727i,0.00035953+0.0022898i,-0.0032769+0.0030544i,-0.00038262-0.0080821i,-0.0019197+0.00069089i,0.00022129+0.00077877i,-0.0016789+0.0052424i,0.0043894+0.008832i,0.0022195-0.002317i,0.0019699-0.0029174i,-0.0033979+7.4559e-05i,0.00097538+0.0031924i,-0.033714-0.0083768i,0.026303-0.058196i,-0.090121-0.049066i,-0.046616-0.036555i,-0.062934-0.052979i,-0.058703-0.014772i,-0.098311+2.9938e-05i,-0.061846+0.0047278i,-0.05473-0.034134i,-0.024192-0.058328i,-0.012851-0.036805i,-7.0393e-05+0.0057078i,-0.015597+0.0018469i,0.0073069+0.0080784i,0.010792+0.0068986i,0.0036647-0.0027643i,0.012665+0.0037013i,-0.0039658-0.0076602i,-0.0018561+0.013365i,-0.0022009+0.0080973i,0.00082408+0.0012699i,0.0067935+0.0034845i,0.0025566-0.0017636i,-0.0085248+0.014566i,-0.0063565+0.010877i,0.0035492-0.00057438i,0.013358+0.0005856i,0.0016603+0.0015i,-0.0032499-0.01249i,0.0012915-0.0042808i,0.029647-0.020196i,0.0040217+0.0060121i,0.0013575+0.003045i,-0.0049601-0.0020042i,0.0051427-0.0024534i,0.017616+0.011855i,0.0037413-0.0018971i,0.0034792-0.0087913i,0.0025312-0.0022103i,0.010759+0.0090886i,0.0050399+0.0014246i,0.0096692-0.0058495i,-0.00018156+0.010382i,0.0052085+0.001208i,0.022545+0.012203i,-0.07715-0.044914i,-0.018845+0.016971i,0.010409+0.00022601i,-0.0013509+0.002942i,-0.037478+0.0018781i,-0.0072219+0.0072362i,-0.02028+0.012026i
