-0.022161-0.038256i,-0.010187-0.05037i,-0.017548-0.045306i,-0.03051-0.03556i,-0.029802-0.016977i,-0.050751-0.028477i,-0.057663-0.026517i,-0.043783-0.038183i,-0.029286-0.027977i,0.0073148+0.011513i,-0.006657+0.016292i,-0.0050022+0.014519i,0.010424+0.020423i,0.00021584+0.0045974i,0.0032999+0.0034802i,0.006953+0.018264i,0.016174+0.038031i,-0.0027451-0.0016851i,-0.0052298-0.0062155i,0.0054525+0.0023957i,-0.00034063-0.00086441i,-0.0019944+0.0021447i,0.00013053-0.000354i,-0.029034-0.001534i,-0.0023002-0.005938i,0.0014007+0.0046232i,0.002775-8.6959e-05i,-0.00019704+0.00098626i,0.00067158-0.00034124i,-0.00091149-0.0027446i,-0.0015259-0.0058899i,-0.0045206-0.0046499i,-0.0029113-0.0044347i,0.0026123-0.00046975i,0.0019389-0.002767i,-0.001642+0.02815i,0.00095682-0.0034101i,0.0029767+0.00093409i,0.0056421+0.0011163i,-0.0084662-0.00039571i,-0.003951+0.00012641i,0.0046159-3.7716e-05i,0.006814+0.00014513i,-0.0036676+0.0049941i,0.0024656-0.0097577i,-0.011865+0.017562i,0.035285-0.090475i,0.01305-0.070695i,-0.015214-0.059448i,-0.015969-0.056253i,0.038744-0.046456i,0.017262-0.062502i,0.033475-0.056756i,0.031105-0.059909i,0.014537-0.013024i,0.0036264+0.017057i,0.017415-0.025309i,-0.010776+0.0059598i,-0.00061995+0.005712i,-0.005216-0.0010593i,-0.0027532-0.028665i,-0.025147+0.032119i,0.010282-0.011494i,-0.013039-0.0023281i,-0.00019984-0.00501i,-0.0010379-0.01614i,-0.0080548+0.0045755i,0.0054676+0.0061267i,-0.0088158+0.030245i,0.0053602+0.0058601i,-0.0050695-0.00088027i,-0.0029937-0.00030558i,-0.011589-0.0077439i,-0.00079047-0.0044183i,-0.031012-0.017616i,0.00011322-0.0099073i,-0.009289-0.0021309i,-0.0065056-0.0023925i,0.0068165+0.0030704i,-0.007782+0.0013452i,0.0003148+0.0004158i,0.0070478+0.010738i,0.0040334+0.0015175i,-0.0086578-0.0095069i,0.0032326+0.0083523i,-0.020914+0.0038307i,0.0086495+0.00051147i,-0.029489-0.004i,-0.04339+0.0027268i,0.021687-0.098299i,-0.0023637-0.012008i,-0.052561-0.021585i,-0.023537+0.00072121i,0.018079+0.010954i,-0.025068+0.01317i,-0.018029-0.014285i
-0.029577-0.035048i,-0.017112-0.043812i,-0.024342-0.043043i,-0.037692-0.032003i,-0.028015-0.017033i,-0.057704-0.017115i,-0.059803-0.015023i,-0.049382-0.030263i,-0.030923-0.024697i,0.0073939+0.0082093i,-0.0038312+0.014055i,0.0017927+0.016344i,0.017257+0.014145i,-0.00039848+0.0059639i,0.0039624+0.0022365i,0.010493+0.012536i,0.024464+0.028311i,-0.0015723+0.002194i,-0.0068959-0.0017992i,0.0059517-0.0032094i,-0.0010436+0.00051492i,-0.0033889+0.0011051i,-0.0001798-6.6083e-05i,-0.016908+0.012006i,-0.0041905-0.0042486i,0.004614+0.0014622i,0.0028699-0.00049306i,0.00088361+0.0019582i,0.0010159-0.00077733i,-0.0019237-0.0029964i,-0.001748-0.0047756i,-0.0057062-0.0027104i,-0.0038417-0.003309i,0.0022356-0.0017304i,0.0010905-0.0018244i,0.0084478+0.025633i,0.00016492-0.003761i,0.0025436-0.00031905i,0.0073977-0.0012185i,-0.0063486+0.0011369i,-0.0036034+0.0030349i,0.0048871-0.0013329i,0.0055942-0.0011696i,-0.005734+0.0069415i,0.0064046-0.012863i,0.003471+0.023153i,0.018139-0.096447i,-0.0050333-0.076955i,-0.012061-0.0553i,-0.020025-0.046087i,0.033303-0.065173i,0.013107-0.081291i,0.034418-0.056047i,0.019595-0.06871i,0.0050462-0.0058975i,0.0066407+0.00618i,0.0056975-0.026977i,-0.0089325+0.013283i,-0.00049008-0.0024597i,-0.0051677-0.0011851i,-0.023317-0.027269i,-0.011161+0.03081i,0.0039447-0.014987i,-0.012896+0.0019801i,-0.0012293-0.0048015i,-0.0092242-0.014661i,-0.0082153+0.0085878i,0.0085217+0.0056061i,0.0082802+0.02817i,0.0059632+0.00098685i,-0.0043133+0.0016596i,-0.0044379+0.00027168i,-0.01709+0.0022938i,-0.00068617-0.0028767i,-0.026271+0.010911i,-0.0048991-0.0069768i,-0.0095923+0.0028195i,-0.0079548+0.0012184i,0.0056947-0.0030894i,-0.0075921+0.0032787i,0.0013939-0.00074554i,0.0060517+0.0034165i,0.0036109+0.00059288i,-0.013917-0.0019823i,0.0037553+0.0042609i,-0.016227+0.012373i,0.0066196-0.0036344i,-0.027885+0.0080389i,-0.043992+0.013942i,0.0055559-0.098594i,-0.0068269-0.014916i,-0.058149-0.0070925i,-0.016777-0.0022526i,0.017725+0.0049223i,-0.018992+0.020099i,-0.026306-0.017937i
-0.03445-0.029538i,-0.020377-0.043318i,-0.030331-0.042336i,-0.043301-0.024611i,-0.028558-0.018953i,-0.061046-0.0045094i,-0.062805-0.0019242i,-0.05505-0.021456i,-0.035585-0.020787i,0.0078561+0.0058686i,-0.0011136+0.016335i,0.0084395+0.012974i,0.019788+0.0051144i,0.00096771+0.0070351i,0.0044702+0.0010231i,0.011468+0.0067908i,0.030462+0.019939i,0.0015396+0.0025838i,-0.0050738+0.0022148i,0.0044846-0.0042242i,-0.0012815+0.0019273i,-0.0023574+0.0017908i,-9.5068e-05+0.00025134i,-0.0064974+0.015495i,-0.0037338-0.002387i,0.0050793-0.0021053i,0.0025445-0.0018013i,0.0023486+0.0014782i,0.00029255-0.0013837i,-0.0027643-0.002244i,-0.0024309-0.0046869i,-0.0062724-0.00020196i,-0.0046117-0.0021138i,0.0012028-0.0029329i,0.0020142-0.0038719i,0.016659+0.019073i,-0.00081131-0.0033698i,0.0022486-0.0013963i,0.0071016-0.0056054i,-0.0060444+0.0022368i,-0.0015969+0.0048652i,0.0051992-0.0024825i,0.0055748-0.0022062i,-0.0037389+0.0096648i,0.0068066-0.020539i,0.019829+0.018894i,0.0012598-0.098337i,-0.022405-0.072034i,-0.0077755-0.061447i,-0.01886-0.044537i,0.022005-0.080344i,-0.0079817-0.09592i,0.039772-0.062966i,0.0063051-0.068776i,0.004991-0.0024488i,0.0054163+0.0014084i,-0.0027163-0.027154i,0.0023121+0.011244i,-0.0074521-0.0043992i,-0.0042039-0.0033849i,-0.038255-0.015892i,-0.0014869+0.029875i,-0.003454-0.01448i,-0.011435+0.0049949i,-0.0041032-0.0042849i,-0.015998-0.0096955i,-0.0030034+0.014004i,0.012119+0.00012563i,0.019824+0.018514i,0.0053609-0.00049767i,-0.0037826+0.0012775i,-0.0046117+0.002114i,-0.012437+0.011518i,-0.0040261-0.0025898i,-0.018818+0.02489i,-0.0063512-0.0031234i,-0.0069317+0.0072457i,-0.0079523+0.0069703i,0.00031558-0.0052805i,-0.0057844+0.0054432i,0.00068812-0.0015755i,0.003536+0.0025241i,0.0034506-0.00097584i,-0.0093106+0.0052755i,0.002748+0.001689i,-0.010196+0.014481i,0.0029323-0.0066424i,-0.021549+0.015796i,-0.038477+0.026302i,-0.0069567-0.096294i,-0.013028-0.013308i,-0.057034+0.0077592i,-0.021265-0.0091496i,0.016521-0.002532i,-0.0081829+0.019969i,-0.032058-0.011908i
-0.037782-0.023297i,-0.026687-0.044878i,-0.038242-0.041251i,-0.044596-0.017156i,-0.032451-0.021559i,-0.060134+0.0092106i,-0.060079+0.017003i,-0.059467-0.0086692i,-0.039545-0.013186i,0.0078372+0.0038057i,0.0051446+0.016769i,0.01108+0.0075574i,0.018483-0.003254i,0.003502+0.0082313i,0.0038565-0.0010699i,0.010064+0.0011175i,0.035735+0.0068472i,0.0030525+0.00068701i,-0.0036901+0.0047061i,0.0023426-0.0050701i,0.00043328+0.0033189i,0.0011788+0.0044819i,-0.00033055+0.00068714i,0.0036543+0.018365i,-0.0034478-0.0020641i,0.0029925-0.0048176i,0.0022204-0.0021758i,0.0022094-0.00059873i,-0.00019298-0.00074193i,-0.0040269-0.0014555i,-0.0032446-0.0040956i,-0.0054655+0.001912i,-0.0054705-0.0004121i,-8.6861e-06-0.0033612i,-0.00078471-0.0049228i,0.017825+0.010586i,-0.0018001-0.0030943i,0.0014694-0.0022587i,0.0033598-0.0089949i,-0.0034855+0.0038233i,0.00066577+0.0051011i,0.0035872-0.0034831i,0.0044949-0.0044936i,-8.626e-05+0.010025i,0.0060353-0.027291i,0.03342+0.0078011i,-0.015017-0.094922i,-0.031937-0.062869i,-0.013394-0.067i,-0.021221-0.044381i,0.0045657-0.095848i,-0.035191-0.096103i,0.036962-0.082581i,-0.0027806-0.066266i,0.0068111-0.00033954i,0.0022054-0.0031818i,-0.012894-0.02039i,0.0039141+0.0032865i,-0.0097495-0.00076709i,-0.0085708-0.0059688i,-0.043738+0.0034961i,0.010187+0.023749i,-0.0090776-0.012122i,-0.0078052+0.0059355i,-0.0054416-0.0017295i,-0.020239-0.0017133i,0.0050942+0.012069i,0.012692-0.0057402i,0.017316-0.0058831i,0.0057955-0.0028321i,-0.0045167+0.0011081i,-0.0039716+0.0041771i,-0.0069048+0.018155i,-0.0055137+0.0017852i,-0.012953+0.028779i,-0.0064978-0.00047822i,-0.0018584+0.009615i,-0.0021906+0.011236i,-0.0046745-0.002851i,-0.0023221+0.0047258i,0.00013096-0.001268i,0.0025718+0.0032267i,0.0012816-0.0025519i,-0.0036116+0.0048809i,-0.00049969-0.00065826i,-0.0063651+0.016405i,-0.0017904-0.0059735i,-0.013279+0.020666i,-0.025689+0.031647i,-0.019723-0.095088i,-0.010801-0.0080487i,-0.050966+0.023638i,-0.029255-0.0059914i,0.01312-0.0087063i,-0.00016788+0.015081i,-0.033394-0.004771i
-0.039537-0.016922i,-0.036759-0.042438i,-0.048477-0.037784i,-0.045503-0.011239i,-0.04062-0.021877i,-0.056311+0.021785i,-0.04559+0.028778i,-0.056732+0.0042032i,-0.037233-0.005623i,0.0076347+0.002068i,0.011087+0.011742i,0.012138+0.0036831i,0.013528-0.0095344i,0.0081057+0.0068117i,0.0023868-0.0025217i,0.0062455-0.0013162i,0.03135-0.011564i,0.0027199-0.00062433i,8.7124e-05+0.008076i,0.00014899-0.0047305i,0.0020001+0.0037381i,0.0031113+0.0027404i,-0.00034558+0.0015408i,0.012856+0.010493i,-0.0044012-0.00029408i,0.00071889-0.0057568i,0.0009309-0.0026884i,0.0018061-0.0009823i,-0.00010084-0.00039224i,-0.0049592+0.0010142i,-0.0041617-0.0028554i,-0.0040583+0.0035855i,-0.0045127+0.0016137i,-0.0018914-0.003186i,-0.0024948-0.0035372i,0.018165+0.0067141i,-0.0025991-0.0027734i,-9.3677e-05-0.0027333i,-0.00041133-0.0081375i,-0.0021515+0.0016203i,0.0021596+0.0051644i,0.0011656-0.0022253i,0.0026347-0.0057618i,0.0016584+0.0083141i,2.6277e-05-0.038384i,0.042398-0.010066i,-0.024902-0.08696i,-0.037125-0.054099i,-0.02022-0.071363i,-0.023693-0.04308i,-0.023811-0.10436i,-0.058323-0.085538i,0.016809-0.097332i,-0.013724-0.060711i,0.0098349+0.0019302i,-0.0027378-0.0052259i,-0.0061608+0.0027603i,0.00071846-3.269e-05i,-0.011424+0.00049442i,-0.015751-0.0024152i,-0.039283+0.02027i,0.013732+0.012912i,-0.013932-0.0079847i,-0.0059404+0.005929i,-0.0058952+0.0014589i,-0.019077+0.0082194i,0.0058152+0.0070142i,0.01027-0.011181i,0.0249-0.0099103i,0.0039268-0.0061943i,-0.0065805+0.0039551i,-0.0018638+0.0062577i,0.0016432+0.01919i,-0.0037824+0.0063367i,-0.0053447+0.033569i,-0.0074424+0.00073134i,0.0018467+0.0064279i,0.004208+0.010987i,-0.0060955+0.0013402i,-0.0034767+0.0017212i,-0.00085558-0.0015601i,0.0010645+0.0059391i,-0.0017297-0.0028465i,-0.0028182+0.0028238i,-0.0032777+0.0019482i,0.00076236+0.018964i,-0.0047888-0.0040258i,-0.0041774+0.021066i,-0.018966+0.033763i,-0.034087-0.089758i,-0.0054616-0.011882i,-0.040115+0.039303i,-0.031278+0.0044921i,0.0086255-0.012946i,0.0012866+0.0071789i,-0.031352-0.0003798i
-0.039609-0.011494i,-0.043393-0.038256i,-0.059599-0.027781i,-0.046457-0.0048876i,-0.051465-0.016581i,-0.047921+0.032323i,-0.032859+0.031697i,-0.051259+0.013851i,-0.03522-0.0018524i,0.0067308+0.00087021i,0.011571+0.0064816i,0.012164-0.0019526i,0.0072073-0.013044i,0.011152+0.0020202i,0.00050608-0.0030537i,0.003339-0.0012651i,0.017527-0.019545i,0.0038811-0.0013363i,0.0052699+0.0070085i,-0.0014631-0.0035049i,0.004123+0.0018945i,0.002933+0.0013083i,0.0010268+0.0023208i,0.018629+0.0026384i,-0.0027129+0.0022974i,-0.0019673-0.005651i,-0.00078551-0.00090579i,0.0019272-0.0012983i,-0.00016044-0.00064324i,-0.0028044+0.0039091i,-0.0041676-0.0021365i,-0.0030329+0.0040589i,-0.003827+0.0031712i,-0.003207-0.0011545i,-0.0021484-0.0023764i,0.019853+0.0013848i,-0.0035553-0.002207i,-0.0022375-0.002817i,-0.0039488-0.0077701i,-0.0039702+0.00070821i,0.0064462+9.5795e-05i,0.00081282+9.7875e-05i,-0.00051289-0.0062228i,0.0026354+0.0080293i,-0.01321-0.042877i,0.03329-0.034526i,-0.028164-0.080738i,-0.040875-0.04662i,-0.030307-0.071737i,-0.025848-0.044414i,-0.053651-0.095386i,-0.077715-0.068332i,-0.0028771-0.09986i,-0.015582-0.047052i,0.018392+0.004228i,-0.0065659-0.0028598i,-0.021102+0.0005623i,-0.0010617-0.00065638i,-0.015564+0.0044829i,-0.014229+0.0046812i,-0.029938+0.035881i,0.011721+0.005713i,-0.013276+9.9914e-05i,-0.0073239+0.0051938i,-0.0030948+0.0050594i,-0.012845+0.015181i,0.0068599+0.0078579i,0.0046345-0.018735i,0.01387-0.023799i,-0.0027249-0.0091594i,-0.0066964+0.008132i,-6.0041e-05+0.006077i,0.008414+0.016277i,0.0009591+0.0081866i,0.0053919+0.041486i,-0.0083523+0.0033251i,0.0016204+0.0052558i,0.0084919+0.0056254i,-0.004322+0.0069038i,-0.0052906+0.0042006i,-0.0033551-0.0007777i,0.0037044+0.006856i,-0.0034152+0.0020766i,-0.0049402+0.0028508i,-0.00075691+0.0064807i,0.007188+0.01613i,-0.0068459-0.0021413i,0.0014274+0.017592i,-0.0078145+0.037505i,-0.040741-0.07914i,-0.011827-0.022694i,-0.016208+0.04512i,-0.026296+0.011976i,0.0037271-0.016382i,0.00062049+0.0015602i,-0.030632+0.0064792i
-0.03916-0.0066075i,-0.05467-0.034392i,-0.067245-0.014305i,-0.044454+0.0025913i,-0.059432-0.0038717i,-0.038372+0.038535i,-0.023343+0.03146i,-0.045056+0.020866i,-0.035994+0.0021892i,0.0073776-0.00076107i,0.013317+0.0034085i,0.0082994-0.0068234i,-0.00044831-0.012313i,0.010709-0.0041176i,-0.0012959-0.0029365i,0.0019618+2.4945e-05i,0.0056515-0.018287i,0.0029438-0.0039214i,0.0070533+0.0029336i,-0.0022217-0.0011116i,0.0040715-0.00047163i,0.0039234+0.0014127i,0.0025579+0.0016606i,0.016529-0.0085514i,0.00070684+0.0012472i,-0.0026074-0.0039287i,-6.3178e-06-0.0012421i,0.00263-0.0013518i,-6.6193e-05-0.00037297i,-0.00033664+0.0041862i,-0.0048275-0.0015169i,-0.0011315+0.0044337i,-0.0015793+0.004258i,-0.0027301+0.00016308i,-0.0029812-0.0030167i,0.018566-0.0055452i,-0.0036396-0.00070141i,-0.003049-0.0012822i,-0.008209-0.0039877i,-0.005523+0.0027436i,0.0042803+0.00029623i,0.00266-0.00042016i,-0.0030263-0.0056195i,0.0050344+0.0038602i,-0.026659-0.039488i,0.014253-0.040955i,-0.035112-0.082381i,-0.039558-0.039247i,-0.03834-0.069489i,-0.035466-0.046652i,-0.072832-0.079578i,-0.084012-0.041835i,-0.027389-0.099767i,-0.0091416-0.043808i,0.025386-0.011125i,-0.0076955+0.0012585i,-0.015063-0.00070179i,-0.0049917+0.00017444i,-0.013029+0.013527i,-0.011536+0.00741i,-0.010087+0.042619i,0.011611+0.0017167i,-0.012716+0.0016648i,-0.0039606+0.0066308i,-0.001448+0.0046263i,-0.0048795+0.018949i,0.011149+0.0048825i,-0.008208-0.019451i,-0.0050557-0.022989i,-0.0059283-0.002159i,-0.0028968+0.011949i,0.002973+0.0048469i,0.015072+0.008586i,0.0042636+0.0049528i,0.026294+0.036476i,-0.0045789+0.0064752i,0.0023025+0.0034462i,0.0090813+0.00056317i,0.0010545+0.0082596i,-0.0061592+0.0074877i,-0.0042264+0.0031802i,0.0079852+0.0065541i,-0.0016009+0.0047536i,-0.005795+0.005373i,0.0032211+0.0067252i,0.010665+0.01072i,-0.0064608+0.00079773i,0.0067184+0.013034i,0.0048087+0.034895i,-0.046537-0.075639i,-0.027053-0.021223i,0.0011502+0.036292i,-0.022957+0.016188i,-0.0039147-0.028322i,-0.003156-0.0027716i,-0.02226+0.0091199i
-0.038992-0.0025746i,-0.064229-0.021591i,-0.06989+0.0022143i,-0.041685+0.0068911i,-0.059365+0.011324i,-0.030186+0.042509i,-0.016331+0.029895i,-0.038833+0.025377i,-0.034431+0.0096341i,0.0065826-0.0031837i,0.013714-0.0044668i,0.0024779-0.0072274i,-0.0041915-0.0079599i,0.0069543-0.0078164i,-0.002817-0.0021103i,0.0029319+5.2534e-05i,-0.0012074-0.014785i,0.00019456-0.0043628i,0.0050412+0.00017559i,-0.0015381+0.0003951i,0.0023932-0.0011747i,0.0044426-8.5051e-05i,0.0029561+0.00038589i,0.0096583-0.014115i,-2.6744e-05-0.00091016i,-0.0028435-0.0028174i,-0.00015354-0.0016029i,0.00043953-0.0041248i,0.00090451-3.3207e-05i,0.0010748+0.0031765i,-0.0057542-0.00053032i,0.000926+0.0039172i,-0.0003134+0.004415i,-0.0024599+0.0006089i,-0.0044308-0.00051012i,0.013691-0.011635i,-0.0034518+0.00015276i,-0.0023614+0.00037283i,-0.0071589-0.0019387i,-0.0041414+0.0053798i,0.0040191-0.00035635i,0.003523-0.0013037i,-0.005626-0.0047639i,0.0029866+0.00030639i,-0.03532-0.030397i,0.0056113-0.031811i,-0.046313-0.082849i,-0.037101-0.037615i,-0.046795-0.065689i,-0.045879-0.041349i,-0.088307-0.062803i,-0.077349-0.022298i,-0.054208-0.085772i,-0.0067339-0.04939i,0.02217-0.022654i,-0.0063661+0.0041045i,-0.013359+0.0041067i,-0.0079656+0.0051848i,-0.0050273+0.019142i,-0.0076707+0.011127i,0.0077196+0.035054i,0.0098207-0.0046701i,-0.013439+0.0045332i,-0.0027545+0.0060244i,0.00096286+0.0050287i,0.0034839+0.016101i,0.011873-0.0029463i,-0.017407-0.010437i,-0.015433-0.012074i,-0.0033444+0.0022157i,0.0038166+0.011911i,0.0039063+0.0025075i,0.017219+0.00065927i,0.0069673+0.0042367i,0.039431+0.022788i,-0.0016703+0.0054736i,0.00079755+0.0036342i,0.0071548-0.004475i,0.0056427+0.0053789i,-0.0035187+0.01381i,-0.001292+0.0071816i,0.01271+0.0017176i,0.0026942+0.0049011i,-0.0042121+0.0090727i,0.0057043+0.0036616i,0.011155+0.0071533i,-0.0063432+0.0023295i,0.008446+0.0074121i,0.013054+0.028193i,-0.053374-0.070835i,-0.034012-0.0083225i,0.011283+0.023654i,-0.010103+0.022477i,-0.01574-0.025874i,-0.010893-0.0025393i,-0.020171+0.0037096i
-0.039199+0.0020053i,-0.065802-0.0059227i,-0.066535+0.018195i,-0.040228+0.011808i,-0.053508+0.023303i,-0.021488+0.045987i,-0.011001+0.027478i,-0.033746+0.028752i,-0.028953+0.015152i,0.0045752-0.0052794i,0.0071583-0.009787i,0.00010544-0.0047189i,-0.0048732-0.0044823i,0.0028883-0.009577i,-0.003991-0.00044181i,0.0025528-0.0013494i,-0.0034637-0.0095709i,-0.0015446-0.0033327i,0.0032173+4.4315e-05i,-0.00042015+0.0010549i,0.0024394-0.00015714i,0.0042132-0.0014768i,0.003092-0.00046406i,0.0030684-0.014866i,-0.0014579-0.0010904i,-0.00294-0.0029334i,-0.00065052-0.0015808i,-0.00061728-0.0037841i,0.0010297-0.0012007i,0.0022277+0.0024628i,-0.0061825+0.00088831i,0.0021813+0.0025701i,0.0012773+0.0035361i,-0.0022755+0.0018057i,-0.0034178+0.00030935i,0.00651-0.014931i,-0.0023594+0.00079636i,-0.00156+0.00093483i,-0.0068858-0.00038241i,-0.0022712+0.006517i,0.0038559-0.0015424i,0.0023579-0.0027135i,-0.00089835-0.00078886i,-0.0014753+8.9969e-05i,-0.039568-0.01995i,0.013129-0.025659i,-0.062019-0.080032i,-0.038001-0.03873i,-0.053592-0.059983i,-0.052168-0.032757i,-0.099823-0.040138i,-0.071918-0.012687i,-0.062708-0.059443i,-0.010619-0.054086i,0.013133-0.032672i,-0.0046589+0.0052108i,-0.0090572+0.0038072i,-0.0040119+0.011308i,0.0036001+0.018136i,0.00094035+0.010022i,0.015785+0.022677i,0.0056965-0.0069299i,-0.011024+0.0097643i,-0.0029173+0.0060644i,0.0018684+0.0029754i,0.0073143+0.011663i,0.0051772-0.0056005i,-0.019672-0.00040681i,-0.017119-0.00034511i,0.0004022+0.0022144i,0.0069632+0.0096728i,0.0028422+0.0012715i,0.013936-0.0098173i,0.0076477-0.00087411i,0.043274+0.0052584i,-0.0011139+0.0059222i,0.0028582+0.00316i,0.0022105-0.0067872i,0.006172+0.0018057i,0.0029748+0.016316i,0.0048666+0.0051171i,0.010135-0.0041191i,0.0049215+0.0015134i,0.0025482+0.011987i,0.004599+0.0030213i,0.011535+0.0036473i,-0.0074206+0.0038863i,0.0055163+0.0042918i,0.016685+0.02264i,-0.061637-0.066412i,-0.031191+0.0049065i,0.012322+0.011851i,0.00034277+0.015256i,-0.027914-0.01907i,-0.013466+0.0055581i,-0.023614+0.0053192i
-0.038872+0.0076569i,-0.062246+0.0054728i,-0.058905+0.032719i,-0.03825+0.01646i,-0.045928+0.031911i,-0.012209+0.047585i,-0.0077916+0.025207i,-0.029205+0.032435i,-0.023743+0.018129i,0.0015667-0.0060298i,0.00052823-0.0088955i,-0.00053518-0.0036406i,-0.0040839-0.0026489i,-0.0010538-0.0095845i,-0.0037795+0.0016394i,0.00086989-0.0024288i,-0.0031877-0.0079263i,-0.0015181-0.0013068i,0.0032716-0.00030741i,0.00090054+0.001085i,0.0038454-0.00069426i,0.0035054-0.0020714i,0.0029841-0.0013467i,-0.0021116-0.013315i,-0.0018433-0.00043646i,-0.0041076-0.0018002i,-0.0011006-0.0015743i,-0.0020081-0.0035654i,0.00053414-0.0016865i,0.003128+0.00095191i,-0.0059018+0.0029107i,0.0024928+0.0011581i,0.0023035+0.0023703i,-0.0012976+0.0025752i,-0.0036026+0.0011803i,-1.1532e-05-0.011623i,-0.002369+0.000575i,-0.00062656+0.0011244i,-0.0064973+0.0028882i,0.00038923+0.0069074i,0.0029789-0.0023982i,0.0026307-0.0027513i,-0.0032257+0.00059383i,-0.0023882+0.003983i,-0.038496-0.010827i,0.02583-0.035449i,-0.079046-0.06859i,-0.042789-0.038719i,-0.057783-0.054524i,-0.056979-0.024037i,-0.10037-0.016843i,-0.06738-0.0024228i,-0.05806-0.043258i,-0.016073-0.058034i,0.0006552-0.036024i,-0.0022964+0.0065693i,-0.0095888+0.0010997i,0.0027653+0.011741i,0.0087198+0.013227i,0.0049102+0.0029117i,0.016822+0.0099394i,0.0010901-0.007631i,-0.0069732+0.013072i,-0.0029247+0.0076546i,0.0012741+0.0015685i,0.0082615+0.0071793i,0.0027239-0.0034725i,-0.016198+0.009282i,-0.011577+0.0072637i,0.0015754+0.0012767i,0.010402+0.0067029i,0.0022027+0.00094396i,0.0048758-0.013462i,0.0044775-0.0042468i,0.037272-0.010874i,0.00094744+0.0064727i,0.0018648+0.0018498i,-0.0016338-0.0053443i,0.0054613-6.506e-05i,0.011053+0.015476i,0.0052532+0.0010765i,0.0069627-0.0060173i,0.0041962-0.00079797i,0.0086795+0.0098198i,0.0054535+0.0016614i,0.012255-0.00055349i,-0.0055309+0.00869i,0.0055193+0.0033721i,0.019746+0.017271i,-0.071116-0.059224i,-0.024234+0.011598i,0.011499+0.0053958i,0.0011172+0.0065442i,-0.034159-0.0086396i,-0.0090776+0.0081516i,-0.022336+0.00872i
-0.036727+0.01317i,-0.056864+0.014126i,-0.046064+0.042474i,-0.034745+0.021432i,-0.036579+0.037524i,-0.0034688+0.04754i,-0.0052352+0.023883i,-0.023515+0.036241i,-0.018931+0.020143i,-0.0013001-0.0058808i,-0.0025923-0.0060753i,-0.00048809-0.003149i,-0.0041922-0.0015715i,-0.0045392-0.0075918i,-0.0030398+0.0028987i,-0.0010978-0.0023622i,-0.0047533-0.0084389i,-0.0011634-0.0010468i,0.002943-0.0012811i,0.0017978+0.00022292i,0.0039145-0.0023513i,0.0035472-0.0024091i,0.0024519-0.0022573i,-0.0059734-0.011043i,-0.0020823+9.1651e-05i,-0.0041406-2.9189e-06i,-0.0018925-0.0011132i,-0.003021-0.0025187i,-0.00012801-0.0017651i,0.0024685-0.0010905i,-0.0047752+0.0052296i,0.002197+0.00044097i,0.0028265+0.0011194i,0.00029212+0.0024651i,-0.0029527+0.0026298i,-0.0013263-0.0076821i,-0.0030004+0.0010062i,0.00024582+0.00054659i,-0.003251+0.0048117i,0.0033187+0.0063208i,0.0021536-0.0026194i,0.0018452-0.0038321i,-0.0029616+0.0015959i,-0.00024083+0.0038882i,-0.035251-0.0058354i,0.025501-0.058217i,-0.089853-0.050218i,-0.047095-0.037206i,-0.062447-0.053291i,-0.058666-0.014372i,-0.097509+0.00059135i,-0.06174+0.0050403i,-0.054183-0.033043i,-0.024269-0.059631i,-0.013721-0.034406i,-0.00037482+0.0057901i,-0.014989+0.0012384i,0.0076684+0.0077918i,0.010035+0.0075916i,0.0035767-0.0031332i,0.01223+0.0033461i,-0.0030539-0.0079836i,-0.0019224+0.014279i,-0.00037882+0.0081709i,0.00067863+0.0014372i,0.0069505+0.0041629i,0.0023805-0.0019747i,-0.00864+0.013824i,-0.0055116+0.011321i,0.0032645-0.00035919i,0.013709+0.00081374i,0.001649+0.0012983i,-0.0020044-0.011118i,0.0011698-0.004849i,0.026622-0.021068i,0.0039626+0.0062753i,0.0013292+0.0029017i,-0.0048689-0.0023557i,0.0045818-0.0025849i,0.017326+0.0098629i,0.0040428-0.0018931i,0.0037163-0.008335i,0.0025765-0.0023621i,0.012316+0.006476i,0.0051497+0.0012624i,0.0090686-0.005291i,-0.00043914+0.0102i,0.0059481+0.0010203i,0.023272+0.012245i,-0.078217-0.048101i,-0.018229+0.016812i,0.010463-0.00042128i,-0.0014172+0.0031456i,-0.03614+0.0028537i,-0.0072051+0.0072189i,-0.019951+0.011568i
