-0.022852-0.018659i,-0.032611-0.033095i,-0.022483-0.019606i,-0.032832-0.020329i,-0.023818+0.0042556i,-0.028819-0.017794i,-0.058321-0.044103i,-0.040408-0.041394i,-0.030236-0.019639i,0.0046454+0.0050679i,-0.0035393+0.0065411i,-0.011211+0.011059i,0.0038664+0.0068778i,-0.0039492-0.0024672i,0.0029312+0.0017213i,0.0044631+0.028341i,0.014474+0.031413i,-0.00025178+0.00014907i,-0.0032151-0.0025743i,0.0075673+0.0037211i,0.0019515+0.00061205i,-0.00037525+0.0022701i,-0.0005147+0.00041691i,-0.030428-0.0013868i,-0.0035787-0.0046475i,-0.00012133+0.0026543i,0.0057565-0.0012893i,0.00056868-0.00016492i,-0.00054096-0.00060648i,-0.001254-0.0017516i,-0.0022222-0.00060173i,-0.003962-0.0039091i,-0.0034209-0.0047423i,0.00061552-0.0012226i,0.00035521-0.0028734i,-0.0018856+0.024026i,0.0023342-0.0032962i,0.0025065-0.0037818i,0.0041174-0.0024219i,-0.0089047-0.0005312i,0.00056415+0.0011639i,0.0024324-0.0086149i,-0.0022795+0.00039093i,-0.0033704+0.0011165i,-0.0094195-0.0031683i,-0.019061+0.022011i,-0.0080708-0.086566i,-0.0021887-0.06105i,-0.02161-0.053921i,-0.010992-0.045715i,0.054736-0.026017i,0.024148-0.067629i,0.041275-0.053251i,0.019113-0.039324i,0.025989-0.019828i,0.01222+0.011838i,0.025741-0.02962i,-0.011021-0.00043016i,-0.00096908-0.0011158i,-0.0074883-0.0019421i,-0.0053547-0.028848i,-0.021556+0.027455i,0.0074657-0.0094463i,-0.010355-0.0033797i,-0.002628-0.0019476i,-0.00026091-0.014116i,-0.0082689+0.0051298i,0.0053216+0.010738i,-0.011397+0.030673i,0.0061558+0.0073971i,-0.0037122-0.0016169i,-0.0024626-0.0015533i,-0.012494-0.0054206i,0.0007038-0.0041777i,-0.035761+0.001732i,0.0037907-0.008754i,-0.007101-0.0016281i,-0.005149-0.0031262i,0.0072181+0.0014504i,-0.010164+0.00069432i,0.0024211-0.00017972i,0.0062021+0.0077393i,0.0057768+0.0006938i,-0.0075597-0.010195i,0.002919+0.0078124i,-0.019891+0.0071043i,0.003505+0.0058311i,-0.020955-0.0084948i,-0.027158-0.0053737i,0.00944-0.060192i,0.018499-0.014082i,-0.051382-0.028896i,-0.024349+0.0032621i,0.019035+0.010407i,-0.027582+0.011386i,-0.012556-0.0077678i
-0.026947-0.014465i,-0.036545-0.023123i,-0.024373-0.017179i,-0.036289-0.015987i,-0.019274+0.0048788i,-0.033125-0.011062i,-0.061303-0.031493i,-0.045155-0.034472i,-0.029461-0.012967i,0.0034397+0.0046304i,-0.0039338+0.0055306i,-0.0047324+0.01529i,0.0065156+0.0030709i,-0.0070164+0.0010015i,0.0032024+0.0002357i,0.010378+0.021995i,0.02173+0.01578i,0.00097261+0.0012922i,-0.0033917+0.00041014i,0.0082087-0.00010107i,0.0012494+0.0010551i,-0.00011018+0.0022728i,-0.00041836+0.00087272i,-0.017518+0.012183i,-0.0053924-0.0023653i,0.0022301+0.0013824i,0.002282-0.00088062i,0.00091009+0.00091591i,0.00019423-0.00069118i,-0.0021483-0.0013667i,-0.0012903+0.00022704i,-0.0048393-0.0026751i,-0.0042659-0.0042558i,3.6838e-05-0.0014335i,-8.4086e-05-0.001496i,0.0039772+0.022641i,0.0013651-0.0040557i,-3.3112e-05-0.0040135i,0.0041819-0.0041547i,-0.0045961+0.00032641i,0.0008618+0.0015257i,0.0091573-0.0033956i,-0.002065+0.0023381i,-0.0052941+0.0033706i,-0.0072672-0.0027817i,-0.0046641+0.028245i,-0.023959-0.083745i,-0.018835-0.064716i,-0.018642-0.045618i,-0.012977-0.034337i,0.055314-0.050025i,0.019184-0.087934i,0.041975-0.05588i,0.012307-0.045367i,0.013644-0.015481i,0.01261+0.00074168i,0.01269-0.032531i,-0.0096931+0.0058478i,-0.002745-0.0083031i,-0.0080949-0.00053955i,-0.02647-0.026848i,-0.0093017+0.024815i,0.0022311-0.011988i,-0.011555+0.00017463i,-0.0023136-0.0014162i,-0.0074815-0.013329i,-0.008712+0.009092i,0.01045+0.0098496i,0.0077127+0.030139i,0.0077297+0.0021775i,-0.003313+0.0010377i,-0.004566-0.0011197i,-0.015552+0.0046661i,0.00085151-0.0035046i,-0.033677+0.01107i,-0.0016797-0.0079132i,-0.0069167+0.0018394i,-0.0068505+2.1211e-07i,0.0052299-0.0044018i,-0.0084792+0.003598i,0.0025456-0.0019565i,0.0052123+0.0029054i,0.0043413-0.0013779i,-0.012838-0.0016005i,0.0033208+0.0045955i,-0.014743+0.014515i,0.0043935+0.0027992i,-0.020839+0.00045228i,-0.029067+0.0027122i,-0.0010659-0.059258i,0.012657-0.022003i,-0.057077-0.014188i,-0.015665-0.00056013i,0.019573+0.0029015i,-0.021109+0.017909i,-0.020092-0.013321i
-0.028383-0.0090982i,-0.037591-0.019226i,-0.026598-0.016289i,-0.03876-0.0094497i,-0.016468+0.0038318i,-0.035177-0.0037485i,-0.066527-0.018612i,-0.051261-0.027359i,-0.030031-0.011037i,0.0036703+0.0041442i,-0.0036289+0.0079467i,0.0025844+0.013343i,0.0058708-0.001019i,-0.006676+0.0045931i,0.00281-0.00081401i,0.01319+0.015577i,0.026145+0.0065516i,0.0025825+0.0010383i,-0.00176+0.0019838i,0.0060647-0.0028887i,0.00084042+0.0014472i,0.00067145+0.0031272i,5.7359e-05+0.00099163i,-0.0065973+0.016346i,-0.0048956-7.8622e-05i,0.0026996-0.00086752i,0.0025678-0.0011161i,0.0021275+0.00080337i,-0.00057064-0.0010456i,-0.0024871-0.00051013i,-0.00082435+0.00028183i,-0.0054939-0.00061604i,-0.0049007-0.00211i,-0.00064524-0.0018577i,0.00095708-0.0026753i,0.0098188+0.019032i,1.8533e-05-0.0038577i,-0.0013983-0.003222i,0.0022563-0.0065828i,-0.0041212+0.00031035i,0.0015778+0.0016795i,0.0073615-0.0053425i,-0.00019238+0.003462i,-0.0037919+0.0057525i,-0.0061717-0.0053544i,0.010362+0.026602i,-0.038357-0.077512i,-0.035017-0.057639i,-0.011337-0.047405i,-0.0075711-0.034158i,0.047722-0.071422i,-0.0024189-0.10493i,0.044539-0.065466i,0.0043055-0.044798i,0.010062-0.013705i,0.010027-0.0043789i,0.0035863-0.034199i,0.0013366+0.005768i,-0.011245-0.0083864i,-0.0065122-0.0013282i,-0.041551-0.013819i,-0.0018267+0.02352i,-0.0034533-0.010884i,-0.010694+0.0036951i,-0.0040435-0.0012914i,-0.014867-0.0099567i,-0.0032871+0.014643i,0.016564+0.0031745i,0.020934+0.018512i,0.0076965-0.0001836i,-0.0027675+0.00084354i,-0.0053491+0.00075881i,-0.01113+0.013037i,-0.0024551-0.0033433i,-0.03059+0.021823i,-0.0032293-0.004722i,-0.0052542+0.0053502i,-0.0078799+0.0059703i,-0.00073169-0.0063203i,-0.0062464+0.0058267i,0.00059077-0.0031136i,0.003064+0.0015475i,0.0030885-0.0027526i,-0.007736+0.005928i,0.0026837+0.0024482i,-0.0080071+0.018979i,0.0026045+0.00030332i,-0.017459+0.0064396i,-0.025489+0.010979i,-0.0066594-0.056492i,0.0039827-0.023063i,-0.056252+0.00019466i,-0.020295-0.0075489i,0.017398-0.0056532i,-0.010474+0.018331i,-0.024384-0.0095471i
-0.028231-0.0042013i,-0.041017-0.016271i,-0.030951-0.015473i,-0.038021-0.0024291i,-0.015669+0.0014969i,-0.034881+0.0043442i,-0.067641+0.0015341i,-0.056845-0.015543i,-0.033604-0.00558i,0.0041813+0.0035064i,-0.00025194+0.0094122i,0.0053362+0.008983i,0.0038076-0.0040622i,-0.0044265+0.0086244i,0.001938-0.001894i,0.013685+0.0082907i,0.027131-0.0041926i,0.0032468-0.00084773i,-0.00094121+0.0033742i,0.0041595-0.0033985i,0.0018233+0.0023834i,0.0024486+0.0033907i,0.00011449+0.00095095i,0.0027131+0.01772i,-0.0037762+0.0011316i,0.0014778-0.0020176i,0.0030894-0.0017168i,0.002078-0.00053234i,-0.00080055-0.00012212i,-0.0027862+0.0002757i,-0.00045122+0.0002688i,-0.0049626+0.00097521i,-0.0048774-0.00052057i,-0.0014514-0.001782i,-0.00022766-0.0038567i,0.013024+0.013582i,-0.0011305-0.0036855i,-0.0022061-0.0024785i,-0.0011229-0.0069084i,-0.0033724+0.0018482i,0.002166+0.00086375i,0.0039327-0.0067086i,0.0014459+0.0030011i,-0.0014732+0.0057825i,-0.0060303-0.0069448i,0.023538+0.0199i,-0.05052-0.067504i,-0.042955-0.044997i,-0.013244-0.052312i,-0.0071736-0.036413i,0.031139-0.093749i,-0.030816-0.10653i,0.038947-0.084054i,-0.0011658-0.044056i,0.0070247-0.012414i,0.0056717-0.0090285i,-0.010271-0.031973i,0.002218-0.0031429i,-0.013388-0.0025387i,-0.0097479-0.0038409i,-0.046806+0.0071618i,0.008522+0.019085i,-0.0075065-0.0087589i,-0.0080594+0.0058162i,-0.0051498+0.0010001i,-0.02014-0.0018605i,0.0046077+0.012188i,0.017861-0.0056123i,0.022119-0.0013392i,0.0080906-0.0030823i,-0.0031586+0.00050011i,-0.0054359+0.0034402i,-0.0051552+0.019026i,-0.004709+0.00019611i,-0.021179+0.030381i,-0.0037995-0.0034505i,-0.0014201+0.0069834i,-0.0022777+0.010963i,-0.0061815-0.0032188i,-0.0025787+0.0059504i,-0.00069085-0.0025471i,0.0021099+0.0017912i,0.00054046-0.003957i,-0.0023668+0.0050093i,-0.00047403+0.00028644i,0.0076781+0.021005i,0.00028121+0.00060135i,-0.01233+0.010407i,-0.020386+0.0146i,-0.011511-0.055771i,0.0034835-0.019608i,-0.051788+0.015355i,-0.027771-0.0042932i,0.013128-0.011474i,-0.0021219+0.013609i,-0.024684-0.0038885i
-0.026982+0.00046951i,-0.045824-0.0099166i,-0.038045-0.011594i,-0.036648+0.0030951i,-0.018189-0.00032172i,-0.032399+0.011921i,-0.053416+0.016626i,-0.054717-0.0032528i,-0.03067+0.0022198i,0.0044695+0.0027218i,0.0029453+0.0074205i,0.0064005+0.0062818i,0.0002155-0.0054133i,0.0011617+0.0097392i,0.0006504-0.0026836i,0.010561+0.0047631i,0.017955-0.016674i,0.0022087-0.0025919i,0.0021016+0.005969i,0.0026606-0.0039662i,0.0031922+0.0027191i,0.0033635+0.0017865i,0.00017439+0.001421i,0.015251+0.015426i,-0.0029972+0.0025121i,0.00061272-0.0025679i,0.0014953-0.0029896i,0.0017286-0.00011232i,-0.00027694+0.00023357i,-0.0027452+0.0017423i,-0.00031454+0.00031026i,-0.0039155+0.0025525i,-0.0039836+0.0013908i,-0.0021262-0.0011847i,-0.0020128-0.0035699i,0.014979+0.0096148i,-0.0019308-0.0033611i,-0.0032779-0.0016028i,-0.0035046-0.0052099i,-0.0016082+0.00018573i,0.0019895+1.0784e-05i,0.0012625-0.005401i,0.0024204+0.0021364i,-0.0010837+0.0053502i,-0.0075716-0.010713i,0.034436+0.0061997i,-0.055905-0.05419i,-0.045601-0.032961i,-0.016351-0.056757i,-0.0079532-0.037906i,0.0012208-0.10846i,-0.055146-0.097659i,0.018983-0.096884i,-0.0098745-0.039773i,0.0067448-0.0096256i,4.7942e-06-0.010911i,-0.017781-0.023739i,-0.0031621-0.0065073i,-0.014631-0.00043069i,-0.016101+2.4344e-05i,-0.040309+0.024735i,0.012114+0.0089445i,-0.011387-0.0046742i,-0.0064934+0.0072196i,-0.0054103+0.0042033i,-0.01913+0.0086869i,0.0049184+0.0070664i,0.015375-0.013164i,0.023877-0.0056084i,0.0060262-0.0073732i,-0.0052456+0.002214i,-0.0027709+0.0061408i,0.0036046+0.019571i,-0.0045438+0.0040804i,-0.011247+0.039699i,-0.0056543-0.0033324i,0.0012649+0.0044615i,0.0038953+0.010089i,-0.0074452+0.0010481i,-0.0023291+0.0034016i,-0.0016931-0.0029072i,0.0018129+0.0031325i,-0.0029304-0.0036696i,-0.0021743+0.0010721i,-0.0037408+0.0033713i,0.0043081+0.015067i,-0.001172+0.0010842i,-0.0053823+0.011327i,-0.016714+0.017933i,-0.019481-0.052446i,0.0073589-0.025123i,-0.042416+0.030946i,-0.0302+0.0066749i,0.0075143-0.01521i,-0.0011081+0.0066375i,-0.023342-0.0018132i
-0.02444+0.0039473i,-0.046843-0.0029304i,-0.043378-0.0017821i,-0.035413+0.0081283i,-0.023227+0.0015189i,-0.026732+0.017953i,-0.03963+0.019874i,-0.050388+0.0050428i,-0.027605+0.0052032i,0.0041392+0.0018071i,0.0035018+0.0057682i,0.0070513+0.0023004i,-0.003492-0.0046461i,0.0058324+0.0068315i,-0.0009855-0.0028963i,0.0089001+0.0037316i,0.0049486-0.01833i,0.0015352-0.0029314i,0.0060859+0.00418i,0.0011228-0.0039522i,0.0045176+0.00069301i,0.0032763+0.00063899i,0.0012775+0.001742i,0.0217-0.0014897i,-0.00099626+0.0034943i,-0.00083372-0.0027377i,-0.00035054-0.00069742i,0.0016074-0.0028387i,0.00015529-0.00041522i,-0.0010412+0.0030646i,5.6856e-05+0.00024025i,-0.002879+0.0032661i,-0.003771+0.0030699i,-0.0021806+3.8014e-05i,-0.00084276-0.0016378i,0.017301+0.0050782i,-0.0031145-0.0024542i,-0.0044136-0.00061089i,-0.005238-0.0038216i,-0.003368-0.001219i,0.0020881-0.000258i,8.4455e-06-0.0040762i,0.0025294+0.00092646i,-0.00040818+0.0056835i,-0.012321-0.01165i,0.030873-0.013948i,-0.054475-0.043669i,-0.046715-0.02317i,-0.022372-0.057231i,-0.0083463-0.042715i,-0.031902-0.10439i,-0.07629-0.081053i,0.00029351-0.098827i,-0.0094655-0.02588i,0.012284-0.004981i,-0.0045514-0.0092065i,-0.019539-0.011146i,-0.0064247-0.0064858i,-0.018118+0.0041901i,-0.013357+0.0067727i,-0.029122+0.038872i,0.010296+0.0023557i,-0.0098981+0.0031754i,-0.0063754+0.0081572i,-0.0016724+0.0076187i,-0.012383+0.015645i,0.0059788+0.0081091i,0.0098065-0.024267i,0.013935-0.019557i,-0.00073841-0.011678i,-0.0059622+0.0065707i,-0.00062169+0.0060171i,0.010947+0.015494i,-0.001442+0.0067104i,0.0028723+0.054692i,-0.0092999-0.0017889i,0.00098443+0.0035834i,0.0072623+0.0054893i,-0.0056625+0.0072623i,-0.0026615+0.0044821i,-0.0043974-0.0016803i,0.0045539+0.0038777i,-0.0042389+0.0019956i,-0.0051986+0.00058628i,-0.00050932+0.0091892i,0.009379+0.012699i,-0.0019452+0.000806i,-0.0019353+0.0071143i,-0.0099763+0.02224i,-0.020615-0.044098i,-0.001263-0.039367i,-0.020531+0.037443i,-0.024271+0.014644i,0.0056716-0.020665i,-0.0022389+0.0010126i,-0.021593+0.003815i
-0.021524+0.0060648i,-0.050866+0.0032734i,-0.045477+0.0096092i,-0.031299+0.014234i,-0.026237+0.0082374i,-0.020905+0.020747i,-0.030834+0.018666i,-0.045886+0.010663i,-0.027291+0.0085208i,0.004746+0.00013722i,0.0055881+0.0050068i,0.0037253-0.0016623i,-0.0064422-0.001391i,0.0075418+0.00090338i,-0.0023024-0.002288i,0.0081509+0.0035984i,-0.003682-0.013566i,0.00044236-0.0036537i,0.0063893-0.00012637i,-0.00012587-0.0030423i,0.0042742-0.0016781i,0.0042088+0.00045929i,0.0022178+0.00099036i,0.01536-0.011512i,0.0018178+0.0021869i,-0.00079016-0.0012761i,0.00068557-0.0018977i,0.00046356-0.0037706i,1.1063e-05-0.00033232i,0.00056699+0.0025486i,0.00012512-3.7908e-05i,-0.0009545+0.0038698i,-0.0016816+0.0045122i,-0.0013664+0.00065909i,-0.0012715+0.0022363i,0.018364-0.0015325i,-0.0030532-0.00065586i,-0.0040221+0.0010761i,-0.0062811-0.00051189i,-0.0061537+0.00071743i,0.0017623-0.00071181i,-0.00026006-0.0045919i,0.0023207-1.8368e-05i,0.0004144+0.0044919i,-0.016815-0.0093998i,0.01845-0.019569i,-0.056671-0.040404i,-0.040532-0.012772i,-0.026789-0.057302i,-0.017227-0.050124i,-0.054985-0.091325i,-0.084368-0.056436i,-0.020552-0.099535i,2.4816e-05-0.023i,0.017408-0.01861i,-0.0069317-0.0059026i,-0.015957-0.0088738i,-0.013041-0.0050152i,-0.015078+0.01324i,-0.010241+0.0083428i,-0.0086692+0.044531i,0.010281-0.00063978i,-0.0074159+0.0034134i,-0.0018026+0.0085807i,0.0010114+0.0060435i,-0.0047896+0.018821i,0.010172+0.0052968i,-0.0062507-0.028195i,-0.002456-0.019956i,-0.0052239-0.0053372i,-0.0023039+0.0094316i,0.0027771+0.0047886i,0.016765+0.0066055i,0.0023709+0.0055203i,0.025845+0.046606i,-0.0071505+0.0030642i,0.0012106+0.0027502i,0.0073799+0.00073194i,7.5821e-06+0.0097412i,-0.0050231+0.0053288i,-0.0053602+0.002724i,0.0070555+0.002915i,-0.0019418+0.0048365i,-0.0065788+0.0029342i,0.0043024+0.0087556i,0.011179+0.0086073i,-0.0014986+0.0026899i,0.00042441+0.0036004i,-0.0028037+0.021586i,-0.021124-0.042313i,-0.021058-0.039543i,-0.0048517+0.029864i,-0.019244+0.018262i,-0.0053833-0.029364i,-0.0059452-0.0017693i,-0.012816+0.0051746i
-0.019418+0.0074386i,-0.052302+0.015623i,-0.043219+0.022271i,-0.026632+0.017068i,-0.02368+0.015774i,-0.016407+0.022315i,-0.025575+0.016316i,-0.041845+0.01466i,-0.024423+0.015016i,0.0040557-0.0014008i,0.0082593+0.0012782i,-0.0011159-0.00020067i,-0.0062468+0.0027409i,0.0043489-0.0022006i,-0.003243-0.0014745i,0.0098722+0.002159i,-0.0076326-0.0068778i,-0.0012042-0.003429i,0.0041426-0.0022015i,-0.00070085-0.0022665i,0.0021511-0.0022879i,0.004043-0.001398i,0.0022184-5.7032e-05i,0.0075431-0.015716i,0.0013157+0.00034188i,-0.00087734-0.0012574i,0.00019349-0.0026316i,0.00014113-0.0024442i,0.00091977-8.6851e-05i,0.00099339+0.0016616i,-1.6169e-05-0.00047457i,0.00063703+0.0032698i,5.4573e-06+0.0042856i,-0.00098512+0.0005335i,-0.0030561+0.002066i,0.016024-0.0082985i,-0.0022984+8.4307e-05i,-0.002467+0.0025596i,-0.0047622+0.0012019i,-0.0058787+0.0040435i,0.0013679-0.00077357i,-0.0013646-0.0040575i,0.0017023-0.00067814i,-0.00029716+0.0037553i,-0.019933-0.0043701i,0.014767-0.014478i,-0.061073-0.036354i,-0.032536-0.010362i,-0.034007-0.056396i,-0.029757-0.048428i,-0.074678-0.07665i,-0.080828-0.037146i,-0.045618-0.088929i,0.0046225-0.028768i,0.012247-0.029524i,-0.0066967-0.0037646i,-0.016295-0.0056762i,-0.018788+0.0030311i,-0.0075269+0.018026i,-0.006814+0.011421i,0.010672+0.037386i,0.04553-0.018862i,-0.0076609+0.0047919i,-0.00090777+0.0061788i,0.0038249+0.0056524i,0.0038958+0.016126i,0.010583-0.00175i,-0.020841-0.018805i,-0.011972-0.011755i,-0.0042321-0.0012914i,0.0028221+0.0091779i,0.0038666+0.0023987i,0.017239-0.00078019i,0.0050626+0.0044975i,0.042508+0.032038i,-0.0052292+0.0033438i,0.00081781+0.0027595i,0.0053467-0.0033998i,0.0061149+0.0068473i,-0.0051401+0.01184i,-0.0020883+0.0070848i,0.0093471-0.00084725i,0.002533+0.004573i,-0.0061077+0.0064534i,0.0075446+0.0051988i,0.011083+0.005345i,-0.00057324+0.002032i,0.00013181-8.4477e-06i,0.0017282+0.018462i,-0.021635-0.040964i,-0.032031-0.026852i,0.0037822+0.018387i,-0.0065975+0.021682i,-0.017253-0.028137i,-0.01294-0.00079808i,-0.012007-0.0017982i
-0.017765+0.0090561i,-0.047227+0.027701i,-0.035233+0.033989i,-0.023029+0.019496i,-0.018298+0.020368i,-0.011712+0.023753i,-0.023042+0.013414i,-0.039438+0.018217i,-0.016934+0.019467i,0.0026022-0.0025526i,0.0037991-0.0026312i,-0.0013594+0.0036966i,-0.0041765+0.0056771i,0.0015802-0.003095i,-0.0040465-0.00030952i,0.010452-0.0011471i,-0.0049171-0.0020389i,-0.0022438-0.0022333i,0.0021028-0.002286i,-0.00083417-0.0017402i,0.0018954-0.0012398i,0.0029838-0.0022051i,0.0019812-0.00045982i,0.0011744-0.015052i,0.00070554-0.00016757i,-0.0013669-0.0013186i,-0.00061232-0.0025223i,-0.00092243-0.0024555i,0.00078375-0.0011262i,0.00133+0.0012426i,-0.00038474-0.0009399i,0.0017663+0.002669i,0.0015002+0.0029844i,-0.001042+0.0012319i,-0.0018822+0.0013793i,0.010493-0.013315i,-0.0016123+0.0003542i,-0.00078973+0.0029513i,-0.0053885+0.0028025i,-0.0031257+0.0064337i,0.0013085-0.00062489i,-0.0027849-0.0029862i,0.0016056-0.0010545i,-0.0015695+0.0046179i,-0.020142+0.0018578i,0.022235-0.012522i,-0.068286-0.030169i,-0.027653-0.01195i,-0.040187-0.052977i,-0.038753-0.042254i,-0.089381-0.053888i,-0.078143-0.026995i,-0.055268-0.065195i,0.0046314-0.032582i,0.0012317-0.036255i,-0.0072524-0.0029618i,-0.015634-0.0056115i,-0.014554+0.013625i,-0.00018328+0.017578i,0.0015507+0.010905i,0.018099+0.023737i,0.00069296-0.0074726i,-0.0071354+0.0078078i,-0.0009694+0.0059381i,0.0054442+0.0016649i,0.0083608+0.011402i,0.0044284-0.0036304i,-0.026228-0.0041257i,-0.014356-0.0031104i,-0.0014872-0.00030892i,0.0049271+0.008332i,0.0024005+0.0007064i,0.013284-0.011304i,0.0058423+8.1926e-05i,0.049071+0.010346i,-0.0053867+0.0052612i,0.0022731+0.002116i,0.0010154-0.0052591i,0.0070123+0.0026522i,0.0011769+0.015214i,0.0041433+0.0050182i,0.0065907-0.0048791i,0.0049945+0.00096965i,-0.0044356+0.011357i,0.0064145+0.0027575i,0.01249+0.0025144i,-0.0021786+0.0016723i,-0.004196-0.0011322i,0.0046005+0.016404i,-0.022729-0.041668i,-0.033493-0.013852i,0.0036615+0.0080853i,0.0023114+0.014393i,-0.028726-0.022496i,-0.015096+0.008148i,-0.017088-0.00094684i
-0.016198+0.010694i,-0.039117+0.035352i,-0.023644+0.041479i,-0.019458+0.021848i,-0.012539+0.023118i,-0.0068928+0.024375i,-0.023336+0.011704i,-0.036921+0.023514i,-0.010733+0.019595i,0.00092034-0.002846i,0.0001809-0.0018963i,0.00079235+0.005336i,-0.0010203+0.006721i,-0.00079469-0.0027021i,-0.0041615+0.0012623i,0.0083223-0.0050614i,-0.0037774-0.0016591i,-0.0022134-0.00069475i,0.0013567-0.0024979i,-0.00077886-0.0013155i,0.0024748-0.0019379i,0.0020345-0.002021i,0.0019024-0.00084243i,-0.0033444-0.013226i,0.00065302-0.00031798i,-0.0017606-0.00055197i,-0.0016474-0.0021985i,-0.0020502-0.0021677i,0.00021645-0.0013128i,0.0017825+0.00053509i,-0.0010833-0.00094231i,0.002359+0.0015067i,0.0023652+0.0016557i,-0.00041905+0.0015555i,-0.0019076+0.0015923i,0.0040754-0.013542i,-0.0016372-2.9954e-05i,0.00082753+0.0025026i,-0.0025644+0.0051506i,-0.00098613+0.0067004i,0.0013681-0.00070627i,-0.0025091-0.0016002i,0.001236-0.0017882i,-0.00057498+0.0069298i,-0.016337+0.0068331i,0.032408-0.022745i,-0.076648-0.0177i,-0.027256-0.013903i,-0.044599-0.048859i,-0.046031-0.035556i,-0.091152-0.030321i,-0.076376-0.015729i,-0.052168-0.051129i,0.0038158-0.039147i,-0.01103-0.037562i,-0.0072544-0.0011802i,-0.019292-0.0061151i,-0.0056298+0.017433i,0.0054917+0.014565i,0.0057138+0.0037339i,0.017832+0.012248i,-0.0032229-0.0069952i,-0.0045591+0.010321i,-0.00048654+0.0061947i,0.0039522-0.0015261i,0.0089736+0.0057377i,0.0030949-0.0008299i,-0.022736+0.0093222i,-0.011725+0.005471i,-0.0010905-0.0005916i,0.00965+0.0062785i,0.00095242+0.00073689i,0.0039696-0.014845i,0.0032323-0.002643i,0.046275-0.012553i,-0.0032036+0.0077985i,0.0014121+0.0010296i,-0.0023318-0.0033251i,0.0063936+0.00087429i,0.0088423+0.014997i,0.0042108+0.00092569i,0.0041726-0.0060794i,0.0032806-0.00168i,0.0085136+0.012556i,0.0060358+0.0013015i,0.01195-0.0024244i,-0.0012371+0.0053198i,-0.0059545+0.00086375i,0.0071113+0.014428i,-0.027288-0.044624i,-0.029288-0.0071551i,0.002423+0.0033285i,0.0033156+0.0063023i,-0.036644-0.013015i,-0.0092922+0.010992i,-0.016336+0.0016973i
-0.01396+0.012459i,-0.029919+0.040165i,-0.010389+0.043735i,-0.014696+0.024331i,-0.0057222+0.023541i,-0.0022714+0.023963i,-0.024455+0.012485i,-0.032547+0.028991i,-0.0055468+0.019053i,-0.00010152-0.0022421i,-0.0011679+4.3729e-05i,0.0036153+0.0048148i,0.0013433+0.0063861i,-0.0028573-0.00077212i,-0.0038261+0.0026561i,0.004893-0.0068445i,-0.0054993-0.0015063i,-0.0020187-0.00018453i,0.00015584-0.002352i,-0.0010438-0.00094088i,0.0020376-0.0029511i,0.0019711-0.002017i,0.001657-0.0012867i,-0.0069332-0.011034i,0.0003429-0.00058822i,-0.0016171+7.6255e-05i,-0.0024248-0.0012915i,-0.0026233-0.0011023i,-0.00022942-0.0012296i,0.0014512-0.00042572i,-0.0015812-0.00041188i,0.0020783+0.00060487i,0.0025436+0.00031658i,0.0005538+0.0011832i,-0.0012848+0.0020837i,0.00016129-0.010046i,-0.0016201+0.00027448i,0.0016969+0.0012263i,-0.00016527+0.0045541i,0.0015491+0.0068145i,0.0014673-0.00090996i,-0.0020557-0.00094168i,-3.4944e-05-0.002379i,0.0015573+0.006651i,-0.011752+0.008314i,0.031984-0.042294i,-0.078074-0.00060181i,-0.026475-0.015018i,-0.048459-0.049062i,-0.050953-0.026603i,-0.088692-0.013065i,-0.073682-0.0068511i,-0.050981-0.041695i,-0.002132-0.044311i,-0.023736-0.036083i,-0.0073045-0.00046269i,-0.026621-0.0029065i,0.002082+0.015121i,0.0088834+0.0096846i,0.0048326-0.0021542i,0.014285+0.0063678i,-0.0067493-0.0065399i,-0.00050926+0.011341i,0.00070624+0.0066531i,0.0013817-0.0022181i,0.0070867+0.0022467i,0.0038018+2.8695e-05i,-0.014467+0.016549i,-0.0055713+0.0091913i,0.00015119-0.00067677i,0.011344-0.0002271i,0.0001501+0.0020841i,-0.0030993-0.012032i,0.00050892-0.0029631i,0.037948-0.025282i,0.00020412+0.010462i,0.00070149+0.0016204i,-0.0041902-0.00021617i,0.0058946-0.0020816i,0.015302+0.010568i,0.0027343-0.0015816i,0.00099026-0.0072111i,0.0011314-0.0027812i,0.0024042+0.0099546i,0.0058445+0.00090427i,0.0087164-0.0067225i,0.0023682+0.0064219i,-0.0057589+0.0023288i,0.010729+0.011763i,-0.035688-0.042868i,-0.020763+0.0015533i,0.00099696-0.00070107i,0.00077637+0.0025653i,-0.040718-0.0017818i,-0.0064785+0.009593i,-0.014893+0.0032702i
