-0.023769-0.018814i,-0.032413-0.033091i,-0.022485-0.01953i,-0.03254-0.019984i,-0.024+0.0041834i,-0.028946-0.017647i,-0.057964-0.044053i,-0.041049-0.041971i,-0.030971-0.023087i,0.0053803+0.0057885i,-0.0033929+0.0062146i,-0.010936+0.011015i,0.0039008+0.0068387i,-0.0038644-0.002705i,0.0029484+0.001626i,0.0044924+0.027907i,0.026527+0.031913i,2.6236e-05+0.00024178i,-0.0029652-0.0029461i,0.0074888+0.0039051i,0.0019698+0.00061764i,-3.9677e-05+0.0026575i,-0.00048012+0.00031312i,-0.032368-0.00031177i,-0.0032768-0.0048931i,3.8002e-05+0.0025169i,0.0039386-0.001188i,0.00081519-0.00026573i,-0.00050132-0.00059593i,-0.0010856-0.001852i,-0.0022445-0.00060382i,-0.0039057-0.0037754i,-0.0028225-0.0051909i,0.00033888-0.0012241i,0.00064786-0.0030609i,-0.0014175+0.025513i,0.0020697-0.0030575i,0.0022721-0.0039884i,0.0044167-0.0021752i,-0.0064622-0.0016783i,0.00090359+0.0012553i,0.010256-0.00040778i,-0.0017398-0.00041566i,-0.0032146+0.0016115i,-0.00866-0.0024691i,-0.018848+0.021458i,-0.0078842-0.086493i,-0.0021727-0.061093i,-0.021454-0.054024i,-0.011143-0.045744i,0.054557-0.026293i,0.024437-0.067828i,0.041411-0.053767i,0.018466-0.038755i,0.026134-0.019762i,0.012267+0.011839i,0.025623-0.029466i,-0.01123-0.0013818i,-0.0010229-0.0010212i,-0.007454-0.0018057i,-0.0050558-0.029222i,-0.020212+0.026634i,0.0075704-0.0096702i,-0.010722-0.0033521i,-0.0025337-0.0019145i,-0.00065116-0.014726i,-0.0080838+0.0048695i,0.0051877+0.010682i,-0.0099103+0.031077i,0.0064178+0.0076491i,-0.0034374-0.0015272i,-0.0023624-0.0016156i,-0.013255-0.0058172i,0.00053493-0.0041099i,-0.032894+0.0030784i,0.003202-0.0085275i,-0.0072156-0.0018698i,-0.0051787-0.0030578i,0.007106+0.0017169i,-0.010495+0.00078891i,0.0026289-6.34e-05i,0.0060736+0.0077713i,0.005799+0.00082811i,-0.0081163-0.0099555i,0.002552+0.0079865i,-0.019653+0.0076174i,0.0032008+0.0058165i,-0.02134-0.0091814i,-0.027538-0.0050019i,0.0099253-0.061704i,0.018475-0.014318i,-0.051173-0.028947i,-0.023351+0.0029405i,0.01898+0.010807i,-0.027197+0.011784i,-0.013087-0.0080629i
-0.027809-0.014373i,-0.036547-0.022935i,-0.024282-0.017063i,-0.035934-0.015834i,-0.019551+0.004915i,-0.033059-0.010894i,-0.06109-0.031352i,-0.045744-0.03503i,-0.032155-0.015521i,0.0043984+0.004513i,-0.0044649+0.0051605i,-0.0045541+0.015065i,0.0066071+0.0029977i,-0.0070026+0.00062468i,0.0032386+0.00014875i,0.010305+0.021575i,0.02986+0.017145i,0.0014043+0.0010937i,-0.0033972-8.8197e-05i,0.0075499+0.00023406i,0.0014968+0.0011191i,-5.5497e-05+0.0026457i,-0.00038114+0.00071757i,-0.017384+0.015097i,-0.0048248-0.0028675i,0.0020106+0.0011854i,0.0027345-0.00058412i,0.0010478+0.00044732i,0.00027472-0.00082974i,-0.0020405-0.0015566i,-0.0012628+0.00016577i,-0.0044393-0.0024258i,-0.0040915-0.0039873i,-0.00020226-0.0014274i,0.00015007-0.0017662i,0.005925+0.022965i,0.0014003-0.0037466i,-0.00019202-0.0040467i,0.0044687-0.004187i,-0.0036861-0.00073644i,0.0011808+0.0014249i,0.0091234-0.0019968i,-0.0019178+0.0014087i,-0.0048267+0.0035565i,-0.0064072-0.0023564i,-0.0044988+0.027649i,-0.024102-0.084171i,-0.018995-0.064857i,-0.018115-0.045632i,-0.013279-0.034211i,0.055116-0.050283i,0.019578-0.088155i,0.042048-0.056373i,0.011911-0.044374i,0.013835-0.015398i,0.012642+0.00065101i,0.012622-0.032179i,-0.0099065+0.0059705i,-0.0027547-0.0081028i,-0.0081396-0.00051928i,-0.026333-0.02738i,-0.0083801+0.023965i,0.002272-0.012083i,-0.012538-0.00010559i,-0.0021678-0.001239i,-0.0076096-0.013992i,-0.0083932+0.0088252i,0.010459+0.0097369i,0.0084445+0.029026i,0.0080518+0.0021358i,-0.0032085+0.0010185i,-0.004436-0.0010881i,-0.016454+0.0041274i,0.00062799-0.0034599i,-0.036133+0.010141i,-0.0017767-0.0072023i,-0.0070784+0.0017775i,-0.0068325+0.00013854i,0.0052625-0.0040576i,-0.0092908+0.0040327i,0.0023705-0.0020172i,0.0048794+0.0027459i,0.0046008-0.0011532i,-0.012906-0.0012144i,0.0032496+0.0049003i,-0.013538+0.014835i,0.0043112+0.0030404i,-0.021447-0.00025293i,-0.029205+0.0032262i,-0.00049929-0.061118i,0.012938-0.022064i,-0.057203-0.01357i,-0.015588-0.00093614i,0.01935+0.0033007i,-0.020883+0.018511i,-0.02031-0.012832i
-0.029034-0.0085403i,-0.037306-0.018888i,-0.026527-0.016432i,-0.038602-0.0093222i,-0.016573+0.0038199i,-0.03531-0.0036971i,-0.066142-0.018613i,-0.052015-0.027548i,-0.033146-0.010595i,0.0042084+0.0037001i,-0.0042298+0.0081307i,0.0024231+0.013295i,0.0058985-0.0012725i,-0.0067432+0.0044405i,0.0027794-0.00080301i,0.013053+0.015377i,0.030784+0.0075208i,0.0029287+0.00044248i,-0.0020779+0.0015957i,0.0065307-0.0020667i,0.0010822+0.0012937i,0.00087879+0.0036017i,-1.8671e-05+0.00086483i,-0.0045749+0.017263i,-0.0046761-0.00071211i,0.0024784-0.00075406i,0.0027822-0.001154i,0.0020941+0.00020549i,-0.00056496-0.0012018i,-0.0024688-0.00081716i,-0.00079684+0.00011418i,-0.0050044-0.00079489i,-0.0050952-0.0020968i,-0.00070274-0.0016269i,0.00072624-0.0035401i,0.012473+0.017981i,0.00031778-0.0036444i,-0.0014583-0.0032268i,0.002212-0.0067778i,-0.0036454-0.00059604i,0.0018192+0.0014409i,0.0076856-0.0049323i,-0.00039547+0.0028122i,-0.0038067+0.0057249i,-0.005222-0.0052086i,0.010072+0.026044i,-0.038827-0.077816i,-0.035031-0.057522i,-0.01117-0.047555i,-0.0076295-0.034014i,0.047388-0.071625i,-0.0020482-0.10517i,0.04476-0.06588i,0.0042161-0.043777i,0.010255-0.013592i,0.010015-0.0044313i,0.0034175-0.034159i,0.0013916+0.0058835i,-0.010693-0.0082498i,-0.0066455-0.0012417i,-0.041653-0.014135i,-0.0011943+0.022541i,-0.0035672-0.011137i,-0.011098+0.0037497i,-0.0038922-0.0012134i,-0.015209-0.010629i,-0.0032031+0.014186i,0.016463+0.0029703i,0.019787+0.018368i,0.0080989-0.00054902i,-0.0026869+0.00094112i,-0.0052278+0.00074611i,-0.011526+0.012839i,-0.0024767-0.0033179i,-0.031198+0.021843i,-0.0031885-0.0044559i,-0.0053349+0.0052331i,-0.0077806+0.0059977i,-0.00060007-0.0061981i,-0.0066692+0.0063232i,0.00053041-0.0031356i,0.0028908+0.0015751i,0.0033322-0.0026463i,-0.0075288+0.0058694i,0.00286+0.0025037i,-0.007188+0.016958i,0.002843+0.00029412i,-0.018232+0.0058739i,-0.025492+0.011652i,-0.0067856-0.058489i,0.0041669-0.023118i,-0.056627+0.00053923i,-0.020183-0.0079622i,0.017164-0.0052797i,-0.010379+0.018836i,-0.024279-0.0089207i
-0.028484-0.0034152i,-0.04062-0.016499i,-0.031124-0.015475i,-0.037732-0.0024629i,-0.0158+0.0015272i,-0.034978+0.0044883i,-0.067291+0.0015753i,-0.057348-0.015479i,-0.034976-0.0033314i,0.0044521+0.0030406i,-0.00061733+0.0098654i,0.0052512+0.0088424i,0.0036767-0.0042104i,-0.0045143+0.0084093i,0.0019351-0.0018903i,0.013561+0.0082255i,0.030983-0.0046922i,0.0031846-0.0012686i,-0.0013128+0.0031502i,0.0045057-0.0036746i,0.0018495+0.0022006i,0.0027573+0.0034229i,1.9978e-05+0.00089862i,0.0045635+0.018588i,-0.0037974+0.00067546i,0.0013971-0.0020331i,0.0029628-0.0014978i,0.0019775-0.0012447i,-0.0007573-0.00021085i,-0.0028994-7.3678e-05i,-0.00048172+8.5892e-05i,-0.0048694+0.00055721i,-0.0051656-0.00025899i,-0.0013271-0.0015451i,-0.0019122-0.0041519i,0.014834+0.011602i,-0.00072625-0.0036672i,-0.0023178-0.0024863i,-0.0010413-0.0069192i,-0.0030278+0.0011384i,0.0023288+0.00063627i,0.0045843-0.0068215i,0.0009874+0.002578i,-0.0015112+0.006133i,-0.005098-0.0072082i,0.023061+0.019384i,-0.050861-0.067678i,-0.043037-0.044986i,-0.012972-0.052137i,-0.0073496-0.036527i,0.030977-0.093926i,-0.030708-0.10668i,0.03909-0.084759i,-0.00095589-0.043153i,0.007328-0.012078i,0.0056023-0.0092113i,-0.0089929-0.031773i,0.0021715-0.0033176i,-0.013313-0.0029617i,-0.0097557-0.0033911i,-0.046372+0.0070969i,0.0087971+0.018375i,-0.0079451-0.0089922i,-0.0082254+0.0055634i,-0.0050148+0.0010892i,-0.020348-0.0022301i,0.0047717+0.012155i,0.017822-0.0054105i,0.023727+0.0071601i,0.0085106-0.0037243i,-0.0031718+0.00053978i,-0.0052479+0.0034199i,-0.0055961+0.018508i,-0.004823+0.00019513i,-0.024873+0.030857i,-0.0039714-0.003111i,-0.0014949+0.0067316i,-0.0023913+0.011067i,-0.0060066-0.0034284i,-0.0027612+0.0062565i,-0.00072577-0.0023134i,0.0021548+0.0017955i,0.00077324-0.0040722i,-0.002045+0.0046696i,-0.00030793+0.000391i,-0.0027054+0.018731i,0.00061128+0.00045816i,-0.013146+0.010024i,-0.020133+0.01533i,-0.01162-0.057483i,0.0036762-0.019822i,-0.052173+0.01586i,-0.027783-0.0051555i,0.012997-0.011088i,-0.0020147+0.013902i,-0.024129-0.0030414i
-0.026812+0.0014498i,-0.045978-0.010394i,-0.03794-0.011427i,-0.036383+0.002836i,-0.018373-0.00019089i,-0.03241+0.011998i,-0.053173+0.016567i,-0.055056-0.0030477i,-0.03033+0.0033833i,0.0046392+0.0022349i,0.0025766+0.0077374i,0.0062104+0.0061108i,7.0018e-05-0.0055201i,0.0008387+0.0096831i,0.00060568-0.0026744i,0.010431+0.0047279i,0.020918-0.017691i,0.0021691-0.0026962i,0.001699+0.0059244i,0.0026676-0.004252i,0.0032238+0.0025725i,0.0033919+0.0018867i,0.00010267+0.0013468i,0.018101+0.011486i,-0.003208+0.0021859i,0.00044004-0.0024166i,0.0018056-0.0031006i,0.0017434-0.0010096i,-0.00029755+0.00010488i,-0.0029808+0.001481i,-0.00046026+0.00019145i,-0.0037741+0.0024228i,-0.0042218+0.001217i,-0.0019824-0.00092337i,-0.0031058-0.0025255i,0.016082+0.0082954i,-0.0016481-0.0032829i,-0.0033671-0.0015176i,-0.0034255-0.0054351i,-0.0014398-0.00016503i,0.002089-0.00014494i,0.0015926-0.0058568i,0.0020464+0.0019815i,-0.00089239+0.005656i,-0.0067708-0.011331i,0.033588+0.0058916i,-0.056591-0.054358i,-0.045363-0.032978i,-0.016301-0.056522i,-0.008201-0.038098i,0.0011727-0.10873i,-0.055087-0.097442i,0.018976-0.098026i,-0.009562-0.038739i,0.0069209-0.0094793i,-6.8149e-05-0.010905i,-0.018309-0.02385i,-0.0030295-0.0065734i,-0.014506-0.00038469i,-0.016105+0.00027049i,-0.039902+0.024044i,0.012071+0.0082i,-0.012078-0.0042649i,-0.0066035+0.0069382i,-0.005328+0.0041634i,-0.019238+0.0085004i,0.005049+0.0070419i,0.015512-0.01307i,0.024482-0.0042904i,0.0061966-0.0076926i,-0.0053156+0.0023229i,-0.0026038+0.0060703i,0.0032969+0.019503i,-0.0046616+0.0041158i,-0.017117+0.040088i,-0.005642-0.0030037i,0.0012051+0.0044326i,0.0039675+0.010214i,-0.0079977+0.00084556i,-0.0022186+0.0032661i,-0.0020058-0.0024299i,0.0016863+0.0032085i,-0.0029646-0.0040444i,-0.0019239+0.0010351i,-0.0034799+0.0035323i,0.0048248+0.019185i,-0.0009014+0.00085047i,-0.0061371+0.011518i,-0.016436+0.018277i,-0.019404-0.054526i,0.0075833-0.025318i,-0.042578+0.031269i,-0.031217+0.0055037i,0.0075419-0.015238i,-0.0011015+0.0066243i,-0.02248-0.00070841i
-0.023875+0.0047469i,-0.047219-0.0031583i,-0.043265-0.0019889i,-0.035219+0.0079946i,-0.023346+0.0016784i,-0.026732+0.018053i,-0.039472+0.019917i,-0.050478+0.0053836i,-0.027093+0.0056766i,0.0041325+0.0013195i,0.0031617+0.0061714i,0.0068032+0.0021398i,-0.0036921-0.0048391i,0.0056842+0.0068049i,-0.001011-0.0028513i,0.0087472+0.0038211i,0.0074346-0.019887i,0.0015543-0.0030931i,0.0057292+0.0043254i,0.0010537-0.0040388i,0.0047497+0.00041949i,0.0031442+0.00078295i,0.0011593+0.0017166i,0.020626-0.0021784i,-0.0011584+0.00341i,-0.00052663-0.0020971i,-0.00052096-0.00090996i,0.0020908-0.0020612i,-2.1524e-06-0.00050082i,-0.0012837+0.0029405i,-8.4632e-05+0.00016313i,-0.0025614+0.0030506i,-0.004226+0.0028888i,-0.0019445+0.00028785i,-0.0026008-0.0012714i,0.018289+0.0033428i,-0.0028029-0.0026026i,-0.0043885-0.0004534i,-0.0052103-0.004027i,-0.003115-0.0015671i,0.0020647-0.00054119i,8.7085e-05-0.0043142i,0.0023257+0.00081325i,-0.00016313+0.0058146i,-0.011855-0.012709i,0.030026-0.013719i,-0.05507-0.043512i,-0.046622-0.023302i,-0.022477-0.0573i,-0.0085698-0.042676i,-0.03175-0.10455i,-0.076319-0.080829i,0.00043578-0.1004i,-0.0089808-0.024856i,0.012462-0.0049448i,-0.0046668-0.0091216i,-0.0202-0.011412i,-0.0061788-0.0065282i,-0.01778+0.0043927i,-0.013401+0.0069156i,-0.029204+0.038252i,0.0097528+0.002236i,-0.010055+0.0034971i,-0.0064871+0.0080301i,-0.0016624+0.0077228i,-0.012178+0.015389i,0.0060378+0.0081691i,0.0099203-0.024203i,0.015106-0.018664i,-0.00053087-0.011746i,-0.0060347+0.0064329i,-0.000533+0.0060752i,0.011168+0.015805i,-0.0014349+0.0066335i,-0.00044367+0.051902i,-0.0091542-0.0017514i,0.00098185+0.0034746i,0.0074233+0.0054736i,-0.0062524+0.0074837i,-0.0025362+0.0043989i,-0.0046067-0.0014806i,0.0045026+0.0037899i,-0.0044279+0.0020688i,-0.0050968+0.00069391i,2.1262e-05+0.0092368i,0.010667+0.014566i,-0.0016541+0.00068412i,-0.0019879+0.0075351i,-0.010067+0.02198i,-0.021161-0.046345i,-0.0012802-0.039332i,-0.020289+0.037535i,-0.025524+0.013864i,0.004781-0.021361i,-0.002237+0.00088644i,-0.020949+0.0045454i
-0.020881+0.0066134i,-0.050961+0.0030264i,-0.045557+0.009331i,-0.031279+0.01422i,-0.026163+0.0084193i,-0.020838+0.020782i,-0.030799+0.018687i,-0.045953+0.011071i,-0.026884+0.0086008i,0.0044755-6.3894e-05i,0.0057087+0.0053887i,0.0036043-0.0016723i,-0.0068697-0.0015272i,0.0073756+0.00093554i,-0.0023211-0.0021977i,0.0079863+0.003711i,-0.0016355-0.01527i,0.00030659-0.0036956i,0.0063733+0.00044463i,-0.00017933-0.0030302i,0.0041577-0.0019933i,0.0042306+0.00057848i,0.0021331+0.0010504i,0.014923-0.011402i,0.0016587+0.0024017i,-0.00075938-0.0013791i,0.00041885-0.0018749i,0.001254-0.0032015i,-0.00010899-0.00035847i,0.00038278+0.0025293i,-2.6689e-05-0.00010859i,-0.00093857+0.0033759i,-0.0019241+0.0044923i,-0.0012781+0.00069747i,-0.0032248-0.0015485i,0.01782-0.0031778i,-0.0030752-0.0009363i,-0.0039453+0.0011679i,-0.0061407-0.00058617i,-0.005926+0.00021452i,0.0017573-0.00091549i,-0.00027264-0.0047256i,0.0021903-0.00022292i,0.00059582+0.004425i,-0.016869-0.010489i,0.017793-0.019167i,-0.056973-0.039832i,-0.040613-0.012964i,-0.027425-0.057107i,-0.016896-0.05019i,-0.054937-0.091442i,-0.084431-0.056113i,-0.022267-0.10066i,0.00064591-0.022231i,0.018098-0.018271i,-0.0069976-0.0055973i,-0.016422-0.0092245i,-0.012742-0.004977i,-0.014827+0.013193i,-0.010312+0.0085349i,-0.009143+0.044471i,0.0088536-0.00088304i,-0.0078595+0.0036247i,-0.0016376+0.0086399i,0.00097677+0.0060754i,-0.0046843+0.019072i,0.0099272+0.0053684i,-0.0062033-0.027916i,-0.0014391-0.020349i,-0.0048428-0.0051758i,-0.0025206+0.0095524i,0.0028866+0.0047139i,0.016744+0.0069421i,0.002458+0.0054292i,0.024735+0.048128i,-0.0076804+0.003259i,0.0010796+0.002515i,0.0074517+0.00070116i,-7.2675e-05+0.010198i,-0.004788+0.0052445i,-0.0050794+0.0025963i,0.0071334+0.0025241i,-0.0021635+0.0049495i,-0.006826+0.0032287i,0.0047254+0.0086118i,0.012883+0.0090665i,-0.001345+0.0021854i,0.00037006+0.0041304i,-0.0029403+0.021694i,-0.021863-0.044388i,-0.021271-0.039993i,-0.0046652+0.029308i,-0.020566+0.018123i,-0.0042694-0.027784i,-0.0063639-0.0016955i,-0.012327+0.0054758i
-0.018875+0.00775i,-0.052322+0.015123i,-0.043569+0.022287i,-0.026424+0.01709i,-0.02357+0.015878i,-0.016287+0.022302i,-0.025642+0.016371i,-0.041893+0.015152i,-0.024199+0.014899i,0.0039239-0.0012957i,0.0071469+0.000476i,-0.0013111-0.00029285i,-0.0067709+0.0028374i,0.0040987-0.0022622i,-0.0032217-0.0014498i,0.0096659+0.0024251i,-0.0055031-0.0093279i,-0.001316-0.0032195i,0.0045398-0.0017735i,-0.00074383-0.0023117i,0.0020057-0.002427i,0.0040107-0.0013637i,0.0022151+3.6715e-05i,0.0073016-0.015482i,0.0015486+0.00049375i,-0.0007155-0.0012209i,-7.1854e-05-0.0026146i,-0.0001272-0.0029682i,0.00077692-2.2609e-05i,0.0008809+0.0016969i,-0.00019258-0.00044322i,0.00036056+0.0032169i,0.00031499+0.0044587i,-0.0009692+0.00048447i,-0.0036432+0.00095356i,0.014476-0.0085817i,-0.0024918+3.8505e-06i,-0.0024827+0.0025659i,-0.0042384+0.00122i,-0.0059559+0.0031346i,0.0012972-0.001017i,-0.0013887-0.0041406i,0.0015264-0.0010353i,1.2715e-05+0.0036234i,-0.020274-0.005206i,0.014282-0.01404i,-0.061268-0.035883i,-0.032549-0.010268i,-0.03401-0.056187i,-0.029659-0.04881i,-0.074836-0.07667i,-0.0808-0.036965i,-0.04746-0.088566i,0.0056111-0.02797i,0.01254-0.029253i,-0.0067545-0.0036672i,-0.016629-0.0056781i,-0.018274+0.0030072i,-0.0076489+0.01809i,-0.0068152+0.011567i,0.010511+0.03767i,0.0065817-0.0058929i,-0.008105+0.0048281i,-0.00054404+0.0062143i,0.0038295+0.0057792i,0.004184+0.016114i,0.010461-0.0014341i,-0.020601-0.018427i,-0.01173-0.011849i,-0.0039668-0.0011395i,0.0027386+0.0093641i,0.003813+0.0022915i,0.017851-0.00048869i,0.0050045+0.0043056i,0.042052+0.031692i,-0.005467+0.0039417i,0.00056173+0.0026907i,0.0053209-0.0034276i,0.0061108+0.0070899i,-0.0044462+0.011313i,-0.0021682+0.0069163i,0.0090212-0.0013983i,0.002538+0.0048212i,-0.0069252+0.0067142i,0.0077835+0.0053361i,0.01351+0.0044074i,-0.00070367+0.0015848i,0.00021632+0.00066573i,0.0017236+0.018624i,-0.02312-0.042707i,-0.032826-0.026862i,0.0038037+0.018068i,-0.0073966+0.022255i,-0.016248-0.028168i,-0.013151-0.00045733i,-0.011643-0.0016354i
-0.017307+0.0091242i,-0.047089+0.027386i,-0.035345+0.034155i,-0.022963+0.019424i,-0.018203+0.020364i,-0.011606+0.023696i,-0.023106+0.013414i,-0.039325+0.018799i,-0.016911+0.019272i,0.002701-0.0023949i,0.00348-0.0028886i,-0.0015191+0.0037339i,-0.0045118+0.005781i,0.0013995-0.0030353i,-0.0040903-0.0003019i,0.01047-0.00077209i,-0.0045243-0.0047638i,-0.002085-0.0020881i,0.0025946-0.0022379i,-0.0008912-0.0016906i,0.0017878-0.0014191i,0.0029991-0.002074i,0.0019904-0.00039796i,0.00095563-0.014926i,0.00088531-0.00025407i,-0.0010611-0.0014679i,-0.00088919-0.0025856i,-0.001029-0.0026792i,0.00068139-0.0010083i,0.0013194+0.0013156i,-0.00045286-0.00080412i,0.0016533+0.0028088i,0.0017003+0.0029887i,-0.0010961+0.0012854i,-0.0020246+0.0011455i,0.009234-0.01209i,-0.0017197+0.00038917i,-0.00077151+0.0031362i,-0.0041884+0.0022074i,-0.0044478+0.0052413i,0.0011035-0.00097418i,-0.0029172-0.0030413i,0.00093424-0.001362i,-0.0012453+0.0044013i,-0.020802+0.0014326i,0.021741-0.012067i,-0.068385-0.029262i,-0.027594-0.012119i,-0.040378-0.052995i,-0.038566-0.042489i,-0.089444-0.053521i,-0.07835-0.026948i,-0.055879-0.06415i,0.0057598-0.032109i,0.002213-0.036844i,-0.0072375-0.0026832i,-0.015754-0.0056582i,-0.014238+0.01357i,-0.00017159+0.017884i,0.0015072+0.010779i,0.018161+0.023817i,0.0023458-0.0080353i,-0.0073825+0.0078615i,-0.000717+0.0058989i,0.0055437+0.0017249i,0.0084486+0.01125i,0.0044719-0.0035685i,-0.025722-0.004157i,-0.014068-0.003345i,-0.0015177-0.0004702i,0.0051052+0.0079642i,0.0024203+0.00080442i,0.013907-0.011195i,0.0057883-0.00010412i,0.049262+0.010744i,-0.0054395+0.0060395i,0.0020434+0.002143i,0.00092047-0.0051841i,0.0070073+0.0027624i,0.0010323+0.014917i,0.0040112+0.0049848i,0.0060931-0.0052819i,0.0050095+0.0012404i,-0.0033876+0.011708i,0.0067204+0.0028308i,0.012577+0.00063595i,-0.0023635+0.0012994i,-0.0038241-0.00032669i,0.0046453+0.016549i,-0.024561-0.042794i,-0.034374-0.013048i,0.0036374+0.008069i,0.0020288+0.014839i,-0.028472-0.022832i,-0.014996+0.0083188i,-0.01644-0.00098312i
-0.015796+0.010621i,-0.038809+0.035063i,-0.02359+0.04129i,-0.0197+0.021842i,-0.012346+0.023161i,-0.006864+0.024392i,-0.023324+0.011624i,-0.036454+0.023961i,-0.010827+0.019512i,0.00093113-0.002786i,0.00015797-0.0019407i,0.00062376+0.0054126i,-0.0012146+0.0066238i,-0.00087271-0.0026824i,-0.004182+0.0013024i,0.0084999-0.0048497i,-0.0039727-0.0040254i,-0.0020748-0.00072201i,0.001773-0.0026137i,-0.00089746-0.0011937i,0.0023786-0.0018877i,0.0021641-0.0020136i,0.0018929-0.00077846i,-0.0035768-0.013013i,0.00066872-0.00047813i,-0.0016956-0.0008402i,-0.0017716-0.0020557i,-0.0021421-0.0023675i,0.00016768-0.0012419i,0.001796+0.00057293i,-0.00097775-0.00082109i,0.0025209+0.0014791i,0.0023698+0.0017562i,-0.00037573+0.0016285i,-0.0020022+0.0014878i,0.0034181-0.011725i,-0.0017383-4.8846e-05i,0.0009676+0.0026596i,-0.0025868+0.0041666i,-0.0023122+0.0071375i,0.0010382-0.00086528i,-0.0025958-0.0016492i,0.00039782-0.0015739i,-5.091e-05+0.0066632i,-0.01702+0.0068033i,0.03217-0.022243i,-0.075435-0.017551i,-0.027634-0.013936i,-0.044754-0.048944i,-0.045804-0.035668i,-0.091252-0.029951i,-0.076756-0.015762i,-0.052014-0.049941i,0.0052389-0.039071i,-0.010946-0.038949i,-0.0070269-0.0010348i,-0.019305-0.0061561i,-0.0053426+0.017673i,0.0054403+0.014401i,0.0057081+0.003764i,0.017397+0.012361i,-0.0026519-0.0082252i,-0.0046455+0.01024i,-0.00026966+0.0063027i,0.0039741-0.0014351i,0.0094516+0.0058475i,0.0029271-0.0007792i,-0.022462+0.0094194i,-0.011306+0.0043785i,-0.0013884-0.00024043i,0.0085643+0.0058443i,0.0010497+0.00078301i,0.0046046-0.014953i,0.0031261-0.002741i,0.045418-0.0091088i,-0.0029055+0.0085094i,0.0012916+0.0010469i,-0.0024497-0.0031912i,0.0062974+0.0011167i,0.0086016+0.015239i,0.0044634+0.00081178i,0.0034825-0.0064314i,0.0033291-0.0014217i,0.0035399+0.012913i,0.0066289+0.0010837i,0.011952-0.003272i,-0.0015952+0.0050986i,-0.0051842+0.0013377i,0.0073743+0.014591i,-0.029171-0.044801i,-0.030329-0.0043623i,0.0021747+0.0033905i,0.0032649+0.0065876i,-0.037111-0.012807i,-0.0093037+0.010806i,-0.015938+0.0014339i
-0.013666+0.012263i,-0.029524+0.039738i,-0.010465+0.043478i,-0.014989+0.024445i,-0.0054525+0.023487i,-0.0022991+0.024087i,-0.024394+0.012362i,-0.031931+0.029096i,-0.0055155+0.019087i,-0.00032813-0.0023544i,-0.0011476-9.6102e-05i,0.0035581+0.0049068i,0.0011876+0.0062583i,-0.0029407-0.00074916i,-0.0038357+0.0026249i,0.0049154-0.0068319i,-0.005439-0.0040134i,-0.0018892-0.00015971i,0.00042447-0.0025638i,-0.0010832-0.00087007i,0.00195-0.0029179i,0.0020883-0.0020576i,0.0016323-0.0012403i,-0.0070863-0.010896i,0.0002719-0.00067132i,-0.0016555-0.00011375i,-0.0025081-0.0012125i,-0.0026852-0.0011929i,-0.00024957-0.0012225i,0.0014502-0.00038467i,-0.0014542-0.00038938i,0.0021514+0.00045845i,0.0025762+0.00046323i,0.00059077+0.0011777i,-0.0013995+0.0020741i,0.00027866-0.0090028i,-0.0017077+0.00037217i,0.0017494+0.0013168i,-0.00032256+0.0039718i,0.0012469+0.0076831i,0.0011513-0.00093365i,-0.0020994-0.0010393i,-0.00065214-0.0019394i,0.0021985+0.0059868i,-0.012331+0.0084634i,0.03195-0.041517i,-0.077826-0.0015241i,-0.026631-0.014598i,-0.048676-0.049097i,-0.050802-0.026739i,-0.088851-0.01278i,-0.073911-0.006727i,-0.05033-0.040931i,-0.00062765-0.044738i,-0.025614-0.036882i,-0.0069983-0.00058796i,-0.027008-0.0028722i,0.0021972+0.01515i,0.0087018+0.0095335i,0.0048181-0.0021581i,0.013876+0.006687i,-0.0070363-0.007756i,-0.00085044+0.01125i,0.001359+0.0068062i,0.0015008-0.0021551i,0.0071999+0.0020375i,0.003687+0.00015267i,-0.014006+0.016775i,-0.0060938+0.0087606i,0.00037763-0.00037625i,0.010949+0.00051221i,0.00030633+0.0021355i,-0.0032889-0.012503i,0.00048954-0.0028553i,0.035037-0.023053i,0.001173+0.0098782i,0.00060089+0.0017703i,-0.0042021-2.4525e-05i,0.0059497-0.0018269i,0.015067+0.010892i,0.0031394-0.0016349i,0.00015466-0.0073492i,0.0012438-0.0025798i,0.008977+0.0099598i,0.0060433+0.00071474i,0.0082513-0.0072492i,0.0018919+0.006396i,-0.0050074+0.0023994i,0.011193+0.011856i,-0.037775-0.042439i,-0.02506+0.0026073i,0.00079545-0.00053851i,0.00081548+0.0027522i,-0.040885-0.00096079i,-0.0066504+0.0094291i,-0.014581+0.0031125i
