-0.023241-0.018826i,-0.03217-0.034205i,-0.022526-0.019628i,-0.032285-0.020195i,-0.023974+0.0039935i,-0.029054-0.017519i,-0.05939-0.04106i,-0.039873-0.043383i,-0.032307-0.019848i,0.0055844+0.0054394i,-0.0037398+0.0060113i,-0.010786+0.011249i,0.0039308+0.0072178i,-0.0038968-0.0026434i,0.0026436+0.0017612i,0.0049055+0.030251i,0.02225+0.027264i,-5.8067e-05+0.00017378i,-0.0030553-0.0027478i,0.0078626+0.004506i,0.0019456+0.00050629i,-0.00035862+0.0022668i,-0.00062557+0.0004748i,-0.031814-0.00090817i,-0.0033001-0.005253i,7.1146e-05+0.0024836i,0.0042605-0.00036311i,0.00084-0.00051928i,-0.00036927-0.000579i,-0.001216-0.001552i,-0.0023692-0.00089553i,-0.0038759-0.0040605i,-0.0027076-0.0052413i,0.00022601-0.0014168i,0.00031151-0.0025982i,-0.0044943+0.025349i,0.0019891-0.0030477i,0.0022145-0.0045457i,0.0040621-0.002274i,-0.0085598-0.0028412i,0.00084236+0.00099928i,0.0037082+0.0038306i,-0.0026866-3.731e-05i,-0.0030221+0.00094683i,-0.0090511-0.0030782i,-0.018975+0.021397i,-0.0077991-0.085937i,-0.0018541-0.06075i,-0.021799-0.054075i,-0.01039-0.045476i,0.053741-0.025902i,0.02441-0.067509i,0.04117-0.053073i,0.018598-0.039431i,0.026168-0.019757i,0.012248+0.011924i,0.024643-0.028613i,-0.012976-0.0017233i,-0.00078334-0.00094766i,-0.0070703-0.0018829i,-0.0050535-0.029078i,-0.02116+0.027202i,0.0078368-0.0091662i,-0.0098776-0.0029157i,-0.0023227-0.0018532i,-0.00066024-0.014377i,-0.0079643+0.0049456i,0.0051084+0.010377i,-0.010331+0.031164i,0.0064679+0.0072895i,-0.003369-0.001735i,-0.0024002-0.0017625i,-0.012707-0.0063699i,5.4749e-05-0.0038494i,-0.030185+0.0047047i,0.0037295-0.0088487i,-0.0077096-0.0017267i,-0.0053558-0.002718i,0.0064623+0.0020688i,-0.010391+0.00084763i,0.0024595-0.00034593i,0.0070457+0.0080798i,0.0052535+0.0015563i,-0.0079298-0.0099355i,0.0025205+0.0078074i,-0.01955+0.0080778i,0.0032051+0.0057765i,-0.021304-0.0088481i,-0.026957-0.0054008i,0.011034-0.061294i,0.018542-0.015027i,-0.051884-0.030089i,-0.02318+0.0021673i,0.01908+0.010345i,-0.026937+0.011532i,-0.012666-0.0078941i
-0.027094-0.01446i,-0.036717-0.023501i,-0.0244-0.017073i,-0.035964-0.016183i,-0.019632+0.0046967i,-0.033119-0.010803i,-0.060834-0.027862i,-0.045221-0.036896i,-0.030377-0.010656i,0.0041438+0.0040541i,-0.0046188+0.0054464i,-0.0043967+0.014967i,0.0064631+0.0032269i,-0.0068836+0.00067607i,0.0030311+0.00040077i,0.011831+0.023158i,0.027941+0.014056i,0.0011913+0.00092019i,-0.0034185+0.00019051i,0.0084886-0.00049611i,0.0012649+0.0011542i,-0.00033324+0.0028722i,-0.00035562+0.00079495i,-0.018003+0.013192i,-0.0053209-0.0031897i,0.0021606+0.0012413i,0.0018927-0.00035769i,0.00098498+0.00028103i,0.0004313-0.00081989i,-0.0019652-0.0012826i,-0.0014309+0.00027559i,-0.0044246-0.0029852i,-0.0038327-0.0045619i,-0.00056642-0.0013388i,0.00010862-0.0013184i,0.0031466+0.023684i,0.0011552-0.0039498i,-0.00030464-0.0043241i,0.004379-0.0042288i,-0.005079-0.00071025i,0.00097278+0.0011763i,0.008871-0.0021849i,-0.0023119+0.002165i,-0.0051837+0.0027683i,-0.0069558-0.0029824i,-0.0048107+0.028058i,-0.024054-0.083853i,-0.018994-0.065213i,-0.017875-0.045201i,-0.012713-0.034463i,0.055094-0.049426i,0.019354-0.087513i,0.041571-0.05596i,0.012517-0.044924i,0.013837-0.015574i,0.012589+0.00079458i,0.012371-0.031481i,-0.009924+0.006598i,-0.002237-0.0081057i,-0.0080886-0.00075147i,-0.026184-0.027198i,-0.0086128+0.025055i,0.001799-0.012308i,-0.011879-0.0011727i,-0.0021041-0.0012229i,-0.0078783-0.013754i,-0.0082714+0.0087462i,0.010399+0.0096145i,0.0098556+0.028311i,0.0070965+0.0018771i,-0.0034401+0.0010393i,-0.0045966-0.0013611i,-0.016449+0.0034805i,0.00038965-0.0030698i,-0.037558+0.0090393i,-0.0019156-0.0075826i,-0.0069844+0.0021463i,-0.0071463+0.00027664i,0.004982-0.003704i,-0.0094416+0.0038223i,0.0023403-0.0023865i,0.005598+0.0021776i,0.0043315-0.00023237i,-0.012396-0.0020658i,0.0028442+0.0047811i,-0.01472+0.016215i,0.0041081+0.0025056i,-0.02143+7.9826e-05i,-0.028353+0.0028379i,-0.00037387-0.060063i,0.012959-0.02232i,-0.057077-0.014839i,-0.016495-0.0012542i,0.019309+0.0029419i,-0.020778+0.018991i,-0.019854-0.012314i
-0.028222-0.0089897i,-0.037244-0.019095i,-0.026339-0.016166i,-0.038871-0.0093493i,-0.016593+0.0037248i,-0.035405-0.0037021i,-0.064222-0.015679i,-0.052046-0.029396i,-0.028003-0.009847i,0.0038504+0.0034954i,-0.0042397+0.0084427i,0.0023136+0.013229i,0.0059239-0.00097427i,-0.0066189+0.0043613i,0.0026671-0.00061985i,0.014924+0.016194i,0.029092+0.0054027i,0.0026358+0.00032702i,-0.0019104+0.0018769i,0.0058232-0.002428i,0.0011577+0.0015905i,0.00086438+0.0042617i,2.4471e-05+0.00084441i,-0.0061525+0.017876i,-0.0051946-0.00070223i,0.002457-0.00097227i,0.0025471-0.00032108i,0.0018982-8.2531e-05i,-0.00047076-0.0011239i,-0.0025184-0.00057528i,-0.00083144+0.00030408i,-0.005559-0.00123i,-0.0046412-0.002571i,-0.00082409-0.0014378i,0.00094167-0.0029365i,0.010844+0.019918i,-0.00014028-0.0036829i,-0.0013427-0.003247i,0.0019803-0.0068651i,-0.004392-0.00012218i,0.0014533+0.0014192i,0.00728-0.0049253i,-0.0003047+0.0035798i,-0.0042662+0.0049274i,-0.0062927-0.005562i,0.010255+0.026478i,-0.038857-0.077554i,-0.034749-0.057088i,-0.010702-0.047675i,-0.0071864-0.034268i,0.047879-0.071065i,-0.0015421-0.10454i,0.043953-0.064838i,0.0049993-0.044705i,0.0097687-0.013961i,0.0099495-0.0041465i,0.0037483-0.033419i,0.0016845+0.0058742i,-0.010701-0.0089701i,-0.0062284-0.0012741i,-0.041123-0.014142i,-0.0011583+0.023765i,-0.0043373-0.01112i,-0.011132+0.0035565i,-0.0037365-0.0011778i,-0.015457-0.010681i,-0.0031786+0.014235i,0.016884+0.0034456i,0.01853+0.017218i,0.0073045-0.00076599i,-0.0027026+0.00075991i,-0.0053642+0.00062455i,-0.0118+0.011603i,-0.0027834-0.0029318i,-0.034453+0.020023i,-0.0033079-0.0043914i,-0.0053671+0.005444i,-0.0083151+0.0058671i,-0.00091154-0.0057596i,-0.0066952+0.0065406i,0.00017715-0.0029614i,0.0036078+0.001183i,0.0034923-0.0016709i,-0.0075852+0.0052576i,0.0027619+0.0025699i,-0.0073116+0.019829i,0.002424-3.6878e-05i,-0.018155+0.0060312i,-0.024651+0.010425i,-0.0062078-0.056737i,0.0042485-0.023443i,-0.057257-0.0006287i,-0.021447-0.0073128i,0.017456-0.0054228i,-0.0099231+0.019238i,-0.023886-0.0088366i
-0.027933-0.0042246i,-0.040781-0.016854i,-0.030688-0.015524i,-0.037688-0.0023919i,-0.015689+0.0013778i,-0.034968+0.0045112i,-0.064175+0.0029137i,-0.057862-0.017361i,-0.030913-0.004883i,0.0041707+0.0032593i,-0.00041955+0.010026i,0.0051272+0.0090507i,0.003798-0.0040783i,-0.0042466+0.0084087i,0.0018612-0.0016848i,0.015099+0.0082154i,0.028882-0.0065423i,0.0030407-0.001381i,-0.0011437+0.003302i,0.0045157-0.0032808i,0.0021261+0.002378i,0.0028218+0.0036955i,0.0001239+0.00093325i,0.0039155+0.018979i,-0.0043192+0.00096204i,0.0012768-0.0020397i,0.0027765-0.0013523i,0.0018941-0.0012624i,-0.00065684-0.00029121i,-0.0028775+0.00035656i,-0.00043367+0.00024837i,-0.005222+0.00071037i,-0.0053707-0.00096543i,-0.0013018-0.0013576i,-0.0012556-0.00365i,0.014622+0.013256i,-0.0010756-0.0035005i,-0.0021995-0.002606i,-0.0013697-0.0066201i,-0.0034845+0.0016984i,0.0021097+0.00068438i,0.0045938-0.0064496i,0.0015855+0.0030245i,-0.0022199+0.0055546i,-0.006033-0.0073322i,0.023328+0.01967i,-0.050917-0.067093i,-0.042201-0.045333i,-0.012986-0.052061i,-0.0069125-0.036921i,0.032063-0.093405i,-0.030794-0.10694i,0.039248-0.082868i,-0.0005184-0.04439i,0.0073278-0.012174i,0.0055672-0.0089785i,-0.0065473-0.034467i,0.0023239-0.0031555i,-0.013592-0.0032674i,-0.0095954-0.0040247i,-0.045604+0.0075853i,0.0090428+0.019022i,-0.0083688-0.0087714i,-0.0081413+0.0050457i,-0.0048923+0.0012179i,-0.020526-0.0027408i,0.0047411+0.011995i,0.018436-0.0051961i,0.035634+0.0033241i,0.0079204-0.0024179i,-0.0032879+0.00066606i,-0.0053674+0.0032433i,-0.0059997+0.017713i,-0.0046615+0.0005197i,-0.033191+0.024712i,-0.0038242-0.0032279i,-0.001399+0.0070335i,-0.0032492+0.011127i,-0.0058345-0.0027965i,-0.0025051+0.0065302i,-0.00091727-0.0018773i,0.0030373+0.0018199i,0.0010359-0.003056i,-0.0024135+0.0042072i,-0.00034408+0.00023103i,0.016914+0.0031196i,-2.5026e-05+0.00031791i,-0.013271+0.0099981i,-0.019992+0.013784i,-0.010781-0.05545i,0.0035054-0.019994i,-0.052365+0.015568i,-0.028666-0.0037905i,0.0138-0.01217i,-0.0017362+0.013919i,-0.023993-0.0035839i
-0.026601+0.00048923i,-0.046183-0.010334i,-0.037746-0.011748i,-0.036312+0.0026078i,-0.018214-0.00037763i,-0.032409+0.012126i,-0.050327+0.016274i,-0.056242-0.0044227i,-0.029163+0.0011584i,0.0045126+0.0023049i,0.002907+0.0080814i,0.006092+0.0061484i,0.0002338-0.0055742i,0.0011554+0.0095458i,0.00072382-0.0025248i,0.011348+0.0042446i,0.017804-0.017926i,0.0019342-0.0027906i,0.0018521+0.0058367i,0.0028432-0.0041939i,0.0035287+0.0026146i,0.0034381+0.0020409i,0.00023864+0.001402i,0.016596+0.013332i,-0.0034039+0.0026942i,0.00055808-0.0026568i,0.0010314-0.0029161i,0.0026299-0.0020402i,-0.00024804+3.2276e-05i,-0.0027196+0.0017008i,-0.00040076+0.00025974i,-0.0040697+0.0025896i,-0.0044684+0.0010345i,-0.001927-0.00099085i,-0.0023458-0.0020026i,0.016197+0.0099338i,-0.0017545-0.0032762i,-0.0034587-0.0016075i,-0.0034716-0.004899i,-0.0017205+0.00031294i,0.00181-4.2004e-06i,0.0015474-0.0058033i,0.0026706+0.0022023i,-0.0017168+0.0051435i,-0.0077355-0.011083i,0.033844+0.0061195i,-0.056525-0.054029i,-0.044976-0.033653i,-0.016212-0.055957i,-0.0077873-0.038277i,0.0023768-0.10903i,-0.055578-0.097624i,0.020342-0.09596i,-0.009885-0.039706i,0.0067489-0.0095507i,7.7839e-05-0.010795i,-0.017634-0.025822i,-0.0027245-0.0065407i,-0.015047-0.00070074i,-0.016211-9.6958e-05i,-0.038236+0.02451i,0.012149+0.0092773i,-0.012398-0.0043796i,-0.0066589+0.0069322i,-0.0050168+0.0040743i,-0.019547+0.0084556i,0.0047342+0.0070759i,0.016004-0.012744i,0.024859-0.0054666i,0.0060504-0.0074014i,-0.0055764+0.0023835i,-0.0027338+0.0057246i,0.0027408+0.019491i,-0.0042648+0.0041571i,-0.024969+0.03705i,-0.0055928-0.0031995i,0.0012587+0.0045833i,0.003028+0.010486i,-0.0080189+0.0014467i,-0.0018328+0.0033217i,-0.0019726-0.0019196i,0.0021406+0.0041027i,-0.0023283-0.0036091i,-0.0017895+0.00084541i,-0.0034832+0.0034314i,0.0030841+0.017598i,-0.0013741+0.00069231i,-0.0059966+0.011679i,-0.017034+0.017451i,-0.018289-0.053422i,0.0077271-0.025458i,-0.04259+0.030741i,-0.031515+0.0072447i,0.0072717-0.015793i,-0.00056388+0.0064821i,-0.022087-0.00079009i
-0.023726+0.0038903i,-0.047391-0.0031468i,-0.04338-0.0022865i,-0.035199+0.0076244i,-0.023264+0.0013943i,-0.026754+0.017952i,-0.037219+0.018646i,-0.052019+0.0046314i,-0.026829+0.0041143i,0.0039395+0.0012535i,0.003709+0.0067079i,0.006655+0.002122i,-0.003725-0.0049728i,0.0057517+0.0067711i,-0.00083684-0.0027971i,0.0093359+0.0031356i,0.0050651-0.018534i,0.0012977-0.0030342i,0.0056958+0.0042272i,0.0010222-0.0040362i,0.0048834+0.00027976i,0.003352+0.00082094i,0.0012948+0.0016847i,0.02147-0.0011468i,-0.0011723+0.0037564i,-0.00052093-0.0031434i,-0.00052434-0.00041076i,0.001538-0.0015073i,5.3317e-05-0.00054057i,-0.0011631+0.0030035i,-6.104e-06+0.00025361i,-0.0027827+0.0033624i,-0.0039382+0.0028031i,-0.0020452+0.00019476i,-0.001413-0.00099291i,0.019585+0.0054276i,-0.0029586-0.0026277i,-0.0044812-0.00036436i,-0.005108-0.0039082i,-0.0036004-0.00090909i,0.0018431-4.9707e-05i,-6.9741e-05-0.0043195i,0.0028661+0.00084793i,-0.00084713+0.0056219i,-0.012682-0.011929i,0.030384-0.013088i,-0.054927-0.043157i,-0.046552-0.023854i,-0.021514-0.056869i,-0.0083619-0.043018i,-0.030566-0.10502i,-0.076952-0.080698i,0.0029637-0.098006i,-0.0090764-0.02579i,0.012124-0.0047497i,-0.0048873-0.0092531i,-0.019493-0.011517i,-0.0063049-0.0070027i,-0.018152+0.0039282i,-0.013667+0.0067727i,-0.026513+0.038253i,0.010295+0.0031753i,-0.010025+0.0030406i,-0.0064743+0.0079591i,-0.0018348+0.0076249i,-0.012958+0.015048i,0.0058799+0.0083611i,0.010338-0.02392i,0.016587-0.019224i,-0.00074396-0.011197i,-0.0061907+0.0065955i,-0.00067492+0.0060289i,0.010833+0.016393i,-0.0011369+0.0064975i,-0.006148+0.049591i,-0.0089903-0.0015852i,0.0011259+0.0035567i,0.0071304+0.0055481i,-0.005898+0.0075697i,-0.0027297+0.0041532i,-0.0044872-0.0011099i,0.0044491+0.0049012i,-0.0036191+0.0020059i,-0.0052251+0.00037928i,-2.6514e-05+0.0087578i,0.010981+0.014814i,-0.0019363+0.00058577i,-0.0016292+0.0074339i,-0.010203+0.021534i,-0.020568-0.045426i,-0.0012762-0.039377i,-0.020415+0.036646i,-0.02573+0.015799i,0.0050398-0.019331i,-0.0022023+0.00091023i,-0.020575+0.0038875i
-0.021253+0.0056989i,-0.050811+0.0031971i,-0.04561+0.0089514i,-0.03135+0.013732i,-0.026256+0.0082078i,-0.02077+0.020768i,-0.029444+0.016734i,-0.047332+0.010992i,-0.026667+0.0075661i,0.0041573+0.00028285i,0.0062528+0.0056601i,0.0035317-0.0016621i,-0.0068191-0.0017566i,0.0075465+0.00093965i,-0.0021348-0.0022732i,0.0083746+0.0032213i,-0.0028282-0.01362i,0.00017279-0.0034388i,0.0064663+0.00013205i,-0.0001203-0.0029362i,0.0043993-0.0019016i,0.004463+0.0004028i,0.0021867+0.0010085i,0.01633-0.011292i,0.0018248+0.0027835i,-0.00066091-0.0011633i,0.00064558-0.0017086i,0.0012535-0.0016981i,-5.5073e-05-0.00028855i,0.00039023+0.0026454i,8.5601e-05-6.5847e-05i,-0.0010634+0.0040601i,-0.0012306+0.0041502i,-0.0014007+0.0006047i,-0.00318+0.00066494i,0.020402-0.0029085i,-0.0030259-0.00077412i,-0.0039254+0.0011296i,-0.0065954-0.00068179i,-0.0061268+0.0013093i,0.0017956-0.00052867i,-0.00023214-0.0046875i,0.002529-0.00017868i,0.00051682+0.0045572i,-0.017258-0.0094999i,0.018755-0.019438i,-0.056518-0.039644i,-0.040516-0.013481i,-0.027512-0.057773i,-0.016748-0.050242i,-0.054202-0.09269i,-0.084831-0.056509i,-0.017562-0.10115i,6.0759e-06-0.023029i,0.017965-0.018398i,-0.0067163-0.0055868i,-0.015978-0.0091823i,-0.01313-0.0049968i,-0.016034+0.012858i,-0.010175+0.0082766i,-0.0068969+0.042665i,0.010115-8.7382e-05i,-0.007851+0.0031579i,-0.001287+0.0090045i,0.00078787+0.0062108i,-0.0047356+0.019651i,0.0097276+0.0056289i,-0.0059737-0.027523i,-0.0010345-0.021828i,-0.0048206-0.0051226i,-0.0026437+0.009186i,0.0029154+0.004971i,0.016997+0.0078091i,0.0023089+0.0052127i,0.022252+0.049605i,-0.0076839+0.0034685i,0.00099911+0.0023612i,0.0074582+0.00030854i,-0.00050984+0.010217i,-0.005004+0.0051342i,-0.0049514+0.0024752i,0.0072889+0.0032623i,-0.0018244+0.0047538i,-0.0073841+0.002836i,0.0048702+0.0084107i,0.011933+0.010858i,-0.0013695+0.0021906i,0.00066609+0.0038688i,-0.0034812+0.021377i,-0.020583-0.042895i,-0.021226-0.040275i,-0.0051983+0.029237i,-0.019091+0.020616i,-0.0034201-0.025908i,-0.0067046-0.001943i,-0.012454+0.0045188i
-0.019559+0.0072321i,-0.05236+0.014719i,-0.043988+0.02183i,-0.026514+0.01661i,-0.023681+0.015742i,-0.016137+0.022171i,-0.025254+0.014638i,-0.043094+0.015239i,-0.024075+0.014161i,0.0038049-0.00079362i,0.0060698+0.0011996i,-0.0012333-0.00038716i,-0.0068611+0.0022765i,0.0041638-0.0022823i,-0.0031178-0.0015724i,0.0099754+0.0021532i,-0.0063643-0.0074896i,-0.0014508-0.0030175i,0.0043466-0.0020233i,-0.00064343-0.0021047i,0.0021729-0.0026276i,0.0040769-0.0015455i,0.0022129-2.7245e-05i,0.0085316-0.016047i,0.0018671+0.00068902i,-0.00066944-0.0011817i,0.00013801-0.0026448i,-3.1899e-05-0.0032974i,0.00074204-0.00018525i,0.0010266+0.001837i,-9.2131e-05-0.00038562i,0.00065902+0.0036573i,2.1618e-05+0.0036112i,-0.0013312+0.00053675i,-0.0036025+0.0012864i,0.015556-0.0099294i,-0.0022832+1.1166e-05i,-0.0027366+0.0022757i,-0.0040636+0.0017451i,-0.0052002+0.0034421i,0.0015155-0.00086746i,-0.0012877-0.003935i,0.0017229-0.0010361i,-0.00024297+0.0038603i,-0.020074-0.0042481i,0.01471-0.014717i,-0.061047-0.03535i,-0.032591-0.010783i,-0.034327-0.05603i,-0.029607-0.048833i,-0.074523-0.077373i,-0.081498-0.037753i,-0.044735-0.091026i,0.0042639-0.028449i,0.0114-0.028474i,-0.0066269-0.0041217i,-0.01622-0.0056525i,-0.018666+0.0026829i,-0.0082437+0.01819i,-0.0072674+0.010881i,0.012084+0.035481i,0.011949-0.028674i,-0.0080276+0.0041031i,-0.00052256+0.0062348i,0.0037603+0.0058819i,0.0044982+0.016516i,0.010364-0.0014429i,-0.020798-0.019235i,-0.01263-0.012294i,-0.0041053-0.00122i,0.0021993+0.0094303i,0.0038208+0.0025173i,0.01852-0.00027919i,0.0048319+0.0042298i,0.042627+0.032704i,-0.0052863+0.0035763i,0.0007527+0.0026355i,0.0052303-0.0036986i,0.0058212+0.0074286i,-0.0042703+0.010795i,-0.0024519+0.0068217i,0.0088866-0.0008538i,0.0028149+0.0044904i,-0.007652+0.006175i,0.0074701+0.0049015i,0.014437+0.0056406i,-0.00093395+0.0018093i,3.2572e-05+0.0002187i,0.0014996+0.018682i,-0.020456-0.041945i,-0.032696-0.027897i,0.0043069+0.018054i,-0.0056431+0.02194i,-0.015086-0.027266i,-0.013972-0.00035638i,-0.011765-0.0021826i
-0.017816+0.0089353i,-0.047621+0.027043i,-0.035773+0.03397i,-0.02333+0.019098i,-0.018268+0.020252i,-0.011542+0.023365i,-0.023181+0.01219i,-0.040401+0.019593i,-0.016916+0.018387i,0.0027429-0.0023393i,0.0032776-0.0026194i,-0.0014823+0.0036273i,-0.0047037+0.0053254i,0.0013274-0.0029741i,-0.0040448-0.00051355i,0.010696-0.00097116i,-0.004658-0.0032516i,-0.0022406-0.0018578i,0.0025431-0.0022463i,-0.00084925-0.0017412i,0.0017477-0.0014795i,0.0031376-0.0022359i,0.0018583-0.00048358i,0.0014118-0.01566i,0.0010932-0.00015638i,-0.0011614-0.0013814i,-0.00074209-0.002483i,-0.0010802-0.0030274i,0.00071644-0.00099336i,0.0014531+0.0012909i,-0.00023119-0.00075573i,0.0019421+0.0028692i,0.0013334+0.0029512i,-0.0014783+0.001439i,-0.001656+0.0013839i,0.0091523-0.012508i,-0.0015518+0.00031483i,-0.0010949+0.0031939i,-0.0026391+0.0024357i,-0.0039941+0.0051416i,0.0012715-0.00071453i,-0.0026278-0.0029659i,0.001326-0.0012314i,-0.0018946+0.0049599i,-0.020358+0.0022545i,0.022105-0.012587i,-0.067406-0.02865i,-0.027842-0.012013i,-0.040068-0.052852i,-0.038518-0.042295i,-0.089645-0.054427i,-0.078618-0.026971i,-0.055841-0.06692i,0.004112-0.031607i,0.0022707-0.036147i,-0.0070964-0.0029297i,-0.0157-0.0060562i,-0.014845+0.013612i,-0.00075546+0.017911i,0.00096839+0.010646i,0.01869+0.022994i,0.0014557-0.0078989i,-0.007683+0.0066398i,-0.00082634+0.0060171i,0.0053822+0.0017639i,0.0083635+0.011561i,0.004368-0.0032965i,-0.027161-0.0049774i,-0.013724-0.0021032i,-0.001662-0.00022423i,0.0054353+0.0075309i,0.0023451+0.0011656i,0.014606-0.010495i,0.0055301-0.00025021i,0.050831+0.012865i,-0.0061394+0.0057268i,0.0023086+0.0020637i,0.00095147-0.0055708i,0.0066741+0.0026541i,0.00095827+0.014746i,0.0038794+0.0050405i,0.0066516-0.0043994i,0.0048992+0.00068161i,-0.0086537+0.011575i,0.0064272+0.0029066i,0.012829+0.0010661i,-0.0024479+0.0018143i,-0.0039345-0.00064186i,0.0043848+0.016692i,-0.021922-0.042942i,-0.034395-0.012657i,0.0043174+0.0075333i,0.0026514+0.01348i,-0.027288-0.022303i,-0.015689+0.0090627i,-0.016991-0.0019772i
-0.016378+0.010595i,-0.039337+0.035149i,-0.023933+0.041187i,-0.019914+0.021594i,-0.012474+0.023001i,-0.0069553+0.02409i,-0.023578+0.010839i,-0.037157+0.025149i,-0.010995+0.01865i,0.00060079-0.0028916i,0.00022316-0.0017224i,0.00070034+0.005327i,-0.0011396+0.0059921i,-0.00092339-0.0026532i,-0.0041747+0.00097966i,0.008533-0.0054396i,-0.0034157-0.0027908i,-0.002074-0.00069894i,0.0018541-0.0026391i,-0.00093028-0.0012444i,0.0024192-0.0020163i,0.0020804-0.0021203i,0.0017687-0.00075097i,-0.003568-0.013666i,0.00075363-0.0003966i,-0.0018134-0.0005784i,-0.0015414-0.0020646i,-0.0022546-0.0026802i,0.00019861-0.0012417i,0.0018221+0.00052657i,-0.00071739-0.00091944i,0.0026817+0.0013155i,0.0020999+0.0019323i,-0.00049894+0.0019089i,-0.001783+0.0016527i,0.0040347-0.011301i,-0.0015473-2.0536e-05i,0.00097957+0.0028922i,-0.0014893+0.0036996i,-0.0018071+0.0064338i,0.0014086-0.00073256i,-0.0023617-0.0014823i,0.0009618-0.0016826i,-0.0011607+0.008492i,-0.016001+0.0073723i,0.03231-0.022474i,-0.073832-0.018265i,-0.027459-0.01368i,-0.044188-0.049251i,-0.045702-0.035695i,-0.091624-0.030155i,-0.076669-0.016039i,-0.05288-0.051683i,0.0040652-0.037644i,-0.01159-0.037782i,-0.0072069-0.0012615i,-0.019579-0.0063106i,-0.0059106+0.017893i,0.0054009+0.014586i,0.0050772+0.0037498i,0.017933+0.01195i,-0.0032381-0.0075425i,-0.0054079+0.0097395i,-0.00029012+0.0064404i,0.0039701-0.0012912i,0.0095761+0.0065906i,0.0028817-0.00070042i,-0.024187+0.0090921i,-0.010921+0.0043304i,-0.0014839-0.00060897i,0.0089112+0.0039183i,0.00097845+0.0010846i,0.0054083-0.015076i,0.0029179-0.0026549i,0.047507-0.0077194i,-0.0040178+0.0092805i,0.001636+0.0010336i,-0.0023927-0.0034606i,0.0055689+0.00067023i,0.0081366+0.01554i,0.0043757+0.00066648i,0.0045623-0.005718i,0.0031209-0.0017504i,0.0031902+0.016374i,0.0062525+0.00092405i,0.012234-0.0030343i,-0.0014303+0.0055373i,-0.0055415+0.0010419i,0.0071508+0.014689i,-0.026694-0.045543i,-0.028149-0.0065658i,0.0022547+0.0025134i,0.00262+0.0054555i,-0.036037-0.013098i,-0.0094296+0.011669i,-0.016703+0.0011514i
-0.014296+0.012405i,-0.029975+0.040134i,-0.010426+0.043339i,-0.015312+0.024154i,-0.0056759+0.023411i,-0.0023721+0.02387i,-0.024732+0.01177i,-0.031974+0.030313i,-0.0059278+0.018387i,-0.00050948-0.0021418i,-0.0010688-7.2219e-05i,0.0035782+0.0048534i,0.001419+0.0061128i,-0.0029453-0.0008033i,-0.0039256+0.0020934i,0.0044292-0.0074507i,-0.0049042-0.00309i,-0.0019083-0.00025665i,0.00027281-0.0026379i,-0.001043-0.00092429i,0.0020382-0.0029557i,0.0020616-0.0020211i,0.0015363-0.0012066i,-0.007453-0.011343i,0.00040576-0.00053918i,-0.0015478+6.9255e-05i,-0.0025232-0.0012351i,-0.0030336-0.0014764i,-0.00022586-0.0011286i,0.0015259-0.00042179i,-0.0011965-0.00064249i,0.0022121+0.000144i,0.0022861+0.00059984i,0.00059867+0.0014762i,-0.0011818+0.0021673i,0.0006404-0.0088483i,-0.0016549+0.00032317i,0.0018591+0.0012853i,0.00096914+0.0035976i,0.00072438+0.0069585i,0.0014817-0.0012446i,-0.0016149-0.0010126i,-0.00016795-0.0021283i,0.0017506+0.0081834i,-0.01105+0.0084123i,0.032272-0.04169i,-0.077875-0.0030456i,-0.026278-0.014396i,-0.048196-0.049339i,-0.050578-0.02673i,-0.089057-0.012825i,-0.073917-0.0068774i,-0.051484-0.042086i,-0.0011282-0.043184i,-0.026045-0.035758i,-0.0070752-0.00051934i,-0.027324-0.0029168i,0.002264+0.015604i,0.0088209+0.0091978i,0.0044133-0.0017887i,0.013646+0.0064007i,-0.0071481-0.0060346i,-0.0013344+0.011051i,0.0012813+0.0066052i,0.0016508-0.0022547i,0.0077032+0.0023849i,0.003797+0.00023556i,-0.015457+0.016847i,-0.0057653+0.0094331i,8.6376e-05-0.00071163i,0.010276+0.00011594i,0.00018482+0.0022222i,-0.0021862-0.012636i,0.00040492-0.0029161i,0.036326-0.02052i,0.0013196+0.01089i,0.00095716+0.0016679i,-0.0043725-0.00032768i,0.0054021-0.0016574i,0.015324+0.011403i,0.0028091-0.0014912i,0.0015233-0.0075447i,0.0010118-0.0027421i,0.01631+0.0078634i,0.0055155+0.00096453i,0.0090263-0.0074638i,0.0019826+0.0066063i,-0.0056579+0.0021055i,0.010986+0.011662i,-0.035936-0.043762i,-0.024579+0.0031571i,0.00052861-0.00074236i,-0.00016904+0.0020775i,-0.040831-0.0014955i,-0.0062419+0.0099555i,-0.015269+0.0034244i
