-0.02318-0.018588i,-0.032092-0.032634i,-0.022091-0.019636i,-0.032469-0.020457i,-0.023785+0.0042613i,-0.02862-0.017599i,-0.057606-0.043867i,-0.040587-0.041686i,-0.030837-0.023517i,0.0049841+0.0056616i,-0.0037505+0.0066728i,-0.011271+0.010921i,0.0040096+0.0069777i,-0.0038246-0.0027418i,0.0028856+0.0016831i,0.0038549+0.027971i,0.026411+0.032389i,2.2783e-06+0.00014441i,-0.0030742-0.0027829i,0.0075682+0.0040027i,0.0020561+0.00070068i,-8.7779e-05+0.0025252i,-0.00049751+0.00032262i,-0.032711-0.00075299i,-0.0032477-0.0048974i,5.5719e-05+0.002504i,0.0039985-0.0011138i,0.00059255-0.00018877i,-0.00052583-0.00058837i,-0.0010021-0.0019489i,-0.0020493-0.00062562i,-0.0039325-0.0038641i,-0.0028605-0.0054591i,0.00033445-0.0012455i,0.00053061-0.0030101i,-0.0016256+0.025269i,0.0020985-0.002901i,0.002246-0.0039125i,0.0043615-0.002445i,-0.0067591-0.0017116i,0.0006269+0.0012292i,0.010191-0.0004196i,-0.0016953-9.6684e-05i,-0.0031953+0.0015154i,-0.0088214-0.0023458i,-0.019331+0.021712i,-0.0077556-0.086106i,-0.0023708-0.060834i,-0.021227-0.053089i,-0.010839-0.045931i,0.054583-0.025933i,0.024483-0.067283i,0.04131-0.053516i,0.018436-0.038512i,0.025641-0.019747i,0.012191+0.011778i,0.025732-0.029601i,-0.011494-0.0013581i,-0.00081898-0.0011699i,-0.0072084-0.0019942i,-0.0049073-0.029221i,-0.020706+0.02682i,0.0074067-0.0095618i,-0.010441-0.0034385i,-0.0023869-0.0018606i,-0.00049004-0.014454i,-0.008284+0.0049816i,0.0052613+0.010532i,-0.010372+0.031071i,0.0070798+0.0077257i,-0.0036876-0.0017672i,-0.0024386-0.0015531i,-0.012597-0.0055051i,0.00056071-0.0040184i,-0.032855+0.0030857i,0.003315-0.0090429i,-0.0070628-0.0019342i,-0.0052315-0.0029488i,0.006978+0.0019961i,-0.01007+0.00058028i,0.0024343-0.00020422i,0.0059332+0.0078181i,0.0058055+0.00084086i,-0.0077547-0.0097223i,0.0024581+0.0083244i,-0.019573+0.0074925i,0.0030687+0.0059462i,-0.021051-0.0090719i,-0.027293-0.0051721i,0.010372-0.061366i,0.018448-0.014592i,-0.05108-0.028838i,-0.023545+0.0033658i,0.019059+0.010166i,-0.027059+0.01195i,-0.012341-0.0079177i
-0.027071-0.014291i,-0.036008-0.022604i,-0.02409-0.017128i,-0.036022-0.016259i,-0.019282+0.0049518i,-0.0329-0.010937i,-0.06085-0.031215i,-0.045234-0.03498i,-0.03225-0.015879i,0.0039882+0.0044076i,-0.004358+0.0056252i,-0.0048885+0.015i,0.0067014+0.0029632i,-0.0069813+0.00057971i,0.0030716+0.0002083i,0.0098837+0.021834i,0.029935+0.017449i,0.0013108+0.0010282i,-0.0033127+0.00015494i,0.0075549+0.00030528i,0.001458+0.00099516i,-0.00010399+0.0025779i,-0.00040816+0.00076701i,-0.01792+0.01498i,-0.0048328-0.0028788i,0.0019295+0.0012043i,0.0026032-0.00039507i,0.00092432+0.0005139i,0.00020662-0.00076146i,-0.001941-0.0016572i,-0.0012037+0.00016162i,-0.0044268-0.0025932i,-0.003997-0.0040917i,-0.00030379-0.0013257i,0.00018533-0.0017561i,0.0055338+0.022894i,0.0014481-0.0037918i,-0.00013491-0.0040163i,0.0043499-0.0044993i,-0.0039149-0.00058173i,0.00092493+0.0014619i,0.0091565-0.0018776i,-0.0017847+0.0017684i,-0.0047847+0.0033933i,-0.0063445-0.0020423i,-0.0049624+0.028351i,-0.023961-0.083863i,-0.019052-0.064506i,-0.017502-0.045388i,-0.013-0.03444i,0.055123-0.049923i,0.01979-0.087591i,0.041963-0.056149i,0.011689-0.044054i,0.013534-0.015126i,0.012523+0.00081938i,0.012934-0.032694i,-0.0098872+0.005942i,-0.0024886-0.0083541i,-0.0080018-0.00067357i,-0.026336-0.027475i,-0.0088395+0.024429i,0.002003-0.011773i,-0.012245-0.00015151i,-0.0022144-0.0013203i,-0.0075987-0.013826i,-0.0085989+0.0088514i,0.010403+0.0094942i,0.0085009+0.029229i,0.0083007+0.0022995i,-0.0036208+0.00084244i,-0.0044632-0.00098328i,-0.015977+0.0039526i,0.00064227-0.0032491i,-0.036151+0.010365i,-0.0019689-0.0078037i,-0.0070476+0.0017008i,-0.006956+0.00033569i,0.005349-0.0038843i,-0.0087711+0.0039575i,0.0025403-0.0019236i,0.0047959+0.002825i,0.0046247-0.0011076i,-0.012315-0.0017532i,0.0031237+0.005197i,-0.013652+0.01453i,0.0041409+0.0030015i,-0.021336-9.5368e-05i,-0.029022+0.0027336i,1.396e-05-0.060826i,0.012562-0.022157i,-0.057205-0.013684i,-0.015472-0.00054529i,0.0195+0.0023353i,-0.020884+0.018656i,-0.0194-0.013174i
-0.028293-0.0087271i,-0.036662-0.018526i,-0.02625-0.016361i,-0.038605-0.0097133i,-0.016355+0.0037946i,-0.035162-0.003808i,-0.065895-0.018365i,-0.051495-0.027733i,-0.033263-0.010761i,0.0037468+0.0036653i,-0.0038076+0.0081997i,0.0022272+0.013497i,0.0059782-0.0012444i,-0.0067872+0.0043992i,0.0026845-0.00075573i,0.012834+0.015621i,0.03087+0.0077225i,0.0029293+0.0004079i,-0.0018341+0.0018193i,0.0064798-0.0020874i,0.00095772+0.0013044i,0.00088693+0.0034794i,3.6944e-05+0.00094296i,-0.0051276+0.017445i,-0.0046798-0.00066127i,0.0024219-0.00070736i,0.0027447-0.00098915i,0.0017954+0.0001793i,-0.00063663-0.0010607i,-0.0024129-0.0008477i,-0.00080509+0.00011496i,-0.0051054-0.0010089i,-0.0049006-0.0023113i,-0.00071851-0.0014421i,0.00069988-0.0034796i,0.01206+0.01817i,0.00026829-0.0037195i,-0.0014695-0.0032512i,0.0020672-0.0070237i,-0.0039323-0.00043776i,0.0015312+0.0015822i,0.007709-0.0048644i,-0.00016965+0.0030816i,-0.0037913+0.0054859i,-0.0050236-0.004776i,0.0099433+0.026951i,-0.038479-0.077396i,-0.035053-0.057096i,-0.010408-0.0479i,-0.0072572-0.034199i,0.04747-0.071481i,-0.0016001-0.10461i,0.045001-0.065574i,0.0040786-0.043225i,0.010167-0.013289i,0.0097827-0.0041532i,0.0036426-0.034938i,0.0013978+0.0059417i,-0.010676-0.0086943i,-0.0065416-0.0013376i,-0.041818-0.014475i,-0.0014985+0.023186i,-0.0038668-0.010777i,-0.010855+0.0037666i,-0.0040799-0.0012289i,-0.015314-0.010232i,-0.0034277+0.014457i,0.016316+0.0030493i,0.019857+0.018459i,0.0084174-0.00038409i,-0.0029786+0.00072364i,-0.0052001+0.00084907i,-0.011502+0.012698i,-0.0025698-0.0030532i,-0.031331+0.022147i,-0.0035309-0.0050288i,-0.0053573+0.0053499i,-0.0075934+0.0060347i,-0.00054574-0.0058951i,-0.0061649+0.00635i,0.00061041-0.0029634i,0.0029607+0.0015693i,0.003552-0.0025747i,-0.0076401+0.005503i,0.0024966+0.0026263i,-0.0073196+0.016746i,0.0029053-0.00014793i,-0.018009+0.0058323i,-0.025578+0.011124i,-0.0062353-0.058096i,0.0041828-0.02313i,-0.056613+0.00055158i,-0.019954-0.0076971i,0.016904-0.0060898i,-0.010305+0.018754i,-0.023457-0.0091399i
-0.027895-0.003735i,-0.039755-0.016177i,-0.03055-0.015576i,-0.037817-0.0028908i,-0.015661+0.0013194i,-0.034844+0.0043659i,-0.066959+0.0016124i,-0.056968-0.01581i,-0.034951-0.0034086i,0.0041817+0.0032093i,-0.00035722+0.0096445i,0.005133+0.0089832i,0.0037194-0.0042731i,-0.0046354+0.0085227i,0.0018528-0.0018895i,0.013495+0.008394i,0.031234-0.0044039i,0.0032557-0.0013689i,-0.0012038+0.0032618i,0.0045317-0.0035742i,0.0018759+0.0022218i,0.002769+0.0033734i,6.234e-05+0.00092139i,0.0041569+0.018902i,-0.0038199+0.00067359i,0.0014419-0.0020226i,0.0029929-0.0014804i,0.0017025-0.0011195i,-0.00079201-0.00012252i,-0.0028225-0.00011705i,-0.0004959+0.00014376i,-0.0049458+0.0004872i,-0.0050425-0.00051927i,-0.0013989-0.0014453i,-0.0019425-0.0039656i,0.014489+0.011865i,-0.00071524-0.0035711i,-0.0023397-0.0024696i,-0.0011764-0.0071542i,-0.0033031+0.0013179i,0.002168+0.00084142i,0.0045462-0.0067013i,0.0014225+0.0026839i,-0.0015267+0.0058319i,-0.004618-0.0068339i,0.023125+0.020284i,-0.050344-0.067253i,-0.042742-0.044362i,-0.012664-0.052838i,-0.006973-0.03683i,0.031286-0.093985i,-0.030103-0.10668i,0.039553-0.084597i,-0.00077701-0.042562i,0.0074421-0.011815i,0.0056379-0.0089218i,-0.0091264-0.032774i,0.0025348-0.0028768i,-0.013581-0.0035392i,-0.0096523-0.00387i,-0.046864+0.007001i,0.0089441+0.01866i,-0.007939-0.0086409i,-0.0082631+0.0055014i,-0.0050153+0.001138i,-0.020049-0.002049i,0.0047603+0.01199i,0.017889-0.0052797i,0.024062+0.0074317i,0.0083654-0.0037771i,-0.0034424+0.00036993i,-0.0050102+0.0033797i,-0.0056023+0.018702i,-0.0046877+0.00035243i,-0.024991+0.031102i,-0.0044885-0.003579i,-0.0014704+0.0069622i,-0.0020741+0.010957i,-0.0059977-0.0033503i,-0.0023115+0.0059269i,-0.00069487-0.0022344i,0.0019239+0.0016443i,0.00097898-0.0040535i,-0.0023333+0.0045592i,-0.00070052+0.00049826i,-0.0028351+0.018543i,0.00047227+9.1315e-05i,-0.01305+0.0099298i,-0.020349+0.014702i,-0.011053-0.057223i,0.0036108-0.01965i,-0.051938+0.015594i,-0.027478-0.0048967i,0.012667-0.011781i,-0.0021508+0.013936i,-0.023448-0.0035742i
-0.026404+0.0009692i,-0.044986-0.010149i,-0.037521-0.011834i,-0.03648+0.002411i,-0.018321-0.00042456i,-0.032252+0.011869i,-0.053008+0.016313i,-0.054828-0.0034248i,-0.030216+0.0032854i,0.0044823+0.0025036i,0.0027316+0.0076037i,0.0060879+0.0064341i,5.7299e-05-0.0055812i,0.000828+0.009788i,0.00052404-0.0026378i,0.010376+0.0048558i,0.02127-0.017562i,0.0022879-0.002805i,0.0019399+0.0059463i,0.0027475-0.0042383i,0.0032827+0.002568i,0.0035051+0.0018098i,0.00014177+0.0014095i,0.017754+0.011928i,-0.0031403+0.0022947i,0.00053544-0.0024859i,0.0017949-0.0030842i,0.0015957-0.00084843i,-0.00021923+0.00015765i,-0.0029202+0.0015276i,-0.00041837+0.00024025i,-0.0039195+0.0024123i,-0.0042021+0.001131i,-0.0020082-0.00082023i,-0.0029858-0.002383i,0.015842+0.0085476i,-0.0016113-0.0034036i,-0.0032932-0.0015054i,-0.0034636-0.0054716i,-0.0015597+5.5062e-05i,0.0020247+1.7041e-05i,0.0016126-0.0057435i,0.0023508+0.001878i,-0.00089808+0.0054069i,-0.0060802-0.011092i,0.033774+0.0069547i,-0.055898-0.054063i,-0.044801-0.032528i,-0.01599-0.057025i,-0.0080328-0.038135i,0.0014034-0.10897i,-0.054961-0.097798i,0.019449-0.097972i,-0.0091252-0.038429i,0.0071968-0.0091603i,-0.00017718-0.01075i,-0.018867-0.024706i,-0.0025885-0.0065469i,-0.014895-0.00062673i,-0.016112-0.00028593i,-0.040293+0.024186i,0.012164+0.0081409i,-0.011936-0.0043065i,-0.0066518+0.0071093i,-0.0052667+0.004105i,-0.019127+0.0085193i,0.0047315+0.0069649i,0.015683-0.012854i,0.024824-0.0042486i,0.0056265-0.0076797i,-0.0055438+0.0021499i,-0.0026273+0.0057881i,0.0036022+0.019426i,-0.0047341+0.0042061i,-0.017214+0.040265i,-0.0061705-0.0032213i,0.0012287+0.0045593i,0.0042085+0.0099899i,-0.0080653+0.00082289i,-0.0021771+0.003113i,-0.0017726-0.0025822i,0.001536+0.0034198i,-0.0027925-0.004109i,-0.0020649+0.00094184i,-0.0038977+0.0037003i,0.0045729+0.019025i,-0.00094826+0.0006078i,-0.0062817+0.011443i,-0.017004+0.017968i,-0.01914-0.054707i,0.0073704-0.025664i,-0.042619+0.031192i,-0.030649+0.0053227i,0.0069986-0.015907i,-0.00084489+0.0063985i,-0.022176-0.0013756i
-0.023565+0.0042777i,-0.046177-0.0031116i,-0.043254-0.0023623i,-0.035516+0.0077033i,-0.023296+0.0014199i,-0.026648+0.01779i,-0.039382+0.019554i,-0.050424+0.0049973i,-0.026873+0.0056075i,0.0041384+0.0016094i,0.0032501+0.0059913i,0.0069088+0.0024529i,-0.0037935-0.0047924i,0.0055488+0.00695i,-0.0010434-0.0027066i,0.0087335+0.0039048i,0.0076979-0.019727i,0.0015552-0.0031405i,0.0059116+0.0042059i,0.0010985-0.0040642i,0.0048199+0.00035782i,0.0032173+0.00064728i,0.0012171+0.0017626i,0.020656-0.0017732i,-0.0011411+0.0034726i,-0.00050386-0.0021691i,-0.00042564-0.00087837i,0.0019804-0.0020865i,4.5033e-05-0.00048642i,-0.0012073+0.0030381i,-5.3033e-05+0.00025315i,-0.0027598+0.0030764i,-0.0040454+0.0029994i,-0.0018513+0.00036919i,-0.0025398-0.0011521i,0.0181+0.0035704i,-0.0028786-0.0027517i,-0.0043937-0.00053286i,-0.0051873-0.0040369i,-0.0031369-0.0014576i,0.0021217-0.00039659i,0.00025957-0.0042204i,0.0025446+0.00058076i,-0.00026786+0.0055772i,-0.011019-0.012564i,0.030428-0.012734i,-0.054308-0.043248i,-0.046007-0.022939i,-0.022124-0.057841i,-0.0084938-0.042478i,-0.031708-0.10495i,-0.07618-0.081186i,0.00088862-0.10039i,-0.0086993-0.024864i,0.012719-0.0046992i,-0.0045693-0.0089603i,-0.020828-0.011893i,-0.0059604-0.0067346i,-0.01808+0.0040622i,-0.013522+0.006478i,-0.029522+0.038344i,0.0095293+0.0020856i,-0.0096453+0.0035008i,-0.0065637+0.0081246i,-0.0016739+0.0077473i,-0.012151+0.015503i,0.0060275+0.0080911i,0.010161-0.023957i,0.01545-0.018682i,-0.0012057-0.011371i,-0.0060362+0.0062997i,-0.0004711+0.0060456i,0.011222+0.015749i,-0.0016439+0.006708i,-0.00043259+0.052254i,-0.0094427-0.0015673i,0.0010913+0.0036902i,0.0075131+0.0052732i,-0.0064913+0.0075062i,-0.0026299+0.0044937i,-0.004435-0.0015107i,0.0043294+0.0038201i,-0.0042788+0.001972i,-0.005388+0.00062761i,-0.00045825+0.0092819i,0.0103+0.01446i,-0.0017685+0.00049511i,-0.0025325+0.0073577i,-0.010468+0.021797i,-0.020854-0.046049i,-0.0013765-0.039432i,-0.02048+0.037686i,-0.025228+0.013374i,0.0038997-0.02185i,-0.0022094+0.00068236i,-0.021217+0.0039494i
-0.020813+0.0061733i,-0.049979+0.0029357i,-0.045372+0.0089821i,-0.031421+0.014201i,-0.026243+0.0082024i,-0.020766+0.020517i,-0.030622+0.018346i,-0.045998+0.010769i,-0.026577+0.0085353i,0.004569+0.00016396i,0.0055891+0.0051919i,0.0036244-0.0014261i,-0.0068021-0.0014219i,0.0073709+0.0012521i,-0.0022646-0.0021594i,0.0079637+0.0037966i,-0.0014093-0.015068i,0.00039501-0.0036601i,0.0063717+0.00011515i,-0.00013635-0.0031034i,0.0040699-0.0020075i,0.0042755+0.00049205i,0.0021983+0.0010339i,0.015245-0.011132i,0.0017207+0.0024192i,-0.00066856-0.0015282i,0.00048904-0.0018866i,0.0010441-0.0032489i,-5.9708e-05-0.0002457i,0.00047727+0.0026496i,7.0938e-05-4.436e-05i,-0.0011157+0.0036313i,-0.0018546+0.0044024i,-0.0011501+0.0007105i,-0.003223-0.001491i,0.017758-0.0029299i,-0.0031354-0.00087125i,-0.0040927+0.0011725i,-0.0060658-0.00059515i,-0.0059948+0.00017365i,0.0018035-0.00086225i,-0.0001795-0.00478i,0.0022038-0.00041572i,0.00038175+0.0042317i,-0.015982-0.010525i,0.018266-0.018622i,-0.056106-0.039687i,-0.039766-0.012954i,-0.027182-0.057463i,-0.016719-0.050007i,-0.054819-0.09188i,-0.084333-0.056384i,-0.021741-0.10056i,0.0008382-0.022169i,0.018221-0.018115i,-0.0069323-0.0056218i,-0.016963-0.0091161i,-0.012885-0.0051601i,-0.015194+0.012895i,-0.010396+0.0082577i,-0.0093175+0.04437i,0.0087003-0.00090262i,-0.0072265+0.0033276i,-0.00169+0.0086998i,0.001178+0.0061547i,-0.0047199+0.019181i,0.010151+0.0052191i,-0.005932-0.027682i,-0.0013433-0.020558i,-0.0048966-0.0049767i,-0.0026068+0.0093111i,0.0027437+0.0046231i,0.016733+0.0070604i,0.0021396+0.0055463i,0.02463+0.048303i,-0.007561+0.0035169i,0.0012912+0.002614i,0.0074963+0.00049886i,-0.00031934+0.010071i,-0.0048034+0.0052499i,-0.0053433+0.0024554i,0.0069762+0.0026939i,-0.0021697+0.0047295i,-0.00724+0.0033498i,0.0043652+0.008838i,0.012744+0.0091916i,-0.0015689+0.0021339i,1.4529e-05+0.0040019i,-0.0030813+0.021709i,-0.021175-0.044209i,-0.021471-0.040199i,-0.0046033+0.029664i,-0.020402+0.017899i,-0.0051684-0.027339i,-0.006177-0.0019961i,-0.012669+0.0053405i
-0.01888+0.0074542i,-0.051539+0.014712i,-0.043462+0.021713i,-0.026533+0.017247i,-0.023564+0.015737i,-0.016201+0.022069i,-0.025476+0.016011i,-0.041917+0.014876i,-0.023952+0.014732i,0.0040868-0.0011135i,0.0068252+0.00075628i,-0.0011869-0.0001619i,-0.0067016+0.0027637i,0.0042269-0.0020447i,-0.0032206-0.00142i,0.0095454+0.0024981i,-0.0052287-0.0091722i,-0.0012781-0.0032116i,0.0042499-0.0020763i,-0.000684-0.002255i,0.0019382-0.0023837i,0.0041044-0.0013402i,0.0022228-1.4348e-05i,0.0077795-0.015344i,0.0015552+0.00045302i,-0.00072761-0.0014518i,-5.0288e-06-0.0025889i,-0.00022982-0.0029296i,0.00095166-5.2677e-05i,0.0010311+0.0017259i,-0.00010131-0.00041494i,0.00034783+0.0033824i,0.00021521+0.0044503i,-0.0010536+0.00041618i,-0.0036457+0.0010153i,0.014546-0.0084173i,-0.0024381+7.6242e-06i,-0.0025462+0.0026678i,-0.0042621+0.0011493i,-0.0059361+0.0030772i,0.0013622-0.0009409i,-0.001273-0.0041134i,0.0014514-0.0010677i,-0.0003383+0.0034066i,-0.01944-0.0055159i,0.014582-0.013627i,-0.060491-0.035826i,-0.031899-0.010834i,-0.033948-0.056361i,-0.029706-0.048706i,-0.074576-0.076856i,-0.080795-0.037139i,-0.046967-0.088666i,0.0057231-0.027755i,0.012914-0.028911i,-0.0066584-0.0036622i,-0.0172-0.0053488i,-0.018413+0.0028668i,-0.0076876+0.018193i,-0.0067908+0.011358i,0.010443+0.037671i,0.00679-0.006045i,-0.0075615+0.0042776i,-0.0008187+0.0061158i,0.0040501+0.0057125i,0.0043252+0.016164i,0.010561-0.001667i,-0.020397-0.018413i,-0.011617-0.011905i,-0.0040947-0.0012466i,0.0026562+0.0093312i,0.0035639+0.0024508i,0.017735-0.00029711i,0.0047742+0.0044656i,0.042217+0.031901i,-0.0051258+0.0041786i,0.00088387+0.0026204i,0.0053393-0.003387i,0.0057745+0.006835i,-0.0045489+0.011395i,-0.0024187+0.0067617i,0.0090162-0.001219i,0.0022731+0.004757i,-0.007114+0.0069264i,0.0076583+0.0055277i,0.013405+0.0044786i,-0.0010908+0.0018909i,-6.1636e-05+0.00054893i,0.0017376+0.018515i,-0.022272-0.043006i,-0.03338-0.027228i,0.0039364+0.018408i,-0.0073458+0.02218i,-0.016544-0.027634i,-0.012979-0.00060727i,-0.012316-0.0020478i
-0.017282+0.0089518i,-0.046622+0.026926i,-0.035476+0.033572i,-0.022655+0.019561i,-0.018226+0.020253i,-0.011618+0.023403i,-0.023002+0.013098i,-0.039336+0.018445i,-0.016711+0.019124i,0.0029765-0.0023215i,0.0035801-0.0024215i,-0.0013263+0.0037914i,-0.0044471+0.0057794i,0.0015571-0.0029573i,-0.0040385-0.0002604i,0.010313-0.00052678i,-0.0043076-0.0048126i,-0.0020209-0.0019827i,0.00238-0.0023979i,-0.00083419-0.0016712i,0.0017038-0.0013116i,0.003155-0.0022057i,0.0019642-0.00041793i,0.0012618-0.01487i,0.00088546-0.0002442i,-0.00121-0.0015523i,-0.00084318-0.002462i,-0.0011281-0.0027013i,0.00073977-0.0010613i,0.0013706+0.0013372i,-0.00042555-0.00081076i,0.0016449+0.0028308i,0.0016207+0.0029912i,-0.0011342+0.0013072i,-0.0020175+0.0012061i,0.009358-0.012053i,-0.0017305+0.00030311i,-0.00082006+0.0030992i,-0.0042361+0.002183i,-0.0044155+0.0051602i,0.0011685-0.00081115i,-0.0026396-0.003208i,0.00102-0.0012048i,-0.001798+0.0043441i,-0.020167+0.0010233i,0.022018-0.011474i,-0.06756-0.029289i,-0.027563-0.012741i,-0.040484-0.053052i,-0.038628-0.042201i,-0.089375-0.053966i,-0.07843-0.027033i,-0.055762-0.064261i,0.0059024-0.031879i,0.0028766-0.036721i,-0.0072754-0.0027173i,-0.015774-0.0048364i,-0.014599+0.013346i,0.00015893+0.018035i,0.0014744+0.010822i,0.01826+0.023679i,0.0021581-0.0083576i,-0.0071952+0.0071343i,-0.00080714+0.0058086i,0.0055583+0.0016037i,0.0083603+0.011359i,0.0045681-0.003229i,-0.025784-0.0041917i,-0.013911-0.0033701i,-0.0017363-0.00046983i,0.0049187+0.0079215i,0.0022099+0.0010334i,0.013875-0.010962i,0.005712+5.8717e-05i,0.04944+0.010796i,-0.0050329+0.0061551i,0.0021954+0.0020327i,0.00098591-0.0053999i,0.0065694+0.002616i,0.0011613+0.015408i,0.0039117+0.004978i,0.006273-0.0050091i,0.0048768+0.0011224i,-0.0035446+0.011818i,0.0065704+0.003088i,0.012353+0.0007403i,-0.0026299+0.0015685i,-0.0043033-0.00039658i,0.004442+0.01645i,-0.024005-0.043079i,-0.034427-0.012987i,0.003888+0.0081401i,0.0021257+0.01475i,-0.028868-0.022608i,-0.015012+0.0082099i,-0.017303-0.0010333i
-0.01576+0.010583i,-0.038524+0.03453i,-0.023889+0.041044i,-0.019267+0.021686i,-0.012466+0.022978i,-0.0069507+0.02409i,-0.023237+0.011577i,-0.036492+0.023641i,-0.010539+0.019254i,0.0011983-0.0028169i,0.00038981-0.0016946i,0.0007903+0.0052737i,-0.0011635+0.0066455i,-0.00086407-0.0026212i,-0.0041569+0.0012993i,0.0084596-0.0045321i,-0.0037381-0.0041413i,-0.0019525-0.00069152i,0.0013878-0.0026093i,-0.00086484-0.001183i,0.0023245-0.0019203i,0.0022222-0.0020855i,0.001894-0.00076509i,-0.0031969-0.013055i,0.00064538-0.00052256i,-0.0018298-0.00079562i,-0.0017719-0.0019606i,-0.002152-0.002407i,0.00014714-0.0012539i,0.0018662+0.0005879i,-0.00097656-0.00082571i,0.0024162+0.0014478i,0.0023756+0.0017627i,-0.00038994+0.0016341i,-0.0021142+0.001517i,0.0034921-0.01175i,-0.0016903+1.4066e-05i,0.00084047+0.0025907i,-0.0026185+0.0042128i,-0.002368+0.0070679i,0.0012042-0.00085205i,-0.0024171-0.0017625i,0.00061917-0.0015049i,-0.00056746+0.0068315i,-0.016468+0.0064043i,0.03253-0.021382i,-0.074685-0.017801i,-0.027627-0.01436i,-0.044733-0.048493i,-0.045596-0.035534i,-0.091148-0.030216i,-0.076501-0.015693i,-0.05191-0.050048i,0.0051993-0.038547i,-0.010653-0.038875i,-0.0070933-0.0011864i,-0.018782-0.0055301i,-0.0057648+0.017453i,0.0057667+0.014352i,0.0056454+0.0038355i,0.017575+0.012144i,-0.0029904-0.0085063i,-0.0050794+0.0098436i,-0.00046171+0.0061636i,0.0039049-0.001611i,0.0094239+0.0062179i,0.0032768-0.00078069i,-0.022543+0.0092258i,-0.011283+0.004706i,-0.0014989-0.00034648i,0.0084737+0.0059479i,0.0010253+0.0010085i,0.0044708-0.014739i,0.0032314-0.0026048i,0.04559-0.0090131i,-0.0025815+0.008396i,0.0013951+0.0010057i,-0.0025417-0.0031661i,0.0062139+0.00099516i,0.0088261+0.01547i,0.0042244+0.00073479i,0.003834-0.0063243i,0.0031457-0.0014252i,0.0036302+0.013181i,0.0063749+0.0012981i,0.011828-0.0031081i,-0.0016021+0.0053822i,-0.0056395+0.0014904i,0.0073726+0.014628i,-0.028501-0.045052i,-0.03029-0.0042522i,0.0024131+0.003365i,0.0030768+0.0066705i,-0.037515-0.012198i,-0.0092162+0.01064i,-0.016473+0.0016856i
-0.013602+0.012293i,-0.029267+0.039191i,-0.010444+0.043373i,-0.014513+0.023907i,-0.0056887+0.023331i,-0.0024094+0.023848i,-0.02418+0.012354i,-0.031976+0.028793i,-0.0052794+0.018595i,-0.00017915-0.0024152i,-0.00095828-6.6258e-05i,0.0035719+0.0048208i,0.0012704+0.0062254i,-0.0027372-0.00075099i,-0.003815+0.0026366i,0.0050506-0.0065113i,-0.0052527-0.0041779i,-0.0017736-0.00014808i,0.0001578-0.0023636i,-0.0010279-0.00083733i,0.0019075-0.0028298i,0.0021366-0.0020505i,0.0016441-0.0012381i,-0.0068269-0.010962i,0.000233-0.00079512i,-0.0017264+2.6988e-06i,-0.0025302-0.0010978i,-0.0026439-0.0012135i,-0.00024501-0.0011794i,0.0015703-0.00040495i,-0.0014814-0.00040255i,0.0021598+0.00040641i,0.0025298+0.00046487i,0.00048231+0.001173i,-0.0014535+0.002149i,0.00042143-0.008998i,-0.0016646+0.00035975i,0.0016612+0.0012552i,-0.00026429+0.0039829i,0.0011516+0.0076568i,0.0012176-0.0010116i,-0.0019386-0.0011718i,-0.00033929-0.0018157i,0.0017828+0.0062163i,-0.011744+0.008046i,0.032599-0.040782i,-0.077377-0.0021071i,-0.02654-0.015068i,-0.048361-0.048524i,-0.050482-0.026745i,-0.088635-0.012864i,-0.07352-0.0067914i,-0.050443-0.041079i,-0.00037133-0.044132i,-0.025075-0.036503i,-0.007231-0.00073057i,-0.02629-0.0027422i,0.0019872+0.015267i,0.0088475+0.0095495i,0.0049272-0.0020285i,0.013872+0.0064553i,-0.0072027-0.0079244i,-0.0013124+0.010935i,0.001023+0.0066196i,0.0012446-0.0023056i,0.0073664+0.0022509i,0.0038259+0.00010586i,-0.014165+0.016542i,-0.0059715+0.0089078i,0.00022285-0.0006837i,0.010746+0.00064877i,0.00024582+0.0021579i,-0.0031814-0.012306i,0.00075333-0.0028564i,0.035012-0.02304i,0.0012613+0.0095402i,0.00066055+0.0017495i,-0.0041289+7.033e-05i,0.0059752-0.0021498i,0.01522+0.011136i,0.0028412-0.0017124i,0.00076197-0.0073645i,0.0012152-0.0025547i,0.0092277+0.0099746i,0.005959+0.0010134i,0.0082627-0.0070657i,0.0019879+0.0064117i,-0.0053556+0.0027091i,0.011183+0.011799i,-0.037197-0.042707i,-0.025123+0.0027586i,0.0011963-0.00068247i,0.00084476+0.0030036i,-0.04079-0.00038791i,-0.0067041+0.0092823i,-0.015009+0.0033123i
