-0.024171-0.018411i,-0.032463-0.032407i,-0.021997-0.019569i,-0.03263-0.020473i,-0.023867+0.0041997i,-0.028829-0.017295i,-0.057887-0.043763i,-0.040907-0.041672i,-0.030498-0.023509i,0.0052657+0.0055934i,-0.0035649+0.0066699i,-0.010983+0.010718i,0.0040004+0.0067787i,-0.0036911-0.0027117i,0.0029213+0.001692i,0.0041213+0.027819i,0.026459+0.032124i,-3.2369e-05+0.00017166i,-0.0029341-0.0026691i,0.0074893+0.003998i,0.0022524+0.00069134i,-6.6526e-05+0.0025888i,-0.00051042+0.00036215i,-0.032498-0.00044236i,-0.0032211-0.0048984i,4.55e-05+0.0024914i,0.0039202-0.00090548i,0.00057073-0.00029499i,-0.00040982-0.00058886i,-0.00098883-0.0019245i,-0.0021346-0.00063997i,-0.0037463-0.0034669i,-0.0032865-0.0051046i,0.00029797-0.0012056i,0.00044049-0.0029984i,-0.0014257+0.025265i,0.0021212-0.0030335i,0.0022083-0.0040309i,0.0044392-0.0025038i,-0.0066264-0.0017613i,0.00082648+0.0012705i,0.010262-0.00038603i,-0.0019755-0.00017649i,-0.0033984+0.0016082i,-0.0090983-0.0023554i,-0.018962+0.022145i,-0.0083965-0.086444i,-0.0026838-0.061046i,-0.021568-0.0533i,-0.011111-0.045807i,0.054214-0.026604i,0.024205-0.067651i,0.041428-0.05382i,0.01872-0.038765i,0.025567-0.019704i,0.012167+0.011775i,0.025695-0.029386i,-0.011546-0.001192i,-0.00075488-0.00093026i,-0.0073289-0.0019512i,-0.0051474-0.029037i,-0.020574+0.026897i,0.007274-0.0097008i,-0.01061-0.0035915i,-0.0024379-0.0019486i,-0.00086071-0.01464i,-0.0081003+0.0046902i,0.0054181+0.010622i,-0.010221+0.031218i,0.0068209+0.0076599i,-0.0036579-0.0017755i,-0.0024478-0.0014219i,-0.01259-0.0054505i,0.0004082-0.0040229i,-0.032567+0.0032192i,0.0031065-0.0092399i,-0.0071643-0.0017697i,-0.0050929-0.0029158i,0.0070274+0.001853i,-0.010405+0.00086852i,0.0024569-0.00018812i,0.0057834+0.0075471i,0.0057675+0.00098588i,-0.0077596-0.0095668i,0.0024983+0.007899i,-0.019509+0.0076527i,0.0031585+0.0056887i,-0.020981-0.0087511i,-0.027444-0.0048599i,0.0097165-0.060857i,0.018938-0.014708i,-0.051503-0.028575i,-0.023543+0.0035072i,0.019294+0.010263i,-0.02713+0.012036i,-0.012659-0.0076346i
-0.027911-0.013809i,-0.036225-0.022602i,-0.024015-0.016998i,-0.036141-0.01622i,-0.019503+0.004911i,-0.032817-0.010699i,-0.060849-0.030933i,-0.045556-0.034941i,-0.031877-0.015977i,0.0043094+0.0043464i,-0.0042387+0.0056432i,-0.0045697+0.014773i,0.006623+0.0028288i,-0.0068938+0.00043624i,0.0030772+8.0969e-05i,0.010248+0.021771i,0.029911+0.017271i,0.0013069+0.0010757i,-0.0031134-2.6602e-05i,0.0076704+0.00020723i,0.0016176+0.0011221i,2.714e-06+0.0025999i,-0.00042423+0.00074974i,-0.017575+0.014972i,-0.0048303-0.0028923i,0.0019263+0.0012714i,0.0027008-0.00027265i,0.0009299+0.00042317i,0.00024377-0.00085255i,-0.00196-0.0016352i,-0.0012529+0.00015504i,-0.0043777-0.0026132i,-0.0043317-0.0039253i,-0.00027131-0.0013171i,9.0249e-05-0.001713i,0.0056749+0.022982i,0.0014783-0.003812i,-0.00010653-0.0040864i,0.0043217-0.0044644i,-0.0038205-0.00066211i,0.0011126+0.0014087i,0.0092363-0.001887i,-0.0021265+0.0018606i,-0.0050646+0.0036065i,-0.0065181-0.0021251i,-0.0044977+0.028063i,-0.024557-0.083912i,-0.019247-0.064528i,-0.017806-0.045683i,-0.013177-0.034491i,0.054542-0.050584i,0.019082-0.087842i,0.041806-0.05646i,0.01198-0.044286i,0.013535-0.015193i,0.012383+0.00084309i,0.012834-0.032315i,-0.0097612+0.0062129i,-0.0023529-0.0080501i,-0.0081965-0.00054306i,-0.026429-0.027226i,-0.0086083+0.024568i,0.0016745-0.012108i,-0.012564-0.00020494i,-0.0022352-0.0014097i,-0.0076874-0.013679i,-0.0084163+0.0086798i,0.010555+0.009599i,0.0086815+0.029005i,0.0080687+0.0025414i,-0.0034171+0.0010484i,-0.0045916-0.00069909i,-0.015985+0.0039617i,0.00053697-0.0030822i,-0.035846+0.010319i,-0.0022213-0.0074191i,-0.0069351+0.0017542i,-0.0068021+0.00021542i,0.0052974-0.0038243i,-0.0090867+0.0042228i,0.0025756-0.0019142i,0.0046292+0.002692i,0.0046213-0.0010919i,-0.012315-0.001641i,0.0032503+0.0050534i,-0.013522+0.014715i,0.0042121+0.0028143i,-0.021342+0.00022307i,-0.028997+0.0032002i,-0.00073408-0.060242i,0.012988-0.022417i,-0.057434-0.013437i,-0.015452-0.00050947i,0.019312+0.0026447i,-0.020885+0.018736i,-0.019677-0.012304i
-0.028882-0.0079404i,-0.037088-0.018638i,-0.026288-0.016034i,-0.038848-0.0095034i,-0.016551+0.0038024i,-0.035171-0.0035405i,-0.065693-0.018341i,-0.051705-0.027584i,-0.033041-0.010992i,0.0040136+0.0036147i,-0.0036884+0.0083425i,0.0023053+0.013019i,0.0059172-0.0013295i,-0.0068173+0.004272i,0.002602-0.00078922i,0.013286+0.015364i,0.030756+0.007517i,0.0029124+0.00046095i,-0.0019114+0.0016283i,0.0064445-0.0022091i,0.0011362+0.0014048i,0.00092783+0.0035214i,-3.9979e-05+0.00088966i,-0.0046886+0.017152i,-0.0046586-0.00069483i,0.0024721-0.0007332i,0.0028223-0.00094446i,0.0017555+0.00016332i,-0.00060106-0.00114i,-0.0023702-0.00081481i,-0.00083892+0.0001084i,-0.0050185-0.00081194i,-0.0052983-0.0023689i,-0.00065001-0.0014257i,0.00069816-0.0034495i,0.012269+0.01821i,0.00026794-0.003915i,-0.0014482-0.0033458i,0.0019781-0.0067261i,-0.0038332-0.0006419i,0.0018106+0.0014862i,0.0078547-0.004862i,-0.0002032+0.0032565i,-0.0039219+0.0058394i,-0.0052085-0.0049462i,0.0099478+0.02646i,-0.039041-0.077512i,-0.035148-0.057219i,-0.011013-0.048122i,-0.0077393-0.034293i,0.046642-0.071847i,-0.0024432-0.10472i,0.044599-0.065738i,0.0042962-0.043792i,0.010093-0.013433i,0.009777-0.0041859i,0.0035252-0.034462i,0.0014905+0.0061708i,-0.010505-0.0084234i,-0.0064555-0.0013603i,-0.041821-0.014201i,-0.0013336+0.022939i,-0.0042335-0.010828i,-0.0109+0.0038315i,-0.004157-0.0012524i,-0.0152-0.010105i,-0.0034266+0.014384i,0.016389+0.0030447i,0.019861+0.018149i,0.0081199-0.00013751i,-0.0027697+0.00074471i,-0.0052832+0.0011727i,-0.011462+0.012741i,-0.0026988-0.0029831i,-0.030989+0.021918i,-0.0031309-0.0047179i,-0.0054432+0.0053991i,-0.0076689+0.0060648i,-0.0005332-0.0058036i,-0.0065888+0.0065397i,0.00052575-0.0028453i,0.0028885+0.0014696i,0.0033987-0.0026429i,-0.0076035+0.0057037i,0.0031915+0.0023755i,-0.0071863+0.016751i,0.0029401-0.0002062i,-0.017693+0.0061121i,-0.025442+0.011326i,-0.0068415-0.057409i,0.0042821-0.023105i,-0.056796+0.0010059i,-0.02021-0.0073931i,0.017185-0.0055447i,-0.010322+0.018924i,-0.023503-0.008699i
-0.028107-0.0027652i,-0.040373-0.016053i,-0.030651-0.015037i,-0.037985-0.0025827i,-0.0158+0.0014651i,-0.034771+0.0046596i,-0.066809+0.0014471i,-0.05712-0.015757i,-0.03481-0.0036708i,0.0043259+0.0031072i,-0.00012733+0.0096984i,0.0050339+0.0087016i,0.0036282-0.0042766i,-0.0045476+0.0083737i,0.001859-0.0018861i,0.013548+0.0080091i,0.031108-0.0046865i,0.0032539-0.0013282i,-0.001215+0.0032193i,0.0044629-0.0036515i,0.001971+0.0024304i,0.002851+0.0033505i,1.6506e-05+0.00089706i,0.0044448+0.018388i,-0.00377+0.00066931i,0.0014405-0.0020077i,0.0027301-0.0014875i,0.0015681-0.00095884i,-0.0006776-0.00017192i,-0.0028026-0.00015926i,-0.00051996+8.923e-05i,-0.0046022+0.00071161i,-0.0054655-0.00060735i,-0.0013132-0.0014763i,-0.0019442-0.0039082i,0.014747+0.011692i,-0.00079481-0.0037614i,-0.0023342-0.0024918i,-0.0010856-0.0068281i,-0.0032792+0.0011775i,0.0024861+0.00062202i,0.0047885-0.0067635i,0.0014182+0.0027534i,-0.0015456+0.0062188i,-0.0050554-0.0069976i,0.022964+0.019781i,-0.051045-0.067274i,-0.04309-0.044544i,-0.013205-0.052848i,-0.0076329-0.036689i,0.030614-0.094073i,-0.03092-0.10648i,0.039011-0.084657i,-0.00071698-0.043058i,0.0072977-0.01197i,0.0055614-0.0089971i,-0.0091112-0.032315i,0.0023739-0.002641i,-0.013506-0.0033518i,-0.0097781-0.0036992i,-0.046522+0.0072599i,0.0087761+0.018494i,-0.0079906-0.0085431i,-0.0082549+0.0055847i,-0.0051617+0.0010665i,-0.019896-0.0019999i,0.0046909+0.012271i,0.017827-0.0052498i,0.02388+0.0071373i,0.0080944-0.0031761i,-0.0032568+0.00052204i,-0.0051451+0.0035657i,-0.0055464+0.018722i,-0.0048066+0.00043496i,-0.024798+0.031114i,-0.0038333-0.0037339i,-0.0013216+0.0070603i,-0.0020901+0.010977i,-0.0059314-0.0030908i,-0.0026848+0.0060933i,-0.00062221-0.0018103i,0.00188+0.0017919i,0.00084737-0.0042276i,-0.0020544+0.0044655i,-0.0002881-3.3283e-05i,-0.0027281+0.01842i,0.00047116-0.00012699i,-0.012832+0.0099004i,-0.020146+0.014801i,-0.011489-0.056687i,0.0038322-0.019947i,-0.052027+0.016115i,-0.027385-0.0045113i,0.013059-0.011373i,-0.0021045+0.014163i,-0.023606-0.0034698i
-0.026259+0.0018955i,-0.045454-0.0098765i,-0.037485-0.011326i,-0.036549+0.0026239i,-0.018445-0.00020337i,-0.032159+0.012158i,-0.053206+0.016357i,-0.055041-0.00326i,-0.030266+0.0030698i,0.0045967+0.0023455i,0.0029739+0.0075832i,0.0059844+0.0063299i,-8.3994e-07-0.0055658i,0.0009716+0.0094784i,0.00055367-0.0027048i,0.010293+0.0046734i,0.021005-0.017768i,0.0022097-0.002834i,0.0020895+0.0058235i,0.0026691-0.004178i,0.0033794+0.0027569i,0.0034402+0.001829i,9.3545e-05+0.0013822i,0.017787+0.011455i,-0.0030844+0.0022528i,0.00054406-0.0024198i,0.0017239-0.0028049i,0.0015443-0.00077869i,-0.000197+7.5536e-05i,-0.0028949+0.0014787i,-0.00047357+0.0002076i,-0.0036392+0.0025234i,-0.004512+0.0010049i,-0.0020134-0.00084872i,-0.0028753-0.0022539i,0.016065+0.0083201i,-0.0017216-0.0035206i,-0.0032666-0.0014906i,-0.0033885-0.00541i,-0.0014775-7.1035e-05i,0.002208-0.00025399i,0.0017835-0.0058857i,0.0023213+0.0020115i,-0.00085003+0.0057211i,-0.0066227-0.011121i,0.033592+0.0062843i,-0.056589-0.053922i,-0.045059-0.032606i,-0.016503-0.057048i,-0.0084381-0.037954i,0.00072251-0.10886i,-0.055544-0.097432i,0.018952-0.09786i,-0.0092996-0.03886i,0.0070627-0.0093307i,-0.00016907-0.010803i,-0.018877-0.024327i,-0.0026173-0.0062032i,-0.014898-0.00039326i,-0.016129+8.771e-05i,-0.039885+0.024204i,0.011969+0.0082108i,-0.012024-0.0044307i,-0.0064223+0.0073323i,-0.0054668+0.0041288i,-0.019161+0.0085979i,0.0047779+0.007101i,0.015605-0.012926i,0.024823-0.0044562i,0.0058454-0.0071981i,-0.0052715+0.0022743i,-0.0027714+0.006029i,0.003683+0.01949i,-0.0047142+0.0043162i,-0.017062+0.040353i,-0.0056158-0.0034425i,0.0012435+0.0043512i,0.0040358+0.0098888i,-0.0081279+0.0011242i,-0.0025496+0.0032901i,-0.0017049-0.002201i,0.0018435+0.0034076i,-0.0028594-0.0042518i,-0.0020021+0.0010207i,-0.0035254+0.0032682i,0.004612+0.018941i,-0.00090639+0.00057839i,-0.0060515+0.011227i,-0.016695+0.017884i,-0.019281-0.053896i,0.0074619-0.025659i,-0.042874+0.031338i,-0.030808+0.0056353i,0.0072968-0.015469i,-0.00098011+0.0065729i,-0.02242-0.0013406i
-0.023156+0.0050596i,-0.046424-0.0030649i,-0.043192-0.0020624i,-0.035734+0.0079462i,-0.023246+0.0017546i,-0.026572+0.018038i,-0.039417+0.019769i,-0.050526+0.0052015i,-0.02709+0.0054719i,0.0041122+0.0014822i,0.0033606+0.0059313i,0.0068706+0.0023452i,-0.0037811-0.0047614i,0.00559+0.0066081i,-0.0011099-0.0027443i,0.0087508+0.0036816i,0.0076534-0.019828i,0.0014918-0.0031021i,0.0059261+0.0038382i,0.0010728-0.0040237i,0.0048028+0.00042256i,0.0031647+0.00071411i,0.0011667+0.0017451i,0.020438-0.0020956i,-0.0010835+0.0034649i,-0.0004285-0.0021054i,-0.0002766-0.00082042i,0.0018179-0.0020589i,8.0485e-05-0.00051235i,-0.0012195+0.0029223i,-7.5427e-05+0.0002217i,-0.0026501+0.0032972i,-0.0041854+0.0028567i,-0.0018728+0.00037583i,-0.0023405-0.0010514i,0.018195+0.0032366i,-0.0030149-0.0027404i,-0.0043708-0.000562i,-0.0052886-0.0038591i,-0.0031543-0.00152i,0.0022124-0.00060042i,0.00016809-0.0044042i,0.0026176+0.00075586i,-8.9376e-05+0.0059151i,-0.011663-0.012507i,0.030226-0.013654i,-0.054946-0.043057i,-0.046233-0.023012i,-0.022729-0.057946i,-0.0089871-0.042482i,-0.032239-0.10457i,-0.076776-0.080965i,0.0004551-0.10027i,-0.0086755-0.02515i,0.012594-0.0049035i,-0.004715-0.0090501i,-0.020883-0.011646i,-0.0058715-0.0065395i,-0.018058+0.0041074i,-0.01337+0.0067138i,-0.029001+0.038281i,0.0094107+0.0021899i,-0.0099087+0.0031895i,-0.0061033+0.0081865i,-0.0018493+0.007762i,-0.011992+0.015655i,0.0058926+0.0083825i,0.0099492-0.023987i,0.015604-0.0189i,-0.0011223-0.011098i,-0.0057706+0.0063904i,-0.00057728+0.0061709i,0.011249+0.015786i,-0.0015943+0.0066542i,-0.00038968+0.052149i,-0.0089939-0.0016476i,0.00087646+0.003357i,0.0073592+0.0051925i,-0.0063975+0.0076871i,-0.0029191+0.0045991i,-0.0043841-0.0015349i,0.0045184+0.0037526i,-0.0043251+0.0018126i,-0.0053126+0.00075686i,6.9706e-05+0.0088532i,0.010328+0.014423i,-0.0016098+0.00050035i,-0.0023419+0.0071465i,-0.010375+0.02178i,-0.020897-0.045893i,-0.001476-0.039425i,-0.020586+0.037517i,-0.025354+0.013836i,0.0045758-0.021349i,-0.0023105+0.00085299i,-0.020931+0.0040598i
-0.020257+0.0067052i,-0.050361+0.0031482i,-0.045416+0.0092638i,-0.031653+0.014554i,-0.026056+0.0084945i,-0.020624+0.020843i,-0.030763+0.018408i,-0.045995+0.01102i,-0.026837+0.0084251i,0.0044762+7.7702e-05i,0.0057011+0.0051363i,0.0035033-0.0016013i,-0.0067902-0.0014225i,0.007199+0.00096216i,-0.0023091-0.002093i,0.0078375+0.0036549i,-0.0015295-0.015302i,0.00038541-0.0037014i,0.0063316+0.00013003i,-0.00019568-0.003074i,0.00407-0.0018458i,0.0041746+0.00058038i,0.0021552+0.0010359i,0.014958-0.011393i,0.00178+0.0024341i,-0.00062764-0.0015389i,0.00068698-0.0018893i,0.00084101-0.003077i,-6.1587e-06-0.00025353i,0.00043575+0.0025176i,1.3183e-05-6.6594e-05i,-0.00073496+0.0037759i,-0.0020441+0.0042546i,-0.0011455+0.00069289i,-0.0029906-0.0013924i,0.017667-0.0032281i,-0.0032182-0.0010178i,-0.0040292+0.0011426i,-0.0060832-0.00048024i,-0.0059379+0.00017105i,0.0018842-0.0010144i,-0.00026946-0.0047986i,0.0022846-0.00033445i,0.00074168+0.0044445i,-0.016685-0.01045i,0.01803-0.019265i,-0.056749-0.039456i,-0.040192-0.013021i,-0.027927-0.057473i,-0.017346-0.049953i,-0.055234-0.09131i,-0.084696-0.056231i,-0.022092-0.10051i,0.00083713-0.022563i,0.017969-0.018217i,-0.0068584-0.0055857i,-0.016949-0.009048i,-0.012688-0.0049985i,-0.015081+0.012809i,-0.010265+0.0083147i,-0.0089314+0.044228i,0.0085698-0.00088907i,-0.0075111+0.0034036i,-0.0016152+0.0085457i,0.0010183+0.0061745i,-0.0043982+0.019131i,0.010029+0.0055203i,-0.0059956-0.027767i,-0.0012084-0.020504i,-0.0048959-0.0047792i,-0.0025056+0.0091957i,0.0027618+0.004568i,0.016735+0.0070423i,0.0020553+0.0053045i,0.024716+0.048163i,-0.0071844+0.002854i,0.00098846+0.0025478i,0.0073884+0.00050479i,-0.00020848+0.010131i,-0.0049742+0.0054882i,-0.0053655+0.0023955i,0.0071806+0.0024813i,-0.0022582+0.0046558i,-0.0071397+0.0034709i,0.0044593+0.0084091i,0.01272+0.0090492i,-0.0013905+0.0020477i,0.00028569+0.0037206i,-0.0030115+0.021595i,-0.021078-0.043929i,-0.02172-0.039822i,-0.0049137+0.029704i,-0.020584+0.018306i,-0.0043175-0.027765i,-0.0062661-0.0017328i,-0.012471+0.0048978i
-0.018326+0.0077523i,-0.051674+0.015275i,-0.043366+0.021958i,-0.02651+0.017528i,-0.023327+0.015884i,-0.01606+0.022292i,-0.025725+0.016228i,-0.041872+0.015044i,-0.024296+0.014775i,0.0039789-0.00114i,0.0069557+0.00050452i,-0.0012842-0.00010998i,-0.0066576+0.002817i,0.0040922-0.0020369i,-0.0032019-0.0013748i,0.0095972+0.0024836i,-0.0054152-0.009267i,-0.0013363-0.0033076i,0.0044087-0.002053i,-0.00074588-0.002238i,0.0020157-0.0022883i,0.0040457-0.001345i,0.0021928+9.4657e-06i,0.0075812-0.01547i,0.0015884+0.00048751i,-0.00075605-0.0013964i,6.146e-05-0.0023683i,-0.00040093-0.0027457i,0.00085947-4.742e-05i,0.00098252+0.0016152i,-0.00013838-0.0004142i,0.00059054+0.0032635i,0.00017696+0.0044253i,-0.0010831+0.00035363i,-0.0034287+0.0010587i,0.014377-0.0086115i,-0.0025768+0.00010001i,-0.0024698+0.0026649i,-0.0041594+0.0011192i,-0.00588+0.0031088i,0.0013233-0.0011625i,-0.0013737-0.0040876i,0.0015418-0.0009991i,-4.7991e-05+0.0034885i,-0.020091-0.0053434i,0.0146-0.014274i,-0.061132-0.035568i,-0.032366-0.010733i,-0.034685-0.056243i,-0.030207-0.048454i,-0.075052-0.076161i,-0.081253-0.037149i,-0.04718-0.088642i,0.0057235-0.02819i,0.012581-0.029015i,-0.0066393-0.0036281i,-0.017169-0.0053172i,-0.018204+0.0028296i,-0.0076314+0.018042i,-0.0067483+0.011486i,0.010682+0.037408i,0.0065995-0.0058627i,-0.0077217+0.0044699i,-0.00095748+0.0061193i,0.0039751+0.005711i,0.0042392+0.016003i,0.010466-0.0015198i,-0.020466-0.018384i,-0.011461-0.011932i,-0.0040581-0.0010431i,0.0026578+0.0093953i,0.0035202+0.0023512i,0.017661-0.00036934i,0.0048088+0.0042234i,0.042122+0.031862i,-0.0053568+0.0036383i,0.00061057+0.0025275i,0.0053234-0.0034876i,0.0059019+0.0069025i,-0.0045243+0.011466i,-0.0022653+0.0068158i,0.0089094-0.0014033i,0.0022727+0.0046306i,-0.0070188+0.0069522i,0.0074083+0.0053078i,0.013412+0.0043819i,-0.00091565+0.0017288i,-0.00026883+0.00019966i,0.0018492+0.018612i,-0.022037-0.042678i,-0.033335-0.026687i,0.0040231+0.018506i,-0.0073245+0.022552i,-0.016334-0.028199i,-0.012952-0.00058374i,-0.011967-0.0019258i
-0.016847+0.0090346i,-0.046251+0.027229i,-0.035232+0.033761i,-0.022646+0.019817i,-0.017989+0.020339i,-0.01145+0.023634i,-0.023083+0.013556i,-0.039424+0.018782i,-0.017105+0.019281i,0.0027693-0.0023247i,0.0036224-0.0027002i,-0.0012623+0.0037999i,-0.0044084+0.0057378i,0.0014673-0.0030002i,-0.0040906-0.00025253i,0.010354-0.00063394i,-0.0044705-0.0047133i,-0.0020814-0.0020695i,0.0025174-0.0023731i,-0.00086366-0.0016417i,0.0017965-0.0014449i,0.0030075-0.0021432i,0.0019484-0.00042852i,0.001126-0.014968i,0.00089982-0.00027385i,-0.0011624-0.0014453i,-0.00057888-0.0024145i,-0.0011006-0.0027573i,0.00063486-0.0010861i,0.0013537+0.0012598i,-0.00042117-0.00079175i,0.0016019+0.0027002i,0.0017343+0.0030235i,-0.0011576+0.0012378i,-0.0017819+0.00127i,0.0091687-0.012087i,-0.001624+0.00043988i,-0.00070792+0.0030652i,-0.0041871+0.0020044i,-0.0043821+0.0051564i,0.0010143-0.00099413i,-0.0027778-0.0030544i,0.0013238-0.0012166i,-0.001391+0.0043112i,-0.020631+0.0011752i,0.022064-0.012309i,-0.068111-0.028922i,-0.027929-0.012659i,-0.041279-0.052881i,-0.038941-0.041988i,-0.089616-0.053195i,-0.078807-0.026917i,-0.055857-0.064309i,0.0055457-0.032533i,0.0023747-0.036692i,-0.0072141-0.002687i,-0.015758-0.0047523i,-0.014488+0.013261i,0.00026476+0.017703i,0.0015274+0.010737i,0.018168+0.023391i,0.0022664-0.0079021i,-0.0071249+0.0070621i,-0.00088029+0.0057426i,0.0054987+0.0015656i,0.0083159+0.011468i,0.0044321-0.0032248i,-0.025668-0.0041337i,-0.013913-0.0034504i,-0.0017612-0.00010767i,0.0050105+0.0078154i,0.0020603+0.0010048i,0.013784-0.011027i,0.0056716-0.00021965i,0.049542+0.010789i,-0.0054808+0.0060273i,0.0019539+0.002055i,0.00083027-0.0053642i,0.0066621+0.0026781i,0.001109+0.015347i,0.0039237+0.004989i,0.0060228-0.0054296i,0.0047832+0.0011481i,-0.0036278+0.012156i,0.006482+0.0031345i,0.012417+0.00077773i,-0.0025596+0.0015128i,-0.004379-0.00070742i,0.0046056+0.016596i,-0.023385-0.042904i,-0.034135-0.013093i,0.004039+0.008188i,0.002+0.014778i,-0.02887-0.022498i,-0.014839+0.008193i,-0.016507-0.0011254i
-0.015406+0.01055i,-0.03827+0.034559i,-0.023644+0.041091i,-0.019211+0.022027i,-0.012201+0.023016i,-0.0067687+0.024289i,-0.023153+0.011763i,-0.036524+0.023968i,-0.010842+0.019527i,0.00099453-0.0027737i,0.00022022-0.0020184i,0.00083468+0.0051603i,-0.0011666+0.0066258i,-0.00096461-0.0026427i,-0.0042079+0.0013348i,0.0084573-0.0046191i,-0.003819-0.004001i,-0.0019756-0.00075507i,0.0014866-0.0026161i,-0.00085046-0.0012574i,0.0022592-0.002023i,0.002182-0.0021382i,0.0018712-0.0008015i,-0.0034042-0.013151i,0.00062053-0.00057741i,-0.0017376-0.00076659i,-0.0016121-0.0021445i,-0.0022242-0.0023618i,9.5865e-05-0.0012838i,0.0018292+0.0005308i,-0.00095282-0.00081857i,0.0023087+0.0014354i,0.0023909+0.0017554i,-0.0004233+0.0015977i,-0.0019502+0.001534i,0.0032849-0.011633i,-0.0014798-7.5575e-05i,0.00085264+0.0025231i,-0.0026055+0.0041568i,-0.0023426+0.0070633i,0.00097089-0.00085606i,-0.0024444-0.0016629i,0.00088447-0.0017076i,-0.00015828+0.0065721i,-0.016887+0.0064477i,0.032562-0.022386i,-0.07512-0.017329i,-0.028186-0.014093i,-0.04555-0.048192i,-0.046015-0.035156i,-0.09128-0.029458i,-0.076778-0.015534i,-0.051948-0.050291i,0.0047193-0.038934i,-0.010966-0.038609i,-0.0070535-0.0011391i,-0.018768-0.0054879i,-0.0056895+0.017355i,0.0061388+0.013936i,0.005627+0.0039031i,0.017447+0.012051i,-0.0025061-0.0081512i,-0.0049005+0.0096343i,-0.00058088+0.0060772i,0.0038439-0.0015827i,0.0095747+0.0062494i,0.0032409-0.00063252i,-0.022401+0.0093193i,-0.01129+0.0044844i,-0.0014261-9.9111e-06i,0.0085057+0.0057087i,0.0010314+0.0010582i,0.0045277-0.014671i,0.0030796-0.0028842i,0.045612-0.0091515i,-0.0029813+0.0083521i,0.0011953+0.00107i,-0.0025274-0.0029484i,0.0063481+0.0011097i,0.0088244+0.015338i,0.004476+0.00078899i,0.0033923-0.0064067i,0.0031026-0.0013473i,0.0035128+0.013273i,0.0065065+0.00146i,0.011947-0.0030864i,-0.0016949+0.0052091i,-0.0055829+0.0011007i,0.0073606+0.014669i,-0.0282-0.045115i,-0.030704-0.0044854i,0.0023288+0.0035105i,0.0031257+0.0066288i,-0.037091-0.012387i,-0.0090923+0.010687i,-0.015819+0.0014909i
-0.013285+0.012082i,-0.029271+0.039347i,-0.010174+0.043468i,-0.01431+0.024209i,-0.0054561+0.023361i,-0.0021325+0.023958i,-0.024201+0.012561i,-0.031943+0.029115i,-0.0055625+0.018981i,-0.00028947-0.0023758i,-0.0011547-0.00019699i,0.0034802+0.0047442i,0.0012271+0.0062279i,-0.0029744-0.00067578i,-0.0038497+0.0026678i,0.0050257-0.006559i,-0.0053527-0.0040067i,-0.0017856-0.00030195i,0.00023032-0.0022823i,-0.0010766-0.00095182i,0.0019467-0.0027802i,0.002087-0.0021594i,0.0016381-0.001266i,-0.0070114-0.010973i,0.0001962-0.00076404i,-0.0016846-2.0941e-05i,-0.0026081-0.0010831i,-0.0027133-0.001049i,-0.00034793-0.0012129i,0.0015377-0.00041828i,-0.0014606-0.00039676i,0.0020616+0.00036061i,0.0025265+0.00039726i,0.00055334+0.0011998i,-0.0013251+0.0021463i,0.00034515-0.0088363i,-0.0015589+0.00028801i,0.0016387+0.0012878i,-0.00025824+0.0038318i,0.0012216+0.0076187i,0.0010654-0.00095524i,-0.0019381-0.001117i,-0.00027471-0.002076i,0.0020194+0.0058606i,-0.0122+0.0080528i,0.032022-0.041735i,-0.077587-0.0016281i,-0.027327-0.014689i,-0.048956-0.048015i,-0.050857-0.026192i,-0.088726-0.012165i,-0.073787-0.0064672i,-0.05067-0.041276i,-0.0008404-0.044463i,-0.025186-0.036245i,-0.0071431-0.0006602i,-0.026304-0.002561i,0.0020088+0.015045i,0.0090247+0.0090548i,0.0049015-0.0020042i,0.013794+0.0063517i,-0.0067922-0.0077483i,-0.0012518+0.010929i,0.00072507+0.0066656i,0.0013232-0.0023256i,0.0074137+0.0021301i,0.003931+5.2149e-05i,-0.013985+0.016455i,-0.0061364+0.0087361i,0.00050926-0.00066667i,0.010719+0.00052525i,0.00036433+0.0021123i,-0.0031812-0.012434i,0.00053998-0.0029515i,0.035161-0.023058i,0.00095256+0.0095503i,0.00071108+0.0018988i,-0.0040292+5.8259e-05i,0.0060931-0.0019667i,0.01534+0.010842i,0.0031564-0.0013628i,0.00040506-0.0072274i,0.0011325-0.0024625i,0.009184+0.01007i,0.0060977+0.0013977i,0.0083506-0.0071281i,0.001902+0.0063671i,-0.0055506+0.0023388i,0.011132+0.011753i,-0.036917-0.042761i,-0.025519+0.0026981i,0.0011431-0.0002703i,0.00084533+0.0028224i,-0.040855-0.00068942i,-0.006536+0.0093701i,-0.014598+0.0032183i
