-0.022861-0.019914i,-0.031889-0.035135i,-0.023193-0.019766i,-0.031983-0.02066i,-0.024388+0.0036708i,-0.029211-0.018244i,-0.055193-0.048223i,-0.041621-0.044546i,-0.029061-0.020416i,0.0055736+0.0049631i,-0.0034983+0.0061103i,-0.010734+0.011753i,0.0037235+0.0071159i,-0.003675-0.0024419i,0.0028993+0.0018816i,0.0014023+0.029449i,0.016399+0.032045i,-0.00039912+0.00024042i,-0.0031511-0.002858i,0.0082991+0.0042209i,0.0015197+0.00044024i,-0.00030969+0.0025896i,-0.0006812+0.00026709i,-0.030772-0.0010048i,-0.0038432-0.0048949i,-8.8244e-05+0.0023727i,0.0043717-0.0014411i,0.00097355-0.00024685i,-0.00067551-0.00040675i,-0.0012164-0.0019229i,-0.0023002-0.00043605i,-0.0038826-0.0042406i,-0.0034315-0.0049597i,0.00065871-0.0013275i,0.00043595-0.0032348i,-0.0033438+0.02687i,0.0020127-0.003128i,0.002631-0.0039224i,0.004191-0.0022451i,-0.0068557-0.0014573i,0.00047471+0.001422i,0.0068707-0.0081287i,-0.0017296+0.00030371i,-0.0035192+0.00061511i,-0.0085282-0.0035742i,-0.018535+0.021558i,-0.0086267-0.087297i,-0.0024597-0.061864i,-0.021088-0.054458i,-0.011519-0.045665i,0.053113-0.027358i,0.023553-0.066725i,0.039742-0.054919i,0.019606-0.039151i,0.026111-0.020387i,0.012231+0.012083i,0.025192-0.028719i,-0.01101-0.0012386i,-0.0013611-0.00023334i,-0.0083556-0.0012304i,-0.0051365-0.030003i,-0.021451+0.026047i,0.0072852-0.0098508i,-0.010972-0.0034046i,-0.0025357-0.0018007i,-0.00079587-0.014777i,-0.0083721+0.005656i,0.0061051+0.010465i,-0.0097756+0.029511i,0.0065735+0.0072773i,-0.0039399-0.0019381i,-0.0021941-0.0015499i,-0.012636-0.0054479i,0.00047524-0.0044356i,-0.02936+0.0021281i,0.0028429-0.0094449i,-0.0075737-0.0023279i,-0.0049989-0.0031619i,0.0070194+0.0016126i,-0.01021+0.00038035i,0.0027421-0.0007186i,0.0059012+0.008133i,0.0056048+0.0011553i,-0.0076119-0.0090562i,0.0028193+0.0081004i,-0.018724+0.0061962i,0.0034235+0.0056415i,-0.021439-0.0091116i,-0.027226-0.0045733i,0.0069104-0.062232i,0.019242-0.015737i,-0.050054-0.028533i,-0.021993+0.0005091i,0.019081+0.010633i,-0.026635+0.011941i,-0.012376-0.007838i
-0.027164-0.015774i,-0.036446-0.024974i,-0.024949-0.016957i,-0.03582-0.016336i,-0.020071+0.0046915i,-0.03339-0.011371i,-0.061714-0.036372i,-0.04703-0.036782i,-0.028529-0.014844i,0.0038091+0.003905i,-0.004107+0.0050286i,-0.0040445+0.015568i,0.0066862+0.0030839i,-0.0067936+0.00060822i,0.0032538+0.00030878i,0.0088774+0.024502i,0.025315+0.017619i,0.00092674+0.0011386i,-0.0034106+0.00038109i,0.0078952-0.00031953i,0.001008+0.0010178i,-0.00016533+0.0024352i,-0.00061139+0.00080393i,-0.016776+0.011722i,-0.0053947-0.0026081i,0.0019017+0.0014234i,0.0022461-0.00099062i,0.0011964+0.000395i,0.00036631-0.00044636i,-0.0021568-0.0016028i,-0.0012839+0.00028062i,-0.004421-0.0031131i,-0.0037931-0.0034955i,-0.00020384-0.0017475i,4.292e-06-0.0018024i,0.0050209+0.024629i,0.0014731-0.0039081i,8.6834e-05-0.0041621i,0.004443-0.0040156i,-0.0042905-0.00082811i,0.0010136+0.0016236i,0.010054-0.0033002i,-0.0019377+0.0015299i,-0.0058288+0.00284i,-0.0067406-0.0030188i,-0.0038469+0.028451i,-0.024881-0.084506i,-0.019733-0.065239i,-0.017833-0.046248i,-0.01342-0.03425i,0.052765-0.050364i,0.019323-0.08693i,0.041168-0.056791i,0.012554-0.046191i,0.013962-0.015868i,0.012626+0.00097225i,0.012386-0.032197i,-0.0097346+0.006487i,-0.0020307-0.0075463i,-0.0084506+0.00032468i,-0.026644-0.027298i,-0.0095923+0.024263i,0.0016831-0.012392i,-0.013049+0.00015576i,-0.0021417-0.0012012i,-0.0079789-0.014105i,-0.0089209+0.0091528i,0.01144+0.0094579i,0.0062686+0.027575i,0.0079745+0.0020403i,-0.0035053+0.0010432i,-0.0047508-0.0015935i,-0.01482+0.0028188i,0.00037549-0.0033123i,-0.033417+0.0086534i,-0.0024636-0.0077479i,-0.0076304+0.0021193i,-0.0066586-9.785e-05i,0.0052751-0.0041311i,-0.0089043+0.0033951i,0.0021357-0.0027086i,0.0051653+0.0029531i,0.0050864-0.00084305i,-0.011993-0.0013175i,0.0033071+0.0048523i,-0.013761+0.012531i,0.0045946+0.0026256i,-0.021617+0.00017173i,-0.028592+0.00325i,-0.0018427-0.059162i,0.012472-0.023924i,-0.055826-0.013592i,-0.016416-0.0026882i,0.020366+0.0022203i,-0.020608+0.017881i,-0.02023-0.012929i
-0.028978-0.010117i,-0.037486-0.020987i,-0.026876-0.015932i,-0.038712-0.0098259i,-0.017176+0.0038i,-0.035673-0.0042796i,-0.069575-0.021226i,-0.053655-0.028585i,-0.030093-0.013157i,0.0034232+0.0036095i,-0.0038795+0.0075429i,0.00299+0.013477i,0.0060422-0.001191i,-0.0065287+0.0043806i,0.00305-0.00074843i,0.013583+0.017916i,0.027994+0.0076651i,0.0024695+0.0004768i,-0.0018203+0.0022588i,0.0063248-0.0022561i,0.00051147+0.0013517i,0.00067295+0.0033226i,-0.00016572+0.0011172i,-0.0072933+0.014956i,-0.0048854-0.00024794i,0.0026439-0.00055074i,0.0022446-0.0010007i,0.0023789-2.5589e-05i,-0.00050119-0.00090452i,-0.0026333-0.00077825i,-0.00078033+0.00026804i,-0.0054689-0.0014401i,-0.0049978-0.0025435i,-0.000999-0.0017555i,0.00097684-0.0030635i,0.011887+0.019282i,0.00020724-0.0038682i,-0.0014101-0.0033726i,0.0026575-0.0067343i,-0.0045196-0.00028205i,0.0016031+0.0015584i,0.0078398-0.0054967i,-0.00058639+0.0026417i,-0.0047312+0.0055349i,-0.0055214-0.0053375i,0.011122+0.026369i,-0.039785-0.077638i,-0.034958-0.058401i,-0.010862-0.04805i,-0.007838-0.034026i,0.045712-0.070578i,-0.0018415-0.10382i,0.044549-0.066275i,0.003396-0.044754i,0.010774-0.014306i,0.0098262-0.0040555i,0.0020161-0.035009i,0.0014001+0.006077i,-0.010891-0.0086336i,-0.0064873-0.00039608i,-0.042348-0.014912i,-0.001875+0.022997i,-0.0046732-0.011463i,-0.011027+0.0040083i,-0.0041788-0.0012089i,-0.015544-0.0099218i,-0.0035966+0.014798i,0.016961+0.0022377i,0.016921+0.018694i,0.0082289-0.00056378i,-0.0025822+0.00094291i,-0.0055181+0.0011008i,-0.010946+0.012092i,-0.0029102-0.003401i,-0.029421+0.021383i,-0.0038266-0.0046196i,-0.0053007+0.0056518i,-0.0077237+0.0059859i,-0.00096803-0.0060803i,-0.0072817+0.0059427i,0.00030431-0.0034694i,0.0031625+0.0016049i,0.0035752-0.0024574i,-0.0078526+0.0050758i,0.0024062+0.0024261i,-0.010517+0.01498i,0.0023545-5.9564e-05i,-0.018067+0.0067065i,-0.024669+0.010733i,-0.0068354-0.056329i,0.0036988-0.024147i,-0.055437-0.00091685i,-0.021865-0.0087622i,0.017305-0.006039i,-0.010272+0.018393i,-0.024742-0.0089346i
-0.028808-0.0048577i,-0.041202-0.018635i,-0.030949-0.015166i,-0.037891-0.0031243i,-0.016242+0.0017631i,-0.035733+0.0037139i,-0.069489+0.0022744i,-0.058338-0.015252i,-0.034053-0.0068928i,0.0037436+0.0033532i,-0.00082427+0.0095278i,0.0057271+0.008989i,0.0038273-0.004237i,-0.0043803+0.0079765i,0.0021292-0.0020043i,0.01468+0.0092706i,0.029539-0.0051173i,0.0028704-0.00096572i,-0.00099352+0.0034949i,0.0046455-0.003565i,0.0018223+0.0023289i,0.0029175+0.0037202i,-4.3297e-05+0.00099772i,0.0017468+0.018845i,-0.0039041+0.0011456i,0.0015242-0.0019621i,0.0029203-0.0014466i,0.0019317-0.001158i,-0.00058425+8.3834e-05i,-0.0030732+0.00019399i,-0.0004454+0.00017045i,-0.0053953+0.00044328i,-0.0055697-0.00083387i,-0.0015402-0.0013917i,-0.0014572-0.0043221i,0.013606+0.013191i,-0.0011941-0.0036785i,-0.0022743-0.0027278i,-0.00070109-0.007369i,-0.0032547+0.0016441i,0.0023623+0.000693i,0.0043908-0.0071818i,0.00048652+0.002574i,-0.0023212+0.0061199i,-0.0045454-0.0073667i,0.024065+0.019196i,-0.051631-0.06714i,-0.044038-0.045842i,-0.012415-0.052738i,-0.0076098-0.036315i,0.029753-0.092102i,-0.030461-0.10636i,0.038563-0.085872i,-0.0013002-0.043659i,0.0074311-0.012877i,0.0057667-0.0085945i,-0.0082717-0.0317i,0.0023858-0.0029866i,-0.012944-0.0028329i,-0.0093914-0.0032705i,-0.047769+0.0072339i,0.0080252+0.018366i,-0.0090341-0.0083854i,-0.0083809+0.0054733i,-0.0051049+0.0013759i,-0.019808-0.0022533i,0.0044918+0.012367i,0.017906-0.0062253i,0.036366+0.0086485i,0.0076456-0.0036226i,-0.003031+0.00054599i,-0.0052081+0.0036649i,-0.0053819+0.018767i,-0.0051371+0.00076435i,-0.023783+0.027886i,-0.0043166-0.0036132i,-0.001411+0.0067517i,-0.0023859+0.010915i,-0.005609-0.002212i,-0.0029082+0.0072406i,-0.0010724-0.0029695i,0.0020988+0.0017913i,0.00091971-0.0038482i,-0.0026927+0.0050317i,-0.00058886+0.00030061i,0.0034767+0.029133i,3.0009e-05+0.00028839i,-0.012407+0.010818i,-0.019962+0.013921i,-0.011328-0.055553i,0.0028419-0.020523i,-0.052517+0.014449i,-0.029934-0.0053402i,0.013457-0.011074i,-0.0020387+0.013983i,-0.024599-0.0026551i
-0.027529+0.00022277i,-0.047216-0.012483i,-0.038108-0.011618i,-0.036904+0.0023444i,-0.018577-0.00012954i,-0.033324+0.011797i,-0.05418+0.016892i,-0.054841-0.0031456i,-0.031575+0.0011807i,0.0042029+0.0028429i,0.0027294+0.0078613i,0.0065097+0.0061425i,0.00023207-0.0056044i,0.00057689+0.009315i,0.00073403-0.0029737i,0.011609+0.0054661i,0.01924-0.017367i,0.0022342-0.0024519i,0.0019238+0.0061563i,0.0027243-0.0041358i,0.0032493+0.0025069i,0.0038084+0.0016209i,-6.8583e-06+0.0016094i,0.017487+0.015325i,-0.0033113+0.0025086i,0.00051604-0.0025809i,0.0015161-0.0029848i,0.0014889-0.00037729i,-1.3128e-05+0.0002457i,-0.002876+0.0015422i,-0.00028806+0.00023791i,-0.0043949+0.0025622i,-0.0046299+0.0010543i,-0.0020176-0.00088729i,-0.0025343-0.0027016i,0.015961+0.010163i,-0.0019515-0.003103i,-0.0035346-0.0017309i,-0.0035701-0.0054613i,-0.0018431-6.7959e-05i,0.0022227-0.00029307i,0.0012677-0.0060318i,0.0016341+0.0023009i,-0.001493+0.006026i,-0.0063358-0.012324i,0.034561+0.0056552i,-0.057304-0.053588i,-0.045841-0.033548i,-0.01611-0.057121i,-0.0083924-0.037897i,0.00094272-0.10725i,-0.054889-0.096941i,0.018463-0.096633i,-0.01037-0.039367i,0.006603-0.0096181i,0.00026947-0.010784i,-0.018967-0.023004i,-0.0026993-0.006452i,-0.013439-0.0006968i,-0.015737+0.00015983i,-0.042181+0.025135i,0.011345+0.0096608i,-0.012655-0.003536i,-0.0066304+0.0067756i,-0.0048837+0.0042295i,-0.019191+0.008326i,0.0046821+0.0071266i,0.015413-0.013325i,0.025152-0.0048546i,0.0058053-0.007172i,-0.0051747+0.0022897i,-0.0026497+0.0057633i,0.0038803+0.019972i,-0.0041626+0.0044208i,-0.018301+0.034469i,-0.006255-0.0033182i,0.00076475+0.0044137i,0.0043697+0.0099894i,-0.0072613+0.00072053i,-0.0015479+0.0041312i,-0.0025829-0.0021947i,0.0016418+0.0038404i,-0.0019898-0.0040804i,-0.0014132+0.0012939i,-0.0037992+0.0036471i,0.0065257+0.017256i,-0.0013652+0.0007058i,-0.0049123+0.01124i,-0.016882+0.017224i,-0.018776-0.052813i,0.0062246-0.02589i,-0.043259+0.03109i,-0.033241+0.0069211i,0.0085211-0.014745i,-0.00094287+0.0069082i,-0.022879-0.00038734i
-0.024811+0.003844i,-0.048903-0.0045422i,-0.044106-0.002453i,-0.035452+0.0076619i,-0.023391+0.0016212i,-0.02746+0.018099i,-0.039685+0.02044i,-0.049653+0.0043017i,-0.028214+0.0048096i,0.0040966+0.0019184i,0.0034347+0.0064222i,0.0068117+0.0020709i,-0.0036062-0.0048613i,0.0054109+0.0069658i,-0.00102-0.0029493i,0.010178+0.0040914i,0.0064266-0.018932i,0.001583-0.0029766i,0.0059605+0.0044406i,0.0010736-0.0038618i,0.0047693+0.00059428i,0.0031806+0.00057422i,0.0012324+0.0019757i,0.022108-0.00025478i,-0.001259+0.0039055i,-0.00043686-0.0033465i,-0.00023512-0.00039439i,0.0021738-0.0027852i,0.00016247-0.00039849i,-0.0012251+0.0028626i,8.8267e-05+0.0001403i,-0.0027403+0.0033406i,-0.0045267+0.0031044i,-0.0019509+0.00025062i,-0.0019185-0.0012863i,0.018699+0.0050593i,-0.0029796-0.0024087i,-0.0045209-0.00056569i,-0.0053185-0.0038199i,-0.0035853-0.0012794i,0.0023697-0.00072736i,-8.368e-05-0.0043005i,0.0018854+0.0016288i,-0.00033313+0.0065196i,-0.011906-0.013924i,0.030532-0.014593i,-0.055498-0.04253i,-0.046962-0.024196i,-0.022473-0.057834i,-0.0088773-0.042722i,-0.031355-0.10339i,-0.075977-0.080787i,0.0024286-0.099971i,-0.010455-0.024834i,0.011951-0.0054664i,-0.0044961-0.0092093i,-0.020086-0.010136i,-0.0058959-0.0069863i,-0.017055+0.0032859i,-0.012914+0.0065829i,-0.030265+0.041093i,0.010622+0.0034494i,-0.0095388+0.0039312i,-0.0070474+0.0073963i,-0.0015003+0.0074843i,-0.012537+0.015589i,0.005648+0.0080681i,0.0098726-0.023757i,0.016594-0.018228i,-0.00031638-0.011117i,-0.0056159+0.0066067i,-0.0010383+0.005924i,0.011766+0.016119i,-0.0010478+0.0062105i,-0.0063493+0.050294i,-0.0090825-0.001424i,0.00087152+0.00367i,0.0076626+0.0052046i,-0.006716+0.0080302i,-0.0019076+0.0043353i,-0.0044637-0.0009423i,0.0042885+0.0039519i,-0.0038076+0.0020167i,-0.0046647+0.0003766i,-0.00021144+0.0088883i,0.0063943+0.011428i,-0.0016366+0.0012897i,-0.0015937+0.0069188i,-0.011804+0.021719i,-0.019767-0.044674i,-0.0021575-0.03926i,-0.020932+0.036991i,-0.0259+0.017008i,0.0024228-0.023364i,-0.0024083+0.0012821i,-0.021121+0.0047879i
-0.021954+0.0059955i,-0.0528+0.001858i,-0.046457+0.0089875i,-0.031771+0.013865i,-0.026344+0.0081786i,-0.021405+0.020935i,-0.030027+0.018595i,-0.045698+0.009i,-0.027652+0.0086973i,0.0047331+0.00038003i,0.0058357+0.0056942i,0.0035422-0.0015934i,-0.0068545-0.0015625i,0.0073239+0.0012978i,-0.0022083-0.0022804i,0.0092459+0.003468i,-0.0021239-0.014711i,0.00026053-0.0036772i,0.0065302+0.0002366i,7.3634e-05-0.0030077i,0.0044017-0.0018843i,0.0041642+0.00055506i,0.0023189+0.0011769i,0.016715-0.010847i,0.0019083+0.0027749i,-0.00096418-0.0014404i,0.00091384-0.0016567i,0.0035746-0.0041823i,-0.00015724-7.6686e-05i,0.00039656+0.0024464i,0.00011776-0.00011432i,-0.0011067+0.0039278i,-0.0027475+0.0046833i,-0.0011821+0.00073441i,-0.0029616-0.0010692i,0.019048-0.0019644i,-0.0032586-0.000629i,-0.0041875+0.00098029i,-0.0061579-0.00041165i,-0.0060239+0.00036506i,0.0017481-0.00098735i,-0.00054142-0.005195i,0.0023774+0.00092298i,0.00064604+0.0049763i,-0.017593-0.011939i,0.017846-0.020818i,-0.057517-0.039516i,-0.041669-0.013659i,-0.028242-0.058015i,-0.017376-0.050388i,-0.053511-0.090935i,-0.084489-0.056218i,-0.022367-0.10234i,0.00034898-0.021336i,0.016356-0.019026i,-0.00692-0.0057862i,-0.015776-0.0087973i,-0.013128-0.0054953i,-0.015224+0.012541i,-0.0098423+0.0083326i,-0.0083992+0.045477i,0.010976-0.00062274i,-0.0073384+0.0033727i,-0.0021783+0.0090512i,0.00072578+0.0061093i,-0.0045334+0.019419i,0.00995+0.0056265i,-0.0067432-0.027927i,-0.00017542-0.021196i,-0.0047265-0.0046518i,-0.0021928+0.0093321i,0.0026677+0.0051248i,0.016703+0.0073511i,0.0019437+0.0049658i,0.019543+0.048599i,-0.0069997+0.0029358i,0.0013508+0.0022712i,0.0074935+0.0005675i,0.00058794+0.010325i,-0.004625+0.0049866i,-0.004637+0.0029131i,0.0069432+0.0028987i,-0.0015336+0.0045763i,-0.0070133+0.0023264i,0.0046979+0.0083073i,0.0095797+0.0092949i,-0.0011848+0.0025139i,0.00048856+0.0033048i,-0.0038114+0.02225i,-0.02038-0.043292i,-0.021761-0.039697i,-0.0054319+0.029669i,-0.019141+0.019758i,-0.0039388-0.025354i,-0.0060865-0.0015306i,-0.012124+0.006018i
-0.019957+0.0073853i,-0.054428+0.014235i,-0.04466+0.021481i,-0.026704+0.017082i,-0.023952+0.015777i,-0.01678+0.022525i,-0.024819+0.015157i,-0.042525+0.013064i,-0.024493+0.015072i,0.0042849-0.0011646i,0.0056988+0.0018519i,-0.001426-7.1744e-05i,-0.0069021+0.002732i,0.003926-0.0019093i,-0.0032048-0.0016305i,0.010665+0.0016018i,-0.0059185-0.0089811i,-0.0014532-0.0032428i,0.0044317-0.002053i,-0.00061261-0.002288i,0.0023195-0.0026132i,0.0039448-0.0012205i,0.0024396+2.4886e-06i,0.008959-0.01594i,0.0015136+0.00062464i,-0.0010815-0.00131i,0.00057543-0.0027078i,-0.00030628-0.0027391i,0.0010881+0.00020301i,0.00088311+0.0016052i,-5.8971e-05-0.00050926i,0.00044823+0.0036314i,0.00054017+0.0054405i,-0.0010373+0.00050831i,-0.0032501+0.0012545i,0.016148-0.0082125i,-0.0023717+0.0001733i,-0.0028221+0.0024907i,-0.0043033+0.0013524i,-0.0061808+0.0038678i,0.0013235-0.00077034i,-0.0017226-0.0044574i,0.0023146+9.5129e-05i,7.5812e-05+0.0039129i,-0.021515-0.006197i,0.013991-0.015378i,-0.061351-0.035321i,-0.033678-0.0098205i,-0.035127-0.056317i,-0.030473-0.049006i,-0.073726-0.077435i,-0.081148-0.037162i,-0.049232-0.08689i,0.006092-0.028226i,0.011237-0.027901i,-0.0067405-0.0036534i,-0.016604-0.0058592i,-0.018099+0.0030569i,-0.0074917+0.017846i,-0.0060883+0.011452i,0.012057+0.03861i,-0.021051+0.01047i,-0.0079622+0.0044076i,-0.00077158+0.0064071i,0.0040002+0.006049i,0.0045276+0.015881i,0.010821-0.0017789i,-0.021002-0.017604i,-0.011568-0.013296i,-0.0037146-0.00081935i,0.0025683+0.0092903i,0.0036566+0.0021625i,0.017971-8.8304e-05i,0.0051091+0.0045566i,0.039376+0.033414i,-0.0054824+0.0032115i,0.0006826+0.0022899i,0.0052935-0.003293i,0.0062413+0.0075404i,-0.0042471+0.011496i,-0.0016175+0.0067602i,0.0089267-0.00081706i,0.0027307+0.0039263i,-0.0074013+0.006548i,0.0074585+0.0049891i,0.0083787+0.0090491i,-0.00020097+0.0018565i,-9.9652e-05-0.00016463i,0.001842+0.019732i,-0.020529-0.04217i,-0.033663-0.026428i,0.0037451+0.019335i,-0.0060657+0.023872i,-0.016026-0.028072i,-0.013099-0.0013285i,-0.010884-0.0014799i
-0.018336+0.0089681i,-0.049598+0.02719i,-0.037076+0.034015i,-0.023304+0.019666i,-0.018607+0.020365i,-0.011857+0.023931i,-0.023227+0.011675i,-0.04055+0.017471i,-0.016997+0.019126i,0.0031598-0.0027779i,0.0034076-0.0019783i,-0.0015191+0.004068i,-0.0045501+0.0057215i,0.001229-0.0027672i,-0.0040693-0.00046585i,0.010493-0.0015938i,-0.0050647-0.0043788i,-0.0021377-0.0020953i,0.0025521-0.0022108i,-0.00080788-0.0016491i,0.0018863-0.0016751i,0.0029708-0.0021863i,0.0021698-0.00053035i,0.0022108-0.015731i,0.00074184-0.00018309i,-0.0014746-0.0012313i,-0.00066611-0.0028011i,-0.00099664-0.0026447i,0.00093232-0.0010354i,0.001307+0.001278i,-0.00034333-0.00086098i,0.0019325+0.002866i,0.0021546+0.00349i,-0.0011904+0.0010703i,-0.0017902+0.0011785i,0.011209-0.013152i,-0.001439+0.00028247i,-0.0010568+0.0032099i,-0.0049621+0.0013681i,-0.0034796+0.0058146i,0.0011833-0.0004082i,-0.0032466-0.003076i,0.0021886-0.00096155i,-0.0014579+0.0045443i,-0.022239+0.0011212i,0.021238-0.013551i,-0.068249-0.028585i,-0.028156-0.011973i,-0.041553-0.052813i,-0.039352-0.042535i,-0.088836-0.054665i,-0.078513-0.026805i,-0.05592-0.061663i,0.0052408-0.032875i,0.0026014-0.035353i,-0.0074051-0.0027278i,-0.015792-0.0057978i,-0.014106+0.012961i,-0.00023011+0.017971i,0.0021985+0.010314i,0.019182+0.023725i,0.0016112-0.007045i,-0.0074067+0.007435i,-0.0008125+0.006095i,0.0054304+0.0018385i,0.0079564+0.010991i,0.0045821-0.0036757i,-0.025599-0.0030298i,-0.014969-0.0035169i,-0.00081234-0.00026747i,0.0047727+0.0079782i,0.0022699+0.00084435i,0.014337-0.011781i,0.0057959-0.00047134i,0.046536+0.013632i,-0.0058817+0.0061411i,0.0019214+0.0016697i,0.0009749-0.0049245i,0.0074967+0.0022587i,0.0012741+0.014405i,0.0041129+0.0044118i,0.0062602-0.0046967i,0.0048743+0.0006621i,-0.008802+0.01582i,0.0064103+0.0029383i,0.018033+0.0047561i,-0.0015222+0.0013528i,-0.0043475-0.00080804i,0.0055412+0.016834i,-0.022382-0.04435i,-0.033441-0.012301i,0.0051032+0.0083249i,0.0039555+0.014661i,-0.028971-0.022474i,-0.016024+0.0078922i,-0.015945-0.001708i
-0.016711+0.010617i,-0.041043+0.035775i,-0.024718+0.042233i,-0.020076+0.02218i,-0.012778+0.023281i,-0.0072436+0.024392i,-0.024179+0.010299i,-0.037623+0.023173i,-0.010893+0.019139i,0.0011176-0.0036242i,0.00038845-0.0015146i,0.00081657+0.0055058i,-0.0015673+0.0063942i,-0.001035-0.0023905i,-0.0042455+0.0011713i,0.0081217-0.0049162i,-0.004103-0.0032857i,-0.0021746-0.00097931i,0.0016218-0.0026497i,-0.00084422-0.0012741i,0.0023053-0.0021253i,0.0020121-0.0021832i,0.0019731-0.00090882i,-0.0024705-0.014006i,0.00059372-0.00022244i,-0.0017155-0.00046399i,-0.0015935-0.0020503i,-0.002102-0.0024713i,0.00021808-0.0013267i,0.0018316+0.00057826i,-0.00095561-0.00090471i,0.0025629+0.0012759i,0.0026655+0.0018805i,-0.00082614+0.0014724i,-0.0017535+0.0015853i,0.0041167-0.012529i,-0.0015645-0.0001153i,0.00076761+0.0027416i,-0.0034673+0.0052581i,-0.0018262+0.0066721i,0.0013557-0.00044539i,-0.0027957-0.0013942i,0.0015111-0.0018218i,-0.00016481+0.0068015i,-0.017994+0.0073223i,0.03117-0.023195i,-0.075049-0.017233i,-0.028358-0.013915i,-0.045951-0.048495i,-0.046174-0.035655i,-0.091075-0.031082i,-0.076588-0.015992i,-0.050638-0.04885i,0.0047369-0.039203i,-0.011669-0.038848i,-0.0072786-0.0011726i,-0.019054-0.0063474i,-0.0055771+0.017373i,0.0054877+0.014525i,0.0059019+0.0028703i,0.018317+0.012176i,-0.0024985-0.0078731i,-0.0054654+0.01016i,-0.00047998+0.0068742i,0.0038055-0.0012704i,0.008849+0.0062316i,0.0031144-0.00074753i,-0.022129+0.0093555i,-0.010928+0.0050637i,-0.00068111-0.00060865i,0.0084096+0.0065861i,0.0011206+0.00087766i,0.0041781-0.016021i,0.0031568-0.002756i,0.044838-0.0042557i,-0.0029672+0.0090359i,0.0012416+0.00084011i,-0.002337-0.0028976i,0.0060489+0.00027092i,0.0082224+0.015004i,0.0039721+0.00055162i,0.0037415-0.0057638i,0.0029593-0.0019577i,0.013198+0.020319i,0.0065731+0.0011235i,0.014651-0.0026714i,-0.0010288+0.0048182i,-0.0053794+0.0011141i,0.0080186+0.014565i,-0.028343-0.04642i,-0.031868-0.0037448i,0.0025816+0.0027906i,0.0039492+0.0049622i,-0.037007-0.011253i,-0.0097929+0.011621i,-0.015849+0.00088307i
-0.014613+0.01237i,-0.031312+0.040622i,-0.010573+0.044574i,-0.015397+0.02494i,-0.0060242+0.023827i,-0.0028509+0.024291i,-0.025663+0.011508i,-0.032909+0.028572i,-0.0055764+0.018348i,-0.00016216-0.0026969i,-0.00083542-5.2382e-05i,0.0035088+0.0048337i,0.00087989+0.0061663i,-0.0028764-0.00065556i,-0.0038807+0.0025637i,0.0050011-0.0063286i,-0.0048372-0.0034165i,-0.0020959-0.00028859i,0.00036184-0.0024814i,-0.0011007-0.00097105i,0.0019157-0.0028739i,0.0019784-0.0021898i,0.0016827-0.0012801i,-0.0065435-0.012057i,0.00037452-0.00044809i,-0.0015818+4.9536e-05i,-0.0023506-0.0012914i,-0.0026354-0.0010316i,-0.00028264-0.0013032i,0.0015074-0.00038295i,-0.0014576-0.00047041i,0.0019405+0.00021877i,0.0026424+0.00017407i,8.4264e-05+0.0014353i,-0.0009718+0.0021671i,0.00031108-0.0099092i,-0.0016834+0.00027844i,0.0017596+0.0012532i,0.000334+0.0048649i,0.0010016+0.0073204i,0.0013692-0.00068484i,-0.0021649-0.00075493i,0.00010991-0.0026416i,0.0017748+0.0061529i,-0.012417+0.0089575i,0.030918-0.04199i,-0.078187-0.0016868i,-0.027466-0.01449i,-0.049772-0.04834i,-0.051111-0.026503i,-0.089398-0.013687i,-0.074237-0.0068403i,-0.049375-0.042048i,-0.0012386-0.045173i,-0.027716-0.034304i,-0.007294-0.00068504i,-0.026527-0.0031276i,0.0022928+0.015549i,0.0089691+0.0095142i,0.004074-0.0028491i,0.01486+0.0058514i,-0.0069526-0.0071184i,-0.0012838+0.011744i,0.0013501+0.0073317i,0.0014631-0.0020938i,0.0070166+0.0022673i,0.0041033+0.00047718i,-0.014034+0.016207i,-0.0056598+0.0082626i,5.7295e-05-0.0007488i,0.011486+0.00093346i,0.00044032+0.0019534i,-0.004009-0.01261i,0.00070806-0.0028261i,0.036091-0.017535i,0.0012572+0.010415i,0.00063469+0.0015381i,-0.0044961+0.00032407i,0.0051326-0.001942i,0.014979+0.011297i,0.0025702-0.0017447i,0.0010842-0.0068557i,0.00080351-0.0025176i,0.011651-0.0029425i,0.0060058+0.00068005i,0.0099981-0.0087888i,0.001732+0.0056198i,-0.0053601+0.0021987i,0.011694+0.011545i,-0.03737-0.043225i,-0.025886+0.0017957i,0.00060259-0.00057126i,-5.7866e-05+0.001692i,-0.03962-0.00029008i,-0.0060844+0.010055i,-0.015041+0.0030474i
