-0.023128-0.018442i,-0.032271-0.033058i,-0.022256-0.019469i,-0.032488-0.020398i,-0.023872+0.0044353i,-0.028725-0.017353i,-0.058506-0.04368i,-0.040683-0.040162i,-0.030597-0.019335i,0.0053286+0.0054511i,-0.0037704+0.0061471i,-0.010552+0.011175i,0.003667+0.0071106i,-0.0039491-0.0024799i,0.0028365+0.0017905i,0.0041598+0.028475i,0.020016+0.01961i,5.5326e-05+0.00022889i,-0.0030105-0.0027822i,0.0079389+0.0040319i,0.0020494+0.0006433i,-9.1426e-06+0.0024108i,-0.00065351+0.00047214i,-0.030737-0.00061606i,-0.0033791-0.0049537i,-1.0018e-05+0.0027022i,0.0049202-0.00093931i,0.00048744-0.00033729i,-0.00034448-0.00048017i,-0.0014055-0.001856i,-0.0021249-0.00050582i,-0.0039202-0.0039233i,-0.0036453-0.0050607i,0.00033312-0.0011762i,0.00031252-0.0026786i,-0.0030078+0.024818i,0.0022154-0.0030519i,0.0022867-0.0038186i,0.0040874-0.002588i,-0.0084985-0.002273i,0.00063424+0.0012546i,0.014279-0.00016094i,-0.002458-0.00019784i,-0.0035593+0.0012283i,-0.0096766-0.0027693i,-0.018926+0.021571i,-0.0079997-0.0854i,-0.0023963-0.060981i,-0.021383-0.053102i,-0.010673-0.045319i,0.054049-0.025306i,0.024264-0.067462i,0.041493-0.052628i,0.018737-0.038855i,0.025615-0.019669i,0.012216+0.011911i,0.025593-0.029842i,-0.010916-0.0010472i,-0.00073536-0.001019i,-0.0071545-0.0014295i,-0.0047612-0.029197i,-0.020432+0.026903i,0.0073743-0.009346i,-0.010437-0.0033072i,-0.0024724-0.0019173i,-0.00053908-0.014526i,-0.0078388+0.0052912i,0.005384+0.01021i,-0.011345+0.032154i,0.0069685+0.0075232i,-0.0035703-0.001929i,-0.0021038-0.0015776i,-0.012863-0.0057128i,0.00020694-0.0037469i,-0.030102+0.0025802i,0.0033178-0.0089848i,-0.0074086-0.0016996i,-0.0049888-0.0027687i,0.0065588+0.001831i,-0.01106+0.00075685i,0.0023852-0.00026219i,0.0062247+0.008i,0.0054723+0.0013198i,-0.0079774-0.0095461i,0.002403+0.0076179i,-0.020306+0.0087837i,0.0032148+0.0056711i,-0.02094-0.0084167i,-0.027139-0.0049545i,0.0092284-0.061997i,0.019011-0.014775i,-0.050704-0.029289i,-0.024614+0.0020949i,0.019131+0.010238i,-0.027937+0.011451i,-0.01266-0.0076744i
-0.026803-0.01414i,-0.036684-0.023188i,-0.024115-0.016747i,-0.035974-0.016225i,-0.019326+0.0050526i,-0.032808-0.010644i,-0.061213-0.03056i,-0.044603-0.033512i,-0.029687-0.012395i,0.0039844+0.004072i,-0.0046373+0.0053903i,-0.0043911+0.014879i,0.0065973+0.003137i,-0.0067758+0.0010144i,0.003139+0.00019697i,0.010517+0.022408i,0.026735+0.011967i,0.0013728+0.00095947i,-0.0031965+4.8698e-05i,0.0074033+0.00023387i,0.0014698+0.0012063i,-0.00017157+0.0026288i,-0.00045112+0.00092294i,-0.017175+0.013342i,-0.0050502-0.0027873i,0.0020011+0.001498i,0.0023904-0.0011199i,0.00074441+0.00060712i,0.0003319-0.00062748i,-0.0022161-0.0013233i,-0.0012302+0.00024675i,-0.0043705-0.003009i,-0.0046385-0.0036754i,-0.00026181-0.0013436i,-2.5969e-05-0.0013357i,0.0027496+0.023219i,0.0013278-0.0039691i,-0.0002402-0.0039234i,0.0041843-0.0044466i,-0.0053881-0.00015989i,0.00080784+0.0013362i,0.0091189-0.0015966i,-0.0024295+0.0019556i,-0.0051651+0.003427i,-0.0072305-0.0022358i,-0.0049466+0.027972i,-0.023895-0.083751i,-0.019299-0.064912i,-0.017383-0.045159i,-0.012706-0.034297i,0.055091-0.04937i,0.019547-0.087409i,0.042096-0.05548i,0.012026-0.044131i,0.0134-0.015546i,0.012399+0.00090129i,0.013246-0.032526i,-0.0096329+0.0059965i,-0.0024046-0.0084084i,-0.0078639-0.00060937i,-0.026361-0.027311i,-0.0083944+0.024542i,0.001767-0.012138i,-0.012326-0.0001885i,-0.0020457-0.00127i,-0.007707-0.013781i,-0.0081282+0.0086844i,0.010534+0.0091432i,0.0078598+0.029873i,0.0081277+0.0023552i,-0.0036274+0.00079386i,-0.0046081-0.00097998i,-0.015975+0.0035843i,0.00029603-0.0029578i,-0.036424+0.0087804i,-0.0019974-0.0076061i,-0.0069877+0.0021375i,-0.00684+1.4186e-05i,0.0049128-0.0039166i,-0.0096848+0.004384i,0.0022731-0.0019589i,0.0049948+0.0027864i,0.0043486-0.00083954i,-0.01256-0.0015891i,0.0028189+0.0048778i,-0.013533+0.014162i,0.0043607+0.0029084i,-0.020813+0.00045113i,-0.028948+0.003093i,-0.0010123-0.060579i,0.01316-0.022301i,-0.056407-0.01433i,-0.016854-0.00086275i,0.019137+0.0027017i,-0.021271+0.018368i,-0.019792-0.01191i
-0.027897-0.0087268i,-0.037316-0.018438i,-0.026233-0.016012i,-0.038972-0.0095813i,-0.016384+0.0038116i,-0.03507-0.0035869i,-0.065679-0.017601i,-0.0501-0.026548i,-0.029576-0.0099295i,0.0037636+0.0034296i,-0.0039554+0.0083219i,0.0023024+0.013277i,0.0059626-0.0011159i,-0.0063729+0.0047448i,0.0026204-0.0007811i,0.013815+0.01577i,0.028337+0.003349i,0.0025083+0.00012464i,-0.0020287+0.0016903i,0.0063695-0.0023236i,0.0010392+0.0015762i,0.00076241+0.0038345i,8.9635e-05+0.0010325i,-0.0053011+0.016497i,-0.0050191-0.00058806i,0.0024976-0.00078117i,0.0023624-0.00094124i,0.0018368+0.00051865i,-0.00037746-0.0010307i,-0.0025119-0.00046131i,-0.00081712+0.00027266i,-0.0053118-0.0011682i,-0.005253-0.0024696i,-0.00080829-0.0013868i,0.00087758-0.0027747i,0.010329+0.020605i,-6.7153e-05-0.0038032i,-0.0014914-0.0030847i,0.0016883-0.0067385i,-0.0048759+8.0504e-05i,0.0013723+0.0015408i,0.0074126-0.004865i,-0.00039263+0.0033923i,-0.0041187+0.0056754i,-0.0059177-0.0046412i,0.010004+0.026664i,-0.038393-0.077434i,-0.035662-0.056966i,-0.010302-0.047548i,-0.00712-0.034286i,0.047716-0.070399i,-0.0011577-0.10474i,0.044807-0.064803i,0.0047825-0.043423i,0.010357-0.01353i,0.0097484-0.0041344i,0.0038809-0.034499i,0.0014274+0.0060189i,-0.010439-0.0083557i,-0.006571-0.0013896i,-0.041442-0.01424i,-0.0013422+0.023424i,-0.0044293-0.011307i,-0.011021+0.0040749i,-0.0037555-0.001216i,-0.015148-0.010513i,-0.0034631+0.014366i,0.016116+0.002986i,0.018081+0.018933i,0.0080037+0.00012493i,-0.0028975+0.00085303i,-0.0050638+0.0010137i,-0.011301+0.01213i,-0.0028769-0.0027303i,-0.03227+0.021714i,-0.0032166-0.0045237i,-0.005455+0.0056942i,-0.0079859+0.0063034i,-0.00066721-0.0056165i,-0.007104+0.0064171i,0.00040822-0.0030596i,0.0032064+0.0015597i,0.0031858-0.0020851i,-0.0075757+0.0056728i,0.0027539+0.0027473i,-0.0056459+0.014795i,0.0031352-7.2306e-05i,-0.017407+0.0060916i,-0.025428+0.011313i,-0.0068857-0.057501i,0.0045496-0.023043i,-0.056964-0.00023427i,-0.021288-0.0067697i,0.017508-0.0055183i,-0.010453+0.018165i,-0.023682-0.0084985i
-0.027623-0.0037951i,-0.040342-0.016159i,-0.030767-0.015126i,-0.038233-0.0024033i,-0.01575+0.0014399i,-0.034748+0.0045166i,-0.066109+0.0020014i,-0.055214-0.015438i,-0.031539-0.005405i,0.0040438+0.0030418i,-0.00053106+0.0096353i,0.0051392+0.0090221i,0.0037268-0.0041532i,-0.0042486+0.0085184i,0.0018121-0.0018675i,0.014139+0.008031i,0.028399-0.0070165i,0.0028626-0.0013369i,-0.0011869+0.0032189i,0.0045116-0.0035976i,0.0019964+0.0023651i,0.0029565+0.0037083i,0.00014403+0.00096165i,0.0029338+0.017954i,-0.0043303+0.00084844i,0.0012272-0.0020472i,0.0029714-0.0013634i,0.0017972-0.00076976i,-0.00068435-0.00022228i,-0.0027278+0.00025805i,-0.00047101+0.00028626i,-0.0049368+0.0006529i,-0.0055401-0.00049084i,-0.0013148-0.0013809i,-0.0010571-0.0036907i,0.01442+0.013465i,-0.00090067-0.0036244i,-0.0023086-0.0024174i,-0.0012138-0.0064491i,-0.0037569+0.0021902i,0.0021088+0.00089533i,0.0044041-0.0065291i,0.0014008+0.0029347i,-0.0018552+0.0060808i,-0.0058025-0.0065288i,0.023323+0.019882i,-0.050972-0.067221i,-0.042868-0.044117i,-0.01279-0.052305i,-0.0069341-0.037074i,0.032396-0.093415i,-0.030147-0.10681i,0.039925-0.083716i,-0.00021001-0.04311i,0.0076365-0.012394i,0.0053156-0.0088345i,-0.0087915-0.031553i,0.0026127-0.0026641i,-0.013443-0.0034751i,-0.0097314-0.0037421i,-0.046597+0.0076079i,0.0085347+0.019101i,-0.0086202-0.0089484i,-0.0080375+0.0056678i,-0.0047309+0.00096282i,-0.019768-0.0022582i,0.0045202+0.012169i,0.017447-0.0048401i,0.041133+0.022727i,0.0088207-0.0032856i,-0.0031171+0.00043978i,-0.005026+0.0036027i,-0.0048087+0.018103i,-0.0046187+0.00056412i,-0.023749+0.030949i,-0.0037722-0.0032295i,-0.001306+0.0072289i,-0.0020648+0.01107i,-0.0055626-0.003017i,-0.0030568+0.0063699i,-0.00066832-0.0018646i,0.0022528+0.0016794i,0.001322-0.0037668i,-0.0017923+0.0044353i,-0.00032669+0.00035803i,-0.010142+0.0082969i,0.0003141+4.737e-05i,-0.012785+0.0097868i,-0.019994+0.014645i,-0.011179-0.056249i,0.0040744-0.019638i,-0.052319+0.01561i,-0.028215-0.0035696i,0.013084-0.012001i,-0.0022926+0.01415i,-0.023871-0.0031167i
-0.026106+0.00071133i,-0.045503-0.010034i,-0.037656-0.011297i,-0.03672+0.0030888i,-0.018315-0.00029832i,-0.032192+0.012044i,-0.052364+0.016357i,-0.05336-0.0038095i,-0.029807+0.001733i,0.0042752+0.0019714i,0.002508+0.0078623i,0.0061793+0.0063388i,0.00018814-0.0055141i,0.00092023+0.0095741i,0.00051716-0.002631i,0.010902+0.0043503i,0.018005-0.017133i,0.0020515-0.0027119i,0.0019288+0.0056848i,0.0027219-0.0041713i,0.003287+0.0024971i,0.0035057+0.001988i,0.00028289+0.0014174i,0.015571+0.015579i,-0.0035784+0.0026093i,0.0003273-0.002513i,0.0017743-0.0028623i,0.0013889-0.00068759i,-0.0003099+0.00020239i,-0.0027212+0.0016654i,-0.00037623+0.00029229i,-0.0039513+0.0025959i,-0.0043117+0.001255i,-0.0019028-0.00089231i,-0.0026238-0.0024168i,0.016301+0.0095872i,-0.0017-0.0034368i,-0.003321-0.0014573i,-0.0032892-0.0050952i,-0.0018128+0.00079085i,0.0019307+7.815e-05i,0.0014352-0.0057177i,0.0025692+0.0021029i,-0.0014187+0.0056989i,-0.0072821-0.010018i,0.033778+0.0061844i,-0.056358-0.053662i,-0.044731-0.03243i,-0.015932-0.056213i,-0.0082538-0.038472i,0.0023515-0.10875i,-0.054313-0.09757i,0.020591-0.097071i,-0.0094956-0.039077i,0.0068346-0.0095286i,-0.00029812-0.010615i,-0.019186-0.024318i,-0.0024092-0.0061685i,-0.014955-0.00081294i,-0.01622-0.00032398i,-0.039394+0.023861i,0.012539+0.0090745i,-0.012479-0.0044179i,-0.0065223+0.0071106i,-0.0050352+0.0039523i,-0.018955+0.007831i,0.0047043+0.0071034i,0.015639-0.012299i,0.027046-0.0056446i,0.0060232-0.0075472i,-0.0052597+0.0020872i,-0.0026124+0.005874i,0.0039284+0.019048i,-0.0045966+0.0041719i,-0.016696+0.035067i,-0.0053847-0.0030665i,0.0012691+0.004604i,0.0040396+0.0096454i,-0.0074574+0.0012361i,-0.0023345+0.003264i,-0.0018926-0.0024876i,0.0017645+0.0033855i,-0.0033885-0.0032993i,-0.0017691+0.00062933i,-0.0036429+0.0033382i,0.00056113+0.02027i,-0.0010298+0.0008261i,-0.0059556+0.011249i,-0.016787+0.017813i,-0.018838-0.053734i,0.0079502-0.025295i,-0.042627+0.031049i,-0.031074+0.0067628i,0.0070005-0.015542i,-0.00074309+0.0068285i,-0.02237-0.00093759i
-0.023469+0.0039412i,-0.046797-0.0028529i,-0.043173-0.0020199i,-0.035446+0.0083596i,-0.023263+0.0015995i,-0.026576+0.01794i,-0.03871+0.019376i,-0.049655+0.0041379i,-0.026669+0.0045251i,0.0035547+0.0013462i,0.0032913+0.0064554i,0.006812+0.0021731i,-0.0035541-0.0048995i,0.0057667+0.0068301i,-0.0010979-0.002723i,0.0091207+0.0031263i,0.0066343-0.019211i,0.0013706-0.0030355i,0.0057749+0.0040678i,0.0010111-0.0039331i,0.0044901+0.00061925i,0.0033099+0.00082457i,0.0013098+0.0016757i,0.022303-0.00072582i,-0.0013608+0.0037869i,-0.00058381-0.0024669i,-0.00034535-0.00082595i,0.0033413-0.0029341i,8.5152e-05-0.00032141i,-0.00091695+0.0030254i,-6.4693e-06+0.00023792i,-0.0027233+0.0034656i,-0.0040456+0.0029224i,-0.001831+0.00018287i,-0.0019314-0.0013483i,0.018819+0.0047244i,-0.0030114-0.0026267i,-0.0043734-0.00070009i,-0.0049924-0.0035157i,-0.0034767-0.00059775i,0.0019725-0.00029208i,-4.0211e-05-0.0040968i,0.002725+0.00086753i,5.0139e-05+0.0060255i,-0.01182-0.011122i,0.030183-0.013341i,-0.054361-0.043193i,-0.046133-0.023047i,-0.022187-0.057509i,-0.0087746-0.042779i,-0.030748-0.10499i,-0.075744-0.081516i,0.0026376-0.10046i,-0.0088754-0.025247i,0.012429-0.0050636i,-0.0047225-0.0088419i,-0.020554-0.012064i,-0.005899-0.0066628i,-0.018303+0.0039547i,-0.013665+0.0063028i,-0.029581+0.039162i,0.0096353+0.0023721i,-0.0099607+0.0030762i,-0.006464+0.0081963i,-0.0015885+0.0076528i,-0.012357+0.015264i,0.0059558+0.0081704i,0.010055-0.023696i,0.016001-0.018817i,-0.0011158-0.011416i,-0.0058891+0.0063657i,-0.00074014+0.0060539i,0.011892+0.015491i,-0.0016866+0.0064633i,-0.0015844+0.046512i,-0.0088985-0.0014948i,0.0010311+0.0033955i,0.007417+0.0051424i,-0.0061005+0.0072584i,-0.0027726+0.0045738i,-0.0047094-0.0019146i,0.0043846+0.0042791i,-0.0039185+0.001756i,-0.0052784+0.00064668i,-0.00037186+0.0088994i,0.0069286+0.019118i,-0.0014678+0.00089782i,-0.0019783+0.0072736i,-0.010145+0.021195i,-0.020598-0.045463i,-0.0011041-0.039446i,-0.02054+0.037473i,-0.025053+0.014876i,0.0036531-0.020684i,-0.0020245+0.00094921i,-0.020574+0.0035677i
-0.020993+0.0057887i,-0.050423+0.0038337i,-0.045384+0.0090478i,-0.031392+0.014676i,-0.026129+0.0084658i,-0.020678+0.02066i,-0.030347+0.017737i,-0.045862+0.0099201i,-0.026314+0.0079557i,0.0041523+0.00033504i,0.005574+0.0055753i,0.0036042-0.0017355i,-0.0067284-0.0016072i,0.0073557+0.00089203i,-0.0022973-0.0021293i,0.0079587+0.002949i,-0.0011418-0.014595i,7.1088e-05-0.0036186i,0.0061103+0.00010004i,-3.054e-05-0.0030354i,0.0040671-0.0017303i,0.0043729+0.00067408i,0.0022283+0.00095787i,0.016142-0.011049i,0.0017175+0.0027468i,-0.00092994-0.0014271i,0.00042357-0.0016958i,-0.0031095-0.0049307i,6.9186e-05-9.4704e-05i,0.00063498+0.0024894i,7.5484e-05-6.5622e-05i,-0.00084784+0.0039944i,-0.001902+0.0038375i,-0.0012491+0.00066985i,-0.0019688+0.00023554i,0.020026-0.002123i,-0.0030358-0.0007387i,-0.0039404+0.00086019i,-0.0059889-2.7448e-05i,-0.0053686+0.0018006i,0.0018696-0.00059827i,-0.0001718-0.0045914i,0.0025047-0.00042493i,0.00062107+0.0043419i,-0.016245-0.0092258i,0.018478-0.019204i,-0.056436-0.039573i,-0.039966-0.013045i,-0.027696-0.057242i,-0.017266-0.049978i,-0.054162-0.09207i,-0.083836-0.057089i,-0.020876-0.10161i,0.00066987-0.022816i,0.018094-0.018452i,-0.0066314-0.0056131i,-0.017092-0.0094259i,-0.013084-0.004987i,-0.015254+0.012819i,-0.010546+0.008131i,-0.0082894+0.045276i,0.0087783-0.00037404i,-0.0074731+0.0034656i,-0.0016647+0.0087055i,0.0011398+0.0060495i,-0.0046029+0.019198i,0.009754+0.0053827i,-0.0062345-0.027756i,-0.00063624-0.020833i,-0.0052931-0.0053192i,-0.0023362+0.009031i,0.0028079+0.0047834i,0.016878+0.0071217i,0.0020481+0.0051862i,0.02267+0.04638i,-0.0071761+0.0031071i,0.0011136+0.0024166i,0.0075328+0.00033248i,-0.00017598+0.010398i,-0.0047903+0.0049545i,-0.0054757+0.0023849i,0.0074515+0.0027708i,-0.002078+0.0048638i,-0.0068371+0.0032827i,0.0044674+0.0085073i,0.012063+0.011602i,-0.0011137+0.0022136i,0.00048727+0.0037898i,-0.0034184+0.020708i,-0.020857-0.043275i,-0.021221-0.0403i,-0.0044335+0.029724i,-0.02001+0.01921i,-0.003233-0.026222i,-0.00647-0.0018016i,-0.012198+0.0040656i
-0.019193+0.0071606i,-0.051576+0.015226i,-0.043595+0.022198i,-0.026184+0.017607i,-0.023404+0.01594i,-0.016227+0.022258i,-0.025728+0.015342i,-0.042245+0.014371i,-0.023716+0.014249i,0.0038425-0.0010089i,0.0070164+0.00074436i,-0.0012356-0.00027635i,-0.0065121+0.0026961i,0.0039189-0.0021507i,-0.0032285-0.0014102i,0.0090993+0.0019745i,-0.0053364-0.0097831i,-0.0015277-0.0030285i,0.0043092-0.0018801i,-0.00064853-0.0022844i,0.0021514-0.0023054i,0.004262-0.0015188i,0.0021887-6.757e-05i,0.0083138-0.015262i,0.001664+0.00060111i,-0.00080927-0.001181i,4.7402e-05-0.0021589i,-0.00024858-0.0026621i,0.0009343+1.9532e-05i,0.0010864+0.0015659i,-6.2253e-05-0.00037608i,0.00080467+0.0034174i,-1.4561e-05+0.0046648i,-0.0010546+0.00035842i,-0.0033471+0.0016521i,0.015822-0.010017i,-0.0022623-7.2129e-06i,-0.0026294+0.0024078i,-0.0037205+0.0017882i,-0.0042247+0.0043389i,0.0015365-0.00077539i,-0.0012373-0.0039612i,0.001468-0.0010443i,-0.00034566+0.0035559i,-0.01922-0.0044871i,0.014569-0.014443i,-0.061308-0.035545i,-0.031858-0.011156i,-0.034585-0.05586i,-0.029831-0.048507i,-0.074552-0.077136i,-0.080858-0.037898i,-0.046076-0.089702i,0.0049273-0.028646i,0.012465-0.029407i,-0.0065908-0.0039414i,-0.017453-0.0054203i,-0.018412+0.0031224i,-0.0081754+0.018221i,-0.0069353+0.010983i,0.011586+0.036462i,-0.0015985+0.011941i,-0.0077198+0.004189i,-0.00091298+0.006086i,0.0037927+0.005716i,0.003869+0.016034i,0.010498-0.0014093i,-0.020513-0.018515i,-0.011049-0.012339i,-0.0045091-0.0010447i,0.0026791+0.0090347i,0.0035946+0.0024962i,0.018347-0.0005398i,0.0046127+0.0040455i,0.041961+0.03168i,-0.0053663+0.003414i,0.00092283+0.0025099i,0.0053156-0.0034977i,0.0062111+0.0068953i,-0.0046655+0.010908i,-0.0019473+0.006679i,0.0088047-0.00129i,0.0024178+0.0048922i,-0.0070396+0.0067438i,0.0071171+0.0052373i,0.014079+0.0045291i,-0.00090267+0.0018867i,0.00021887-0.00011213i,0.0012879+0.018106i,-0.02124-0.042033i,-0.03371-0.02779i,0.0045768+0.018342i,-0.0061912+0.021796i,-0.015912-0.027908i,-0.013664-0.00048708i,-0.01165-0.002784i
-0.017637+0.0086458i,-0.04655+0.027335i,-0.034929+0.034154i,-0.02242+0.019563i,-0.01801+0.020393i,-0.011385+0.023629i,-0.023684+0.012829i,-0.039729+0.018364i,-0.016777+0.018713i,0.0025545-0.0023638i,0.0037845-0.0028041i,-0.0012496+0.0035736i,-0.004134+0.005535i,0.0014158-0.0029707i,-0.0040812-0.0003096i,0.0095541-0.00080658i,-0.0059715-0.0052164i,-0.0022234-0.0016892i,0.0024394-0.0022576i,-0.00089059-0.0015544i,0.0018364-0.0015375i,0.002919-0.0021999i,0.0019441-0.00050477i,0.0015163-0.015003i,0.00097432-0.00010671i,-0.0010315-0.0013717i,-0.00052761-0.0024304i,-0.0010667-0.0026268i,0.00081454-0.00099369i,0.001341+0.0012146i,-0.00026011-0.00079714i,0.0019399+0.0027651i,0.0014757+0.0029346i,-0.00127+0.0012224i,-0.0015747+0.0014385i,0.0090855-0.013116i,-0.0015985+0.00027647i,-0.00085698+0.0029647i,-0.0031297+0.0026919i,-0.0023885+0.0050443i,0.0013559-0.00076602i,-0.0026619-0.002865i,0.0011648-0.0011306i,-0.001836+0.0046239i,-0.019617+0.001708i,0.021613-0.012278i,-0.067837-0.028294i,-0.027725-0.013433i,-0.04065-0.052483i,-0.038875-0.041984i,-0.089823-0.053776i,-0.078249-0.027325i,-0.055771-0.065698i,0.0044317-0.032141i,0.0021805-0.036434i,-0.0072695-0.0029825i,-0.016092-0.0046038i,-0.014696+0.013383i,0.00010728+0.018095i,0.00090003+0.010165i,0.018056+0.022989i,0.0013389-0.0081977i,-0.0079332+0.0069867i,-0.00074319+0.0057273i,0.0055295+0.0018053i,0.0074725+0.0111i,0.0045432-0.0033659i,-0.025893-0.0048977i,-0.014162-0.0035281i,-0.0018106-0.00019298i,0.0052065+0.0075754i,0.0020068+0.00099574i,0.014296-0.011091i,0.0056041-0.0003514i,0.049424+0.01029i,-0.0059525+0.0057071i,0.0022311+0.0018498i,0.0011543-0.0051939i,0.0067351+0.0023533i,0.00061503+0.015087i,0.0038465+0.004895i,0.0057786-0.0045357i,0.0050921+0.0014748i,-0.002818+0.011074i,0.0064326+0.0029341i,0.01318+0.0027697i,-0.0022392+0.0017483i,-0.0041225-0.00083368i,0.0041128+0.016393i,-0.022489-0.043188i,-0.03626-0.013578i,0.0043411+0.0077107i,0.0023739+0.013241i,-0.02832-0.022117i,-0.01556+0.0086106i,-0.016627-0.0020355i
-0.016378+0.010283i,-0.038468+0.035024i,-0.023161+0.041229i,-0.018986+0.021606i,-0.012211+0.023054i,-0.0067105+0.024126i,-0.023964+0.01167i,-0.036912+0.023815i,-0.010649+0.018972i,0.0007085-0.0024776i,0.00025196-0.0020011i,0.00088483+0.0051165i,-0.0011282+0.006275i,-0.00095334-0.0026993i,-0.0042271+0.0012916i,0.0074799-0.004223i,-0.0049773-0.0039215i,-0.0020086-0.00048716i,0.0016534-0.0024602i,-0.00082275-0.0011899i,0.0022945-0.001892i,0.0022022-0.0020212i,0.0018076-0.00086507i,-0.0033845-0.013041i,0.00075533-0.00037757i,-0.0016512-0.00075618i,-0.0017109-0.0021323i,-0.0021711-0.0021585i,0.0002974-0.0012899i,0.001802+0.00049142i,-0.00078898-0.00088519i,0.0026588+0.0014759i,0.0021794+0.0018097i,-0.00062276+0.0016808i,-0.0017027+0.0017267i,0.0027398-0.011329i,-0.0016002-0.00011512i,0.0008151+0.0025331i,-0.0015876+0.0041618i,-0.00080194+0.005814i,0.0013052-0.00072309i,-0.0023467-0.0014527i,0.00080168-0.0015991i,-0.00061993+0.0079452i,-0.015719+0.0067241i,0.032057-0.021981i,-0.074368-0.01713i,-0.028323-0.014813i,-0.044849-0.048147i,-0.045626-0.035135i,-0.091718-0.030193i,-0.07679-0.016238i,-0.051795-0.051195i,0.0042296-0.038005i,-0.010283-0.03854i,-0.0071044-0.0012608i,-0.018681-0.0053425i,-0.0057957+0.017731i,0.006092+0.014213i,0.0049351+0.0037571i,0.017355+0.012183i,-0.0033776-0.0082403i,-0.0055931+0.010044i,-0.00020246+0.006147i,0.0037885-0.0014278i,0.0092441+0.0066426i,0.0030144-0.0006865i,-0.023067+0.008592i,-0.011219+0.004715i,-0.0016873-7.3514e-05i,0.0090713+0.0048303i,0.00093533+0.001042i,0.0054851-0.014849i,0.0029995-0.00307i,0.044281-0.0090473i,-0.0036889+0.0080379i,0.001419+0.0010072i,-0.0022172-0.0031666i,0.0061634+0.0010327i,0.0084539+0.015403i,0.0045452+0.0010877i,0.0038709-0.005636i,0.0031878-0.0013338i,0.00013642+0.013011i,0.0060571+0.0011327i,0.013681-0.0027354i,-0.001557+0.0050224i,-0.0055904+0.0010045i,0.0070828+0.014522i,-0.02753-0.045207i,-0.033505-0.0040739i,0.0022176+0.0031779i,0.002497+0.0052616i,-0.036015-0.01236i,-0.0094785+0.01138i,-0.016149+0.00086757i
-0.014373+0.012172i,-0.029062+0.039821i,-0.009648+0.043354i,-0.014425+0.023684i,-0.005446+0.023377i,-0.0022969+0.023887i,-0.024713+0.012887i,-0.032198+0.029135i,-0.0056272+0.018771i,-0.00014753-0.0021815i,-0.0011983-0.00017791i,0.0036461+0.0046163i,0.0010559+0.0060525i,-0.0030084-0.00090107i,-0.0038591+0.0026595i,0.0045319-0.0058732i,-0.006169-0.0040344i,-0.0017959+0.00012954i,0.00037927-0.0023852i,-0.0010117-0.00093295i,0.0020783-0.0028085i,0.0020513-0.0021002i,0.0015652-0.0012812i,-0.0071007-0.010916i,0.00035959-0.00062079i,-0.001627-1.1118e-05i,-0.0024734-0.001009i,-0.0026283-0.00089855i,-0.00023215-0.0012944i,0.0014544-0.00041007i,-0.0013145-0.00053259i,0.0023694+0.00034654i,0.0023116+0.00030596i,0.00035817+0.0013819i,-0.0010274+0.0022102i,0.00013014-0.008399i,-0.0016559+0.00027284i,0.001596+0.0012813i,0.00064368+0.0035987i,0.0015286+0.0059218i,0.0015228-0.00088713i,-0.0016998-0.0010632i,-0.00035708-0.0020507i,0.0021787+0.0070269i,-0.011124+0.0079321i,0.032204-0.041234i,-0.07724-0.0015188i,-0.027274-0.015171i,-0.048299-0.047853i,-0.050462-0.026491i,-0.089332-0.012522i,-0.074306-0.0067367i,-0.051008-0.042309i,-0.00089696-0.043649i,-0.024963-0.036673i,-0.0071665-0.00070222i,-0.026116-0.0026914i,0.0023263+0.015509i,0.0091398+0.0096711i,0.0041182-0.0018265i,0.013645+0.0061631i,-0.0074354-0.0071641i,-0.0016799+0.011358i,0.0013282+0.0063366i,0.0013218-0.0022478i,0.0072858+0.0024068i,0.003884+0.00028187i,-0.014801+0.01634i,-0.0061328+0.0092113i,0.00022776-0.000151i,0.010298-0.00027628i,0.0002636+0.0021519i,-0.0025881-0.01257i,0.00040905-0.0031554i,0.033107-0.022659i,0.00040888+0.010321i,0.00082891+0.0017431i,-0.0040487-0.00013657i,0.0060448-0.0016242i,0.014902+0.01092i,0.0032001-0.0011705i,0.001328-0.0069661i,0.001142-0.0024801i,0.03124-0.0084949i,0.005528+0.0012823i,0.0092085-0.0081943i,0.0015488+0.0061749i,-0.0054494+0.0021466i,0.01099+0.012087i,-0.036298-0.043064i,-0.029836-0.00057462i,0.00092254-0.00086441i,-0.0001861+0.0022112i,-0.040235-0.001502i,-0.0064366+0.0097334i,-0.014873+0.0028483i
