-0.023302-0.019697i,-0.031669-0.034358i,-0.022868-0.019981i,-0.032022-0.020419i,-0.024359+0.0036982i,-0.028736-0.018495i,-0.055042-0.04874i,-0.041025-0.044817i,-0.029926-0.020057i,0.0053107+0.0057996i,-0.0035055+0.0061294i,-0.010847+0.011687i,0.0041171+0.0070926i,-0.0038642-0.0027816i,0.0028864+0.001951i,0.0013068+0.029493i,0.018561+0.024991i,-0.00016573+0.00043135i,-0.0028944-0.0028615i,0.0080975+0.003929i,0.0018206+0.00043849i,-0.00030835+0.0022849i,-0.00076294+0.00019662i,-0.031366-0.0012132i,-0.0034069-0.0048047i,-0.00018756+0.002578i,0.0046868-0.0012354i,0.0007151-0.00020342i,-0.00068964-0.00046643i,-0.0012006-0.0019033i,-0.0022107-0.00048277i,-0.0041297-0.0043617i,-0.0040208-0.0057788i,0.00046644-0.0013532i,0.0006628-0.0028139i,-0.0045057+0.025053i,0.0018496-0.0032234i,0.0025837-0.0038744i,0.0045901-0.0023119i,-0.0059119-0.0029569i,0.0007122+0.0012845i,0.00099344-0.00089452i,-0.0021028+0.00049272i,-0.0030197+0.0013331i,-0.0084717-0.0036565i,-0.018221+0.021469i,-0.0086878-0.086595i,-0.0024515-0.061647i,-0.021013-0.054279i,-0.011266-0.045661i,0.052848-0.026868i,0.023355-0.067139i,0.040567-0.055104i,0.019407-0.039915i,0.025545-0.020584i,0.01228+0.012005i,0.025025-0.02878i,-0.010136+0.00027375i,-0.0011899-0.0004636i,-0.0086962-0.0011944i,-0.004849-0.029067i,-0.021435+0.027059i,0.0073522-0.0096272i,-0.010077-0.0033138i,-0.002689-0.0016645i,-0.0011438-0.014433i,-0.0086491+0.0052369i,0.0062246+0.010205i,-0.013577+0.030865i,0.0063533+0.0074045i,-0.0034328-0.0016332i,-0.00227-0.0017531i,-0.012612-0.0058216i,0.00033477-0.0042404i,-0.034363+0.00061471i,0.003103-0.0087374i,-0.0079577-0.001987i,-0.0049054-0.0031078i,0.0067558+0.0020718i,-0.010447+0.00066436i,0.0023794-0.00069849i,0.0062717+0.0082573i,0.0050507+0.0012329i,-0.007819-0.009684i,0.0031879+0.0076193i,-0.021397+0.0079138i,0.0029756+0.0054513i,-0.020988-0.0092554i,-0.026843-0.0048539i,0.0097995-0.062496i,0.018899-0.015373i,-0.049767-0.028847i,-0.021713+0.00046382i,0.018995+0.010619i,-0.026627+0.011752i,-0.012831-0.0075277i
-0.027628-0.015275i,-0.036491-0.024479i,-0.024821-0.017451i,-0.03559-0.016145i,-0.019969+0.0047303i,-0.033133-0.01199i,-0.061401-0.037014i,-0.046682-0.036719i,-0.028534-0.012811i,0.0043433+0.004441i,-0.0044831+0.0050745i,-0.0041496+0.015507i,0.006722+0.0032088i,-0.0068646+0.00052328i,0.0033457+0.00038369i,0.0087773+0.024412i,0.025069+0.01617i,0.0013829+0.0011607i,-0.0033077+0.00027205i,0.007752-0.00080177i,0.0011566+0.0010555i,-0.00029863+0.0024598i,-0.00058432+0.00072811i,-0.018168+0.011812i,-0.0050023-0.0028473i,0.0022556+0.0013232i,0.0023304-0.00068519i,0.00087369+0.00068702i,0.00026369-0.00058528i,-0.0021382-0.0015686i,-0.0012859+0.0002368i,-0.004715-0.0030591i,-0.0044044-0.0041884i,-0.00032535-0.0015741i,0.00015713-0.0015987i,0.0030868+0.024159i,0.0011839-0.0038012i,3.5883e-05-0.0041081i,0.0050004-0.0043022i,-0.0042412-0.0018255i,0.0011442+0.0013564i,0.007828-0.0021509i,-0.0019683+0.0017715i,-0.0050155+0.0030986i,-0.0067575-0.0034193i,-0.0040706+0.027791i,-0.024922-0.083885i,-0.018894-0.064956i,-0.018064-0.046208i,-0.013318-0.034432i,0.052673-0.05002i,0.018852-0.086918i,0.041688-0.056701i,0.012188-0.045791i,0.01328-0.015227i,0.012802+0.00092669i,0.01208-0.030826i,-0.0097025+0.0062241i,-0.0023924-0.0081941i,-0.0084916+0.00028296i,-0.027163-0.027254i,-0.009252+0.024863i,0.0018755-0.012572i,-0.014503+0.0006427i,-0.0019935-0.0010778i,-0.0077941-0.013619i,-0.008758+0.0089717i,0.011247+0.0093747i,0.0080728+0.031835i,0.0075331+0.002343i,-0.0036575+0.0010171i,-0.0044854-0.0015304i,-0.016054+0.0044576i,0.0006155-0.0032339i,-0.036608+0.0061259i,-0.0019385-0.0075931i,-0.0074513+0.0022001i,-0.0069399-0.0001193i,0.0049335-0.00392i,-0.0093721+0.0036196i,0.0025092-0.0026421i,0.005489+0.0028654i,0.0043481-0.00064196i,-0.012666-0.0015492i,0.0028726+0.0046434i,-0.013435+0.015127i,0.0040998+0.0029402i,-0.02098+6.5597e-05i,-0.029402+0.0032418i,-0.00070521-0.061009i,0.012532-0.023251i,-0.05619-0.014074i,-0.015672-0.0033722i,0.019535+0.0025681i,-0.020701+0.018456i,-0.020809-0.011806i
-0.028938-0.009331i,-0.037589-0.019961i,-0.026932-0.016502i,-0.038329-0.0098329i,-0.017146+0.0037647i,-0.035863-0.0046686i,-0.069261-0.022153i,-0.053315-0.028088i,-0.028979-0.012293i,0.0039354+0.0036542i,-0.0042137+0.0078363i,0.002793+0.013437i,0.0061207-0.0012138i,-0.0067226+0.0040761i,0.0030422-0.00079185i,0.013387+0.018019i,0.029753+0.0073345i,0.0028198+9.015e-05i,-0.0017942+0.0020776i,0.0062179-0.0025586i,0.00076285+0.0013794i,0.00045416+0.0033942i,-0.0001728+0.001015i,-0.0078222+0.016375i,-0.0046609-0.00071325i,0.0026214-0.001075i,0.0023704-0.00073431i,0.0019969+0.00047701i,-0.00065328-0.00093049i,-0.0025376-0.00074375i,-0.0007688+0.00019828i,-0.0055988-0.00090288i,-0.0053818-0.0024689i,-0.00087554-0.0016432i,0.00094404-0.0032324i,0.010247+0.020246i,9.6436e-05-0.003578i,-0.0014157-0.0032841i,0.0026401-0.0072449i,-0.004613-0.00096923i,0.0016265+0.001306i,0.0075085-0.0048932i,-0.00068348+0.002815i,-0.0039098+0.0054716i,-0.0056759-0.0054432i,0.010726+0.026023i,-0.039345-0.077421i,-0.035022-0.057771i,-0.010855-0.048219i,-0.0076792-0.033859i,0.045543-0.070489i,-0.0023008-0.10391i,0.045005-0.066272i,0.0035461-0.044047i,0.010084-0.013508i,0.010064-0.0042536i,0.0025909-0.031223i,0.0017751+0.0062087i,-0.010942-0.0078863i,-0.0067292-0.00053428i,-0.042278-0.013456i,-0.0017908+0.023972i,-0.004185-0.011722i,-0.010757+0.0042199i,-0.0041643-0.0014522i,-0.015591-0.0096452i,-0.0034827+0.014576i,0.017197+0.0024819i,0.018192+0.019166i,0.0081152+0.0007017i,-0.0026865+0.0012859i,-0.0052575+0.00071716i,-0.010749+0.013398i,-0.0027328-0.0034452i,-0.03236+0.021303i,-0.0034231-0.0047153i,-0.0053695+0.0053016i,-0.0078692+0.0063065i,-0.0010305-0.005963i,-0.0074573+0.0065784i,0.00076504-0.0033413i,0.0032268+0.0016437i,0.0034228-0.0020629i,-0.0072412+0.0056343i,0.0025015+0.0024083i,-0.0040572+0.017519i,0.002559+0.00053162i,-0.017312+0.0058762i,-0.025375+0.011851i,-0.0055917-0.057854i,0.0037322-0.023579i,-0.055466-0.00054127i,-0.021439-0.0099862i,0.016605-0.0052752i,-0.009875+0.018992i,-0.025355-0.0079451i
-0.028384-0.0042608i,-0.041425-0.017808i,-0.031149-0.015474i,-0.037766-0.0031749i,-0.016184+0.0016784i,-0.035643+0.0035431i,-0.069775+0.0015425i,-0.057802-0.01508i,-0.032189-0.0069335i,0.0042615+0.0030135i,-0.00076861+0.0095508i,0.00554+0.0088528i,0.003804-0.004089i,-0.0047488+0.0080661i,0.0019428-0.0019434i,0.014556+0.0095708i,0.028623-0.0087301i,0.002872-0.0015436i,-0.0010169+0.0034793i,0.0042255-0.0039311i,0.0019347+0.0023562i,0.0022893+0.0037701i,3.177e-05+0.0010509i,0.0027652+0.020647i,-0.0041601+0.00087673i,0.001155-0.0021717i,0.0031882-0.0012654i,0.00157-0.00069247i,-0.00073684+0.00018835i,-0.0028952+8.1771e-05i,-0.00038387+0.00014992i,-0.0050461+0.00077469i,-0.0054949-0.00020329i,-0.0016189-0.0015306i,-0.0024703-0.0050174i,0.013418+0.013932i,-0.00095209-0.003557i,-0.0023458-0.0026821i,-0.00091116-0.0071946i,-0.0034769+0.0012804i,0.0021958+0.00068995i,0.0041708-0.0063041i,0.00037212+0.0028816i,-0.0023902+0.005779i,-0.0047086-0.0074643i,0.023879+0.018989i,-0.051585-0.067735i,-0.043155-0.045231i,-0.012813-0.052772i,-0.0070567-0.036547i,0.029855-0.09229i,-0.03035-0.10643i,0.038653-0.084927i,-0.0011682-0.043208i,0.0070751-0.012323i,0.0058281-0.0089297i,-0.0098684-0.031294i,0.0027716-0.0030353i,-0.012668-0.0027542i,-0.0096552-0.0033231i,-0.047754+0.0066019i,0.0087611+0.019342i,-0.0085576-0.0091925i,-0.0084758+0.0057674i,-0.0050282+0.0010336i,-0.020183-0.00099666i,0.0044872+0.012279i,0.018157-0.0061276i,0.027263+0.00039358i,0.008684-0.0028i,-0.0031249+0.00060444i,-0.0051698+0.0036082i,-0.0061209+0.018297i,-0.0049648+0.00062994i,-0.024124+0.030638i,-0.0042026-0.0035722i,-0.001306+0.0068049i,-0.0024766+0.010972i,-0.0060402-0.0024746i,-0.0029707+0.0073927i,-0.00055405-0.0029107i,0.0023925+0.0020993i,0.0012493-0.0034781i,-0.0018066+0.0046873i,-0.00072256+0.00035747i,-0.0031671+0.003221i,0.00058403+0.00035519i,-0.012047+0.0097442i,-0.02026+0.014808i,-0.010075-0.05661i,0.0028688-0.020295i,-0.05174+0.014372i,-0.029823-0.0056213i,0.013417-0.010653i,-0.0016054+0.01423i,-0.024875-0.0023217i
-0.027061+0.00024576i,-0.04734-0.011176i,-0.03826-0.011427i,-0.036696+0.0024313i,-0.018421-0.00021296i,-0.033321+0.011386i,-0.054705+0.016612i,-0.05429-0.0028604i,-0.031536+0.00097242i,0.0045396+0.0022092i,0.0024711+0.0075808i,0.0064726+0.0059388i,0.00033113-0.0055503i,0.00053498+0.0094308i,0.0007445-0.0028293i,0.011246+0.00562i,0.01687-0.018922i,0.0019251-0.0027901i,0.0019088+0.0062567i,0.0023993-0.003986i,0.0034758+0.0026528i,0.0037203+0.0020369i,0.00015748+0.0015619i,0.017852+0.014486i,-0.0035053+0.0024796i,0.00029623-0.0025005i,0.0018629-0.0028704i,0.0014741-0.00070246i,-6.9926e-05+0.00028589i,-0.0027345+0.0013892i,-0.00026684+0.00023559i,-0.0043747+0.0023947i,-0.0041943+0.001452i,-0.0021905-0.00087921i,-0.0036156-0.0028312i,0.016293+0.011475i,-0.0016829-0.0032941i,-0.0035262-0.001585i,-0.0034812-0.0052133i,-0.0019807-0.00017927i,0.0021007-8.7044e-05i,0.0014531-0.0054647i,0.0017883+0.0024001i,-0.0017361+0.0060522i,-0.0062776-0.011985i,0.034397+0.0051387i,-0.05783-0.053999i,-0.045124-0.033205i,-0.015966-0.056992i,-0.0080709-0.038305i,0.0012703-0.10723i,-0.055095-0.097178i,0.018719-0.097162i,-0.010066-0.039065i,0.0058618-0.0099i,0.00029053-0.011026i,-0.018298-0.025046i,-0.0026404-0.0063561i,-0.013629-0.00088245i,-0.015737+0.00025402i,-0.041813+0.02521i,0.0125+0.0098608i,-0.012833-0.0044829i,-0.0068217+0.0069972i,-0.0048755+0.0040276i,-0.018549+0.0094978i,0.0047341+0.0072288i,0.015172-0.013033i,0.024565-0.0055428i,0.0060113-0.0072i,-0.0052647+0.0023057i,-0.0024514+0.0059772i,0.0028585+0.018998i,-0.0039151+0.0044779i,-0.018011+0.035084i,-0.0057459-0.003061i,0.0010291+0.0046649i,0.0037766+0.010323i,-0.0077603+0.0010062i,-0.0015257+0.0040315i,-0.0023595-0.0022803i,0.0017515+0.0036145i,-0.0039155-0.0040563i,-0.0013128+0.00074021i,-0.0037837+0.0035636i,0.0010439+0.023788i,-0.00089177+0.00070362i,-0.0052858+0.010662i,-0.017097+0.017586i,-0.018018-0.053756i,0.0068884-0.025481i,-0.043149+0.030565i,-0.032484+0.006521i,0.0068735-0.015533i,-0.0012278+0.006957i,-0.023466+0.00027052i
-0.024504+0.0038067i,-0.048718-0.003721i,-0.043586-0.002166i,-0.035349+0.0076461i,-0.023392+0.0014577i,-0.027621+0.017541i,-0.039912+0.020428i,-0.049452+0.004712i,-0.027787+0.0047859i,0.004109+0.00096511i,0.0030017+0.0060826i,0.0071278+0.0016326i,-0.0035318-0.0051037i,0.0053335+0.0067856i,-0.0010308-0.0029703i,0.0099063+0.0044141i,0.0046326-0.020645i,0.00129-0.00324i,0.0059525+0.0045085i,0.00087917-0.003695i,0.0048718+0.00047609i,0.0033051+0.00065889i,0.0013013+0.0018198i,0.022782-0.00023382i,-0.0015119+0.0037135i,-0.0012267-0.0024798i,-0.000202-0.00065242i,0.0020326-0.0021878i,0.00011323-0.00041952i,-0.0011484+0.0028289i,8.8622e-05+0.00014818i,-0.0031111+0.0034089i,-0.0045876+0.0030016i,-0.0019627+0.00033817i,-0.0015426-0.0013819i,0.019811+0.0061734i,-0.002829-0.0026704i,-0.0045054-0.00055782i,-0.0052363-0.0033995i,-0.0039017-0.0013252i,0.0021005-0.00050513i,5.1515e-05-0.0040337i,0.0019566+0.0013663i,-0.00084217+0.0065539i,-0.011692-0.013738i,0.029769-0.014595i,-0.055865-0.043033i,-0.046336-0.02392i,-0.022393-0.057913i,-0.0085067-0.042804i,-0.030777-0.10378i,-0.076059-0.080924i,0.001283-0.098454i,-0.0094969-0.024891i,0.011562-0.0048533i,-0.0045523-0.0093959i,-0.020424-0.012369i,-0.005852-0.0067216i,-0.017667+0.00343i,-0.01312+0.0066367i,-0.029049+0.039998i,0.010661+0.003417i,-0.010326+0.0035118i,-0.0069899+0.0076472i,-0.0014389+0.0073114i,-0.011815+0.015844i,0.0058061+0.0080718i,0.0095709-0.023717i,0.014977-0.018512i,-0.0004267-0.011305i,-0.0059896+0.0064068i,-0.00059926+0.0060376i,0.009773+0.016545i,-0.0005112+0.0062523i,0.00067941+0.048033i,-0.0092152-0.0014354i,0.0013531+0.0036963i,0.0073859+0.005767i,-0.0057567+0.0078652i,-0.0021254+0.0043874i,-0.0040484-0.0012499i,0.0044313+0.0035596i,-0.0039912+0.001839i,-0.0045805+0.0006786i,-0.0004845+0.0089732i,0.0072611+0.022633i,-0.0012979+0.0006795i,-0.0017263+0.0070667i,-0.010762+0.022263i,-0.019837-0.045763i,-0.0015407-0.039494i,-0.020933+0.037118i,-0.026283+0.016062i,0.0052224-0.021526i,-0.0021219+0.0014822i,-0.020657+0.004759i
-0.021828+0.0058351i,-0.052513+0.002635i,-0.045927+0.009327i,-0.031866+0.013678i,-0.026365+0.0082063i,-0.021769+0.020509i,-0.030105+0.018521i,-0.045427+0.0093159i,-0.02769+0.0083747i,0.0041012-0.00039421i,0.0055184+0.0052777i,0.003677-0.0020353i,-0.0068167-0.0018895i,0.0071696+0.0012373i,-0.0023226-0.002195i,0.0092032+0.0037858i,-0.0045386-0.015018i,-0.00013134-0.0037766i,0.0062919+0.00017781i,-8.9292e-05-0.0029339i,0.0044958-0.0019539i,0.0041493+0.00062683i,0.0022279+0.001048i,0.017043-0.010846i,0.0014331+0.0030338i,-0.00084942-0.0011614i,0.00078301-0.001936i,0.0013975-0.0039086i,-0.00010506-0.00012407i,0.00049018+0.0024136i,0.00016452-0.00011874i,-0.0012768+0.0041338i,-0.00261+0.005188i,-0.0012182+0.00064702i,-0.0022351-0.00068622i,0.020497-0.0015604i,-0.0032169-0.0010023i,-0.0039629+0.00094786i,-0.0063136-8.5654e-05i,-0.0059806+0.001479i,0.0016572-0.00051817i,-0.00016208-0.0050297i,0.0021932+0.00070046i,0.00020932+0.0054251i,-0.017269-0.011306i,0.017643-0.019834i,-0.057687-0.039494i,-0.041411-0.013501i,-0.027591-0.057997i,-0.017063-0.050497i,-0.053403-0.091413i,-0.084435-0.05671i,-0.021997-0.10015i,0.00094693-0.022197i,0.01805-0.018317i,-0.0070561-0.0055564i,-0.016098-0.0099115i,-0.012773-0.0055079i,-0.014629+0.01304i,-0.010286+0.0083603i,-0.0069839+0.045595i,0.0097703-0.00026189i,-0.0077457+0.0035398i,-0.0021707+0.0094303i,0.00073297+0.0058356i,-0.0044294+0.019905i,0.0096745+0.0055365i,-0.0063851-0.02773i,-0.00033703-0.021146i,-0.0050106-0.0048575i,-0.0024517+0.0091041i,0.0029698+0.005086i,0.016382+0.0084459i,0.0020338+0.0046342i,0.024228+0.047715i,-0.0078824+0.0030919i,0.0013696+0.0020614i,0.0076705+0.00080905i,0.00010634+0.0097487i,-0.0042997+0.0048745i,-0.004807+0.0026629i,0.0071916+0.0023643i,-0.0022869+0.0050602i,-0.0062541+0.0028639i,0.0046712+0.0080679i,0.014547+0.012362i,-0.001183+0.0017855i,0.00066933+0.0035674i,-0.0029498+0.021709i,-0.021199-0.044241i,-0.021245-0.039573i,-0.0051874+0.029512i,-0.019436+0.020964i,-0.0052536-0.02806i,-0.0054896-0.0015515i,-0.012258+0.005258i
-0.019854+0.0072731i,-0.054004+0.014629i,-0.044215+0.02174i,-0.027072+0.01698i,-0.023743+0.015786i,-0.0172+0.022264i,-0.024859+0.015045i,-0.042208+0.013186i,-0.024794+0.014906i,0.0034571-0.0012798i,0.0073994+0.0006097i,-0.0014103-0.00049384i,-0.0069091+0.002436i,0.0040754-0.0019933i,-0.0032962-0.001486i,0.010797+0.0017577i,-0.007513-0.008416i,-0.0017729-0.0031191i,0.0043797-0.0017107i,-0.00077393-0.0021647i,0.0024812-0.0023399i,0.0040037-0.0013845i,0.0022812+3.5394e-05i,0.0091091-0.015869i,0.00163+0.00094663i,-0.00080086-0.0011705i,0.00016757-0.0025778i,-0.00011052-0.0026027i,0.0011043+3.8659e-05i,0.0009646+0.0016214i,-4.0573e-05-0.00045307i,0.00054192+0.0037576i,0.00032942+0.0042139i,-0.0011801+0.00044611i,-0.0032166+0.0013102i,0.017878-0.0089551i,-0.0023986-0.00016263i,-0.0025597+0.0024026i,-0.0040797+0.0020395i,-0.0049528+0.0042832i,0.0014506-0.00050508i,-0.001659-0.0044131i,0.0019887+3.0742e-05i,-0.00041413+0.0044938i,-0.020799-0.005801i,0.014583-0.014521i,-0.06244-0.035558i,-0.033092-0.010359i,-0.035126-0.05631i,-0.029883-0.049264i,-0.073528-0.077833i,-0.08107-0.037573i,-0.047453-0.087067i,0.0063266-0.029055i,0.011178-0.029768i,-0.006352-0.0036601i,-0.016646-0.0058434i,-0.018639+0.0028418i,-0.0078235+0.017343i,-0.006328+0.011682i,0.01078+0.038032i,-0.0023566+0.0046541i,-0.0080964+0.0046137i,-0.00079706+0.006513i,0.0040006+0.005977i,0.0048223+0.01616i,0.010669-0.0016125i,-0.020594-0.01897i,-0.011434-0.01294i,-0.0039114-0.0010404i,0.002132+0.0093346i,0.0036857+0.0023216i,0.017874-0.00011659i,0.0048692+0.0045508i,0.044133+0.030342i,-0.0060654+0.0040649i,0.00060303+0.0023256i,0.0053505-0.003447i,0.0060364+0.0073404i,-0.0039342+0.010719i,-0.0018711+0.0069684i,0.0090861-0.0016321i,0.0028946+0.004562i,-0.0063027+0.0066491i,0.0072523+0.0046721i,0.014766+0.0077455i,-0.00058816+0.0015722i,0.00041222-5.2698e-05i,0.0018044+0.018515i,-0.023201-0.041777i,-0.032165-0.026921i,0.0035343+0.018981i,-0.0051963+0.023678i,-0.01673-0.027102i,-0.012919-0.0013745i,-0.011052-0.0019852i
-0.018314+0.0088086i,-0.048983+0.027309i,-0.036433+0.03425i,-0.023533+0.019706i,-0.018443+0.020284i,-0.012334+0.023757i,-0.023226+0.011497i,-0.040297+0.017471i,-0.017143+0.019446i,0.0023666-0.0021994i,0.0036274-0.0026779i,-0.001713+0.0036197i,-0.0045633+0.0052348i,0.0013384-0.0029491i,-0.0040487-0.00037873i,0.010899-0.0017218i,-0.0055837-0.0034893i,-0.0023693-0.0018657i,0.0024404-0.002172i,-0.00081617-0.0015438i,0.0020443-0.0014886i,0.0028035-0.0021471i,0.0020523-0.00046662i,0.0022399-0.015681i,0.0010225-2.6385e-05i,-0.0012633-0.0012856i,-0.00067076-0.0025423i,-0.0010546-0.0026016i,0.00081598-0.0010529i,0.0013619+0.0012403i,-0.00032418-0.00081615i,0.0017448+0.003092i,0.0016127+0.0027348i,-0.0012383+0.0011749i,-0.0019048+0.0013164i,0.010862-0.013106i,-0.0017133+0.00022638i,-0.00089232+0.0028673i,-0.0032363+0.0035358i,-0.0029525+0.0056189i,0.0013788-0.00045679i,-0.0029443-0.0030302i,0.0023461-0.00084992i,-0.0022661+0.0053083i,-0.021493+0.0010346i,0.021802-0.013136i,-0.068915-0.027681i,-0.028364-0.012246i,-0.040958-0.052828i,-0.039183-0.042516i,-0.088932-0.055127i,-0.077882-0.027278i,-0.055742-0.063473i,0.0052671-0.033884i,0.0015738-0.036264i,-0.0071815-0.0028312i,-0.01534-0.0059226i,-0.014374+0.013359i,-0.00095002+0.017705i,0.0021657+0.010409i,0.019625+0.026408i,0.0012896-0.0080813i,-0.007195+0.0069499i,-0.00041522+0.0061686i,0.0053751+0.0021025i,0.0085905+0.0109i,0.0045341-0.0037388i,-0.026566-0.0042323i,-0.014063-0.0037588i,-0.001587-0.00050881i,0.0043466+0.0085979i,0.0022379+0.00099533i,0.014037-0.010096i,0.006006-0.00040244i,0.050588+0.010991i,-0.0061784+0.0059774i,0.0020031+0.0017738i,0.00092297-0.0050698i,0.0071478+0.0024476i,0.001539+0.014367i,0.0042951+0.0048506i,0.0058691-0.0052226i,0.0049892+0.0010531i,-0.0020936+0.011035i,0.0064197+0.0026437i,0.015418+0.00098486i,-0.0019087+0.0016274i,-0.0043935-0.0013024i,0.0044262+0.016402i,-0.022935-0.042834i,-0.034119-0.012987i,0.0042005+0.0085857i,0.0040891+0.014074i,-0.028129-0.022083i,-0.016027+0.0081755i,-0.016523-0.0020687i
-0.016883+0.010743i,-0.040471+0.035087i,-0.024055+0.041789i,-0.020099+0.022144i,-0.012752+0.02315i,-0.0075629+0.024254i,-0.024269+0.010103i,-0.037441+0.02271i,-0.010518+0.019532i,0.00072902-0.0026147i,0.00012928-0.0018265i,0.00054355+0.0054206i,-0.0013973+0.0059527i,-0.00088759-0.0025889i,-0.0041857+0.0011173i,0.0083674-0.005185i,-0.0044149-0.0029072i,-0.0021338-0.0006505i,0.0017174-0.0025847i,-0.00085255-0.0012493i,0.0023496-0.0020521i,0.0019774-0.0019647i,0.0018923-0.00083979i,-0.0025738-0.013969i,0.00079786-0.00028287i,-0.0018961-0.0005582i,-0.0015315-0.0020336i,-0.0021145-0.0022163i,0.00016486-0.0012733i,0.0017232+0.00053079i,-0.00083573-0.00087974i,0.0027824+0.0016583i,0.0021528+0.0015618i,-0.0007506+0.0015456i,-0.0019339+0.0016001i,0.0035588-0.01277i,-0.001684-9.5339e-05i,0.0007028+0.0025062i,-0.0010191+0.0045162i,-0.0014012+0.0069882i,0.0013663-0.00050797i,-0.0024513-0.0016472i,0.0015745-0.0019901i,-0.001295+0.007766i,-0.017575+0.0069343i,0.031615-0.023155i,-0.074872-0.016412i,-0.028396-0.013937i,-0.045671-0.048708i,-0.04612-0.0354i,-0.091298-0.031519i,-0.076522-0.016378i,-0.050836-0.050186i,0.0033903-0.039507i,-0.011914-0.037178i,-0.007261-0.001125i,-0.019101-0.0066778i,-0.0057474+0.01742i,0.0049924+0.014685i,0.0057435+0.0029068i,0.019771+0.013077i,-0.0031424-0.0083036i,-0.0049361+0.0093051i,-1.5312e-05+0.0066744i,0.0038528-0.0011169i,0.0087233+0.0060792i,0.0029528-0.0010356i,-0.022504+0.0095497i,-0.011537+0.0044604i,-0.0013977-0.00036386i,0.0089503+0.0070788i,0.0010126+0.00099958i,0.0053487-0.01385i,0.002999-0.0028407i,0.045067-0.0097633i,-0.00362+0.0084618i,0.0013989+0.00092247i,-0.002315-0.0030595i,0.0057584+0.00053638i,0.008999+0.014354i,0.0044523+0.00079012i,0.0039683-0.0060633i,0.0028735-0.0016608i,0.0010214+0.012961i,0.0063+0.00083226i,0.013162-0.0037154i,-0.0012351+0.0053196i,-0.0055654+0.00099873i,0.0070503+0.014899i,-0.027934-0.045777i,-0.03128-0.0037791i,0.0026099+0.0032183i,0.0036831+0.0047418i,-0.03621-0.012894i,-0.0096016+0.011652i,-0.016283+0.0010535i
-0.014554+0.012694i,-0.031235+0.039984i,-0.010757+0.044104i,-0.015353+0.024872i,-0.0058859+0.02365i,-0.0032565+0.024209i,-0.025718+0.011242i,-0.033145+0.027584i,-0.0050391+0.018289i,-0.00056148-0.0019363i,-0.0010548-2.6452e-05i,0.0033891+0.004965i,0.0006842+0.0059641i,-0.0028589-0.00071248i,-0.0038619+0.0023847i,0.0049453-0.0067736i,-0.0058534-0.0027998i,-0.0019454-3.7914e-05i,0.00045015-0.002463i,-0.001075-0.00098731i,0.0019049-0.0028768i,0.0019128-0.0020149i,0.001669-0.0012273i,-0.0064307-0.012196i,0.00050516-0.00057363i,-0.0017673+2.4081e-05i,-0.0023825-0.0011602i,-0.0026659-0.0010301i,-0.0003614-0.0011634i,0.0013562-0.00037853i,-0.0012684-0.00056774i,0.002419+0.00026671i,0.0025146+0.00033898i,0.00024262+0.0012689i,-0.0012638+0.0022536i,0.00033165-0.0091093i,-0.0017989+0.00039023i,0.0015472+0.0012478i,0.0014684+0.0035613i,0.0021934+0.0073451i,0.001519-0.00068648i,-0.0018717-0.0011812i,0.00027928-0.0026359i,0.00084091+0.0073597i,-0.012349+0.0087828i,0.031391-0.041944i,-0.077359-0.0012011i,-0.027437-0.014569i,-0.049572-0.048554i,-0.050972-0.026378i,-0.08964-0.013855i,-0.074063-0.0068303i,-0.04927-0.042806i,-0.0020617-0.044349i,-0.025731-0.036575i,-0.007003-0.00042121i,-0.027495-0.0034225i,0.0021257+0.015492i,0.0090405+0.009904i,0.0039738-0.0027436i,0.014795+0.0058941i,-0.0078392-0.0076994i,-0.00092408+0.011155i,0.0014171+0.0070995i,0.0013369-0.0020237i,0.0071324+0.0022893i,0.0036856+0.00040324i,-0.013613+0.016373i,-0.0061746+0.0082362i,0.00033991-0.00028736i,0.011391-3.5546e-05i,0.00029918+0.0021305i,-0.0015484-0.011743i,0.00036585-0.002803i,0.029394-0.024697i,0.00091876+0.010764i,0.00075461+0.0016534i,-0.0043779+6.7295e-05i,0.0050656-0.0015886i,0.014958+0.010255i,0.0029457-0.0012963i,0.00097355-0.0076281i,0.0010465-0.0022157i,0.029782-0.003546i,0.0057636+0.00045728i,0.0086151-0.0077138i,0.0018725+0.0062537i,-0.0053517+0.00207i,0.011281+0.011938i,-0.037802-0.043423i,-0.032911+0.0035545i,0.00079689-0.00044189i,3.4525e-05+0.0016049i,-0.040243-0.0017808i,-0.0063401+0.010003i,-0.015246+0.0031833i
