-0.023595-0.019233i,-0.031216-0.034556i,-0.022689-0.019823i,-0.032103-0.020657i,-0.024216+0.003793i,-0.028833-0.018177i,-0.055307-0.048353i,-0.040346-0.044452i,-0.030448-0.015741i,0.0054993+0.0055185i,-0.0034318+0.0061523i,-0.010362+0.011319i,0.0038604+0.0072424i,-0.003755-0.0024964i,0.0028828+0.0019283i,0.0017656+0.028839i,0.018156+0.013894i,-0.00017334+0.00022023i,-0.003073-0.0027579i,0.0080724+0.0036229i,0.0017202+0.00057888i,-0.00068536+0.0023823i,-0.0006143+0.00031795i,-0.028662-0.0023535i,-0.0035745-0.0046902i,-0.000113+0.0025135i,0.0049865-0.0011222i,0.00093368-0.00016853i,-0.00062552-0.00045066i,-0.0012059-0.0019505i,-0.0022801-0.00045541i,-0.0037394-0.0041556i,-0.0032435-0.0056694i,0.00056054-0.0012359i,0.00044425-0.002862i,-0.0044651+0.024744i,0.001882-0.0031823i,0.0024572-0.0037278i,0.0043912-0.0023208i,-0.0076468-0.0015586i,0.00047793+0.0013414i,0.0086653-0.0016859i,-0.002086+0.00059122i,-0.0032721+0.00087231i,-0.0086922-0.003625i,-0.018349+0.021777i,-0.0080109-0.08679i,-0.0027688-0.06102i,-0.02074-0.054145i,-0.011323-0.045811i,0.053545-0.026819i,0.023583-0.067186i,0.039957-0.054069i,0.019141-0.039848i,0.026593-0.020116i,0.012124+0.011784i,0.025235-0.028262i,-0.011064-0.0024517i,-0.0013301-0.00047666i,-0.0086742-0.0016467i,-0.0050399-0.030207i,-0.021408+0.025438i,0.0071224-0.0095311i,-0.010727-0.0030894i,-0.0028125-0.001842i,0.00016086-0.014787i,-0.0083039+0.0054571i,0.0062386+0.010683i,-0.012683+0.029381i,0.0068623+0.0079188i,-0.0033565-0.0014162i,-0.0021842-0.0015568i,-0.013039-0.005389i,0.00067275-0.0043843i,-0.030801+0.0016039i,0.0035943-0.0090052i,-0.0077624-0.0019422i,-0.0048868-0.003109i,0.0074734+0.002035i,-0.0097981+0.00064234i,0.002263-0.00037464i,0.0063681+0.007462i,0.0054047+0.0013714i,-0.0073953-0.0095648i,0.0031635+0.0075568i,-0.019011+0.0087172i,0.0029673+0.006045i,-0.021488-0.0093728i,-0.026448-0.0050855i,0.010265-0.060618i,0.019066-0.014946i,-0.050051-0.028574i,-0.021912+0.0015788i,0.018681+0.009846i,-0.027791+0.011507i,-0.012586-0.0077751i
-0.027488-0.014461i,-0.036398-0.024722i,-0.02466-0.017252i,-0.035815-0.016564i,-0.01976+0.0047419i,-0.033078-0.011591i,-0.061743-0.036453i,-0.046239-0.037272i,-0.027035-0.0096779i,0.0042847+0.0039654i,-0.0043475+0.0051147i,-0.0039031+0.014939i,0.0068745+0.0031815i,-0.0066638+0.00083684i,0.0032815+0.00035716i,0.0088478+0.023823i,0.021603+0.0083117i,0.0010068+0.0011182i,-0.0033586+0.00039068i,0.00779-0.00026703i,0.0011486+0.001126i,-0.00043038+0.0025012i,-0.00046866+0.00074974i,-0.017451+0.0094841i,-0.0054525-0.002429i,0.001921+0.0012588i,0.0028-0.00056617i,0.0013312+0.00039554i,0.00027548-0.00043726i,-0.002245-0.0015691i,-0.0012928+0.00029124i,-0.0044062-0.003019i,-0.0042757-0.0039778i,4.854e-05-0.0017046i,-1.854e-05-0.0013801i,0.0027641+0.022719i,0.0013394-0.0039855i,2.5262e-05-0.0040985i,0.0044955-0.0040291i,-0.0048414-0.00097573i,0.0010627+0.0015118i,0.0091122-0.0018596i,-0.0017948+0.0019644i,-0.0054331+0.0029779i,-0.0069294-0.0033269i,-0.00422+0.028163i,-0.024546-0.084615i,-0.019338-0.064579i,-0.017241-0.046365i,-0.013596-0.03396i,0.053419-0.050143i,0.019439-0.087318i,0.040786-0.056095i,0.012265-0.045675i,0.013583-0.015415i,0.012622+0.00072121i,0.012517-0.030734i,-0.010446+0.0060969i,-0.0027768-0.0077197i,-0.0086487+5.7821e-05i,-0.027473-0.027768i,-0.0096404+0.023642i,0.0019535-0.012293i,-0.01223+6.3428e-05i,-0.0023246-0.001228i,-0.007549-0.013994i,-0.0088539+0.0089056i,0.011324+0.009842i,0.0057183+0.028473i,0.0083693+0.0020804i,-0.0032135+0.0010135i,-0.004302-0.0015115i,-0.015782+0.0045603i,0.00078352-0.0033907i,-0.034861+0.010964i,-0.0017155-0.0077284i,-0.0076985+0.0024488i,-0.0068325+0.0002229i,0.0055128-0.003685i,-0.0087896+0.0037764i,0.0025728-0.0024529i,0.0050502+0.0025153i,0.0046137-0.00063449i,-0.012349-0.0016924i,0.003249+0.0046422i,-0.01311+0.014648i,0.0046421+0.003079i,-0.021612+6.2496e-05i,-0.028522+0.002572i,-0.00077058-0.059941i,0.012779-0.022923i,-0.056444-0.014173i,-0.015255-0.0029215i,0.019296+0.0025162i,-0.021875+0.018498i,-0.020547-0.012928i
-0.028405-0.0090305i,-0.037418-0.020044i,-0.026984-0.016556i,-0.038778-0.010082i,-0.016775+0.0036922i,-0.035626-0.0042983i,-0.069522-0.021545i,-0.053623-0.028838i,-0.026079-0.010862i,0.0039443+0.0034353i,-0.003999+0.0080169i,0.002857+0.013312i,0.0061276-0.0010635i,-0.0064328+0.0045415i,0.0029975-0.00077606i,0.012851+0.017459i,0.025499+0.0011088i,0.0024727+0.00048382i,-0.0018039+0.00205i,0.0058847-0.0026014i,0.00071553+0.00136i,0.00049289+0.0034097i,-0.00010819+0.00096506i,-0.0088032+0.015219i,-0.0051631-0.00045075i,0.0023424-0.00076436i,0.0027613-0.00065415i,0.0021442+0.00028425i,-0.00053779-0.00090795i,-0.0025616-0.00073174i,-0.00074094+0.0002424i,-0.0053733-0.0011901i,-0.0049078-0.002714i,-0.000856-0.0019462i,0.0010168-0.0025384i,0.0095691+0.019258i,6.6835e-05-0.0040198i,-0.001485-0.0032701i,0.0027099-0.0066609i,-0.0048225-0.00017433i,0.0016379+0.0014338i,0.0081394-0.0049987i,-0.00031394+0.0029033i,-0.0039924+0.0053049i,-0.0059108-0.0053604i,0.010444+0.026514i,-0.039152-0.07813i,-0.034833-0.057055i,-0.010721-0.048389i,-0.007488-0.033222i,0.046024-0.070309i,-0.0018978-0.10453i,0.043845-0.065039i,0.0038766-0.044576i,0.01045-0.01387i,0.0097512-0.0043865i,0.0033347-0.035343i,0.0011657+0.0058761i,-0.010859-0.0077257i,-0.0068408-0.00063384i,-0.042363-0.014076i,-0.0018161+0.023033i,-0.0041599-0.011157i,-0.010983+0.0037132i,-0.0041608-0.00141i,-0.015338-0.010315i,-0.0037428+0.014557i,0.017395+0.0028405i,0.017818+0.018009i,0.0083515-0.00065958i,-0.0026576+0.0010087i,-0.005434+0.00074976i,-0.010777+0.013505i,-0.0023751-0.0033901i,-0.0301+0.024363i,-0.0030764-0.0046167i,-0.005463+0.005822i,-0.0079901+0.0066209i,-0.00056388-0.0060695i,-0.0070536+0.0065298i,0.00024829-0.0035601i,0.0032606+0.0015019i,0.0032561-0.0022471i,-0.0077463+0.0052902i,0.0024073+0.0023418i,-0.0058462+0.018537i,0.002626+0.00030711i,-0.017967+0.0060077i,-0.024804+0.010862i,-0.007378-0.057195i,0.0039369-0.023699i,-0.056305-0.0007562i,-0.021329-0.009888i,0.016707-0.0059629i,-0.011412+0.018463i,-0.024483-0.0090375i
-0.028015-0.0042779i,-0.041194-0.017715i,-0.03143-0.015427i,-0.037912-0.0029315i,-0.015978+0.0014621i,-0.035414+0.0038847i,-0.069839+0.0020332i,-0.058529-0.015233i,-0.030208-0.0087424i,0.0040306+0.0029226i,-0.00065376+0.0096914i,0.0059169+0.0088657i,0.0039579-0.0039596i,-0.0040139+0.0082765i,0.0020508-0.0019849i,0.013907+0.009526i,0.023743-0.0095777i,0.0028469-0.0010811i,-0.00083574+0.0033736i,0.0043594-0.003484i,0.0018435+0.0022056i,0.0024548+0.0037155i,-4.3847e-05+0.0009707i,0.0010385+0.019526i,-0.0044992+0.00087619i,0.0014061-0.0020042i,0.0032676-0.0013446i,0.001742-0.00079582i,-0.00068088+4.6075e-05i,-0.0030166+0.00018752i,-0.00041225+0.00016447i,-0.0051629+0.00057991i,-0.0053655-0.00094873i,-0.001524-0.0016537i,-0.00048284-0.0042224i,0.013018+0.014356i,-0.0011571-0.0035737i,-0.0022163-0.0026859i,-0.0010569-0.0067691i,-0.0031989+0.0017415i,0.0023774+0.00087732i,0.0043645-0.006899i,0.00092503+0.002706i,-0.0021873+0.0055109i,-0.0047261-0.0070793i,0.023643+0.019595i,-0.051106-0.068114i,-0.042791-0.0448i,-0.012828-0.052601i,-0.0067388-0.035959i,0.030207-0.091853i,-0.030038-0.1068i,0.039057-0.083798i,-0.0014005-0.043726i,0.0073245-0.012781i,0.0053559-0.0088431i,-0.0044244-0.033043i,0.0020573-0.0029079i,-0.013476-0.0025891i,-0.0096033-0.0033058i,-0.047133+0.0063792i,0.0089489+0.018597i,-0.0084348-0.0086243i,-0.0080962+0.0057105i,-0.0054146+0.00097906i,-0.019919-0.002149i,0.0045406+0.012248i,0.018531-0.0061576i,0.028596+0.012714i,0.0079001-0.0044486i,-0.0030426+0.00064997i,-0.0052205+0.0035518i,-0.0052994+0.019291i,-0.0048689+0.00066728i,-0.022599+0.032462i,-0.0037164-0.0035571i,-0.0013922+0.0070339i,-0.0025803+0.011308i,-0.0061459-0.0030183i,-0.0027104+0.0070898i,-0.00056199-0.0029417i,0.0025723+0.0017774i,0.00054335-0.0036941i,-0.0028421+0.0045946i,-0.00070939+0.00043923i,0.009085+0.021189i,0.00019192+0.00034214i,-0.012843+0.0099726i,-0.019645+0.014517i,-0.012073-0.056272i,0.0028409-0.020103i,-0.052267+0.014166i,-0.030649-0.0059349i,0.013261-0.011189i,-0.0027466+0.013908i,-0.02436-0.0030617i
-0.026728+0.00046519i,-0.047117-0.011189i,-0.038298-0.011385i,-0.036783+0.0026691i,-0.018341-0.0004043i,-0.032926+0.011727i,-0.054472+0.01719i,-0.055291-0.0028856i,-0.030497-0.00081045i,0.0043869+0.0022559i,0.0026953+0.0077969i,0.0067041+0.0058458i,0.00045938-0.005371i,0.0010243+0.0093392i,0.00071223-0.0028389i,0.011245+0.0059783i,0.013594-0.017871i,0.001959-0.0024248i,0.002081+0.0059582i,0.0025091-0.0041979i,0.0031549+0.0027503i,0.003692+0.0018978i,7.9529e-05+0.0015518i,0.016999+0.019773i,-0.003671+0.0026804i,0.00051907-0.0026471i,0.0015999-0.0028759i,0.0011227-3.743e-05i,-0.00021164+0.00028539i,-0.0027806+0.0016404i,-0.00025574+0.00026256i,-0.0041239+0.0025377i,-0.0045563+0.00084752i,-0.0020793-0.00096179i,-0.001709-0.0032403i,0.015875+0.010469i,-0.0017202-0.003145i,-0.003375-0.0018271i,-0.0035034-0.0049365i,-0.0017598-0.00019457i,0.0023154-6.5212e-05i,0.0012596-0.0059476i,0.001913+0.0021138i,-0.0015864+0.0057303i,-0.0065236-0.011806i,0.034349+0.0059819i,-0.056939-0.054854i,-0.044861-0.032944i,-0.01578-0.056986i,-0.0075369-0.03774i,0.0013791-0.10679i,-0.054885-0.09746i,0.01814-0.096966i,-0.0099372-0.03914i,0.0065929-0.010049i,0.00013387-0.010843i,-0.016279-0.023899i,-0.0027529-0.0062048i,-0.013895-0.00034147i,-0.015876+0.000226i,-0.041841+0.024444i,0.012086+0.008894i,-0.012611-0.004007i,-0.0063649+0.0068067i,-0.0052962+0.0042759i,-0.019099+0.0086825i,0.0047772+0.0069121i,0.015861-0.013891i,0.024592-0.0052455i,0.0054416-0.0075583i,-0.0051021+0.0022705i,-0.0024177+0.005976i,0.0029166+0.01951i,-0.0039125+0.0047259i,-0.018735+0.041281i,-0.0056992-0.0032117i,0.00098457+0.0045333i,0.0041158+0.010312i,-0.0075665+0.001209i,-0.0018216+0.0040583i,-0.0024962-0.0027152i,0.0017608+0.0035022i,-0.0028381-0.0035544i,-0.001878+0.0011433i,-0.0038952+0.0036743i,0.0018901+0.014759i,-0.0012468+0.00094278i,-0.0056921+0.011449i,-0.016034+0.017504i,-0.0197-0.053399i,0.0071148-0.025617i,-0.043468+0.030174i,-0.033825+0.0068701i,0.0074851-0.0152i,-0.0015853+0.006911i,-0.022598-0.00058383i
-0.023971+0.0037638i,-0.04855-0.0031623i,-0.043915-0.0022667i,-0.035356+0.0079518i,-0.023329+0.0013601i,-0.027304+0.017875i,-0.039772+0.021017i,-0.050093+0.0051577i,-0.02782+0.0033473i,0.0039653+0.0011915i,0.0032095+0.0061846i,0.0069669+0.0016171i,-0.0034079-0.0048124i,0.0055938+0.006734i,-0.0010396-0.0029958i,0.010177+0.0046049i,0.0026294-0.016246i,0.0013297-0.0027531i,0.0061491+0.0043419i,0.00089772-0.003903i,0.0046993+0.00075913i,0.0033072+0.00059141i,0.0012717+0.0018423i,0.023494-0.00032449i,-0.0014173+0.0039129i,-0.00040418-0.0035177i,-0.00042034-0.00044423i,0.0026965-0.0025898i,5.5695e-05-0.00039939i,-0.0011312+0.0029575i,6.263e-05+0.00014702i,-0.0029638+0.0033652i,-0.0043862+0.0027496i,-0.0019775+0.00022879i,0.00015643-0.0014291i,0.01893+0.005342i,-0.0027546-0.002577i,-0.0044352-0.00068187i,-0.0052378-0.0033508i,-0.0040127-0.0014465i,0.0024063-0.00044567i,-0.00012574-0.0042709i,0.0018879+0.0012898i,-0.00058281+0.0061983i,-0.012011-0.013242i,0.030464-0.013998i,-0.055588-0.043647i,-0.046123-0.023709i,-0.022341-0.058161i,-0.0077921-0.042338i,-0.030635-0.10282i,-0.075933-0.081188i,0.00036297-0.097056i,-0.0092643-0.025596i,0.012381-0.005353i,-0.0046912-0.0094026i,-0.019918-0.01146i,-0.0055937-0.0067186i,-0.017491+0.0037857i,-0.013033+0.0066947i,-0.030635+0.040784i,0.010756+0.0037551i,-0.0099943+0.003737i,-0.0066993+0.0080349i,-0.001568+0.0073111i,-0.012397+0.015417i,0.0058104+0.0077351i,0.009673-0.02477i,0.014928-0.018199i,-0.00068682-0.011512i,-0.0057123+0.0062901i,-0.00057827+0.0058252i,0.010294+0.016075i,-0.00052206+0.0066947i,-0.0028818+0.051647i,-0.0092724-0.0012548i,0.0010502+0.0036507i,0.0076533+0.0053771i,-0.0056252+0.0069207i,-0.0016746+0.004688i,-0.0044508-0.0012984i,0.004607+0.0039153i,-0.0039282+0.0017759i,-0.0047749+0.00041298i,-0.00043201+0.0091333i,0.0096571+0.017951i,-0.0015174+0.0007133i,-0.0015141+0.0071833i,-0.010289+0.021716i,-0.02015-0.044068i,-0.0020876-0.039269i,-0.021191+0.036933i,-0.026905+0.016046i,0.0048036-0.021979i,-0.0022495+0.0015817i,-0.021034+0.004465i
-0.021533+0.0055595i,-0.051993+0.0033854i,-0.046178+0.0091777i,-0.031557+0.013963i,-0.026411+0.0080341i,-0.021265+0.020967i,-0.029759+0.01924i,-0.045501+0.0099744i,-0.027824+0.00737i,0.0041761-9.057e-06i,0.0054649+0.00527i,0.0036266-0.0019437i,-0.0067062-0.0015231i,0.0073079+0.0012137i,-0.0023244-0.0022928i,0.0094869+0.0039646i,-0.002693-0.01214i,0.00019555-0.0033488i,0.0064678+7.8635e-05i,-0.00017933-0.0030576i,0.0044024-0.0018192i,0.0041246+0.00050007i,0.0022786+0.0010587i,0.016899-0.011235i,0.0018537+0.002856i,-0.0009128-0.0013312i,0.00065692-0.0016834i,0.0028666-0.0032661i,-0.00025107-0.00019124i,0.00050416+0.0024987i,0.00010736-0.00010762i,-0.0012978+0.0040256i,-0.0020476+0.004045i,-0.0014018+0.00064111i,-0.0031304+0.0015613i,0.019753-0.00050944i,-0.0031503-0.00076371i,-0.0040915+0.00096315i,-0.0061729-0.00033161i,-0.0065712+0.0013709i,0.0017904-0.00086887i,-0.00014626-0.0049625i,0.0020898+0.00077095i,0.00051708+0.0048415i,-0.017412-0.010897i,0.018315-0.020085i,-0.057184-0.039591i,-0.040885-0.013399i,-0.027889-0.057803i,-0.016155-0.050641i,-0.052833-0.090714i,-0.08417-0.056509i,-0.01899-0.097384i,0.00042514-0.022887i,0.018137-0.018924i,-0.0071319-0.0057025i,-0.016318-0.0091919i,-0.012649-0.0056991i,-0.014383+0.012877i,-0.010092+0.008382i,-0.0079812+0.046834i,0.011219+0.0012343i,-0.0076768+0.0036382i,-0.002023+0.0090713i,0.00066982+0.0057623i,-0.0049734+0.020044i,0.0096173+0.0051088i,-0.0065556-0.028819i,-0.0010852-0.021162i,-0.0047956-0.0048466i,-0.0023158+0.0092162i,0.0028245+0.0049054i,0.016136+0.0079024i,0.0023982+0.004925i,0.022419+0.048879i,-0.0076919+0.0034075i,0.0013304+0.0022523i,0.0077918+0.00073417i,-5.9833e-06+0.0099274i,-0.0039216+0.0046692i,-0.0050464+0.0029667i,0.0073699+0.002813i,-0.0017475+0.0044441i,-0.0069092+0.0023997i,0.0044697+0.008487i,0.013269+0.0086954i,-0.0015495+0.002054i,0.00086332+0.003406i,-0.0030093+0.02165i,-0.019809-0.042689i,-0.021266-0.039027i,-0.0055353+0.029617i,-0.020933+0.021129i,-0.005142-0.027073i,-0.0054851-0.0017367i,-0.012041+0.0056871i
-0.019861+0.0070903i,-0.053297+0.015044i,-0.044307+0.022348i,-0.026874+0.016866i,-0.023994+0.015675i,-0.016479+0.022404i,-0.024256+0.015639i,-0.041807+0.013686i,-0.02499+0.014173i,0.0037469-0.0011769i,0.0072862-0.00019557i,-0.0013444-0.00050984i,-0.0067219+0.0027981i,0.0041287-0.0019231i,-0.0032715-0.0015257i,0.011255+0.0018524i,-0.0059554-0.0074738i,-0.0013247-0.0028525i,0.00449-0.0019629i,-0.00087829-0.0022968i,0.0021863-0.0022588i,0.0040072-0.0013507i,0.0023387+3.6589e-05i,0.0086479-0.015766i,0.0017234+0.0005141i,-0.00070362-0.0012779i,0.00010987-0.0025653i,-0.00021548-0.0025866i,0.00093777+0.00015029i,0.0010406+0.0016596i,-1.1107e-05-0.00042839i,0.00043757+0.00376i,-2.4703e-05+0.0044179i,-0.0011343+0.00050456i,-0.0032603+0.0022999i,0.017973-0.00776i,-0.0022968+0.00012037i,-0.0025055+0.0024346i,-0.004669+0.0013702i,-0.0052752+0.0043428i,0.0014215-0.00075524i,-0.0013819-0.0044242i,0.0020396-2.6119e-05i,-0.00015773+0.0038624i,-0.020879-0.0051605i,0.014568-0.014984i,-0.061668-0.035279i,-0.032854-0.010459i,-0.034555-0.056172i,-0.029581-0.049846i,-0.072812-0.077481i,-0.080564-0.037378i,-0.045513-0.090021i,0.0051023-0.029197i,0.012249-0.028721i,-0.0066443-0.0037496i,-0.016783-0.0057236i,-0.018425+0.0032127i,-0.0077612+0.017515i,-0.0060048+0.011632i,0.011852+0.038904i,0.0075825+0.0093072i,-0.0084932+0.0047809i,-0.00068103+0.0063262i,0.003691+0.0058937i,0.0046043+0.016085i,0.010558-0.0019794i,-0.021013-0.019312i,-0.011099-0.012446i,-0.0037892-0.0014689i,0.0029288+0.0094577i,0.0036948+0.002121i,0.018007+2.1704e-05i,0.0049612+0.0046994i,0.043027+0.033972i,-0.005807+0.0037172i,0.00067288+0.0023914i,0.0054318-0.0035289i,0.0059078+0.0071127i,-0.0040175+0.010767i,-0.001785+0.0066828i,0.0098077-0.0013694i,0.0025575+0.0038917i,-0.006422+0.0065905i,0.0077493+0.0053145i,0.013929+0.0067099i,-0.00072093+0.0015868i,0.00037058-8.4462e-05i,0.0015892+0.018829i,-0.020545-0.041183i,-0.032726-0.026455i,0.0035844+0.019189i,-0.0051826+0.023716i,-0.016918-0.027549i,-0.012644-0.0018651i,-0.010966-0.0015063i
-0.018367+0.0089993i,-0.048359+0.027263i,-0.035998+0.034479i,-0.023619+0.019431i,-0.018541+0.020347i,-0.011793+0.023661i,-0.022461+0.011806i,-0.039945+0.017437i,-0.01752+0.018673i,0.0026979-0.0024305i,0.0036169-0.0026295i,-0.0017171+0.0036735i,-0.0043089+0.0054057i,0.0013674-0.002873i,-0.0040676-0.00040152i,0.011203-0.0019382i,-0.0050789-0.0033449i,-0.0020461-0.0018286i,0.0025599-0.0022051i,-0.00094236-0.0015876i,0.0019702-0.0012099i,0.0029269-0.0022137i,0.0021111-0.00048403i,0.0021694-0.015284i,0.0009263-0.00029119i,-0.0011617-0.0015221i,-0.00089078-0.0023895i,-0.0010315-0.0028298i,0.0007441-0.0010088i,0.0014087+0.0012027i,-0.00032029-0.00082034i,0.0018458+0.0030346i,0.0014855+0.0029865i,-0.0010812+0.0011223i,-0.0017152+0.0014648i,0.01137-0.014823i,-0.0015325+0.00025446i,-0.0010408+0.0029758i,-0.003916+0.0022651i,-0.0037036+0.0059094i,0.0012593-0.00069071i,-0.0027243-0.0030425i,0.0021616-0.00070452i,-0.0016192+0.0047838i,-0.021177+0.0018238i,0.02177-0.013244i,-0.06815-0.02808i,-0.028017-0.012206i,-0.040232-0.053072i,-0.039247-0.043024i,-0.088055-0.055515i,-0.078066-0.027145i,-0.055941-0.064149i,0.004336-0.033437i,0.0021264-0.036339i,-0.0072586-0.0030789i,-0.015601-0.0057265i,-0.013897+0.01344i,-0.00055326+0.018134i,0.0022994+0.010319i,0.019914+0.024096i,0.00036155-0.0081532i,-0.0077043+0.0079934i,-0.00069684+0.0059622i,0.0054151+0.0019247i,0.0081277+0.010977i,0.0043687-0.0040294i,-0.026409-0.004389i,-0.014497-0.0041774i,-0.001789-0.00051605i,0.0050125+0.007721i,0.0022536+0.00089546i,0.014321-0.010846i,0.0060998-0.00016435i,0.050648+0.011442i,-0.0060668+0.005846i,0.0020932+0.0018392i,0.00096891-0.0050619i,0.0072359+0.0025438i,0.0012609+0.014875i,0.0039338+0.0046441i,0.0065994-0.0051854i,0.0048723+0.00072767i,-0.0042802+0.0080427i,0.0066779+0.0030533i,0.01462+0.00048129i,-0.0022114+0.0013571i,-0.0042649-0.0011591i,0.0046147+0.01666i,-0.020931-0.043015i,-0.033716-0.012231i,0.0043822+0.008748i,0.0048054+0.014537i,-0.028801-0.022303i,-0.0162+0.0073597i,-0.016158-0.0019524i
-0.016703+0.010891i,-0.039972+0.035419i,-0.024135+0.041778i,-0.020075+0.021854i,-0.01279+0.023246i,-0.0072662+0.024204i,-0.023553+0.010025i,-0.037542+0.02291i,-0.011245+0.018966i,0.0005715-0.0029827i,0.00028268-0.0017227i,0.00056696+0.0054694i,-0.0011729+0.0058697i,-0.00094823-0.0024544i,-0.0042259+0.0011291i,0.008484-0.0056374i,-0.004226-0.0022707i,-0.0020154-0.00055399i,0.0018334-0.0027082i,-0.00088977-0.0011718i,0.0024453-0.0021102i,0.0019878-0.0019126i,0.0019351-0.00089169i,-0.0025779-0.013689i,0.0006799-0.00034651i,-0.0018202-0.00062897i,-0.0017516-0.0018738i,-0.0021971-0.0025842i,0.00020942-0.0012503i,0.0017692+0.00050809i,-0.00091274-0.00084406i,0.0025713+0.0015922i,0.0023654+0.0016868i,-0.00066862+0.001391i,-0.0017196+0.0017285i,0.0034528-0.012182i,-0.0016355-9.5602e-05i,0.00066991+0.0027227i,-0.0016996+0.0046142i,-0.0011942+0.0075297i,0.0013392-0.00060599i,-0.0022618-0.0015259i,0.0017055-0.0017744i,-0.00095361+0.0072764i,-0.016801+0.0075012i,0.031532-0.023345i,-0.074572-0.017186i,-0.027735-0.014047i,-0.044784-0.049205i,-0.046141-0.035778i,-0.090679-0.032223i,-0.076288-0.016221i,-0.05049-0.050056i,0.0029835-0.039187i,-0.01175-0.037651i,-0.0073057-0.0013278i,-0.019187-0.0065504i,-0.0055141+0.017387i,0.0048085+0.015228i,0.0060171+0.0025392i,0.019266+0.01227i,-0.0033398-0.0074547i,-0.0050867+0.010224i,-0.00029376+0.0065454i,0.0038042-0.0011699i,0.008356+0.0065963i,0.0026357-0.0011178i,-0.022951+0.0096991i,-0.012263+0.0046562i,-0.0013272-1.7454e-05i,0.008374+0.006143i,0.001044+0.0009333i,0.0046709-0.014735i,0.0031959-0.0026756i,0.045505-0.0097301i,-0.003612+0.0084508i,0.0012831+0.00098007i,-0.0024117-0.0029687i,0.0063121+0.0005171i,0.0087668+0.015014i,0.0041041+0.00077149i,0.0045027-0.0061327i,0.0029688-0.0019022i,-0.0023218+0.01117i,0.0062545+0.0012581i,0.012944-0.0029695i,-0.0015072+0.0052077i,-0.0057563+0.0011177i,0.0072719+0.014825i,-0.026572-0.046288i,-0.028853-0.0035024i,0.00294+0.0031452i,0.0047772+0.0047914i,-0.037781-0.012439i,-0.0099451+0.011041i,-0.016552+0.00071022i
-0.014369+0.012652i,-0.030503+0.04015i,-0.010757+0.044221i,-0.015303+0.024418i,-0.0059718+0.023759i,-0.0028108+0.024093i,-0.025365+0.011012i,-0.033087+0.02825i,-0.0057461+0.018519i,-0.00058158-0.0028413i,-0.00088894-3.8481e-05i,0.0034264+0.004842i,0.0015029+0.0059106i,-0.0028029-0.00077404i,-0.003938+0.0025272i,0.0046054-0.0071175i,-0.0050231-0.0020275i,-0.0018947-4.7249e-05i,0.00039068-0.0025176i,-0.0010871-0.00088404i,0.0017815-0.0029926i,0.0020561-0.0019301i,0.0016838-0.0012835i,-0.006387-0.011612i,0.00034959-0.00054196i,-0.0016101+6.8534e-05i,-0.0024531-0.0011742i,-0.0028643-0.001089i,-0.00027013-0.0012353i,0.001416-0.00036932i,-0.0012859-0.00050902i,0.0023501+0.00039481i,0.0025303+4.8034e-05i,0.00021066+0.0012089i,-0.0010251+0.0022816i,0.00069834-0.0090869i,-0.001745+0.00042875i,0.0015312+0.0014714i,0.0010219+0.0038927i,0.0023169+0.0073767i,0.0015804-0.00098482i,-0.0015626-0.0010803i,0.00037292-0.0024975i,0.0015004+0.0072085i,-0.011561+0.0088542i,0.031063-0.042341i,-0.077355-0.0020737i,-0.026893-0.014809i,-0.048784-0.049167i,-0.05102-0.026939i,-0.089314-0.014882i,-0.074094-0.0073131i,-0.048619-0.042809i,-0.0021875-0.043949i,-0.025959-0.0359i,-0.0071973-0.00052712i,-0.027437-0.0027231i,0.0017038+0.015719i,0.0080349+0.010428i,0.0041129-0.0035528i,0.015672+0.0060737i,-0.0069574-0.006481i,-0.0014168+0.011572i,0.0019411+0.0067615i,0.0016071-0.0017821i,0.0070568+0.0027824i,0.0033794+0.00044554i,-0.014049+0.016907i,-0.006248+0.0094564i,0.00029279-0.00041973i,0.011128+0.00066278i,0.00032978+0.0021742i,-0.0029748-0.012586i,0.00055212-0.0027064i,0.034057-0.021793i,0.00097442+0.011101i,0.00067562+0.0016556i,-0.0043514+0.00017475i,0.0053395-0.0020856i,0.014747+0.011168i,0.0026441-0.0016165i,0.0017214-0.0067117i,0.00084749-0.0026868i,0.015374+0.0017245i,0.00574+0.00085486i,0.0092214-0.0071179i,0.002135+0.0061871i,-0.005463+0.0026024i,0.011208+0.01219i,-0.036173-0.044122i,-0.024726+0.011851i,0.0011625-0.0006557i,0.00091678+0.0010632i,-0.041161-0.0010336i,-0.0066258+0.0098899i,-0.015748+0.0028622i
