-0.023701-0.019075i,-0.032264-0.033722i,-0.022293-0.019844i,-0.032254-0.020806i,-0.024113+0.0038516i,-0.028907-0.018367i,-0.055078-0.047975i,-0.040971-0.044879i,-0.029703-0.023747i,0.0054331+0.0057906i,-0.0034902+0.0067612i,-0.010761+0.011199i,0.0040295+0.0067554i,-0.0036085-0.0027972i,0.0029332+0.0017849i,0.0015988+0.028402i,0.025348+0.031814i,-0.00016205+0.0002296i,-0.0027511-0.0027425i,0.0076564+0.0037421i,0.001884+0.00054781i,-0.00020044+0.0025781i,-0.00060976+0.00017984i,-0.0318-0.0017435i,-0.0033192-0.0049908i,7.0491e-05+0.0024396i,0.0039771-0.00090308i,0.0010671-0.00028122i,-0.00072955-0.00053935i,-0.00091256-0.0019583i,-0.0021414-0.00067635i,-0.003989-0.0037529i,-0.0028148-0.0051585i,0.00043637-0.0013219i,0.00070306-0.0032374i,-0.001572+0.025871i,0.0019557-0.0027595i,0.0023857-0.0040262i,0.0045625-0.0021268i,-0.0054849-0.0017478i,0.00077182+0.0014769i,0.010548-0.00013679i,-0.0010424+0.00034595i,-0.0031815+0.0016145i,-0.0082289-0.0018962i,-0.018488+0.021192i,-0.0080944-0.086698i,-0.0024127-0.061352i,-0.021127-0.053862i,-0.011464-0.045806i,0.053482-0.026964i,0.024078-0.066939i,0.040598-0.054484i,0.018336-0.03944i,0.02601-0.019674i,0.012044+0.012019i,0.02539-0.028674i,-0.011286-0.00074347i,-0.0012375-0.00063659i,-0.0086451-0.001736i,-0.0046771-0.029962i,-0.021169+0.026358i,0.0073888-0.0092868i,-0.010657-0.0032102i,-0.0027608-0.0018318i,-0.00060329-0.014652i,-0.0086343+0.0052635i,0.0061259+0.010586i,-0.010584+0.030079i,0.006279+0.0075022i,-0.0035637-0.0015448i,-0.0021896-0.0013596i,-0.012784-0.0061088i,0.00067673-0.0043416i,-0.03338+0.0028901i,0.0031204-0.008727i,-0.0074745-0.0022077i,-0.0053338-0.0030646i,0.0070143+0.0019857i,-0.010559+0.00038722i,0.0021578-0.00032177i,0.0059253+0.007601i,0.0054476+0.0010168i,-0.0074967-0.010088i,0.0026873+0.0081073i,-0.019274+0.0076226i,0.0035049+0.0056986i,-0.020941-0.0094026i,-0.027442-0.0053898i,0.0099544-0.06167i,0.018968-0.015384i,-0.049973-0.028741i,-0.021479+0.0016003i,0.019013+0.010346i,-0.026954+0.011595i,-0.012605-0.0080628i
-0.027734-0.014583i,-0.03638-0.023452i,-0.024401-0.017391i,-0.036079-0.016351i,-0.019767+0.0047038i,-0.03318-0.011604i,-0.061381-0.036317i,-0.047067-0.037416i,-0.031391-0.017484i,0.0045425+0.0045347i,-0.0040008+0.005364i,-0.0042691+0.015155i,0.0066558+0.0028924i,-0.0068492+0.00053113i,0.0032218+0.00023324i,0.0085944+0.023512i,0.029015+0.018934i,0.00117+0.0012227i,-0.0031527+0.0001611i,0.0075662+4.6046e-05i,0.0013507+0.0010777i,-0.00011686+0.0025313i,-0.00055561+0.00062588i,-0.017911+0.013232i,-0.0048495-0.002974i,0.0020587+0.0010845i,0.0026562-0.00019218i,0.0012285+0.00028987i,0.00023588-0.00060256i,-0.0019766-0.0017951i,-0.0011847+0.00011108i,-0.0041812-0.0025157i,-0.0038705-0.0039352i,-0.00025951-0.0015069i,0.00014125-0.0019708i,0.0061266+0.023061i,0.0015286-0.0034404i,-4.5057e-05-0.0042031i,0.0047762-0.0041351i,-0.0033654-0.001422i,0.0013614+0.0015878i,0.009395-0.0018496i,-0.0010823+0.0013425i,-0.0048651+0.0035978i,-0.0058383-0.0018767i,-0.004312+0.027882i,-0.024358-0.084233i,-0.019292-0.065207i,-0.017722-0.046121i,-0.013461-0.033955i,0.053336-0.050133i,0.020001-0.08733i,0.041391-0.056318i,0.011109-0.045333i,0.013628-0.015178i,0.012496+0.00078164i,0.012774-0.031525i,-0.0097715+0.0063632i,-0.0024705-0.0076708i,-0.0089198+2.5799e-05i,-0.026448-0.027578i,-0.0092142+0.024546i,0.0019836-0.01212i,-0.012586+0.00011854i,-0.0023173-0.0011887i,-0.0073908-0.014174i,-0.0087678+0.00889i,0.011097+0.0095758i,0.0075687+0.028949i,0.0079987+0.0021706i,-0.0033284+0.00098577i,-0.004332-0.0012063i,-0.015894+0.003931i,0.00080162-0.0033817i,-0.036421+0.010587i,-0.0018239-0.0075802i,-0.0073186+0.0018653i,-0.0070316+0.00028973i,0.0054617-0.0041753i,-0.0090465+0.0035538i,0.0023627-0.0024835i,0.0048332+0.0028319i,0.0044781-0.0011032i,-0.012818-0.0023728i,0.0029494+0.0049341i,-0.013378+0.014645i,0.0045408+0.0028841i,-0.021286-0.00024013i,-0.029277+0.0027343i,-0.00015836-0.060727i,0.012717-0.023137i,-0.056335-0.014047i,-0.01523-0.0027032i,0.019749+0.0028695i,-0.021058+0.018353i,-0.020285-0.013363i
-0.029096-0.008807i,-0.037085-0.019468i,-0.026511-0.016477i,-0.038699-0.009683i,-0.016907+0.0036818i,-0.035545-0.0044195i,-0.069455-0.021471i,-0.054261-0.028566i,-0.033669-0.012563i,0.0042839+0.0035481i,-0.0036803+0.0079348i,0.0027193+0.013265i,0.0060064-0.0013474i,-0.0068019+0.0042713i,0.0029323-0.00080475i,0.01263+0.017292i,0.032221+0.0091783i,0.0029749+0.00056519i,-0.0016499+0.0017487i,0.0065736-0.0022397i,0.00092716+0.0012102i,0.00072014+0.0033309i,-0.00023848+0.00090207i,-0.0064311+0.016892i,-0.004645-0.00074102i,0.0025895-0.00075554i,0.0025779-0.00074467i,0.0020657+7.3945e-05i,-0.00062252-0.00096238i,-0.0024654-0.0010554i,-0.00069465+4.4613e-05i,-0.0049287-0.0009004i,-0.0048803-0.0025325i,-0.00082466-0.0017068i,0.00086712-0.0037404i,0.012285+0.017636i,0.00041455-0.0035949i,-0.0015644-0.0034703i,0.0028408-0.0071308i,-0.0038381-0.0010934i,0.0019893+0.0013567i,0.0080665-0.0048239i,3.6645e-05+0.0021302i,-0.0037851+0.0057096i,-0.0043573-0.0045189i,0.01058+0.026285i,-0.03893-0.077796i,-0.035262-0.05779i,-0.010647-0.047803i,-0.0076344-0.033426i,0.045936-0.070328i,-0.0015509-0.10439i,0.045034-0.065752i,0.0026311-0.043554i,0.010476-0.013494i,0.0097874-0.0042959i,0.0035576-0.033543i,0.001594+0.0060892i,-0.010572-0.0079692i,-0.0068501-0.00064505i,-0.041302-0.014954i,-0.0013183+0.023364i,-0.0038705-0.011047i,-0.01103+0.0039365i,-0.0041801-0.0012928i,-0.015231-0.010696i,-0.0036136+0.01468i,0.01681+0.0028714i,0.019363+0.018411i,0.0080419-0.00056432i,-0.0027716+0.0010092i,-0.0053+0.00087182i,-0.011333+0.012775i,-0.0025887-0.0033421i,-0.031519+0.021932i,-0.0033929-0.0049509i,-0.0054027+0.0053773i,-0.0076234+0.0062089i,-0.00078515-0.0066015i,-0.0065875+0.0061471i,0.00018928-0.0036416i,0.0030413+0.001601i,0.0029039-0.0026749i,-0.008267+0.00528i,0.0022425+0.0024265i,-0.0068034+0.017058i,0.0027803+7.3795e-05i,-0.017719+0.0060678i,-0.025762+0.011314i,-0.0058915-0.058172i,0.0039433-0.023588i,-0.056091-0.00043321i,-0.021068-0.0096627i,0.017013-0.0052523i,-0.010552+0.018889i,-0.024982-0.0094428i
-0.028727-0.0036049i,-0.04044-0.017118i,-0.031051-0.015706i,-0.037847-0.0029667i,-0.01595+0.0015442i,-0.035527+0.0037508i,-0.069694+0.0023034i,-0.058882-0.014789i,-0.035793-0.0041834i,0.0042793+0.0029691i,-0.00041074+0.0095248i,0.005425+0.0088471i,0.0037146-0.004363i,-0.0047222+0.0080745i,0.0019457-0.0019743i,0.013701+0.0093755i,0.032949-0.0060386i,0.0031777-0.0014292i,-0.0010146+0.0029948i,0.0045231-0.003844i,0.0018465+0.0020491i,0.0027424+0.0033955i,-0.00017584+0.00095667i,0.0043286+0.020564i,-0.0038028+0.00066067i,0.0016244-0.0020553i,0.0031266-0.0013189i,0.0017611-0.0012946i,-0.00064323-4.4334e-06i,-0.0030209-0.00018318i,-0.0004578-1.3431e-05i,-0.0046194+0.00066355i,-0.0054734-0.00073852i,-0.0014969-0.001464i,-0.001895-0.0044745i,0.014013+0.011649i,-0.00074629-0.0036337i,-0.0024018-0.0026881i,-0.001007-0.007505i,-0.002899+0.00078425i,0.0026025+0.00058694i,0.0048585-0.0068109i,0.00077133+0.0019409i,-0.0015867+0.0060281i,-0.0028372-0.0068974i,0.023813+0.019361i,-0.051113-0.067714i,-0.043083-0.045453i,-0.012412-0.052629i,-0.0071052-0.035715i,0.030143-0.092119i,-0.029888-0.10641i,0.039558-0.085494i,-0.0017485-0.042174i,0.0074046-0.012328i,0.0055308-0.0089041i,-0.0089379-0.031124i,0.0024581-0.0027804i,-0.013003-0.0026287i,-0.0097219-0.003434i,-0.047037+0.0052885i,0.0090676+0.018272i,-0.0080123-0.0085189i,-0.00837+0.0057499i,-0.0052155+0.001161i,-0.019968-0.0023913i,0.0046343+0.012294i,0.018281-0.0058111i,0.023508+0.007084i,0.0080706-0.0034695i,-0.0031307+0.00092772i,-0.0051688+0.0034589i,-0.0051318+0.018474i,-0.0049896+0.00073777i,-0.025382+0.03123i,-0.0042613-0.0035819i,-0.0014569+0.0067093i,-0.002197+0.011052i,-0.0064974-0.0033519i,-0.0028816+0.0064513i,-0.00088956-0.0028385i,0.0021951+0.0018955i,0.00028571-0.0040355i,-0.0027531+0.0046884i,-0.00099516+0.00044274i,-0.0021465+0.018636i,0.0004272+0.00024572i,-0.012557+0.010129i,-0.020431+0.015199i,-0.010849-0.05756i,0.0027319-0.020046i,-0.051947+0.014357i,-0.029776-0.0060895i,0.013535-0.010551i,-0.0022281+0.014159i,-0.025237-0.00315i
-0.027165+0.0012876i,-0.045872-0.011052i,-0.038311-0.011545i,-0.036693+0.0024706i,-0.018353-0.00030947i,-0.033082+0.011681i,-0.054177+0.01725i,-0.055489-0.0023373i,-0.031357+0.0027579i,0.0045869+0.0022961i,0.0029497+0.0074833i,0.0063082+0.0061075i,5.1189e-05-0.0055913i,0.00031048+0.0094269i,0.00060858-0.0027675i,0.010996+0.0058508i,0.021331-0.019053i,0.0019922-0.0028303i,0.0016943+0.0056958i,0.0025186-0.0043671i,0.0032058+0.0026122i,0.0035699+0.0016022i,-4.5776e-05+0.0015893i,0.018781+0.012368i,-0.0031905+0.0023008i,0.00064939-0.0024992i,0.0018983-0.003122i,0.0015577-0.0010342i,-0.00017867+0.00012649i,-0.0029245+0.0013546i,-0.00036427+0.00012268i,-0.003662+0.002383i,-0.0045076+0.0011856i,-0.0020282-0.0008327i,-0.0029477-0.002747i,0.015441+0.0085254i,-0.0016441-0.0033402i,-0.0034396-0.0016418i,-0.003462-0.005637i,-0.001634-0.00087522i,0.00237-0.00040262i,0.0018025-0.006017i,0.0016093+0.0015704i,-0.0010213+0.00591i,-0.0046111-0.012336i,0.034266+0.0057616i,-0.056966-0.054276i,-0.045351-0.033427i,-0.015665-0.056989i,-0.0075976-0.037474i,0.0012988-0.10705i,-0.054582-0.097196i,0.018397-0.098557i,-0.0098292-0.037926i,0.0066185-0.0095199i,-1.6394e-05-0.011089i,-0.018119-0.023461i,-0.0025858-0.0062616i,-0.013564-0.00056561i,-0.015867+0.00025056i,-0.042212+0.023267i,0.012034+0.0085232i,-0.011805-0.004581i,-0.0066573+0.0072955i,-0.0050456+0.0041387i,-0.019048+0.0082068i,0.0049754+0.006986i,0.015505-0.013464i,0.024473-0.0044413i,0.0060265-0.0071808i,-0.0049255+0.002369i,-0.0024806+0.0060343i,0.0035737+0.019067i,-0.0040879+0.0045732i,-0.017137+0.040977i,-0.0059209-0.003133i,0.00094622+0.0044225i,0.0040774+0.0099717i,-0.0079883+0.0014813i,-0.0019916+0.0038174i,-0.002195-0.0028168i,0.0018917+0.0034429i,-0.0031445-0.0036807i,-0.0018465+0.0012083i,-0.0039609+0.0039011i,0.0052883+0.018798i,-0.0010271+0.00064692i,-0.0056462+0.011322i,-0.016769+0.018423i,-0.019189-0.05467i,0.0068363-0.025172i,-0.043073+0.030206i,-0.03315+0.0060061i,0.0077291-0.015414i,-0.0015085+0.0068013i,-0.023742-0.00036024i
-0.024225+0.0047656i,-0.047168-0.0037691i,-0.043797-0.0020103i,-0.035393+0.0076964i,-0.02332+0.0014196i,-0.02742+0.017987i,-0.039723+0.020936i,-0.050046+0.0056161i,-0.027889+0.0055458i,0.0041883+0.0012739i,0.0033476+0.0057179i,0.0069603+0.0019309i,-0.0037464-0.004815i,0.00519+0.0069805i,-0.0010923-0.0028704i,0.0098507+0.0045607i,0.0073654-0.020925i,0.0014369-0.0030523i,0.0056559+0.0041189i,0.00098856-0.0040114i,0.0048736+0.00036276i,0.0030783+0.00057631i,0.0011582+0.0019004i,0.021536-0.0018413i,-0.0011569+0.0035585i,-0.00050552-0.0022485i,-0.00054846-0.00087849i,0.0017468-0.0020844i,3.9085e-05-0.00054097i,-0.0013696+0.0028861i,-6.8158e-05+5.912e-05i,-0.0025757+0.0029005i,-0.0042041+0.0030843i,-0.0018613+0.00030878i,-0.0026512-0.0015564i,0.017666+0.0037802i,-0.0028413-0.0027978i,-0.0044663-0.00052161i,-0.0051946-0.0039433i,-0.003765-0.0020812i,0.0023271-0.00078995i,0.00014917-0.0045448i,0.0015324+0.0008328i,-0.00021793+0.0061637i,-0.010441-0.014434i,0.030137-0.013753i,-0.055299-0.043395i,-0.046561-0.023595i,-0.021989-0.058004i,-0.0079491-0.042427i,-0.030619-0.10312i,-0.075484-0.080726i,-0.00027267-0.10063i,-0.0087926-0.024157i,0.012392-0.0051086i,-0.0047924-0.0094833i,-0.019997-0.011286i,-0.005865-0.0067315i,-0.017201+0.003379i,-0.013032+0.0068067i,-0.031073+0.039115i,0.010361+0.0023462i,-0.0099046+0.0029447i,-0.0066758+0.0080884i,-0.0015185+0.0073978i,-0.01207+0.015215i,0.0059092+0.0079632i,0.0095452-0.024011i,0.015838-0.018543i,-0.00024502-0.01126i,-0.0058349+0.0063978i,-0.00059313+0.0057822i,0.011228+0.015516i,-0.00089078+0.0065871i,8.2398e-05+0.05227i,-0.0091767-0.0014709i,0.0011034+0.00359i,0.007422+0.0053993i,-0.0054028+0.0076817i,-0.001886+0.0045426i,-0.0042451-0.0016837i,0.0047603+0.0035171i,-0.0041041+0.0017339i,-0.0048201+0.00059231i,-0.00020034+0.0090606i,0.010426+0.014447i,-0.0018216+0.00069196i,-0.0024498+0.0074658i,-0.010085+0.022213i,-0.020518-0.045879i,-0.0016637-0.039193i,-0.021207+0.036916i,-0.026503+0.015456i,0.004655-0.021601i,-0.0022948+0.0016034i,-0.021434+0.0050201i
-0.02138+0.0065948i,-0.051279+0.0023424i,-0.045904+0.0093099i,-0.031692+0.013719i,-0.026372+0.008161i,-0.021353+0.020863i,-0.029855+0.019394i,-0.045398+0.010342i,-0.027664+0.0089855i,0.004381-5.2467e-05i,0.0055402+0.0052269i,0.0035398-0.0017952i,-0.0068546-0.0014884i,0.0072912+0.0013584i,-0.0023537-0.0021798i,0.0090909+0.0040312i,-0.0020447-0.016211i,0.00032008-0.0037335i,0.0062012+5.5183e-05i,-0.00012492-0.0030438i,0.004179-0.0021228i,0.0041227+0.00060384i,0.0021752+0.0011476i,0.015542-0.011488i,0.0016634+0.0025984i,-0.0007395-0.0014429i,0.00059889-0.0019863i,0.00096197-0.0029595i,-0.00027733-0.00034474i,0.00032322+0.0025904i,-1.7951e-05-0.00017213i,-0.0011775+0.0033478i,-0.0017313+0.0043922i,-0.001322+0.00056324i,-0.0033818-0.0017194i,0.017738-0.0023795i,-0.0033246-0.0011822i,-0.0040548+0.0011843i,-0.0061336-0.00063485i,-0.006574+0.00023891i,0.0016958-0.0011133i,-0.00029281-0.0050632i,0.0017433+0.00053344i,0.00067129+0.0045635i,-0.016359-0.012384i,0.018143-0.01968i,-0.057233-0.039651i,-0.040824-0.013215i,-0.027475-0.057854i,-0.016605-0.05063i,-0.05289-0.09101i,-0.08401-0.056275i,-0.023644-0.10039i,0.0014202-0.021428i,0.018195-0.018527i,-0.0070994-0.0058002i,-0.016489-0.0090158i,-0.012771-0.0054484i,-0.015092+0.012428i,-0.0096619+0.0086663i,-0.0096906+0.045582i,0.0092589-0.0013636i,-0.0077509+0.0032817i,-0.0019051+0.0089759i,0.00075293+0.0059388i,-0.0046343+0.019211i,0.0099597+0.005461i,-0.0066381-0.027788i,-0.00027554-0.020994i,-0.0043752-0.0048584i,-0.0025506+0.0095619i,0.0027405+0.0048031i,0.016734+0.0068901i,0.0021057+0.0049987i,0.024957+0.048381i,-0.007377+0.003399i,0.001291+0.002311i,0.0075487+0.00075847i,0.00042293+0.0098437i,-0.0043028+0.0048594i,-0.0052215+0.0025559i,0.0073655+0.0023281i,-0.0022308+0.0044485i,-0.006592+0.0032121i,0.0048781+0.0085916i,0.013133+0.0093244i,-0.001408+0.0021252i,6.1406e-05+0.004271i,-0.0028382+0.021999i,-0.020993-0.044338i,-0.02169-0.039255i,-0.0052723+0.029492i,-0.02048+0.019531i,-0.0050426-0.027477i,-0.0054209-0.0016793i,-0.012523+0.0061406i
-0.019373+0.0080008i,-0.052946+0.014554i,-0.044103+0.021894i,-0.027214+0.016859i,-0.023857+0.015715i,-0.016738+0.022373i,-0.024188+0.01592i,-0.041677+0.013879i,-0.024656+0.01548i,0.0039168-0.0012675i,0.0069364+0.00068825i,-0.0013873-0.00034226i,-0.0068172+0.0028336i,0.0041871-0.0018717i,-0.0032558-0.0014273i,0.010946+0.0020563i,-0.0065101-0.0099155i,-0.0014074-0.0032658i,0.004107-0.0019736i,-0.00073782-0.0023803i,0.0019041-0.0024349i,0.0040706-0.0012602i,0.0022772+0.00014194i,0.0079983-0.015555i,0.0015075+0.0006762i,-0.00087752-0.0013332i,0.00020764-0.0027448i,-0.00015248-0.0027464i,0.00087637-1.6012e-06i,0.00089822+0.0017306i,-0.00020527-0.0004884i,0.0002311+0.0031872i,0.00039461+0.0045041i,-0.001124+0.00047159i,-0.0037708+0.00085363i,0.015015-0.0080721i,-0.0026902-8.165e-05i,-0.0024366+0.0025704i,-0.0043111+0.0012039i,-0.006344+0.003411i,0.001168-0.00096393i,-0.0013525-0.0044678i,0.0017455-0.00012201i,7.304e-06+0.0036148i,-0.020306-0.0068873i,0.014179-0.014465i,-0.061387-0.035747i,-0.032844-0.010103i,-0.034646-0.05643i,-0.029688-0.049505i,-0.072836-0.077972i,-0.080411-0.037355i,-0.048876-0.086821i,0.0070266-0.028446i,0.012501-0.029328i,-0.0066333-0.0037312i,-0.016623-0.0056173i,-0.018523+0.0029525i,-0.0079254+0.017484i,-0.0056955+0.011746i,0.010201+0.038626i,0.0063467-0.0064508i,-0.0081726+0.0043112i,-0.00098678+0.0064467i,0.0038894+0.0058464i,0.0046518+0.016151i,0.010537-0.0018306i,-0.020696-0.018196i,-0.010909-0.013112i,-0.0036013-0.0013028i,0.0028545+0.0094509i,0.0036803+0.0022317i,0.018148-0.00046742i,0.0048354+0.0046731i,0.042672+0.032045i,-0.0050521+0.0037686i,0.00056632+0.0025684i,0.0052565-0.0034161i,0.0062979+0.0072758i,-0.0045024+0.010901i,-0.0021066+0.0070638i,0.0090076-0.0015622i,0.0026226+0.0044238i,-0.0063869+0.0066709i,0.0078615+0.0052928i,0.01378+0.0044454i,-0.00091774+0.0016671i,-7.9139e-05+0.00063175i,0.0020219+0.01899i,-0.022904-0.043015i,-0.033102-0.026246i,0.0037011+0.018952i,-0.0065472+0.023957i,-0.016607-0.027736i,-0.012664-0.0017244i,-0.010841-0.0011164i
-0.01755+0.0096449i,-0.048036+0.02713i,-0.036178+0.033906i,-0.023743+0.019674i,-0.018627+0.02027i,-0.011907+0.023796i,-0.022282+0.011956i,-0.039811+0.017486i,-0.017053+0.019688i,0.002831-0.002486i,0.0037186-0.0026881i,-0.0016202+0.003612i,-0.004619+0.0058377i,0.0013555-0.00277i,-0.0039701-0.00033556i,0.010967-0.0016003i,-0.005719-0.0045838i,-0.0020781-0.0020066i,0.0023859-0.0021543i,-0.00088339-0.0017204i,0.0017668-0.0013544i,0.0029602-0.0021022i,0.0021143-0.00035352i,0.0017951-0.015082i,0.00082753-0.0001118i,-0.0013771-0.0014161i,-0.00086702-0.0026432i,-0.0010025-0.0026515i,0.00062929-0.0011079i,0.0013394+0.0013015i,-0.00050764-0.00078518i,0.0014713+0.0027363i,0.0018147+0.0030672i,-0.0009975+0.0010969i,-0.0021518+0.001072i,0.0098584-0.012011i,-0.0018572+0.00039626i,-0.00087542+0.0030337i,-0.0042222+0.0021997i,-0.0045982+0.0055715i,0.0010166-0.00081746i,-0.0029502-0.0033442i,0.0017965-0.00081347i,-0.0014955+0.0044438i,-0.0214+1.7508e-05i,0.021693-0.012126i,-0.068392-0.0292i,-0.027756-0.011613i,-0.040605-0.052978i,-0.039053-0.043156i,-0.088433-0.055706i,-0.077816-0.027389i,-0.056089-0.061869i,0.0061165-0.033645i,0.0023737-0.036908i,-0.007198-0.002874i,-0.015661-0.0059705i,-0.014373+0.013368i,-0.00046655+0.01771i,0.0025688+0.010413i,0.018349+0.025072i,0.0018507-0.0080746i,-0.0074163+0.0072056i,-0.00095384+0.0063082i,0.0053859+0.0019091i,0.008641+0.011131i,0.0043321-0.0038134i,-0.025991-0.0039154i,-0.014106-0.0043375i,-0.0011099-0.00066544i,0.0050453+0.0078411i,0.0021989+0.00094414i,0.013986-0.011356i,0.0060514+8.061e-05i,0.049592+0.0105i,-0.005314+0.0059225i,0.0020347+0.0020381i,0.00076891-0.0050322i,0.0074456+0.0029728i,0.0012097+0.014773i,0.0041229+0.0050071i,0.0059902-0.0053654i,0.0048817+0.00096243i,-0.003061+0.011734i,0.0070665+0.0031126i,0.012755+0.00073089i,-0.0024116+0.0017566i,-0.0043119-0.00029558i,0.0051383+0.016471i,-0.024632-0.042859i,-0.033773-0.012765i,0.0044768+0.0085108i,0.0045706+0.015237i,-0.029032-0.022425i,-0.016098+0.0072878i,-0.015755-0.0015631i
-0.015578+0.011229i,-0.039674+0.035185i,-0.024196+0.041354i,-0.020178+0.022178i,-0.012863+0.023191i,-0.0072236+0.024368i,-0.023468+0.0099476i,-0.03737+0.022977i,-0.010746+0.01981i,0.00096671-0.0029679i,0.00017636-0.001859i,0.0004833+0.0053186i,-0.0012937+0.0067161i,-0.00085325-0.0022391i,-0.004097+0.001152i,0.0083581-0.0054751i,-0.004679-0.0031842i,-0.0019177-0.0007338i,0.0016661-0.0026376i,-0.00087623-0.0012582i,0.0022479-0.0021096i,0.0019848-0.0019411i,0.0019762-0.00082436i,-0.0026711-0.013513i,0.00064167-0.00037558i,-0.0018153-0.00056813i,-0.001868-0.0019282i,-0.0021248-0.0024791i,0.00011253-0.0012839i,0.0017488+0.00058336i,-0.0010517-0.00076365i,0.0024163+0.0015175i,0.0024968+0.0016942i,-0.0005007+0.001321i,-0.0021994+0.0013946i,0.0040317-0.011934i,-0.0017102-3.6597e-06i,0.00080191+0.0026287i,-0.0026036+0.0041467i,-0.0022154+0.0073918i,0.0010551-0.00080395i,-0.0026447-0.0018094i,0.0013765-0.00162i,-0.00020957+0.0068072i,-0.017756+0.0061493i,0.032239-0.02237i,-0.075521-0.017521i,-0.027275-0.013732i,-0.044921-0.049061i,-0.0461-0.035959i,-0.091052-0.032071i,-0.076014-0.016728i,-0.050611-0.048755i,0.0043035-0.039635i,-0.011189-0.039039i,-0.0071829-0.0010979i,-0.019347-0.0066124i,-0.0057846+0.017434i,0.0051667+0.014545i,0.0061419+0.0026688i,0.018195+0.013006i,-0.0026511-0.0083812i,-0.0052338+0.010232i,-0.00039652+0.006602i,0.0038328-0.0010373i,0.0094037+0.005712i,0.0026646-0.00077591i,-0.02249+0.0097816i,-0.011779+0.0039849i,-0.0010742-0.00065273i,0.0083199+0.0060097i,0.0010148+0.00096209i,0.0044417-0.01501i,0.0032614-0.0025517i,0.045352-0.0093431i,-0.0025245+0.0083316i,0.0012518+0.0011697i,-0.0023015-0.0027412i,0.0067469+0.00068944i,0.0086109+0.014963i,0.0042937+0.00085375i,0.0033444-0.0064241i,0.0031411-0.0014814i,0.0036078+0.012843i,0.0068037+0.001085i,0.01213-0.0032545i,-0.0015333+0.0053942i,-0.0052648+0.0017535i,0.0075113+0.014469i,-0.02893-0.044842i,-0.030515-0.0044107i,0.0027397+0.0028959i,0.0049653+0.0051872i,-0.036931-0.012061i,-0.010209+0.01128i,-0.01584+0.0012644i
-0.013258+0.012598i,-0.030222+0.039807i,-0.010905+0.043667i,-0.015407+0.024736i,-0.0059516+0.023693i,-0.0027583+0.024161i,-0.025421+0.010929i,-0.032948+0.028399i,-0.0052474+0.019172i,-0.00045374-0.0025098i,-0.0011034-4.0972e-05i,0.0033144+0.0049715i,0.0011343+0.0062835i,-0.0027572-0.00055709i,-0.0038382+0.0025218i,0.0045835-0.0069897i,-0.0053921-0.0029613i,-0.0018375-0.00034896i,0.00024069-0.0025256i,-0.0010586-0.00095631i,0.0016599-0.0028578i,0.0020084-0.0019766i,0.0017242-0.001261i,-0.0063866-0.01156i,0.00021226-0.00062i,-0.0016163+7.1809e-05i,-0.0024915-0.0010949i,-0.0027883-0.0013059i,-0.00038467-0.0012249i,0.0014101-0.0003356i,-0.001489-0.00031652i,0.0020574+0.00047738i,0.002615+0.00020436i,0.00033415+0.001109i,-0.0014575+0.0021801i,0.00072123-0.009469i,-0.0016999+0.0003544i,0.0017704+0.0013047i,-0.00040891+0.0037263i,0.0014293+0.0076703i,0.0011523-0.0010162i,-0.002069-0.0011798i,0.00021439-0.002276i,0.0021152+0.0061433i,-0.012536+0.0082326i,0.03201-0.041762i,-0.07807-0.0015196i,-0.026488-0.014953i,-0.048848-0.048913i,-0.051028-0.026836i,-0.08968-0.014682i,-0.073976-0.0079807i,-0.048829-0.041538i,-0.0011966-0.044608i,-0.025706-0.036743i,-0.0071762-0.00040455i,-0.027402-0.0030882i,0.0018517+0.015701i,0.008529+0.010064i,0.0041917-0.0034519i,0.014711+0.0065677i,-0.007298-0.0082295i,-0.00113+0.011517i,0.0012501+0.0069077i,0.0016071-0.0018711i,0.0069409+0.0021755i,0.0034509+0.00063808i,-0.013832+0.016732i,-0.0066054+0.0086425i,-0.00010414-0.00063336i,0.010842+0.00089692i,0.0003537+0.0022164i,-0.0034707-0.01216i,0.00072393-0.0027411i,0.034699-0.023138i,0.0011886+0.0096061i,0.00066822+0.0020217i,-0.0041722+0.00023156i,0.0053735-0.0020481i,0.015066+0.010913i,0.0027448-0.0014884i,0.00015122-0.0071469i,0.0012524-0.0022491i,0.008971+0.0097437i,0.0060881+0.00052898i,0.0085322-0.0073934i,0.0020776+0.0064123i,-0.0046917+0.0028838i,0.011161+0.011752i,-0.037347-0.042714i,-0.025234+0.0027624i,0.00089685-0.0010581i,0.00093985+0.0012055i,-0.040342-0.00067769i,-0.0068455+0.010036i,-0.014916+0.0032342i
