-0.022982-0.019119i,-0.032315-0.034224i,-0.022525-0.019837i,-0.032367-0.020517i,-0.024168+0.0038234i,-0.029049-0.017842i,-0.054934-0.048164i,-0.040683-0.04426i,-0.029865-0.018086i,0.0049232+0.0048825i,-0.0041747+0.0067611i,-0.011141+0.011279i,0.0039882+0.0072869i,-0.003795-0.0027816i,0.0028516+0.0018786i,0.0016734+0.028753i,0.023046+0.012806i,-0.00027701-1.961e-05i,-0.0033618-0.0025782i,0.0081864+0.0039355i,0.0019326+0.00067986i,-0.00060048+0.0024135i,-0.00056568+0.00033376i,-0.030595-0.0026044i,-0.0038922-0.0050441i,-0.00017995+0.0024031i,0.0047186-0.00087796i,0.00084566-0.00016247i,-0.00068647-0.00049838i,-0.0011108-0.0018974i,-0.0022949-0.00058035i,-0.0040287-0.004101i,-0.0031039-0.0047172i,0.00065179-0.0012644i,0.00031585-0.0031777i,-0.0053795+0.026472i,0.0015132-0.0031175i,0.0024951-0.0039515i,0.0041606-0.0024442i,-0.0072087-0.001121i,0.00033314+0.0013617i,0.0085938-0.0029531i,-0.0020546+0.00022274i,-0.0032153+0.0009009i,-0.0088405-0.003625i,-0.01851+0.021409i,-0.008127-0.086626i,-0.0021096-0.061422i,-0.020701-0.053742i,-0.010957-0.046246i,0.053635-0.027127i,0.023855-0.066994i,0.039717-0.054023i,0.019918-0.040273i,0.026236-0.02022i,0.011954+0.011967i,0.025402-0.027989i,-0.011591-0.00093664i,-0.0014476-0.00096679i,-0.008309-0.0017346i,-0.0047314-0.030128i,-0.021837+0.026994i,0.0071101-0.0095703i,-0.010945-0.0036058i,-0.0026121-0.0018902i,-0.000513-0.014598i,-0.008268+0.005316i,0.0061048+0.010872i,-0.0092126+0.02965i,0.0059252+0.0077286i,-0.0033603-0.0016115i,-0.0023694-0.0013335i,-0.012922-0.0060068i,0.0006978-0.004498i,-0.032811+0.0022207i,0.003343-0.0087685i,-0.0073192-0.0016554i,-0.0052577-0.0032206i,0.0068203+0.0019775i,-0.010304+0.00021098i,0.0024511-0.00022962i,0.0061464+0.0074561i,0.0056046+0.0011515i,-0.0074658-0.010295i,0.0027282+0.008018i,-0.019958+0.0066265i,0.0035023+0.005569i,-0.021034-0.0091638i,-0.026766-0.0050192i,0.0094208-0.060181i,0.018494-0.015415i,-0.051177-0.027634i,-0.022517+0.0014116i,0.018834+0.010253i,-0.027379+0.011272i,-0.012085-0.0076995i
-0.027068-0.014724i,-0.036475-0.024214i,-0.024469-0.01729i,-0.035903-0.016113i,-0.019815+0.0047557i,-0.03307-0.011146i,-0.061494-0.036421i,-0.046157-0.036867i,-0.028267-0.010944i,0.0035161+0.004085i,-0.0046834+0.0057905i,-0.0046876+0.01539i,0.0066774+0.0031277i,-0.0068503+0.00038577i,0.0033068+0.00036698i,0.0088393+0.023759i,0.024039+0.0081108i,0.00091743+0.0011022i,-0.0035892+0.00042505i,0.0081462+4.5551e-05i,0.0014183+0.00096618i,-0.00036099+0.0025019i,-0.00047842+0.00071771i,-0.018345+0.011103i,-0.005705-0.0028374i,0.0017245+0.0011812i,0.0023664-0.0004827i,0.0015441+0.00048366i,0.00020978-0.0004869i,-0.0020602-0.0016388i,-0.0013031+0.00028042i,-0.0045291-0.0027632i,-0.0034675-0.0038298i,-0.00012735-0.0015459i,-0.0001961-0.0016026i,0.0044315+0.025074i,0.00111-0.0036945i,-5.3538e-06-0.0039823i,0.0043323-0.0042254i,-0.0043733-0.0010121i,0.00097612+0.0015818i,0.0091769-0.0028326i,-0.0019253+0.0016543i,-0.0054834+0.0027694i,-0.0069692-0.0033807i,-0.0043381+0.027583i,-0.024587-0.084023i,-0.018904-0.064621i,-0.017484-0.045882i,-0.013208-0.034253i,0.05364-0.050209i,0.019942-0.087025i,0.040806-0.056113i,0.01241-0.04662i,0.013992-0.01559i,0.012458+0.00081307i,0.012475-0.031345i,-0.010102+0.0062995i,-0.0027303-0.007996i,-0.0086406+7.2289e-05i,-0.026164-0.02757i,-0.0096925+0.024629i,0.0016086-0.012253i,-0.012725-0.00057127i,-0.0022284-0.0012293i,-0.0071704-0.01407i,-0.0088207+0.0090311i,0.011332+0.0097512i,0.0071862+0.026971i,0.0078421+0.0021219i,-0.0033913+0.0010014i,-0.0043695-0.0011192i,-0.016669+0.0041317i,0.00078959-0.0034665i,-0.037609+0.011229i,-0.0015876-0.0075588i,-0.007138+0.0022627i,-0.0068081+0.00022173i,0.0054135-0.0036933i,-0.009236+0.003752i,0.0025051-0.0021928i,0.004919+0.002738i,0.0046477-0.0010151i,-0.012505-0.0024547i,0.0033652+0.0050319i,-0.013797+0.01327i,0.004639+0.0029996i,-0.021563+0.00018739i,-0.02866+0.0028131i,-0.0007972-0.059764i,0.012502-0.023001i,-0.055441-0.013324i,-0.015846-0.0023432i,0.019542+0.0025038i,-0.021569+0.018054i,-0.020057-0.013038i
-0.028238-0.0092467i,-0.037333-0.020349i,-0.026803-0.016455i,-0.038391-0.0094309i,-0.01691+0.0037585i,-0.035361-0.0041012i,-0.069656-0.021584i,-0.053238-0.028677i,-0.026904-0.010864i,0.0034109+0.00394i,-0.0039661+0.0085489i,0.0026717+0.013816i,0.0059706-0.0010787i,-0.0067348+0.0039831i,0.0030899-0.00079846i,0.012883+0.017336i,0.02855+0.00093501i,0.0023649+0.00070318i,-0.0020544+0.002267i,0.0067584-0.002657i,0.00069458+0.0013842i,0.00055727+0.0034735i,-0.00013638+0.00097019i,-0.0087495+0.015918i,-0.0053907-0.00041988i,0.0023008-0.00057155i,0.0026504-0.00067317i,0.0022735+7.4924e-05i,-0.00069738-0.00088996i,-0.0025559-0.00073412i,-0.00074422+0.00022749i,-0.0054535-0.0010824i,-0.0046747-0.0029044i,-0.00083096-0.0017366i,0.00082341-0.0028623i,0.012197+0.019308i,0.00017107-0.0037259i,-0.0014494-0.0032427i,0.0024669-0.0067141i,-0.004619-0.00030084i,0.0015699+0.0014989i,0.0074016-0.0050072i,-0.00047531+0.0027277i,-0.0043747+0.0054842i,-0.0059786-0.0054105i,0.010269+0.025993i,-0.039121-0.077666i,-0.034559-0.057331i,-0.010376-0.047493i,-0.0073793-0.03361i,0.046202-0.070532i,-0.0014555-0.10475i,0.044033-0.065477i,0.0034207-0.045294i,0.010267-0.013958i,0.0099809-0.0042397i,0.0034998-0.033275i,0.0014897+0.0059608i,-0.011318-0.0086554i,-0.0065406-0.00070497i,-0.041427-0.014901i,-0.0023945+0.023613i,-0.0041648-0.011061i,-0.011264+0.0030531i,-0.0043345-0.0013138i,-0.014973-0.010875i,-0.0032743+0.015241i,0.017005+0.0028785i,0.018181+0.01949i,0.0076947-0.00035972i,-0.0026754+0.0011671i,-0.0052744+0.00096281i,-0.011694+0.013138i,-0.0024658-0.0035457i,-0.034252+0.023338i,-0.0030071-0.0048298i,-0.0053356+0.0055976i,-0.0075353+0.0062926i,-0.00041229-0.006377i,-0.0068447+0.006416i,0.00053726-0.0031972i,0.0028429+0.0014527i,0.0032637-0.0026903i,-0.0081647+0.004683i,0.002645+0.0023292i,-0.006591+0.016411i,0.002762+0.00015696i,-0.017884+0.0065875i,-0.024968+0.011077i,-0.0067716-0.056804i,0.0039801-0.023841i,-0.055907-0.00068809i,-0.021558-0.008979i,0.01694-0.0057492i,-0.010764+0.01875i,-0.024539-0.0088119i
-0.028081-0.0045549i,-0.041403-0.017895i,-0.031093-0.015557i,-0.037036-0.0032031i,-0.01603+0.0015747i,-0.035303+0.0040088i,-0.069867+0.0021337i,-0.058209-0.015131i,-0.030244-0.0083194i,0.0040499+0.0034537i,-0.00046918+0.010018i,0.0054484+0.0091302i,0.0038514-0.0041227i,-0.0047139+0.0077142i,0.0019902-0.0020009i,0.01382+0.0093573i,0.025588-0.0090682i,0.0030365-0.00094792i,-0.0010375+0.0036339i,0.0044878-0.0039835i,0.0016834+0.0023833i,0.0028834+0.0033095i,-5.8211e-05+0.00099639i,0.00036846+0.020925i,-0.0045399+0.0010058i,0.0012441-0.0017348i,0.0032707-0.0012374i,0.0018164-0.0010169i,-0.00082314+0.00011257i,-0.0027963+0.00022903i,-0.00042508+0.00017432i,-0.0052742+0.00066806i,-0.0054264-0.00069371i,-0.0014317-0.0015879i,-0.0010456-0.0038241i,0.013736+0.013693i,-0.0011204-0.0035828i,-0.002225-0.0025659i,-0.00097948-0.0068781i,-0.0028778+0.0018596i,0.0022215+0.0010202i,0.0041604-0.006542i,0.00070624+0.0026629i,-0.0020595+0.0058815i,-0.0049596-0.0071639i,0.023504+0.01929i,-0.051451-0.067234i,-0.042308-0.045204i,-0.012212-0.052957i,-0.0067992-0.035916i,0.030364-0.092109i,-0.030221-0.10652i,0.038621-0.084488i,-0.0017229-0.043814i,0.0071093-0.012388i,0.0057094-0.0089821i,-0.0081376-0.031399i,0.0020875-0.0031555i,-0.013522-0.0027096i,-0.0096416-0.003348i,-0.047395+0.0058645i,0.0082081+0.019453i,-0.0085544-0.0088161i,-0.008622+0.0053821i,-0.0053743+0.0012546i,-0.019862-0.0026244i,0.0048959+0.012432i,0.018599-0.0059076i,0.025987-0.001546i,0.0079904-0.0033908i,-0.0029911+0.00085682i,-0.0051031+0.0036092i,-0.0060776+0.018689i,-0.005+0.00046278i,-0.029804+0.029383i,-0.0039604-0.0036355i,-0.0014179+0.0069857i,-0.0021052+0.011176i,-0.0063648-0.0033516i,-0.0029139+0.0065655i,-0.00065437-0.0025708i,0.0020529+0.001777i,0.00033923-0.0043703i,-0.0028397+0.0043298i,-0.00069978+0.00033513i,-0.0093573+0.011129i,0.00061576+0.00011877i,-0.012368+0.010627i,-0.019653+0.014604i,-0.010938-0.055995i,0.0030791-0.020395i,-0.051577+0.014708i,-0.030108-0.0053623i,0.013196-0.011375i,-0.0026831+0.013838i,-0.024604-0.0030705i
-0.026881+0.00032605i,-0.046797-0.011157i,-0.038366-0.011913i,-0.036194+0.0016555i,-0.01845-0.00024212i,-0.032794+0.011909i,-0.054464+0.017111i,-0.054989-0.0029517i,-0.030807-0.00042559i,0.0043608+0.0027255i,0.0029732+0.0078091i,0.0061992+0.0063613i,0.00016025-0.0055078i,0.00037522+0.0092661i,0.00064544-0.0027682i,0.011043+0.0058626i,0.014969-0.017327i,0.0020813-0.0024895i,0.0019392+0.0061627i,0.0025545-0.0042952i,0.0033667+0.0028968i,0.0034987+0.001666i,7.3281e-05+0.001565i,0.022401+0.015665i,-0.0036049+0.0028461i,0.00044131-0.0023035i,0.0016807-0.0028588i,0.0015563-0.00010083i,-0.00020965+0.00036349i,-0.0027318+0.0015673i,-0.00031381+0.00030606i,-0.0040271+0.0026534i,-0.0042707+0.0010117i,-0.002137-0.0009568i,-0.0014279-0.0021013i,0.016676+0.010476i,-0.0016406-0.0031532i,-0.0034198-0.0016528i,-0.0035156-0.0051752i,-0.0014827-0.00030958i,0.0023401+0.00012131i,0.0015634-0.0056401i,0.0018944+0.0022288i,-0.0015062+0.0057962i,-0.0067169-0.0116i,0.034289+0.0056943i,-0.056725-0.053652i,-0.045153-0.033475i,-0.015551-0.057167i,-0.0075312-0.037577i,0.0014221-0.10691i,-0.054538-0.09737i,0.018215-0.097372i,-0.010221-0.03921i,0.0063258-0.009656i,0.000337-0.011072i,-0.017428-0.02446i,-0.0030506-0.0064732i,-0.013962-0.00072395i,-0.015839+0.00032975i,-0.04271+0.023901i,0.012323+0.0098155i,-0.012197-0.0040009i,-0.0066785+0.0070096i,-0.0053585+0.0042897i,-0.019176+0.0079775i,0.0048753+0.0071035i,0.015491-0.013789i,0.021671-0.0044779i,0.0057794-0.007183i,-0.0051171+0.0023853i,-0.0021908+0.0061918i,0.0031217+0.019635i,-0.0041621+0.0045156i,-0.027192+0.03971i,-0.0061236-0.0030869i,0.00098222+0.0046018i,0.0041379+0.010423i,-0.0077082+0.0016716i,-0.0021293+0.0035636i,-0.0020377-0.0021082i,0.0020705+0.0035524i,-0.0035333-0.0024221i,-0.0021302+0.00092437i,-0.0040971+0.0037995i,0.012262+0.021844i,-0.0011393+0.00038191i,-0.004939+0.011295i,-0.016782+0.017615i,-0.018647-0.053092i,0.0067609-0.026071i,-0.042804+0.030096i,-0.033328+0.0075153i,0.0074517-0.015266i,-0.0016103+0.0070218i,-0.022652-0.0010374i
-0.024301+0.0037313i,-0.047733-0.0037245i,-0.043921-0.0022653i,-0.035341+0.0069441i,-0.023264+0.0015608i,-0.027067+0.018025i,-0.039813+0.020979i,-0.049912+0.004854i,-0.027623+0.0038176i,0.0040548+0.0018814i,0.0035559+0.0060618i,0.0069321+0.0023253i,-0.0036547-0.0048936i,0.0054332+0.0065711i,-0.0010223-0.0029696i,0.0099512+0.0047052i,0.0031811-0.015349i,0.0015278-0.0028814i,0.0062296+0.0045647i,0.0010857-0.0039034i,0.0049956+0.00036476i,0.0032474+0.0006236i,0.0012383+0.0018791i,0.022248-0.0019375i,-0.0011275+0.0041577i,-0.00098121-0.002542i,-0.00022179-0.00061154i,0.0019574-0.0031519i,0.00012805-0.00036349i,-0.0011267+0.0029166i,7.3889e-05+0.00020009i,-0.0027594+0.0031445i,-0.0037157+0.0027763i,-0.0020575+0.00030455i,-0.00027789-0.00047761i,0.020003+0.0048147i,-0.002662-0.0026394i,-0.0045538-0.00048258i,-0.0051208-0.0034823i,-0.0036752-0.0015369i,0.0024289-0.0004653i,0.00021259-0.0042481i,0.0020267+0.0014172i,-0.00057661+0.0062853i,-0.012172-0.013142i,0.030388-0.014002i,-0.055065-0.042943i,-0.046329-0.02355i,-0.021901-0.058083i,-0.0077414-0.042309i,-0.030678-0.10311i,-0.075551-0.080772i,-0.00069042-0.09963i,-0.0094613-0.024815i,0.011998-0.0051268i,-0.0045284-0.0094682i,-0.020143-0.011562i,-0.0060609-0.0068012i,-0.017512+0.0034577i,-0.01301+0.0068311i,-0.031464+0.040952i,0.01084+0.0028692i,-0.0098525+0.0033302i,-0.006554+0.0080339i,-0.0018004+0.0076038i,-0.012291+0.014975i,0.0058906+0.0080177i,0.0096008-0.024329i,0.015713-0.018205i,-0.00023683-0.01141i,-0.0059858+0.0066099i,-0.00036486+0.0058448i,0.011147+0.01544i,-0.00079325+0.0067758i,-0.008889+0.052233i,-0.0091887-0.0012147i,0.0010395+0.0038139i,0.0076024+0.0056544i,-0.0047046+0.007694i,-0.0024482+0.0044144i,-0.0040734-0.001056i,0.0053833+0.0037915i,-0.0033283+0.0017998i,-0.0050774+0.00051345i,-5.62e-05+0.0093051i,0.012658+0.014538i,-0.0018064+0.0004786i,-0.0017792+0.0070746i,-0.010958+0.022225i,-0.020369-0.04442i,-0.0018678-0.039357i,-0.021504+0.036864i,-0.025643+0.016905i,0.003293-0.020107i,-0.0025591+0.0015641i,-0.021397+0.0043634i
-0.021525+0.0057162i,-0.051659+0.0023893i,-0.045798+0.009203i,-0.03171+0.013327i,-0.026212+0.0081819i,-0.02108+0.02081i,-0.029747+0.019319i,-0.045504+0.0097411i,-0.027319+0.0075217i,0.0047018+0.00053884i,0.006011+0.0051867i,0.0037442-0.0015231i,-0.0068539-0.0014681i,0.0071749+0.0011563i,-0.0023768-0.0022779i,0.0094119+0.0041815i,-0.0021013-0.011393i,0.00033715-0.0034946i,0.0066434+0.00024953i,-7.602e-05-0.0031222i,0.004175-0.0018709i,0.0040779+0.00049158i,0.0022985+0.001143i,0.016485-0.011591i,0.0022679+0.0026209i,-0.00066727-0.0013091i,0.00088607-0.0017852i,-7.0937e-05-0.0041831i,-9.5178e-05-0.00026399i,0.00051442+0.0024987i,0.00011804-0.00010855i,-0.0012095+0.0037776i,-0.0021234+0.0037413i,-0.0013242+0.00083555i,-0.0035037+0.0016132i,0.019799-0.0018898i,-0.0030804-0.00098091i,-0.0040875+0.00098152i,-0.0060298-0.00010923i,-0.006065+0.00075994i,0.0018069-0.00082247i,-0.00019183-0.004824i,0.0023901+0.00085999i,0.000476+0.0048564i,-0.017579-0.010601i,0.018392-0.019606i,-0.056949-0.039119i,-0.040578-0.013186i,-0.02715-0.057983i,-0.016141-0.050573i,-0.052984-0.090669i,-0.083986-0.056307i,-0.02244-0.099196i,0.00077355-0.022121i,0.017979-0.018481i,-0.0070132-0.0059175i,-0.016517-0.0090364i,-0.0126-0.0054588i,-0.014893+0.012238i,-0.0099752+0.0086354i,-0.0096045+0.047687i,0.010658+0.00022728i,-0.0076478+0.003578i,-0.0017436+0.0088269i,0.00063867+0.0059611i,-0.0046939+0.018858i,0.009971+0.005272i,-0.0066557-0.028061i,-0.00095199-0.020959i,-0.0047104-0.005129i,-0.0023686+0.0096027i,0.0028923+0.004789i,0.017095+0.0069485i,0.0023135+0.0049072i,0.020373+0.050131i,-0.0074678+0.0037692i,0.001195+0.0024308i,0.0075852+0.00083799i,0.00060378+0.0090655i,-0.0047694+0.0047238i,-0.0047705+0.0028349i,0.0079288+0.0024476i,-0.0017273+0.0042878i,-0.0071042+0.0028058i,0.0046469+0.0085048i,0.013746+0.0095278i,-0.0017556+0.0018653i,0.00063508+0.0034873i,-0.0033196+0.022074i,-0.021151-0.042159i,-0.021677-0.040474i,-0.0055406+0.029815i,-0.018259+0.020553i,-0.003158-0.027576i,-0.0055229-0.001351i,-0.012418+0.005584i
-0.019729+0.0070978i,-0.053499+0.014692i,-0.043739+0.021675i,-0.026969+0.016511i,-0.023647+0.015668i,-0.016588+0.022245i,-0.024159+0.015711i,-0.041936+0.013544i,-0.024495+0.01429i,0.0043687-0.0010509i,0.0066722+0.001418i,-0.0013184-0.00020688i,-0.0066343+0.0027457i,0.0041441-0.0019721i,-0.0032919-0.0014629i,0.011371+0.0018886i,-0.0055711-0.0073283i,-0.0011075-0.0030248i,0.0046827-0.0020994i,-0.0007308-0.0023679i,0.0021792-0.0022623i,0.004106-0.0012739i,0.0023804-1.7901e-05i,0.0086628-0.01622i,0.0015814+0.00036014i,-0.00074521-0.0013679i,0.00042564-0.0027246i,1.0194e-05-0.002388i,0.0010689+1.2608e-05i,0.0010981+0.0016033i,-5.1812e-05-0.00046595i,0.00037764+0.0036447i,-0.00013652+0.0047164i,-0.0011118+0.00060145i,-0.0031279+0.0020935i,0.016647-0.0081362i,-0.0024242-9.5566e-05i,-0.002723+0.0024581i,-0.0044852+0.0018021i,-0.0061+0.0034589i,0.0013432-0.0007758i,-0.001183-0.0041834i,0.0022531-0.00012071i,-0.00012526+0.0038419i,-0.020699-0.0049252i,0.01493-0.014609i,-0.060732-0.034769i,-0.032776-0.010419i,-0.034366-0.056686i,-0.029453-0.049762i,-0.072474-0.077408i,-0.080429-0.037074i,-0.046966-0.087099i,0.005899-0.028903i,0.012165-0.028628i,-0.006882-0.0037835i,-0.016698-0.0054536i,-0.018256+0.0025159i,-0.0077098+0.01718i,-0.0059978+0.011986i,0.011694+0.040593i,0.0058431+0.01732i,-0.0081157+0.004904i,-0.00075045+0.0064223i,0.0038261+0.0058917i,0.0042937+0.016221i,0.010699-0.0022716i,-0.020775-0.018468i,-0.011548-0.012789i,-0.0037187-0.0011636i,0.0027797+0.0096741i,0.003607+0.0021831i,0.018176-0.0012207i,0.0046906+0.0048505i,0.041917+0.032301i,-0.0054658+0.004151i,0.00056044+0.0024935i,0.0051758-0.0034085i,0.005916+0.0066653i,-0.0051528+0.010986i,-0.0018429+0.0068098i,0.0094885-0.0015616i,0.0027901+0.0041082i,-0.0078797+0.0071301i,0.0077394+0.0051609i,0.014351+0.003635i,-0.00096107+0.0015905i,0.00034446-0.00023297i,0.0016238+0.018898i,-0.021423-0.039968i,-0.033728-0.02711i,0.003472+0.019101i,-0.0051012+0.023i,-0.017247-0.0282i,-0.012505-0.0016264i,-0.011103-0.0016688i
-0.018195+0.0088587i,-0.048269+0.027286i,-0.035773+0.033383i,-0.02379+0.019312i,-0.018413+0.020192i,-0.011933+0.023661i,-0.022344+0.011916i,-0.039905+0.017225i,-0.016951+0.018625i,0.0028716-0.0025079i,0.0034898-0.0024618i,-0.0015503+0.0039092i,-0.004512+0.0053783i,0.0013431-0.0029638i,-0.0040167-0.00035583i,0.011017-0.0019557i,-0.0049693-0.0035112i,-0.0018391-0.0020369i,0.0026641-0.002591i,-0.0008347-0.0016896i,0.0019677-0.0013354i,0.0030388-0.0021706i,0.0020518-0.00049924i,0.0019746-0.015712i,0.00087094-0.00019052i,-0.0012414-0.0015635i,-0.00068674-0.0028065i,-0.00074678-0.0024706i,0.00085811-0.0011231i,0.0013902+0.0011496i,-0.0003554-0.0008654i,0.0018721+0.0030136i,0.0013861+0.003093i,-0.0010461+0.0013376i,-0.0016054+0.0014699i,0.011316-0.014187i,-0.0016275+0.00018037i,-0.00094097+0.0031057i,-0.004531+0.0030718i,-0.0044462+0.0057332i,0.0012104-0.00073316i,-0.002659-0.0032603i,0.0020776-0.00095006i,-0.0017373+0.0044181i,-0.020946+0.0017643i,0.022197-0.012907i,-0.066443-0.02945i,-0.02794-0.011761i,-0.040338-0.052819i,-0.038925-0.04329i,-0.087696-0.055627i,-0.077823-0.027033i,-0.054376-0.062938i,0.0052379-0.034044i,0.0025485-0.036893i,-0.0074747-0.0026673i,-0.01553-0.0056964i,-0.014421+0.013228i,-0.00064217+0.017658i,0.0027058+0.010412i,0.020166+0.024829i,0.00055561-0.0076077i,-0.0068389+0.0082422i,-0.00076551+0.0061016i,0.0053883+0.0017587i,0.0086242+0.011184i,0.0043454-0.0042252i,-0.026341-0.0037882i,-0.014504-0.0036708i,-0.00092433-0.00040137i,0.0050699+0.0078372i,0.0022384+0.00097821i,0.014334-0.012284i,0.0059003+0.00019952i,0.048322+0.0092809i,-0.0051483+0.0065459i,0.0019768+0.0019161i,0.00065825-0.0050971i,0.006965+0.0028014i,0.00021229+0.015207i,0.004077+0.0048606i,0.006661-0.005353i,0.0047932+0.00039692i,-0.0066753+0.0158i,0.0067254+0.0028744i,0.012028+0.0011793i,-0.0026727+0.0016467i,-0.0043076-0.0011308i,0.0043963+0.016744i,-0.021874-0.041568i,-0.034722-0.012249i,0.0039645+0.0086396i,0.0044878+0.014629i,-0.029406-0.022225i,-0.015726+0.0071281i,-0.015785-0.0017917i
-0.016553+0.010652i,-0.040081+0.035258i,-0.024033+0.040868i,-0.020328+0.02202i,-0.012633+0.023089i,-0.0072716+0.02427i,-0.023352+0.0099785i,-0.037395+0.022746i,-0.010778+0.018769i,0.00084487-0.0028668i,0.00026721-0.0018506i,0.00062302+0.0053462i,-0.0013742+0.0061482i,-0.00092234-0.002495i,-0.0042284+0.0011952i,0.0082108-0.0054201i,-0.0043404-0.0025665i,-0.0019134-0.00079548i,0.0016743-0.0028953i,-0.00081863-0.0012627i,0.0023256-0.0020447i,0.0020934-0.0020314i,0.0019338-0.0008753i,-0.0026708-0.013669i,0.00066681-0.00032405i,-0.0019417-0.00076061i,-0.0016384-0.0021256i,-0.0019091-0.002396i,0.00024028-0.0013473i,0.0017817+0.00049718i,-0.00096269-0.00093041i,0.0026494+0.0014882i,0.0023043+0.0019251i,-0.00035944+0.0013886i,-0.0017065+0.0015503i,0.0033098-0.012794i,-0.001635-0.00022739i,0.00079569+0.0027388i,-0.0025099+0.0053561i,-0.0015666+0.0079003i,0.0011916-0.00070566i,-0.0025355-0.0017825i,0.0014665-0.0017211i,-0.00067379+0.0070885i,-0.016805+0.0070962i,0.032122-0.023301i,-0.074441-0.0191i,-0.027699-0.013644i,-0.044543-0.049132i,-0.046239-0.0362i,-0.090606-0.03237i,-0.075922-0.015998i,-0.049628-0.050392i,0.0030709-0.039997i,-0.01128-0.039258i,-0.007142-0.00092015i,-0.019375-0.0068779i,-0.0055882+0.017353i,0.0051972+0.014748i,0.0063404+0.002688i,0.018588+0.012834i,-0.0040329-0.0072705i,-0.0041796+0.010476i,-0.00016874+0.0065949i,0.0038046-0.001094i,0.0092417+0.0058272i,0.0026946-0.0012542i,-0.022417+0.010239i,-0.011519+0.0041025i,-0.00068519-0.00045521i,0.0083678+0.0064074i,0.00090985+0.00091729i,0.0045212-0.016648i,0.0031676-0.0023165i,0.044678-0.0092288i,-0.002291+0.0082042i,0.0012338+0.0010008i,-0.002449-0.0029354i,0.0062575+0.00070318i,0.008136+0.016091i,0.0043503+0.00069151i,0.0042052-0.006601i,0.0025733-0.0019058i,0.009056+0.020073i,0.0065232+0.00095422i,0.011614-0.0029777i,-0.0018038+0.0056871i,-0.005558+0.00080907i,0.0073222+0.015109i,-0.026831-0.04476i,-0.028519-0.002517i,0.0026024+0.0034518i,0.0047882+0.0048939i,-0.037316-0.012224i,-0.010018+0.010982i,-0.01632+0.00059987i
-0.014265+0.012461i,-0.030852+0.040248i,-0.011143+0.043242i,-0.015428+0.02469i,-0.0058918+0.023519i,-0.0028258+0.024101i,-0.025214+0.01089i,-0.032713+0.028208i,-0.0056044+0.018079i,-0.00055745-0.0023287i,-0.00098411-7.6422e-05i,0.0032512+0.0049273i,0.0011836+0.0061694i,-0.0028082-0.00070036i,-0.0038765+0.002615i,0.004759-0.0070617i,-0.0050585-0.0024174i,-0.0018217-0.00032913i,5.0253e-05-0.0026298i,-0.0010099-0.00099253i,0.0016952-0.0028743i,0.0020591-0.0019961i,0.0017349-0.0013065i,-0.0065345-0.0117i,0.00036501-0.00052254i,-0.0017937+1.3728e-05i,-0.0023391-0.001289i,-0.0027342-0.0011816i,-0.00027053-0.0013706i,0.0014169-0.00036548i,-0.0014322-0.00049388i,0.0021428+0.00035187i,0.0026169+0.00052775i,0.00031086+0.0010444i,-0.0011244+0.0020967i,0.00033066-0.0098503i,-0.001717+0.00023429i,0.0017973+0.0013265i,-0.00024886+0.004364i,0.0018943+0.0075527i,0.001322-0.000994i,-0.0019661-0.0011246i,0.00016157-0.0024379i,0.0019159+0.0066288i,-0.011823+0.0086379i,0.031646-0.042807i,-0.07826-0.0028599i,-0.026816-0.014648i,-0.048737-0.049348i,-0.051265-0.026995i,-0.089236-0.014871i,-0.073342-0.0075837i,-0.048571-0.043099i,-0.002493-0.044374i,-0.026084-0.036823i,-0.0069491-0.00031262i,-0.027367-0.0035016i,0.0019238+0.015647i,0.00843+0.0098675i,0.0045625-0.0035999i,0.01494+0.0063189i,-0.0077369-0.0060303i,-0.0004496+0.011432i,0.0014469+0.0063612i,0.0016496-0.001969i,0.0066919+0.0021336i,0.0034668+0.00039013i,-0.01379+0.017007i,-0.0062894+0.0089695i,0.0005905-0.00057446i,0.011294+0.00059083i,0.00020266+0.0021687i,-0.0042997-0.012691i,0.00072068-0.0026019i,0.035923-0.02179i,0.0012337+0.0097503i,0.00059317+0.001721i,-0.0044438+0.0002335i,0.0051369-0.0019358i,0.015192+0.01178i,0.0027401-0.0018098i,0.00083999-0.0072793i,0.00074901-0.0024559i,0.0047042+0.0018839i,0.0057714+0.00059835i,0.0079036-0.0069568i,0.0021656+0.0071259i,-0.0055826+0.0020422i,0.01146+0.012062i,-0.035655-0.042922i,-0.01959+0.008818i,0.0012429-0.00051817i,0.00093897+0.0012019i,-0.040869-0.00065657i,-0.0066276+0.0098187i,-0.015906+0.0030142i
